Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RANK,RTHII,IMUL_R,IMUL_M,LASI,IMUR_M
14,0.0477931,0.0404711,0,0,0,0.0379146,0,0.0313072,0,0,0.0217172,0,0,0.0596013,0.0435807,0.0401966,0.0276853,0.0161497,0.05403,0.0304695,0.0297422,0.0522374,0,0.0191114,0.0310461,0.0298407,0.0232732,0.0204408,0.0505711,0.0447908,0.0155811,0.0236683,0,0,0.0647785,0.0383894,0,0,0.0102765,0,0,0.0197215,0.0486279,0.184172,0.0372456,0.018314,0.0499571,0.0359635,0.0397334,0.0627443,0.033552,0.0686553,0.0525182,0.0686721,0.0879166,0.0461531,0,0.00939891,0.00613481,0.0481403,0.0645841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0517062,0.0382187,0,0,0,0.0381584,0,0.0283598,0,0,0.0200478,0,0,0.0588749,0.0439596,0.0383455,0.0259061,0.0155807,0.0558574,0.0315688,0.0274204,0.0493522,0,0,0.0301736,0.0305209,0.0245446,0.021922,0.0505101,0.0466672,0.0168677,0.0234261,0.204007,0,0.0668856,0.036289,0,0,0.013874,0,0,0.0169031,0.0441257,0.239716,0.0366378,0.0189626,0.0507284,0.0377326,0.0486144,0.0736497,0.043234,0.0522024,0.0318654,0.0423331,0.0614447,0.0466558,0.0333881,0.00908969,0.00832567,0.0446951,0.0666926,0,0,0,0,0,0,0,0,0.0260242,0,0,0,0,0
16,0.0515062,0.0381898,0,0,0,0.0363014,0,0.0275131,0,0,0.0199962,0,0,0.058714,0.0428409,0.0340732,0.0262267,0.018556,0.0560169,0.0311272,0.0298055,0.05025,0,0.0167619,0,0.0339747,0.0273845,0.0237212,0.0476389,0.0467877,0.0166619,0.0232546,0.200156,0,0.0659623,0.0365806,0,0,0.0140668,0,0,0.0169225,0.0450857,0.240014,0.0357062,0.0187666,0.0507806,0.0379875,0.0486565,0.0777516,0.0438266,0.0533824,0.031487,0.0429484,0.0619574,0.0562071,0.0332453,0.00896374,0.00848027,0.0444349,0.0666069,0,0,0,0,0,0,0,0,0.0216469,0,0,0,0,0
17,0.0510938,0.0388477,0,0,0,0,0,0.0250315,0,0,0.01999,0,0,0.0593056,0.0421973,0.0329208,0.0271878,0,0.054609,0.0305617,0.0306083,0.05429,0,0.0145595,0,0.0313349,0.0220218,0.0196302,0.0455152,0.0461169,0.0158356,0.0234891,0,0,0.0648471,0.0368586,0,0,0.0136184,0,0,0.0184332,0.0479381,0.194799,0.0343153,0.0184674,0.0492786,0.0387116,0.0414879,0.0641529,0.0373995,0.0634822,0.0461242,0.0612538,0.0804559,0.0407743,0.0328563,0.00773396,0.00860552,0.0458051,0.0661112,0,0,0,0,0,0,0,0,0.0566361,0,0,0,0,0
18,0.0507437,0.0392218,0,0,0,0.0396762,0,0.0277028,0,0,0.023731,0,0,0.0585466,0.0422713,0.0375743,0.0273142,0,0.0537322,0.0331962,0.0304643,0.0556186,0,0.0146509,0.0329909,0.0319959,0.0252548,0.0231853,0.0404002,0.0450797,0.0151465,0.0224106,0,0,0.0707242,0.0372582,0,0,0.0123445,0,0,0.0209724,0.0483525,0.163665,0.0354017,0.0192282,0.0487369,0.0387343,0.0451074,0.0735257,0.0418749,0.0601344,0.0413411,0.0582992,0.0776378,0,0.0329914,0.00691007,0.0102316,0.046477,0.0661178,0,0,0,0,0,0,0,0,0.0638334,0,0,0,0,0
19,0.0515288,0.0382737,0,0,0,0,0,0.02252,0,0,0.0248504,0,0,0.0574451,0.0422158,0.0353482,0.0288425,0,0.0565419,0.0343727,0.0292643,0.0540968,0,0.0171262,0.0294216,0.0293841,0.0215839,0.0212735,0.0502239,0.0460695,0.0159282,0.0202381,0.19813,0,0.0658708,0.0363562,0,0,0.0122516,0,0,0.0188022,0.0459916,0.241811,0.0327455,0.0195063,0.0493796,0.0369281,0.0484639,0.0790099,0.0435455,0.0542853,0.0320156,0.0432989,0.0620192,0.0575856,0.0339015,0.00907892,0.0111111,0.0454406,0.0661064,0,0,0,0,0,0,0,0,0.0229416,0,0,0,0,0
20,0.0516301,0.0382712,0,0,0,0.0406557,0,0.0266026,0,0,0.0237689,0,0,0.057652,0.04272,0.0372636,0.0292265,0,0.0571082,0.0337584,0.0326139,0.0566557,0,0.0147388,0.0334076,0.0331884,0.0268076,0.0251454,0.0405954,0.0463883,0.0159175,0.0206688,0.195645,0,0.0671597,0.0362667,0,0,0.0123027,0,0,0.0184985,0.0464197,0.241405,0.0322347,0.0199251,0.0494354,0.0366651,0.0489205,0.0808349,0.0437844,0.0542145,0.0313059,0.0432243,0.0620275,0.0636477,0.0341878,0.00942144,0.0105436,0.0449733,0.0662639,0,0,0,0,0,0,0,0,0.0229234,0,0,0,0,0
21,0.0515757,0.0383348,0,0,0,0.0407724,0,0.0266357,0,0,0.0228879,0,0,0.0577164,0.042718,0.0370321,0.0300525,0,0.0570905,0.0330588,0.0334941,0.057037,0,0.0151455,0.0336399,0.0338197,0.0274479,0.0257948,0.0389539,0.0465551,0.0156946,0.0211052,0.193712,0,0.067554,0.036268,0,0,0.0124347,0,0,0.0182961,0.0472636,0.240866,0.031761,0.020435,0.0490499,0.0366126,0.0497712,0.0819722,0.0441375,0.05439,0.0308967,0.0432062,0.0621919,0.0679756,0.0340218,0.00940788,0.0100061,0.0447652,0.0661129,0,0,0,0,0,0,0,0,0.0228892,0,0,0,0,0
22,0.0514879,0.0383855,0,0,0,0.0413392,0,0.0269136,0,0,0.0221688,0,0,0.0577713,0.0427506,0.0368207,0.0306422,0,0.0569008,0.0324288,0.0345174,0.0572368,0,0.0158593,0.0338344,0.0341308,0.0278732,0.0263927,0.0367409,0.0468903,0.0155423,0.0214934,0.192554,0,0.0677614,0.0362782,0,0,0.012438,0,0,0.0180933,0.0481244,0.240381,0.0313751,0.020841,0.0487011,0.0367213,0.0499677,0.0824113,0.0445576,0.0545465,0.0305811,0.043218,0.0623769,0.071813,0.0339721,0.00940744,0.00960517,0.0445179,0.0659321,0,0,0,0,0,0,0,0,0.0224553,0,0,0,0,0
23,0.0513518,0.0385006,0,0,0,0.0420897,0,0.0269075,0,0,0.0215678,0,0,0.0578118,0.0427919,0.0367299,0.0310783,0,0.056607,0.0317802,0.0356023,0.0570313,0,0.0169786,0.0337128,0.0342735,0.0280239,0.0266379,0.0339635,0.047205,0.015408,0.0217538,0.191683,0,0.0677818,0.0363101,0,0,0.0123781,0,0,0.0177967,0.048961,0.240053,0.0309725,0.0212257,0.048426,0.0369938,0.0496034,0.0830682,0.0448715,0.0547882,0.0304532,0.043353,0.0625781,0.0753662,0.0340582,0.0094496,0.00933854,0.0441249,0.0658405,0,0,0,0,0,0,0,0,0.0224677,0,0,0,0,0
