Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_M,IMUL_M
38,0.0500337,0.0404761,0,0,0,0,0.0358301,0,0.0327878,0.0461666,0,0,0.0221017,0,0,0.0612301,0.0259437,0.0237956,0.0311211,0.0176092,0.0487986,0.0300607,0.0286881,0.0339909,0.0348546,0.0252617,0.0348989,0.0378887,0.0257233,0.0275842,0.0227941,0.0445879,0.0209816,0.0271756,0.0495665,0,0.0147594,0.035893,0.0415646,0,0,0.0147596,0,0,0.0179674,0.0564119,0.0515113,0.0259987,0.0434794,0.0544712,0.0402415,0.0344326,0.0706369,0,0.0221221,0.0581089,0.0353726,0.0418914,0.0747059,0.0700798,0.0353335,0.00967005,0.00766771,0.0473522,0.0695558,0,0,0,0,0,0,0,0,0,0
39,0.0499942,0.0402973,0,0,0,0,0.0369873,0,0.0328285,0.0461139,0,0,0.0219914,0,0,0.0611232,0.0260868,0.0239748,0.030839,0.0178989,0.0484063,0.0297874,0.0290068,0.033707,0.034897,0.0252885,0.0348165,0.0379213,0.0258695,0.0276567,0.0219494,0.0446889,0.0211141,0.0266731,0.0490226,0,0.0147704,0.0359561,0.0414773,0,0,0.0145189,0,0,0.0179194,0.0561903,0.0517802,0.0266143,0.0428298,0.0550023,0.0400523,0.0346973,0.0707338,0,0.0221878,0.0585282,0.0359829,0.0423774,0.0744553,0.0679833,0.0355513,0.00978035,0.00770354,0.0476617,0.0694129,0,0,0,0,0,0,0,0,0,0
40,0.0499219,0.040163,0,0,0,0,0.0376715,0,0.0329395,0.0462253,0,0,0.0219346,0,0,0.0610598,0.0260875,0.0241518,0.0306871,0.0184343,0.0480885,0.0295309,0.0287119,0.0336353,0.034764,0.0258617,0.0347908,0.0380215,0.0259126,0.0277183,0.0210622,0.0447425,0.0211414,0.0265227,0.0485157,0,0.0150445,0.0361132,0.0413536,0,0,0.0142775,0,0,0.0178451,0.0559806,0.0520217,0.0272861,0.0421112,0.0556854,0.0399262,0.0351119,0.0709003,0,0.0223285,0.059029,0.0366664,0.0430234,0.0745371,0.0660914,0.0356222,0.009838,0.00775489,0.0479178,0.0694155,0,0,0,0,0,0,0,0,0,0
41,0.0498472,0.0400767,0,0,0,0,0.0382594,0,0.0330852,0.046482,0,0,0.0219298,0,0,0.0609769,0.0261913,0.024539,0.030565,0.0186579,0.0478289,0.0292578,0.0284194,0.0334017,0.0346768,0.0261657,0.0348703,0.038154,0.025989,0.0278315,0.020387,0.0448043,0.0210842,0.0267919,0.048067,0,0.0153703,0.0363947,0.0411794,0,0,0.0140946,0,0,0.0178389,0.055762,0.0524575,0.0280019,0.0411937,0.0563708,0.0398503,0.0354469,0.0711375,0,0.022624,0.0595695,0.037296,0.0436921,0.0749845,0.0643655,0.0355606,0.00991104,0.00779576,0.0482069,0.069593,0,0,0,0,0,0,0,0,0,0
42,0.0497455,0.0399798,0,0,0,0,0.0387815,0,0.0331634,0.0467132,0,0,0.0219346,0,0,0.0609136,0.0262339,0.0252943,0.0304576,0.0186684,0.0476001,0.0291148,0.028337,0.0327294,0.0345746,0.02619,0.0351118,0.038415,0.0261357,0.0280451,0.0197717,0.0449352,0.0210902,0.0268968,0.0474473,0,0.0157063,0.0367714,0.0409791,0,0,0.0139946,0,0,0.0178875,0.0555664,0.053045,0.0287249,0.0400069,0.0569399,0.0398108,0.0358554,0.0713555,0,0.0230256,0.0601574,0.0378254,0.0441963,0.0751281,0.0629619,0.0355447,0.00999924,0.00785948,0.0484029,0.0693672,0,0,0,0,0,0,0,0,0,0
43,0.0496349,0.0398896,0,0,0,0,0.0392885,0,0.033103,0.0469283,0,0,0.0220172,0,0,0.0608668,0.0262372,0.0257947,0.0301952,0.0185288,0.0474828,0.0290061,0.0283522,0.0314647,0.0344726,0.0260112,0.0352032,0.0384529,0.0261954,0.0282815,0.0191118,0.0449787,0.0211305,0.026951,0.0468162,0,0.0160782,0.0372033,0.0407827,0,0,0.0139075,0,0,0.0179218,0.0554065,0.0534034,0.0294784,0.0385902,0.0575691,0.0397833,0.0364526,0.0716264,0,0.0235211,0.0607584,0.0382686,0.0445502,0.0749883,0.0618183,0.0355867,0.0100847,0.0080124,0.0483879,0.0688854,0,0,0,0,0,0,0,0,0,0
44,0.0502417,0.039894,0,0,0,0,0.0396745,0,0.0330997,0.0471487,0,0,0.0223352,0,0,0.0616186,0.0258344,0.0257345,0.0301405,0.0184703,0.0481856,0.0299011,0.0280365,0.0305579,0.0342399,0.0260784,0.0353426,0.0386215,0.0263738,0.0284961,0.0185494,0.0441086,0.02197,0.0281337,0.0470908,0,0.0161995,0.0355895,0.04052,0,0,0.0141572,0,0,0.0179914,0.0556652,0.0531915,0.0276973,0.0359336,0.0578909,0.0398524,0.0349296,0.0669882,0.0547225,0.0232154,0.0616957,0.0412115,0.0459641,0.0752756,0.0627782,0.0353359,0.00989118,0.00821609,0.0477212,0.0697213,0,0,0,0,0,0,0,0,0,0
45,0.0501837,0.0399306,0,0,0,0,0.0400913,0,0.0332142,0.0475282,0,0,0.0222943,0,0,0.0616736,0.0259607,0.0260992,0.0296029,0.0185456,0.0479991,0.0298454,0.0280096,0.0303473,0.0342009,0.0261628,0.0353514,0.0385856,0.0263669,0.0285588,0.0182094,0.0440092,0.0219191,0.0280403,0.0470245,0,0.0166811,0.0361533,0.0403757,0,0,0.0141302,0,0,0.0179641,0.0554198,0.0533779,0.0284283,0.0343831,0.0581399,0.0397411,0.0357481,0.0676,0.0539714,0.023991,0.0618725,0.0416881,0.0461929,0.0751732,0.0608949,0.0353705,0.00996145,0.00814888,0.0471859,0.0695044,0,0,0,0,0,0,0,0,0,0
46,0.0501415,0.0400032,0,0,0,0,0.0403256,0,0.0334698,0.047986,0,0,0.0222661,0,0,0.0616887,0.0261631,0.0262461,0.0292826,0.0191472,0.0477045,0.0298513,0.0280586,0.030167,0.034212,0.0262921,0.0353774,0.0384021,0.0263312,0.0285452,0.0179653,0.0439849,0.0218055,0.0282754,0.0471467,0,0.016975,0.0369324,0.0402959,0,0,0.0140891,0,0,0.0179127,0.0552285,0.0531068,0.0292527,0.0326114,0.0581772,0.0396117,0.0366366,0.0682047,0.0538197,0.0250011,0.0624396,0.0423855,0.0465954,0.0751446,0.0593663,0.0352086,0.0100873,0.00807084,0.0465468,0.0692296,0,0,0,0,0,0,0,0,0,0
47,0.0501263,0.0400846,0,0,0,0,0.0407678,0,0.0338176,0.0473002,0,0,0.0221909,0,0,0.061728,0.0273084,0.0257351,0.0283635,0.0197417,0.0474358,0.0299485,0.0285439,0.0297322,0.0340383,0.0268848,0.0356499,0.0385504,0.0264784,0.0286822,0.0175189,0.0440856,0.0217468,0.0285578,0.061725,0,0.0205432,0.0379605,0.0399382,0,0,0.0139382,0,0,0.0178236,0.0541586,0.0476731,0.0299221,0.0325958,0.0579193,0.0392977,0.0362684,0.0671393,0.0529889,0.02571,0.0600453,0.0415645,0.0426086,0.071112,0,0.0351985,0.0103907,0.00775516,0.0461305,0.0687437,0,0,0,0,0,0,0,0,0,0
