Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M
9,0.0581666,0.0375271,0,0,0,0,0,0.0521392,0,0.0294069,0.0518092,0,0,0.01884,0,0,0.0598959,0.040227,0.0298777,0.0316481,0.0142866,0.0397043,0.0325115,0.0296748,0.0297923,0.0340709,0.0300902,0.0276495,0.0319253,0.0202064,0.024814,0.00501955,0.0490312,0.0223934,0.0251144,0.0400165,0,0.0196618,0.05567,0.0321422,0,0,0.0180747,0,0,0.0202895,0.0450481,0.0346769,0.036362,0.0162113,0.0484635,0.0421021,0.0484643,0.0624619,0.0452004,0.0414731,0.0635003,0.0451502,0.0498279,0.0739627,0.0246244,0.0284351,0.00572444,0.0122899,0.0469784,0.0675604,0,0,0,0,0,0,0,0,0
10,0.0579199,0.0376197,0,0,0,0,0,0.0523218,0,0.0285225,0.0507824,0,0,0.0187768,0,0,0.0597278,0.0406272,0.0298062,0.0313959,0.013728,0.039965,0.0323959,0.0297177,0.03048,0.033998,0.0297438,0.0270505,0.0318205,0.0198265,0.0242447,0.00357214,0.0490173,0.022283,0.0247986,0.0397283,0,0.0193437,0.0557414,0.0324194,0,0,0.0183222,0,0,0.020505,0.0442893,0.0334286,0.0363847,0.0154492,0.048129,0.0425784,0.0472526,0.0620347,0.0444198,0.0406537,0.0632861,0.0442711,0.0492715,0.073768,0.0245926,0.0281838,0.00559333,0.0126235,0.0470734,0.0672294,0,0,0,0,0,0,0,0,0
11,0.0576545,0.0377986,0,0,0,0,0,0.0522667,0,0.0276445,0.0498322,0,0,0.0188114,0,0,0.0595458,0.0409742,0.0300492,0.0309844,0.01335,0.0402783,0.0322494,0.0297965,0.0313813,0.0339126,0.0291545,0.0267796,0.031543,0.0194222,0.0235592,0.00220591,0.0490342,0.0220649,0.0244365,0.039995,0,0.0193508,0.0559709,0.0327834,0,0,0.0185051,0,0,0.0207001,0.0435915,0.0325959,0.0364144,0.0144472,0.0479486,0.0431454,0.0466409,0.0621897,0.0440392,0.039877,0.0633514,0.0436903,0.0491085,0.0736656,0.0247324,0.0278566,0.00541413,0.0130131,0.0472575,0.0673088,0,0,0,0,0,0,0,0,0
12,0.0573889,0.0379658,0,0,0,0,0,0.052274,0,0.0267707,0.0490647,0,0,0.0189358,0,0,0.0593458,0.0415747,0.0306367,0.0304884,0.0131029,0.0408277,0.0320687,0.0299826,0.0323313,0.0339434,0.0283073,0.0264919,0.0311528,0.0191402,0.0227473,0.00230483,0.0490657,0.0217992,0.0239893,0.0406415,0,0.019543,0.0562658,0.0332046,0,0,0.018687,0,0,0.020962,0.0427983,0.0324472,0.0360767,0.014026,0.0479214,0.0438576,0.0465432,0.0626229,0.043794,0.0389255,0.0634937,0.0434974,0.0490592,0.0734159,0.0250503,0.0276261,0.00527461,0.0134678,0.0473692,0.0674557,0,0,0,0,0,0,0,0,0
13,0.0571384,0.0380089,0,0,0,0,0,0.0521428,0,0.025813,0.0482321,0,0,0.0190838,0,0,0.0591214,0.0423503,0.0312974,0.0299709,0.0128663,0.041454,0.0316436,0.0301736,0.0334115,0.0342835,0.0274946,0.0262469,0.0309087,0.0189656,0.0217581,0.00437567,0.0491061,0.0213994,0.0235451,0.0412104,0,0.0196667,0.0564256,0.0336318,0,0,0.0189278,0,0,0.0212737,0.0417894,0.0328017,0.0357166,0.0145918,0.0479449,0.0445805,0.046562,0.0629365,0.0433776,0.0380835,0.0635683,0.0436234,0.0488813,0.0729892,0.0254774,0.0274751,0.00519366,0.0138831,0.0473469,0.0674196,0,0,0,0,0,0,0,0,0
14,0.0569388,0.0379964,0,0,0,0,0,0.0517371,0,0.0246833,0.0473355,0,0,0.0192097,0,0,0.0589107,0.0431346,0.0316401,0.0293396,0.0124236,0.0421661,0.0311544,0.0303297,0.034511,0.0349272,0.0268626,0.0260013,0.0309846,0.0186875,0.02049,0.00724215,0.0490831,0.0211166,0.0232234,0.041701,0,0.0198172,0.0563265,0.0340193,0,0,0.0192062,0,0,0.0215151,0.0406749,0.0331386,0.0354821,0.0155939,0.0479255,0.045245,0.0463712,0.0629985,0.0427327,0.0374619,0.0634449,0.0436225,0.048437,0.0723661,0.025597,0.0273032,0.00511798,0.0142674,0.047229,0.0671132,0,0,0,0,0,0,0,0,0
15,0.056809,0.0380359,0,0,0,0,0,0.0511046,0,0.0235478,0.0462363,0,0,0.0193662,0,0,0.058873,0.0438346,0.0315546,0.0288107,0.0116549,0.0430474,0.0309501,0.0304403,0.0355388,0.0356686,0.0262832,0.0256041,0.0310831,0.0181427,0.0189579,0.0106784,0.0490429,0.0212289,0.0229494,0.0421486,0,0.0198552,0.0560066,0.0342709,0,0,0.0194734,0,0,0.0217003,0.0397151,0.0330888,0.0354357,0.0163092,0.0478085,0.0458546,0.0460243,0.0627251,0.0424907,0.0366749,0.0630823,0.0432714,0.0478867,0.0717631,0.0254794,0.0270605,0.00505793,0.0146841,0.04715,0.067113,0,0,0,0,0,0,0,0,0
16,0.056717,0.0381105,0,0,0,0,0,0.0502737,0,0.0225802,0.0448995,0,0,0.0194551,0,0,0.0590003,0.044538,0.031341,0.0281867,0.010671,0.0440993,0.0309353,0.0303432,0.0366604,0.0365447,0.0256579,0.0253103,0.0310436,0.017422,0.0172846,0.0143405,0.0489575,0.0214704,0.022752,0.0423916,0,0.0196914,0.0555115,0.0344266,0,0,0.0197787,0,0,0.0219151,0.039139,0.0328276,0.0356974,0.0165223,0.0476773,0.0463988,0.0455607,0.0623732,0.0420794,0.0357141,0.0625773,0.0427118,0.0473554,0.0713187,0.0252154,0.0267402,0.0049957,0.0151733,0.0471169,0.0673089,0,0,0,0,0,0,0,0,0
17,0.0566929,0.0381984,0,0,0,0,0,0.0494761,0,0.0218585,0.0436336,0,0,0.0195394,0,0,0.0592408,0.0452252,0.0309357,0.0275069,0.00970038,0.0450766,0.0310104,0.0301631,0.0381191,0.0376641,0.0248905,0.0252203,0.0310606,0.0169299,0.0157092,0.0176854,0.0487395,0.0216009,0.0228621,0.0422899,0,0.0196199,0.0550812,0.0345205,0,0,0.0201895,0,0,0.022255,0.0388459,0.0324644,0.03621,0.0165083,0.0475329,0.0469668,0.0452231,0.0619923,0.041399,0.0347914,0.0620681,0.0421748,0.0469121,0.071034,0.0250327,0.0264017,0.00495908,0.0156184,0.0471228,0.0675283,0,0,0,0,0,0,0,0,0
18,0.0566953,0.0382633,0,0,0,0,0,0.0484904,0,0.0213738,0.0425689,0,0,0.0196756,0,0,0.0595511,0.0460168,0.0307676,0.0268524,0.00903016,0.0459006,0.0312341,0.0299334,0.0395458,0.0388797,0.0241278,0.0253523,0.0311878,0.0167299,0.0145467,0.0205288,0.0484526,0.0216541,0.0232834,0.0422312,0,0.0196161,0.0548591,0.0345057,0,0,0.0206242,0,0,0.0225482,0.0385422,0.0320392,0.0367794,0.016493,0.0475151,0.0475468,0.0448045,0.0615887,0.0415106,0.0339367,0.0617561,0.0417348,0.0466057,0.070899,0.024946,0.0261089,0.0048759,0.0160111,0.0471196,0.0674786,0,0,0,0,0,0,0,0,0
