Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
117,0.0478357,0.0412855,0,0,0,0,0,0,0.0336637,0,0.0349658,0.0511411,0,0,0.0253175,0,0,0.0647552,0.0305167,0.026968,0.0344104,0.0134897,0.0483981,0.030509,0.0295088,0.0350868,0.0351924,0.0254295,0.0296042,0.0345455,0.0195838,0.0248183,0.0217785,0.0383343,0.0250186,0.0326401,0.0515468,0,0.0139871,0.0415299,0.0372986,0,0,0.0152391,0,0,0.0184048,0.054485,0.0538924,0.0375607,0.0270627,0.0588109,0.0376329,0.0353999,0.0602439,0.049946,0.0273742,0.0637845,0.0463744,0.0494678,0.0789021,0.0769508,0.0341599,0.00977519,0.00835171,0.0457406,0.0642917,0,0,0,0,0,0,0,0
118,0.0477946,0.0412543,0,0,0,0,0,0,0.0337156,0,0.0350111,0.0516763,0,0,0.0253288,0,0,0.0646121,0.030536,0.0266005,0.0344199,0.0134505,0.0480298,0.0302261,0.028909,0.0352796,0.0353383,0.0252919,0.0294794,0.0344777,0.0194745,0.0245174,0.0218848,0.0384181,0.0248929,0.032423,0.0513377,0,0.0141246,0.0422187,0.0373804,0,0,0.0153093,0,0,0.018339,0.0541211,0.0533944,0.0379534,0.0250515,0.0588962,0.0376744,0.0364046,0.0614912,0.0502837,0.0281299,0.0639162,0.0466381,0.0498162,0.0788654,0.0763071,0.034177,0.0097029,0.00822477,0.0458771,0.0640771,0,0,0,0,0,0,0,0
119,0.0477846,0.0412018,0,0,0,0,0,0,0.0337405,0,0.0351085,0.0521205,0,0,0.0252617,0,0,0.0645118,0.0305965,0.0265226,0.034223,0.0134191,0.0477295,0.0299928,0.028247,0.0353022,0.0354697,0.0253665,0.0293911,0.0343708,0.0192997,0.0244015,0.0218499,0.0384925,0.0248136,0.0320971,0.0508926,0,0.0141906,0.0429251,0.037449,0,0,0.0153264,0,0,0.0182999,0.0536977,0.0529368,0.0381834,0.0230722,0.0589557,0.0375872,0.037524,0.062889,0.0506376,0.0290287,0.0640983,0.0468956,0.0500857,0.0788822,0.0751965,0.0341994,0.00977224,0.0080589,0.0460246,0.0639563,0,0,0,0,0,0,0,0
120,0.0477776,0.0411796,0,0,0,0,0,0,0.0337383,0,0.0351167,0.0524578,0,0,0.0251861,0,0,0.0644527,0.0306623,0.0268421,0.0339928,0.0134512,0.0474026,0.0297036,0.0274678,0.0351088,0.0355625,0.0255804,0.0293977,0.0343429,0.0192655,0.0243057,0.02152,0.0385638,0.0248432,0.0317475,0.0500228,0,0.0141071,0.0436751,0.037538,0,0,0.0153464,0,0,0.0182152,0.0532432,0.0526762,0.0383974,0.0209896,0.05891,0.0375148,0.0387381,0.0643452,0.0510224,0.0301224,0.064305,0.0469283,0.0502817,0.0787557,0.0729542,0.0342394,0.00993898,0.00781144,0.0460794,0.0638776,0,0,0,0,0,0,0,0
121,0.0477345,0.0411612,0,0,0,0,0,0,0.034012,0,0.0353074,0.0527531,0,0,0.0250911,0,0,0.0643841,0.0307616,0.0271521,0.0338177,0.0135124,0.04705,0.0293064,0.0268634,0.0348336,0.0356006,0.0257238,0.0294214,0.0343791,0.0192436,0.0243193,0.0211699,0.0385705,0.0249555,0.031482,0.0485707,0,0.0138766,0.0445361,0.0376829,0,0,0.0153392,0,0,0.0180843,0.0528531,0.052254,0.0386265,0.0188815,0.0587654,0.0374697,0.0399536,0.0657438,0.0513923,0.0315277,0.0644905,0.0468613,0.0504315,0.0782184,0.0693191,0.034239,0.0100543,0.00763291,0.0460404,0.0637646,0,0,0,0,0,0,0,0
122,0.0476551,0.0411404,0,0,0,0,0,0,0.0344569,0,0.0355443,0.0530508,0,0,0.0249381,0,0,0.0643314,0.0309513,0.0273512,0.0335418,0.0135729,0.0467692,0.0289482,0.026961,0.0345336,0.0355998,0.0260762,0.0294183,0.0343522,0.0192543,0.0243752,0.0207898,0.0386605,0.025101,0.0311758,0.0466346,0,0.0140002,0.0455043,0.0379213,0,0,0.0153195,0,0,0.0179549,0.0525144,0.0513074,0.0388796,0.0168692,0.0585831,0.0373609,0.0412055,0.0670117,0.0517213,0.0332509,0.0645491,0.0467725,0.0505089,0.0775546,0.0643851,0.0342195,0.0101439,0.00751302,0.045988,0.0636651,0,0,0,0,0,0,0,0
123,0.0476133,0.0410871,0,0,0,0,0,0,0.0350678,0,0.0358144,0.0532264,0,0,0.0249466,0,0,0.0643163,0.0312664,0.0274995,0.0331024,0.0136852,0.0465937,0.0286789,0.0272261,0.0341763,0.0356368,0.0264115,0.029479,0.0343123,0.0192948,0.0245689,0.0201727,0.0388212,0.0252493,0.031025,0.0444807,0,0.0144441,0.0464839,0.0380264,0,0,0.0153275,0,0,0.017805,0.0522763,0.0503768,0.0391739,0.0150061,0.0584388,0.0371279,0.0425066,0.0682283,0.0520384,0.0351215,0.0644819,0.0466637,0.0505161,0.0767265,0.0581179,0.0342251,0.0101814,0.00743064,0.0459355,0.0636721,0,0,0,0,0,0,0,0
124,0.0476593,0.0409738,0,0,0,0,0,0,0.0358868,0,0.0359738,0.0531132,0,0,0.0250208,0,0,0.0642528,0.0316913,0.0274985,0.0327254,0.0137655,0.0465619,0.0285477,0.0273101,0.0337583,0.0356376,0.0270032,0.0296106,0.0343344,0.0193412,0.0248454,0.0193933,0.0388553,0.0253129,0.0311562,0.0427146,0,0.0152637,0.0471528,0.0378921,0,0,0.0153059,0,0,0.017688,0.0520786,0.0498504,0.0391857,0.0135114,0.0582316,0.0368607,0.0439315,0.06921,0.0523012,0.0366134,0.0643304,0.0464289,0.0504239,0.0756588,0.051261,0.0342612,0.010371,0.00733769,0.0458541,0.0637172,0,0,0,0,0,0,0,0
125,0.0477179,0.040876,0,0,0,0,0,0,0.0366714,0,0.0363713,0.0527709,0,0,0.0251669,0,0,0.064143,0.0323508,0.0274533,0.0323423,0.0139622,0.046405,0.0284473,0.0274103,0.0332308,0.0356155,0.0275772,0.0299153,0.0343825,0.0195837,0.0252671,0.0186344,0.0389217,0.0255041,0.0312567,0.0415148,0,0.0166421,0.0480556,0.0376901,0,0,0.0152932,0,0,0.0176136,0.0518872,0.0488544,0.0391242,0.0123903,0.0577911,0.0365903,0.0454293,0.0698833,0.0525755,0.037783,0.0639958,0.0461169,0.0503344,0.0747863,0.0441064,0.0343105,0.0105286,0.00717974,0.0458477,0.0636275,0,0,0,0,0,0,0,0
126,0.0477697,0.0408255,0,0,0,0,0,0,0.0372984,0,0.0366933,0.0523248,0,0,0.0252646,0,0,0.0641288,0.033151,0.0274407,0.0320156,0.0143252,0.0462347,0.0283687,0.0276702,0.0326829,0.0355425,0.0283102,0.0302743,0.0345595,0.0197624,0.0255205,0.0179537,0.0389862,0.0258325,0.031218,0.0409709,0,0.0185434,0.0489242,0.0375855,0,0,0.0153033,0,0,0.0175249,0.051639,0.0477411,0.0391263,0.0123367,0.0573422,0.036257,0.0465908,0.069875,0.0524175,0.0396559,0.0636004,0.0458006,0.0503112,0.0741584,0.0371123,0.0344222,0.0104876,0.00701707,0.0458374,0.0635082,0,0,0,0,0,0,0,0
127,0.0478418,0.0408308,0,0,0,0,0,0,0.0380033,0,0.0369202,0.0518401,0,0,0.0254549,0,0,0.0641807,0.0340206,0.0275534,0.0316694,0.0147439,0.0460672,0.0282942,0.028072,0.0321054,0.0354083,0.0291635,0.0306151,0.0347668,0.0199652,0.0257928,0.0174292,0.0389386,0.0261057,0.0311511,0.0416691,0,0.0200317,0.0497114,0.0374696,0,0,0.0152802,0,0,0.0174985,0.0513775,0.0462956,0.039274,0.0135313,0.0570009,0.0359026,0.0473528,0.0690021,0.0521859,0.0420121,0.0632483,0.0455351,0.0504153,0.0734747,0.0312108,0.0345532,0.0105336,0.00687051,0.0458244,0.0634159,0,0,0,0,0,0,0,0
128,0.0478919,0.0408432,0,0,0,0,0,0,0.0388427,0,0.0370904,0.0511991,0,0,0.0256482,0,0,0.0642513,0.034928,0.0274769,0.0312831,0.0151777,0.0458943,0.0281945,0.0285078,0.0314445,0.0353308,0.0299196,0.0309509,0.0350489,0.0202303,0.0258955,0.0169834,0.0389358,0.0263268,0.0311546,0.0422729,0,0.0210717,0.0505981,0.0371898,0,0,0.0150224,0,0,0.0175046,0.0511313,0.0452076,0.0394898,0.0158124,0.0564829,0.0356915,0.0478627,0.0670149,0.0524106,0.0443051,0.0631298,0.0454129,0.0505958,0.0733543,0.0269314,0.0346551,0.0107724,0.00676946,0.0457715,0.0633029,0,0,0,0,0,0,0,0
129,0.0480006,0.0408686,0,0,0,0,0,0,0.0394037,0,0.0373306,0.0506566,0,0,0.0259416,0,0,0.0642571,0.0357001,0.0272985,0.03113,0.0156379,0.0457552,0.0280095,0.0287997,0.0307193,0.0352556,0.0307937,0.0313235,0.0353969,0.0206108,0.0261343,0.016582,0.0389878,0.0267186,0.0312035,0.0426953,0,0.0222545,0.051295,0.0368192,0,0,0.014791,0,0,0.0174978,0.0510527,0.0452934,0.0394834,0.0185073,0.0559023,0.0354787,0.0481871,0.0643499,0.0527425,0.045965,0.0628653,0.0452189,0.0506252,0.0737736,0.0243454,0.0347317,0.0110973,0.00674586,0.0457366,0.063182,0,0,0,0,0,0,0,0
130,0.0480881,0.0408901,0,0,0,0,0,0,0.0402959,0,0.0376186,0.0501585,0,0,0.0263496,0,0,0.0642223,0.0363768,0.0270901,0.0310952,0.0160631,0.0457421,0.0277707,0.0291007,0.0299044,0.0352072,0.0314958,0.0317599,0.0357353,0.0209749,0.0264342,0.0157358,0.039013,0.0272567,0.0311065,0.0425321,0,0.023359,0.05172,0.0365733,0,0,0.0146917,0,0,0.0174067,0.0511278,0.0459338,0.0395123,0.0207584,0.0554702,0.0353538,0.0484282,0.061651,0.0528826,0.0471958,0.0623777,0.0448045,0.0504177,0.0741784,0.0228175,0.0347835,0.0111952,0.00665384,0.0456981,0.0630989,0,0,0,0,0,0,0,0
131,0.0481027,0.0408963,0,0,0,0,0,0,0.0409961,0,0.0378382,0.0497321,0,0,0.0266444,0,0,0.0642197,0.0369256,0.0270107,0.0310539,0.0164826,0.045761,0.0276074,0.0293227,0.0294508,0.0351479,0.0319509,0.0320461,0.0360552,0.0212394,0.0264698,0.0153325,0.0391378,0.0277266,0.0310196,0.0417833,0,0.024252,0.052017,0.0365127,0,0,0.0146692,0,0,0.0172849,0.0514215,0.046669,0.0398562,0.0224578,0.0552493,0.0353304,0.0485513,0.0591645,0.0530265,0.0481123,0.0617956,0.0442492,0.0502352,0.0744934,0.0220828,0.0348068,0.0110633,0.00644855,0.0456633,0.0631023,0,0,0,0,0,0,0,0
132,0.0478343,0.0412025,0,0,0,0,0,0,0.0394213,0,0.0367612,0.0493249,0,0,0.0267547,0,0,0.0645147,0.0371522,0.0263396,0.0309234,0.0170992,0.0450767,0.0276781,0.0294277,0.0281923,0.0351743,0.0326963,0.0330102,0.0364368,0.0223736,0.0275302,0.0168321,0.0389748,0.0277719,0.0311628,0.04373,0,0.024971,0.0522846,0.0367193,0,0,0.0141859,0,0,0.0179676,0.051466,0.0476482,0.0400415,0.0229941,0.0543661,0.0356171,0.04708,0.0567358,0.0516958,0.0478728,0.0630664,0.0454418,0.0508331,0.0746104,0.0231354,0.0345292,0.0105841,0.00645494,0.0460091,0.0629163,0,0,0,0,0,0,0,0
133,0.0476931,0.0414355,0,0,0,0,0,0,0.0397501,0,0.0369141,0.0492333,0,0,0.0267084,0,0,0.0646742,0.0374527,0.0263994,0.0309677,0.0173155,0.0445458,0.0276154,0.0295178,0.0278259,0.0351191,0.032717,0.0333703,0.0367433,0.0225818,0.0275337,0.0168147,0.0387778,0.0277864,0.0312367,0.0457215,0,0.0260601,0.0527698,0.0368471,0,0,0.0139907,0,0,0.0184442,0.0512813,0.0489602,0.0399226,0.023672,0.0536389,0.0358412,0.0457985,0.0552225,0.0506992,0.0476205,0.0645157,0.0466573,0.0514904,0.0747704,0.0247366,0.0342033,0.0103344,0.00664637,0.0463343,0.0626751,0,0,0,0,0,0,0,0
134,0.0474656,0.0415711,0,0,0,0,0,0,0.0401092,0,0.0367932,0.0492449,0,0,0.0265817,0,0,0.0647005,0.0376305,0.026588,0.0309456,0.0174593,0.0442874,0.0274468,0.0295608,0.0277708,0.0351402,0.0327834,0.0335097,0.037,0.0227654,0.0276039,0.0165424,0.0386068,0.0276235,0.0311981,0.046715,0,0.0266619,0.0530811,0.0369901,0,0,0.0140041,0,0,0.0187222,0.0509231,0.049869,0.0397406,0.0240966,0.0533758,0.0361054,0.0454377,0.0549691,0.0501558,0.0477111,0.0651879,0.0473343,0.0517692,0.0748039,0.0258194,0.0339408,0.0100821,0.00688943,0.0465381,0.0624624,0,0,0,0,0,0,0,0
135,0.0472088,0.0415522,0,0,0,0,0,0,0.0403191,0,0.0366153,0.0493982,0,0,0.0265365,0,0,0.0646152,0.0375196,0.0267945,0.0308838,0.0174357,0.0442957,0.0272134,0.0295452,0.0278837,0.0352175,0.0328713,0.0334867,0.0368,0.0228611,0.0278447,0.0161098,0.0385979,0.0274777,0.0310893,0.046393,0,0.026556,0.0530785,0.0372742,0,0,0.0142535,0,0,0.0186912,0.0504843,0.0501526,0.0395768,0.0238476,0.0535664,0.0364697,0.0458056,0.0556254,0.0500199,0.0479605,0.0650807,0.0474133,0.051738,0.0747666,0.025942,0.0336802,0.00973688,0.0070891,0.0465495,0.0623551,0,0,0,0,0,0,0,0
