Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,RTOE,IMUR_M
157,0.0478487,0.0371973,0,0,0,0,0,0.054737,0,0.0247361,0.0476937,0,0,0.0291185,0,0,0.0643135,0.0353525,0.0264934,0.0283706,0.0220539,0.0352448,0.0309494,0.0315202,0.0279451,0.0345561,0.0331014,0.0416096,0.0417878,0.0333412,0.0365177,0.0161824,0.0337574,0.0169735,0.0301398,0.0596815,0,0.0220415,0.0511472,0.0396747,0,0,0.0102657,0,0,0.0177583,0.0494669,0.0399019,0.0370358,0.0256741,0.0446083,0.0366113,0.0487717,0.0548221,0.0467445,0.0681136,0.0527328,0.0558603,0.0771072,0.0358669,0.0149611,0.00732392,0.0425717,0.0665746,0,0,0,0,0,0,0,0,0.0511742,0.0204412,0
158,0.0478076,0.0370831,0,0,0,0,0,0.0550388,0,0.0244485,0.0478805,0,0,0.0290491,0,0,0.0641676,0.0352028,0.0263525,0.0282257,0.0219389,0.0351999,0.0307768,0.0311241,0.0279047,0.0346342,0.0337961,0.0413707,0.0418058,0.0331022,0.0364243,0.0160721,0.0338206,0.0170042,0.02995,0.0584383,0,0.0214193,0.0510575,0.0397047,0,0,0.0103998,0,0,0.0175496,0.0495526,0.0388672,0.0371353,0.0250885,0.0450349,0.0365108,0.0497349,0.0554754,0.0469953,0.0672232,0.0520822,0.0554472,0.0773134,0.0359396,0.0151506,0.00729804,0.0425384,0.0665052,0,0,0,0,0,0,0,0,0.0515389,0.019039,0
159,0.0479148,0.0366747,0,0,0,0,0,0.0616262,0,0.0277002,0.0482691,0,0,0.0286977,0,0,0.0637197,0.0352437,0.0287337,0.0282104,0.020121,0.0354952,0.0304387,0.0304354,0.0297399,0.0344037,0.0325561,0.0389709,0.0405035,0.0297109,0.0332766,0.0211531,0.0342513,0.0169697,0.0294988,0.0596799,0,0.0235249,0.0510572,0.0395982,0,0,0.0107506,0,0,0.0169139,0.0492323,0.0384298,0.0373341,0.0227704,0.0457211,0.0361253,0.0505459,0.0575414,0.047051,0.0654892,0.0490952,0.0539392,0.0772858,0.0361549,0.0156397,0.00720574,0.042209,0.0663757,0,0,0,0,0,0,0,0,0.052466,0.0188207,0
160,0.0478161,0.036725,0,0,0,0,0,0.0624917,0,0.0271267,0.0484494,0,0,0.028513,0,0,0.0636096,0.0352386,0.0284443,0.0280787,0.0196847,0.034981,0.0301031,0.030185,0.0300068,0.0343654,0.0324667,0.0388057,0.0402326,0.0292912,0.0331272,0.021047,0.0342624,0.0167938,0.0292254,0.0590886,0,0.0224425,0.0511201,0.0396438,0,0,0.0107136,0,0,0.0169414,0.0488543,0.0364508,0.0377537,0.0216112,0.0457292,0.0362862,0.0503447,0.0582383,0.0467826,0.0656223,0.0491143,0.0543072,0.0773049,0.0361946,0.0156365,0.00719374,0.0424008,0.0662354,0,0,0,0,0,0,0,0,0.0522738,0.0189256,0
161,0.0476858,0.0367873,0,0,0,0,0,0.0634492,0,0.0264201,0.048435,0,0,0.028258,0,0,0.0635239,0.0352945,0.0280227,0.0278346,0.0191291,0.0345354,0.0297221,0.0304053,0.0302938,0.0343254,0.0323113,0.0386948,0.0396397,0.0288545,0.0329009,0.0210505,0.0344474,0.0166624,0.0289008,0.0588642,0,0.0214498,0.0510619,0.0397541,0,0,0.0106406,0,0,0.0170145,0.0481487,0.034383,0.0380554,0.0205226,0.0456517,0.0364181,0.0503745,0.0588673,0.0464788,0.0660725,0.0492235,0.054765,0.0774551,0.036246,0.0156856,0.00709819,0.0426191,0.0660891,0,0,0,0,0,0,0,0,0.0514534,0.0199841,0
162,0.047581,0.0368471,0,0,0,0,0,0.0643539,0,0.025606,0.0481196,0,0,0.0279367,0,0,0.0633639,0.0356351,0.0274588,0.0275223,0.0185568,0.0340163,0.0293291,0.0297845,0.0306236,0.0343168,0.0323095,0.038158,0.0397065,0.0284979,0.0324744,0.0211088,0.034746,0.0166678,0.0285499,0.0576437,0,0.0205784,0.051199,0.0398894,0,0,0.0105314,0,0,0.0171079,0.0469813,0.0321524,0.0382574,0.0199048,0.0454112,0.0365201,0.0504032,0.0592655,0.0458788,0.0663811,0.0491796,0.0548405,0.0773906,0.0363301,0.0158661,0.0070309,0.0428488,0.0660026,0,0,0,0,0,0,0,0,0.050819,0.0210016,0
163,0.0469574,0.0369075,0,0,0,0,0,0.0653499,0,0.0246507,0.0473858,0,0,0.0270823,0,0,0.0625257,0.0369797,0.0269172,0.0272275,0.01785,0.0324432,0.027809,0.0298614,0.0312263,0.0343166,0.0324336,0.0373742,0.0397912,0.02807,0.0320124,0.0212736,0.0358124,0.016271,0.0271905,0.0550204,0,0.0210623,0.0540266,0.0402341,0,0,0.0103143,0,0,0.0171527,0.045442,0.0319942,0.0415376,0.0202705,0.0452922,0.0366743,0.0522025,0.0621656,0.0466181,0.0632293,0.0460856,0.0518327,0.0746027,0.0367229,0.0161723,0.00683549,0.0435171,0.0648333,0,0,0,0,0,0,0,0,0,0.0214353,0
164,0.0468581,0.0369417,0,0,0,0,0,0.0659994,0,0.0234754,0.0468022,0,0,0.0267313,0,0,0.0622512,0.037624,0.026306,0.0269557,0.0171521,0.0323308,0.0273066,0.0297438,0.0315633,0.0343319,0.0320121,0.0369484,0.0394407,0.0275904,0.0314118,0.0209875,0.0361949,0.0160769,0.0267665,0.0519516,0,0.0207333,0.0543222,0.0405148,0,0,0.0102196,0,0,0.0171609,0.0445436,0.0304605,0.0419965,0.0201804,0.0451208,0.0369214,0.0512931,0.0618636,0.0453523,0.0627029,0.0453228,0.0507377,0.0738392,0.0367345,0.0160731,0.00685371,0.0436269,0.0650068,0,0,0,0,0,0,0,0,0,0.0215302,0
165,0.0467905,0.036998,0,0,0,0,0,0.0665775,0,0.0221641,0.0459946,0,0,0.0264565,0,0,0.0620026,0.0383212,0.0257433,0.026598,0.0164467,0.03247,0.026901,0.0297246,0.0319817,0.0343464,0.0310459,0.0365468,0.0385908,0.0270994,0.0307973,0.0201692,0.0364559,0.0158276,0.0264544,0.0495515,0,0.0202619,0.0544792,0.0408366,0,0,0.0101235,0,0,0.017178,0.0434146,0.0292129,0.0423285,0.0198359,0.044917,0.0371698,0.0498915,0.0615992,0.0442319,0.0621132,0.0443768,0.0496504,0.0732374,0.0367091,0.0159149,0.00694461,0.0437877,0.0652653,0,0,0,0,0,0,0,0,0,0.0214326,0
166,0.0472484,0.0370755,0,0,0,0,0,0.0674176,0,0.0207957,0.0451091,0,0,0.0264947,0,0,0.0623214,0.0382999,0.0252913,0.0260314,0.015856,0.0336383,0.0274507,0.0292332,0.032424,0.0343339,0.0304717,0.0360404,0.038114,0.0266497,0.0300789,0.0190329,0.0358238,0.0161351,0.0269106,0.0480447,0,0.0195596,0.0520083,0.0411116,0,0,0.0102517,0,0,0.0173055,0.042553,0.0258175,0.0391935,0.0193007,0.0444584,0.0375604,0.0466232,0.0589423,0.0419681,0.0646841,0.0463291,0.0512713,0.0750114,0.0363415,0.0156198,0.00724982,0.0435445,0.0666747,0,0,0,0,0,0,0,0,0.0490288,0.0215098,0
167,0.0471576,0.0372711,0,0,0,0,0,0.067701,0,0.01976,0.0438909,0,0,0.0262837,0,0,0.0620655,0.0390677,0.025293,0.0254617,0.0152151,0.0338716,0.0272254,0.0292451,0.0333056,0.0342392,0.0297373,0.0354028,0.0380814,0.0261115,0.0290494,0.0175121,0.0360787,0.0159532,0.0264458,0.0479394,0,0.0196538,0.052118,0.0415718,0,0,0.0103307,0,0,0.0173929,0.0412776,0.024288,0.0390242,0.0184636,0.0442595,0.0380742,0.0455728,0.0591667,0.0411764,0.065152,0.046278,0.051016,0.0747205,0.0362669,0.0154911,0.00740598,0.0438554,0.0669954,0,0,0,0,0,0,0,0,0.0485257,0.0222176,0
168,0.0465545,0.0376045,0,0,0,0,0,0.0679874,0,0.0190376,0.0422428,0,0,0.0257505,0,0,0.0612337,0.0408696,0.0255977,0.0249335,0.0144095,0.0333578,0.0261503,0.029684,0.0345615,0.0344218,0.0288795,0.0344953,0.0379695,0.0253838,0.0279272,0.0160204,0.0371921,0.0153972,0.0252018,0.0482754,0,0.0200779,0.0551091,0.0421551,0,0,0.0103048,0,0,0.0174308,0.0395787,0.0257019,0.0421432,0.0169299,0.0446497,0.038767,0.0468727,0.0621055,0.0412158,0.0626231,0.0440313,0.0486925,0.0722499,0.0363691,0.015434,0.00745352,0.0446868,0.0663453,0,0,0,0,0,0,0,0,0,0.0227441,0
169,0.0469578,0.037816,0,0,0,0,0,0.0671254,0,0.0178483,0.0408423,0,0,0.0257292,0,0,0.0616766,0.040832,0.0255685,0.0244143,0.0139294,0.0348824,0.0266906,0.0290213,0.0355706,0.0348539,0.0275585,0.033741,0.0372206,0.0247999,0.0264904,0.0139033,0.0366425,0.0157506,0.0257107,0.0484156,0,0.0198014,0.0524425,0.0425846,0,0,0.0105795,0,0,0.0175374,0.0390405,0.0241774,0.0390751,0.0175387,0.0446687,0.0396707,0.0450329,0.0598446,0.0380641,0.0654498,0.0470499,0.0507417,0.074096,0.0357449,0.0149149,0.00804772,0.0444727,0.0679087,0,0,0,0,0,0,0,0,0.0472368,0.023227,0
170,0.0468336,0.038019,0,0,0,0,0,0.0647423,0,0.0167107,0.0392774,0,0,0.0255935,0,0,0.0616997,0.0414909,0.0257091,0.0236855,0.01347,0.0357445,0.0266892,0.0287885,0.0366963,0.0355142,0.0264196,0.0330142,0.0365729,0.0238839,0.024608,0.011727,0.0365884,0.0157558,0.0255424,0.0488965,0,0.0199548,0.0517319,0.0431008,0,0,0.0108818,0,0,0.0177436,0.0378325,0.0249124,0.0392909,0.0179723,0.0447504,0.040672,0.0448088,0.0602076,0.0363667,0.0655527,0.0470759,0.0502994,0.0736138,0.0352789,0.0145757,0.0086139,0.0446874,0.0683068,0,0,0,0,0,0,0,0,0.0465927,0.0238011,0
171,0.046673,0.038232,0,0,0,0,0,0.0613954,0,0.0157961,0.0374677,0,0,0.0256119,0,0,0.0618692,0.0423167,0.0258297,0.0231234,0.0129657,0.0370586,0.0268951,0.0282108,0.0378078,0.0363728,0.0253229,0.0320502,0.0361545,0.0227893,0.0225657,0.0108246,0.0365222,0.0159562,0.0255249,0.0490872,0,0.0200886,0.0508853,0.0435946,0,0,0.0112588,0,0,0.0179751,0.0366115,0.0257325,0.0395075,0.0184442,0.0448475,0.0418027,0.0440959,0.0602471,0.0349182,0.0653651,0.0465845,0.0496414,0.0731137,0.0346792,0.014107,0.00929152,0.0447878,0.0686301,0,0,0,0,0,0,0,0,0.0462199,0.023507,0
172,0.0464569,0.0384045,0,0,0,0,0,0.0574341,0,0.0151153,0.0353515,0,0,0.025749,0,0,0.0620629,0.0433143,0.0261895,0.0224489,0.0124631,0.0388101,0.0274021,0.0275859,0.0390091,0.0372568,0.0241416,0.0306853,0.0357148,0.0216825,0.020639,0.0109968,0.0362587,0.0162011,0.0256556,0.0493765,0,0.0203268,0.0498412,0.0440381,0,0,0.0117251,0,0,0.0181671,0.0354753,0.0261133,0.0398537,0.0189475,0.0451966,0.0430395,0.0435162,0.0600059,0.0335729,0.0650076,0.0458933,0.0490051,0.0725894,0.0340536,0.0135036,0.0101083,0.0447716,0.0688864,0,0,0,0,0,0,0,0,0.0459936,0.0230063,0
173,0.0462421,0.0385743,0,0,0,0,0,0.0534137,0,0.0151136,0.0334377,0,0,0.0261689,0,0,0.0623397,0.0443661,0.026708,0.0216457,0.0118233,0.040422,0.0282145,0.0280183,0.0404002,0.0384624,0.0229571,0.0297408,0.0350202,0.0205819,0.0191407,0.0116995,0.0358179,0.0163616,0.0260516,0.0490872,0,0.0205147,0.0490645,0.0443912,0,0,0.0123055,0,0,0.0184827,0.0346521,0.026416,0.0403796,0.0193265,0.0455363,0.0443757,0.042862,0.0595527,0.0324157,0.0645555,0.0454204,0.0486665,0.0723534,0.0334009,0.0128322,0.0110126,0.0447662,0.0692012,0,0,0,0,0,0,0,0,0.0458819,0.0231324,0
174,0.0460482,0.0387896,0,0,0,0,0,0.0501382,0,0.0155618,0.0317728,0,0,0.0267066,0,0,0.0626046,0.0454104,0.0275649,0.0209094,0.0112063,0.0417925,0.0292936,0.0286337,0.0418829,0.0399964,0.0220828,0.0293388,0.0342626,0.0197266,0.0180134,0.0144437,0.0353011,0.0165152,0.0264656,0.0482319,0,0.0202233,0.0484507,0.0447297,0,0,0.0129994,0,0,0.0190301,0.0339942,0.0269667,0.0409362,0.0197151,0.0459652,0.0458541,0.0427027,0.0591997,0.0315429,0.0640008,0.0451988,0.0486207,0.0722192,0.0326595,0.0122962,0.0119548,0.0447951,0.0695052,0,0,0,0,0,0,0,0,0.0457915,0.0243414,0
175,0.0459258,0.0390556,0,0,0,0,0,0.0482577,0,0.0164519,0.0304582,0,0,0.0272113,0,0,0.062735,0.0464938,0.0289609,0.0202819,0.010778,0.0425144,0.0303668,0.0286984,0.0432507,0.0415065,0.0213915,0.0291822,0.033736,0.0191942,0.0171982,0.0191459,0.0346958,0.0166567,0.0267994,0.0471297,0,0.0198829,0.0481441,0.0451708,0,0,0.0137842,0,0,0.019478,0.0334766,0.0269714,0.0414419,0.0198262,0.0465353,0.0475049,0.0424896,0.0590358,0.030741,0.0637616,0.0449807,0.0485573,0.0720082,0.0319026,0.0117091,0.0128492,0.0449063,0.0698532,0,0,0,0,0,0,0,0,0.0457121,0.0255083,0
176,0.0458349,0.0393308,0,0,0,0,0,0.0468812,0,0.0182346,0.0295142,0,0,0.0276136,0,0,0.0629627,0.0474631,0.0304673,0.0197303,0.0104987,0.0434494,0.0312257,0.0288512,0.0444561,0.0427727,0.0205306,0.029228,0.0334745,0.0188904,0.0165746,0.0253797,0.034286,0.0166799,0.0271278,0.0464573,0,0.0199304,0.0482746,0.0456228,0,0,0.0145717,0,0,0.0197941,0.0331354,0.0267559,0.0417938,0.0196779,0.0472558,0.0491137,0.0421549,0.0591198,0.0300147,0.0636498,0.0446846,0.0483833,0.0718225,0.0312206,0.011067,0.0137169,0.0451392,0.0701692,0,0,0,0,0,0,0,0,0.0455728,0.025548,0
177,0.0457306,0.0395573,0,0,0,0,0,0.0445366,0,0.020919,0.0288839,0,0,0.0278605,0,0,0.0629312,0.0482279,0.0318123,0.019128,0.0103387,0.0444171,0.0318383,0.0290392,0.0454724,0.0440916,0.0203868,0.029586,0.0335595,0.0190195,0.0162901,0.0328124,0.0339874,0.0165575,0.0273803,0.0460232,0,0.0200078,0.0489294,0.0460118,0,0,0.0151929,0,0,0.020039,0.0330646,0.0269221,0.0417937,0.0193617,0.0479371,0.0505237,0.0411576,0.0591887,0.0295465,0.0635729,0.0444283,0.0482542,0.0716009,0.0306365,0.0105835,0.0145654,0.0454185,0.0704298,0,0,0,0,0,0,0,0,0.0452942,0.0250816,0
178,0.0456021,0.0396408,0,0,0,0,0,0.0396993,0,0.0239204,0.0291739,0,0,0.0281782,0,0,0.0630885,0.0478625,0.0339833,0.0189912,0.0104377,0.0454544,0.0327499,0.028787,0.0461081,0.0448017,0.0203493,0.0304418,0.0339708,0.0201063,0.0167682,0.0416991,0.0335573,0.0164873,0.0275485,0,0,0.025791,0.0481542,0.046537,0,0,0.0158274,0,0,0.0203395,0.0331899,0.0325917,0.039917,0.0221344,0.0483268,0.051854,0.0398548,0.0600965,0.0281612,0.0613746,0.0419043,0.0436705,0.0668257,0.0299093,0.0101768,0.0152209,0.0455474,0.0710421,0,0,0,0,0,0,0,0,0.044316,0.0339903,0
179,0.0452626,0.0397503,0,0,0,0,0,0.0362693,0,0.0262816,0.0283581,0,0,0.0281425,0,0,0.0630678,0.0492839,0.0361516,0.0184079,0.0105534,0.0463779,0.0329791,0.0291961,0.0466047,0.0454683,0.0198344,0.0313624,0.034209,0.0215891,0.017764,0.0488582,0.03355,0.0164154,0.0274125,0.0457794,0,0.0201001,0.0508839,0.0467929,0,0,0.0160479,0,0,0.0205649,0.0335507,0.0282181,0.0412193,0.018975,0.0487105,0.052423,0.0406386,0.059186,0.0285772,0.0631555,0.0438806,0.0477915,0.071064,0.0295259,0.00990032,0.0154229,0.0458618,0.0711505,0,0,0,0,0,0,0,0,0.0447893,0.0254815,0
180,0.0450606,0.0399297,0,0,0,0,0,0,0,0.0228699,0.0286626,0,0,0.0280715,0,0,0.0628358,0.0487458,0.0338668,0.0193,0.0105436,0.046866,0.0329663,0.0290053,0.0460405,0.0470941,0.0213256,0.0288629,0.0323353,0.0187998,0.0150411,0.0566982,0.0335773,0.0163468,0.0271463,0.0451792,0,0.0202087,0.0505158,0.0469009,0,0,0.0163483,0,0,0.0205535,0.034227,0.029095,0.0403654,0.0191418,0.0486155,0.0527213,0.040894,0.0591822,0.0288019,0.062901,0.0436089,0.0473922,0.0705724,0.029692,0.00968598,0.0155552,0.0461522,0.0708768,0,0,0,0,0,0,0,0,0.0443267,0.0253877,0
181,0.0447452,0.0401706,0,0,0,0,0,0.036045,0,0.0269677,0.0274549,0,0,0.0276427,0,0,0.0624611,0.0505427,0.0367016,0.0177061,0.0115066,0.0466494,0.0324872,0.0323738,0.0470759,0.0470753,0.0204067,0.032302,0.0344671,0.0235128,0.0191453,0.0538444,0.0339799,0.0160952,0.0266646,0.0439508,0,0.0202236,0.0550722,0.0470827,0,0,0.0163475,0,0,0.0205005,0.0335191,0.0318135,0.0436809,0.016028,0.0487032,0.0527491,0.0413142,0.0619822,0.0296618,0.0596827,0.0404118,0.0448375,0.0681003,0.0301163,0.00966626,0.0153766,0.0463507,0.070458,0,0,0,0,0,0,0,0,0,0.0246338,0
182,0.0447918,0.0402873,0,0,0,0,0,0.0363938,0,0.0271998,0.0272915,0,0,0.0275306,0,0,0.0623708,0.0502272,0.0362981,0.0175738,0.0121289,0.046301,0.0323002,0.0327193,0.0472021,0.0476713,0.0216554,0.032502,0.034599,0.0240472,0.0195892,0.0547477,0.0340184,0.0159101,0.0265126,0.0434826,0,0.0201519,0.0553126,0.0473667,0,0,0.0162641,0,0,0.0204851,0.0340586,0.0323618,0.0433522,0.0158854,0.0482724,0.052468,0.0405697,0.0620165,0.0296967,0.0594185,0.0401651,0.0445893,0.0679048,0.0304034,0.00967231,0.0150629,0.0461851,0.0706213,0,0,0,0,0,0,0,0,0,0.0245339,0
183,0.0449215,0.0402065,0,0,0,0,0,0.0364214,0,0.0280518,0.0273258,0,0,0.0274261,0,0,0.0622306,0.0497484,0.0358449,0.0176048,0.0126624,0.0458688,0.0319891,0.0315513,0.0472405,0.0481241,0.0226269,0.0327159,0.0345103,0.0244642,0.0199971,0.0542782,0.0341738,0.0157621,0.0263869,0.043115,0,0.0201354,0.0554251,0.0478235,0,0,0.0160825,0,0,0.020404,0.0345718,0.0326222,0.0430692,0.0158229,0.0477792,0.0519537,0.0404981,0.0620074,0.0296132,0.0591959,0.0400398,0.0444989,0.0679141,0.0307265,0.00969741,0.0146341,0.046009,0.0708632,0,0,0,0,0,0,0,0,0,0.0245,0
184,0.0452602,0.039691,0,0,0,0,0,0.0366289,0,0.0283419,0.0288568,0,0,0.0274462,0,0,0.062152,0.0489737,0.0347284,0.0210691,0.0156505,0.0462206,0.0319708,0.0314879,0,0.0498402,0.0201146,0.0326555,0.0339258,0.0240331,0.0194458,0.0531882,0.0341248,0.0157643,0.0264985,0.0428162,0,0.019638,0.0523222,0.0470844,0,0,0.0153638,0,0,0.0196994,0.035755,0.0315135,0.0389294,0.0180911,0.0461537,0.0502137,0.0399855,0.0592223,0.0284799,0.0615811,0.042525,0.0464687,0.0696627,0.031515,0.0100175,0.0134821,0.0458355,0.0706187,0,0,0,0,0,0,0,0,0.0452809,0.0250248,0
185,0.0457566,0.0395761,0,0,0,0,0,0.0371722,0,0.0290025,0.0284503,0,0,0.0277372,0,0,0.0621516,0.0474269,0.0342719,0.017479,0.0138193,0.0457804,0.0320937,0.0294012,0.0469381,0.0487362,0.0238091,0.0327333,0.0343444,0.0250489,0.0207923,0.0529117,0.0338729,0.015703,0.0266938,0.0428189,0,0.0193601,0.0525369,0.0479113,0,0,0.01562,0,0,0.0200083,0.036274,0.0313866,0.0389974,0.018016,0.0463681,0.0508803,0.0393064,0.0586624,0.0277822,0.0617445,0.0424401,0.0465675,0.0696471,0.0313347,0.00971742,0.0137573,0.0455207,0.0722149,0,0,0,0,0,0,0,0,0.0450521,0.0247534,0
186,0.0458997,0.039598,0,0,0,0,0,0.0367011,0,0.029074,0.0289049,0,0,0.0274175,0,0,0.0619664,0.0469992,0.0337273,0.0169646,0.0141188,0.0458216,0.0316122,0.0288588,0.0468054,0.0488195,0.0243577,0.0327487,0.0340534,0.0253495,0.021073,0.0525469,0.0343268,0.0156657,0.0265788,0.0427008,0,0.0193292,0.0529136,0.0477422,0,0,0.0152449,0,0,0.0198119,0.0366633,0.0316199,0.0384935,0.0177945,0.0456623,0.0503346,0.038633,0.0583268,0.0274512,0.0616029,0.0422518,0.0464687,0.0693729,0.0318437,0.00992078,0.0132051,0.0456175,0.0724622,0,0,0,0,0,0,0,0,0.0450475,0.0244827,0
187,0.0460455,0.0396563,0,0,0,0,0,0.0368976,0,0.0294424,0.0293519,0,0,0.0270275,0,0,0.061829,0.0467267,0.0336206,0.0165317,0.014392,0.0459135,0.0310878,0.0284244,0.0463928,0.0483579,0.0246749,0.0327282,0.0338208,0.0256982,0.0214323,0.0526284,0.0349091,0.0156766,0.0265385,0.0428761,0,0.0195261,0.053485,0.0475062,0,0,0.0149398,0,0,0.0197057,0.0370346,0.0318904,0.0379067,0.0176532,0.0450218,0.0497055,0.0381594,0.057994,0.0272208,0.0613559,0.042032,0.0463283,0.0691447,0.0324173,0.0102276,0.0126342,0.045791,0.0726311,0,0,0,0,0,0,0,0,0.045071,0.0243027,0
188,0.0461986,0.0396942,0,0,0,0,0,0.0370145,0,0.0295462,0.0297677,0,0,0.0266365,0,0,0.061706,0.046405,0.0335282,0.0162269,0.0147878,0.0460476,0.0305188,0.0281152,0.0457639,0.0481383,0.0248193,0.0326633,0.0337005,0.0258053,0.0216593,0.0525677,0.0354567,0.0159365,0.0264089,0.0431408,0,0.0199091,0.0541032,0.0473495,0,0,0.0146568,0,0,0.019538,0.0374584,0.0319101,0.0373103,0.0174559,0.0444835,0.0490181,0.0379735,0.0577102,0.0272066,0.061134,0.041846,0.0462502,0.06902,0.0330082,0.0105121,0.01207,0.0460662,0.072657,0,0,0,0,0,0,0,0,0.0450864,0.0242238,0
189,0.0463643,0.0396444,0,0,0,0,0,0.0357777,0,0.0291908,0.0301773,0,0,0.0263712,0,0,0.0615362,0.0459855,0.0331401,0.0161096,0.0155287,0.0464255,0.0299582,0.0279518,0.0454649,0.0478936,0.0251486,0.0325957,0.0336254,0.025837,0.0217381,0.0518079,0.0359946,0.0161508,0.0263414,0.0432647,0,0.0201814,0.0546956,0.0472532,0,0,0.0143291,0,0,0.0193184,0.0378839,0.0322869,0.036638,0.0173039,0.0440083,0.0483277,0.0382202,0.0575341,0.0276038,0.0610006,0.0417349,0.0462348,0.0688818,0.0335732,0.0107065,0.0115695,0.0465169,0.0726484,0,0,0,0,0,0,0,0,0.0450676,0.0241547,0
190,0.0465057,0.0393182,0,0,0,0,0,0.0354056,0,0.0293004,0.0305423,0,0,0.0260892,0,0,0.0614134,0.0455654,0.0329339,0.0161413,0.0160541,0.04683,0.0294367,0.0277995,0.045258,0.047197,0.0254069,0.0326304,0.0336483,0.0260492,0.0220934,0.0508039,0.0364104,0.0162718,0.0264405,0.0433618,0,0.0204469,0.0553788,0.0471575,0,0,0.0140283,0,0,0.0190634,0.0382846,0.0327566,0.0359973,0.0172559,0.0435705,0.0478053,0.0385339,0.0573719,0.0280323,0.0608837,0.0415764,0.0462352,0.0687435,0.0340729,0.0109212,0.011167,0.0471321,0.0726135,0,0,0,0,0,0,0,0,0.0450911,0.0240565,0
191,0.0466165,0.0390214,0,0,0,0,0,0.0358596,0,0.0295611,0.0307913,0,0,0.0258394,0,0,0.0613941,0.0450756,0.032703,0.0162757,0.0165272,0.0471395,0.0290237,0.027669,0.0450559,0.0463826,0.025522,0.0327544,0.0337217,0.0263324,0.0225275,0.05095,0.0366741,0.0163779,0.0266621,0.0433821,0,0.0209673,0.0561088,0.0470146,0,0,0.0138276,0,0,0.0187826,0.0386428,0.0329136,0.0354716,0.0173055,0.0433391,0.0473135,0.0386695,0.0572213,0.0283765,0.0607009,0.0413961,0.0461399,0.0686076,0.034488,0.0110728,0.0108999,0.0477238,0.0725118,0,0,0,0,0,0,0,0,0.0451771,0.0239915,0
192,0.0466639,0.038835,0,0,0,0,0,0.0362528,0,0.0295111,0.0309571,0,0,0.0256985,0,0,0.0613756,0.0444953,0.0324691,0.0164901,0.0170541,0.0474818,0.0287414,0.0275413,0.0448397,0.0455477,0.0256356,0.0329829,0.0337341,0.0265555,0.0227978,0.0510827,0.0367323,0.016529,0.0268889,0.0434853,0,0.0216025,0.0568167,0.0468149,0,0,0.0138085,0,0,0.0185596,0.0390371,0.0332043,0.0350231,0.0173514,0.043311,0.0469509,0.0386552,0.0570741,0.028693,0.0605624,0.0412377,0.0460865,0.068468,0.0348266,0.0111744,0.0107543,0.0482,0.0723266,0,0,0,0,0,0,0,0,0.0452764,0.0239562,0
193,0.0466415,0.0387397,0,0,0,0,0,0.0364908,0,0.0292968,0.030858,0,0,0.0257083,0,0,0.0614318,0.0442149,0.0323415,0.0167406,0.0174894,0.0479109,0.0285943,0.0274145,0.0445544,0.0460407,0.025722,0.0331787,0.0338057,0.0267635,0.0229989,0.0514181,0.0367954,0.0166881,0.0271162,0.0434832,0,0.0221544,0.0575343,0.0466223,0,0,0.0138849,0,0,0.0184203,0.0394366,0.0331319,0.0347272,0.0173023,0.0432674,0.046662,0.0387147,0.0569211,0.028924,0.0604429,0.0411541,0.0461301,0.0683887,0.0350531,0.0111864,0.0106813,0.0485463,0.072074,0,0,0,0,0,0,0,0,0.0454257,0.023822,0
194,0.0465611,0.0387254,0,0,0,0,0,0.0364396,0,0.0289708,0.0306532,0,0,0.0257542,0,0,0.0615916,0.0441429,0.032308,0.0170597,0.0180205,0.0484199,0.0285494,0.027031,0.0442912,0.046574,0.0258577,0.033159,0.0338928,0.0268966,0.0231944,0.0515147,0.036831,0.0167288,0.0272706,0.0433628,0,0.0223909,0.0581988,0.0464498,0,0,0.0139779,0,0,0.0183719,0.0398227,0.0331038,0.0344471,0.0171949,0.043231,0.046447,0.0389413,0.0567736,0.0290705,0.0603291,0.0411379,0.0462096,0.0683919,0.0351628,0.0112593,0.0106156,0.0486436,0.0718543,0,0,0,0,0,0,0,0,0.0455427,0.0236458,0
