Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,RTOE,IMUR_M
137,0.0481889,0.0380698,0,0,0,0,0,0.041388,0,0.029844,0.0508472,0,0,0.0296241,0,0,0.06423,0.0271866,0.0299669,0.0339795,0.0168453,0.0408844,0.0322535,0.0309188,0.0369776,0.0345554,0.0241408,0.0364898,0.0382641,0.0284164,0.030481,0.0180036,0.0332251,0.0170279,0.0301294,0.0516086,0,0.0134146,0.0362087,0.041533,0,0,0.0122084,0,0,0.0169836,0.0548569,0.0511459,0.0310321,0.026382,0.0516105,0.0406245,0.0385335,0.0636141,0.0302115,0.0688781,0.0509719,0.053174,0.0819639,0.0344413,0.0136558,0.00903769,0.0434254,0.069187,0,0,0,0,0,0,0,0,0.0534589,0.0713456,0
138,0.0480707,0.0380704,0,0,0,0,0,0.0423701,0,0.0296801,0.0513691,0,0,0.0294749,0,0,0.0640688,0.0269826,0.0297761,0.0336673,0.0168688,0.0405093,0.0317257,0.0307881,0.0367128,0.0347122,0.0241617,0.0363874,0.0381239,0.0283562,0.0305973,0.0177289,0.0334712,0.0170758,0.0298408,0.0512991,0,0.0133336,0.0369046,0.0416327,0,0,0.0122279,0,0,0.0170052,0.0545975,0.0504945,0.0313386,0.0246393,0.0516944,0.0406883,0.0392464,0.0646406,0.0309514,0.0695224,0.0515513,0.0538251,0.082202,0.0343597,0.0137102,0.00904213,0.0434388,0.0690712,0,0,0,0,0,0,0,0,0.053559,0.0698063,0
139,0.0479742,0.0380561,0,0,0,0,0,0.043161,0,0.0296098,0.0518009,0,0,0.0292563,0,0,0.0638941,0.0268972,0.0299369,0.0335537,0.0170127,0.0400978,0.0311711,0.0303098,0.0363951,0.0347608,0.0242753,0.0363259,0.0379939,0.0284357,0.030666,0.0172525,0.0336299,0.017103,0.0295953,0.0505134,0,0.0132241,0.037643,0.0417566,0,0,0.0122744,0,0,0.0170368,0.0543486,0.0496431,0.0316304,0.0229327,0.0518049,0.0407354,0.0400099,0.0656972,0.0318276,0.0697229,0.051922,0.0542778,0.0820821,0.0344352,0.0137258,0.00905584,0.0435035,0.0690107,0,0,0,0,0,0,0,0,0.053698,0.0674288,0
140,0.0478913,0.0380442,0,0,0,0,0,0.043921,0,0.0294093,0.0522288,0,0,0.029035,0,0,0.0637804,0.0269836,0.0301106,0.0331893,0.0171825,0.0395837,0.0306579,0.0300468,0.0361417,0.034741,0.0243846,0.0363374,0.0378257,0.028627,0.0307053,0.0166243,0.0338342,0.0169869,0.0295131,0.0491367,0,0.0131263,0.0384462,0.0418653,0,0,0.0122593,0,0,0.0170282,0.0540924,0.0486043,0.0318806,0.0212571,0.0517701,0.0406633,0.0408523,0.0668504,0.0326618,0.0698198,0.0519113,0.0543957,0.0815427,0.0345018,0.0137888,0.00906097,0.0435046,0.0689092,0,0,0,0,0,0,0,0,0.0540861,0.0640833,0
141,0.0478395,0.0380226,0,0,0,0,0,0.0448994,0,0.0290887,0.0525759,0,0,0.0288202,0,0,0.0637707,0.0271081,0.0302481,0.0328503,0.0173507,0.0391153,0.0301899,0.0299474,0.0359176,0.034808,0.0243388,0.0364061,0.0376662,0.0289262,0.0309196,0.0161138,0.0339639,0.016787,0.0295494,0.0473176,0,0.0128539,0.0393238,0.041903,0,0,0.0122661,0,0,0.0170756,0.0538188,0.0475562,0.0321462,0.0196357,0.0517447,0.0404761,0.0416778,0.0678219,0.0335751,0.069924,0.0515719,0.0542587,0.0807822,0.0345627,0.0138351,0.00903692,0.0433814,0.0687949,0,0,0,0,0,0,0,0,0.0543619,0.0596305,0
142,0.047841,0.0379852,0,0,0,0,0,0.0460981,0,0.028921,0.0526499,0,0,0.0286674,0,0,0.0637618,0.0272731,0.0302025,0.0325182,0.0174873,0.038822,0.0298653,0.029848,0.0356362,0.0348254,0.024307,0.0365627,0.0376655,0.0290362,0.0311693,0.0159718,0.0341167,0.0167336,0.0295028,0.0460954,0,0.0130871,0.0399324,0.0418916,0,0,0.0121851,0,0,0.0171314,0.0534321,0.0465017,0.0322042,0.0182226,0.0515438,0.0402318,0.0425153,0.0686222,0.0345965,0.0696032,0.0511412,0.054052,0.079965,0.0346572,0.0138945,0.00890852,0.043064,0.0686842,0,0,0,0,0,0,0,0,0.0539363,0.0542919,0
143,0.0478549,0.0379464,0,0,0,0,0,0.0474607,0,0.0288612,0.0526307,0,0,0.0285652,0,0,0.0638045,0.0275668,0.0302637,0.032153,0.0176411,0.0384405,0.0296389,0.0296612,0.0352643,0.0347929,0.0243396,0.0367485,0.0377736,0.0291164,0.0314255,0.0160227,0.0342274,0.0167046,0.0296262,0.0449144,0,0.0136766,0.040787,0.0418429,0,0,0.0120765,0,0,0.0170947,0.0530316,0.0453831,0.0325153,0.0167277,0.0513398,0.0400164,0.0433336,0.0692971,0.0356457,0.0690819,0.0506057,0.0538869,0.0792145,0.0347283,0.0139409,0.00877154,0.0429176,0.0685494,0,0,0,0,0,0,0,0,0.0537251,0.0477582,0
144,0.0478505,0.0379076,0,0,0,0,0,0.0484836,0,0.0288582,0.0523358,0,0,0.0285056,0,0,0.0638668,0.0279658,0.030228,0.0317697,0.0178185,0.0381062,0.029471,0.0294492,0.0347861,0.0347304,0.0244615,0.0369665,0.0378995,0.0292838,0.0316732,0.0163243,0.0342714,0.0167717,0.029775,0.04412,0,0.0145924,0.0416199,0.0417308,0,0,0.0119885,0,0,0.0170495,0.0526607,0.0441714,0.0328605,0.0155334,0.0509063,0.0397213,0.0441445,0.0697132,0.0365996,0.0685558,0.0500492,0.0537763,0.0785698,0.034805,0.0140638,0.0086456,0.0428562,0.0684451,0,0,0,0,0,0,0,0,0.053706,0.0406928,0
145,0.0478593,0.037847,0,0,0,0,0,0.0493771,0,0.0286965,0.0519316,0,0,0.028475,0,0,0.0639211,0.0284202,0.0301343,0.0314356,0.0180514,0.0378321,0.0293761,0.0293928,0.0342897,0.0346162,0.0248509,0.0371388,0.0380454,0.0295083,0.0320022,0.0163488,0.03428,0.016926,0.0298525,0.0445157,0,0.015746,0.0424934,0.0415612,0,0,0.0119199,0,0,0.0170116,0.0523968,0.0429258,0.033189,0.0146025,0.0504222,0.0393615,0.0448512,0.0697699,0.0375314,0.0681964,0.0495482,0.0537605,0.0777926,0.034902,0.014217,0.00847768,0.0427859,0.0683127,0,0,0,0,0,0,0,0,0.0537159,0.0338737,0
146,0.0478694,0.0377465,0,0,0,0,0,0.0505677,0,0.028526,0.0513853,0,0,0.0284772,0,0,0.0638862,0.0290078,0.0300571,0.0309474,0.0183334,0.037806,0.0293134,0.0294596,0.0338206,0.0345099,0.0255214,0.0372698,0.0382703,0.0296575,0.0322943,0.0165375,0.0342684,0.0169045,0.0297891,0.0463281,0,0.0169767,0.0435015,0.041404,0,0,0.0118042,0,0,0.0169706,0.0519282,0.0417213,0.0335538,0.0139507,0.0499489,0.0389442,0.045392,0.0694612,0.0385761,0.0681846,0.049169,0.0538319,0.0770656,0.0350172,0.0143884,0.00828673,0.0426414,0.068203,0,0,0,0,0,0,0,0,0.0535623,0.0278188,0
