Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,LTIB,,LASI,IMUR_M
39,0.0530431,0.0329402,0,0,0,0,0,0.0397963,0,0.0302701,0,0,0.0199159,0,0,0.055906,0.0483399,0.0268865,0.0165779,0.0512902,0.0230121,0.038601,0.0493742,0,0.0306243,0.034162,0.0270537,0.0274597,0.0416797,0.0509586,0.0140959,0.0223684,0.0442887,0,0.0262807,0.0664254,0.0378092,0,0,0.0110166,0,0,0.0163283,0.046651,0.0400399,0.032838,0.0201996,0.0437261,0.0348865,0.0420612,0.052145,0.0407486,0.03283,0.055235,0.0392193,0.0447583,0.0661937,0.0222908,0.0363748,0.0135647,0.00706966,0.0409455,0.0692082,0,0,0,0,0,0,0,0,0.0404444,0.0328742,0,0.0460945,0
40,0.0531119,0.0328909,0,0,0,0,0,0.0428999,0,0.0304943,0,0,0.0200278,0,0,0.0561749,0.0491332,0.0263407,0.0154631,0.0507284,0.0218286,0.0395069,0.0499655,0,0.0319751,0.0341744,0.0263379,0.027966,0.0355535,0.0508542,0.0156993,0.0218115,0.0442816,0,0.0265583,0.0663524,0.037918,0,0,0.0110606,0,0,0.0163019,0.0468318,0.0400586,0.0329626,0.0203689,0.0437037,0.0352136,0.0423897,0.0521893,0.0405691,0.0329576,0.0555179,0.0394318,0.0447776,0.0662233,0.0222127,0.0361938,0.0133949,0.00723753,0.0410122,0.0693328,0,0,0,0,0,0,0,0,0.0413429,0.032069,0,0.0482621,0
41,0.0530288,0.0330104,0,0,0,0,0,0.0439127,0,0.031331,0,0,0.0199932,0,0,0.0561547,0.0490333,0.0273718,0.012954,0.0502902,0.0212622,0.0405588,0.0478078,0,0.0337972,0.0345879,0.0263242,0.0282696,0.0336188,0.0509056,0.0160953,0.0211079,0.0442831,0,0.0268872,0.0664892,0.0378961,0,0,0.0109763,0,0,0.0162317,0.0471485,0.0401091,0.032675,0.0206626,0.0431792,0.035081,0.0429694,0.052161,0.0404414,0.0332965,0.0557226,0.0396681,0.0448616,0.066322,0.0221859,0.0363004,0.0134589,0.00711277,0.0404733,0.0690132,0,0,0,0,0,0,0,0,0.0415962,0.0322559,0,0.0493722,0
42,0.0529902,0.0329859,0,0,0,0,0,0.042666,0,0.039133,0,0,0.0199563,0,0,0.0560377,0.0488082,0.0309914,0.00851903,0.050178,0.0208392,0.0376302,0.0460576,0,0.0329454,0.0328461,0.0250022,0.0279032,0.0335581,0.0512861,0.0167565,0.0197635,0.0443244,0,0.0271978,0.0665273,0.037462,0,0,0.0107902,0,0,0.0162398,0.0473297,0.0403477,0.0320172,0.0209153,0.041817,0.03408,0.0434179,0.0522547,0.0404916,0.0336373,0.0558991,0.0398674,0.0449355,0.0663722,0.0221594,0.0368761,0.0139758,0.00671507,0.0406576,0.0679949,0,0,0,0,0,0,0,0,0,0.0301429,0,0.0501771,0
43,0.0528554,0.0329241,0,0,0,0,0,0.0474262,0,0.0327397,0,0,0.0200659,0,0,0.0560305,0.0485407,0.0290506,0.0111719,0.049651,0.0207568,0.0403078,0.0452197,0,0.0368956,0.035044,0.0268261,0.0298957,0.0265263,0.051098,0.0165718,0.0194846,0.0446695,0,0.027544,0.0658604,0.038026,0,0,0.0111626,0,0,0.0162051,0.0483058,0.0402274,0.0321442,0.0211205,0.0427643,0.0351696,0.04338,0.0515253,0.0400379,0.0339785,0.0559915,0.0400002,0.0450496,0.0665486,0.0223283,0.0363118,0.013754,0.00698096,0.0406853,0.0688285,0,0,0,0,0,0,0,0,0.0411908,0.0331303,0,0.0491812,0
44,0.0529606,0.0328115,0,0,0,0,0,0.0461732,0,0.0423417,0,0,0.0199007,0,0,0.055934,0.047726,0.0328602,0.00905192,0.0497285,0.0207498,0.0379747,0.0433839,0,0.0348659,0.0336624,0.0263122,0.028235,0.0282398,0.0514452,0.0164241,0.0193697,0.0446152,0,0.0278456,0.0658325,0.0375004,0,0,0.0110829,0,0,0.016065,0.0485222,0.0406788,0.0315698,0.0213945,0.0413794,0.0341947,0.0438078,0.0514737,0.0401055,0.0343467,0.0559502,0.0402141,0.0451546,0.0664634,0.0225958,0.0368409,0.0148162,0.00640313,0.041187,0.0676941,0,0,0,0,0,0,0,0,0,0.0314056,0,0.050432,0
45,0.0495027,0.0342909,0,0,0,0,0,0.051829,0,0.0336006,0,0,0.0207582,0,0,0.0560937,0.0482629,0.0313203,0.0114653,0.0510198,0.0197946,0.0402887,0.042341,0,0.0387226,0.0360543,0.0282496,0.0312915,0.0208842,0.0503751,0.015655,0.020107,0.0447325,0,0.0281773,0.0646112,0.0396648,0,0,0.00958866,0,0,0.017759,0.0491798,0.0407192,0.0320156,0.02155,0.0436345,0.0318002,0.0438526,0.0510691,0.0397366,0.0345045,0.0562984,0.0403475,0.0451347,0.0665067,0.0226901,0,0.0168807,0.00655376,0.0418301,0.0673223,0,0,0,0,0,0,0,0,0.0411373,0.0345333,0,0.0490153,0
46,0.052784,0.0329335,0,0,0,0,0,0.0518341,0,0.0339822,0,0,0.0200472,0,0,0.0558517,0.0469013,0.0319934,0.0146302,0.0489894,0.0204563,0.0402039,0.040017,0,0.0386956,0.0367437,0.0289384,0.0312172,0.0201507,0.051554,0.0164835,0.0193455,0.0453058,0,0.028566,0.0649246,0.0380333,0,0,0.011192,0,0,0.0160623,0.0501703,0.0407961,0.0314516,0.0219511,0.0420328,0.0350838,0.0441826,0.0507689,0.0395035,0.0351553,0.0565329,0.0404558,0.045079,0.0664748,0.0230501,0.0362034,0.0145973,0.00676566,0.0406248,0.0682278,0,0,0,0,0,0,0,0,0.0408111,0.0356365,0,0.0498371,0
47,0.0527734,0.0329204,0,0,0,0,0,0.0510736,0,0.0345404,0,0,0.0200161,0,0,0.0557674,0.0460146,0.0327954,0.0166807,0.0487179,0.0204799,0.0399386,0.0383279,0,0.0383265,0.036874,0.0291613,0.0309012,0.0202937,0.0515566,0.0165465,0.0192956,0.045674,0,0.0287716,0.0646981,0.0380078,0,0,0.0110946,0,0,0.0160367,0.0507986,0.0411086,0.0311924,0.0220578,0.0418799,0.0349118,0.0443466,0.0507603,0.0393812,0.0354369,0.0564458,0.0405798,0.0450337,0.0665095,0.022729,0.0361929,0.0146265,0.00671526,0.0408177,0.0681691,0,0,0,0,0,0,0,0,0.0409797,0.0357893,0,0.0500681,0
48,0.0528102,0.0328412,0,0,0,0,0,0.0487506,0,0.0347518,0,0,0.0199523,0,0,0.0557684,0.0450926,0.0327414,0,0.0484967,0.0204712,0.0412247,0.0370535,0,0.0378743,0.0363205,0.0279829,0.0290924,0.0233823,0.0513432,0.0165712,0.0193676,0.0456846,0,0.0287294,0.0646686,0.0380144,0,0,0.0107382,0,0,0.0161581,0.0512043,0.0415835,0.0312307,0.0219339,0.0420208,0.0347131,0.0443638,0.0509455,0.0393192,0.0354336,0.056387,0.0406522,0.0452335,0.0665878,0.022623,0.036159,0.0146267,0.00695132,0.0407962,0.0682394,0,0,0,0,0,0,0,0,0.0413389,0.0357102,0,0.0497377,0
49,0.0528871,0.0327999,0,0,0,0,0,0.0509109,0,0.0361939,0,0,0.0199678,0,0,0.0558252,0.0449579,0.0334936,0.0163628,0.0482093,0.0204991,0.0393102,0.0363504,0,0.0381124,0.0375898,0.0292498,0.0313578,0.0211967,0.0513047,0.0166072,0.0194599,0.045648,0,0.028659,0.0645453,0.0379029,0,0,0.0107206,0,0,0.016156,0.0517362,0.0421179,0.0312029,0.0218179,0.0418138,0.0345356,0.044512,0.0510214,0.0393232,0.0355028,0.0564368,0.0406758,0.0457919,0.0666409,0.022554,0.0362526,0.014723,0.00683301,0.0406981,0.0681374,0,0,0,0,0,0,0,0,0.0414723,0.0363371,0,0.0496513,0
50,0.0530196,0.0328111,0,0,0,0,0,0.0513033,0,0.0364814,0,0,0.020125,0,0,0.0559703,0.04469,0.0335764,0.0160683,0.0481205,0.0206511,0.0393517,0.0366706,0,0.0384077,0.0376614,0.0293082,0.0318069,0.0218272,0.0511924,0.0165836,0.0196152,0.0457176,0,0.0285651,0.0646697,0.0377714,0,0,0.0107876,0,0,0.0161882,0.0521863,0.042548,0.031156,0.0214849,0.0418001,0.0343495,0.0444011,0.0508617,0.0393228,0.0353201,0.0566351,0.0407048,0.045947,0.0664677,0.0223958,0.0363595,0.0148037,0.00672407,0.0404305,0.068197,0,0,0,0,0,0,0,0,0.0415432,0.0366741,0,0.0494174,0
51,0.0533701,0.033106,0,0,0,0,0,0.047468,0,0.0347371,0,0,0.0195204,0,0,0.0569911,0.0441491,0.0336368,0,0.0478425,0.0207632,0.0385468,0.0361223,0,0.0387611,0.0381382,0.0295868,0.0322414,0.0271226,0.050783,0.0164184,0.0197463,0.0436635,0,0.0260544,0.0650127,0.0372782,0,0,0.0107778,0,0,0.0163044,0.0529729,0.0425391,0.0305208,0.0222454,0.0412412,0.03447,0.0437831,0.0495927,0.0386032,0.0350393,0.0576267,0.0424515,0.0468685,0.0663812,0.020792,0.0362596,0.0145326,0.00683726,0.0407945,0.0683527,0,0,0,0,0,0,0,0,0.0413769,0.0371204,0,0.0494924,0
52,0.0535414,0.0330272,0,0,0,0,0,0.0451924,0,0.0347004,0,0,0.0196026,0,0,0.0573106,0.0438604,0.0338386,0,0.0480247,0.0210794,0.0386797,0.0366739,0,0.0381073,0.0377024,0.0289115,0.0314543,0.0267104,0.0506048,0.0166474,0.0200186,0.0440501,0,0.0256253,0.0651187,0.0370055,0,0,0.0107015,0,0,0.0163466,0.0533675,0.0429437,0.0303256,0.0220001,0.0411538,0.0341246,0.0434269,0.049646,0.0385598,0.0347532,0.0576603,0.0423207,0.0467222,0.0661116,0.020883,0.0364872,0.0146282,0.00696281,0.0409074,0.0683558,0,0,0,0,0,0,0,0,0.0401481,0.0364596,0,0.0497319,0
53,0.0534974,0.0328141,0,0,0,0,0,0.0447066,0,0.0356924,0,0,0.0202339,0,0,0.0569999,0.0437437,0.0340009,0.0162935,0.0484319,0.0213754,0.0385506,0.0379039,0,0.0372152,0.0373012,0.028466,0.0311229,0.0235244,0.0507267,0.01743,0.0201766,0.044973,0,0.0277068,0.06544,0.0369679,0,0,0.0109689,0,0,0.0158368,0.0538084,0.0439828,0.0304243,0.020257,0.0413837,0.0337826,0.0433292,0.0511208,0.0397135,0.0342897,0.0563825,0.0399014,0.0452863,0.065583,0.022004,0.0366056,0.0149459,0.0063115,0.0408717,0.0681626,0,0,0,0,0,0,0,0,0.0388425,0.0356769,0,0.0500404,0
54,0.0535531,0.0328001,0,0,0,0,0,0.0437772,0,0.0353902,0,0,0.0201275,0,0,0.0570349,0.0436847,0.0340127,0.0149309,0.0487575,0.0230176,0.0389907,0.0391224,0,0.0366327,0.0370215,0.0283759,0.0314408,0.0237762,0.0502944,0.0155551,0.0211691,0.0451937,0,0.0272411,0.0655502,0.0367992,0,0,0.0100841,0,0,0.0168775,0.0541093,0.0442966,0.0300239,0.0198238,0.0413345,0.0330894,0.0426792,0.051437,0.0397122,0.0336837,0.0562438,0.0395495,0.04509,0.0652778,0.0220125,0.0365798,0.0149161,0.00751916,0.0409633,0.0682302,0,0,0,0,0,0,0,0,0.0368003,0.0351671,0,0.0497044,0
55,0.0536321,0.0328843,0,0,0,0,0,0.0421266,0,0.0351986,0,0,0.0199967,0,0,0.0571571,0.0432894,0.0341601,0.0147317,0.0491468,0.0230239,0.0396181,0.0402616,0,0.0356912,0.0366774,0.0281124,0.0314268,0.0253667,0.0500655,0.0163776,0.0206454,0.0449323,0,0.0267829,0.0657495,0.0366002,0,0,0.0104043,0,0,0.0167201,0.0547102,0.0445239,0.0295791,0.0192725,0.0413237,0.0329845,0.0420638,0.051554,0.0399706,0.0330983,0.0558471,0.0390601,0.0447849,0.0649302,0.0210859,0.0366669,0.0148763,0.00719297,0.0409568,0.0683453,0,0,0,0,0,0,0,0,0.0348527,0.0346305,0,0.049482,0
56,0.0537031,0.0331013,0,0,0,0,0,0.0401493,0,0.034685,0,0,0.0198264,0,0,0.0573921,0.0429623,0.0346927,0.0149515,0.0494874,0.0231447,0.0403436,0.0412146,0,0.0346469,0.0365346,0.0277749,0.0310496,0.0271231,0.0499883,0.0169182,0.0208033,0.0445495,0,0.0261228,0.0659387,0.0363868,0,0,0.0106399,0,0,0.0165533,0.0552373,0.044659,0.0291685,0.0187678,0.0409731,0.0329732,0.0414597,0.0516341,0.0402019,0.0324462,0.0555303,0.0384822,0.0441934,0.0647296,0.0203333,0.0367816,0.0148543,0.00687772,0.0410558,0.068339,0,0,0,0,0,0,0,0,0.0331008,0.034363,0,0.050823,0
57,0.053771,0.0332744,0,0,0,0,0,0.0383153,0,0.0343572,0,0,0.0197765,0,0,0.0575589,0.0422047,0.035135,0.0148664,0.0501061,0.0232246,0.0402064,0.0413715,0,0.0339757,0.0367863,0.0271748,0.0304586,0.0284763,0.050063,0.0171785,0.0211528,0.0441187,0,0.0254128,0.0658509,0.0362721,0,0,0.0107752,0,0,0.0163986,0.0559426,0.044663,0.0287446,0.0183543,0.0409712,0.0328097,0.0408437,0.0516334,0.0403904,0.0317969,0.0552494,0.0380468,0.0436963,0.0645705,0.019616,0.0367842,0.014846,0.00652746,0.0414069,0.0685337,0,0,0,0,0,0,0,0,0.0320531,0.0343291,0,0.0501755,0
