Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,IMUR_M,LTHII,
139,0.048139,0.0398019,0,0,0,0,0.0336729,0,0.0332671,0.0461997,0,0,0.0244706,0,0,0.0624009,0.0315614,0.0212776,0.0357673,0.0208574,0.0499558,0.0294267,0.0348196,0.0364109,0.0266437,0.0357088,0.0374365,0.0270814,0.0280856,0.0274869,0.040114,0.0228408,0.0283494,0.0446336,0,0.0210547,0.0457583,0.0403084,0,0,0.0142218,0,0,0.0178568,0.0602621,0.0421647,0.022495,0.0238014,0.0432142,0.0364079,0.0345354,0.0602342,0.0496315,0.0262477,0.0584271,0.041929,0.0414803,0.0692354,0.0295256,0.0367651,0.0132243,0.00662376,0.0458712,0.0665202,0,0,0,0,0,0,0,0,0,0,0.0335672,0
140,0.0481897,0.0397662,0,0,0,0,0.0338778,0,0.0335734,0.0464119,0,0,0.0247836,0,0,0.0629822,0.0307562,0.0212273,0.036346,0.0213343,0.0507458,0.0300407,0.0345761,0.0361726,0.0264455,0.0356499,0.0374018,0.0271315,0.0280919,0.0270013,0.0393501,0.0232282,0.0290753,0.0445649,0,0.0198202,0.0443201,0.0401818,0,0,0.0145869,0,0,0.0178329,0.0600601,0.040758,0.0225392,0.0262738,0.0441702,0.0367535,0.0343608,0.0599317,0.0501478,0.0264197,0.0577616,0.0413839,0.0407384,0.0694682,0.0358537,0.0363741,0.0126823,0.00691955,0.0460673,0.066513,0,0,0,0,0,0,0,0,0,0,0.0335679,0
141,0.0483266,0.0397694,0,0,0,0,0.0342428,0,0.0340373,0.0467138,0,0,0.0251456,0,0,0.0635568,0.0300698,0.0213555,0.0366838,0.0217066,0.0513276,0.030902,0.0345423,0.035925,0.02638,0.0356243,0.0373072,0.0271098,0.0282808,0.0268721,0.0386577,0.0235525,0.0297934,0.0441362,0,0.0181671,0.0428009,0.0400212,0,0,0.0148434,0,0,0.0177984,0.0600162,0.038921,0.0227178,0.0290071,0.0452357,0.0370786,0.0340805,0.0596426,0.0509932,0.0264962,0.0568047,0.0408789,0.0402457,0.0694783,0.04098,0.036009,0.0121334,0.00715346,0.0462894,0.0667343,0,0,0,0,0,0,0,0,0,0,0.03393,0
142,0.0484543,0.0397566,0,0,0,0,0.0345351,0,0.0343947,0.047,0,0,0.0255709,0,0,0.0639889,0.0294848,0.0217481,0.0369198,0.021968,0.0516243,0.0318352,0.0346382,0.0357215,0.0264691,0.0356785,0.0370798,0.0270842,0.0287522,0.0267781,0.0381905,0.0236382,0.0306553,0.043559,0,0.0162854,0.0412905,0.0399008,0,0,0.0151046,0,0,0.0178795,0.060245,0.03731,0.022972,0.0317255,0.0463369,0.0373376,0.0337456,0.0597095,0.0517528,0.0266056,0.0559067,0.0401735,0.0395974,0.0694357,0.0464144,0.0356727,0.0118407,0.00737029,0.046432,0.0671137,0,0,0,0,0,0,0,0,0,0,0.0338968,0
143,0.0485607,0.0397468,0,0,0,0,0.0348594,0,0.0346311,0.0473002,0,0,0.0260717,0,0,0.0642764,0.0289718,0.0222972,0.0370465,0.0220208,0.0516058,0.0328785,0.0348947,0.0354675,0.0266439,0.0357577,0.0371166,0.0270926,0.0291759,0.0264827,0.0377503,0.023328,0.0315631,0.0439861,0,0.0143712,0.0399054,0.0398578,0,0,0.0153353,0,0,0.0179521,0.0606209,0.037284,0.0231264,0.03369,0.0476589,0.0375023,0.0337775,0.0596169,0.0521863,0.0267016,0.0555728,0.0396881,0.0395051,0.0696522,0.053135,0.0354308,0.0116705,0.0076003,0.0464639,0.0675303,0,0,0,0,0,0,0,0,0,0,0.0337122,0
144,0.0486825,0.0398618,0,0,0,0,0.0352872,0,0.0348014,0.0476891,0,0,0.0264733,0,0,0.0644672,0.028502,0.0227832,0.0371339,0.0221449,0.0514636,0.033681,0.0349433,0.0352322,0.0267359,0.0358786,0.0371171,0.0271503,0.0294696,0.0261138,0.0373299,0.0231322,0.0320567,0.0460359,0,0.0126318,0.038677,0.0398335,0,0,0.0155174,0,0,0.0180145,0.0610082,0.0397624,0.0232075,0.0347526,0.049283,0.0376071,0.0342796,0.0593477,0.0524203,0.0265943,0.0560013,0.0397412,0.0403194,0.0706611,0.0612508,0.0352452,0.0115606,0.00782857,0.0463061,0.0679288,0,0,0,0,0,0,0,0,0,0,0.0334762,0
145,0.0488018,0.0401051,0,0,0,0,0.0356496,0,0.0349003,0.048116,0,0,0.0267608,0,0,0.0645818,0.0280902,0.0231178,0.0372162,0.022652,0.0513659,0.0340851,0.0345869,0.0350705,0.0266533,0.0358777,0.0369093,0.0272943,0.0295053,0.0257754,0.0370403,0.0228988,0.0324488,0.0480767,0,0.0119282,0.037668,0.039834,0,0,0.0156735,0,0,0.0180901,0.0612286,0.0431039,0.0233114,0.0356311,0.0507465,0.0376814,0.0343012,0.0590788,0.0526319,0.0263416,0.0569946,0.0403302,0.0415757,0.072199,0.0694717,0.0351173,0.0114218,0.00797185,0.0459947,0.0681959,0,0,0,0,0,0,0,0,0,0,0.0333732,0
146,0.0488732,0.0403711,0,0,0,0,0.036001,0,0.0349291,0.0486353,0,0,0.0268818,0,0,0.064543,0.0277294,0.0232678,0.0371874,0.0232124,0.0511755,0.0340574,0.0342377,0.0347493,0.0264422,0.0357721,0.0367212,0.0274514,0.0293583,0.0253421,0.0369577,0.0227013,0.0326984,0.0494741,0,0.0121648,0.036836,0.0398822,0,0,0.0158349,0,0,0.0182105,0.0611927,0.0457471,0.0234501,0.0370138,0.0515175,0.0377186,0.0339834,0.0591568,0.052925,0.0259223,0.0578533,0.0409004,0.0424367,0.0734076,0.0745582,0.035102,0.0114191,0.00801643,0.0457782,0.0684371,0,0,0,0,0,0,0,0,0,0,0.0332158,0
147,0.0484099,0.0405338,0,0,0,0,0.0357105,0,0.0347722,0.0495008,0,0,0.0273015,0,0,0.0640343,0.0263749,0.0230647,0.0367966,0.0235377,0.0503495,0.033345,0.0336389,0.0341155,0.0257895,0.0359477,0.0369203,0.0276585,0.0293638,0.0252281,0.0369095,0.0227371,0.032632,0.0435512,0,0.0205663,0.0355297,0.0407146,0,0,0.0155759,0,0,0.0187938,0.0620847,0.053355,0.0243783,0.0394502,0.0519202,0.0381862,0.0331936,0.0602599,0.0546676,0.0251742,0.0590877,0.0382335,0.0434317,0.0771749,0.0670482,0.0354133,0.011183,0.0078139,0.045565,0.0687589,0,0,0,0,0,0,0,0,0,0,0.032835,0
148,0.0485048,0.0406222,0,0,0,0,0.0358586,0,0.0345569,0.0498269,0,0,0.02694,0,0,0.0637414,0.0259964,0.0230741,0.036658,0.0240755,0.0498628,0.0328723,0.0333283,0.0336731,0.0255712,0.036109,0.0369043,0.0276233,0.0294182,0.0250617,0.0373969,0.0226434,0.0319668,0.043815,0,0.0216263,0.0349239,0.0408768,0,0,0.0152657,0,0,0.0187215,0.0616499,0.0558234,0.0244503,0.0403598,0.0511975,0.0381552,0.0327097,0.0601834,0.0551029,0.0248886,0.0597529,0.0385881,0.0441138,0.0783455,0.0694179,0.0356071,0.0115841,0.00778917,0.0455815,0.0690261,0,0,0,0,0,0,0,0,0,0,0.0328341,0
