Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,IMUR_M,LTHII,
159,0.0476665,0.040727,0,0,0,0,0.0419316,0,0.0309884,0.051754,0,0,0.0241357,0,0,0.061992,0.0273501,0.0274112,0.0332419,0.0204019,0.044344,0.0260808,0.0274032,0.0309538,0.0274773,0.0372449,0.0380725,0.0294343,0.0323586,0.0260543,0.0408966,0.0206341,0.0269698,0.0416708,0,0.0226509,0.0405378,0.0399357,0,0,0.012988,0,0,0.0192545,0.0556203,0.0557728,0.0311918,0.0351981,0.053002,0.0369044,0.036395,0.0677237,0,0.0271403,0.0602128,0.038143,0.0454821,0.0780681,0.0595954,0.0369875,0.012498,0.00825408,0.0487421,0.0659866,0,0,0,0,0,0,0,0,0,0,0.0362104,0
160,0.0474811,0.0408007,0,0,0,0,0.0422858,0,0.0307155,0.0520926,0,0,0.0241354,0,0,0.0619641,0.0277015,0.0280786,0.0330015,0.020144,0.0441793,0.0257816,0.0271415,0.0309759,0.0275083,0.0372899,0.0381502,0.0295149,0.0327164,0.02598,0.0409939,0.0203667,0.0269899,0.0417511,0,0.0227035,0.0412097,0.0398603,0,0,0.0130033,0,0,0.0192568,0.0551567,0.0556987,0.0319144,0.0333215,0.0533767,0.0371119,0.0373121,0.0683993,0,0.0278074,0.0603787,0.038436,0.0455711,0.077865,0.0589313,0.0368671,0.0123558,0.00845167,0.0484718,0.0655965,0,0,0,0,0,0,0,0,0,0,0.0363236,0
161,0.0473205,0.0409176,0,0,0,0,0.042643,0,0.0304085,0.0524811,0,0,0.0240591,0,0,0.0618793,0.0280465,0.0280839,0.0327965,0.019905,0.0439035,0.025429,0.0266495,0.0309535,0.0275815,0.0372306,0.0380521,0.0295177,0.0327337,0.0262426,0.0411038,0.0201476,0.0270007,0.041959,0,0.0226785,0.0419905,0.0398073,0,0,0.0130016,0,0,0.0193463,0.054713,0.0562064,0.0325597,0.0312155,0.05365,0.0372986,0.0383806,0.0692207,0,0.0287334,0.0607304,0.0389006,0.0457918,0.0778239,0.0585897,0.0367118,0.0123848,0.00864849,0.0480363,0.0652884,0,0,0,0,0,0,0,0,0,0,0.0365216,0
162,0.0478222,0.0407877,0,0,0,0,0.0427109,0,0.0304194,0.052782,0,0,0.0245839,0,0,0.0624807,0.0277833,0.0276384,0.0325117,0.0193643,0.0445075,0.0262754,0.0252388,0.0302171,0.0283505,0.0374723,0.0383144,0.0298778,0.0329728,0.0263554,0.040385,0.0212437,0.0284311,0.0425033,0,0.0229094,0.0405402,0.0399261,0,0,0.0135346,0,0,0.0193421,0.0549047,0.0570039,0.0299756,0.0299851,0.0538014,0.0378328,0.0370424,0.0654942,0.0531698,0.0284945,0.0625175,0.0420681,0.0475137,0.0783231,0.0603921,0.0360842,0.0120989,0.00897594,0.0468453,0.0665255,0,0,0,0,0,0,0,0,0,0,0.0369829,0
163,0.0475713,0.0408312,0,0,0,0,0.0430049,0,0.030256,0.0529915,0,0,0.0244919,0,0,0.0623627,0.0281888,0.0276331,0.0321413,0.0191441,0.044189,0.0259628,0.0250447,0.0301629,0.0285052,0.0374049,0.0382387,0.0298865,0.0329461,0.0265757,0.0405499,0.0210408,0.0282812,0.0428041,0,0.0229822,0.0412651,0.0400351,0,0,0.0134931,0,0,0.0192471,0.0544931,0.0570792,0.0300061,0.0280242,0.0541574,0.0379845,0.0381543,0.0665801,0.0533368,0.0292426,0.0632537,0.0429665,0.0482318,0.0787232,0.0608216,0.0358702,0.0120352,0.00900316,0.0465373,0.0661808,0,0,0,0,0,0,0,0,0,0,0.0372579,0
164,0.0473884,0.0408586,0,0,0,0,0.0432272,0,0.0300593,0.0532092,0,0,0.0243936,0,0,0.0621828,0.0284826,0.027515,0.0318149,0.0189434,0.0439157,0.0256655,0.0249198,0.0301577,0.0284326,0.037198,0.0380563,0.0298055,0.0328526,0.0267096,0.0407359,0.0208356,0.0279825,0.0430393,0,0.0226868,0.0420549,0.0401455,0,0,0.0134461,0,0,0.0191117,0.0541686,0.0567217,0.0304551,0.0259357,0.054543,0.0380049,0.0392327,0.0676626,0.0534165,0.0297369,0.0641027,0.0439622,0.0490826,0.0793143,0.0610507,0.0359162,0.0119886,0.00899909,0.046482,0.06584,0,0,0,0,0,0,0,0,0,0,0.0375417,0
165,0.0472279,0.0408993,0,0,0,0,0.0432308,0,0.0299883,0.0534262,0,0,0.0243552,0,0,0.061969,0.0286538,0.0276498,0.0315566,0.0188144,0.0436741,0.0253544,0.0247668,0.0301924,0.0284293,0.0369527,0.0378431,0.0296003,0.0327971,0.0265763,0.0408844,0.0205579,0.0276586,0.0431957,0,0.0223496,0.0430158,0.0402534,0,0,0.0133979,0,0,0.019031,0.0539028,0.0562429,0.0310381,0.0237824,0.0546581,0.0379733,0.0403906,0.0687659,0.053613,0.0306429,0.0649176,0.0449678,0.0498194,0.0798751,0.0608907,0.0359999,0.011954,0.00893335,0.0466656,0.0655758,0,0,0,0,0,0,0,0,0,0,0.0376937,0
166,0.0471166,0.040968,0,0,0,0,0.0431177,0,0.0300237,0.0536054,0,0,0.0243707,0,0,0.0618016,0.0288736,0.0278329,0.0312793,0.018773,0.0434005,0.0250184,0.0246358,0.030254,0.02831,0.0367522,0.0377047,0.0294677,0.0327557,0.0261436,0.0411391,0.0203182,0.0276154,0.0431973,0,0.0219851,0.0442793,0.040436,0,0,0.0133482,0,0,0.0190912,0.053627,0.0553467,0.0315343,0.0216617,0.054677,0.0379406,0.0415327,0.0699015,0.0539721,0.0318278,0.065423,0.0458717,0.0504454,0.0801058,0.0603211,0.036023,0.01206,0.00888899,0.0469311,0.0653715,0,0,0,0,0,0,0,0,0,0,0.037783,0
167,0.0470174,0.0409567,0,0,0,0,0.0430492,0,0.0301383,0.0536443,0,0,0.0243197,0,0,0.0615147,0.0292074,0.0279012,0.0310971,0.0187965,0.0432037,0.0246796,0.0245543,0.030273,0.0283011,0.036661,0.0375511,0.029313,0.0324885,0.0258537,0.0414286,0.0201253,0.0275082,0.0428138,0,0.02114,0.0453363,0.0407953,0,0,0.0132563,0,0,0.0191094,0.0533875,0.0546974,0.0319394,0.0194976,0.0546583,0.0378088,0.0426641,0.0709991,0.0544173,0.033191,0.0656971,0.0465442,0.0508924,0.0799225,0.0590808,0.0361027,0.0121952,0.00879867,0.0470911,0.0652045,0,0,0,0,0,0,0,0,0,0,0.03792,0
168,0.0469372,0.0408895,0,0,0,0,0.0430071,0,0.0303243,0.0534349,0,0,0.0242844,0,0,0.0613151,0.0296195,0.0280126,0.0309096,0.0188598,0.0430538,0.0243625,0.0244894,0.0301891,0.0284904,0.036484,0.0373302,0.0292244,0.0323375,0.0256774,0.0416014,0.0200258,0.0272082,0.0423149,0,0.0202745,0.0462461,0.0410127,0,0,0.013118,0,0,0.0190228,0.0532026,0.05368,0.0322497,0.0173903,0.0546387,0.0376367,0.0437665,0.072057,0.0548832,0.0348285,0.0660023,0.0468459,0.0511016,0.0795723,0.0570361,0.036199,0.0122526,0.00867608,0.0471303,0.0650767,0,0,0,0,0,0,0,0,0,0,0.0379951,0
169,0.0469216,0.0408475,0,0,0,0,0.0429175,0,0.0304903,0.0528731,0,0,0.0242551,0,0,0.0612282,0.0300693,0.0281245,0.0304699,0.0189576,0.0429741,0.0240451,0.0244694,0.0300694,0.0287402,0.0363218,0.0370755,0.0291292,0.0322302,0.0255786,0.0416565,0.0200551,0.0269687,0.0416614,0,0.0196993,0.0471199,0.0410617,0,0,0.0130257,0,0,0.0189068,0.0530984,0.0521579,0.0324471,0.0152682,0.0546204,0.0374649,0.0449298,0.0729712,0.0552499,0.0368565,0.0663068,0.0468707,0.0511087,0.0789188,0.0538747,0.0362639,0.0122613,0.00853725,0.0471872,0.0650402,0,0,0,0,0,0,0,0,0,0,0.0380498,0
170,0.0464345,0.0408182,0,0,0,0,0.0425543,0,0.03085,0.0522468,0,0,0.0239335,0,0,0.0606339,0.0312378,0.0282443,0.0292624,0.0194474,0.0420602,0.0229498,0.0253739,0.0301818,0.0286573,0.0362333,0.036804,0.029015,0.0321236,0.0253701,0.0424725,0.0193268,0.0258776,0.0402119,0,0.0193704,0.0501507,0.0409981,0,0,0.0127624,0,0,0.0188576,0.0524418,0.049774,0.0352303,0.0124434,0.0545463,0.0371565,0.0490686,0.0782895,0,0.0408616,0.0639352,0.0438343,0.0492775,0.0763296,0.0460371,0.0366249,0.0126726,0.00829983,0.0477491,0.0638107,0,0,0,0,0,0,0,0,0,0,0.037928,0
171,0.047093,0.0407768,0,0,0,0,0.0423444,0,0.0308297,0.0522103,0,0,0.0241453,0,0,0.0612856,0.031257,0.0281856,0.0289132,0.0193927,0.0426677,0.0235457,0.0250161,0.0296273,0.0293643,0.0363792,0.0369278,0.029081,0.032288,0.0252657,0.0418409,0.0203199,0.0268536,0.040228,0,0.0193118,0.0491287,0.0407111,0,0,0.0129273,0,0,0.0188111,0.052637,0.0484582,0.0328005,0.0114715,0.0542066,0.0371757,0.0468748,0.0737386,0.0551028,0.040547,0.0656095,0.0465915,0.0511018,0.0767881,0.0443037,0.0363104,0.0126128,0.00841287,0.0473606,0.0650761,0,0,0,0,0,0,0,0,0,0,0.0380238,0
172,0.0472283,0.0407041,0,0,0,0,0.0420625,0,0.0310414,0.0517594,0,0,0.0239799,0,0,0.0612862,0.0318877,0.0280834,0.0285855,0.0196912,0.0427394,0.0234207,0.0254109,0.0294058,0.0297754,0.0364022,0.0369571,0.0290685,0.0322884,0.0250182,0.0418408,0.0204274,0.026846,0.0405516,0,0.0195107,0.0498049,0.040501,0,0,0.0128076,0,0,0.0186604,0.0521238,0.0469511,0.0328123,0.0108503,0.0538626,0.0369674,0.0474675,0.0732289,0.0549201,0.0420255,0.0653681,0.0468536,0.0513091,0.0760211,0.038772,0.0363907,0.0127804,0.00833999,0.0473361,0.0651754,0,0,0,0,0,0,0,0,0,0,0.0379197,0
173,0.0473299,0.0407055,0,0,0,0,0.041885,0,0.0313646,0.0513106,0,0,0.0238912,0,0,0.0614836,0.0325593,0.027765,0.0282809,0.0200576,0.0429032,0.0233284,0.0257807,0.02916,0.0302283,0.0364523,0.0370533,0.0290571,0.0322232,0.0247896,0.0417796,0.0205797,0.0269053,0.0414074,0,0.0196115,0.0504677,0.040305,0,0,0.012723,0,0,0.0185327,0.0515761,0.0453733,0.0329022,0.0116576,0.0534824,0.0367041,0.047811,0.0721428,0.0545362,0.0432265,0.0655848,0.0472793,0.0517807,0.0755904,0.0333758,0.0364292,0.012919,0.00826515,0.0472554,0.0651992,0,0,0,0,0,0,0,0,0,0,0.0377568,0
174,0.0474464,0.0407367,0,0,0,0,0.0416829,0,0.0317133,0.0506127,0,0,0.0238035,0,0,0.0615997,0.0333075,0.0273996,0.0279378,0.02046,0.0427296,0.0232588,0.0263179,0.028857,0.0305677,0.0366073,0.0371257,0.0290619,0.0321803,0.0245207,0.0418466,0.0207358,0.0270602,0.0426324,0,0.0196009,0.051076,0.040097,0,0,0.0126554,0,0,0.0183894,0.0510096,0.0437457,0.0330237,0.013709,0.0529561,0.0364238,0.0478893,0.0704396,0.0538946,0.0442807,0.0660234,0.0477303,0.0524737,0.0756009,0.0287704,0.0365086,0.0131274,0.00811476,0.0471497,0.0651856,0,0,0,0,0,0,0,0,0,0,0.0376115,0
175,0.0475426,0.0408038,0,0,0,0,0.0413738,0,0.031976,0.0497752,0,0,0.0237108,0,0,0.0615977,0.034117,0.0271333,0.0275896,0.0208793,0.0425013,0.0232324,0.0269148,0.0285514,0.0309921,0.0368143,0.0372481,0.0290724,0.0321291,0.0241296,0.0418608,0.0208286,0.027205,0.0440218,0,0.0197992,0.0516284,0.0398891,0,0,0.012568,0,0,0.018223,0.050439,0.0422356,0.0331851,0.0162107,0.0524634,0.0361825,0.0477784,0.0680853,0.0532213,0.0452382,0.0663631,0.0481354,0.053172,0.0759879,0.0250907,0.0365414,0.013311,0.00790234,0.0470969,0.0651516,0,0,0,0,0,0,0,0,0,0,0.0373574,0
176,0.0475823,0.0408563,0,0,0,0,0.0410253,0,0.032262,0.0489851,0,0,0.0236433,0,0,0.0615058,0.0349691,0.0269143,0.0272268,0.0213212,0.0423889,0.0232182,0.0274619,0.028281,0.0314947,0.0369852,0.0374195,0.0291189,0.0321263,0.023702,0.0418017,0.0208516,0.0273032,0.0450765,0,0.0201555,0.052076,0.0397679,0,0,0.012486,0,0,0.0181199,0.0499222,0.0411174,0.033342,0.0184916,0.0519243,0.0359813,0.0475703,0.0652955,0.0526704,0.046092,0.066368,0.0484252,0.0536733,0.0765759,0.0223325,0.0365546,0.0134407,0.00774133,0.0470137,0.0651766,0,0,0,0,0,0,0,0,0,0,0.0368643,0
177,0.0476148,0.0408398,0,0,0,0,0.0406497,0,0.0325914,0.0482741,0,0,0.0236715,0,0,0.061336,0.0358937,0.0266473,0.026959,0.0217806,0.0423851,0.0232245,0.027996,0.0280813,0.0319323,0.0371573,0.0375822,0.0292264,0.0321893,0.0233114,0.0417831,0.0207324,0.0273704,0.0453359,0,0.0208452,0.052437,0.0396792,0,0,0.0124529,0,0,0.0180133,0.0495641,0.0409183,0.0334589,0.0201742,0.0513112,0.0357318,0.04719,0.0625974,0.052452,0.0467838,0.0663175,0.0483843,0.0538915,0.0770659,0.0208579,0.0366666,0.0135583,0.00765479,0.0469132,0.0652289,0,0,0,0,0,0,0,0,0,0,0.0363905,0
178,0.0476617,0.0408241,0,0,0,0,0.0403084,0,0.0328921,0.0476436,0,0,0.0236746,0,0,0.0610875,0.0368287,0.0263246,0.0267838,0.022203,0.042541,0.0232234,0.0285696,0.0279524,0.0320436,0.0373174,0.0376786,0.0292499,0.032186,0.0229005,0.0418669,0.0206868,0.0273575,0.0448398,0,0.0216984,0.0527993,0.0396501,0,0,0.0124796,0,0,0.0179667,0.0493249,0.040928,0.0337229,0.0214805,0.0506608,0.0355304,0.0463843,0.0604038,0.0526049,0.0472705,0.0660893,0.0479739,0.0538419,0.0771758,0.0202517,0.0367252,0.0136876,0.00758198,0.0468196,0.0652461,0,0,0,0,0,0,0,0,0,0,0.0360003,0
179,0.047685,0.0408064,0,0,0,0,0.0400816,0,0.0331396,0.0471598,0,0,0.0237247,0,0,0.0610742,0.0374684,0.0261133,0.0265283,0.0225613,0.0427808,0.023275,0.0290317,0.0278138,0.0321609,0.0373789,0.0376537,0.0291676,0.0320569,0.0224106,0.0418758,0.0207879,0.0274284,0.0444652,0,0.0224769,0.0531806,0.0397124,0,0,0.01256,0,0,0.0179251,0.0491727,0.0414599,0.0338898,0.0224149,0.0502135,0.0354453,0.0459603,0.0589423,0.0527311,0.0477549,0.0658411,0.0475762,0.0537118,0.077097,0.0198256,0.0366673,0.0137155,0.00744177,0.0467402,0.0653403,0,0,0,0,0,0,0,0,0,0,0.0358327,0
180,0.0474695,0.0413669,0,0,0,0,0.0402417,0,0.033061,0.0469228,0,0,0.0236113,0,0,0.0613795,0.0376971,0.0261382,0.0262032,0.0230011,0.0425616,0.0230444,0.0293068,0.0276993,0.0322001,0.03725,0.0375496,0.0287821,0.031561,0.0222975,0.0418955,0.0207142,0.0274858,0.0453702,0,0.0234163,0.0533908,0.0397509,0,0,0.0121769,0,0,0.0182479,0.049077,0.0424331,0.0339962,0.0227962,0.0499957,0.0353103,0.0458507,0.058373,0.0526175,0.0482595,0.0657741,0.0473775,0.0534432,0.0768589,0.0201851,0.0366943,0.013637,0.00721721,0.047205,0.0653251,0,0,0,0,0,0,0,0,0,0,0.0358188,0
181,0.0474795,0.0411884,0,0,0,0,0.0398111,0,0.0331894,0.0470022,0,0,0.023761,0,0,0.0612234,0.0379396,0.0263429,0.0259043,0.023332,0.0425345,0.0230743,0.0294538,0.0276752,0.0324969,0.0371661,0.0372533,0.0286605,0.0315318,0.0215699,0.0418886,0.020865,0.0276246,0.0453271,0,0.0235572,0.0536093,0.0398714,0,0,0.0123948,0,0,0.0180447,0.0489627,0.0427079,0.0340861,0.0227196,0.0502975,0.0352979,0.0457986,0.0583266,0.0524061,0.0484707,0.0659291,0.0475163,0.0535871,0.0769743,0.020051,0.0366241,0.0136628,0.00718755,0.0470927,0.0653969,0,0,0,0,0,0,0,0,0,0,0.0360678,0
182,0.0475302,0.0406282,0,0,0,0,0.0391247,0,0.0336069,0.04713,0,0,0.0239599,0,0,0.0608778,0.0380568,0.0266685,0.0256559,0.0236843,0.0423864,0.0232811,0.0296307,0.0277556,0.0325219,0.0371117,0.0370467,0.0285113,0.0315188,0.0205665,0.0417883,0.0209664,0.0276788,0.0445111,0,0.0230658,0.053703,0.0400869,0,0,0.0128326,0,0,0.0178101,0.048802,0.0423456,0.0343092,0.022291,0.0508943,0.0354478,0.0462127,0.0589709,0.0525521,0.0484105,0.0657641,0.047483,0.0536434,0.0771207,0.0198511,0.0365155,0.0135888,0.0071619,0.0466758,0.065485,0,0,0,0,0,0,0,0,0,0,0.0361615,0
183,0.0474257,0.0403741,0,0,0,0,0.0437515,0,0.0315676,0.0474002,0,0,0.0242774,0,0,0.0603867,0.0379236,0.026857,0.0252254,0.0255109,0.0424265,0.0233237,0.0303377,0.0286222,0.0312365,0.0364446,0.0370516,0.0261491,0.028822,0.0235964,0.0418091,0.0210834,0.027643,0.0448281,0,0.0235677,0.0534579,0.0403562,0,0,0.0130346,0,0,0.0175981,0.0486019,0.0422052,0.0345693,0.0208677,0.0517503,0.035544,0.0467585,0.0604004,0.0525452,0.0478196,0.0655388,0.047016,0.0534107,0.0771763,0.0194269,0.0365106,0.0136604,0.00707324,0.0463893,0.0656372,0,0,0,0,0,0,0,0,0,0,0.0353096,0
184,0.0473596,0.04046,0,0,0,0,0.0416105,0,0.0331493,0.0478637,0,0,0.0243448,0,0,0.0604309,0.0377086,0.0272282,0.0250453,0.0251576,0.0421839,0.0232718,0.0298921,0.0287483,0.0308507,0.0360133,0.036593,0.0261714,0.0294061,0.0200151,0.0417489,0.0210026,0.027527,0.0445446,0,0.0226945,0.053213,0.0404435,0,0,0.0131723,0,0,0.017621,0.0484197,0.0414666,0.0348504,0.0194939,0.0521143,0.0356902,0.047397,0.0618104,0.0520652,0.0474737,0.0656834,0.0472409,0.0535416,0.0769488,0.0200608,0.0364588,0.013563,0.00699621,0.0464278,0.0656385,0,0,0,0,0,0,0,0,0,0,0.0355037,0
185,0.0473141,0.0405485,0,0,0,0,0.0398187,0,0.0347329,0.048271,0,0,0.0243672,0,0,0.0604245,0.0374325,0.027876,0.0248295,0.024772,0.0418754,0.023225,0.0293864,0.0288603,0.0304392,0.0356684,0.0358299,0.026336,0.0297107,0.016708,0.0417677,0.0209731,0.0274113,0.0440962,0,0.021617,0.0529558,0.0405194,0,0,0.01333,0,0,0.0177206,0.0482368,0.0408171,0.0351866,0.0178232,0.0523922,0.0358105,0.0479887,0.0634921,0.0518548,0.0471568,0.0659323,0.0474016,0.0536214,0.0766588,0.0210086,0.0364565,0.0136048,0.00692496,0.0464609,0.0656633,0,0,0,0,0,0,0,0,0,0,0.0357537,0
186,0.0467923,0.0405798,0,0,0,0,0.039989,0,0.034303,0.0485566,0,0,0.0241051,0,0,0.0598313,0.0377003,0.0278701,0.024316,0.0242127,0.040522,0.0225062,0.0292711,0.0292198,0.030224,0.0353131,0.0357724,0.0260531,0.0293164,0.0164751,0.0425278,0.0201959,0.0263991,0.0440147,0,0.0212381,0.054919,0.0406898,0,0,0.0130374,0,0,0.0177079,0.0477411,0.0417594,0.0382799,0.0165442,0.0526204,0.0358616,0.0508764,0.0681425,0,0.0487059,0.0634671,0.0447035,0.0516932,0.0747989,0.0207585,0.036781,0.0138932,0.00675329,0.0469563,0.0646606,0,0,0,0,0,0,0,0,0,0,0.0361046,0
187,0.0472376,0.0405804,0,0,0,0,0.0404035,0,0.0335202,0.0492368,0,0,0.0242339,0,0,0.0602571,0.0371298,0.0275471,0.0243854,0.0237804,0.0407563,0.0232532,0.0284484,0.029151,0.029902,0.0351166,0.0357016,0.0258515,0.0290395,0.0157863,0.0419424,0.0208966,0.027021,0.043507,0,0.0190068,0.0530706,0.0405178,0,0,0.013083,0,0,0.0177287,0.0480165,0.038867,0.035942,0.0151358,0.0524807,0.0360698,0.0496858,0.0669153,0.0520067,0.0468018,0.0663483,0.0474426,0.0542591,0.0772,0.0233338,0.0365739,0.0138023,0.00679586,0.0467056,0.0657543,0,0,0,0,0,0,0,0,0,0,0.0362723,0
188,0.0467359,0.0405796,0,0,0,0,0.040747,0,0.0330429,0.0491151,0,0,0.0240109,0,0,0.0595793,0.0379435,0.0273947,0.0237492,0.0232106,0.0393597,0.0225647,0.0287063,0.0294765,0.0298936,0.0349168,0.0356641,0.025643,0.0288358,0.0152683,0.0426524,0.0200367,0.0258546,0.0429708,0,0.0197402,0.0556231,0.0405573,0,0,0.0128945,0,0,0.017716,0.0473931,0.0374983,0.0389793,0.0150114,0.0524487,0.0359951,0.0524989,0.0709928,0,0.0486256,0.0636281,0.0444378,0.0517678,0.0749979,0.0215964,0.0369861,0.0140692,0.00653418,0.0473456,0.0646708,0,0,0,0,0,0,0,0,0,0,0.0365334,0
189,0.0467073,0.0405609,0,0,0,0,0.041272,0,0.0324102,0.0489106,0,0,0.0240209,0,0,0.0595971,0.0384117,0.027092,0.0233536,0.0226309,0.0388815,0.022652,0.0285401,0.0295891,0.0298781,0.0347763,0.035765,0.0253852,0.0286711,0.0145501,0.0428096,0.020001,0.0256239,0.0414159,0,0.0200396,0.0562432,0.040425,0,0,0.0129181,0,0,0.0178008,0.0469755,0.0351743,0.0392568,0.0155944,0.0522324,0.0360411,0.0523435,0.0709378,0,0.0480587,0.0632852,0.0443368,0.0507965,0.0741558,0.0217584,0.0372036,0.0141439,0.00638236,0.0476164,0.0647019,0,0,0,0,0,0,0,0,0,0,0.036752,0
190,0.0471395,0.0405112,0,0,0,0,0.041651,0,0.031529,0.0485749,0,0,0.0241321,0,0,0.0600269,0.0383411,0.026644,0.023286,0.0221175,0.039465,0.0234709,0.0279164,0.0295588,0.0296526,0.03463,0.0358121,0.0251454,0.0282985,0.0138863,0.0422599,0.0206783,0.0262984,0.03969,0,0.0191296,0.0544962,0.0401875,0,0,0.0130688,0,0,0.0179595,0.0468336,0.0325397,0.036673,0.0168666,0.0517202,0.0362122,0.049224,0.0669094,0.0517349,0.0451826,0.065513,0.0471643,0.0520834,0.0753647,0.0247814,0.0371064,0.0141085,0.00633022,0.0474113,0.0657654,0,0,0,0,0,0,0,0,0,0,0.0367949,0
191,0.0466264,0.0405218,0,0,0,0,0.0416891,0,0.0307438,0.0476198,0,0,0.0237957,0,0,0.0594125,0.0393125,0.0262429,0.022691,0.0214394,0.0384749,0.0229999,0.0282236,0.0299833,0.0296275,0.0344457,0.0356995,0.024947,0.027867,0.0136674,0.0428921,0.0199501,0.0252532,0.039357,0,0.0192704,0.0568398,0.0402573,0,0,0.0128813,0,0,0.0179843,0.0460465,0.03231,0.0395562,0.0174038,0.051529,0.0361199,0.0499652,0.0685838,0,0.0464786,0.0624107,0.0439841,0.0492415,0.0729893,0.0237671,0.037516,0.0143741,0.00611318,0.0479444,0.0646819,0,0,0,0,0,0,0,0,0,0,0.0369544,0
192,0.0471063,0.0406422,0,0,0,0,0.0415687,0,0.0297653,0.0472582,0,0,0.0239782,0,0,0.0600069,0.0391102,0.025496,0.0225672,0.0207816,0.0394511,0.0237961,0.0276725,0.0300302,0.0293708,0.0345347,0.0355337,0.0249295,0.0272458,0.0134272,0.0422821,0.0206636,0.0259179,0.0385437,0,0.0181189,0.0549402,0.0401161,0,0,0.0129686,0,0,0.0180302,0.0460275,0.0302281,0.037674,0.0175396,0.0512481,0.0362368,0.0465453,0.0643951,0.0509807,0.0448596,0.0647389,0.0460232,0.0512036,0.0749875,0.0257538,0.0373376,0.014269,0.00615526,0.0477189,0.0656615,0,0,0,0,0,0,0,0,0,0,0.0369092,0
193,0.0466319,0.0408218,0,0,0,0,0.0414483,0,0.0289557,0.0465132,0,0,0.0237107,0,0,0.0594497,0.0398305,0.025157,0.0219618,0.019961,0.0389055,0.0232705,0.0279029,0.0306474,0.0289982,0.0343275,0.0353228,0.0247038,0.0265836,0.0137032,0.0430172,0.0199082,0.0249166,0.0385998,0,0.0187186,0.057389,0.0403219,0,0,0.0127356,0,0,0.018064,0.0454397,0.0308762,0.0410353,0.0165256,0.0512414,0.0363199,0.0478796,0.0667729,0,0.0466234,0.0620325,0.0425279,0.0488876,0.072854,0.0241031,0.037671,0.0144994,0.0060985,0.048362,0.0646419,0,0,0,0,0,0,0,0,0,0,0.0370272,0
194,0.0466169,0.0409794,0,0,0,0,0.0414786,0,0.0280146,0.0457875,0,0,0.0236836,0,0,0.0593627,0.0400231,0.0248258,0.0215022,0.0191817,0.0392396,0.0233359,0.027634,0.0311954,0.0287009,0.0340374,0.0353096,0.0244551,0.0258752,0.01422,0.0429654,0.0198596,0.0247681,0.0388159,0,0.0189153,0.0578993,0.0404371,0,0,0.0126466,0,0,0.0182103,0.0449252,0.0313288,0.0411201,0.0153891,0.0510669,0.0366805,0.047882,0.0670597,0,0.0459366,0.0620023,0.0420717,0.0486876,0.0724708,0.0243222,0.0376664,0.0145255,0.00628874,0.0486253,0.0647397,0,0,0,0,0,0,0,0,0,0,0.0371798,0
195,0.0465389,0.0411136,0,0,0,0,0.041458,0,0.0270178,0.0449424,0,0,0.0236988,0,0,0.0591863,0.0404953,0.0246025,0.0210536,0.0184696,0.039507,0.0233546,0.0274863,0.0319007,0.0281239,0.0336551,0.0352606,0.0241856,0.0251713,0.0152768,0.0428048,0.0197129,0.0245405,0.0397039,0,0.019202,0.0582692,0.0405814,0,0,0.012557,0,0,0.0183024,0.0440189,0.0320921,0.0407968,0.0146561,0.0510992,0.037035,0.0481641,0.0675371,0,0.044693,0.0620223,0.042191,0.0485718,0.0720893,0.0247285,0.0375748,0.0143476,0.00652857,0.0488091,0.0648303,0,0,0,0,0,0,0,0,0,0,0.0374316,0
196,0.0469328,0.0412254,0,0,0,0,0.0415874,0,0.025726,0.0439629,0,0,0.0238607,0,0,0.0596631,0.0407594,0.0243748,0.0208261,0.0178454,0.0406494,0.024014,0.0271603,0.0325201,0.0272653,0.0333564,0.0353385,0.0241157,0.0245489,0.0166973,0.042062,0.020204,0.0251754,0.040375,0,0.0189109,0.056167,0.0406762,0,0,0.0126974,0,0,0.0183523,0.0429642,0.0316224,0.0365522,0.0154437,0.0508281,0.0373881,0.0464123,0.0649278,0.0495987,0.0416604,0.0646598,0.0451745,0.0504778,0.0736333,0.0267052,0.037122,0.0140005,0.00679565,0.0485315,0.0658483,0,0,0,0,0,0,0,0,0,0,0.037518,0
