Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTIB,IMUL_R,LASI,RTHII,IMUR_M,IMUL_M
9,0.0529211,0.03564,0,0,0,0.0387744,0,0.0266284,0,0,0.0194779,0,0,0.0564793,0.048898,0.0440405,0.0220374,0.00689061,0.0478166,0.0274077,0.0316903,0.0478445,0,0.0210571,0.0329331,0.0198493,0.0136054,0.0692151,0.0491429,0.0153272,0.0219555,0.0458906,0,0.0245499,0.0619303,0.0376483,0,0,0.0118953,0,0,0.0158623,0.0408462,0.0355255,0.0414899,0.0201527,0.0485995,0.0375244,0.0463232,0.0592676,0.0407583,0.0576014,0.0404364,0.0462737,0.068038,0.0223449,0.0356077,0.0108821,0.00659177,0.0421976,0.0703005,0,0,0,0,0,0,0,0,0.030468,0,0,0,0,0
10,0.0529639,0.0360024,0,0,0,0.0353443,0,0.0264315,0,0,0.0195589,0,0,0.0563173,0.0487911,0.0395704,0.0209064,0,0.0477598,0.0271462,0.0334722,0.0483775,0,0.0193718,0,0.0245268,0.016826,0.0704389,0.0492123,0.0148903,0.021888,0.0459184,0,0.0244215,0.0618561,0.0379914,0,0,0.0119781,0,0,0.0159972,0.0409955,0.0356229,0.0413713,0.0205438,0.0486862,0.0375916,0.0463202,0.0591596,0.0408279,0.0576304,0.0407468,0.046402,0.06802,0.0223031,0.0355067,0.0106889,0.00668924,0.0417101,0.0708353,0,0,0,0,0,0,0,0,0.0356052,0,0,0,0,0
11,0.0529485,0.0359761,0,0,0,0.0351046,0,0.0265461,0,0,0.0197457,0,0,0.0562078,0.0475354,0.0377095,0.0186967,0.00856645,0.0472004,0.026966,0.033775,0.0461387,0.0466303,0.0204311,0,0.0271489,0.0200497,0.0704173,0.0491069,0.014601,0.0218591,0.0458496,0,0.0242118,0.0606682,0.0386903,0,0,0.0122288,0,0,0.0162385,0.04097,0.0354419,0.0419301,0.0206421,0.0491942,0.0383423,0.0467218,0.0590065,0.040717,0.0578188,0.0412679,0.0468246,0.0684408,0.0218085,0.0351915,0.010364,0.00717354,0.040989,0.0716881,0,0,0,0,0,0,0,0,0.0376032,0,0,0,0,0
12,0.053,0.0357916,0,0,0,0.0385925,0,0.0278824,0,0,0.0195021,0,0,0.05587,0.0488009,0.043063,0.022527,0.00943036,0.0475114,0.027061,0.0311185,0.0479804,0,0.0230654,0.0329352,0.0225233,0.0174524,0.0680108,0.0496868,0.0143739,0.0216284,0.0456864,0,0.0241566,0.0627578,0.0376907,0,0,0.0116355,0,0,0.0159693,0.0414678,0.0363085,0.0401665,0.0211756,0.0471065,0.0366528,0.046799,0.058911,0.040711,0.0568334,0.0409583,0.0464468,0.067903,0.0214589,0.0363721,0.0114234,0.00625026,0.0414062,0.0706758,0,0,0,0,0,0,0,0,0.031855,0,0,0,0,0
13,0.0530364,0.0354682,0,0,0,0.0375041,0,0.0271402,0,0,0.0196569,0,0,0.0557173,0.0478579,0.0399372,0.0202037,0.0117835,0.0470536,0.0269914,0.031928,0.0466089,0.0497815,0.0228007,0.0349482,0.0250677,0.0198003,0.065754,0.0495711,0.0141706,0.0215471,0.0458687,0,0.0240209,0.061407,0.0383762,0,0,0.0117096,0,0,0.0162633,0.041495,0.0361489,0.0407397,0.0210376,0.0477474,0.0373542,0.0469882,0.0589162,0.0403115,0.0573474,0.0413473,0.0469688,0.0683543,0.021388,0.0359703,0.0111014,0.00672768,0.0414585,0.0716188,0,0,0,0,0,0,0,0,0.0343189,0,0,0,0,0
14,0.0530701,0.0356412,0,0,0,0.0368875,0,0.0271827,0,0,0.01947,0,0,0.0556877,0.0476913,0.039538,0.0203639,0.0126155,0.0470708,0.0266326,0.0310167,0.0464379,0.0502379,0.0234277,0.0347386,0.0252653,0.0200477,0.0642001,0.0496814,0.014553,0.0213274,0.0454619,0,0.0240156,0.0616503,0.0383602,0,0,0.0121101,0,0,0.015713,0.0417952,0.0364962,0.0403078,0.0211944,0.0473819,0.0370628,0.046812,0.0586688,0.0399315,0.0570298,0.0412424,0.0469881,0.0683714,0.0212138,0.0360729,0.0113251,0.00577229,0.0410519,0.071691,0,0,0,0,0,0,0,0,0.0348909,0,0,0,0,0
15,0.0530642,0.0353405,0,0,0,0.0348338,0,0.030004,0,0,0.0192269,0,0,0.0554913,0.0491181,0.0412687,0.0257214,0.0105128,0.0476619,0.0264653,0,0.0447366,0,0.0273787,0.0382578,0.0281822,0.0222947,0.068803,0.0503037,0.0146476,0.0209868,0.0478344,0,0.0241357,0.0632015,0.0369933,0,0,0.0116992,0,0,0.0154663,0.0404806,0.0371049,0.0391112,0.0204757,0.0449486,0.0346198,0.0454271,0.059285,0.038503,0.0571635,0.0415463,0.0470497,0.0677359,0.022512,0.037372,0.012525,0.0047656,0.0417197,0.0698623,0,0,0,0,0,0,0,0,0.0385621,0,0,0,0,0
16,0.0530894,0.034929,0,0,0,0.0332986,0,0.0277198,0,0,0.0196215,0,0,0.0556653,0.0472015,0.0331951,0.0180081,0,0.0473492,0.0261974,0.0299606,0.0468986,0.0469683,0.021297,0.0390728,0.0293531,0.0231755,0.0589296,0.0495858,0.0143986,0.0214359,0.044149,0,0.0238868,0.0618457,0.0389142,0,0,0.0121118,0,0,0.0161902,0.0417171,0.0369072,0.0402888,0.0214668,0.0477083,0.0371396,0.0462376,0.0572751,0.0387039,0.0560562,0.0415325,0.0470145,0.0684306,0.0210108,0.0357616,0.0109709,0.00619317,0.0404437,0.0725242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0531519,0.0347472,0,0,0,0.0272764,0,0.0309658,0,0,0.019631,0,0,0.0557413,0.0473404,0.0240264,0.0155957,0.104119,0.0478471,0.0262472,0.034487,0.0463433,0,0.0184909,0.0490556,0.0387814,0.0316358,0.0552712,0.0493925,0.0146291,0.0215291,0.0442391,0,0.0236694,0.0616346,0.0392995,0,0,0.0121633,0,0,0.0163511,0.0411009,0.0371915,0.0406556,0.0212994,0.048424,0.0375295,0.0458916,0.0571087,0.0376977,0.056316,0.0420318,0.0471457,0.068492,0.021195,0.0354513,0.0107158,0.00664402,0.0402291,0.073205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0528647,0.0346712,0,0,0,0.0335568,0,0.0279385,0,0,0.0195813,0,0,0.0555179,0.0467221,0.0325365,0.0182505,0,0.0483384,0.0258601,0.0294984,0.0429375,0.0445438,0.0220446,0.0383979,0.0290989,0.0235958,0.0566952,0.0498952,0.015043,0.0210106,0.0446315,0,0.0239647,0.0621407,0.0387907,0,0,0.0121386,0,0,0.0160878,0.0421505,0.0375113,0.0390447,0.0219424,0.0474362,0.0367461,0.0458311,0.0576865,0.0377128,0.0560636,0.0418646,0.0471541,0.0683519,0.0213188,0.0359541,0.0113259,0.00608766,0.0403116,0.0722104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
