Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTIB,IMUL_R,LASI,RTHII,IMUR_M,IMUL_M
29,0.0527261,0.0336657,0,0,0,0,0,0.0246556,0,0,0.0192676,0,0,0.0562107,0.0477961,0.0347164,0.0231518,0.0195727,0.0515475,0.024486,0.0329716,0.0512037,0,0.0226736,0.0312866,0.0243093,0.0239347,0.0480577,0.0502676,0.0151683,0.0215067,0.046924,0,0.0217119,0.0624792,0.0376998,0,0,0.0120853,0,0,0.0160599,0.0438668,0.0382673,0.0315707,0.0219882,0.0433812,0.0359394,0.0405513,0.05237,0.0318868,0.0611064,0.0480628,0.0518775,0.0719127,0.0234563,0.0356701,0.0110918,0.00608524,0.0392839,0.0702723,0,0,0,0,0,0,0,0,0.0310664,0,0.0357092,0.0441778,0,0
30,0.0514826,0.0341074,0,0,0,0,0,0.0242867,0,0,0.0202276,0,0,0.0570006,0.0460146,0.03298,0.0207123,0.0167984,0.0486118,0.023255,0.0331248,0.0471569,0.0417849,0.0276405,0.0337625,0.0264639,0.0256467,0.0481406,0.0485947,0.0156693,0.022289,0.0475528,0,0.0221778,0.0633594,0.0398233,0,0,0.0118038,0,0,0.0165831,0.044766,0.0388756,0.0323054,0.0226532,0.0420946,0.0380844,0.0405936,0.0518025,0.032138,0.0614497,0.0485427,0.0521055,0.0719658,0.0239826,0.0353222,0.0104961,0.00682238,0.0398047,0.0707732,0,0,0,0,0,0,0,0,0.0332744,0,0.0357167,0.044324,0,0
31,0.0528527,0.0322228,0,0,0,0,0,0.0238173,0,0,0.0218063,0,0,0.0500753,0.04732,0.0331536,0.0216445,0.01837,0.0515854,0.0177578,0.032814,0.0488533,0.0418441,0.0274914,0.0328427,0.0249791,0.025095,0.0432716,0.0494922,0,0.0249171,0.0486156,0,0.0219062,0.0626233,0.0386169,0,0,0.0088617,0,0,0.0200798,0.0445303,0.0388642,0.0304347,0.0226134,0.0436058,0.0351822,0.0388555,0.0507756,0.030686,0.0624226,0.0493303,0.0527574,0.0723148,0.0245204,0.0357635,0.0105899,0.0122394,0.0373033,0.0712993,0,0,0,0,0,0,0,0,0.0323571,0,0.0356766,0.043009,0,0
32,0.0523254,0.0337461,0,0,0,0,0,0.0235941,0,0,0.0204501,0,0,0.0558266,0.0447625,0.0321991,0.0261101,0.017329,0.0503947,0.0249801,0.0306687,0.0494329,0.0432908,0.0265895,0.0327162,0.0245717,0.0241456,0.0402548,0.0503864,0.0141095,0.0209314,0.0501711,0,0.0232555,0.0641554,0.0380703,0,0,0.0104727,0,0,0.0174905,0.0482477,0.0403408,0.0277296,0.0246497,0.0417915,0.0359537,0.0383668,0.0489042,0.0323701,0.0624338,0.049537,0.0524291,0.0715485,0.025278,0.0360001,0.0114165,0.00689885,0.0396299,0.0700824,0,0,0,0,0,0,0,0,0.0319848,0,0,0.0433094,0,0
33,0.0522051,0.0335439,0,0,0,0,0,0.0234847,0,0,0.0195428,0,0,0.0560064,0.0448868,0.0318496,0.0263271,0.0164402,0.0501238,0.0231317,0.0316576,0.0495385,0.0427993,0.0276677,0.0329629,0.0244561,0.0239643,0.037031,0.0508051,0.0150331,0.0208579,0.0506666,0,0.0235041,0.0642423,0.0381917,0,0,0.010516,0,0,0.017146,0.048607,0.0407778,0.027639,0.0250312,0.041445,0.0360978,0.0381705,0.0485847,0.032251,0.062851,0.0499609,0.0526556,0.0716283,0.0257631,0.0359789,0.011508,0.00617945,0.0399288,0.0698936,0,0,0,0,0,0,0,0,0.0314969,0,0,0.0432546,0,0
34,0.0518742,0.0338186,0,0,0,0.0463076,0,0.0255933,0,0,0.0196228,0,0,0.0558633,0.0450629,0.0336677,0.0264649,0.0156982,0.049743,0.0228008,0.0337564,0.0496908,0.0413177,0.0281487,0.0346394,0.0287879,0.0278277,0.0279692,0.0508919,0.0148694,0.0204246,0.0518221,0,0.0241257,0.0648789,0.0384244,0,0,0.0097955,0,0,0.0176299,0.0489296,0.0414143,0.0276052,0.0252682,0.0410789,0.0362878,0.0381263,0.0485947,0.0323527,0.0628199,0.0498119,0.0523382,0.0713581,0.0254743,0.0362091,0.0114849,0.00580107,0.0397137,0.0697498,0,0,0,0,0,0,0,0,0.033762,0,0,0.0434233,0,0
35,0.0510431,0.0337535,0,0,0,0.0490647,0,0.0261995,0,0,0.0204966,0,0,0.0561419,0.0443619,0.0357042,0.0285213,0.0140115,0.0470823,0.0215329,0.0332634,0.0504601,0,0.0275004,0.0331062,0.0280028,0.0277772,0.0254824,0.0495123,0.0151467,0.0212216,0.0517807,0,0.0246597,0.0660429,0.0396461,0,0,0.0103753,0,0,0.0175754,0.0504299,0.0421322,0.0275949,0.0262863,0.0388483,0.0375963,0.0387109,0.0483837,0.033589,0.0629271,0.0500629,0.0523919,0.0713219,0.0250023,0.0359687,0.0111168,0.00606103,0.0397157,0.0692912,0,0,0,0,0,0,0,0,0.0320953,0,0,0.0438985,0,0
36,0.051753,0.0335466,0,0,0,0.0484454,0,0.0295261,0,0,0.0201092,0,0,0.0555242,0.0458425,0,0.0320396,0.0110552,0.048656,0.0222787,0.032475,0.0517315,0,0.0288308,0.0296126,0.0265457,0.028974,0.0260239,0.0510509,0.0148854,0.0204246,0.0515297,0,0.0244842,0.0658427,0.0380056,0,0,0.00981134,0,0,0.0175512,0.0504643,0.0424473,0.0261538,0.0266006,0.0384721,0.0357109,0.0381256,0.0480624,0.0332804,0.0632945,0.0505792,0.0527366,0.0714851,0.024884,0.0365311,0.0120142,0.0051643,0.0397232,0.0682928,0,0,0,0,0,0,0,0,0.028522,0,0,0.0434786,0,0
37,0.0501548,0.0338548,0,0,0,0.0472345,0,0,0,0,0.0208562,0,0,0.0561131,0.0434361,0,0.0340104,0.00862359,0.0455025,0.0204675,0.032448,0.0456878,0,0.0276453,0.0315458,0.0308197,0.0309059,0.0246058,0.0493843,0.0149828,0.0215952,0.0514296,0,0.0253513,0.0664731,0.0396571,0,0,0.00966911,0,0,0.0177098,0.0513811,0.0430537,0.0274099,0.026933,0.0359821,0.037055,0.0397203,0.0486679,0.0344488,0.0628971,0.0502606,0.0523307,0.0712127,0.0253626,0.0368114,0.0120411,0.00525538,0.0409269,0.0672983,0,0,0,0,0,0,0,0,0.0311448,0,0,0.043733,0,0
38,0.0504244,0.0336188,0,0,0,0.0466086,0,0,0,0,0.0211647,0,0,0.0558809,0.0422963,0,0.0317355,0.012052,0.0451611,0.0202118,0.0338981,0.0437199,0.0420154,0.0284841,0.0338059,0.0315888,0.0310898,0.0234138,0.0494645,0.0146849,0.0220957,0.051566,0,0.0254733,0.0657067,0.040086,0,0,0.00989523,0,0,0.0180397,0.0522428,0.0429235,0.0274394,0.0271922,0.0373586,0.0379402,0.0392592,0.0480268,0.0344722,0.0632244,0.0503914,0.0524831,0.0713855,0.0256338,0.0360101,0.0113416,0.00582325,0.0402868,0.0682621,0,0,0,0,0,0,0,0,0.0335398,0,0,0.042982,0,0
39,0.0516896,0.0332548,0,0,0,0.0559745,0,0.0264596,0,0,0.0205026,0,0,0.0554138,0.0445205,0.037426,0.0311688,0.00714238,0.0473729,0.0214562,0.0355896,0.0476843,0,0.0330365,0.0334916,0.0284078,0.0317389,0.0179671,0.0508372,0.0146615,0.0205203,0.0520137,0,0.0254579,0.0649114,0.0388777,0,0,0.00983585,0,0,0.0181701,0.0525049,0.0426044,0.0258405,0.0269827,0.0393029,0.0370533,0.0379635,0.0473942,0.0337285,0.0635454,0.0502875,0.052555,0.0714873,0.0259049,0.0355579,0.0110979,0.00596158,0.038943,0.0690806,0,0,0,0,0,0,0,0,0.0327394,0,0,0.0421239,0,0
40,0.0503306,0.0343059,0,0,0,0.0506138,0,0.0335768,0,0,0.028391,0,0,0.0527333,0.0434531,0,0.0347925,0.00909492,0.0450021,0.029183,0.0355121,0.0464843,0,0.0318175,0.0322017,0.0279108,0.0302283,0.0242418,0.0489731,0.0121768,0.0166366,0.0510805,0,0.0256366,0.0655843,0.0400721,0,0,0.00706474,0,0,0.021506,0.0533919,0.0426257,0.0260926,0.027168,0.0366716,0.0359809,0.0394679,0.0479867,0.0349378,0.0631676,0.0499967,0.0524018,0.0712908,0.0253491,0.037086,0.0116951,0.0117021,0.0407503,0.0678869,0,0,0,0,0,0,0,0,0.0314656,0,0,0.0431154,0,0
41,0.0501735,0.0337438,0,0,0,0.0499833,0,0.0359902,0,0,0.0224405,0,0,0.0552513,0.0425719,0,0.036149,0.0128642,0.0443339,0.022388,0.0352383,0.0452808,0,0.0318861,0.0320348,0.0276911,0.0293268,0.024822,0.0493478,0.0134105,0.0202895,0.050839,0,0.0259793,0.065858,0.0403399,0,0,0.00921425,0,0,0.0187634,0.0544421,0.0430636,0.0259451,0.0273112,0.0364126,0.037355,0.0399025,0.047929,0.0355276,0.062771,0.049786,0.0521484,0.0709452,0.0251905,0.0362546,0.0115402,0.00696476,0.0404083,0.0676387,0,0,0,0,0,0,0,0,0.0315258,0,0,0.0436131,0,0
42,0.0502852,0.0333713,0,0,0,0.0503104,0,0.0366614,0,0,0.0228964,0,0,0.0549076,0.0415785,0,0.0335448,0.0160444,0.0439267,0.0226556,0.0364037,0.0433547,0.0438859,0.0323812,0.0344147,0.0288247,0.0294754,0.0239915,0.0493366,0.0132829,0.019887,0.0505037,0,0.0259834,0.064583,0.0408707,0,0,0.00930321,0,0,0.0190818,0.0547583,0.0427016,0.0264367,0.0270884,0.0376755,0.0380939,0.0401735,0.0479228,0.0355706,0.0630225,0.0499513,0.0523274,0.0713132,0.0247217,0.035714,0.0110093,0.00796175,0.0401477,0.0685005,0,0,0,0,0,0,0,0,0.0337641,0,0,0.043076,0,0
43,0.0502966,0.0333386,0,0,0,0.053702,0,0.0309746,0,0,0.0231983,0,0,0.0547885,0.0415884,0.0341684,0.0316939,0.0176211,0.0436238,0.0230497,0.0379254,0.0425133,0.0424871,0.0351569,0.036977,0.0307412,0.0321423,0.0196281,0.0492562,0.0131751,0.0194195,0.0505473,0,0.0261601,0.0638197,0.0412794,0,0,0.00925701,0,0,0.0195089,0.0552348,0.0425785,0.0266587,0.0270377,0.0387122,0.0386358,0.0403737,0.047702,0.0357443,0.0630189,0.0498445,0.0522651,0.0715387,0.0244977,0.0354608,0.0106821,0.00887867,0.0400205,0.0692768,0,0,0,0,0,0,0,0,0.036033,0,0,0.0427203,0,0
44,0.047187,0.0347326,0,0,0,0.0524949,0,0.0326331,0,0,0.0241853,0,0,0.0546302,0.0416966,0.0351952,0.0327903,0.0190849,0.0452361,0.0227495,0.0388742,0.0421205,0.0433319,0.0352894,0.0367425,0.0306046,0.0317589,0.0201461,0.0487341,0.0131267,0.0192678,0.0496029,0,0.0262328,0.0631042,0.0426527,0,0,0.00736703,0,0,0.0199979,0.0553784,0.0428134,0.0263113,0.0269958,0.0395944,0.0355633,0.0406145,0.047841,0.0358536,0.0627463,0.0497069,0.0521863,0.0715745,0.0244197,0,0.0133808,0.00724154,0.0410309,0.0682331,0,0,0,0,0,0,0,0,0.0356655,0,0,0.0427939,0,0
45,0.0506547,0.0330007,0,0,0,0.0523046,0,0.0327198,0,0,0.0229857,0,0,0.0544788,0.0415037,0.0361838,0.0327191,0.0194786,0.0432929,0.0233723,0.0399957,0.0413986,0.0433098,0.0353873,0.037664,0.030966,0.0320798,0.0205978,0.0499634,0.0131046,0.018899,0.0489997,0,0.0263677,0.0634111,0.0408903,0,0,0.00940055,0,0,0.0192945,0.0556533,0.0429089,0.0263455,0.0267288,0.0384292,0.0382586,0.0412036,0.04825,0.03621,0.0626677,0.0495562,0.0520392,0.0716348,0.0245917,0.0356036,0.0110346,0.00894277,0.039819,0.0692729,0,0,0,0,0,0,0,0,0.0364552,0,0,0.0428524,0,0
46,0.050727,0.0336192,0,0,0,0.0518204,0,0.0328396,0,0,0.0221174,0,0,0.0548017,0.041361,0.0379707,0.0330934,0.0197926,0.0431087,0.022441,0.0392126,0.0407721,0.0436253,0.0354069,0.0382293,0.0308938,0.0321028,0.021913,0.0500613,0.0130244,0.0190177,0.0491682,0,0.0266566,0.0632509,0.0404276,0,0,0.00907692,0,0,0.0188103,0.0562311,0.0434996,0.0256899,0.0264168,0.0384128,0.038104,0.0412434,0.048419,0.0362569,0.0622063,0.0491112,0.0514659,0.071234,0.0245918,0.0357986,0.0115187,0.00856118,0.0402441,0.0693204,0,0,0,0,0,0,0,0,0.0369776,0,0,0.0429465,0,0
47,0.0506098,0.0332193,0,0,0,0.050875,0,0.0333173,0,0,0.0249512,0,0,0.0538883,0.0438654,0.0383084,0.0297647,0.0191086,0.0433805,0.0261102,0.0376833,0.0398787,0.0424087,0.0368262,0.0419637,0.0334356,0.0340547,0.0247604,0.0497081,0.0127755,0.0169532,0.0466643,0,0.0253135,0.0624216,0.0407363,0,0,0.00801852,0,0,0.020332,0.0528132,0.0420714,0.0279795,0.0247854,0.0382743,0.036825,0.0420446,0.0502496,0.0345428,0.0627072,0.0494646,0.0524113,0.0726232,0.0227314,0.0367492,0.0114136,0.0110116,0.04,0.0696406,0,0,0,0,0,0,0,0,0.0402929,0,0.0460934,0.0425279,0,0
48,0.0481374,0.0346597,0,0,0,0.0521304,0,0.0328244,0,0,0.0259881,0,0,0.0538203,0.0451598,0.0397949,0.0313173,0.0174598,0.0456608,0.0269121,0.035877,0.0407893,0.0438147,0.0375148,0.042747,0.0337213,0.0350217,0.0271379,0.0493811,0.0122875,0.0165442,0.04572,0,0.0247261,0.0615009,0.0411825,0,0,0.00619279,0,0,0.0213654,0.0522484,0.0418425,0.027082,0.0244049,0.0390235,0.0330285,0.0421933,0.0507547,0.0341713,0.0624924,0.0493841,0.052365,0.0726933,0.022377,0,0.0139362,0.0103016,0.0409747,0.0685753,0,0,0,0,0,0,0,0,0.0408756,0,0.0454362,0.0425014,0,0
49,0.0520809,0.0328646,0,0,0,0.0527633,0,0.0329201,0,0,0.026581,0,0,0.0526366,0.0453306,0.0403588,0.0321293,0.0168192,0.0457584,0.0306921,0.0355405,0.041083,0.0437339,0.0376846,0.0440137,0.0344729,0.035956,0.0286329,0.0513323,0.011774,0.0148417,0.0461136,0,0.021924,0.0600563,0.0386509,0,0,0.00666891,0,0,0.0205077,0.0524048,0.0391172,0.0254985,0.0253928,0.0386638,0.0345585,0.0435482,0.0507972,0.0353511,0.0629268,0.050451,0.0528114,0.0725137,0.0235103,0.0368369,0.0129304,0.0127693,0.0394508,0.0696331,0,0,0,0,0,0,0,0,0.0420309,0,0.0451633,0.0422187,0,0
50,0.0516737,0.0324991,0,0,0,0.0526498,0,0.0328565,0,0,0.0194592,0,0,0.056665,0.0444777,0.0408903,0.0315016,0.0166231,0.0433253,0.0194708,0.0347428,0.0408508,0.0435479,0.0377762,0.0449663,0.0349143,0.0363883,0.0305384,0.0509161,0.0151308,0.0189622,0.043952,0,0.0253797,0.0625398,0.0394448,0,0,0.0106114,0,0,0.0167297,0.0535114,0.0421302,0.0268102,0.0237521,0.0373684,0.037637,0.0429931,0.0510408,0.0345767,0.0617006,0.0486564,0.051752,0.0725588,0.021679,0.0353175,0.0116627,0.00607761,0.0391981,0.0696137,0,0,0,0,0,0,0,0,0.0428562,0,0.0462812,0.043203,0,0
51,0.0526182,0.0326351,0,0,0,0.0500055,0,0.0324928,0,0,0.0185491,0,0,0.0568535,0.0443226,0.0425434,0.0321046,0,0.0453247,0.0205073,0.0345089,0.0409151,0.0434328,0.0376107,0.0449878,0.0349616,0.0361189,0.0346154,0.0516895,0.014893,0.0186303,0.0456193,0,0.0236526,0.0610786,0.0380866,0,0,0.0103894,0,0,0.0166852,0.0540911,0.0411949,0.0244347,0.0245091,0.0378904,0.0363114,0.0429488,0.0503261,0.0344834,0.061681,0.0490372,0.0510994,0.0717742,0.0239663,0.0355589,0.012017,0.00595078,0.0385857,0.0699093,0,0,0,0,0,0,0,0,0.0427475,0,0.0458385,0.0426143,0,0
52,0.052727,0.032598,0,0,0,0.048315,0,0.033271,0,0,0.0187423,0,0,0.0568169,0.044904,0.0421972,0.03174,0,0.0456017,0.0209118,0.0357043,0.0413236,0.0423049,0.0374762,0.0442878,0.0345161,0.0354019,0.0344499,0.0517894,0.0150488,0.0188323,0.0464142,0,0.0251173,0.06194,0.0378002,0,0,0.0103604,0,0,0.016579,0.0535172,0.0419484,0.0247037,0.0231672,0.0376257,0.0358434,0.0417371,0.0505907,0.0334558,0.062056,0.0482893,0.0506521,0.0717079,0.0237489,0.0358174,0.0123638,0.00574962,0.0385591,0.069878,0,0,0,0,0,0,0,0,0.0420849,0,0.0451437,0.0422817,0,0
53,0.0524442,0.0327049,0,0,0,0.0475246,0,0.0344784,0,0,0.0222269,0,0,0.0550732,0.0453699,0.0396261,0.0315833,0.0188536,0.0448595,0.0272737,0.0382554,0.0426136,0.0407746,0.0369439,0.0426918,0.0333666,0.0343259,0.0307586,0.0509105,0.0129982,0.0176969,0.0439486,0,0.0240482,0.0630901,0.03807,0,0,0.00849928,0,0,0.0190521,0.0536325,0.0413122,0.0255482,0.0233082,0.0370995,0.0349425,0.0421792,0.0518139,0.0342377,0.0617563,0.0481997,0.0509171,0.0715883,0.0207617,0.0364361,0.0123494,0.00955559,0.0392876,0.0696333,0,0,0,0,0,0,0,0,0.0407518,0,0.0453502,0.0433152,0,0
54,0.0527496,0.0327122,0,0,0,0.0429755,0,0.0355641,0,0,0.0215163,0,0,0.0552852,0.0446745,0.0393906,0.0312033,0,0.0459626,0.0274985,0.0406141,0.0422664,0.0396475,0.0365063,0.0416818,0.0328909,0.0333292,0.0331609,0.051057,0.0133891,0.0182501,0.0463234,0,0.0243554,0.0623448,0.0376959,0,0,0.00891337,0,0,0.0186048,0.0541113,0.0415329,0.0243203,0.022833,0.0378759,0.0343946,0.0411157,0.0508277,0.0335773,0.0616671,0.0482365,0.0503857,0.0710874,0.0225202,0.0365197,0.0126436,0.0088333,0.0390419,0.0700048,0,0,0,0,0,0,0,0,0.0401142,0,0.0450691,0.0423591,0,0
55,0.0523919,0.0327462,0,0,0,0.040972,0,0.0365965,0,0,0.0211625,0,0,0.0556496,0.0441505,0.0372334,0.0304661,0,0.0446096,0.0262359,0.0427715,0.0426934,0.0384229,0.0359639,0.0405606,0.0321285,0.0323279,0.0322004,0.0505081,0.0134934,0.0190377,0.0445793,0,0.0246496,0.0639248,0.0383436,0,0,0.00924274,0,0,0.0184526,0.0547872,0.0417474,0.0254467,0.0225008,0.0374267,0.0353683,0.0411794,0.0513649,0.034145,0.0614744,0.0476558,0.0502052,0.0707839,0.0200941,0.0363525,0.0122728,0.00833758,0.0393702,0.069963,0,0,0,0,0,0,0,0,0.0392334,0,0.0458926,0.0433875,0,0
56,0.052566,0.0320432,0,0,0,0.0416248,0,0.0344344,0,0,0.0198605,0,0,0.0554217,0.0442232,0.0348352,0.0304743,0,0.0468568,0.0228005,0.0449589,0.0432473,0.0375757,0.0357541,0.0395731,0.0295184,0.0294625,0.0346306,0.0519842,0.0166643,0.019718,0.0504024,0,0.0273302,0.0624248,0.0380339,0,0,0.0102816,0,0,0.0162754,0.0545955,0.0418548,0.02463,0.020673,0.0387932,0.0346764,0.0409223,0.0520278,0.0337227,0.0610741,0.0459322,0.0485259,0.0701446,0.0251555,0.0367724,0.0130935,0.00549098,0.0383849,0.0701047,0,0,0,0,0,0,0,0,0.0381989,0,0.0457928,0.0428445,0,0
57,0.0526954,0.0321658,0,0,0,0.0388113,0,0.0368857,0,0,0.0195956,0,0,0.055393,0.0450171,0.0316966,0.0329807,0,0.0472764,0.0233191,0.0435552,0.044043,0,0.0355087,0.0390771,0.0306449,0.0323127,0.0274003,0.0522384,0.0166733,0.0197045,0.0489572,0,0.0257469,0.0632369,0.037266,0,0,0.010098,0,0,0.0161484,0.0549458,0.041519,0.0237636,0.0207687,0.0375981,0.033514,0.0408714,0.0523063,0.0340064,0.0606425,0.0462467,0.0485678,0.0697714,0.0233805,0.0375227,0.013711,0.00517726,0.0387857,0.0694304,0,0,0,0,0,0,0,0,0.0375162,0,0.0477396,0.0433755,0,0
58,0.0521739,0.0322388,0,0,0,0.0324989,0,0.038452,0,0,0.0202804,0,0,0.0553373,0.0427705,0.0311719,0.0308703,0,0.0450754,0.0242317,0.0448704,0.0425522,0.0363427,0.0344918,0.0396727,0.0300956,0.0303769,0.0305458,0.0509792,0.014546,0.0208298,0.048716,0,0.0261718,0.0641861,0.0385791,0,0,0.00993502,0,0,0.0169716,0.0560068,0.0413752,0.0251352,0.0200292,0.0374518,0.0351595,0.0406248,0.0529201,0.0344334,0.0606774,0.0456751,0.0485065,0.0698629,0.0231928,0.0370798,0.0130346,0.00644921,0.0391595,0.0701355,0,0,0,0,0,0,0,0,0.0381803,0,0.0475628,0.0438955,0,0
59,0.0528831,0.0324114,0,0,0,0.0362715,0,0.0360424,0,0,0.0193955,0,0,0.0551565,0.0447706,0.0267947,0.0317605,0,0.0465812,0.0242686,0.0425335,0.0441089,0.0370983,0.0353879,0.0416137,0.0298136,0.0323087,0.0256543,0.0521473,0.0165286,0.0193791,0.0506767,0,0.0263876,0.0624743,0.0374684,0,0,0.0100836,0,0,0.016273,0.055727,0.0413299,0.0237139,0.0189581,0.0372703,0.0338616,0.0403337,0.0525279,0.0332512,0.0606867,0.0456412,0.0477779,0.0696871,0.0232943,0.0376254,0.0136968,0.00548724,0.039209,0.0701343,0,0,0,0,0,0,0,0,0.0384276,0,0.0464954,0.0430181,0,0
60,0.053245,0.0324617,0,0,0,0.0358828,0,0.0358144,0,0,0.0192806,0,0,0.0550414,0.0445461,0.0257445,0.0315621,0,0.0465185,0.0242804,0.0413784,0.043989,0.0371804,0.0358001,0.0417107,0.0290365,0.0323229,0.0257947,0.0523487,0.0170296,0.0192981,0.0487805,0,0.0238421,0.0626148,0.0372687,0,0,0.0102586,0,0,0.0159554,0.0559819,0.0401812,0.0234502,0.0187791,0.0370517,0.0336164,0.0404061,0.053054,0.0334432,0.0610199,0.0462862,0.0485337,0.0693183,0.0202667,0.0379767,0.0139356,0.00504591,0.0394442,0.0704953,0,0,0,0,0,0,0,0,0.0382261,0,0.0464364,0.043422,0,0
61,0.0529566,0.0324829,0,0,0,0.0361185,0,0.0353662,0,0,0.0195179,0,0,0.0553074,0.0435547,0.0247171,0.0306191,0,0.0447677,0.0237792,0.0400027,0.0437782,0.0367201,0.0361439,0.0421098,0.0289216,0.0326613,0.025552,0.0517373,0.0172268,0.0195618,0.0491781,0,0.0246427,0.0636375,0.0380055,0,0,0.0105301,0,0,0.0158233,0.0564505,0.040824,0.0244362,0.0172332,0.0363933,0.0344578,0.039736,0.054236,0.0326722,0.0607855,0.0451374,0.048206,0.0691585,0.020365,0.038058,0.0137426,0.00484235,0.0398725,0.0710018,0,0,0,0,0,0,0,0,0.0381209,0,0.0467901,0.0440716,0,0
62,0.0535213,0.0327185,0,0,0,0.03682,0,0.034622,0,0,0.0192565,0,0,0.0551504,0.0433825,0.0250513,0.0306838,0,0.0458221,0.0248201,0.0397981,0.044516,0.03583,0.0359965,0.0418919,0.0283316,0.0329336,0.0254019,0.0526473,0.0172703,0.0187386,0.050973,0,0.0251937,0.0619886,0.0371616,0,0,0.0105034,0,0,0.0158024,0.056331,0.0411841,0.023056,0.0160974,0.0365983,0.0332419,0.0390697,0.0541207,0.0312515,0.0606702,0.0449356,0.0474095,0.0689894,0.0198241,0.0387107,0.0143472,0.00458549,0.0399103,0.0714509,0,0,0,0,0,0,0,0,0.0373742,0,0.046188,0.0434199,0,0
63,0.0532583,0.0326203,0,0,0,0.0333698,0,0.0357253,0,0,0.0193288,0,0,0.0553554,0.0406478,0.0288028,0.0317289,0,0.0442962,0.02451,0.0395324,0.043283,0,0.0341498,0.0395928,0.0272115,0.0316984,0.030738,0.0522569,0.017449,0.0186937,0.048547,0,0.0238448,0.0633217,0.0373992,0,0,0.0108939,0,0,0.0157991,0.0573488,0.0413776,0.0233088,0.0157514,0.0356013,0.0333346,0.0388186,0.0554376,0.0314138,0.0603561,0.0447334,0.0474537,0.0683268,0.0171671,0.0391148,0.0145378,0.00440368,0.0402986,0.0712559,0,0,0,0,0,0,0,0,0.036027,0,0.0488419,0.0448262,0,0
64,0.0537589,0.0329121,0,0,0,0.0360249,0,0.0341323,0,0,0.0191675,0,0,0.0553152,0.041516,0.0283323,0.0301284,0.0164361,0.0451339,0.0253486,0.0397785,0.0451101,0.0321764,0.0339016,0.0397617,0.0265222,0.0327119,0.028097,0.0527987,0.01781,0.0184252,0.0487875,0,0.0233018,0.0610849,0.0369296,0,0,0.0109389,0,0,0.015825,0.0568921,0.0410232,0.0219603,0.0145984,0.0366013,0.0326286,0.0384198,0.0555711,0.0302969,0.0608581,0.0455952,0.0473079,0.0676471,0.0151741,0.0392299,0.0147955,0.00430739,0.040056,0.0720423,0,0,0,0,0,0,0,0,0.035375,0,0.0466652,0.0444113,0,0
65,0.0537288,0.0330519,0,0,0,0.0365136,0,0.0335831,0,0,0.019103,0,0,0.0553606,0.0413581,0.0285374,0.0291837,0.0162854,0.0449209,0.025251,0.0394234,0.0452203,0.0317734,0.0337374,0.0390978,0.0255556,0.0325473,0.027768,0.0528472,0.0181222,0.0181724,0.0436799,0,0.0197407,0.0606062,0.0371278,0,0,0.0109799,0,0,0.0159059,0.0574258,0.0394964,0.0218613,0.0146293,0.0374255,0.0326983,0.038406,0.0554416,0.0308289,0.0614199,0.0479341,0.0485051,0.0679046,0.0100857,0.0392537,0.0147697,0.00426681,0.0398961,0.0723325,0,0,0,0,0,0,0,0,0.0343186,0,0.0459435,0.0454024,0,0
66,0.0528691,0.0330331,0,0,0,0.0345377,0,0.0342606,0,0,0.0196112,0,0,0.0558458,0.0395857,0.0298256,0.0304961,0.0150522,0.0424475,0.0240999,0.0373071,0.0446354,0,0.0321486,0.0373702,0.024255,0.0310657,0.0300521,0.0516215,0.018224,0.0187276,0.0454558,0,0.022751,0.0604806,0.0383489,0,0,0.0112503,0,0,0.0160442,0.0580902,0.0419899,0.0230885,0.0143216,0.0365243,0.0342958,0.0371522,0.057218,0.0294981,0.0607874,0.0460064,0.0468308,0.0676715,0.00980155,0.0389269,0.0140731,0.00410222,0.0403655,0.071935,0,0,0,0,0,0,0,0,0.0328396,0,0.0475485,0.0463946,0,0
67,0.0534741,0.0333785,0,0,0,0.0351573,0,0.0334674,0,0,0.0192335,0,0,0.0553932,0.0407774,0.0294806,0.0312328,0.01403,0.0446278,0.0255796,0.0358685,0.0452141,0,0.0317445,0.0367974,0.0231576,0.0306231,0.0284052,0.0527238,0.0175616,0.0182875,0.0434449,0,0.0212657,0.0579224,0.0373098,0,0,0.0105352,0,0,0.0168428,0.0572947,0.0401283,0.0212916,0.014247,0.0376659,0.0330725,0.0370481,0.0562225,0.0292851,0.0613154,0.0484318,0.047396,0.0681042,0.00943421,0.0389243,0.0142315,0.00516928,0.0401457,0.0719331,0,0,0,0,0,0,0,0,0.0317098,0,0.0457835,0.0459711,0,0
