Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,IMUR_M,
25,0.0369334,0.0449219,0,0,0,0,0.018471,0,0.0337011,0.0553073,0,0,0.0298367,0,0,0.0593581,0.0119724,0.018328,0.0399028,0.0686753,0.0231979,0.0284166,0.0321106,0.0274125,0.0259639,0.0404776,0.0428795,0.029017,0.028158,0.03962,0.0398005,0.0178732,0.0253002,0.0441529,0,0.0183461,0.03132,0.0563891,0,0,0.00792929,0,0,0.0208675,0.0719242,0.0359511,0.0325991,0.0341694,0.0706239,0.0391397,0.0373226,0.0617842,0,0.0305282,0.0528825,0.0331065,0.0358631,0.0665727,0.0358783,0.0471931,0.0154158,0.00794215,0.0494241,0.0756231,0,0,0,0,0,0,0,0,0,0,0
26,0.0370781,0.0447853,0,0,0,0,0.0185975,0,0.0340169,0.0547916,0,0,0.0299229,0,0,0.0596755,0.0122386,0.0186078,0.0399012,0.0685077,0.0234755,0.0286205,0.0319912,0.026764,0.026238,0.0405813,0.042854,0.0287551,0.0283787,0.0392768,0.0392583,0.0182516,0.0258542,0.0531948,0,0.0200441,0.0305265,0.0561487,0,0,0.00801097,0,0,0.0208102,0.071726,0.0308896,0.0328437,0.0386494,0.0715067,0.0389954,0.0360494,0.0611322,0,0.0300695,0.0497143,0.0308573,0.0325383,0.0628307,0,0.0470944,0.015339,0.00784894,0.0492801,0.0755925,0,0,0,0,0,0,0,0,0,0,0
27,0.0373697,0.044789,0,0,0,0,0.0185761,0,0.034191,0.0542277,0,0,0.0301473,0,0,0.0599689,0.0121577,0.0180282,0.0391033,0.0684035,0.0237213,0.0288504,0.0314617,0.0309246,0.0270917,0.0406407,0.0432012,0.0289712,0.0286861,0.0395714,0.038795,0.0186535,0.0263976,0.0554995,0,0.0187761,0.0291237,0.0561624,0,0,0.00800937,0,0,0.0209162,0.0715876,0.0320883,0.0331685,0.0400187,0.0728998,0.039161,0.0355749,0.06125,0,0.0296341,0.0496796,0.030245,0.0327438,0.0633953,0,0.0468977,0.0151619,0.00786648,0.0488162,0.0759911,0,0,0,0,0,0,0,0,0,0,0
28,0.0374983,0.0448693,0,0,0,0,0.0201032,0,0.0333898,0.0532165,0,0,0.0302873,0,0,0.0600395,0.0121302,0.0170197,0.0378361,0.0677685,0.0236183,0.0271113,0.0308641,0,0.0293034,0.0391216,0.0430465,0.0284466,0.0281562,0.0407557,0.0386303,0.0186482,0.0266239,0.0576846,0,0.0180045,0.02767,0.0560553,0,0,0.00808614,0,0,0.0209398,0.0709803,0.0343486,0.0332363,0.0408789,0.0736409,0.0389995,0.0352718,0.0614674,0,0.0291348,0.05038,0.0306148,0.0331063,0.0644715,0,0.0470454,0.0152609,0.00784434,0.0482341,0.0759366,0,0,0,0,0,0,0,0,0,0,0
29,0.0376394,0.0449945,0,0,0,0,0.0203809,0,0.0333051,0.0530195,0,0,0.0304297,0,0,0.059974,0.0121319,0.0176166,0.0371334,0.0670378,0.0234297,0.0272806,0.0307072,0,0.0296207,0.0396677,0.0431754,0.0286701,0.0282848,0.0402489,0.03868,0.0185108,0.0264939,0.0585965,0,0.0178157,0.0265268,0.0562805,0,0,0.00813089,0,0,0.0209684,0.0702551,0.0366935,0.0335847,0.0413894,0.074066,0.0390498,0.035117,0.061549,0,0.0287636,0.0513813,0.0314632,0.0339496,0.0653178,0,0.0470369,0.0152508,0.00787414,0.0476457,0.07621,0,0,0,0,0,0,0,0,0,0,0
30,0.0387497,0.0451181,0,0,0,0,0.0198587,0,0.0342682,0.0516031,0,0,0.031003,0,0,0.0601929,0.0134186,0.0146066,0.0328895,0.0662985,0.0238388,0.0304945,0.0267267,0.104019,0.0340286,0.0450126,0.0478453,0.0337952,0.0318904,0.0440095,0.0381459,0.0187435,0.0267776,0.0477828,0,0.0141599,0.0256308,0.0581881,0,0,0.00783276,0,0,0.0210897,0.0681626,0.0436428,0.0355924,0.0395552,0.075573,0.0413615,0.0354662,0.0627423,0,0.0273563,0.0567944,0.0347091,0.0398943,0.0724516,0.0636355,0.0460151,0.014089,0.00836959,0.0471328,0.0788439,0,0,0,0,0,0,0,0,0,0,0
31,0.0387961,0.0451532,0,0,0,0,0.0203687,0,0.0343546,0.0501925,0,0,0.0309375,0,0,0.0597763,0.0147004,0.0135451,0.0313608,0.0656016,0.0233464,0.0310829,0.025687,0.109469,0.0352226,0.0456526,0.0488268,0.0344396,0.0321765,0.0436724,0.0387009,0.0183366,0.0261996,0.0601905,0,0.0176317,0.0252414,0.0583798,0,0,0.00794903,0,0,0.0210978,0.0657641,0.0417999,0.0358677,0.0424053,0.0746439,0.0411178,0.0342034,0.0618841,0,0.0265818,0.0536061,0.0334206,0.035617,0.0685712,0,0.0463049,0.0143211,0.00827278,0.047306,0.0790053,0,0,0,0,0,0,0,0,0,0,0
32,0.0388555,0.0452858,0,0,0,0,0.0202023,0,0.034203,0.0512024,0,0,0.0308366,0,0,0.0592931,0.0134788,0.0128994,0.0322145,0.0653389,0.0228777,0.0304019,0.0260993,0.108873,0.0345073,0.0452273,0.0486165,0.0339,0.0314162,0.0436769,0.0393578,0.0177991,0.0254234,0.0484073,0,0.0148088,0.0240231,0.0589213,0,0,0.00794564,0,0,0.0211117,0.0659352,0.0479146,0.036203,0.0404194,0.0742967,0.0412626,0.034907,0.062733,0,0.026225,0.0580719,0.0357523,0.0417905,0.0743351,0.0681802,0.0464413,0.0144588,0.00822734,0.0476463,0.0793932,0,0,0,0,0,0,0,0,0,0,0
33,0.0388029,0.0453296,0,0,0,0,0.0201435,0,0.034215,0.0510434,0,0,0.0306806,0,0,0.0588595,0.0134247,0.01285,0.0321189,0.0648284,0.0224212,0.0300738,0.025771,0.108134,0.0342147,0.0451994,0.0486552,0.033804,0.0312472,0.0428745,0.0399427,0.0174125,0.024664,0.0480092,0,0.0151312,0.0236485,0.0591721,0,0,0.00792233,0,0,0.0210267,0.065111,0.0491462,0.0363895,0.0408034,0.0738016,0.0409724,0.0345999,0.0627034,0,0.0254803,0.0579111,0.0356196,0.0421457,0.0742091,0.0685471,0.0465711,0.0146869,0.00811967,0.0478762,0.0794067,0,0,0,0,0,0,0,0,0,0,0
34,0.0387731,0.0452984,0,0,0,0,0.0201787,0,0.0340696,0.050663,0,0,0.0305534,0,0,0.0585912,0.0135798,0.0129686,0.0317479,0.0643745,0.0219616,0.0298493,0.0254049,0.10823,0.0342203,0.045137,0.048313,0.0339855,0.0315546,0.0421174,0.0405005,0.0171485,0.0240307,0.0477249,0,0.0154099,0.0234067,0.0594201,0,0,0.00789953,0,0,0.0209302,0.0642523,0.0499777,0.0367278,0.0411831,0.0737603,0.0406441,0.0343695,0.0626005,0,0.0249407,0.057657,0.0353552,0.0419527,0.0740414,0.0677337,0.0467169,0.0147543,0.00804215,0.0479798,0.079622,0,0,0,0,0,0,0,0,0,0,0
35,0.0387526,0.0452242,0,0,0,0,0.0201977,0,0.0339598,0.0501072,0,0,0.0305431,0,0,0.058578,0.0138832,0.0131373,0.0313916,0.0640187,0.0214555,0.0296661,0.0253028,0.108361,0.0342729,0.0449611,0.0479039,0.0341202,0.0318426,0.041571,0.040905,0.0169003,0.0235975,0.0471033,0,0.0153554,0.0232468,0.0595712,0,0,0.00793323,0,0,0.0208997,0.0634742,0.0504984,0.0372062,0.0413984,0.0741008,0.0403319,0.0343975,0.0625902,0,0.0245783,0.0575792,0.0351732,0.0417628,0.0739611,0.0665462,0.0468116,0.0147758,0.00802771,0.0481645,0.0800776,0,0,0,0,0,0,0,0,0,0,0
36,0.0386726,0.0450923,0,0,0,0,0.0202841,0,0.0338783,0.0494288,0,0,0.0305594,0,0,0.0584187,0.0140904,0.0132676,0.0313696,0.0638027,0.0210547,0.0296588,0.0247326,0.108396,0.0343012,0.0451512,0.0476592,0.0341144,0.0318861,0.0408257,0.0411651,0.0168379,0.0233557,0.046569,0,0.0152074,0.0232039,0.0596362,0,0,0.00797074,0,0,0.0210526,0.0628888,0.0506094,0.0377954,0.0414342,0.0747448,0.040117,0.0345269,0.0626886,0,0.0242997,0.0577878,0.035342,0.0420036,0.073925,0.0658106,0.0465463,0.0147845,0.00808568,0.0484057,0.0801807,0,0,0,0,0,0,0,0,0,0,0
