Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,IMUR_M,
47,0.0378053,0.0448969,0,0,0,0,0.0229495,0,0.0322934,0.0503504,0,0,0.0312182,0,0,0.0579519,0.017098,0.0154238,0.0286673,0.0632986,0.0197467,0.0284223,0.023418,0.109139,0.0348114,0.0442158,0.0476711,0.0340929,0.0320381,0.0331397,0.0398951,0.0170857,0.0244222,0.0471394,0,0.0165766,0.0269682,0.0585606,0,0,0.0083679,0,0,0.0206754,0.0599746,0.0532962,0.0440628,0.0304677,0.0808751,0.0406835,0.0405722,0.066432,0.0486372,0.0288186,0.0676095,0.0467464,0.0511144,0.0796141,0.0604154,0.0455328,0.0144818,0.00821144,0.0468628,0.0773022,0,0,0,0,0,0,0,0,0,0,0
48,0.0376789,0.0448979,0,0,0,0,0.0231455,0,0.0322032,0.0507252,0,0,0.0312893,0,0,0.057861,0.0174288,0.015418,0.0282191,0.0629315,0.0195608,0.0284398,0.0235742,0.109283,0.0347627,0.0441018,0.0479425,0.0338659,0.0320246,0.0326469,0.0400367,0.0169815,0.0242167,0.046723,0,0.0165146,0.0277787,0.0585078,0,0,0.00829516,0,0,0.0206495,0.0598288,0.0526643,0.0446248,0.0289137,0.0811797,0.040633,0.0415952,0.0675504,0.0488046,0.0298619,0.0680802,0.0473108,0.0515004,0.0800827,0.0585908,0.0455106,0.0145286,0.00815668,0.0468412,0.0771028,0,0,0,0,0,0,0,0,0,0,0
49,0.0376059,0.0448631,0,0,0,0,0.0233393,0,0.0321499,0.0506857,0,0,0.0313023,0,0,0.0578618,0.0180446,0.0156888,0.0277059,0.0626223,0.0194125,0.0284218,0.0236797,0.109749,0.0348031,0.0441895,0.0480683,0.0337977,0.0320902,0.0320765,0.0401691,0.0168927,0.0239834,0.0460301,0,0.0165783,0.0286881,0.0584871,0,0,0.00829259,0,0,0.020588,0.059435,0.0516351,0.0452347,0.0272546,0.0813061,0.0405394,0.0426165,0.0686034,0.048966,0.030969,0.0683833,0.0474337,0.051708,0.0798012,0.055582,0.0455333,0.0145354,0.00811422,0.0471524,0.0769534,0,0,0,0,0,0,0,0,0,0,0
50,0.037508,0.0448346,0,0,0,0,0.0235141,0,0.0321077,0.0506161,0,0,0.0312651,0,0,0.0578379,0.0187223,0.0158821,0.0271684,0.0622688,0.0192405,0.0283298,0.0234346,0.109842,0.0349157,0.0442417,0.0481638,0.0337552,0.0321608,0.0312372,0.0403232,0.0167941,0.0238865,0.0451139,0,0.0167285,0.0296772,0.0584503,0,0,0.0083933,0,0,0.020653,0.059121,0.0506659,0.0458288,0.0255829,0.0811978,0.0403992,0.0436696,0.0695329,0.0490942,0.0321937,0.0684376,0.0476079,0.0518516,0.0792312,0.0512428,0.0454872,0.0146214,0.00810752,0.047532,0.0767719,0,0,0,0,0,0,0,0,0,0,0
51,0.0373884,0.0448232,0,0,0,0,0.0237178,0,0.032079,0.0505326,0,0,0.0312106,0,0,0.0578053,0.0194045,0.0159079,0.0265549,0.0619571,0.0191321,0.028276,0.0230175,0.109758,0.0350363,0.0442302,0.0481388,0.033731,0.0322681,0.0303512,0.0404609,0.0168502,0.0237034,0.0441983,0,0.01696,0.0307543,0.0583541,0,0,0.00842251,0,0,0.0208329,0.058869,0.0501819,0.0463389,0.0237548,0.0810846,0.0402455,0.0446714,0.0703071,0.0491709,0.0335604,0.0681763,0.0477806,0.0520664,0.0785964,0.0456369,0.0453924,0.014835,0.00812848,0.047716,0.0765743,0,0,0,0,0,0,0,0,0,0,0
52,0.0373287,0.0448059,0,0,0,0,0.0240553,0,0.0321679,0.0503921,0,0,0.031213,0,0,0.0577292,0.0202405,0.0158937,0.0257452,0.0616124,0.0190031,0.0283855,0.0225975,0.109677,0.0351806,0.0442488,0.0480962,0.0336637,0.0323116,0.0295087,0.0404308,0.0168195,0.023665,0.0438867,0,0.0176221,0.0318174,0.0582084,0,0,0.00836394,0,0,0.0208949,0.0586458,0.0491964,0.0468666,0.0219853,0.0809354,0.0400033,0.0454311,0.0708227,0.0490784,0.0349426,0.0683454,0.0476119,0.0520267,0.0777773,0.0391793,0.0453952,0.0151356,0.00811365,0.04772,0.0763248,0,0,0,0,0,0,0,0,0,0,0
53,0.0373067,0.0448251,0,0,0,0,0.0248261,0,0.0323726,0.0500914,0,0,0.0313342,0,0,0.0576452,0.0213001,0.0160761,0.0247389,0.0610794,0.0188046,0.0287233,0.0216508,0.109523,0.0354711,0.0444094,0.0482088,0.0336809,0.0324166,0.0282744,0.0404316,0.0167169,0.023756,0.0444848,0,0.0186207,0.0329856,0.0579808,0,0,0.00826591,0,0,0.0209191,0.0582362,0.0478757,0.047556,0.0200752,0.0806281,0.0396821,0.0460551,0.0710197,0.0488378,0.0363352,0.068465,0.0474176,0.0519255,0.0768907,0.0324887,0.0454352,0.015281,0.00816874,0.047643,0.0761564,0,0,0,0,0,0,0,0,0,0,0
54,0.0372961,0.0447973,0,0,0,0,0.0259818,0,0.0324996,0.0494875,0,0,0.0314211,0,0,0.0575987,0.0221851,0.0161495,0.0238065,0.0605575,0.0186585,0.0288767,0.0196553,0.109247,0.0358911,0.0445395,0.0483942,0.0338143,0.0327247,0.0267775,0.0404191,0.0167304,0.0237618,0.0464044,0,0.0200542,0.0336101,0.0576858,0,0,0.00817314,0,0,0.0210235,0.0576702,0.0463907,0.0478345,0.0188192,0.0801995,0.0392775,0.0465746,0.0706952,0.0483389,0.037711,0.0684118,0.0472453,0.0520575,0.076187,0.026672,0.0455476,0.0154375,0.00825614,0.047475,0.0759624,0,0,0,0,0,0,0,0,0,0,0
55,0.0372921,0.0447016,0,0,0,0,0.0268038,0,0.0326434,0.0489098,0,0,0.0314708,0,0,0.0574725,0.0231237,0.0160515,0.0229701,0.0600768,0.0184926,0.0290238,0.0185494,0.109013,0.036387,0.044862,0.0485653,0.034005,0.0330441,0.0256573,0.0404235,0.0167127,0.0237533,0.0493401,0,0.0215854,0.0341724,0.0573834,0,0,0.00805971,0,0,0.0211361,0.057122,0.0447537,0.0478367,0.0183904,0.079692,0.0389326,0.0468844,0.0697301,0.047602,0.0392432,0.0685245,0.0472296,0.0524829,0.0759377,0.023177,0.0457395,0.015612,0.00836976,0.0472445,0.0757578,0,0,0,0,0,0,0,0,0,0,0
56,0.0373054,0.0445694,0,0,0,0,0.0274406,0,0.0327782,0.0484538,0,0,0.0315303,0,0,0.0573421,0.0240721,0.0158975,0.0221544,0.0596202,0.0183041,0.0294571,0.0179775,0.108753,0.0369062,0.0451937,0.0489301,0.0342333,0.0333448,0.0247385,0.0404569,0.0167257,0.0237618,0.0527128,0,0.022963,0.0347204,0.0570684,0,0,0.00803648,0,0,0.0212136,0.0566698,0.0431332,0.0478211,0.0189519,0.0791172,0.0386041,0.0469433,0.0680435,0.0470469,0.0410131,0.0688732,0.0474858,0.053114,0.0761492,0.0224913,0.0459286,0.0158573,0.00841185,0.0468909,0.0755369,0,0,0,0,0,0,0,0,0,0,0
57,0.0374085,0.0444339,0,0,0,0,0.0280757,0,0.0328902,0.0478706,0,0,0.0316287,0,0,0.0573345,0.0251405,0.0157518,0.0212526,0.0590953,0.0181352,0.0299447,0.0174364,0.108464,0.0374821,0.045482,0.0492493,0.0345326,0.0336604,0.0239216,0.0403738,0.0167925,0.0237646,0.0557598,0,0.0241302,0.0354588,0.0567598,0,0,0.00810221,0,0,0.0211484,0.0561907,0.0414793,0.0480425,0.0200089,0.0786121,0.0382375,0.0471235,0.065684,0.0468736,0.0430262,0.0692159,0.0479648,0.0537277,0.0766097,0.023545,0.0460821,0.0160556,0.00835771,0.0464524,0.0753559,0,0,0,0,0,0,0,0,0,0,0
58,0.0375739,0.0443127,0,0,0,0,0.0287525,0,0.032994,0.0471701,0,0,0.0317057,0,0,0.0573787,0.0264061,0.0155517,0.0203334,0.0586739,0.0180281,0.0304687,0.0168151,0.108293,0.0381391,0.045784,0.0494714,0.0347909,0.0339309,0.0231642,0.0403131,0.0169317,0.0238455,0.0577016,0,0.0252042,0.036387,0.0564738,0,0,0.00821045,0,0,0.0210618,0.0557414,0.0399563,0.0483752,0.0210915,0.0782481,0.0378576,0.0473288,0.0630105,0.0471279,0.0451852,0.0694926,0.0484536,0.0542664,0.0771373,0.0248304,0.0462469,0.0161778,0.00829445,0.04598,0.0752683,0,0,0,0,0,0,0,0,0,0,0
59,0.0376785,0.0442094,0,0,0,0,0.0294097,0,0.0330639,0.0467775,0,0,0.0317888,0,0,0.0573688,0.0274826,0.015349,0.0194909,0.0584054,0.0179726,0.0309035,0.0160345,0.108188,0.0387095,0.0459599,0.0495847,0.0349021,0.0342003,0.022449,0.0402218,0.0171256,0.0240178,0.0580534,0,0.0263127,0.037389,0.0563174,0,0,0.00825795,0,0,0.021051,0.0554576,0.039244,0.048865,0.0218499,0.0780146,0.0375225,0.047566,0.0602647,0.0473859,0.0470753,0.0695493,0.0486789,0.0546466,0.0776019,0.0254418,0.0462627,0.0162063,0.00825914,0.0456301,0.0752112,0,0,0,0,0,0,0,0,0,0,0
60,0.0376918,0.0440637,0,0,0,0,0.0298551,0,0.0331145,0.0465241,0,0,0.0319148,0,0,0.0573942,0.0282713,0.0152683,0.0189753,0.0582217,0.0180213,0.0311977,0.0154289,0.108118,0.039129,0.0460238,0.0497074,0.0349343,0.0343546,0.0218361,0.0401085,0.017309,0.0241236,0.0575126,0,0.0272628,0.0382722,0.0563318,0,0,0.00826174,0,0,0.0210666,0.0554843,0.0396226,0.0495676,0.0223304,0.0779057,0.0373201,0.0479366,0.0579646,0.0476718,0.0486547,0.0695169,0.0487236,0.0548905,0.0780125,0.0251472,0.0462214,0.0162351,0.00825057,0.0453756,0.0751964,0,0,0,0,0,0,0,0,0,0,0
61,0.0376721,0.043883,0,0,0,0,0.0302234,0,0.0330726,0.046246,0,0,0.0320678,0,0,0.0574191,0.0288908,0.0151891,0.018621,0.0580075,0.0181433,0.031275,0.0149894,0.108093,0.0393978,0.0462612,0.049656,0.0349917,0.0344396,0.0213002,0.0399075,0.0173863,0.0242873,0.0569264,0,0.0280372,0.0389749,0.0563916,0,0,0.00826379,0,0,0.0210529,0.0555032,0.0407655,0.0499764,0.022638,0.0777679,0.0372304,0.0484736,0.0566539,0.0479018,0.0499351,0.0694975,0.0487398,0.055002,0.0781938,0.0242303,0.0461248,0.0162829,0.00822824,0.0452491,0.0751872,0,0,0,0,0,0,0,0,0,0,0
62,0.037642,0.0437025,0,0,0,0,0.0305936,0,0.0329415,0.0461147,0,0,0.0321526,0,0,0.0573984,0.0294229,0.0150199,0.018308,0.057859,0.0183039,0.0312546,0.0147508,0.108218,0.0395709,0.0463835,0.0495896,0.0349602,0.0344681,0.020854,0.0396887,0.0174931,0.0243812,0.0565414,0,0.0283285,0.039427,0.0564398,0,0,0.00824062,0,0,0.021066,0.0553455,0.0419425,0.0499969,0.0228854,0.0776884,0.0372243,0.0491747,0.0563976,0.0479221,0.0508891,0.0695153,0.0488835,0.0550497,0.078175,0.0233088,0.0459843,0.0162452,0.00821113,0.0452324,0.0752194,0,0,0,0,0,0,0,0,0,0,0
63,0.0376027,0.0434967,0,0,0,0,0.0308722,0,0.0326543,0.0459625,0,0,0.0321982,0,0,0.0574292,0.0298289,0.014855,0.0179476,0.0578267,0.0184313,0.0310896,0.0146814,0.108438,0.0396735,0.0462194,0.0493963,0.0347905,0.0344136,0.0204815,0.0395501,0.0175956,0.0244397,0.0558955,0,0.0281136,0.0396987,0.0565213,0,0,0.00813872,0,0,0.0211619,0.0551241,0.0426515,0.0498594,0.0228434,0.0777549,0.0372919,0.0498676,0.0570005,0.0478082,0.051348,0.0695994,0.0491599,0.0550564,0.0780996,0.0225384,0.0459064,0.0160868,0.00827894,0.0451722,0.0753015,0,0,0,0,0,0,0,0,0,0,0
64,0.0376068,0.0433492,0,0,0,0,0.0309749,0,0.0322075,0.046102,0,0,0.0322464,0,0,0.0574439,0.0299665,0.0149483,0.0176806,0.0578324,0.0185477,0.030739,0.0147507,0.108659,0.0396448,0.0459836,0.0490368,0.0346187,0.0343164,0.020084,0.0395096,0.0176317,0.0245137,0.055255,0,0.0276097,0.0397984,0.0567557,0,0,0.00800888,0,0,0.0212543,0.0551042,0.0424224,0.0500565,0.0225767,0.0780591,0.0376036,0.0503909,0.0581642,0.0476649,0.0514522,0.0697783,0.0495284,0.055053,0.0780841,0.0219644,0.0458148,0.0159397,0.00830486,0.0451633,0.0755419,0,0,0,0,0,0,0,0,0,0,0
65,0.0376327,0.043322,0,0,0,0,0.0309647,0,0.0316504,0.046485,0,0,0.0322673,0,0,0.0574047,0.0298437,0.0149978,0.0176907,0.0577875,0.018677,0.0302989,0.0149102,0.108897,0.0394741,0.0457136,0.0486313,0.0343285,0.0340615,0.0196721,0.0395039,0.0175365,0.0245672,0.054831,0,0.0267632,0.0397339,0.057021,0,0,0.00785934,0,0,0.0214437,0.055352,0.0411952,0.0504321,0.0219168,0.0784492,0.038139,0.050856,0.0598273,0.0474949,0.051179,0.0699925,0.0499515,0.0551413,0.0781174,0.0217729,0.0457146,0.0158211,0.0083728,0.0451683,0.0757109,0,0,0,0,0,0,0,0,0,0,0
66,0.0376243,0.0433685,0,0,0,0,0.0309608,0,0.0310759,0.0467777,0,0,0.0322287,0,0,0.0573533,0.0296596,0.015042,0.0177926,0.0577395,0.0187654,0.0298569,0.0151696,0.109125,0.039233,0.0454963,0.0482158,0.0340017,0.0337291,0.0194853,0.0395178,0.0174571,0.0245017,0.054673,0,0.0252876,0.0397414,0.0572255,0,0,0.00765184,0,0,0.0215279,0.0556107,0.039613,0.0509293,0.0208579,0.0788892,0.038747,0.0514477,0.0617354,0.0471305,0.0506135,0.0702063,0.0504325,0.0555164,0.0784251,0.0218257,0.0456632,0.0156953,0.00842162,0.0452347,0.0757602,0,0,0,0,0,0,0,0,0,0,0
67,0.0375462,0.0434654,0,0,0,0,0.0309909,0,0.0304459,0.0468828,0,0,0.0321996,0,0,0.0572681,0.0295877,0.0149969,0.0178032,0.0576114,0.0188255,0.0294787,0.0154468,0.109405,0.0390237,0.0452812,0.0478734,0.0336852,0.0333725,0.0193805,0.0395512,0.0174055,0.0242902,0.0542415,0,0.0238652,0.0399593,0.0573642,0,0,0.0074158,0,0,0.0215429,0.0555416,0.037726,0.0514333,0.0197353,0.0792759,0.0393126,0.0521225,0.0634967,0.0467013,0.0499599,0.0703973,0.0509222,0.0560396,0.0786999,0.0219784,0.0456559,0.0155381,0.0084765,0.045321,0.0757565,0,0,0,0,0,0,0,0,0,0,0
68,0.0374208,0.0435982,0,0,0,0,0.0309693,0,0.0296898,0.0468684,0,0,0.0322021,0,0,0.0571286,0.029613,0.0147873,0.0176042,0.057403,0.018842,0.0291029,0.0156209,0.109594,0.0389857,0.0450256,0.0476156,0.0334533,0.0330881,0.0192463,0.0396045,0.0171972,0.0240351,0.053529,0,0.0233348,0.0402531,0.057467,0,0,0.00722418,0,0,0.0216594,0.0551403,0.035198,0.0519748,0.0193205,0.0796179,0.039885,0.0525628,0.0646729,0.0472949,0.0491476,0.0705355,0.0511849,0.0562387,0.0788872,0.0213684,0.0456548,0.015231,0.00858096,0.0454008,0.0757628,0,0,0,0,0,0,0,0,0,0,0
69,0.0373217,0.0436137,0,0,0,0,0.031476,0,0.0287223,0.0464898,0,0,0.03216,0,0,0.0569919,0.0298851,0.014369,0.0173471,0.0572074,0.0189472,0.0286778,0.0157786,0.109773,0.0392427,0.0447571,0.0475626,0.0333546,0.0327307,0.0190816,0.0396831,0.016901,0.0236605,0.051872,0,0.0233578,0.0405053,0.0576162,0,0,0.00714251,0,0,0.021698,0.0545211,0.0327075,0.0523456,0.0198467,0.07984,0.0404087,0.0522376,0.0649991,0.0486506,0.0482031,0.0704008,0.050986,0.0555378,0.0785776,0.0208501,0.0457215,0.0150183,0.00853331,0.0453925,0.0758284,0,0,0,0,0,0,0,0,0,0,0
70,0.0372847,0.0436036,0,0,0,0,0.0318323,0,0.0278029,0.045927,0,0,0.0321508,0,0,0.0567871,0.0302877,0.0137689,0.0171629,0.0571666,0.0190544,0.028397,0.0160642,0.109853,0.039527,0.0446492,0.0476015,0.0333192,0.0323404,0.018966,0.0398813,0.0164912,0.023227,0.0496473,0,0.022913,0.0403897,0.0577892,0,0,0.0071316,0,0,0.0217438,0.0540058,0.0306194,0.0523995,0.020862,0.0798822,0.0408825,0.0513221,0.0647369,0.0485149,0.0470665,0.0698255,0.0501892,0.054124,0.0776504,0.0216265,0.045826,0.0149572,0.00845978,0.0454607,0.0759179,0,0,0,0,0,0,0,0,0,0,0
71,0.0373174,0.0436638,0,0,0,0,0.031615,0,0.0270282,0.0452817,0,0,0.0322195,0,0,0.0565382,0.0305596,0.0132381,0.0170446,0.0572896,0.0191077,0.0281585,0.0164371,0.109862,0.0395413,0.0444882,0.0476773,0.0333188,0.0319227,0.0193615,0.0402127,0.016186,0.0228206,0.0483784,0,0.022005,0.0399733,0.0579529,0,0,0.00712456,0,0,0.021919,0.0536167,0.02883,0.0521596,0.0217068,0.079756,0.0413561,0.0498748,0.0643594,0.0470521,0.0460214,0.0689748,0.0489927,0.0526863,0.076414,0.0227841,0.0458948,0.015,0.00848537,0.0456843,0.0759943,0,0,0,0,0,0,0,0,0,0,0
72,0.0373584,0.043691,0,0,0,0,0.0313395,0,0.026027,0.0448842,0,0,0.0322104,0,0,0.056315,0.0305676,0.0125848,0.0167755,0.0574105,0.0190771,0.0279664,0.0169685,0.109847,0.0395166,0.0441912,0.0476361,0.0331614,0.0313729,0.0201778,0.0406383,0.0159331,0.0224331,0.0476267,0,0.02126,0.03938,0.0581434,0,0,0.00706799,0,0,0.0219866,0.0530936,0.027741,0.0517312,0.0216087,0.0795776,0.0418693,0.0483118,0.0641507,0.0461669,0.0452603,0.0682086,0.0477509,0.0515976,0.0754257,0.0231231,0.0459335,0.0149701,0.00855621,0.0459537,0.0761643,0,0,0,0,0,0,0,0,0,0,0
73,0.0374618,0.0437281,0,0,0,0,0.0310603,0,0.0249034,0.0446323,0,0,0.0321662,0,0,0.0561257,0.0303127,0.0117364,0.0166015,0.057631,0.0191744,0.0277066,0.0174559,0.109964,0.0393722,0.0439475,0.0473007,0.03288,0.0306564,0.0211795,0.0409494,0.0155576,0.0220188,0.0471,0,0.0207938,0.0387004,0.0584433,0,0,0.00701345,0,0,0.0219446,0.0525573,0.0276434,0.0511291,0.0209067,0.0794744,0.0424695,0.0470979,0.0645631,0.0458619,0.0444392,0.0678486,0.0467368,0.0508855,0.0746161,0.0233455,0.0459419,0.0148529,0.00860824,0.0462806,0.0765642,0,0,0,0,0,0,0,0,0,0,0
74,0.0376001,0.0437463,0,0,0,0,0.030803,0,0.0236568,0.0444794,0,0,0.0320935,0,0,0.0559252,0.0300128,0.0111989,0.0165212,0.0578157,0.0193906,0.0273918,0.0181186,0.109992,0.0391141,0.0435997,0.0470577,0.0325433,0.0299212,0.0225893,0.0412302,0.0151078,0.0215811,0.0468396,0,0.0204771,0.0380118,0.0589094,0,0,0.0068983,0,0,0.021784,0.0519475,0.0286625,0.0504952,0.0206148,0.0796266,0.0432305,0.0466363,0.0654512,0.0455001,0.0432117,0.0677578,0.0461137,0.0504039,0.0740102,0.0240039,0.045867,0.0147148,0.00862617,0.0466676,0.0770483,0,0,0,0,0,0,0,0,0,0,0
75,0.0376818,0.0437622,0,0,0,0,0.0306862,0,0.0223837,0.0439471,0,0,0.0320736,0,0,0.0557394,0.0297495,0.0109428,0.01644,0.0579098,0.0196058,0.0271202,0.0186831,0.110093,0.0388042,0.0431103,0.0466134,0.0321052,0.0291836,0.0242151,0.0415282,0.0147509,0.021062,0.0467786,0,0.0202482,0.0375415,0.059478,0,0,0.00679696,0,0,0.0216093,0.051355,0.0303273,0.0501019,0.0211513,0.0796664,0.0440653,0.0468155,0.0664322,0.0450031,0.0418859,0.0676938,0.045863,0.0500337,0.0735096,0.0247845,0.0457539,0.0145362,0.00865265,0.0470729,0.0774975,0,0,0,0,0,0,0,0,0,0,0
76,0.037774,0.043761,0,0,0,0,0.0310647,0,0.0209965,0.0427599,0,0,0.0320057,0,0,0.0556961,0.0294646,0.0114314,0.0162068,0.0581144,0.0198495,0.0268712,0.0190455,0.110211,0.0386572,0.0426239,0.0461305,0.0316892,0.0284059,0.0259039,0.0418065,0.0146625,0.0206196,0.0470309,0,0.020076,0.0369276,0.0600369,0,0,0.00682796,0,0,0.0215062,0.0506145,0.0319837,0.0499792,0.0222323,0.0796856,0.044914,0.0472006,0.0671336,0.0444661,0.0410253,0.0674298,0.0457928,0.0495881,0.0727804,0.0254313,0.0455833,0.0144421,0.00870138,0.0473558,0.077995,0,0,0,0,0,0,0,0,0,0,0
77,0.0379005,0.0438133,0,0,0,0,0.0315546,0,0.0197382,0.0423174,0,0,0.0319465,0,0,0.0557109,0.0293247,0.0125295,0.0160913,0.0584179,0.0201743,0.0266016,0.0195758,0.110462,0.0385193,0.0420979,0.04573,0.0312648,0.0274195,0.0282832,0.0418315,0.0146773,0.0204528,0.047558,0,0.0201952,0.036251,0.0604477,0,0,0.00683927,0,0,0.021399,0.0498801,0.0332943,0.0498179,0.023487,0.0794129,0.0456324,0.0472955,0.0675226,0.0439434,0.0405028,0.0670725,0.0454937,0.0489455,0.0721569,0.0259242,0.045389,0.014255,0.00875844,0.0474461,0.0783952,0,0,0,0,0,0,0,0,0,0,0
78,0.0380104,0.0438808,0,0,0,0,0.0322588,0,0.0187124,0.0421356,0,0,0.0319455,0,0,0.0558668,0.0293557,0.0144026,0.0158809,0.0587981,0.0206976,0.0263109,0.0200912,0.110634,0.0386112,0.0417437,0.0454152,0.0306954,0.0264252,0.0311601,0.0416175,0.014824,0.0204997,0.0477262,0,0.0202275,0.0356275,0.0607359,0,0,0.00679513,0,0,0.02128,0.0494096,0.0339117,0.0499302,0.0240051,0.0790913,0.046216,0.0471207,0.0670687,0.0431545,0.0401827,0.0665417,0.0449976,0.0483639,0.0716713,0.0263328,0.045176,0.0141138,0.00888338,0.0473198,0.0787168,0,0,0,0,0,0,0,0,0,0,0
79,0.0380902,0.0439247,0,0,0,0,0.0330573,0,0.0181135,0.0420682,0,0,0.0319422,0,0,0.0561705,0.0296521,0.0167925,0.0156595,0.0592602,0.0213062,0.0262173,0.0204386,0.110786,0.0385884,0.0412558,0.0451379,0.0300365,0.0255107,0.0344601,0.0412352,0.0150508,0.0208625,0.0473332,0,0.0199351,0.0354544,0.0608616,0,0,0.00682095,0,0,0.021283,0.0492617,0.0336435,0.0504718,0.0240072,0.0789333,0.0468158,0.0469619,0.0659571,0.0426483,0.0397981,0.0659924,0.0446886,0.0480838,0.0714023,0.0266009,0.0448758,0.0139233,0.00902563,0.0469662,0.078808,0,0,0,0,0,0,0,0,0,0,0
80,0.0381571,0.043962,0,0,0,0,0.0335808,0,0.0181008,0.0425077,0,0,0.0320531,0,0,0.0566731,0.029933,0.0190405,0.0154975,0.0597626,0.021984,0.0260336,0.0207774,0.111144,0.0383119,0.0407502,0.0448066,0.0292979,0.0248358,0.0385768,0.040661,0.0153757,0.0215894,0.0479746,0,0.0198045,0.0352453,0.0608352,0,0,0.0069132,0,0,0.0213513,0.0493418,0.0329333,0.0509693,0.0248266,0.0788643,0.0473927,0.0465549,0.0655102,0.0427037,0.0387882,0.0655187,0.0442871,0.0476863,0.0709792,0.0266557,0.0445097,0.0136517,0.00918185,0.0465194,0.0788524,0,0,0,0,0,0,0,0,0,0,0
81,0.0381686,0.0440176,0,0,0,0,0.0341631,0,0.0186683,0.0430089,0,0,0.0321383,0,0,0.0571511,0.030464,0.0212337,0.0153746,0.0602909,0.0226212,0.0257252,0.021034,0.111778,0.0379625,0.040262,0.0443073,0.0287458,0.024497,0.0433783,0.0401011,0.0157586,0.0222975,0.0467821,0,0.0192956,0.0357283,0.0607736,0,0,0.00706503,0,0,0.0212716,0.0491655,0.0315991,0.0520082,0.024036,0.0791573,0.0479912,0.0462977,0.0640233,0.0425357,0.0384816,0.064637,0.0443014,0.0477772,0.0711257,0.0265063,0.0441288,0.0133365,0.00932494,0.0461563,0.0788899,0,0,0,0,0,0,0,0,0,0,0
82,0.0382743,0.0440735,0,0,0,0,0.0354325,0,0.0196998,0.0436261,0,0,0.0324071,0,0,0.0575755,0.0310101,0.0236568,0.0154294,0.0608966,0.0231736,0.0252676,0.0215971,0.112508,0.0375627,0.0398703,0.0437715,0.0286234,0.024509,0.0494231,0.039472,0.0162327,0.0229377,0.0466775,0,0.0190818,0.0363523,0.0606807,0,0,0.00723148,0,0,0.0211474,0.048676,0.0306307,0.0525842,0.0239824,0.0794741,0.0486342,0.0454301,0.0634851,0.042701,0.0378833,0.0640209,0.0440279,0.0475638,0.0710315,0.0266579,0.043801,0.012881,0.00956594,0.045966,0.0789103,0,0,0,0,0,0,0,0,0,0,0
83,0.0384042,0.0440885,0,0,0,0,0.037519,0,0.0211009,0.0440917,0,0,0.032677,0,0,0.0578708,0.0316587,0.026803,0.0154505,0.0617111,0.0235319,0.0248998,0.0220178,0.113007,0.0373873,0.0396836,0.04326,0.0285124,0.0246271,0.0565113,0.0390171,0.0166259,0.0234203,0.046475,0,0.0189361,0.0369947,0.0606751,0,0,0.00747144,0,0,0.0210746,0.047917,0.0301602,0.0530178,0.0237845,0.0798316,0.0492704,0.0444447,0.0631537,0.0431854,0.0374098,0.063791,0.0438726,0.0474651,0.0706784,0.0268122,0.0435141,0.0125124,0.0097732,0.0459602,0.0790287,0,0,0,0,0,0,0,0,0,0,0
84,0.0379386,0.044317,0,0,0,0,0.0387963,0,0.0226474,0.0439576,0,0,0.0326254,0,0,0.0573934,0.0331,0.0305516,0.0155954,0.0625431,0.0230344,0.0249705,0.022297,0.113216,0.0374782,0.0394127,0.0431322,0.028045,0.0243219,0.0634119,0.0396661,0.0161569,0.022891,0.0462898,0,0.0196778,0.0395764,0.060852,0,0,0.00765246,0,0,0.0209864,0.0468029,0.0315852,0.056084,0.0205544,0.0808563,0.0500092,0.0465465,0.0658867,0,0.0380191,0.0615591,0.0411046,0.0454203,0.0684602,0.0263531,0.0435632,0.0124497,0.00979393,0.0466485,0.0785853,0,0,0,0,0,0,0,0,0,0,0
85,0.0386684,0.044027,0,0,0,0,0.0380022,0,0.0242333,0.0446924,0,0,0.0328992,0,0,0.0582503,0.0324698,0.0341377,0.0156828,0.0637716,0.0237501,0.0247465,0.0221206,0.113039,0.0380334,0.039603,0.0435176,0.0279683,0.0240349,0.0710485,0.038601,0.0170397,0.0241989,0.0456912,0,0.0194353,0.0384734,0.0609162,0,0,0.00801559,0,0,0.0209721,0.0465909,0.0311425,0.0534743,0.0229503,0.0800185,0.0504272,0.044958,0.062898,0.041715,0.0372006,0.0640127,0.043411,0.0470151,0.0697518,0.0267461,0.0431083,0.0120344,0.0101195,0.0462891,0.0794313,0,0,0,0,0,0,0,0,0,0,0
