Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,L5FT,LKNE,LTIBA,LTHI,LASI,LHEE,RTHII,IMUL_M,IMUR_M
215,0.0538127,0.0381252,0,0,0,0,0.0380536,0,0,0.0179275,0,0,0.0608405,0.0346988,0.0306359,0.0458763,0.0328816,0.0311451,0.0359794,0.0280477,0.0368303,0.0286091,0.031544,0.0154767,0.0469486,0.0183514,0.0275634,0.0524285,0,0.023918,0.0501606,0.0332892,0,0,0.0127087,0,0,0.0158051,0.0516174,0.0423675,0.0359288,0.0245099,0.0549563,0.0326076,0.0526936,0.0609802,0.0525112,0.0659369,0.0494824,0.0544975,0.0772502,0.0184227,0.0357731,0.0143466,0.00526676,0.043551,0.0671109,0,0,0,0,0,0,0,0,0,0.0445373,0.0233196,0.0370837,0.0302896,0.0473258,0.0306071,0.0562009,0,0
216,0.0538678,0.0381758,0,0,0,0,0.0378435,0,0,0.0178768,0,0,0.0609261,0.0348004,0.0305855,0.0458487,0.0329499,0.0309603,0.0358516,0.0281581,0.036893,0.028752,0.0317307,0.0151962,0.0469458,0.0183006,0.0278943,0.0558336,0,0.0254078,0.050198,0.0332214,0,0,0.012609,0,0,0.0157776,0.0515843,0.0441092,0.036063,0.0247742,0.054662,0.0323383,0.0530047,0.0606474,0.0528659,0.0650298,0.0484126,0.0527329,0.075753,0.022627,0.0358212,0.0144302,0.00520059,0.0437043,0.0671229,0,0,0,0,0,0,0,0,0,0.0450912,0.0234135,0.0373604,0.0303383,0.0472719,0.0307327,0.0559557,0,0
217,0.0538912,0.0382116,0,0,0,0,0.0374825,0,0,0.0178428,0,0,0.0609531,0.0348549,0.030485,0.0453718,0.0330589,0.0308998,0.0358728,0.0282362,0.0368578,0.0288729,0.0319909,0.0149323,0.0468923,0.0182836,0.0278008,0.0571861,0,0.0258056,0.0502713,0.0332248,0,0,0.0125673,0,0,0.0158095,0.0515005,0.045091,0.0362591,0.0247885,0.0545682,0.0321589,0.0531594,0.0607225,0.0530556,0.0648643,0.0483669,0.0521817,0.0753484,0.0239941,0.0358094,0.01449,0.00517442,0.0438248,0.0671799,0,0,0,0,0,0,0,0,0,0.0457161,0.0233938,0.0371471,0.0303324,0.0473374,0.0308233,0.0557543,0,0
218,0.0538276,0.0382255,0,0,0,0,0.036913,0,0,0.0184016,0,0,0.0607277,0.0348641,0.0303648,0.0449156,0.0340786,0.0309477,0.0360691,0.0283529,0.0367507,0.0288904,0.0319881,0.0149,0.0465227,0.0175018,0.0272462,0.0553201,0,0.0249126,0.0504365,0.033301,0,0,0.0123291,0,0,0.0161151,0.0513195,0.0444443,0.0365053,0.0246628,0.0545697,0.032102,0.0531852,0.0611339,0.0529989,0.065427,0.0493775,0.0531654,0.0760903,0.0218136,0.0358118,0.0145148,0.00542567,0.0439425,0.0671759,0,0,0,0,0,0,0,0,0,0.0465939,0.0229791,0.0373859,0.0301564,0.0475371,0.030859,0.0556048,0,0
219,0.0537844,0.0382791,0,0,0,0,0.0364421,0,0,0.0183099,0,0,0.0606576,0.0347472,0.0302019,0.0448375,0.033852,0.0311578,0.0360401,0.0282671,0.0366083,0.028823,0.0319125,0.0143179,0.0464374,0.0174351,0.0270129,0.0524442,0,0.0239046,0.0504954,0.0333144,0,0,0.0123013,0,0,0.0161681,0.0511752,0.0433287,0.0368003,0.0244635,0.0548546,0.0321938,0.0531771,0.0617114,0.0528034,0.0662367,0.0506924,0.0546219,0.0772661,0.0185285,0.035763,0.0145105,0.00538971,0.0441077,0.0670978,0,0,0,0,0,0,0,0,0,0.0471902,0.0228804,0.0371745,0.0300754,0.0478524,0.0308753,0.0553148,0,0
220,0.0537349,0.0383307,0,0,0,0,0.0356716,0,0,0.0182476,0,0,0.0605999,0.0345233,0.0300197,0.0447547,0.0336492,0.0313439,0.0360837,0.028162,0.0364551,0.028643,0.0317969,0.013999,0.0462071,0.0174476,0.0268873,0.0522119,0,0.0231685,0.0504928,0.0333965,0,0,0.0122496,0,0,0.0162255,0.0509574,0.0424822,0.0371345,0.023811,0.0551957,0.0322447,0.0531628,0.0626153,0.0525261,0.0663231,0.0511676,0.0546459,0.0772645,0.0185327,0.0356505,0.0144478,0.00539493,0.0442871,0.0669703,0,0,0,0,0,0,0,0,0,0.0477815,0.0225633,0.0366322,0.0298034,0.0482177,0.0307892,0.0550493,0,0
221,0.0536656,0.0383736,0,0,0,0,0.0349469,0,0,0.0182131,0,0,0.0605456,0.0342839,0.0298776,0.0442538,0.0335122,0.0316082,0.0361426,0.0280133,0.0362052,0.0284425,0.0317427,0.013578,0.0459703,0.0174032,0.0267328,0.0526033,0,0.0222229,0.0504348,0.0334211,0,0,0.0121925,0,0,0.0162784,0.0507041,0.0411556,0.0375131,0.0226435,0.0555068,0.0323447,0.0530711,0.0637172,0.0521409,0.0665467,0.0517024,0.0548502,0.0772742,0.0183952,0.0355688,0.0143681,0.00541851,0.0444451,0.0669003,0,0,0,0,0,0,0,0,0,0.0483753,0.0222016,0.0363909,0.0294954,0.0485715,0.0307875,0.0548464,0,0
222,0.0536158,0.0384122,0,0,0,0,0.0342109,0,0,0.018246,0,0,0.0604519,0.0340996,0.0297684,0.0438721,0.033463,0.0318754,0.0361992,0.027763,0.0359377,0.0283294,0.0316457,0.0131409,0.0458427,0.0172926,0.0265247,0.0535498,0,0.0213719,0.0503153,0.0334569,0,0,0.0121812,0,0,0.0163178,0.0504055,0.0401773,0.0378698,0.0215084,0.055662,0.0324466,0.0529775,0.0648129,0.0517344,0.0668326,0.052315,0.0556541,0.0774859,0.0183034,0.0355074,0.0142202,0.00544094,0.0445679,0.0667667,0,0,0,0,0,0,0,0,0,0.0489332,0.0217637,0.036014,0.0292724,0.0488569,0.0307114,0.0546682,0,0
223,0.0535919,0.0384593,0,0,0,0,0.0334028,0,0,0.0183306,0,0,0.0604311,0.034056,0.0296777,0.0437348,0.0334989,0.032131,0.0362246,0.0275247,0.0357445,0.0281939,0.0315047,0.0126438,0.0458645,0.0171559,0.0262671,0.053871,0,0.0206324,0.0502026,0.0334961,0,0,0.0121805,0,0,0.016338,0.0500542,0.0391851,0.0381404,0.0205767,0.0556517,0.0325792,0.0531861,0.065575,0.0514621,0.0670741,0.0526462,0.0564222,0.0779111,0.0183872,0.0354919,0.0141186,0.00545576,0.0446975,0.0666141,0,0,0,0,0,0,0,0,0,0.0494931,0.0211879,0.0357015,0.0291006,0.0490345,0.0305839,0.0544662,0,0
224,0.0535075,0.0384868,0,0,0,0,0.032599,0,0,0.0184321,0,0,0.0603478,0.0342867,0.0294601,0.0434453,0.0336098,0.0323403,0.0363139,0.0274329,0.0355605,0.028004,0.0313917,0.0121326,0.045895,0.0169635,0.0260245,0.0528903,0,0.0201343,0.0502959,0.0334996,0,0,0.0121033,0,0,0.0163885,0.0495911,0.0371439,0.0384212,0.0203134,0.0555945,0.0326979,0.0536691,0.0657948,0.0509938,0.0670237,0.0525403,0.0565242,0.0779496,0.0185712,0.0355347,0.0141748,0.00544705,0.0449029,0.0664574,0,0,0,0,0,0,0,0,0,0.050113,0.0205981,0.0355644,0.0289518,0.0490154,0.0303986,0.0541788,0,0
225,0.0533853,0.0385253,0,0,0,0,0.031775,0,0,0.018535,0,0,0.0601644,0.0348357,0.029066,0.0429409,0.0337471,0.0325471,0.0364888,0.0275661,0.0353659,0.0277718,0.031345,0.0117022,0.0458189,0.0167356,0.0257076,0.050391,0,0.0198638,0.0505869,0.0334941,0,0,0.0120809,0,0,0.0164086,0.048988,0.0351554,0.038823,0.0207027,0.0554138,0.0326999,0.0537087,0.0653506,0.0499307,0.0670537,0.051838,0.0554305,0.0773067,0.01939,0.0356137,0.0141589,0.00534577,0.0451597,0.0662963,0,0,0,0,0,0,0,0,0,0.0509576,0.0201685,0.0355855,0.0288589,0.0487752,0.0301362,0.0537338,0,0
226,0.0532877,0.0385656,0,0,0,0,0.0309125,0,0,0.0187243,0,0,0.0599056,0.0354236,0.0285925,0.0425222,0.0338232,0.0328431,0.0365914,0.0275106,0.03514,0.0275662,0.0310229,0.0112726,0.0457286,0.0164854,0.0253382,0.0476862,0,0.0194446,0.0506609,0.0335277,0,0,0.0121043,0,0,0.0165045,0.0483127,0.0343223,0.0389713,0.0212367,0.0551022,0.0327821,0.0531051,0.0645255,0.0483085,0.0665099,0.0506909,0.0538815,0.0760856,0.020768,0.0356434,0.0140975,0.0052981,0.0454414,0.0662139,0,0,0,0,0,0,0,0,0,0.0517592,0.0196516,0.0356303,0.028885,0.0484079,0.0297159,0.0530844,0,0
227,0.0531883,0.0385612,0,0,0,0,0.0298287,0,0,0.0189355,0,0,0.0597216,0.0359981,0.0280543,0.04256,0.034084,0.0333086,0.0366736,0.0274482,0.0350174,0.0273247,0.0307164,0.0111664,0.04549,0.0162759,0.0250139,0.045463,0,0.0192087,0.0505469,0.0336551,0,0,0.0119082,0,0,0.0167383,0.0475098,0.0339375,0.0390294,0.0214725,0.0548376,0.0328431,0.051848,0.0636246,0.0470168,0.0653977,0.0492657,0.0524133,0.0750432,0.0215676,0.0356121,0.0139568,0.00558914,0.0456803,0.0661576,0,0,0,0,0,0,0,0,0,0.052882,0.0187124,0.0355274,0.0288042,0.0478914,0.0291538,0.052558,0,0
228,0.0531594,0.0387147,0,0,0,0,0.0290355,0,0,0.0192006,0,0,0.0595279,0.0363871,0.0277891,0.0425585,0.0340733,0.0337241,0.0366183,0.026971,0.0347337,0.0271085,0.0302016,0.0102569,0.0454422,0.0160106,0.0246661,0.044362,0,0.0194047,0.0502584,0.0336801,0,0,0.0118175,0,0,0.0168187,0.0466988,0.0324398,0.0388823,0.0210567,0.0546496,0.0329616,0.0503414,0.0629687,0.0461524,0.0645929,0.0479311,0.0514753,0.0744332,0.021917,0.035566,0.013958,0.00556221,0.0460559,0.0661229,0,0,0,0,0,0,0,0,0,0.0530334,0.018364,0.0353057,0.0288422,0.0474345,0.0288634,0.0523058,0,0
229,0.0531432,0.0389333,0,0,0,0,0.0279211,0,0,0.0193851,0,0,0.0594209,0.0368889,0.0275224,0.0423652,0.0340138,0.0342843,0.0366204,0.0265813,0.0343611,0.0268915,0.0296365,0.00953923,0.0454669,0.0158552,0.0242937,0.0435411,0,0.0196777,0.0501688,0.0336889,0,0,0.0117129,0,0,0.0169221,0.0458976,0.0312335,0.038798,0.0200963,0.0544082,0.0331013,0.0490769,0.0625302,0.0458076,0.0646113,0.0469985,0.0511386,0.0744064,0.0224091,0.0355324,0.013904,0.00556116,0.0464507,0.0662056,0,0,0,0,0,0,0,0,0,0.0535154,0.0177997,0.0352384,0.0288814,0.0468039,0.02847,0.0523054,0,0
230,0.0531863,0.0393655,0,0,0,0,0.026826,0,0,0.019495,0,0,0.0592226,0.0374459,0.027402,0.0422452,0.0333839,0.0350438,0.0364567,0.0260559,0.0342317,0.0267985,0.0290742,0.00859694,0.0455292,0.0157288,0.0238386,0.0432065,0,0.019575,0.0500544,0.0335803,0,0,0.0116066,0,0,0.0170022,0.0452178,0.0309524,0.0387482,0.0190408,0.0539686,0.0332782,0.0485998,0.0624262,0.04569,0.0650856,0.0468807,0.051352,0.0747337,0.0231549,0.0355426,0.0138617,0.00554504,0.0470537,0.0660144,0,0,0,0,0,0,0,0,0,0.0538643,0.0170483,0.0353137,0.029063,0.0460694,0.0281283,0.0520953,0,0
