Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,LASI,LKNE,RTIBP,IMUR_M,IMUL_M,LTHII,RTHII
61,0.0483024,0.0384943,0,0,0,0.0533334,0,0.025014,0,0,0.0219619,0,0,0.0607218,0.0399226,0.0298311,0.0273483,0.0399015,0.0323556,0.0298378,0.0365179,0.0278351,0.0333804,0.0349529,0.0241916,0.0269427,0.00413007,0.0421793,0.0184714,0.0246384,0.0436448,0,0.0198689,0.0525306,0.0378706,0,0,0.0146032,0,0,0.0165745,0.0442721,0.0316539,0.0419285,0.0187234,0.052518,0.0380397,0.0484918,0.0634906,0.0424386,0.060778,0.0426027,0.0481966,0.0223225,0.0322115,0.00932529,0.00641526,0.0466326,0.0620188,0,0,0,0,0,0,0,0,0,0.0452294,0.0149818,0.0726953,0,0,0.0368285,0
62,0.0481511,0.0385439,0,0,0,0.0534248,0,0.0239292,0,0,0.0220315,0,0,0.0605617,0.0406653,0.0297222,0.0267409,0.0400565,0.0323767,0.0299305,0.0373288,0.0271187,0.0329251,0.0345895,0.0237769,0.0260716,0.00320638,0.0422234,0.0181464,0.0242672,0.043085,0,0.0208586,0.0529114,0.0381043,0,0,0.01465,0,0,0.0166666,0.0434675,0.0316539,0.0421458,0.018121,0.0525732,0.0385025,0.0481757,0.0637204,0.0412745,0.0606291,0.0423228,0.0478743,0.0224348,0.0320209,0.00925254,0.00671361,0.0467965,0.0620863,0,0,0,0,0,0,0,0,0,0.0445125,0.0143338,0.0722753,0,0,0.0371421,0
63,0.0480044,0.0386478,0,0,0,0.053464,0,0.0228377,0,0,0.0221016,0,0,0.0604355,0.0414874,0.0299049,0.0261627,0.0403696,0.0323921,0.0300173,0.038298,0.0263778,0.0324722,0.0343489,0.0235054,0.0250851,0.0036616,0.0422824,0.0178048,0.0239502,0.0430979,0,0.0215352,0.0531123,0.0383243,0,0,0.0147895,0,0,0.0168385,0.0424134,0.0314197,0.0422511,0.0175015,0.052559,0.0389613,0.0479239,0.0639441,0.039951,0.0603191,0.0419948,0.0472402,0.0220229,0.0318034,0.0091433,0.00710025,0.0469488,0.0621963,0,0,0,0,0,0,0,0,0,0.0437117,0.0136171,0.0719017,0,0,0.0377624,0
64,0.047853,0.0387784,0,0,0,0.0533745,0,0.0217644,0,0,0.0221946,0,0,0.0603879,0.0422593,0.0301425,0.0255734,0.0408708,0.032487,0.0301073,0.0394222,0.0256251,0.0320097,0.0343698,0.0231661,0.0238405,0.00600994,0.0423533,0.0177547,0.0236776,0.0430982,0,0.0215014,0.0530503,0.03851,0,0,0.0149921,0,0,0.017035,0.0413851,0.0309477,0.042471,0.0169747,0.0525002,0.0394261,0.0476001,0.0638218,0.0389476,0.0599649,0.0415812,0.0466727,0.0217314,0.0315407,0.00896617,0.00750332,0.0470335,0.0623393,0,0,0,0,0,0,0,0,0,0.0427106,0.0129513,0.0715577,0,0,0.0384357,0
65,0.0477299,0.0388716,0,0,0,0.0530583,0,0.0207475,0,0,0.0223488,0,0,0.0605584,0.0429768,0.0303646,0.0249857,0.0416043,0.0327161,0.0302704,0.0405346,0.0248164,0.0315659,0.0343784,0.0226488,0.0223101,0.0095149,0.042302,0.0182169,0.0234003,0.043096,0,0.0212508,0.0527707,0.0386456,0,0,0.0152858,0,0,0.017224,0.0406026,0.030321,0.0428422,0.0165199,0.052396,0.0399041,0.0472009,0.0635392,0.0381391,0.0594582,0.0412014,0.0462619,0.0214077,0.0312026,0.00875717,0.00799325,0.0470271,0.062517,0,0,0,0,0,0,0,0,0,0.0414677,0.0121495,0.0712416,0,0,0.0391728,0
66,0.0476159,0.0388831,0,0,0,0.0524886,0,0.0198958,0,0,0.0225996,0,0,0.060822,0.0437187,0.0306276,0.0244518,0.0424258,0.0330587,0.0305583,0.0415481,0.0239504,0.0309206,0.0342058,0.0216637,0.0206678,0.0135046,0.0419967,0.0185107,0.023465,0.0433245,0,0.0210518,0.0524058,0.0387885,0,0,0.0156386,0,0,0.0173979,0.0401234,0.0297568,0.043356,0.0160571,0.0522416,0.0404124,0.0467952,0.0631819,0.0372574,0.0589251,0.0409282,0.0458162,0.0210869,0.030865,0.00843484,0.00862146,0.0469652,0.0627107,0,0,0,0,0,0,0,0,0,0.0401914,0.0110729,0.0710777,0,0,0.0400586,0
67,0.0475142,0.0388204,0,0,0,0.0517926,0,0.0192532,0,0,0.0229022,0,0,0.0611612,0.0445767,0.0309143,0.0238428,0.0433707,0.0337169,0.0310347,0.0427283,0.0231308,0.030239,0.0337517,0.0205191,0.0190673,0.0175756,0.0415276,0.0186538,0.0237816,0.0436073,0,0.0208597,0.0520534,0.0389588,0,0,0.0160754,0,0,0.0176927,0.0397323,0.0294085,0.0440467,0.0156827,0.0523355,0.040983,0.0462815,0.06286,0.036367,0.0586605,0.0407531,0.0454801,0.021322,0.0304258,0.00803341,0.00922371,0.0467898,0.0628678,0,0,0,0,0,0,0,0,0,0.0388255,0.00989661,0.0709273,0,0,0.0411827,0
68,0.0475337,0.0388066,0,0,0,0.0509736,0,0.0188928,0,0,0.0234138,0,0,0.0615366,0.0455485,0.030721,0.023212,0.0443534,0.0344145,0.0313327,0.044288,0.0224521,0.0297103,0.0332023,0.0196153,0.0177179,0.0212002,0.041005,0.0187611,0.0242179,0.0436279,0,0.0206542,0.051864,0.0390251,0,0,0.0165944,0,0,0.0181026,0.0394069,0.0292442,0.0447472,0.0157059,0.0526209,0.0416249,0.0456503,0.0624846,0.0356311,0.0585282,0.040651,0.045357,0.0220382,0.0298996,0.00764086,0.00980656,0.0466424,0.0629459,0,0,0,0,0,0,0,0,0,0.0377932,0.00870919,0.0709096,0,0,0.0425667,0
69,0.0475538,0.0387971,0,0,0,0.0499545,0,0.0188328,0,0,0.0239573,0,0,0.0619474,0.0465634,0.0310709,0.0224337,0.0453864,0.0351913,0.0318437,0.0457388,0.0219739,0.0298123,0.032821,0.0192019,0.0168188,0.0245709,0.0404216,0.0189329,0.0245602,0.0435913,0,0.0205704,0.0520426,0.039039,0,0,0.0171004,0,0,0.0184781,0.0390464,0.0291841,0.045356,0.0159884,0.0530621,0.0423239,0.0458903,0.0620527,0.0351409,0.0584256,0.0405799,0.0453199,0.0227419,0.0293511,0.00734026,0.01056,0.0465006,0.0630524,0,0,0,0,0,0,0,0,0,0.0371412,0.0076784,0.0708918,0,0,0.0440408,0
70,0.0474107,0.0387169,0,0,0,0.0491002,0,0.0191779,0,0,0.0244332,0,0,0.0622526,0.0475619,0.0318051,0.0217075,0.0464214,0.0358924,0.0322533,0.0469051,0.0215843,0.0302149,0.0327379,0.0192369,0.0163333,0.0286756,0.0398643,0.0189986,0.0248992,0.0437626,0,0.0208495,0.0523331,0.0390776,0,0,0.0175054,0,0,0.0188378,0.0386359,0.0292522,0.0457113,0.0161358,0.0534751,0.0430585,0.045987,0.0618526,0.0348758,0.0582899,0.0404363,0.045469,0.0229714,0.028858,0.00697042,0.0111774,0.0464067,0.0632663,0,0,0,0,0,0,0,0,0,0.0367176,0.00697526,0.0706846,0,0,0.0455915,0
