Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.0135691,0.00657078,0,0,0,0.0229829,0.0147684,0.0133841,0.00537759,0,0,0.0090977,0,0.0258249,0.00352381,0.0504862,0.0118889,0.0153127,0.0140206,0.018614,0.00672158,0.00935578,0.00934695,0.0114334,0.0264748,0.00721871,0.00271094,0.00204701,0.0197516,0.0265499,0.00703549,0.00481024,0.00239402,0.0126138,0.015179,0.0125176,0.00692279,0.0107646,0,0,0.0101599,0,0.019605,0.00855856,0.0508832,0.0170628,0.0218096,0.0179316,0.0213566,0.0104195,0.00898708,0.0135136,0.009002,0.0112115,0.016461,0.0264651,0.0155929,0.0177223,0.0139652,0.00807339,0.0061414,0.00655977,0.00920035,0.0122032,0,0,0
0,0,0,0,0,0.00271946,0.00296683,0,0,0,0.0153385,0.014569,0.00795367,0.00425881,0,0,0.00420344,0,0.0249067,0.00147968,0.0536959,0.00515053,0.0114793,0.00728111,0.00445146,0.00263256,0.00796351,0.00873764,0.00842815,0.0197098,0.00564516,0.00320894,0.00279507,0.0253598,0.0181092,0.0039048,0.0058468,0.00113442,0.0134971,0.0160531,0.00776641,0.00623293,0.00535169,0,0,0.00324263,0,0.0182577,0.00277773,0.0486929,0.0129838,0.0224896,0.00958948,0.0048693,0.00892591,0.00574025,0.0119107,0.00413563,0.00816827,0.0112305,0.0195978,0.00533102,0.012616,0.0193054,0.00495722,0.00693758,0.00223408,0.00446506,0.00377538,0,0,0
1,0,0,0,0,0.00224327,0.00307068,0,0,0,0.0149961,0.0146674,0.00789871,0.00428061,0,0,0.00396463,0,0.0248828,0.00142166,0.0533938,0.00538166,0.011199,0.00718168,0.0041175,0.00251757,0.00803947,0.00893636,0.00823831,0.0196607,0.00562523,0.00330661,0.00271206,0.0251478,0.0176361,0.0037418,0.00578753,0.00114067,0.0142914,0.0159378,0.00773301,0.00644868,0.00533862,0,0,0.00298226,0,0.01823,0.00262152,0.0483891,0.01321,0.022092,0.00916097,0.00432275,0.0090667,0.00570212,0.0119127,0.00452461,0.00814347,0.0111489,0.0200211,0.00496855,0.0123688,0.0201073,0.00491429,0.00646939,0.00224071,0.00414927,0.00317633,0,0,0
2,0,0,0,0,0.00196026,0.00317698,0,0,0,0.0145893,0.0147305,0.00781893,0.00438089,0,0,0.00387459,0,0.024864,0.00139493,0.0530113,0.00555981,0.0110532,0.00698081,0.00408093,0.00238548,0.00810286,0.00904184,0.00805127,0.0196843,0.00555006,0.00334045,0.00261797,0.0249501,0.0171022,0.0035784,0.00574505,0.00113079,0.0145702,0.0158154,0.00727256,0.0067409,0.00534273,0,0,0.0029257,0,0.0182997,0.00231671,0.048139,0.0126706,0.0218668,0.00841072,0.00395957,0.00900267,0.0056884,0.0117772,0.00488986,0.00809676,0.0108597,0.0203734,0.00436223,0.0118584,0.020367,0.00475924,0.00594955,0.00229213,0.00388613,0.00273191,0,0,0
3,0,0,0,0,0.0018083,0.00326222,0,0,0,0.0140229,0.0147959,0.00768646,0.00452637,0,0,0.00371774,0,0.0248708,0.00131307,0.0526462,0.00572173,0.010973,0.00682524,0.00406958,0.00229033,0.0081244,0.00919939,0.00784775,0.0197411,0.00545868,0.0033545,0.00255851,0.0247463,0.0163536,0.00342522,0.00567726,0.00108699,0.0149533,0.0156819,0.00717452,0.00691641,0.00541584,0,0,0.00291158,0,0.0183793,0.00197066,0.0478215,0.0122687,0.0216358,0.00777252,0.00364951,0.00870985,0.00575277,0.011707,0.005461,0.0080437,0.0106507,0.0207934,0.00379534,0.0113623,0.0206327,0.00456684,0.00532332,0.00241914,0.00363459,0.00251476,0,0,0
4,0,0,0,0,0.00171601,0.00327624,0,0,0,0.013284,0.0148323,0.00748205,0.00470528,0,0,0.00356589,0,0.0248944,0.00117445,0.0522983,0.00583307,0.0109089,0.00669308,0.00405051,0.00220271,0.00811376,0.00948715,0.00764607,0.0198156,0.00538285,0.00336719,0.00251194,0.0244889,0.0153718,0.00326525,0.00561194,0.00101984,0.0154599,0.0154876,0.00752484,0.00696633,0.0055972,0,0,0.00277697,0,0.0184138,0.00177191,0.0473967,0.0122382,0.0213641,0.00756347,0.00344082,0.00833227,0.00586335,0.0117495,0.00595129,0.00798272,0.0106124,0.0212502,0.00346181,0.0109354,0.0209236,0.00432375,0.0046737,0.00264312,0.00340021,0.00259485,0,0,0
5,0,0,0,0,0.00176556,0.00335506,0,0,0,0.0125215,0.0149025,0.00724554,0.00493129,0,0,0.00343323,0,0.0248722,0.00104555,0.0519709,0.00589336,0.01084,0.00651345,0.00409398,0.00217156,0.00807717,0.00950868,0.00740755,0.0198877,0.00523871,0.00338251,0.00242664,0.0242037,0.0143656,0.00312295,0.00558225,0.000961488,0.0156305,0.0152851,0.0075696,0.00712313,0.00591486,0,0,0.0027846,0,0.0184791,0.00165711,0.0469562,0.0119896,0.0211348,0.00736957,0.00341123,0.00811069,0.005932,0.0117371,0.00622477,0.00797291,0.0102991,0.0216737,0.00312191,0.0103856,0.0209596,0.00414296,0.00406052,0.00295404,0.00324035,0.00263048,0,0,0
6,0,0,0,0,0.00195748,0.00349257,0,0,0,0.0117371,0.0149603,0.00695343,0.00517417,0,0,0.00328533,0,0.0248357,0.000916215,0.0516398,0.00584858,0.0107923,0.00626514,0.00417579,0.00215996,0.00797623,0.00942091,0.00711924,0.0200101,0.00500469,0.00334852,0.00232481,0.0238976,0.0133637,0.00298669,0.0055821,0.00095469,0.0156855,0.0151354,0.00739806,0.00747384,0.0060764,0,0,0.00291409,0,0.0185743,0.00151386,0.0466069,0.0115091,0.0209481,0.00675374,0.00349982,0.00805064,0.00592561,0.0115701,0.00639708,0.00791162,0.00984518,0.0221722,0.00248863,0.00963178,0.0209041,0.00403433,0.00357926,0.00332937,0.00317689,0.00261931,0,0,0
7,0,0,0,0,0.00219125,0.00361983,0,0,0,0.0109055,0.0149614,0.0066429,0.0053122,0,0,0.00310399,0,0.0248286,0.000797428,0.0512939,0.00570452,0.0107987,0.00591875,0.00428832,0.00212152,0.00781893,0.0093137,0.00675539,0.0201473,0.00471945,0.0033358,0.00226437,0.0235624,0.012314,0.00283729,0.00552461,0.00095034,0.0158076,0.0149724,0.0074277,0.00762403,0.00625243,0,0,0.00302829,0,0.0186265,0.00161789,0.0463419,0.0112101,0.0207396,0.00601868,0.00367884,0.00803682,0.00588149,0.0114341,0.00669917,0.00773773,0.00941927,0.0226751,0.00197726,0.00883115,0.0207939,0.00405208,0.00322184,0.00368588,0.00316546,0.00268487,0,0,0
8,0,0,0,0,0.00244398,0.0037517,0,0,0,0.00995026,0.0149717,0.00623596,0.0053437,0,0,0.00293569,0,0.024844,0.000741711,0.0509421,0.00549189,0.0107791,0.00559407,0.00444997,0.00212029,0.00764908,0.00930804,0.00633837,0.0202879,0.0044698,0.00326451,0.00226931,0.0232228,0.0111125,0.00270161,0.00542614,0.000927702,0.0158092,0.0148512,0.00754814,0.00774324,0.00651515,0,0,0.0032196,0,0.0187128,0.00195131,0.0460891,0.0110056,0.0204839,0.00543845,0.00393003,0.0080705,0.00593023,0.0113963,0.0071127,0.00765741,0.00919423,0.0230345,0.00180165,0.00817887,0.020501,0.00407505,0.00301772,0.00415527,0.0031799,0.00287072,0,0,0
