Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
1704,0,0,0,0,0.0179033,0.00791023,0,0,0,0.0230333,0.01461,0.0146417,0.0050503,0,0,0.00509892,0,0.0258887,0.00261083,0.0445887,0.0115903,0.0176039,0.0176787,0.0164148,0.0051378,0.010317,0.00972759,0.0126572,0.0299541,0.00877486,0.00320937,0.00274206,0.0141805,0.0264621,0.00535932,0.00482214,0.00281447,0.0118653,0.0203168,0.0128538,0.00350409,0.01389,0,0,0.0106653,0,0.0222214,0.00334497,0.0445703,0.0198496,0.0191899,0.0182123,0.0200464,0.00661297,0.00829759,0.0118199,0.00833974,0.0093791,0.0188602,0.0327915,0.0157708,0.0196407,0.0119809,0.00278295,0.00931027,0.00637801,0.00736815,0.0146717,0,0,0
1705,0,0,0,0,0.0180221,0.00802392,0,0,0,0.0228668,0.0145419,0.0144073,0.00500093,0,0,0.00496042,0,0.0259235,0.00257073,0.0446927,0.0114489,0.0175031,0.0173643,0.0157213,0.00509705,0.0101039,0.00953259,0.0124209,0.0297811,0.0086035,0.00298902,0.00260869,0.0142559,0.0262487,0.00527257,0.00477981,0.00278394,0.0115471,0.0200509,0.0127929,0.00331994,0.0140145,0,0,0.0121202,0,0.0222729,0.00387646,0.0445654,0.0197985,0.0192454,0.0175717,0.019343,0.00664517,0.00799138,0.0117777,0.00845449,0.00902856,0.0185535,0.032873,0.0156585,0.0195872,0.0115524,0.00336188,0.00879528,0.00623046,0.00755625,0.0147057,0,0,0
1706,0,0,0,0,0.0179096,0.00800724,0,0,0,0.0227429,0.014511,0.0141416,0.00493707,0,0,0.00484627,0,0.0259312,0.00252357,0.0447108,0.0112792,0.0174279,0.0170423,0.0152796,0.00505386,0.00992636,0.00933388,0.0121949,0.0296892,0.00837595,0.00281035,0.00249604,0.0143139,0.0261305,0.00517735,0.0047488,0.00273554,0.0112485,0.0199832,0.012783,0.00321046,0.0140208,0,0,0.0118673,0,0.0222895,0.00386325,0.044481,0.0196532,0.0193343,0.0170493,0.0189662,0.00649057,0.00790987,0.0117462,0.00857021,0.00876015,0.0181833,0.0329165,0.0156161,0.0193981,0.0109245,0.00338981,0.00883778,0.00612504,0.00761452,0.0146573,0,0,0
1707,0,0,0,0,0.0177849,0.00796422,0,0,0,0.0226233,0.0145215,0.0138576,0.0048175,0,0,0.00472399,0,0.0259367,0.00246646,0.0447075,0.0110558,0.0173114,0.0166074,0.0148284,0.00502431,0.00970273,0.00910617,0.0119406,0.0296159,0.00807362,0.00258408,0.0023583,0.0143705,0.0260287,0.00507147,0.00473663,0.00270898,0.0108778,0.0199406,0.0128541,0.00315879,0.0141076,0,0,0.0115612,0,0.0223162,0.00378422,0.0444043,0.0195339,0.0194178,0.0163624,0.0185985,0.00640036,0.00788604,0.0116625,0.00869525,0.00846947,0.0178311,0.0329716,0.0154765,0.0186169,0.0101551,0.0034064,0.00877322,0.00597199,0.00768114,0.0146477,0,0,0
1708,0,0,0,0,0.0176403,0.00790275,0,0,0,0.0224563,0.0145461,0.013514,0.00461922,0,0,0.00460706,0,0.025936,0.00240333,0.0447141,0.0107982,0.0171492,0.0160696,0.0143222,0.00498472,0.00941932,0.00880907,0.0116518,0.0295839,0.00773374,0.00233738,0.00224716,0.0144021,0.0258653,0.00498482,0.00472447,0.00268242,0.0103588,0.0198726,0.0129204,0.00312778,0.0142205,0,0,0.011285,0,0.0223095,0.00365689,0.0443642,0.0193714,0.0195215,0.0156557,0.0182108,0.00631847,0.0078401,0.0115417,0.00885577,0.00816103,0.017516,0.0329889,0.0153641,0.0180276,0.00928613,0.00319629,0.0085618,0.00580681,0.00774115,0.0146581,0,0,0
1709,0,0,0,0,0.0174807,0.0078226,0,0,0,0.0222226,0.0145799,0.0131108,0.00433103,0,0,0.00453905,0,0.0259171,0.00233749,0.0447001,0.010542,0.0169561,0.0154251,0.0138352,0.00493329,0.00909377,0.00838508,0.0113269,0.0296045,0.0073642,0.00217958,0.00220235,0.0144158,0.0256456,0.00491123,0.0047362,0.00262575,0.00981444,0.0198256,0.0130215,0.00312679,0.0143273,0,0,0.0110319,0,0.0222806,0.00340257,0.044334,0.0192142,0.0196237,0.0149442,0.0178447,0.00621962,0.00781418,0.0114378,0.00909013,0.00790873,0.0172199,0.0329831,0.0152702,0.0175934,0.00835989,0.00294036,0.00852406,0.00568239,0.00770575,0.0146904,0,0,0
1710,0,0,0,0,0.017331,0.00773853,0,0,0,0.0219262,0.0146023,0.0126073,0.00381797,0,0,0.00445268,0,0.0259424,0.00225133,0.0447282,0.0102587,0.0167143,0.0145767,0.0132445,0.00489398,0.00868229,0.00785012,0.010928,0.0295676,0.00692302,0.00219301,0.00218734,0.0144127,0.0253758,0.00484328,0.00475043,0.00255198,0.00940329,0.0197356,0.0131322,0.00318746,0.0143789,0,0,0.0108496,0,0.0222348,0.00326917,0.0443232,0.0190501,0.0197525,0.0139659,0.0173082,0.006089,0.00783896,0.0114147,0.00943264,0.00766512,0.0168784,0.0329927,0.0151551,0.017113,0.00752125,0.0028274,0.00865412,0.0056055,0.00765678,0.014733,0,0,0
1711,0,0,0,0,0.0172072,0.00763936,0,0,0,0.021451,0.0146125,0.01208,0.00316864,0,0,0.00432653,0,0.0259739,0.00216363,0.0447903,0.00995504,0.0164938,0.0136026,0.0126552,0.00484634,0.00816845,0.00724394,0.0104084,0.029434,0.00644749,0.00233686,0.00214232,0.0143942,0.0249123,0.00476397,0.0047547,0.00247988,0.00902348,0.0196882,0.0132486,0.00335026,0.0143849,0,0,0.0106296,0,0.0222175,0.00322054,0.0442898,0.0188447,0.0198887,0.0132889,0.0167015,0.00595974,0.00819257,0.0114877,0.0097729,0.00750158,0.0165211,0.0329664,0.0150466,0.0166939,0.00684015,0.00253568,0.00858498,0.0054951,0.00756716,0.0147713,0,0,0
1712,0,0,0,0,0.0171165,0.00751643,0,0,0,0.0209445,0.0146055,0.0116204,0.00318822,0,0,0.00426209,0,0.0259306,0.00211035,0.0448634,0.00959601,0.0162763,0.0125456,0.0121518,0.00477776,0.00754349,0.00659965,0.00972768,0.0292163,0.00590833,0.00256852,0.00209848,0.0144015,0.0244001,0.00473308,0.00471023,0.00240966,0.00878416,0.0196509,0.0133123,0.00352808,0.0143888,0,0,0.0104371,0,0.0221895,0.0031708,0.0442088,0.018561,0.0199209,0.0128745,0.0161955,0.00590874,0.00886531,0.0114996,0.0100582,0.00735345,0.0161118,0.0328834,0.014873,0.0165803,0.00651507,0.00227841,0.00828918,0.00540694,0.00745709,0.0147984,0,0,0
1713,0,0,0,0,0.0169888,0.0073929,0,0,0,0.0204387,0.0145941,0.0111607,0.00339375,0,0,0.00423263,0,0.0258297,0.00208283,0.0449357,0.00912764,0.0160473,0.0115072,0.0117858,0.00469407,0.00681011,0.00599128,0.00900667,0.028929,0.00537343,0.00285773,0.00209008,0.01446,0.0238701,0.00472439,0.00463432,0.00233026,0.00878399,0.0196421,0.0132317,0.00368969,0.0144008,0,0,0.0102234,0,0.0221665,0.00313946,0.0440978,0.0181066,0.0198624,0.0125983,0.015886,0.00588017,0.00863802,0.0114657,0.0101737,0.00718203,0.0155866,0.0327213,0.0145452,0.0168137,0.00664683,0.00212328,0.00811648,0.005381,0.00736184,0.0148178,0,0,0
