Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,,x76
258,0.03743,0.0324109,0,0,0,0,0,0.0353573,0,0.0314494,0.0381935,0,0,0.0232741,0,0,0.0509231,0.0443506,0.0347441,0.0160926,0.0244251,0.0473278,0.0265497,0.0361623,0.055183,0.0492416,0.0212337,0.0396311,0.0410074,0.0261712,0.0300559,0.039256,0.0529489,0.0111286,0.0145148,0.0406974,0,0.0174534,0.039205,0.0323271,0,0,0.0160182,0,0,0.0191294,0.0500657,0.0304915,0.0167249,0.0157027,0.0477493,0.0423023,0.0390377,0.0715016,0.0751123,0.0513318,0.0693463,0.0468051,0.0526813,0.0784631,0.0114789,0.0291019,0.00983988,0.00801451,0.0388831,0.0764181,0,0,0,0,0,0,0,0,0,0,0
259,0.0374938,0.0323014,0,0,0,0,0,0.0346366,0,0.0314146,0.0386222,0,0,0.0232696,0,0,0.0509495,0.0439945,0.0348704,0.0160995,0.0244386,0.0475513,0.0267803,0.0360306,0.0553732,0.0493266,0.021124,0.0394817,0.0410112,0.0261697,0.0298924,0.0403984,0.0527707,0.0111726,0.0145126,0.0398758,0,0.0170906,0.0387093,0.0323228,0,0,0.01606,0,0,0.0191025,0.0504842,0.0309979,0.0164597,0.01563,0.0480416,0.0423325,0.0392544,0.0717746,0.0753796,0.0512583,0.0690655,0.0466904,0.0525659,0.0784322,0.0119995,0.0289781,0.00977073,0.00793936,0.0387639,0.0766804,0,0,0,0,0,0,0,0,0,0,0
260,0.0374842,0.0322058,0,0,0,0,0,0.0339408,0,0.0314131,0.0390017,0,0,0.0232839,0,0,0.0509666,0.0437603,0.0349906,0.0161198,0.024398,0.0478032,0.0270142,0.0359865,0.0552891,0.049428,0.0210752,0.0393941,0.0409026,0.0260242,0.0297021,0.0414865,0.0525475,0.0111628,0.0145168,0.0391756,0,0.0167996,0.0382788,0.0322888,0,0,0.0160988,0,0,0.0191003,0.0509322,0.0315358,0.0162378,0.0156638,0.0483412,0.0423673,0.0393095,0.0720279,0.0756976,0.0512991,0.0689728,0.0465155,0.0522667,0.0784659,0.012612,0.0288915,0.00968897,0.00788422,0.0386095,0.0769402,0,0,0,0,0,0,0,0,0,0,0
261,0.0375167,0.0321082,0,0,0,0,0,0.0332125,0,0.0314204,0.0392444,0,0,0.0232783,0,0,0.050927,0.0436338,0.0351618,0.0160908,0.0243131,0.0481053,0.02722,0.0359436,0.055274,0.0494698,0.0210707,0.0393558,0.0406693,0.0258766,0.0294367,0.0425559,0.0523511,0.0111429,0.0145189,0.0384796,0,0.0165482,0.0378734,0.0323235,0,0,0.0161246,0,0,0.0191087,0.0513732,0.0321346,0.0160147,0.015805,0.0486887,0.0423981,0.039214,0.0723476,0.0760214,0.0513255,0.0690225,0.0462993,0.051977,0.0785621,0.0133711,0.0287921,0.0095871,0.0078336,0.038416,0.0771434,0,0,0,0,0,0,0,0,0,0,0
262,0.0376408,0.031975,0,0,0,0,0,0.0324639,0,0.0313946,0.0393093,0,0,0.0232966,0,0,0.0508472,0.0435929,0.0353389,0.0160478,0.0241927,0.0484445,0.0274668,0.0358714,0.0554301,0.0495823,0.0209531,0.0392701,0.0405369,0.0257529,0.0292019,0.0436103,0.052291,0.0110903,0.0145155,0.0377356,0,0.0163459,0.0374943,0.0323512,0,0,0.0161729,0,0,0.0191358,0.0517365,0.0327324,0.0155999,0.0161302,0.0490345,0.0424481,0.0391835,0.0726842,0.0763511,0.0511525,0.0689043,0.0460538,0.0517173,0.0782016,0.0143318,0.0287069,0.0094774,0.00779931,0.0381826,0.0773618,0,0,0,0,0,0,0,0,0,0,0
263,0.0377595,0.0319076,0,0,0,0,0,0.0322504,0,0.0312549,0.0390542,0,0,0.0235971,0,0,0.0506409,0.0438005,0.0355146,0.0157971,0.0240019,0.0487852,0.0278608,0.0359411,0.0557043,0.0496758,0.0206101,0.0389463,0.0403763,0.0256172,0.0290353,0.044483,0.0522583,0.011166,0.0140574,0.0368876,0,0.0162001,0.0370684,0.0324125,0,0,0.0163223,0,0,0.0189579,0.051871,0.0334812,0.0151002,0.0166139,0.0494454,0.0425536,0.0392104,0.0730068,0.0766067,0.0507462,0.068648,0.0458887,0.0514626,0.0779426,0.0156886,0.0286408,0.00933079,0.00750947,0.037988,0.0775944,0,0,0,0,0,0,0,0,0,0,0
264,0.0383231,0.0320112,0,0,0,0,0,0.0361699,0,0.0307196,0.0384763,0,0,0.0234537,0,0,0.0508502,0.0452438,0.0372185,0.0131242,0.0242363,0.0488411,0.0277572,0.0347297,0.057323,0.0501511,0.0201766,0.0368585,0.0390084,0.0238347,0.0291401,0.0390476,0.0520408,0.0110591,0.0143807,0.0356283,0,0.0157226,0.0370722,0.032951,0,0,0.0164382,0,0,0.0193809,0.0516433,0.033867,0.0155076,0.0172234,0.0503495,0.0432897,0.0386969,0.0728826,0.0763937,0.0500389,0.0687284,0.0460221,0.0515159,0.0780903,0.0171848,0.0281959,0.00873509,0.00825903,0.0377221,0.0782309,0,0,0,0,0,0,0,0,0,0,0
265,0.0383022,0.0320228,0,0,0,0,0,0.0353172,0,0.0308667,0.0389059,0,0,0.0234483,0,0,0.0508122,0.045063,0.0375414,0.0130174,0.0242414,0.0492063,0.0278866,0.0349028,0.0569928,0.0502258,0.0199984,0.0365709,0.0383862,0.0235699,0.0288341,0.0404492,0.0519573,0.0110149,0.0145785,0.0348315,0,0.0156358,0.0370444,0.0330069,0,0,0.0164745,0,0,0.0193845,0.0519488,0.0345465,0.0153979,0.0176988,0.0507899,0.0433391,0.0386084,0.0728983,0.0762015,0.0499301,0.0685311,0.0458596,0.0512521,0.0778465,0.0183643,0.0281303,0.0086538,0.00823971,0.0376172,0.0783335,0,0,0,0,0,0,0,0,0,0,0
266,0.0382667,0.031984,0,0,0,0,0,0.0346198,0,0.0310131,0.0391469,0,0,0.0234542,0,0,0.050774,0.0448848,0.0379139,0.0129643,0.0241933,0.0495588,0.0279406,0.0350323,0.0565813,0.0503583,0.0198948,0.0362587,0.0381064,0.0233678,0.0285422,0.0416182,0.0519509,0.0108535,0.0152046,0.0343303,0,0.0156414,0.0369833,0.0330894,0,0,0.0165214,0,0,0.019372,0.052257,0.0352469,0.0152082,0.0182529,0.0511934,0.0433812,0.038522,0.0728841,0.0758016,0.0499022,0.0683775,0.0457757,0.0510078,0.0776444,0.0194267,0.0280834,0.00856771,0.00823425,0.0375466,0.0784278,0,0,0,0,0,0,0,0,0,0,0
267,0.0382866,0.0319101,0,0,0,0,0,0.0339395,0,0.0310973,0.0395537,0,0,0.0235513,0,0,0.0507109,0.0447515,0.0382389,0.0129163,0.0240848,0.0498129,0.0279013,0.0350809,0.0563808,0.0505056,0.0198254,0.0360226,0.0378888,0.0232441,0.0282095,0.0427424,0.0519035,0.0108234,0.0150677,0.0338352,0,0.0155125,0.0368372,0.0332927,0,0,0.0165409,0,0,0.0193164,0.0525277,0.0357025,0.0149307,0.0187588,0.0514557,0.0434224,0.0384665,0.0727567,0.0762317,0.0497975,0.0683829,0.0458527,0.0509127,0.0776314,0.0203731,0.0280341,0.00848432,0.00819979,0.0375215,0.0785468,0,0,0,0,0,0,0,0,0,0,0
