Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHI,IMUR_B,
1712,0.0330821,0.0325417,0,0,0,0,0,0.0444154,0,0.0323586,0.0388571,0,0,0.0212627,0,0,0.0529586,0.0449712,0.0396869,0.0249244,0.02841,0.0370337,0.0254525,0.0478036,0.0472103,0.0275646,0.0456128,0.0467364,0.0304337,0.0369061,0.0329124,0.0541818,0.00942172,0.0146201,0.0480049,0,0.0274935,0.0465666,0.0275554,0,0,0.0141457,0,0,0.0196646,0.0474596,0.0418584,0.0210618,0.026687,0.0346709,0.0411224,0.0373598,0.0634551,0.0709108,0.0506083,0.0730085,0.0521113,0.054591,0.0788065,0.0135085,0.0310122,0.0105888,0.00837447,0.0389267,0.0689585,0,0,0,0,0,0,0,0,0.034265,0,0
1713,0.0330807,0.0325399,0,0,0,0,0,0.0444045,0,0.0324343,0.0389105,0,0,0.0212656,0,0,0.0529689,0.0450138,0.0397352,0.0249618,0.0283791,0.0371621,0.0254248,0.0478462,0.0471928,0.0274658,0.0456038,0.046721,0.0304273,0.0369207,0.0330179,0.0542012,0.0093886,0.0146738,0.0480203,0,0.027486,0.046582,0.0275925,0,0,0.0141699,0,0,0.0197374,0.0474798,0.0418649,0.0210417,0.0266755,0.0347708,0.0412034,0.037449,0.0635096,0.0712032,0.0506336,0.0730797,0.0521281,0.0544544,0.0788455,0.0135015,0.0309749,0.0105019,0.00852318,0.0388366,0.0688391,0,0,0,0,0,0,0,0,0.0342806,0,0
1714,0.0331362,0.032515,0,0,0,0,0,0.0443999,0,0.032404,0.0388118,0,0,0.0212465,0,0,0.0529397,0.0450185,0.0398902,0.024948,0.0283476,0.0373345,0.0254212,0.0479302,0.047251,0.0275175,0.0456372,0.0467968,0.0305323,0.0370727,0.0331671,0.0542088,0.00934894,0.0147038,0.048038,0,0.0275076,0.0466357,0.0276352,0,0,0.0142279,0,0,0.0197452,0.0475037,0.0419078,0.0210109,0.0266557,0.0349101,0.0413428,0.0374572,0.0634751,0.0712694,0.0506177,0.0731568,0.0522011,0.0545296,0.0789326,0.0135126,0.0309666,0.0103363,0.00876129,0.0387552,0.0687849,0,0,0,0,0,0,0,0,0.0341635,0,0
1715,0.0331291,0.0325475,0,0,0,0,0,0.0444962,0,0.0323741,0.0387112,0,0,0.0212103,0,0,0.0529235,0.0450297,0.0401392,0.0250428,0.0282803,0.0374599,0.025371,0.048132,0.0473373,0.0275798,0.0456814,0.0468548,0.0305997,0.0371611,0.0332832,0.0542052,0.00927916,0.0146564,0.0481604,0,0.0275941,0.0466843,0.027624,0,0,0.0142476,0,0,0.0198672,0.0475056,0.0420487,0.0210545,0.0266392,0.0349659,0.0414925,0.0374332,0.0634065,0.0712518,0.0505667,0.0731954,0.0522732,0.0547062,0.0789805,0.0136378,0.0309504,0.0102756,0.00897466,0.0387661,0.0686828,0,0,0,0,0,0,0,0,0.034062,0,0
1716,0.0331265,0.0325979,0,0,0,0,0,0.0446112,0,0.0323102,0.0387279,0,0,0.0211836,0,0,0.0529058,0.0450511,0.0403362,0.0251851,0.0282187,0.0375528,0.0253133,0.0483478,0.0474237,0.027624,0.0457334,0.0468707,0.0306695,0.0372007,0.0333762,0.0542084,0.00921717,0.0146409,0.0483293,0,0.0276586,0.0467285,0.0276497,0,0,0.0142946,0,0,0.0200319,0.0474996,0.0421759,0.0210976,0.0266608,0.0349477,0.0416054,0.0373186,0.0634243,0.0712497,0.0505059,0.0732638,0.0523473,0.0548,0.0790403,0.0137706,0.0308102,0.0102072,0.00913613,0.0388023,0.0685107,0,0,0,0,0,0,0,0,0.0339628,0,0
1717,0.0330621,0.032707,0,0,0,0,0,0.0447689,0,0.0322642,0.0387523,0,0,0.0215952,0,0,0.0526619,0.0450622,0.0405166,0.0254529,0.0281582,0.0375523,0.0255624,0.0483311,0.0474472,0.027607,0.045771,0.0468527,0.0306722,0.0372049,0.0334143,0.0541612,0.00915893,0.0141612,0.0485086,0,0.0277475,0.046759,0.0276873,0,0,0.0142583,0,0,0.0202397,0.0475048,0.0423256,0.0211247,0.0267159,0.0348239,0.0416823,0.0372658,0.063494,0.0711985,0.0505077,0.0732656,0.0523996,0.0547847,0.0790492,0.0139535,0.0306832,0.0100718,0.00939402,0.0389289,0.0682883,0,0,0,0,0,0,0,0,0.0338976,0,0
1718,0.0330004,0.0327159,0,0,0,0,0,0.0447668,0,0.0321991,0.0386946,0,0,0.0216017,0,0,0.0526313,0.045081,0.040604,0.025697,0.0281481,0.0375317,0.0255169,0.0484709,0.0474566,0.0276447,0.0458559,0.0468624,0.0307133,0.0372814,0.0334856,0.0541426,0.00910596,0.0141346,0.0485644,0,0.0277687,0.0467579,0.0277273,0,0,0.0143236,0,0,0.0202823,0.0474564,0.0423448,0.0210971,0.0267349,0.0347253,0.0418057,0.0372632,0.0635083,0.0710506,0.0505523,0.0732804,0.0524607,0.0547974,0.0791081,0.0139935,0.0306639,0.0100005,0.00956212,0.0389768,0.0681269,0,0,0,0,0,0,0,0,0.0338655,0,0
1719,0.0329391,0.0326741,0,0,0,0,0,0.0447343,0,0.0320599,0.0387249,0,0,0.0216011,0,0,0.0526259,0.0451377,0.0406697,0.0257621,0.0281764,0.0375816,0.0254905,0.0485457,0.0475109,0.0278075,0.0459232,0.0468525,0.0307623,0.0373802,0.033528,0.0541673,0.00911948,0.0141377,0.0485456,0,0.027754,0.0467944,0.0276863,0,0,0.0143944,0,0,0.0202147,0.0473468,0.042286,0.0210885,0.026736,0.0346531,0.0419204,0.0371735,0.0634607,0.0709547,0.0505516,0.0733822,0.0525177,0.0548674,0.0791968,0.0139563,0.0306089,0.00995033,0.00969859,0.038971,0.0680782,0,0,0,0,0,0,0,0,0.0338092,0,0
1720,0.0329897,0.0327128,0,0,0,0,0,0.0448637,0,0.0320111,0.0387387,0,0,0.0215984,0,0,0.0526544,0.0451682,0.0408557,0.0258956,0.028152,0.0375108,0.0253805,0.0485994,0.0475124,0.0277874,0.0458789,0.0468118,0.0307496,0.037307,0.0334491,0.0542819,0.00911739,0.0141234,0.04861,0,0.0277782,0.046776,0.027599,0,0,0.01435,0,0,0.0202462,0.0472871,0.0422803,0.0211404,0.0267793,0.0345329,0.0419945,0.03721,0.0634873,0.07097,0.0506137,0.073408,0.0525432,0.0548379,0.0791913,0.0140212,0.0306619,0.00991001,0.00973558,0.0390678,0.0679244,0,0,0,0,0,0,0,0,0.03381,0,0
1721,0.0330594,0.0326519,0,0,0,0,0,0.044946,0,0.0319964,0.0388596,0,0,0.0215919,0,0,0.0526562,0.0452008,0.0408944,0.025827,0.0281516,0.0375039,0.0252921,0.0485167,0.0475684,0.0278727,0.0458636,0.0468222,0.030762,0.0373298,0.0333399,0.0543089,0.00913572,0.0140862,0.0485958,0,0.0277358,0.0467936,0.0275558,0,0,0.0143322,0,0,0.0202679,0.0472153,0.0422101,0.0211417,0.0268209,0.0344922,0.0420135,0.037198,0.0634587,0.0709627,0.0506012,0.0734744,0.0525591,0.0548714,0.0792292,0.013978,0.0306697,0.00990321,0.00983672,0.0390684,0.0678684,0,0,0,0,0,0,0,0,0.0337996,0,0
