Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHI,IMUR_B,
All Timesteps RMSE,0.035674,0.0333536,0,0,0,0,0,0.0350075,0,0.0322234,0.0423831,0,0,0.0219878,0,0,0.0528275,0.0437097,0.0400942,0.019137,0.0268865,0.0498533,0.0302265,0.0519296,0.0476207,0.0205475,0.0388292,0.0390502,0.0261707,0.0305382,0.0560383,0.0491976,0.0115894,0.0148583,0.0363134,0,0.0208821,0.0411791,0.0309859,0,0,0.0196876,0,0,0.0197035,0.051277,0.043885,0.0188921,0.0283362,0.0520757,0.0439298,0.0362711,0.0670269,0.0725644,0.050693,0.066306,0.0460279,0.0492436,0.0758023,0.0340253,0.0278914,0.00585987,0.00960655,0.0396269,0.076246,0,0,0,0,0,0,0,0,0.034596,0,0
0,0.0324472,0.040373,0,0,0,0,0,0.052948,0,0.0291768,0.0358113,0,0,0.0199017,0,0,0.0553126,0.0430508,0.0393366,0.0275623,0.0287474,0.0369193,0.0413529,0.045736,0.0473431,0.028008,0.0452133,0.044895,0.0322496,0.0396475,0.0250431,0.0484133,0.011693,0.0120409,0.0442242,0,0.0258812,0.0479209,0.0230998,0,0,0.0159301,0,0,0.0229554,0.0502496,0.039959,0.0244004,0.0243648,0.0364642,0.0438109,0.0424066,0.0689514,0.0718968,0.0508995,0.0674016,0.0476314,0.0506433,0.0758193,0.0116284,0.0311402,0.00271734,0.00413889,0.0474443,0.0680533,0,0,0,0,0,0,0,0,0,0,0
1,0.0327564,0.0404291,0,0,0,0,0,0.0524343,0,0.0299101,0.036765,0,0,0.0198554,0,0,0.0554335,0.0413828,0.040399,0.0267485,0.0282348,0.0364934,0.0411362,0.0452764,0.0480628,0.028031,0.0451343,0.045098,0.0321637,0.0394978,0.0263486,0.0483424,0.0116575,0.0119792,0.0446895,0,0.0263338,0.0475046,0.023424,0,0,0.0160336,0,0,0.0232303,0.0514185,0.040327,0.0238798,0.0247838,0.0366202,0.0442297,0.0423149,0.0684977,0.071909,0.0515071,0.0673806,0.0475538,0.0503955,0.0756756,0.0115284,0.03121,0.00250865,0.00431046,0.0473463,0.0682446,0,0,0,0,0,0,0,0,0.0271874,0,0
2,0.0326559,0.040396,0,0,0,0,0,0.0526615,0,0.0298962,0.0367257,0,0,0.0198844,0,0,0.0554442,0.0415504,0.0403149,0.0271712,0.028183,0.0363852,0.0410249,0.0454548,0.0479093,0.0277251,0.044981,0.0450227,0.0320407,0.0392841,0.026113,0.048391,0.0116053,0.0118887,0.0445914,0,0.0264511,0.0475206,0.0233553,0,0,0.0159362,0,0,0.0233276,0.0513212,0.0404343,0.0242271,0.0247057,0.0364807,0.0441382,0.0423648,0.0686993,0.0719463,0.0514523,0.0671825,0.0473817,0.0502461,0.0755659,0.0117908,0.0313556,0.00247333,0.00417496,0.0473855,0.0679941,0,0,0,0,0,0,0,0,0.0274099,0,0
3,0.0324204,0.040391,0,0,0,0,0,0.0529425,0,0.0291954,0.0358007,0,0,0.0198615,0,0,0.0554148,0.0430234,0.0393966,0.0275949,0.0287173,0.0368788,0.0413368,0.0456455,0.0473735,0.0280017,0.0451589,0.045064,0.0321769,0.0395441,0.0251185,0.0484491,0.0117115,0.0120636,0.043954,0,0.0259831,0.0479163,0.0230135,0,0,0.0158484,0,0,0.0231212,0.0503142,0.0400786,0.0244695,0.0243815,0.036447,0.0437632,0.0420024,0.0688606,0.0718211,0.0509514,0.067294,0.0475382,0.050527,0.0757997,0.0118,0.0315062,0.00272567,0.00414589,0.0473781,0.0679357,0,0,0,0,0,0,0,0,0,0,0
4,0.0326121,0.040396,0,0,0,0,0,0.0526392,0,0.0299013,0.0367503,0,0,0.0198375,0,0,0.0554782,0.041565,0.0404996,0.0273431,0.0281395,0.0362789,0.0410247,0.045691,0.0479223,0.0276506,0.044901,0.0449684,0.031847,0.0391801,0.0262354,0.0483844,0.0114867,0.0118937,0.0448216,0,0.0264837,0.0475665,0.0232667,0,0,0.0159143,0,0,0.0234139,0.0513347,0.0404793,0.0243525,0.0247018,0.0364077,0.0440871,0.0422997,0.0687139,0.0719494,0.0515452,0.067073,0.0473446,0.0502237,0.0754888,0.0118371,0.0312898,0.00242253,0.00412573,0.0473734,0.0679352,0,0,0,0,0,0,0,0,0.027206,0,0
5,0.0327184,0.0402995,0,0,0,0,0,0.0522722,0,0.0299765,0.0367055,0,0,0.0198235,0,0,0.0554068,0.0413962,0.0404397,0.0268622,0.0282596,0.0363982,0.0412027,0.0455761,0.048074,0.0279854,0.0450838,0.045164,0.0320714,0.0394635,0.0264372,0.0484208,0.01163,0.012101,0.0446385,0,0.0262766,0.047494,0.0233475,0,0,0.0160604,0,0,0.0232732,0.0514677,0.0402481,0.0239568,0.024801,0.0365706,0.0441673,0.0419902,0.06841,0.0718738,0.0515373,0.0673539,0.0475673,0.0504386,0.0756623,0.0114953,0.0311897,0.00252849,0.00437122,0.0471849,0.0682101,0,0,0,0,0,0,0,0,0.026727,0,0
6,0.0326923,0.0402916,0,0,0,0,0,0.0523167,0,0.0300256,0.0367303,0,0,0.0198355,0,0,0.0554034,0.0414104,0.0404031,0.0268368,0.0282321,0.0363871,0.0411607,0.0456121,0.0480589,0.0279866,0.0450727,0.0451502,0.0320688,0.0394139,0.0264315,0.0485233,0.0115887,0.0120572,0.0445472,0,0.0263042,0.0475386,0.0233081,0,0,0.0160071,0,0,0.0232907,0.051485,0.0403041,0.023982,0.0247817,0.0365494,0.0441231,0.0420076,0.0684117,0.0718907,0.0514897,0.067334,0.0475412,0.0504009,0.0756415,0.0115222,0.0312232,0.00253177,0.0043677,0.0472026,0.0681903,0,0,0,0,0,0,0,0,0.0266888,0,0
7,0.0326702,0.0402509,0,0,0,0,0,0.0523099,0,0.0299989,0.0367654,0,0,0.0198392,0,0,0.0553951,0.0414213,0.0404296,0.0268308,0.0282203,0.0364088,0.041105,0.045604,0.048047,0.0279904,0.0450642,0.0451432,0.032062,0.0393968,0.0264097,0.0485507,0.0115835,0.0120423,0.0445728,0,0.0262985,0.0475534,0.0232845,0,0,0.0159682,0,0,0.0233172,0.051503,0.0402502,0.023961,0.0247987,0.0365623,0.0441017,0.0420667,0.0684003,0.0718842,0.0514852,0.0673346,0.0475304,0.0504341,0.0756577,0.0114888,0.0312714,0.00254801,0.00439397,0.0471827,0.068198,0,0,0,0,0,0,0,0,0.0266818,0,0
8,0.0326407,0.0402222,0,0,0,0,0,0.0522964,0,0.029961,0.0367611,0,0,0.0198467,0,0,0.0553744,0.0414284,0.0404396,0.0268407,0.0282294,0.0364165,0.0410724,0.0455952,0.048029,0.027991,0.0450436,0.0451206,0.0320489,0.0393942,0.0263671,0.0485429,0.0115977,0.0120589,0.0445387,0,0.0262917,0.0475541,0.0233199,0,0,0.0159381,0,0,0.0233424,0.0515005,0.0401931,0.0239183,0.0247843,0.0365656,0.0440984,0.0421336,0.0683919,0.0718848,0.0515312,0.0673297,0.047529,0.050433,0.0756773,0.0114772,0.031297,0.00255155,0.00443503,0.047161,0.0682029,0,0,0,0,0,0,0,0,0.026688,0,0
9,0.03253,0.0402542,0,0,0,0,0,0.0525568,0,0.0300188,0.0367965,0,0,0.0198562,0,0,0.0553864,0.0415721,0.0405054,0.0272699,0.028129,0.0362436,0.040933,0.0459183,0.0478853,0.027667,0.0448421,0.0450104,0.0317873,0.0391018,0.0262388,0.0485482,0.0114417,0.0118775,0.0448689,0,0.0264312,0.0476575,0.023301,0,0,0.0157334,0,0,0.0234659,0.0513901,0.0403915,0.0242988,0.0246944,0.0363738,0.0439962,0.042335,0.0686441,0.0719913,0.0515094,0.0670895,0.0473296,0.0501819,0.0754851,0.0117647,0.0314302,0.00244676,0.00424023,0.0473185,0.0679272,0,0,0,0,0,0,0,0,0.0270483,0,0
10,0.0326361,0.0401411,0,0,0,0,0,0.0521866,0,0.0300506,0.0367601,0,0,0.0198507,0,0,0.0553493,0.041433,0.0404228,0.026782,0.0282724,0.0364129,0.0410669,0.0456713,0.0480264,0.0280365,0.0450741,0.045196,0.0320506,0.0394151,0.0264023,0.0485278,0.0116348,0.0120842,0.0447165,0,0.0262479,0.0476061,0.0233687,0,0,0.0158914,0,0,0.0233435,0.0514923,0.0401608,0.0239171,0.0248056,0.036571,0.0440743,0.0420726,0.0683511,0.0718763,0.0514785,0.0673167,0.0475148,0.0504059,0.0756704,0.0114082,0.0313137,0.00252863,0.00454739,0.0471306,0.0681999,0,0,0,0,0,0,0,0,0.0267374,0,0
11,0.0325967,0.0400538,0,0,0,0,0,0.0523436,0,0.0301,0.036746,0,0,0.0198901,0,0,0.0553726,0.0415816,0.0403819,0.0271862,0.0282388,0.0362461,0.0409668,0.0458827,0.0478303,0.0277631,0.0449968,0.0451188,0.0319296,0.0392419,0.0261879,0.0485349,0.0116128,0.0120363,0.0446907,0,0.0263344,0.047629,0.0233494,0,0,0.015774,0,0,0.0234059,0.0514563,0.04025,0.0242577,0.0247307,0.0364126,0.0439876,0.04228,0.0685438,0.0719368,0.0514541,0.0671348,0.047364,0.0502655,0.0755598,0.0116397,0.0313861,0.00244456,0.0045224,0.0471474,0.0680011,0,0,0,0,0,0,0,0,0.0270932,0,0
12,0.0326315,0.0400413,0,0,0,0,0,0.0523257,0,0.030112,0.0367126,0,0,0.0198828,0,0,0.0554183,0.0415956,0.0404228,0.0271933,0.028241,0.0362416,0.0409256,0.0458762,0.047764,0.0277697,0.0449693,0.0451202,0.0319097,0.039229,0.0262156,0.0485311,0.0116022,0.0120383,0.0447742,0,0.0263444,0.0476124,0.0233447,0,0,0.0157186,0,0,0.0234286,0.0514815,0.0402583,0.0243048,0.0247338,0.0364171,0.0439848,0.0422883,0.0685405,0.0719238,0.0514582,0.0670916,0.0473407,0.0502372,0.0755345,0.0116172,0.0313653,0.00239475,0.00462045,0.0471168,0.0680134,0,0,0,0,0,0,0,0,0.0271456,0,0
13,0.0327075,0.0400332,0,0,0,0,0,0.0521056,0,0.0301214,0.036663,0,0,0.0198269,0,0,0.0554534,0.0414794,0.0403929,0.0267806,0.0283152,0.0363946,0.0409301,0.0455908,0.0478769,0.0280547,0.045066,0.0452229,0.0320488,0.0394221,0.0264093,0.0485177,0.0116387,0.0121394,0.0447199,0,0.0262715,0.0475452,0.0233431,0,0,0.0157664,0,0,0.0233941,0.0515745,0.0401065,0.0239576,0.0248081,0.0365772,0.0440249,0.0420605,0.0683002,0.071838,0.0515143,0.0672281,0.0474672,0.0503526,0.0756503,0.011303,0.0312647,0.00242617,0.00492364,0.0469883,0.0682077,0,0,0,0,0,0,0,0,0.0268827,0,0
14,0.0326258,0.0399704,0,0,0,0,0,0.0523461,0,0.0301252,0.0367006,0,0,0.0198608,0,0,0.0554486,0.0416222,0.0403143,0.027145,0.028233,0.0362236,0.0407164,0.0456429,0.0477364,0.0277145,0.044913,0.0451157,0.0318324,0.0392059,0.0261492,0.0484934,0.0114948,0.0120943,0.0448942,0,0.0263377,0.0475664,0.0232999,0,0,0.0155667,0,0,0.0234688,0.0515273,0.0401707,0.0241985,0.0247591,0.0364074,0.0439467,0.0422984,0.068471,0.0718895,0.0515694,0.067044,0.0473525,0.0502148,0.0755556,0.011479,0.0313805,0.00232337,0.00496032,0.0469967,0.0679475,0,0,0,0,0,0,0,0,0.0271804,0,0
15,0.0325471,0.039991,0,0,0,0,0,0.052414,0,0.0300603,0.0366539,0,0,0.019797,0,0,0.0554574,0.0416782,0.0403083,0.0272182,0.0282269,0.0362265,0.0406962,0.0456988,0.0477179,0.0276551,0.044898,0.0450838,0.031767,0.0391094,0.0261437,0.0485368,0.0114141,0.0120906,0.0448636,0,0.0264033,0.0475792,0.0232878,0,0,0.0154181,0,0,0.0235268,0.0515042,0.0401795,0.0242354,0.0247,0.0363932,0.0438947,0.0423627,0.0685294,0.0719052,0.0515538,0.0669662,0.0472561,0.0501545,0.0755237,0.0115204,0.0314268,0.0022515,0.00517093,0.0470005,0.0678733,0,0,0,0,0,0,0,0,0.027243,0,0
16,0.0323848,0.0399178,0,0,0,0,0,0.052608,0,0.0294322,0.0356937,0,0,0.0197492,0,0,0.0554447,0.0431414,0.0393217,0.0275642,0.0288144,0.036714,0.0410767,0.0459645,0.0471848,0.0280344,0.0451823,0.0452326,0.0320066,0.0394328,0.0251989,0.0485835,0.0115593,0.0123421,0.0441402,0,0.0258815,0.048029,0.0229934,0,0,0.015249,0,0,0.0233567,0.050499,0.0398036,0.0244209,0.0243659,0.0363481,0.0435784,0.0420049,0.0686515,0.0717955,0.0509262,0.0671474,0.0474353,0.0504468,0.0757558,0.0114957,0.0316418,0.00247413,0.00553349,0.0469508,0.0678603,0,0,0,0,0,0,0,0,0,0,0
17,0.0326196,0.0397856,0,0,0,0,0,0.052312,0,0.0301026,0.0366736,0,0,0.0197257,0,0,0.0555092,0.0416112,0.0402473,0.0272203,0.028225,0.036174,0.0408231,0.0456922,0.0476851,0.027697,0.0449518,0.0451102,0.0318433,0.0391558,0.0260853,0.0485052,0.0114378,0.0123121,0.044861,0,0.0262896,0.0476168,0.0232761,0,0,0.0152078,0,0,0.0237293,0.0515953,0.040126,0.0242746,0.0247319,0.0363667,0.0439767,0.0423139,0.068415,0.0718569,0.0514428,0.0669606,0.0473219,0.050221,0.0755667,0.0114642,0.0315056,0.00220992,0.00591988,0.0468442,0.0679171,0,0,0,0,0,0,0,0,0.0271276,0,0
18,0.0325675,0.0396876,0,0,0,0,0,0.0523037,0,0.0301086,0.0366808,0,0,0.0196432,0,0,0.0555412,0.0416068,0.0402357,0.0272046,0.0282137,0.0362002,0.040765,0.0456645,0.047704,0.0276819,0.0449247,0.0450566,0.0317801,0.0391057,0.0260726,0.0484892,0.0113522,0.0124209,0.0449441,0,0.0262947,0.0476112,0.0232798,0,0,0.0148086,0,0,0.024105,0.0515894,0.0401311,0.0243095,0.0246943,0.0363855,0.0440024,0.0423299,0.068409,0.071859,0.0514258,0.066934,0.047305,0.0501889,0.0755663,0.0114614,0.0315623,0.00243459,0.00626598,0.0467891,0.0679169,0,0,0,0,0,0,0,0,0.0271644,0,0
19,0.0325004,0.0394792,0,0,0,0,0,0.0520698,0,0.0300745,0.036575,0,0,0.0194601,0,0,0.0555571,0.0415655,0.0402539,0.0267534,0.0283232,0.0365495,0.0406105,0.0454914,0.04781,0.0279193,0.0450922,0.0451127,0.0319106,0.0392916,0.0262023,0.0484712,0.0113666,0.01277,0.0448896,0,0.0261653,0.0474655,0.0233234,0,0,0.0138127,0,0,0.0250003,0.0516085,0.0398816,0.0239373,0.0247474,0.0367304,0.0441332,0.0421375,0.0682315,0.0717693,0.0514117,0.0671287,0.0474089,0.0503451,0.0756778,0.0111696,0.031713,0.00442746,0.00647126,0.0465377,0.0682046,0,0,0,0,0,0,0,0,0.0270049,0,0
20,0.0321046,0.0386659,0,0,0,0,0,0.0527176,0,0.0297187,0.0355503,0,0,0.0191617,0,0,0.0551654,0.0424667,0.0382611,0.0270255,0.0286257,0.0377999,0.0399881,0.0459179,0.0470756,0.0274625,0.0452896,0.0452624,0.0321695,0.0394867,0.0242059,0.0487678,0.0118051,0.0134172,0.044865,0,0.0256633,0.0465956,0.0234061,0,0,0.0107503,0,0,0.0276187,0.0511483,0.0386922,0.0239845,0.0247461,0.0378738,0.0439456,0.0424633,0.068626,0.0715418,0.0510573,0.0672839,0.0474564,0.0506061,0.0759293,0.010911,0.0331849,0.0140772,0.00512159,0.0458452,0.0683701,0,0,0,0,0,0,0,0,0.0282401,0,0
21,0.0324328,0.0393906,0,0,0,0,0,0.0520752,0,0.0300971,0.0365679,0,0,0.0194523,0,0,0.0554974,0.0415591,0.040159,0.0267525,0.0282874,0.03652,0.0404751,0.045457,0.0477598,0.0279012,0.0450452,0.0451917,0.0319546,0.0392888,0.0261693,0.0484559,0.0113361,0.0127904,0.044824,0,0.0261163,0.0474333,0.0233689,0,0,0.0138544,0,0,0.0250267,0.0516143,0.0398228,0.0239178,0.0247616,0.036715,0.0441601,0.0421082,0.0681788,0.0717341,0.0514188,0.0671193,0.0473737,0.0503283,0.0756305,0.0112008,0.0317021,0.00443406,0.0064816,0.0464427,0.0682195,0,0,0,0,0,0,0,0,0.0269968,0,0
22,0.0324583,0.0395165,0,0,0,0,0,0.0522263,0,0.0301563,0.0366571,0,0,0.019632,0,0,0.0554493,0.0415991,0.0401058,0.0270966,0.0282186,0.0361961,0.0405905,0.0455816,0.0476498,0.027685,0.0449071,0.0451784,0.0318228,0.0391429,0.0260594,0.0484697,0.0113434,0.0124705,0.0448927,0,0.0262253,0.0475431,0.023312,0,0,0.0148948,0,0,0.0240979,0.051577,0.0399869,0.0242132,0.0246939,0.0363607,0.044028,0.0422669,0.068281,0.0717926,0.0514275,0.0669439,0.0472651,0.0501541,0.0755178,0.0113831,0.0315149,0.0024614,0.00630787,0.0466019,0.0679518,0,0,0,0,0,0,0,0,0.0271898,0,0
23,0.0325594,0.0396122,0,0,0,0,0,0.0520084,0,0.0301321,0.036663,0,0,0.0196641,0,0,0.0554355,0.0413676,0.0402008,0.0266819,0.0283007,0.0362659,0.0407492,0.0453942,0.0477674,0.0279568,0.0450242,0.0452607,0.0318977,0.0393134,0.0262758,0.0485063,0.0114453,0.0124143,0.0449613,0,0.0261689,0.0475348,0.0232945,0,0,0.0153799,0,0,0.0237053,0.0516589,0.0398613,0.0239206,0.0247726,0.036474,0.0439838,0.0420533,0.0680948,0.0717419,0.0514777,0.0670113,0.0473501,0.0502616,0.0756059,0.0110531,0.0314121,0.00224688,0.00604504,0.0465683,0.0680813,0,0,0,0,0,0,0,0,0.0269261,0,0
24,0.0325767,0.039681,0,0,0,0,0,0.0521042,0,0.0301625,0.0366695,0,0,0.0199334,0,0,0.0552849,0.0413793,0.0401803,0.0270063,0.0282771,0.0360371,0.0408971,0.0456023,0.0476073,0.0277433,0.0449367,0.0451622,0.031759,0.0391539,0.0261386,0.0485072,0.0115626,0.0120043,0.044985,0,0.0262064,0.0476223,0.0231689,0,0,0.0159991,0,0,0.0232289,0.0515481,0.0399434,0.0242057,0.0247077,0.0362848,0.0438724,0.0422146,0.0682471,0.0717945,0.0514334,0.0668773,0.0472486,0.0501595,0.075516,0.0112933,0.0315335,0.00253576,0.0041479,0.0466729,0.0678591,0,0,0,0,0,0,0,0,0.0272176,0,0
25,0.032606,0.0396631,0,0,0,0,0,0.0521744,0,0.0301525,0.0367048,0,0,0.0198977,0,0,0.0552506,0.0414564,0.0401184,0.0270957,0.0282738,0.0359899,0.0408496,0.0456698,0.0475748,0.0276746,0.0448921,0.0451017,0.0317413,0.0390825,0.0260853,0.0484691,0.0115156,0.0119956,0.0449847,0,0.026216,0.0476011,0.0231314,0,0,0.0159664,0,0,0.0232507,0.0515555,0.0399316,0.0242467,0.0246922,0.0363275,0.0438531,0.0422487,0.0682604,0.0718061,0.0514326,0.0668504,0.0472127,0.0501313,0.0754841,0.0113146,0.0315432,0.00252941,0.00412745,0.0466598,0.0678602,0,0,0,0,0,0,0,0,0.0272654,0,0
26,0.0327188,0.0395902,0,0,0,0,0,0.0519604,0,0.030133,0.0366757,0,0,0.0197588,0,0,0.0552549,0.0414041,0.0401283,0.026742,0.028356,0.0361653,0.0408774,0.0454809,0.0477157,0.0279467,0.0450063,0.0451895,0.0318587,0.0392682,0.0262869,0.0484539,0.0114952,0.012216,0.0447482,0,0.0261376,0.0475557,0.0231784,0,0,0.0157952,0,0,0.0233683,0.0516242,0.0398085,0.0239231,0.0247431,0.0365178,0.043933,0.0420163,0.0680615,0.0717151,0.0514068,0.0670194,0.0473111,0.050261,0.0755917,0.0110873,0.0314032,0.00238592,0.00509708,0.0465178,0.0680869,0,0,0,0,0,0,0,0,0.0270418,0,0
27,0.0327236,0.0395816,0,0,0,0,0,0.0521702,0,0.0301335,0.0366851,0,0,0.019887,0,0,0.0551903,0.0415237,0.0401606,0.0271332,0.0282826,0.035973,0.0407631,0.045694,0.0475633,0.0276618,0.0449251,0.0451047,0.0316807,0.0390671,0.0260341,0.0484827,0.0115275,0.0119428,0.0446088,0,0.0262306,0.0475885,0.0231532,0,0,0.0159667,0,0,0.0232264,0.0515656,0.0399239,0.0242326,0.0246829,0.0363304,0.0438633,0.0421941,0.0682647,0.0717731,0.0513652,0.066843,0.0471693,0.0501049,0.0754517,0.0113341,0.0314965,0.002541,0.00414156,0.0466014,0.0678676,0,0,0,0,0,0,0,0,0.0274023,0,0
28,0.0327438,0.0395832,0,0,0,0,0,0.0521228,0,0.0301093,0.0367119,0,0,0.0198769,0,0,0.0552225,0.0415137,0.0402254,0.0270616,0.0282858,0.0359302,0.0407047,0.0457269,0.0475209,0.0276557,0.0449229,0.045056,0.0316385,0.0390205,0.0260971,0.0485568,0.0115341,0.0118922,0.0447862,0,0.0262049,0.0475901,0.0231288,0,0,0.015955,0,0,0.0232262,0.0515651,0.0399387,0.0242505,0.0246717,0.0363027,0.0438581,0.0421623,0.068251,0.0717714,0.051345,0.0667896,0.0471471,0.0500823,0.07546,0.0113595,0.0315149,0.0025005,0.00411574,0.046583,0.0678584,0,0,0,0,0,0,0,0,0.0274623,0,0
29,0.0327558,0.0395063,0,0,0,0,0,0.0520509,0,0.0301181,0.0366971,0,0,0.0199084,0,0,0.0552018,0.0414846,0.0401403,0.0270031,0.0283151,0.0359031,0.0406869,0.0457255,0.047464,0.027658,0.0449293,0.0450507,0.031656,0.0390189,0.0261089,0.048583,0.0115401,0.0119537,0.0448446,0,0.0261498,0.0475899,0.023112,0,0,0.0158949,0,0,0.0232872,0.0515716,0.0398949,0.0242424,0.0246818,0.036329,0.0438913,0.0420137,0.0682049,0.0717558,0.0513499,0.0667941,0.0471692,0.0500898,0.0754916,0.0113413,0.031469,0.00241587,0.00447472,0.0464946,0.0678863,0,0,0,0,0,0,0,0,0.0274644,0,0
30,0.0328117,0.0394761,0,0,0,0,0,0.0518007,0,0.0301154,0.0366908,0,0,0.0199132,0,0,0.0551744,0.0413236,0.0401086,0.0266253,0.0283671,0.0360203,0.0407391,0.0455065,0.0475796,0.0279082,0.0449944,0.0451544,0.03181,0.0391988,0.0262877,0.0486202,0.011613,0.0120192,0.0447312,0,0.0260531,0.0475427,0.0231715,0,0,0.0160414,0,0,0.0231993,0.0516847,0.0397461,0.0239129,0.0247448,0.0364926,0.0439696,0.0416329,0.0679793,0.071662,0.0513963,0.0669208,0.047282,0.0502177,0.0755818,0.0110502,0.0313521,0.00251585,0.00453228,0.0463784,0.0680999,0,0,0,0,0,0,0,0,0.0271913,0,0
31,0.0327238,0.0394388,0,0,0,0,0,0.0520391,0,0.0301582,0.0367114,0,0,0.0198908,0,0,0.0551973,0.041473,0.040099,0.0270121,0.0282526,0.0358689,0.0405644,0.0457594,0.0474585,0.0276002,0.0448029,0.0450839,0.0315926,0.0389337,0.0260659,0.0486674,0.0115274,0.0118517,0.044766,0,0.0261968,0.0476079,0.0231805,0,0,0.01596,0,0,0.0232196,0.0516195,0.0398703,0.0242342,0.0246207,0.0363006,0.0438363,0.0419628,0.0681658,0.0717212,0.0513758,0.0667235,0.0470878,0.0500258,0.0753939,0.0112765,0.0314539,0.0025221,0.00412935,0.0464639,0.0678809,0,0,0,0,0,0,0,0,0.027614,0,0
32,0.032742,0.039361,0,0,0,0,0,0.0519684,0,0.0301593,0.0367128,0,0,0.0198861,0,0,0.0551708,0.0414703,0.0400999,0.0268555,0.0282737,0.0358938,0.0405284,0.0457864,0.0474547,0.0276376,0.044829,0.0450737,0.0315886,0.0389227,0.0260636,0.0486598,0.0115526,0.0118599,0.0447999,0,0.0261314,0.0475898,0.0232108,0,0,0.0159766,0,0,0.0231985,0.0516291,0.0398302,0.0241712,0.0246228,0.036316,0.043833,0.0419555,0.0680727,0.0716689,0.051346,0.066752,0.0471052,0.0500668,0.0754064,0.011283,0.031453,0.00253931,0.00416536,0.0463952,0.0679068,0,0,0,0,0,0,0,0,0.0277179,0,0
33,0.0327532,0.0393011,0,0,0,0,0,0.0518991,0,0.0302097,0.0367396,0,0,0.0200204,0,0,0.0551037,0.041438,0.0400871,0.0266983,0.0283093,0.035936,0.0404608,0.0458277,0.0474128,0.0276697,0.0448389,0.0450523,0.0315641,0.0388999,0.0260611,0.0486247,0.0115286,0.0118078,0.044841,0,0.0260846,0.0475607,0.0232339,0,0,0.0159808,0,0,0.023198,0.0516333,0.0398206,0.0241613,0.0246568,0.0363746,0.0438555,0.0418853,0.0680196,0.0716394,0.0513412,0.0667409,0.047114,0.0500656,0.0754065,0.0112753,0.0314851,0.00253359,0.00421339,0.0463165,0.0679343,0,0,0,0,0,0,0,0,0.0277506,0,0
34,0.0327237,0.039238,0,0,0,0,0,0.0518114,0,0.030269,0.0367229,0,0,0.0200402,0,0,0.0550729,0.0414324,0.0400133,0.0267072,0.0283088,0.0359505,0.0404235,0.0458657,0.0473712,0.0276702,0.0448134,0.0450271,0.0315439,0.0388606,0.0260655,0.0486127,0.0115293,0.0118128,0.044757,0,0.0260811,0.0475626,0.0232237,0,0,0.0160112,0,0,0.023147,0.051665,0.0398304,0.0241781,0.0246609,0.0363598,0.0438464,0.0417603,0.0680047,0.0716143,0.051329,0.0666865,0.0470928,0.0500429,0.075408,0.011253,0.0315136,0.00254683,0.00418824,0.0462324,0.0679654,0,0,0,0,0,0,0,0,0.0278037,0,0
35,0.0327228,0.0392807,0,0,0,0,0,0.0518961,0,0.0303589,0.0367527,0,0,0.0200657,0,0,0.0550804,0.0414073,0.0401901,0.026751,0.0281995,0.0358677,0.0402612,0.0463026,0.0473283,0.027535,0.0446375,0.0449169,0.031396,0.0386327,0.026127,0.0486145,0.011416,0.0116534,0.0447928,0,0.0262027,0.0476012,0.0231858,0,0,0.0158955,0,0,0.0231895,0.0517201,0.0399431,0.0242866,0.0246223,0.036327,0.0437454,0.0416825,0.0680695,0.071642,0.0513783,0.066523,0.0469564,0.0498737,0.0752454,0.0114043,0.0316208,0.00249443,0.00400797,0.0462708,0.0678724,0,0,0,0,0,0,0,0,0.0279249,0,0
36,0.0327918,0.0391614,0,0,0,0,0,0.0516925,0,0.0303199,0.0366603,0,0,0.0201019,0,0,0.0549942,0.041435,0.0400662,0.0266368,0.0282776,0.035913,0.0402741,0.0464543,0.0472956,0.0276101,0.0446997,0.0448929,0.0314955,0.0387095,0.0261681,0.0486164,0.011521,0.0117346,0.0447445,0,0.0261148,0.0476308,0.023248,0,0,0.016023,0,0,0.0230868,0.0517312,0.0397999,0.0241678,0.0245862,0.0363598,0.0437989,0.0415321,0.0679273,0.0715352,0.0512921,0.0666016,0.0469916,0.0499347,0.075314,0.0112705,0.0315736,0.00254345,0.0041019,0.0461006,0.0679688,0,0,0,0,0,0,0,0,0.0280044,0,0
