Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,
170,0.0359123,0.0367561,0,0,0,0,0,0,0.0406268,0,0.0334282,0.0370331,0,0,0.0209068,0,0,0.0517195,0.0461411,0.0358727,0.01955,0.02894,0.0498085,0.0311766,0.0370828,0.0519206,0.0482182,0.0258536,0.0400595,0.0403397,0.0261858,0.0322952,0.0333238,0.0492693,0.0114594,0.0143089,0.04351,0,0.0208277,0.0413066,0.0312471,0,0,0.0177608,0,0,0.0215289,0.0496455,0.0285493,0.0184424,0.0210314,0.0503364,0.0476322,0.0434352,0.0694646,0.0779693,0.0552815,0.0662744,0.0463378,0.0515659,0.0783276,0.00999873,0.0295186,0.00523885,0.0107242,0.0430459,0.0711778,0,0,0,0,0,0,0,0,0
171,0.0358376,0.0367906,0,0,0,0,0,0,0.0402538,0,0.03323,0.0369077,0,0,0.0209495,0,0,0.0518372,0.0462956,0.0356578,0.0192886,0.0284591,0.0501094,0.0314121,0.0369407,0.0523811,0.048438,0.0256325,0.0397747,0.0405187,0.0258728,0.0319788,0.033717,0.0491377,0.011504,0.0144466,0.0437701,0,0.0204847,0.0411618,0.0313606,0,0,0.0177624,0,0,0.021469,0.0495963,0.0284133,0.0185682,0.0201027,0.0508218,0.0476,0.0431239,0.0695836,0.0781863,0.0554232,0.0663942,0.0461983,0.0517334,0.0782833,0.0101059,0.0293901,0.00515889,0.0107232,0.0430704,0.0713662,0,0,0,0,0,0,0,0,0
172,0.0358124,0.036806,0,0,0,0,0,0,0.0397386,0,0.0330291,0.0368769,0,0,0.0210026,0,0,0.0519423,0.0463857,0.0354939,0.0189155,0.0279531,0.0504416,0.0316513,0.0369062,0.0529105,0.0486768,0.0254128,0.0395337,0.0405594,0.0255741,0.0316127,0.034291,0.0489133,0.0115414,0.0145854,0.043678,0,0.0202394,0.0410544,0.0313999,0,0,0.0178458,0,0,0.0214601,0.0496048,0.0284309,0.0187767,0.0190649,0.0513813,0.0475958,0.0428663,0.0700048,0.0783285,0.0555391,0.066711,0.0461958,0.0519458,0.078293,0.0103556,0.029212,0.00508381,0.0107244,0.0430376,0.0715306,0,0,0,0,0,0,0,0,0
173,0.0358548,0.0368494,0,0,0,0,0,0,0.0390416,0,0.0328615,0.0368571,0,0,0.0210706,0,0,0.0520716,0.0463507,0.0353622,0.018575,0.0273646,0.0508099,0.0318492,0.0368844,0.0533562,0.0489061,0.0252704,0.0393359,0.0404059,0.025352,0.0312368,0.035137,0.0487148,0.0115806,0.0147037,0.0435357,0,0.0199843,0.0408214,0.0312888,0,0,0.0179298,0,0,0.0214772,0.0497166,0.02845,0.0189209,0.0179512,0.0519453,0.0476049,0.0430015,0.0705568,0.0784879,0.0555955,0.0670046,0.0464105,0.0522463,0.0781695,0.0105108,0.0291037,0.00503023,0.0107556,0.042966,0.07166,0,0,0,0,0,0,0,0,0
174,0.035851,0.0369004,0,0,0,0,0,0,0.0382344,0,0.0325616,0.0368867,0,0,0.0211479,0,0,0.0522284,0.0461387,0.0352603,0.01826,0.0267589,0.0512133,0.0320681,0.0368961,0.0537721,0.0492031,0.0252449,0.0391417,0.040084,0.025136,0.0307838,0.03624,0.0486237,0.0116209,0.0148116,0.0435415,0,0.0196622,0.0404667,0.0312347,0,0,0.0180296,0,0,0.0214907,0.0498324,0.0285275,0.0189294,0.0168203,0.0525641,0.0476468,0.043569,0.0708016,0.0786637,0.0556224,0.0672667,0.0465797,0.052392,0.0781326,0.0105812,0.0289443,0.00494852,0.0108076,0.0428625,0.0717764,0,0,0,0,0,0,0,0,0
175,0.0359348,0.0369656,0,0,0,0,0,0,0.0374857,0,0.0322301,0.0370622,0,0,0.0212072,0,0,0.0523735,0.0457915,0.0352327,0.017976,0.026237,0.0516563,0.0322979,0.0368986,0.0543397,0.0494684,0.0249474,0.0388883,0.0396917,0.0249005,0.0303486,0.0373537,0.0483576,0.0117247,0.0148494,0.0433107,0,0.0191602,0.0401285,0.0312139,0,0,0.0181271,0,0,0.0215074,0.049589,0.0287067,0.0188347,0.0157523,0.0532386,0.0477215,0.0436552,0.0709545,0.0787968,0.0555819,0.0676487,0.0467165,0.0524763,0.0780982,0.0105695,0.0286598,0.0048422,0.010881,0.0427462,0.0719731,0,0,0,0,0,0,0,0,0
176,0.0360157,0.0369812,0,0,0,0,0,0,0.0366977,0,0.0320133,0.0374203,0,0,0.0212189,0,0,0.0525169,0.0455657,0.0352872,0.0177918,0.0257749,0.0521405,0.0324882,0.0368444,0.0547418,0.0497648,0.0240511,0.0386572,0.0394611,0.024638,0.0299197,0.0385454,0.0481311,0.0118521,0.0148324,0.0428388,0,0.0187115,0.0397926,0.0311209,0,0,0.0182441,0,0,0.0214964,0.0495754,0.0290394,0.0187497,0.0149937,0.0539017,0.0477868,0.0434697,0.0712344,0.0789766,0.055443,0.0679338,0.0468493,0.0525547,0.078141,0.0105965,0.0283477,0.00473825,0.010924,0.042643,0.0721948,0,0,0,0,0,0,0,0,0
177,0.0360797,0.0369468,0,0,0,0,0,0,0.0358444,0,0.0318412,0.0378022,0,0,0.0212465,0,0,0.0526336,0.0452533,0.0354126,0.0176841,0.0254815,0.052641,0.0326131,0.0367772,0.0551804,0.0500832,0.0233204,0.0385089,0.0393059,0.0244733,0.029496,0.0398367,0.0480365,0.0117821,0.0151754,0.0423378,0,0.0183086,0.0394287,0.0309876,0,0,0.018367,0,0,0.0214856,0.049738,0.029419,0.0186233,0.0144262,0.0545357,0.047856,0.0432543,0.0716252,0.0791628,0.055228,0.0680316,0.0470096,0.0525977,0.0780823,0.0106413,0.0279887,0.00462726,0.0109374,0.0425422,0.07241,0,0,0,0,0,0,0,0,0
178,0.0360319,0.0369108,0,0,0,0,0,0,0.0349303,0,0.0317028,0.0383077,0,0,0.0212998,0,0,0.0527311,0.0448131,0.0355641,0.0176338,0.0252023,0.0530841,0.0326859,0.0367247,0.0556722,0.0503525,0.022794,0.0383954,0.0391072,0.0243852,0.029138,0.0413086,0.0478696,0.0117075,0.015477,0.0418001,0,0.0179119,0.0391466,0.0311555,0,0,0.018474,0,0,0.0214628,0.0500064,0.0298362,0.0185061,0.0138847,0.0550573,0.0480099,0.0430859,0.0722216,0.0793167,0.0549991,0.0681673,0.0472015,0.0525887,0.078175,0.0107867,0.0277018,0.00452235,0.0109234,0.0424308,0.0726202,0,0,0,0,0,0,0,0,0
179,0.0360334,0.0368647,0,0,0,0,0,0,0.0340612,0,0.0316225,0.0386874,0,0,0.0213067,0,0,0.0527325,0.0443877,0.0356679,0.0177212,0.0248682,0.0534447,0.032694,0.0366859,0.0558697,0.050558,0.0223326,0.03821,0.0389375,0.0242392,0.0287957,0.0426672,0.047762,0.0117138,0.0155743,0.04125,0,0.0175501,0.0388315,0.0313156,0,0,0.018543,0,0,0.0214132,0.0503729,0.0302756,0.0184073,0.0133881,0.0554137,0.0481005,0.0431521,0.0728653,0.0795303,0.0548208,0.0684872,0.0473184,0.0525655,0.0783459,0.0110553,0.0274679,0.00444172,0.0108763,0.0423183,0.0727383,0,0,0,0,0,0,0,0,0
180,0.0361075,0.0368133,0,0,0,0,0,0,0.0333161,0,0.031573,0.0389316,0,0,0.0212816,0,0,0.0527161,0.0440027,0.0357578,0.0177555,0.024588,0.0538092,0.0327138,0.036549,0.0559984,0.0507267,0.0219822,0.0379355,0.038919,0.0240629,0.0285218,0.0438311,0.0477226,0.0116993,0.0156203,0.0405373,0,0.0171781,0.0385764,0.0313688,0,0,0.0186179,0,0,0.0213551,0.0504199,0.0306656,0.0183221,0.0130879,0.0557635,0.0481116,0.0432327,0.0732424,0.079757,0.0547397,0.069043,0.0473919,0.05254,0.0784327,0.0114599,0.0272077,0.00439329,0.0107741,0.0421537,0.0729107,0,0,0,0,0,0,0,0,0
181,0.0362052,0.0367283,0,0,0,0,0,0,0.0325796,0,0.0315293,0.0390911,0,0,0.0212825,0,0,0.0526894,0.0437586,0.035834,0.0177803,0.0243322,0.0540999,0.0327224,0.0364135,0.0559935,0.0509531,0.021748,0.0376553,0.0389249,0.0238592,0.0283132,0.0449261,0.0476381,0.0118116,0.0153198,0.0397822,0,0.0168352,0.0384342,0.031433,0,0,0.0186728,0,0,0.0213036,0.0502894,0.0310061,0.0182518,0.0128718,0.0560557,0.0479978,0.0429438,0.0733839,0.0798435,0.0547218,0.0693135,0.0474225,0.0525282,0.0783615,0.0119484,0.0270218,0.00435818,0.0106543,0.0419453,0.0731991,0,0,0,0,0,0,0,0,0
182,0.0363244,0.0366235,0,0,0,0,0,0,0.0318047,0,0.0314775,0.0392133,0,0,0.0212552,0,0,0.0527207,0.0436207,0.0359397,0.0178019,0.0241439,0.0543724,0.0326984,0.0364573,0.0561103,0.0511619,0.0213073,0.037521,0.0388209,0.0238496,0.0280771,0.0462581,0.0476196,0.0119401,0.0149955,0.0392041,0,0.0164693,0.0381278,0.0315255,0,0,0.0186822,0,0,0.0212274,0.0509261,0.0313589,0.0180933,0.0127694,0.0563097,0.0479166,0.0427169,0.0735213,0.0799757,0.0546747,0.0684329,0.0474398,0.0525308,0.0782719,0.0124688,0.0269888,0.00432614,0.0105434,0.0417443,0.0734813,0,0,0,0,0,0,0,0,0
183,0.0364681,0.0364826,0,0,0,0,0,0,0.0310859,0,0.031384,0.0394849,0,0,0.0211752,0,0,0.0527452,0.043579,0.036,0.0177397,0.0240241,0.0546579,0.0327129,0.0365989,0.0561912,0.0513224,0.0207354,0.037504,0.0385252,0.0238842,0.0279117,0.0475595,0.0476589,0.0119567,0.0149282,0.0386461,0,0.0162311,0.037849,0.0316406,0,0,0.018687,0,0,0.0210765,0.0516084,0.0318302,0.0178717,0.0128757,0.056606,0.0478373,0.0425356,0.0735688,0.0801121,0.0546269,0.0679968,0.047467,0.0524912,0.0781852,0.0132127,0.0270611,0.00430635,0.0103834,0.0415422,0.0738239,0,0,0,0,0,0,0,0,0
184,0.0365877,0.0363301,0,0,0,0,0,0,0.0304407,0,0.0314057,0.0400622,0,0,0.0211025,0,0,0.0526727,0.0437472,0.0361667,0.0177198,0.0238471,0.0548792,0.0326882,0.0366912,0.0561356,0.0514642,0.020477,0.0374427,0.0385346,0.0237457,0.0277419,0.048787,0.0476374,0.0120058,0.0148091,0.0379362,0,0.0160923,0.0377107,0.0317145,0,0,0.0186836,0,0,0.0209677,0.0521017,0.0323054,0.017711,0.0132185,0.0568422,0.0478198,0.0423838,0.0737954,0.0802945,0.0547496,0.0679254,0.0474229,0.0522898,0.0781147,0.0140435,0.0270009,0.00427546,0.0102109,0.0413175,0.0741658,0,0,0,0,0,0,0,0,0
185,0.0366992,0.0362517,0,0,0,0,0,0,0.0297273,0,0.0314827,0.0406431,0,0,0.02103,0,0,0.0525942,0.0438682,0.0365027,0.0176701,0.0236745,0.0550989,0.0326123,0.036745,0.0565415,0.0516615,0.0204417,0.0373576,0.0384942,0.0236614,0.0275108,0.0501911,0.0476859,0.0120072,0.0147342,0.0371656,0,0.0159426,0.0376468,0.0317727,0,0,0.0186115,0,0,0.0208571,0.052451,0.0327856,0.0175286,0.0136335,0.0570176,0.0477926,0.042342,0.0738119,0.0804391,0.0548412,0.0676351,0.0474024,0.0521657,0.0780187,0.0150282,0.0270467,0.00429329,0.0100055,0.0411493,0.0745143,0,0,0,0,0,0,0,0,0
186,0.0367779,0.0361721,0,0,0,0,0,0,0.0290172,0,0.0315667,0.0411454,0,0,0.0209092,0,0,0.0525897,0.0438492,0.036913,0.0176224,0.0235268,0.0552974,0.0324109,0.036851,0.0569615,0.0519067,0.0205046,0.0372568,0.0383488,0.0236314,0.0272654,0.0517056,0.0477921,0.0119038,0.0149033,0.0365734,0,0.0158842,0.0375427,0.0318615,0,0,0.018456,0,0,0.0209399,0.0527488,0.033381,0.0173736,0.0141647,0.0572696,0.0477422,0.0424706,0.0738911,0.0805557,0.0546214,0.0677997,0.047432,0.0521092,0.0779717,0.0160775,0.0270329,0.00416612,0.0102037,0.0409898,0.0747788,0,0,0,0,0,0,0,0,0
187,0.0367915,0.0361396,0,0,0,0,0,0,0.0283667,0,0.0316629,0.0416241,0,0,0.0206857,0,0,0.0526532,0.0437513,0.037318,0.0174844,0.023323,0.0554671,0.0321848,0.0369336,0.0572915,0.0521386,0.020709,0.0371346,0.0381946,0.0235391,0.0270265,0.0531991,0.0480029,0.0116641,0.015373,0.0360919,0,0.0158302,0.0375748,0.031891,0,0,0.018653,0,0,0.0206428,0.0530042,0.034066,0.0173021,0.0146464,0.0576336,0.0477775,0.0421234,0.0740484,0.08062,0.0543861,0.0681408,0.0474481,0.0519744,0.077852,0.0171127,0.0269773,0.00436942,0.00959891,0.0409422,0.0748757,0,0,0,0,0,0,0,0,0
188,0.0367966,0.0361017,0,0,0,0,0,0,0.0278303,0,0.031728,0.042229,0,0,0.0205762,0,0,0.0526449,0.0436909,0.0376775,0.0172926,0.0231087,0.0556188,0.031949,0.0369711,0.0574331,0.0523847,0.0209232,0.0369498,0.0381054,0.0234204,0.0267841,0.0545328,0.0481188,0.0116236,0.0153967,0.0356625,0,0.0157257,0.0377444,0.0318909,0,0,0.0186493,0,0,0.0206483,0.0532477,0.0347134,0.0173413,0.0150907,0.0579521,0.0477957,0.0417916,0.0741091,0.0806327,0.0542255,0.0684212,0.0474309,0.051759,0.0777802,0.0180374,0.0268669,0.00433254,0.0095617,0.0409597,0.0749381,0,0,0,0,0,0,0,0,0
