Trajectories
100
,,Shopping Cart:CBR,,,Shopping Cart:CFR,,,Shopping Cart:CFL,,,Shopping Cart:CBL,,,Shopping Cart:IMUR_T,,,Shopping Cart:IMUR_M,,,Shopping Cart:IMUR_B,,,Shopping Cart:IMUL_T,,,Shopping Cart:IMUL_M,,,Shopping Cart:IMUL_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
83,0,989.925720,242.083878,159.638336,965.133545,668.334961,156.186081,528.617371,663.579346,153.939911,513.642029,238.013641,169.152451,1063.038330,174.437561,1081.485962,1085.809082,152.181778,1055.712402,1083.318237,125.674385,1025.388550,460.152771,187.031876,1094.513916,424.142944,176.735764,1079.144043,406.447845,153.619492,1051.413696

