Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTIB
95,0,0.020158,0.0211973,0,0,0,0.0980668,0.0133862,0.04884,0.0103178,0,0,0,0,0.0213399,0,0.0222644,0.00445786,0.0302752,0.0334101,0.0183303,0.0110916,0,0,0.0180034,0.012944,0.0155251,0.0166531,0.0187208,0.0672665,0.0342548,0.025423,0.0192711,0,0.102797,0,0.010122,0.0104479,0.00609117,0.0207476,0.00682105,0.0155545,0.00739722,0.0193404,0,0,0.0237821,0,0.0177779,0.0202571,0.0566618,0.0168573,0.0281255,0.0123281,0.022856,0.0151121,0.00964873,0.0512984,0.0109449,0.00802899,0.00715605,0.011618,0.00474758,0.00291287,0.0238054,0.00776907,0.00705584,0.0106067,0.0201984,0.0144493,0,0,0,0.0223173
96,0,0.0192728,0.0200982,0,0,0,0.107756,0.0137211,0,0.0105063,0,0,0,0,0.0208406,0,0.0221904,0.00447759,0.0296721,0.0348428,0.0182964,0.0131784,0,0,0.0169625,0.0116124,0.0163604,0.0172975,0.0184626,0.0678256,0.0368171,0.0282498,0.021583,0,0.113454,0,0.0100975,0.0104149,0.00587694,0.020231,0.00685644,0.0159466,0.00645095,0.0199927,0,0,0.0235605,0,0.0174543,0.0200648,0.0566142,0.0167391,0.0285447,0.0123128,0.0220279,0.0150631,0.00914878,0.0514624,0.0107106,0.00745116,0.00697084,0.0117288,0.00452583,0.00242497,0.0231717,0.00753417,0.00727234,0.0101697,0.0193999,0.0142269,0,0,0,0.0243206
97,0,0.0189962,0.0199872,0,0,0,0.105097,0.0139075,0.047238,0.0104942,0,0,0,0,0.0210363,0,0.0220487,0.00470157,0.028861,0.0288556,0.0178643,0.0119459,0,0,0.017145,0.0112786,0.0163855,0.0188099,0.018921,0.0690573,0.0354716,0.0252706,0.0196758,0,0.111141,0,0.0102856,0.0103622,0.0058892,0.0197955,0.00682696,0.0161484,0.00542578,0.0200858,0,0,0.0237953,0,0.0174965,0.0203119,0.0564831,0.0165246,0.0287744,0.012427,0.0220797,0.015202,0.00867014,0.0515422,0.010471,0.00695814,0.00707031,0.0116579,0.00451705,0.00243682,0.022546,0.00782603,0.00721335,0.0101402,0.0196255,0.013782,0,0,0,0.023588
98,0,0.0183426,0.0194411,0,0,0,0.111061,0.0142279,0,0.0109689,0,0,0,0,0.0208619,0,0.0217288,0.00474663,0.0287968,0.0312391,0.0179844,0.0132773,0,0,0.0166384,0.0103962,0.0170426,0.0199048,0.0185295,0.0691343,0.0384536,0.0286619,0.0215915,0,0.118154,0,0.0102244,0.0102167,0.00566538,0.0197089,0.00681585,0.0164756,0.00471428,0.0200975,0,0,0.0239103,0,0.0172858,0.0203568,0.0565132,0.0164548,0.028877,0.0127404,0.0218398,0.0150154,0.00826706,0.0511805,0.0104091,0.0067109,0.0074712,0.0115944,0.00446517,0.00294249,0.0222488,0.00819559,0.00690177,0.00993231,0.0193719,0.0139093,0,0,0,0.0258689
99,0,0.0179265,0.0194054,0,0,0,0.110985,0.0143435,0,0.0111398,0,0,0,0,0.0209157,0,0.0215921,0.0049226,0.0289222,0.0311073,0.0179231,0.0134011,0,0,0.0166984,0.0101328,0.0176434,0.0215965,0.0185043,0.0698766,0.0394633,0.0295704,0.0218147,0,0.119332,0,0.0102809,0.0101219,0.00560576,0.0197486,0.00674473,0.0170278,0.00453926,0.0198275,0,0,0.0242314,0,0.0172128,0.0205516,0.0564579,0.016576,0.0289131,0.0131439,0.0217808,0.014981,0.00805897,0.0509928,0.0105745,0.00674423,0.00822894,0.0114683,0.00457783,0.00383969,0.0219048,0.00869319,0.00660487,0.0100302,0.0195371,0.0140048,0,0,0,0.026696
100,0,0.0178701,0.0197177,0,0,0,0.105455,0.014404,0.0473823,0.0109904,0,0,0,0,0.0213044,0,0.021508,0.00513894,0.0290205,0.0285871,0.0176908,0.0124991,0,0,0.0170415,0.010404,0.0178225,0.0235755,0.0187927,0.0711813,0.0387041,0.0271101,0.0207964,0,0.115057,0,0.0105114,0.0100407,0.00563398,0.0197842,0.00663685,0.0176363,0.00466808,0.0194463,0,0,0.0246886,0,0.017271,0.0209096,0.0563043,0.0166314,0.0289727,0.01346,0.0217,0.0151394,0.00786165,0.0510173,0.0107605,0.00689971,0.0089808,0.0113307,0.00479923,0.00472426,0.0214266,0.00927951,0.00632723,0.0103249,0.0199395,0.0139778,0,0,0,0.0260713
101,0,0.0176187,0.0193393,0,0,0,0.110334,0.0146505,0,0.0111265,0,0,0,0,0.021126,0,0.0212345,0.00513367,0.0296721,0.0337719,0.0179312,0.0140411,0,0,0.0162756,0.0100114,0.0185467,0.0249407,0.0183115,0.0710732,0.0421563,0.0300654,0.0224148,0,0.120618,0,0.0105476,0.0098563,0.00537151,0.0195,0.00659357,0.0179572,0.00498477,0.0194114,0,0,0.0249414,0,0.0170316,0.0209842,0.0562291,0.0163994,0.0290417,0.0136618,0.0209348,0.0150668,0.00780737,0.0509029,0.010818,0.00706095,0.00933949,0.011329,0.00491711,0.00519387,0.0206169,0.00961586,0.00589956,0.0102491,0.0195803,0.0142795,0,0,0,0.0281031
102,0,0.017591,0.0193605,0,0,0,0.109799,0.01471,0,0.0107623,0,0,0,0,0.0211827,0,0.0210495,0.00512477,0.0301998,0.0360605,0.0178979,0.014066,0,0,0.0157779,0.0100461,0.0183131,0.0256946,0.0181782,0.0711422,0.0430646,0.0296883,0.0225179,0,0.119975,0,0.0105347,0.00972892,0.00519532,0.0187866,0.00658718,0.0180713,0.00524378,0.0193961,0,0,0.0253653,0,0.0169923,0.0212462,0.0560978,0.0162831,0.0290936,0.0139482,0.0202088,0.01519,0.00813315,0.0509148,0.0110352,0.00745494,0.00947424,0.0112607,0.00502264,0.00531739,0.0194969,0.0100011,0.00564318,0.0103529,0.0195314,0.0142065,0,0,0,0.0285318
103,0,0.0177588,0.0197549,0,0,0,0.103306,0.014646,0.0496682,0.00998841,0,0,0,0,0.0214787,0,0.0209765,0.00510493,0.0304151,0.0340914,0.0176048,0.0124611,0,0,0.0155793,0.0104001,0.0179087,0.0256713,0.0186581,0.0717079,0.0411873,0.0267827,0.0215697,0,0.113333,0,0.01055,0.00966266,0.00514036,0.017883,0.00653843,0.0179243,0.00545,0.0194443,0,0,0.0258966,0,0.0170453,0.0215823,0.0559418,0.0162842,0.0291302,0.0142783,0.0195702,0.0155457,0.00862615,0.051091,0.0114179,0.00800559,0.00964178,0.0110163,0.00525179,0.00541401,0.0183801,0.0103352,0.0056408,0.0105272,0.0197737,0.0137262,0,0,0,0.0273147
104,0,0.0177126,0.019512,0,0,0,0.106895,0.0147526,0,0.00950703,0,0,0,0,0.0208672,0,0.020868,0.00487876,0.0312143,0.0394982,0.0177693,0.0135124,0,0,0.0145954,0.00990482,0.0182081,0.0254314,0.0175646,0.0705602,0.0433881,0.029405,0.0220316,0,0.116695,0,0.0104315,0.00958039,0.00480862,0.0167908,0.00660347,0.0174948,0.00583937,0.019905,0,0,0.0261553,0,0.0167955,0.0216625,0.0558988,0.0162847,0.0291539,0.0142481,0.0184667,0.0156623,0.00867114,0.0512126,0.0115342,0.00831758,0.00987155,0.0107971,0.00551806,0.00563636,0.0170354,0.0103812,0.00539045,0.010409,0.0193457,0.0135546,0,0,0,0.0284787
105,0,0.0180108,0.0196652,0,0,0,0.104496,0.0147317,0,0.00874884,0,0,0,0,0.020426,0,0.020854,0.00484953,0.0316398,0.0403916,0.017719,0.0129748,0,0,0.0141485,0.00977566,0.0179624,0.0245207,0.0172634,0.0700406,0.0427041,0.0292637,0.021848,0,0.113926,0,0.0101902,0.00960998,0.00446671,0.0158859,0.00669293,0.0172067,0.0061366,0.0203385,0,0,0.0266169,0,0.0166461,0.0219266,0.0558097,0.0162068,0.0292003,0.0142763,0.0176486,0.0158985,0.00845804,0.0513497,0.0117103,0.00860297,0.0103046,0.0105435,0.00583264,0.00610763,0.0157437,0.0105928,0.00508629,0.0104948,0.0192671,0.0132724,0,0,0,0.0278291
106,0,0.0184958,0.0198907,0,0,0,0.1016,0.0146827,0,0.00791324,0,0,0,0,0.0201375,0,0.0207063,0.00479577,0.0320223,0.040759,0.0176391,0.0124643,0,0,0.0138155,0.00984699,0.0175989,0.0233118,0.0170564,0.069253,0.0415389,0.0286193,0.0215191,0,0.110268,0,0.00996415,0.00958322,0.00421624,0.0151629,0.00673751,0.0169781,0.00646329,0.0207886,0,0,0.0272901,0,0.0164602,0.0223156,0.0558155,0.0161246,0.0292642,0.0144456,0.0169026,0.016045,0.00848595,0.0513889,0.0119754,0.00889529,0.0106347,0.0103374,0.00609722,0.00663552,0.0145558,0.0109401,0.004875,0.0105323,0.0191975,0.0131539,0,0,0,0.0269413
107,0,0.0189581,0.0201148,0,0,0,0.0984989,0.0145644,0,0.00725428,0,0,0,0,0.0199991,0,0.0205414,0.00462639,0.0323986,0.0406058,0.0175764,0.01216,0,0,0.0137337,0.0100965,0.0172479,0.0220696,0.0168473,0.0684896,0.0399825,0.0280782,0.0210544,0,0.106274,0,0.00972262,0.00951471,0.00421341,0.0145365,0.00673003,0.0167969,0.00683151,0.0211436,0,0,0.0280956,0,0.016193,0.0227738,0.0559138,0.0164289,0.0293095,0.0146797,0.0163536,0.0161162,0.00879637,0.0514191,0.0122816,0.00931478,0.0110177,0.0101658,0.00632649,0.00718276,0.0133411,0.0113918,0.00472841,0.0105059,0.0191586,0.0132833,0,0,0,0.0258789
108,0,0.0194056,0.0205333,0,0,0,0.0898309,0.0143358,0.0473243,0.00652393,0,0,0,0,0.0199724,0,0.020494,0.00456865,0.0323933,0.0356581,0.0173908,0.0120352,0,0,0.0141135,0.0107314,0.016723,0.0206487,0.0179609,0.0688019,0.0356303,0.0257769,0.0205163,0,0.0973607,0,0.00951438,0.00952813,0.00420624,0.0139803,0.00676525,0.0167101,0.00717842,0.0214343,0,0,0.0289784,0,0.0159192,0.0233206,0.0558825,0.0165257,0.0293604,0.0149121,0.0160927,0.0162426,0.00912413,0.0514409,0.0126125,0.00957727,0.0113268,0.00996831,0.00654138,0.00757003,0.0123303,0.012026,0.0046818,0.0105568,0.0193842,0.0135689,0,0,0,0.023482
109,0,0.019767,0.0206953,0,0,0,0.0861427,0.0141728,0.044326,0.00597608,0,0,0,0,0.019773,0,0.0204329,0.00445846,0.032683,0.0344704,0.0174662,0.0125026,0,0,0.0142849,0.0111778,0.0164758,0.0193596,0.0180661,0.068377,0.033502,0.0212893,0.0199548,0,0.0939843,0,0.00914107,0.00960488,0.00398319,0.0134362,0.00694764,0.0165525,0.00764349,0.0217275,0,0,0.0296769,0,0.015481,0.0237325,0.0558461,0.0165561,0.0293778,0.0151554,0.0157871,0.0162699,0.00945049,0.051352,0.0129043,0.0098911,0.0115653,0.00984837,0.00678622,0.00786872,0.0114299,0.0125516,0.00457843,0.0105193,0.0194102,0.0141747,0,0,0,0.0222893
110,0,0.0199918,0.0206365,0,0,0,0.0868774,0.0141376,0,0.00569863,0,0,0,0,0.0192956,0,0.0202903,0.00430176,0.0331425,0.0385689,0.0177797,0.0126262,0,0,0.0140956,0.0113061,0.0160905,0.0166388,0.017165,0.0675706,0.0320803,0,0.0187297,0,0.094585,0,0.00881753,0.00961573,0.00375948,0.0129943,0.00724675,0.016403,0.00795371,0.0219762,0,0,0.0299762,0,0.014921,0.0238269,0.0558386,0.0169513,0.029443,0.0153773,0.0154327,0.016324,0.00971803,0.0511286,0.013124,0.0105472,0.0118615,0.00973386,0.00721462,0.00827107,0.010628,0.0126937,0.00452495,0.0102566,0.0192387,0.0148679,0,0,0,0.0205684
111,0,0.0202275,0.0207778,0,0,0,0.0849343,0.0140122,0,0.00561217,0,0,0,0,0.018985,0,0.020311,0.004115,0.0337275,0.0344533,0.017939,0.0127176,0,0,0.014541,0.0116117,0.0163309,0.0180374,0.0169937,0.0665973,0.0323499,0,0.0187815,0,0.0931747,0,0.00911725,0.00961281,0.0038942,0.0127732,0.00750372,0.0162809,0.00837941,0.0223146,0,0,0.0303625,0,0.0144649,0.0240839,0.055807,0.017116,0.0292859,0.0157044,0.015407,0.0166169,0.0100314,0.0508843,0.0135361,0.0110146,0.0118687,0.00966343,0.0072632,0.00810398,0.0100832,0.0128259,0.00473526,0.0100813,0.0192415,0.0155497,0,0,0,0.0213651
