Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBL
13,0.00464131,0.0041081,0,0,0,0.0120217,0.0137354,0.00946903,0.00294677,0,0,0,0.0107495,0,0.0184766,0.006993,0.0478414,0.00868168,0.0195555,0.00401534,0,0,0.00265209,0.00725507,0.00478571,0.00629857,0.00371712,0.0455677,0.00469605,0.012206,0.0043679,0.0111386,0,0.0143436,0,0.00323775,0.00939163,0.00348203,0.0242683,0.00938138,0.0101946,0.00667296,0.00405389,0,0,0.00891223,0,0.0129962,0.00421012,0.0589075,0.00732101,0.0230479,0.00578205,0.00379946,0.00629426,0.0110454,0.0523916,0.00731252,0.0164132,0.0109496,0.0196106,0.00329313,0.0116325,0.0288897,0.00827221,0.0033581,0.00273863,0.00441666,0.00554126,0,0,0,0
14,0.00426403,0.00449527,0,0,0,0.0121035,0.0138057,0.00934888,0.00247679,0,0,0,0.0101496,0,0.0183655,0.00672574,0.0475179,0.00903522,0.0199911,0.00374067,0,0,0.00271335,0.0071926,0.00493773,0.00680238,0.0036617,0.0457899,0.00444147,0.0121783,0.00447483,0.0113856,0,0.0143915,0,0.0027415,0.00929574,0.00347399,0.0265288,0.00926455,0.00970579,0.00642491,0.00361245,0,0,0.00765327,0,0.0127533,0.00502708,0.0588041,0.00796745,0.0228197,0.00608388,0.00359311,0.00707208,0.0103053,0.0521129,0.00711061,0.0156831,0.012144,0.0196325,0.00324105,0.0132484,0.0323196,0.00920166,0.00455547,0.00297798,0.00506482,0.00514934,0,0,0,0
15,0.00412916,0.00453911,0,0,0,0.0121969,0.013843,0.00919802,0.00211626,0,0,0,0.00973026,0,0.0183613,0.00652668,0.0471986,0.0085046,0.0202412,0.00338498,0,0,0.00274449,0.00711026,0.00517845,0.00713093,0.00375579,0.0459851,0.00410721,0.0119431,0.00446334,0.0117741,0,0.0148,0,0.00243009,0.00927944,0.00336775,0.0289761,0.00932395,0.00931213,0.00619695,0.00356417,0,0,0.00791976,0,0.012588,0.00497167,0.059054,0.0094541,0.0225255,0.0064789,0.00328595,0.00673252,0.00940058,0.051797,0.00690293,0.0147846,0.0131071,0.0195873,0.00326787,0.0145407,0.0354973,0.00929337,0.00418358,0.00322011,0.00526129,0.00504188,0,0,0,0
16,0.00404974,0.00459786,0,0,0,0.0122839,0.0138726,0.00912398,0.00193626,0,0,0,0.00942812,0,0.0183827,0.00640328,0.0468492,0.00800857,0.0203708,0.00288336,0,0,0.00281195,0.00705166,0.00539157,0.00717366,0.00423796,0.0461319,0.00388688,0.0115256,0.00438418,0.0121617,0,0.0150897,0,0.00219682,0.00927468,0.00329721,0.0310223,0.00947409,0.00882983,0.00597753,0.00355415,0,0,0.00829236,0,0.0125927,0.00498947,0.0592036,0.0107365,0.0222479,0.00701244,0.00295365,0.00636936,0.00837692,0.0514375,0.00661922,0.0138635,0.0139663,0.0195134,0.00368125,0.0156461,0.0383885,0.00957534,0.00411119,0.0035164,0.00546111,0.00511011,0,0,0,0
17,0.00404466,0.00471637,0,0,0,0.0124977,0.0137193,0.00911662,0.0018731,0,0,0,0.0111641,0,0.01869,0.00796883,0.0465477,0.00817163,0.0204308,0.00230828,0,0,0.00283917,0.00713048,0.00559195,0.00716797,0.00451685,0.0462683,0.00367215,0.011054,0.00419681,0.012441,0,0.0153461,0,0.00289908,0.00949262,0.00352264,0.0329151,0.0096587,0.0087094,0.00588314,0.00364452,0,0,0.00866758,0,0.0125825,0.0048295,0.059615,0.0119044,0.0220536,0.00770126,0.00260177,0.00594943,0.00744873,0.0510566,0.00643973,0.0128993,0.0145913,0.0194819,0.00405287,0.0164828,0.0409396,0.00944971,0.00376615,0.00374582,0.00558406,0.00529662,0,0,0,0
18,0.00404758,0.00462576,0,0,0,0.0131384,0.0137059,0.00901978,0.0018438,0,0,0,0.0107877,0,0.0185984,0.00772791,0.0463603,0.00855161,0.0205476,0.00189527,0,0,0.00286478,0.00709173,0.00578811,0.0072151,0.00452495,0.0463596,0.00354219,0.0107335,0.00415389,0.0125704,0,0.0160576,0,0.00267086,0.00943705,0.00348237,0.0343667,0.00973716,0.00870757,0.00578935,0.00374698,0,0,0.00929745,0,0.0126449,0.00491615,0.0599535,0.0129033,0.021896,0.00836623,0.00235819,0.00570428,0.00665102,0.0507925,0.00631597,0.0118777,0.0152081,0.0194309,0.00412695,0.0172576,0.0430042,0.00942777,0.00365578,0.00403384,0.00532473,0.0055247,0,0,0,0
19,0.00413744,0.00458849,0,0,0,0.0137482,0.013691,0.00879934,0.0018037,0,0,0,0.0104894,0,0.0185297,0.00753026,0.0461713,0.00876649,0.020665,0.0015414,0,0,0.00278654,0.00705095,0.00587543,0.00712225,0.00432077,0.0463556,0.00358205,0.0106851,0.00416331,0.0125333,0,0.017072,0,0.00254516,0.00937631,0.00355882,0.035469,0.00973584,0.00890078,0.00583853,0.00390678,0,0,0.0100778,0,0.0127209,0.00508813,0.0602412,0.0139801,0.0216875,0.00891818,0.00219074,0.00541516,0.00593864,0.0505838,0.00618267,0.0108873,0.0157895,0.0193705,0.00432798,0.017887,0.0444951,0.00941401,0.00341779,0.00424564,0.00523622,0.00564037,0,0,0,0
20,0.00425192,0.00462343,0,0,0,0.0142985,0.0136273,0.00867079,0.00156854,0,0,0,0.0102288,0,0.0184994,0.00726569,0.0459101,0.00913778,0.0207705,0.00124811,0,0,0.00271078,0.00705016,0.00570091,0.0068913,0.00402782,0.0462403,0.00373105,0.0108981,0.00416808,0.0123861,0,0.0179952,0,0.00253343,0.00929651,0.00352494,0.0362581,0.00963392,0.00931033,0.00591885,0.0041328,0,0,0.0108813,0,0.0127723,0.00529009,0.0605856,0.0149792,0.0213819,0.00955034,0.00209578,0.00513221,0.00543968,0.0502938,0.00615417,0.0101254,0.0163748,0.0192603,0.00469007,0.018414,0.0455228,0.00951373,0.00314522,0.00436479,0.00525372,0.00564247,0,0,0,0
21,0.00433389,0.00472643,0,0,0,0.0150852,0.0136021,0.00863664,0.00150694,0,0,0,0.00996821,0,0.0185043,0.00692524,0.0455955,0.0098282,0.0208712,0.00120777,0,0,0.00262142,0.00710245,0.0052222,0.0067738,0.00376652,0.046053,0.00398802,0.0113205,0.00427999,0.0122209,0,0.0190252,0,0.00260335,0.00926594,0.00338507,0.0366254,0.00943564,0.00972059,0.00578586,0.00440672,0,0,0.0117368,0,0.0128022,0.00559746,0.0606799,0.0166683,0.0210627,0.0101492,0.00203955,0.00486884,0.00519968,0.0498946,0.00625638,0.00953967,0.0168467,0.0190552,0.0052825,0.0189893,0.0459842,0.00964998,0.00294584,0.00446409,0.00543106,0.00556775,0,0,0,0
22,0.00447101,0.00489154,0,0,0,0.0162121,0.0136158,0.00861248,0.00162479,0,0,0,0.00963794,0,0.018479,0.00658445,0.045267,0.0103721,0.0210433,0.00118162,0,0,0.0026842,0.00727099,0.00511131,0.00668261,0.00359126,0.0457937,0.00427334,0.0117691,0.00438198,0.0120252,0,0.0201305,0,0.00275424,0.00924504,0.00321572,0.0365334,0.00923143,0.0100642,0.00557447,0.00474657,0,0,0.0127802,0,0.0128707,0.00610045,0.0606562,0.0186844,0.02083,0.0109393,0.00210166,0.00469581,0.00513825,0.0495089,0.00663774,0.00916618,0.0174572,0.0187596,0.00595395,0.0195619,0.0457415,0.00980212,0.00281597,0.00454934,0.00566361,0.00558381,0,0,0,0
