Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LTIBI
9,0,0.0235258,0.0277166,0,0,0,0.0105076,0.0100603,0.0277428,0.00314252,0,0,0,0,0.00777377,0,0.00424323,0.0338269,0.0448495,0.0217711,0.023889,0,0,0.0258798,0.00930194,0.0151271,0.0231875,0.024191,0.0570751,0.0277541,0.0286123,0.0700726,0,0.0173783,0,0.0115714,0.00919013,0.00572492,0.0388907,0.00942841,0.00131218,0.0159238,0.0180442,0,0,0.0197928,0,0.0115869,0.0159415,0.0557177,0.0203715,0.0218463,0.00787725,0.0233168,0.0290485,0.010928,0.056702,0.011303,0.0124491,0.013754,0.0184982,0.00691689,0.0185403,0.0493157,0.00844288,0.00858987,0.0080818,0.0255531,0.0115094,0,0,0,0,0
10,0,0.023605,0.0281373,0,0,0,0.010249,0.0100584,0.0275731,0.00291195,0,0,0,0,0.00698526,0,0.00458814,0.0334824,0.0443054,0.021901,0.0247183,0,0,0.0264372,0.00936639,0.0151059,0.0233741,0.0246854,0.0569887,0.0285079,0.0292711,0.0696585,0,0.0172827,0,0.0113076,0.00922134,0.0059001,0.0383705,0.00932304,0.00130965,0.0158989,0.0179349,0,0,0.0204666,0,0.0116707,0.0164073,0.055786,0.0196379,0.0218541,0.00858236,0.0240181,0.02916,0.0108982,0.0563831,0.0113838,0.0121858,0.012522,0.0182102,0.00676728,0.0174358,0.0485267,0.00837808,0.00847207,0.00819596,0.02611,0.0111321,0,0,0,0,0
11,0,0.0236767,0.0285772,0,0,0,0.0104781,0.0100572,0.0272433,0.00273635,0,0,0,0,0.00622266,0,0.00493125,0.0332337,0.0433413,0.0221369,0.0246849,0,0,0.0269752,0.00945632,0.0145806,0.0230544,0.0244358,0.0566638,0.0288192,0.0294568,0.0701592,0,0.0172031,0,0.0110628,0.00923393,0.0060775,0.0376069,0.0093027,0.00257076,0.0157957,0.017898,0,0,0.0210894,0,0.0118052,0.0167451,0.0559237,0.0183589,0.0217854,0.00960417,0.0246219,0.0292126,0.0108589,0.0559915,0.0116474,0.0121392,0.0109946,0.0178848,0.00646109,0.0161354,0.047379,0.00830795,0.00832735,0.00831234,0.0266778,0.010794,0,0,0,0,0
12,0,0.0237484,0.0289821,0,0,0,0.0106262,0.0100432,0.0267883,0.00259677,0,0,0,0,0.00563806,0,0.00540853,0.0330727,0.0423938,0.0223698,0.0240174,0,0,0.0273425,0.00951917,0.0136818,0.0225341,0.0238512,0.0561778,0.0288223,0.029368,0.0712264,0,0.0173575,0,0.0109612,0.00923647,0.0062501,0.0365451,0.00930489,0.00395589,0.0156785,0.0179075,0,0,0.0216392,0,0.011939,0.0170246,0.0561396,0.0169482,0.0217006,0.0108153,0.0250475,0.0292377,0.0110287,0.0556383,0.0120711,0.0121784,0.00940882,0.0175718,0.0060918,0.0146266,0.0455719,0.00818877,0.00818531,0.00837275,0.0270759,0.0105125,0,0,0,0,0
13,0,0.0238162,0.0293644,0,0,0,0.0106287,0.0100465,0.0264953,0.00238886,0,0,0,0,0.00511061,0,0.00586874,0.0328726,0.0417904,0.0224961,0.0240377,0,0,0.0276487,0.00956839,0.0131929,0.022367,0.0239037,0.0558518,0.0289655,0.0292369,0.0715386,0,0.017746,0,0.0107677,0.00926292,0.00639184,0.0350419,0.00920193,0.00539752,0.0156133,0.0179029,0,0,0.0222668,0,0.0120182,0.0173656,0.0563637,0.0155601,0.0217085,0.0121382,0.0253767,0.0292966,0.0114176,0.0553649,0.0125965,0.012373,0.00783373,0.0171479,0.00577191,0.0131892,0.0429854,0.00802075,0.0080693,0.00845433,0.0273715,0.0102448,0,0,0,0,0
14,0,0.0238448,0.0296323,0,0,0,0.0105021,0.0100533,0.0262891,0.00212604,0,0,0,0,0.00479048,0,0.00623938,0.0326593,0.041455,0.0225576,0.0244762,0,0,0.027961,0.00966812,0.0131555,0.022291,0.0242823,0.0556639,0.0292481,0.0291651,0.071285,0,0.0177058,0,0.0105218,0.00928277,0.00652293,0.0329272,0.00908121,0.00669784,0.0156854,0.0178813,0,0,0.0228218,0,0.0120766,0.01769,0.0566168,0.0144,0.0216703,0.0133967,0.0256688,0.029343,0.0118695,0.0551491,0.0130975,0.0126586,0.00636474,0.0166452,0.00549111,0.0119457,0.0398658,0.00787315,0.00786843,0.00853291,0.027716,0.00996226,0,0,0,0,0
15,0,0.0237833,0.0297729,0,0,0,0.0105222,0.0100277,0.0261328,0.00190269,0,0,0,0,0.00457332,0,0.00645997,0.0324766,0.0411428,0.0226101,0.0249607,0,0,0.028243,0.0096205,0.0132128,0.0221957,0.0243825,0.0555192,0.0294927,0.0290846,0.0711084,0,0.0171611,0,0.0103089,0.00927257,0.00657718,0.0304202,0.00904277,0.00762675,0.0158627,0.0178885,0,0,0.0232453,0,0.0121691,0.0179041,0.0568939,0.013588,0.0216204,0.0145124,0.0258529,0.0293898,0.0122923,0.0549531,0.0135083,0.0128862,0.00508225,0.0160864,0.00521314,0.0108111,0.0364255,0.00771967,0.00765416,0.00854527,0.0280335,0.00971097,0,0,0,0,0
16,0,0.0236316,0.029849,0,0,0,0.0105895,0.0100034,0.0257327,0.00191048,0,0,0,0,0.00460269,0,0.00662501,0.0323078,0.040578,0.0226007,0.0253474,0,0,0.0284266,0.00938914,0.0133693,0.0221238,0.024401,0.0553558,0.0295615,0.0290647,0.0712116,0,0.0169867,0,0.0101905,0.00924827,0.00661342,0.0276088,0.0089915,0.00835956,0.0161386,0.0178895,0,0,0.0235663,0,0.0122287,0.018028,0.0571758,0.0131272,0.0215647,0.0152251,0.0258875,0.0294237,0.0125513,0.0547465,0.0136199,0.0128944,0.00402482,0.0155059,0.00491869,0.00974422,0.0326364,0.00746379,0.00748321,0.00850803,0.028256,0.00948284,0,0,0,0,0
17,0,0.0233969,0.0298569,0,0,0,0.0102401,0.00997178,0.0251605,0.00224872,0,0,0,0,0.00495812,0,0.00691254,0.0321697,0.0397985,0.0225492,0.0255457,0,0,0.0285563,0.00909982,0.0135306,0.0220054,0.024685,0.0551477,0.0294566,0.0288429,0.0713637,0,0.0173049,0,0.0101793,0.00919875,0.00660837,0.0244428,0.00895846,0.00913484,0.0164567,0.0178742,0,0,0.0237961,0,0.0122871,0.0180841,0.0574124,0.013175,0.0215419,0.0154094,0.0257707,0.0294451,0.0125704,0.0544741,0.0133342,0.0126535,0.00326348,0.0148965,0.00475462,0.00886907,0.028315,0.00715728,0.00735058,0.00847463,0.0284697,0.00922787,0,0,0,0,0
18,0,0.0231017,0.0298961,0,0,0,0.00945112,0.00995456,0.0247026,0.00292622,0,0,0,0,0.00543384,0,0.00724234,0.0320782,0.0393628,0.022523,0.0255892,0,0,0.0286698,0.00889256,0.0129389,0.0216658,0.0249586,0.0548983,0.0291534,0.0285327,0.0708432,0,0.017434,0,0.0102365,0.0091509,0.00662139,0.0209022,0.00892459,0.00992682,0.016746,0.0178934,0,0,0.0240547,0,0.0123438,0.0181434,0.0575885,0.0137227,0.0215749,0.015207,0.025462,0.029544,0.0124252,0.0542165,0.0127213,0.0121359,0.00271788,0.0142736,0.00476696,0.00803935,0.0235936,0.00689283,0.0071635,0.00844606,0.0287334,0.00888521,0,0,0,0,0
