Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x75,x73,
16,0.00274869,0.0110348,0,0,0,0.025065,0.0150552,0.0121094,0.00212294,0,0,0,0,0.00724565,0,0.0198594,0.00575312,0.0468841,0.0115666,0.0208708,0,0,0.00270429,0.0148949,0.00665109,0.00586923,0.012779,0.0420958,0.00725207,0.0116099,0.00644268,0.013863,0,0.0302402,0,0.00771503,0.00928691,0.00282757,0.0319419,0.0105328,0.0112592,0.00599376,0.00734769,0,0,0.006863,0,0.0125041,0.00334494,0.0602017,0.018186,0.0200168,0.0118649,0.00336203,0.0102506,0.00535806,0.051198,0.00792463,0.00817667,0.0166253,0.01796,0.00587672,0.017603,0.0376613,0.00748161,0.000786567,0.0011363,0.0126095,0.00260248,0,0,0,0,0,0
17,0.00348809,0.0110563,0,0,0,0.0264877,0.0150149,0.0125034,0.0024044,0,0,0,0,0.00773828,0,0.0198309,0.00622098,0.0467359,0.011154,0.0208852,0,0,0.00266095,0.0151984,0.00697574,0.00611579,0.0132107,0.041917,0.00746907,0.0114828,0.00645877,0.0140468,0,0.0320649,0,0.00822607,0.0092787,0.00293211,0.0316485,0.0102681,0.0113702,0.00595124,0.00683838,0,0,0.00718267,0,0.012617,0.00360188,0.0600558,0.0198901,0.0198097,0.0130101,0.00345434,0.00992193,0.00579334,0.0514263,0.00907639,0.00860589,0.0168152,0.0178818,0.0063772,0.0176554,0.0374387,0.00708852,0.000974144,0.00137007,0.0126275,0.00262105,0,0,0,0,0,0
18,0.00417835,0.0112316,0,0,0,0.0279986,0.0149541,0.0127446,0.00255653,0,0,0,0,0.00823853,0,0.0198283,0.00676399,0.0464364,0.0108651,0.0208938,0,0,0.00269653,0.0156165,0.00738582,0.00635454,0.0136617,0.0416601,0.00755495,0.0112856,0.00648752,0.0142153,0,0.0342098,0,0.00873434,0.00928254,0.00315912,0.0313174,0.00998829,0.0109971,0.00596989,0.00654856,0,0,0.00762558,0,0.0127513,0.00394015,0.0598952,0.0204155,0.0196696,0.0137457,0.00369166,0.00975775,0.00616774,0.0515398,0.0099723,0.00889958,0.0165651,0.0179391,0.00661989,0.0172003,0.0373246,0.00681374,0.0012784,0.00168202,0.0128398,0.0028116,0,0,0,0,0,0
19,0.00272127,0.0115078,0,0,0,0.0289238,0.0150302,0.0127821,0.00273475,0,0,0,0,0.0081999,0,0.0198382,0.00692029,0.0462476,0.0107908,0.0209547,0,0,0.00283364,0.0151116,0.00784121,0.00679424,0.0142513,0.0413916,0.00767076,0.0111962,0.00641306,0.014395,0,0.035481,0,0.00896361,0.00930757,0.003294,0.0308346,0.00972297,0.0105247,0.00578644,0.00804105,0,0,0.0098572,0,0.0130199,0.00676234,0.0598475,0.0205375,0.0195256,0.0141803,0.00410383,0.0108042,0.0064087,0.0515491,0.0105372,0.00901768,0.0159791,0.0180414,0.00670214,0.0163538,0.0370763,0.00972665,0.00335752,0.00224997,0.0133873,0.0031291,0,0,0,0,0,0
20,0.00401765,0.0112156,0,0,0,0.0298039,0.0149537,0.0129068,0.00310755,0,0,0,0,0.00943159,0,0.0200862,0.00801385,0.0461944,0.0108775,0.0209849,0,0,0.00296805,0.0145314,0.00826145,0.00716336,0.0147801,0.0410876,0.00783521,0.0113246,0.00604835,0.014514,0,0.0368486,0,0.00934622,0.00954328,0.00359855,0.0301894,0.00959163,0.00981941,0.00527764,0.00667044,0,0,0.00907511,0,0.0131552,0.00498553,0.0598622,0.0203275,0.0194121,0.0143889,0.00437381,0.0101156,0.00644752,0.0514978,0.0108642,0.00894569,0.0153469,0.0181751,0.00675037,0.0154335,0.0365894,0.00677781,0.00205936,0.00224996,0.0129033,0.00262263,0,0,0,0,0,0
21,0.00312587,0.0115698,0,0,0,0.0309597,0.0150746,0.0131131,0.00326864,0,0,0,0,0.00910504,0,0.0199104,0.00751142,0.0461341,0.0108402,0.021029,0,0,0.00320635,0.0143761,0.00863982,0.00775239,0.0152829,0.0407623,0.00795958,0.0112503,0.00559615,0.0146136,0,0.0384833,0,0.00946947,0.00934985,0.00354575,0.0294917,0.00922437,0.00896295,0.0047588,0.00769769,0,0,0.0101654,0,0.0133165,0.00666394,0.0598338,0.019932,0.0192866,0.0143224,0.00473717,0.0109633,0.00626771,0.0514712,0.0109598,0.00865833,0.0147188,0.0183322,0.00674911,0.014751,0.0359618,0.00837437,0.00272855,0.00268656,0.0133552,0.00284382,0,0,0,0,0,0
22,0.00356418,0.0117712,0,0,0,0.0319903,0.0150308,0.0134634,0.00345015,0,0,0,0,0.00963829,0,0.0199521,0.00786477,0.046046,0.0107739,0.02102,0,0,0.0034133,0.0142086,0.0091743,0.00852573,0.0156925,0.0405251,0.00819999,0.011038,0.00542085,0.014709,0,0.0396421,0,0.00967366,0.00939496,0.00369754,0.0281694,0.00895379,0.0080717,0.00410595,0.00772448,0,0,0.0107689,0,0.0134022,0.00689067,0.0598243,0.0195856,0.0192858,0.0139141,0.00499169,0.0111645,0.00584832,0.0513673,0.01085,0.00806196,0.014044,0.018609,0.0066683,0.014189,0.0349355,0.00810316,0.00249758,0.00289864,0.0134517,0.00292926,0,0,0,0,0,0
23,0.00393509,0.0119489,0,0,0,0.0330205,0.0150218,0.013733,0.00353614,0,0,0,0,0.0101348,0,0.019956,0.00846816,0.0459472,0.0104974,0.0209593,0,0,0.00367715,0.0140561,0.00959788,0.00934362,0.0159854,0.0403576,0.00848736,0.0106694,0.00524474,0.0147633,0,0.0407365,0,0.00982929,0.00939799,0.0038528,0.0263721,0.00880667,0.00713577,0.00357408,0.00785601,0,0,0.0113858,0,0.0135913,0.00704776,0.0598269,0.0193359,0.0193176,0.0130074,0.0052999,0.0113422,0.00509523,0.0511665,0.0101927,0.00705478,0.0132034,0.0190145,0.0065114,0.0135986,0.0334119,0.00784888,0.00222785,0.00314586,0.0135445,0.00309144,0,0,0,0,0,0
24,0.00430847,0.0121422,0,0,0,0.0340536,0.0150444,0.0140326,0.00355683,0,0,0,0,0.0105801,0,0.0199888,0.00894846,0.0458686,0.0103175,0.020827,0,0,0.00390966,0.0138164,0.00991864,0.00986191,0.0165704,0.0400057,0.00860074,0.0103839,0.00505636,0.0147251,0,0.0420173,0,0.0101224,0.00939423,0.00397093,0.0240187,0.00866642,0.00631933,0.00317812,0.00802266,0,0,0.0120961,0,0.0137595,0.007323,0.0597997,0.0190186,0.0193932,0.0117319,0.00560417,0.0115728,0.0041521,0.0509513,0.00916086,0.00583625,0.0124341,0.0195561,0.00641738,0.0132425,0.0312232,0.00775305,0.00197647,0.00341573,0.0136874,0.00325394,0,0,0,0,0,0
25,0.00476853,0.0124204,0,0,0,0.0348287,0.0150765,0.0143978,0.00376545,0,0,0,0,0.0109544,0,0.0200088,0.00934906,0.045874,0.0101578,0.0206622,0,0,0.00406859,0.0136279,0.0104006,0.0103558,0.0171075,0.0396613,0.00864576,0.0102244,0.00485429,0.014624,0,0.043154,0,0.0102843,0.0093962,0.0040835,0.0210003,0.00863085,0.00626215,0.00294172,0.00825575,0,0,0.01284,0,0.0139911,0.00758595,0.0597359,0.0191234,0.0195939,0.00999341,0.00588552,0.0119834,0.00320259,0.050633,0.00781044,0.00453621,0.0117357,0.0201084,0.00663147,0.0132311,0.0283368,0.00783757,0.00162935,0.00357863,0.0139326,0.00346148,0,0,0,0,0,0
