Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0161124,0.0206606,0,0,0,0.046333,0.013312,0.0290846,0.0149338,0,0,0,0,0.0180014,0,0.0206064,0.00943522,0.03837,0.0347665,0.0215954,0.0196103,0,0,0.0297041,0.0117095,0.0161373,0.0205552,0.0172367,0.0576008,0.0211147,0.0251557,0.0223299,0.0246677,0,0.0493887,0,0.0124743,0.0112127,0.00404952,0.0221038,0.00934596,0.0134492,0.021722,0.0108145,0,0,0.0176182,0,0.012027,0.0152215,0.0542283,0.0193462,0.0215608,0.0104481,0.0264192,0.0211417,0.0103358,0.0532636,0.0113057,0.0122672,0.00869727,0.0160407,0.00558414,0.0111934,0.0267527,0.00761458,0.00967951,0.0077865,0.0233166,0.0110529,0,0,0
0,0.0205181,0.0225712,0,0,0,0.0909821,0.0121739,0.0277565,0.0178305,0,0,0,0,0.0133185,0,0.0219052,0.00353862,0.0294011,0.00641328,0.0181926,0.0196738,0,0,0.028879,0.0123415,0.0223942,0.0329751,0.0197623,0.0715475,0.0288985,0.0387133,0.0224809,0.0354398,0,0.106439,0,0.00334992,0.0113641,0.00288345,0.00798558,0.00839473,0.0185794,0.0183989,0.0119382,0,0,0.0203217,0,0.0116999,0.0199009,0.0571011,0.0215611,0.026042,0.0137515,0.0277551,0.0208918,0.00847552,0.0513265,0.0108221,0.0092185,0.00428956,0.0165041,0.00687869,0.00795389,0.00765651,0.00700217,0.0117353,0.0093571,0.0220041,0.0124137,0,0,0
1,0.0206455,0.0226526,0,0,0,0,0.0122202,0.0376394,0.0178918,0,0,0,0,0.0130423,0,0.0217143,0.00396942,0.0298399,0.0118673,0.0185271,0.0187016,0,0,0.0290991,0.0124409,0.0215185,0.0301071,0.0196223,0.0710554,0.0301962,0.0419302,0.0271305,0.0345664,0,0.111948,0,0.00339753,0.0113067,0.00263062,0.00844153,0.0083938,0.0183575,0.0185329,0.0118654,0,0,0.0198181,0,0.0116599,0.0196664,0.0571703,0.0206571,0.0254991,0.0146759,0.0274583,0.0207688,0.00924239,0.0514377,0.0118274,0.00984005,0.00394131,0.0156036,0.00600322,0.00731829,0.00787846,0.0070716,0.0114594,0.00924461,0.0221351,0.012503,0,0,0
2,0.0206188,0.0226151,0,0,0,0,0.0122845,0.0373016,0.0180653,0,0,0,0,0.0127727,0,0.0214488,0.00451089,0.0303753,0.0124354,0.0187377,0.0189907,0,0,0.0293621,0.0123609,0.0214223,0.0298018,0.0195503,0.0705219,0.029719,0.0412602,0.0271748,0.0344532,0,0.108978,0,0.00356653,0.0112278,0.00237447,0.00787147,0.00842695,0.0181356,0.0187997,0.0116972,0,0,0.0192677,0,0.0116125,0.0193927,0.0569896,0.0200069,0.0253327,0.0143759,0.0273243,0.0207175,0.00892012,0.0514147,0.011537,0.00953478,0.00381987,0.0154193,0.00588292,0.00692435,0.00694961,0.00710378,0.0113271,0.00908465,0.0221874,0.0125065,0,0,0
3,0.0205504,0.0225664,0,0,0,0,0.0123363,0.0364927,0.0180572,0,0,0,0,0.0127976,0,0.0212246,0.00505837,0.0309175,0.0128349,0.0190997,0.0191528,0,0,0.0296171,0.0123416,0.0211866,0.0291136,0.019465,0.0698722,0.0290297,0.0401369,0.0268268,0.0344248,0,0.105813,0,0.00385724,0.0111753,0.00218675,0.00750279,0.00847252,0.0178733,0.0189464,0.0114979,0,0,0.0188738,0,0.0115721,0.0191685,0.0568887,0.0190562,0.0251591,0.0140164,0.0271465,0.0206575,0.00820572,0.0513143,0.0110776,0.00905779,0.00371157,0.0152734,0.00561178,0.00614637,0.00607268,0.00709994,0.0111259,0.00896735,0.0222862,0.0124512,0,0,0
4,0.0203284,0.0224241,0,0,0,0,0.0123788,0.0357747,0.0181499,0,0,0,0,0.0129649,0,0.0209952,0.0055009,0.0313694,0.0128722,0.0194772,0.0192559,0,0,0.0297983,0.0122473,0.0207981,0.028132,0.0193777,0.069366,0.0283299,0.0387864,0.0263746,0.0343059,0,0.10222,0,0.00418594,0.0111262,0.00204329,0.00736761,0.00852175,0.0177219,0.0188496,0.0113096,0,0,0.0184901,0,0.0115121,0.018804,0.0568077,0.0182255,0.0249497,0.0136522,0.026921,0.0205679,0.00770395,0.0511961,0.0106287,0.00853455,0.00376824,0.0151911,0.00532955,0.00517607,0.00519622,0.0070376,0.0110323,0.00881033,0.0223041,0.0123873,0,0,0
5,0.0199057,0.022072,0,0,0,0.0822955,0.0124401,0.0290768,0.0184551,0,0,0,0,0.0131042,0,0.0207183,0.00592684,0.0317739,0.00717452,0.0197092,0.0193879,0,0,0.0298139,0.0118654,0.0205048,0.0276273,0.0193171,0.0690312,0.025576,0.0343705,0.0228086,0.0338718,0,0.0935662,0,0.00463859,0.0110648,0.00195979,0.0072907,0.00859432,0.0174766,0.0187216,0.0111641,0,0,0.0178334,0,0.0113955,0.0182352,0.0565936,0.0176354,0.0250063,0.0132492,0.0267392,0.0204647,0.00728848,0.0510627,0.0102241,0.00805081,0.00395993,0.0151026,0.00515028,0.00433027,0.00480551,0.0068868,0.0111539,0.00858834,0.0221215,0.012323,0,0,0
6,0.0199011,0.0219015,0,0,0,0.0800661,0.0124754,0.0284026,0.0182333,0,0,0,0,0.013267,0,0.0204828,0.00625711,0.0322015,0.0075817,0.0200695,0.0194253,0,0,0.0299124,0.0117791,0.0199835,0.0260148,0.0193513,0.0686335,0.0246851,0.0328534,0.0222428,0.0335034,0,0.0904816,0,0.00494498,0.0110304,0.00198289,0.00729549,0.008632,0.0173402,0.0186959,0.0110149,0,0,0.0174402,0,0.0113476,0.0179098,0.0564585,0.017406,0.0248177,0.012778,0.0263547,0.0204208,0.0070076,0.0509351,0.00985682,0.00761303,0.00404481,0.0149734,0.00515957,0.00356175,0.00438662,0.00682374,0.0113916,0.00848259,0.0219978,0.0121989,0,0,0
7,0.0199034,0.0218214,0,0,0,0.0775733,0.0124827,0.0277023,0.0180168,0,0,0,0,0.0134178,0,0.0202829,0.00655538,0.0327115,0.00798388,0.0204803,0.0196366,0,0,0.0298878,0.0118704,0.0194991,0.0243532,0.0193843,0.0682697,0.0237106,0.0312225,0.0212838,0.0330605,0,0.0876068,0,0.00518408,0.011002,0.00205554,0.00736772,0.00867781,0.0172147,0.0185722,0.0108524,0,0,0.0172095,0,0.011313,0.017726,0.0563566,0.0171022,0.0246151,0.0122016,0.0259251,0.0203836,0.00683523,0.0507985,0.00944926,0.00723271,0.00397091,0.0148667,0.00530649,0.00296561,0.00431701,0.00677929,0.0110898,0.00841183,0.0218563,0.0120629,0,0,0
8,0.0197269,0.0217058,0,0,0,0.075075,0.0124994,0.0271698,0.0178442,0,0,0,0,0.0136274,0,0.0202123,0.00685412,0.033198,0.00827994,0.0209233,0.0200203,0,0,0.0298273,0.0119148,0.0190253,0.0228205,0.0194547,0.0678957,0.0226251,0.0294817,0.0207173,0.0325546,0,0.0846391,0,0.00542547,0.0110254,0.00216754,0.00724341,0.00874402,0.0168032,0.018313,0.0106875,0,0,0.0169509,0,0.011278,0.0175503,0.0562631,0.0163849,0.0244437,0.011657,0.025496,0.0203594,0.00675024,0.0506614,0.00918119,0.00690162,0.00385254,0.0147843,0.00531574,0.00243744,0.00453881,0.00677819,0.0108864,0.00834103,0.0217149,0.0119255,0,0,0
