Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,STRN,LBR
67,0.0128177,0.00948277,0,0,0,0.0584476,0.0167463,0.0330187,0.0299216,0,0,0,0.0130636,0,0.0178726,0.00461162,0.0341228,0.0262239,0.0244705,0.0269098,0,0,0.0340753,0.0113824,0.0198414,0.0360128,0.0190825,0.0623846,0.0260168,0.0372213,0.016334,0.0137522,0,0.0742156,0,0.0124867,0.00845333,0.00432689,0.011193,0.0141462,0.0133282,0.0321467,0.0165911,0,0,0.00811363,0,0.00956244,0.0035337,0.0578082,0.0160581,0.0242092,0.0052644,0.035705,0.00189408,0.00299314,0.0528992,0.00683598,0.00244968,0.00499826,0.0149708,0.00613256,0.00500317,0.0161054,0.0044512,0.00732942,0.00225762,0.0194214,0,0,0,0.0149978,0
68,0.0131439,0.00893249,0,0,0,0.0596872,0.0170462,0.031533,0.0303198,0,0,0,0.0136818,0,0.017927,0.00503332,0.0335934,0.027586,0.0246476,0.027578,0,0,0.0332996,0.0113928,0.0211708,0.0379129,0.019553,0.0631549,0.025853,0.0364341,0.0161327,0.013195,0,0.0770493,0,0.0129274,0.00842077,0.00430587,0.0113998,0.014446,0.0135473,0.0316527,0.0166332,0,0,0.00722407,0,0.00943476,0.00339524,0.0576665,0.0151806,0.0239249,0.00499062,0.0349652,0.00206312,0.0028396,0.0531744,0.0070614,0.00325916,0.00422764,0.015414,0.00536827,0.00437472,0.0161431,0.00401449,0.00716389,0.00230663,0.0197417,0,0,0,0.0148337,0
69,0.0133436,0.00851551,0,0,0,0.0606895,0.0173252,0.0299253,0.0306027,0,0,0,0.0140717,0,0.0179339,0.00526349,0.0333322,0.0286402,0.0248791,0.0281407,0,0,0.0329262,0.0111366,0.0223623,0.039749,0.0196592,0.0637179,0.0257777,0.0359947,0.0160548,0.0126354,0,0.0795238,0,0.0131511,0.00837615,0.00422469,0.0113655,0.0146309,0.0137187,0.0310636,0.0165792,0,0,0.00634,0,0.00938669,0.00328284,0.0576739,0.014576,0.0237691,0.00492141,0.0345604,0.00224569,0.00277482,0.0531919,0.00712672,0.0037707,0.00377401,0.0157471,0.00481081,0.00378691,0.01604,0.00373724,0.00654652,0.00234988,0.0197587,0,0,0,0.0147953,0
70,0.0133252,0.00820065,0,0,0,0.0618395,0.0175009,0.0284289,0.0308272,0,0,0,0.0141389,0,0.0179268,0.00532583,0.03347,0.0300136,0.0252049,0.0286683,0,0,0.0328809,0.0108277,0.0233842,0.0414737,0.0193376,0.0643687,0.0259098,0.0358898,0.0159395,0.0123029,0,0.0821047,0,0.0131058,0.00831991,0.00414666,0.0109952,0.0146665,0.013764,0.0305337,0.0165476,0,0,0.00553171,0,0.00935286,0.00323152,0.0578831,0.014125,0.0237327,0.00495448,0.0344242,0.00227084,0.00257497,0.0530168,0.00715289,0.0038655,0.0037017,0.0159171,0.00449195,0.00316477,0.0156125,0.00362537,0.0057944,0.00234611,0.0194882,0,0,0,0.0148473,0
71,0.012975,0.0080546,0,0,0,0.0638179,0.0175723,0.028055,0.0310329,0,0,0,0.0139505,0,0.0179553,0.00530825,0.033721,0.0319382,0.0254524,0.0292021,0,0,0.0330665,0.0104705,0.0244163,0.043172,0.0192529,0.0651105,0.0262532,0.0361627,0.0158185,0.0124063,0,0.0849463,0,0.0128931,0.00828482,0.00412016,0.0106954,0.0146271,0.0138581,0.0301125,0.0165245,0,0,0.00481083,0,0.00933668,0.00326063,0.0581984,0.0134252,0.0237863,0.00503062,0.0345208,0.00228967,0.00232987,0.0527254,0.00712078,0.00360806,0.00387897,0.015947,0.00428949,0.0026233,0.0150502,0.0034765,0.00452943,0.00232439,0.0189755,0,0,0,0.0148589,0
72,0.0126401,0.00799227,0,0,0,0.0662039,0.0175799,0.0284024,0.0312691,0,0,0,0.013575,0,0.0179748,0.00524842,0.0339144,0.0339818,0.0256854,0.0298656,0,0,0.0333363,0.0101132,0.0254827,0.0449178,0.0192743,0.0657662,0.026764,0.0367381,0.0155348,0.0127069,0,0.0880236,0,0.0126264,0.00826618,0.00409151,0.0103173,0.0144596,0.0140343,0.0298591,0.0165223,0,0,0.00423395,0,0.00926348,0.00330257,0.0584406,0.0128592,0.0238495,0.00507665,0.034501,0.00224787,0.00211482,0.0524452,0.0070134,0.00324777,0.00416429,0.0157947,0.00423771,0.00246923,0.0143485,0.00330845,0.00331581,0.00227303,0.0183968,0,0,0,0.0148964,0
73,0.012424,0.00807285,0,0,0,0.0692695,0.0175985,0.0298932,0.0314101,0,0,0,0.0131366,0,0.0179465,0.00508565,0.0340877,0.0359784,0.0258065,0.0304318,0,0,0.0336325,0.00986406,0.0264281,0.0464994,0.0194366,0.0663237,0.0275202,0.0376697,0.0154096,0.0133082,0,0.0915222,0,0.0121239,0.00824065,0.00403846,0.00974593,0.0142516,0.0139836,0.0297531,0.0165005,0,0,0.00385878,0,0.00918222,0.00332593,0.0585619,0.0124026,0.0237679,0.00513226,0.0343226,0.00222858,0.00204562,0.0522578,0.0067394,0.00273114,0.00441631,0.0155501,0.0043105,0.00251501,0.0137127,0.00308031,0.00229876,0.00222919,0.0180174,0,0,0,0.0149934,0
74,0.0123042,0.00822655,0,0,0,0.072824,0.017535,0.0318879,0.0315071,0,0,0,0.0126433,0,0.0178774,0.00482042,0.0343348,0.0377869,0.0258634,0.0309985,0,0,0.0339588,0.00968781,0.0271181,0.0474954,0.0195652,0.0667205,0.0281332,0.0388977,0.0154788,0.0139667,0,0.0952007,0,0.0117522,0.00822925,0.00402316,0.00898473,0.0141191,0.0137634,0.0297673,0.0164235,0,0,0.00351607,0,0.00918045,0.00328083,0.058583,0.0122368,0.0235398,0.00517095,0.0341001,0.00240322,0.00214885,0.0521826,0.0063381,0.00210307,0.00461407,0.0152242,0.00440374,0.00275659,0.0131001,0.00278864,0.00156718,0.00228023,0.0179414,0,0,0,0.0151565,0
75,0.0122505,0.00852647,0,0,0,0.0759705,0.0173705,0.0338122,0.0314242,0,0,0,0.012173,0,0.0178207,0.00453439,0.0345249,0.0393897,0.0259703,0.0312937,0,0,0.0342984,0.00956083,0.027554,0.0479649,0.0195753,0.0667759,0.0286466,0.0402433,0.0156515,0.0145116,0,0.0986331,0,0.0116171,0.00823744,0.0040352,0.00831485,0.0140391,0.0134434,0.0298217,0.01618,0,0,0.00324893,0,0.00921897,0.00319065,0.0584994,0.0119262,0.0235288,0.00524284,0.0339093,0.00286047,0.00240777,0.0522045,0.00591612,0.00147383,0.00482743,0.0149125,0.00457979,0.0030784,0.012541,0.00270429,0.00125577,0.00242642,0.0180035,0,0,0,0.0153422,0
76,0.0123552,0.00893376,0,0,0,0.0785666,0.0171878,0.0353632,0.0312678,0,0,0,0.0117879,0,0.0177495,0.00432502,0.0346853,0.0407689,0.0260443,0.0313542,0,0,0.0345515,0.00953145,0.0277648,0.0480152,0.0193951,0.0666117,0.0289434,0.0413586,0.015881,0.0150053,0,0.101518,0,0.0114981,0.00824338,0.00408351,0.00782828,0.0138532,0.012891,0.029798,0.0158002,0,0,0.00320481,0,0.00915181,0.0031689,0.0582764,0.0113845,0.0235613,0.0053851,0.0338146,0.00358274,0.00269709,0.0522093,0.00562612,0.00107339,0.00502107,0.0146649,0.00480742,0.00332438,0.011996,0.00298533,0.0017794,0.00279374,0.0180547,0,0,0,0.015509,0
77,0.012484,0.00935309,0,0,0,0.0806392,0.0170551,0.0364306,0.0310953,0,0,0,0.0114998,0,0.0176814,0.00412174,0.0348988,0.041844,0.026248,0.0311118,0,0,0.0347926,0.00956435,0.0277832,0.0477336,0.019277,0.0663116,0.0289025,0.0420641,0.0160547,0.0153952,0,0.103773,0,0.0113265,0.00826186,0.00416062,0.00738579,0.0136669,0.0124103,0.0297562,0.015399,0,0,0.0033169,0,0.00904442,0.00318312,0.0580628,0.0106791,0.0235879,0.00550473,0.0337421,0.00434597,0.00294451,0.0522075,0.00546363,0.000822531,0.00510223,0.0145086,0.00493961,0.00340427,0.011317,0.00351023,0.00250238,0.00315176,0.0179587,0,0,0,0.0156944,0
78,0.0126311,0.00982536,0,0,0,0.0822427,0.0169137,0.036803,0.0310006,0,0,0,0.0112661,0,0.0176225,0.00402779,0.0349921,0.0423839,0.026388,0.0306544,0,0,0.035146,0.00965897,0.0276984,0.0470998,0.019345,0.0658808,0.0285782,0.0424517,0.0161401,0.0154972,0,0.105311,0,0.0111693,0.00830574,0.00425491,0.00677713,0.013615,0.0119651,0.029706,0.0151103,0,0,0.00360545,0,0.00900978,0.00323246,0.0579244,0.0101407,0.0235582,0.00558885,0.0335976,0.00505425,0.00309886,0.0522747,0.00541836,0.000673626,0.00523607,0.0143928,0.00480883,0.00340071,0.0102712,0.00412053,0.00299979,0.00346717,0.0178297,0,0,0,0.015883,0
79,0.012761,0.0102669,0,0,0,0.0833549,0.0167088,0.0367264,0.0310059,0,0,0,0.0111176,0,0.0175237,0.00403838,0.0351076,0.0427415,0.0265613,0.0300497,0,0,0.0355795,0.00982047,0.0273685,0.0461603,0.0193544,0.0654276,0.0280404,0.0424785,0.0161031,0.0155634,0,0.106429,0,0.0111435,0.00835957,0.00441396,0.00601068,0.0136325,0.011575,0.0296138,0.0149223,0,0,0.00404072,0,0.00900229,0.0032513,0.0578498,0.00975868,0.0235209,0.00567553,0.0334394,0.00564617,0.00292332,0.0522973,0.00543847,0.000675244,0.00536177,0.014362,0.00466642,0.00345781,0.0089907,0.00471986,0.00329953,0.00387126,0.0177402,0,0,0,0.0160857,0
80,0.0128765,0.0106655,0,0,0,0.0839251,0.0164595,0.0364058,0.0308613,0,0,0,0.0110195,0,0.0174097,0.00403812,0.0352672,0.0429972,0.0267214,0.0293263,0,0,0.0359661,0.0100591,0.0270355,0.0451899,0.019479,0.0649586,0.0274983,0.0422331,0.0158798,0.0156397,0,0.107349,0,0.0112466,0.00840141,0.00461702,0.00515299,0.0136988,0.0111548,0.0294485,0.0147328,0,0,0.00461821,0,0.00901501,0.0032382,0.0577749,0.00920906,0.0234394,0.00575487,0.0334684,0.00611421,0.00256463,0.0522329,0.00548522,0.000788098,0.00546338,0.0143972,0.00453709,0.00356375,0.00760275,0.00531788,0.00357608,0.004232,0.0176598,0,0,0,0.0162344,0
81,0.0130123,0.0110182,0,0,0,0.0844189,0.0162426,0.0363275,0.0307327,0,0,0,0.0109936,0,0.0172795,0.00395618,0.0354191,0.0430834,0.0268873,0.028483,0,0,0.03636,0.0103198,0.0270412,0.0440879,0.0197665,0.0644873,0.0269954,0.041641,0.0155396,0.0156884,0,0.108003,0,0.0112196,0.00841242,0.00485076,0.00447864,0.013845,0.0108142,0.0291913,0.0145788,0,0,0.00527988,0,0.00906699,0.00326984,0.0577138,0.00859942,0.0233463,0.00577976,0.0334532,0.0064768,0.00273319,0.0521954,0.00548232,0.000913262,0.00549243,0.0144066,0.0044346,0.00364279,0.00617133,0.00585293,0.00361176,0.00410734,0.0175916,0,0,0,0.01646,0
82,0.0129341,0.0113297,0,0,0,0.0849064,0.0160791,0.0364282,0.0306318,0,0,0,0.0109835,0,0.0172008,0.00386278,0.0354996,0.0429582,0.0270336,0.0275503,0,0,0.0367932,0.0105396,0.0270424,0.0427489,0.0196903,0.0639935,0.0264986,0.0408219,0.0152716,0.0157385,0,0.108483,0,0.011268,0.00844767,0.00499832,0.00431849,0.0139327,0.0104462,0.028973,0.0144555,0,0,0.00594055,0,0.00903178,0.00346887,0.0576948,0.00826848,0.0232948,0.00591126,0.0333399,0.00674376,0.00278847,0.0522078,0.00555831,0.00121247,0.00563012,0.0143977,0.00440902,0.0038584,0.00531712,0.00624716,0.00352415,0.00405381,0.017487,0,0,0,0.016746,0
83,0.0128117,0.0115731,0,0,0,0.0852933,0.0159459,0.0361404,0.0306005,0,0,0,0.0109272,0,0.017155,0.00389187,0.0355658,0.0432103,0.0271529,0.0265462,0,0,0.0371966,0.0107893,0.0268627,0.0410996,0.0194175,0.0636079,0.0259924,0.0400007,0.0151506,0.0158661,0,0.109032,0,0.0113681,0.00852152,0.00507498,0.00489064,0.0139724,0.0103081,0.0288254,0.014402,0,0,0.0065814,0,0.00899732,0.00372091,0.057641,0.0083013,0.0232277,0.00608324,0.0333388,0.00700857,0.00280766,0.0520434,0.00561496,0.00143303,0.00571877,0.0143161,0.00439934,0.00403785,0.00545306,0.00663208,0.00346675,0.00421589,0.0172986,0,0,0,0.0170484,0
84,0.0126854,0.0117972,0,0,0,0.0855829,0.0158195,0.0360524,0.0305653,0,0,0,0.0109219,0,0.0171105,0.00397,0.0355365,0.0433209,0.0272911,0.0255758,0,0,0.0375712,0.011028,0.026306,0.0391668,0.0192323,0.0633368,0.0252792,0.0391802,0.0149408,0.0159494,0,0.10929,0,0.0113907,0.00858858,0.00520453,0.00569392,0.0140666,0.00994519,0.0286419,0.0143353,0,0,0.00730783,0,0.00902687,0.00384201,0.0575344,0.00846351,0.0231277,0.00641077,0.0333116,0.00732038,0.00275668,0.0516835,0.00580366,0.00172458,0.00588987,0.0142341,0.00444913,0.00432058,0.0062453,0.00713307,0.00335744,0.00421354,0.0170445,0,0,0,0.0174204,0
85,0.0125272,0.0120255,0,0,0,0.0875373,0.01569,0,0.0304907,0,0,0,0.010964,0,0.0170526,0.00405044,0.0356484,0.0450005,0.0275276,0.0244451,0,0,0.0378752,0.0111971,0.0253187,0.0367675,0.0188241,0.0629705,0.0245578,0.0390493,0.0162124,0.0147011,0,0.110975,0,0.0113754,0.00864151,0.00536405,0.00687162,0.0142105,0.00966485,0.0283806,0.0142629,0,0,0.00808141,0,0.00910074,0.00385419,0.0574633,0.00856035,0.0230881,0.0067478,0.0332858,0.00756692,0.0029126,0.0513986,0.00600695,0.00206231,0.00607964,0.0141997,0.00453148,0.00464207,0.00743766,0.00766029,0.00318833,0.00403719,0.0167882,0,0,0,0.017802,0
86,0.0123521,0.0122549,0,0,0,0.0850722,0.0155727,0.0352976,0.0303973,0,0,0,0.0109796,0,0.0170196,0.00410943,0.0357856,0.0420129,0.0277071,0.0238842,0,0,0.0382303,0.0112972,0.0247723,0.0351902,0.0186034,0.0627967,0.0233764,0.0374158,0.0148402,0.0157591,0,0.108258,0,0.0113269,0.00869664,0.00549538,0.00787284,0.0143088,0.0091924,0.0281842,0.0141885,0,0,0.00880056,0,0.00917456,0.00390564,0.0573906,0.00847116,0.0231496,0.00706997,0.0332959,0.00777046,0.00314003,0.051267,0.00627437,0.00232101,0.00627658,0.0141356,0.0045829,0.00494219,0.0087653,0.00810675,0.00308373,0.00396492,0.0166193,0,0,0,0.0182025,0
87,0.0122256,0.0124607,0,0,0,0.0841249,0.0155409,0.0345414,0.030287,0,0,0,0.0109348,0,0.0170069,0.00402823,0.0358494,0.0409816,0.0278872,0.023177,0,0,0.038555,0.0115204,0.0238532,0.0333011,0.018104,0.0624627,0.0226726,0.0365943,0.0148122,0.015694,0,0.107023,0,0.0112241,0.00873701,0.00545278,0.00893655,0.0143861,0.00878543,0.0279434,0.0142075,0,0,0.0095532,0,0.0092724,0.00401023,0.0573203,0.00847169,0.0230317,0.00734699,0.0333298,0.00788334,0.00325287,0.0511357,0.00639927,0.0025996,0.00644792,0.0140938,0.00462707,0.00523658,0.0102715,0.00855064,0.00302779,0.00388879,0.0166299,0,0,0,0.0186425,0
88,0.0122797,0.0127333,0,0,0,0.0828072,0.015532,0.0335638,0.0302058,0,0,0,0.010947,0,0.016976,0.00389886,0.0359517,0.0400417,0.0280899,0.022561,0,0,0.038862,0.0118582,0.0228018,0.0314871,0.0175686,0.0620576,0.0220586,0.0357793,0.0146723,0.0156318,0,0.105176,0,0.0111138,0.00875799,0.00540902,0.010106,0.0144771,0.0084131,0.0278764,0.0142794,0,0,0.0102225,0,0.00937598,0.00415537,0.0573076,0.00866166,0.0229225,0.00759089,0.0336095,0.0080854,0.00327593,0.0509406,0.00640414,0.0029526,0.00662015,0.0140664,0.00467004,0.00555588,0.0119139,0.00896766,0.00297869,0.0037363,0.0168382,0,0,0,0.019115,0
