Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RFHD,RHEE,LMR,LBR
60,0.0134397,0.0105212,0,0,0,0.0152886,0.00920509,0.00219201,0,0,0,0.00889939,0,0.0203148,0.00489851,0.0463315,0.00971446,0.019423,0.00296905,0,0.00270254,0.0141584,0.00378495,0.0059096,0.00222765,0.0473532,0.00501784,0.0120943,0.0042254,0.0113514,0,0.00964784,0,0.00813293,0.00990349,0.00209651,0.0406752,0.0109992,0.0110304,0.00630949,0.00878364,0,0,0.00653101,0.0121201,0.00217899,0.059484,0.0230591,0.00910732,0.00274551,0.0065121,0.013699,0.0519193,0.00823525,0.0213816,0.0175499,0.0218459,0.00505904,0.0203457,0.0500147,0.00701539,0.00230258,0.000722467,0.00806889,0.00852509,0,0,0,0.00942341,0,0.0183884,0,0
61,0.0124555,0.00993012,0,0,0,0.015306,0.00921005,0.00189529,0,0,0,0.00860492,0,0.0204345,0.00487355,0.0460671,0.00960132,0.0196493,0.00287224,0,0.00273788,0.0132539,0.00427172,0.00626677,0.00263359,0.0470948,0.00492726,0.0122263,0.00448748,0.0118276,0,0.0100461,0,0.00772135,0.00995536,0.00207741,0.0420672,0.011078,0.0110373,0.00582734,0.00807822,0,0,0.00677346,0.0121835,0.00230166,0.0594586,0.0228284,0.00948058,0.00267398,0.00674481,0.0126964,0.0517262,0.00804288,0.02025,0.0187854,0.0217784,0.0054536,0.0219631,0.0525693,0.00719459,0.00294805,0.000632934,0.00779535,0.00816774,0,0,0,0.00952402,0,0.0200774,0,0
62,0.0115391,0.00939912,0,0,0,0.0152458,0.00915026,0.00152961,0,0,0,0.00840623,0,0.0205602,0.00489769,0.0458354,0.00952567,0.0198338,0.00255365,0,0.00273679,0.012482,0.00474344,0.00651179,0.00285178,0.046885,0.0048507,0.0119837,0.00465442,0.0122603,0,0.0104771,0,0.00737858,0.0100132,0.00202282,0.0436098,0.0111373,0.0108506,0.00550613,0.00744035,0,0,0.007137,0.0122507,0.00259985,0.0594084,0.0227119,0.00972322,0.00254782,0.00692986,0.0112313,0.0515146,0.00781761,0.0187301,0.0198486,0.0216157,0.00583605,0.0233868,0.0551851,0.00748429,0.00332793,0.000713627,0.00754273,0.00769825,0,0,0,0.00966371,0,0.0218465,0,0
63,0.0107127,0.00894379,0,0,0,0.0152113,0.00902904,0.00145895,0,0,0,0.00810742,0,0.0206093,0.00485936,0.0457188,0.00938379,0.0199192,0.0019845,0,0.00261997,0.0118268,0.00506226,0.00635856,0.00335086,0.0469066,0.00464819,0.011525,0.00481008,0.0126868,0,0.0108314,0,0.00704432,0.0100253,0.00189738,0.0450783,0.0111853,0.0105482,0.00539362,0.00687222,0,0,0.00753947,0.0123277,0.00296169,0.0593508,0.0225741,0.0099343,0.00232334,0.00695653,0.00978071,0.0511893,0.00757168,0.0169126,0.0208387,0.0213401,0.00627231,0.0247032,0.0577115,0.00777304,0.0034976,0.000819738,0.00721084,0.00710018,0,0,0,0.00991772,0,0.0237912,0,0
64,0.0101226,0.00841932,0,0,0,0.0151884,0.00890638,0.00163779,0,0,0,0.00773792,0,0.0205736,0.00472788,0.045622,0.00927575,0.0200142,0.001844,0,0.00254244,0.0112091,0.00546029,0.00610657,0.00401585,0.0467986,0.00451285,0.0111556,0.00493719,0.0131107,0,0.01131,0,0.0066802,0.0100108,0.0018155,0.046325,0.0111972,0.0106041,0.0052972,0.00630367,0,0,0.0079624,0.0124062,0.00326361,0.059373,0.0223864,0.0100487,0.00222629,0.00679146,0.0083288,0.0509331,0.00709467,0.0148781,0.0217658,0.0211138,0.00676263,0.0259274,0.0597592,0.00809341,0.00352529,0.00090509,0.00685183,0.00638749,0,0,0,0.0102723,0,0.0260491,0,0
65,0.00970881,0.00810595,0,0,0,0.0151818,0.00884387,0.00152487,0,0,0,0.00779852,0,0.0204489,0.00486681,0.0455376,0.0093398,0.0201719,0.00204786,0,0.00257082,0.010596,0.00578035,0.00593216,0.00453386,0.0465466,0.00463533,0.01106,0.00511416,0.0134925,0,0.0123127,0,0.00659749,0.00994351,0.00183459,0.0472746,0.0111323,0.0108071,0.00517089,0.00592064,0,0,0.00847257,0.012536,0.00330722,0.0596881,0.0222739,0.0103271,0.00230398,0.00680296,0.00707436,0.0507557,0.0067829,0.0130283,0.0224872,0.0208843,0.0072502,0.0270658,0.0615748,0.00863184,0.00371859,0.000960927,0.00663495,0.00568293,0,0,0,0.0108669,0,0.0278842,0,0
66,0.00914455,0.00752285,0,0,0,0.0151482,0.00896698,0.00144283,0,0,0,0.00790667,0,0.0203102,0.00492177,0.0454408,0.00981288,0.0202523,0.00220701,0,0.00252675,0.00999005,0.00582711,0.00551404,0.00516654,0.0462693,0.00494229,0.0113473,0.00531735,0.0136775,0,0.0132445,0,0.00656059,0.00989573,0.00189064,0.0482612,0.0110203,0.0112148,0.00503942,0.00534633,0,0,0.00909691,0.0126262,0.00363476,0.0600349,0.022107,0.0108632,0.00244124,0.00648509,0.00607078,0.0505905,0.00664769,0.0113586,0.023118,0.0206217,0.00758325,0.0279863,0.0635271,0.00896747,0.00371012,0.00103884,0.00632597,0.00491721,0,0,0,0.0114894,0,0.0294107,0,0
67,0.0079301,0.00618449,0,0,0,0.0148035,0.00920352,0.0014656,0,0,0,0.00465105,0,0.020934,0.00224791,0.0453301,0.0108685,0.0202994,0.00285439,0,0.0024656,0.00930269,0.00571132,0.0050319,0.00564082,0.0460409,0.00526908,0.0118793,0.00558211,0.0136414,0,0.0142614,0,0.00542257,0.0102808,0.00145534,0.0490739,0.0110017,0.0116868,0.00499529,0.00452384,0,0,0.0107965,0.012614,0.00609741,0.060237,0.0219222,0.0114606,0.00258362,0.00573097,0.00535073,0.0504171,0.00657802,0.00985847,0.0237079,0.0202769,0.00805137,0.0287253,0.0648496,0.00968756,0.00181977,0.00137715,0.00587563,0.00442355,0,0,0,0.0122175,0,0.0308633,0,0
68,0.00760396,0.0061725,0,0,0,0.0149111,0.00958193,0.00147714,0,0,0,0.00698454,0,0.0201861,0.00430031,0.0451945,0.0116415,0.020366,0.00350694,0,0.00238425,0.00882595,0.00541876,0.00456362,0.00590705,0.0458089,0.00536206,0.0121067,0.00586154,0.0133756,0,0.0156908,0,0.00621543,0.00990077,0.00193182,0.0496001,0.0107418,0.0123224,0.00484236,0.00422421,0,0,0.0103515,0.0127978,0.00475385,0.0603458,0.0217274,0.012153,0.00261988,0.00563965,0.00489482,0.0502698,0.00666805,0.0086858,0.0242217,0.0198869,0.00859002,0.0292982,0.0655547,0.00933818,0.00298641,0.00134607,0.00566761,0.00378063,0,0,0,0.0133264,0,0.0320356,0,0
69,0.00691721,0.00567324,0,0,0,0.0148628,0.00992727,0.00166219,0,0,0,0.00720962,0,0.0200245,0.00457277,0.0450413,0.011862,0.0204312,0.00433234,0,0.00231198,0.00816978,0.00531514,0.0041752,0.00612452,0.0456532,0.00544121,0.0123136,0.00610632,0.0132128,0,0.0172442,0,0.00638002,0.00983854,0.00214036,0.0498249,0.010529,0.0128131,0.00477977,0.00380566,0,0,0.0108455,0.012886,0.00506019,0.0603921,0.0215436,0.0127673,0.00268843,0.00536921,0.00470741,0.0502059,0.00703321,0.00796822,0.0245397,0.0195634,0.00912021,0.0295989,0.0657185,0.00945875,0.00285377,0.00151195,0.00534287,0.00336259,0,0,0,0.0144673,0,0.0331578,0,0
