Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,STRN,LASI,LMR,LBR
9,0.00842803,0.0166967,0,0,0,0.0108938,0.0156203,0.0111521,0,0,0,0.0167424,0,0.0198547,0.00806385,0.0459061,0.00991336,0.0290168,0.020579,0,0.0321816,0.00682161,0.0204776,0.0228602,0.0191398,0.0484108,0.0126125,0.0152184,0.0122657,0.00627211,0,0.0166413,0,0.00903777,0.00973688,0.00301163,0.0191432,0.0119021,0.0139449,0.0154424,0.0105407,0,0,0.0139975,0,0.0103515,0.00843275,0.05478,0.0204044,0.0217476,0.00153108,0.0237444,0.0156952,0.00519958,0.045956,0.00554978,0.00552139,0.0080827,0.0140248,0.0090253,0.00787568,0.0255127,0.00898073,0.00629396,0.00404697,0.0159453,0,0,0,0.0254505,0.0204391,0,0
10,0.0089245,0.0164247,0,0,0,0.0139346,0.0154693,0.00990832,0,0,0,0.0166347,0,0.0199978,0.00810038,0.0461829,0.0109505,0.0292391,0.0195082,0,0.0322537,0.00588042,0.0203549,0.0218849,0.0188082,0.0490586,0.0127482,0.0149846,0.0122758,0.00563802,0,0.0203804,0,0.00899214,0.00984554,0.00310726,0.0181831,0.0120734,0.0150078,0.0162012,0.00993705,0,0,0.0150276,0,0.0106184,0.00916553,0.0545457,0.0194928,0.0217238,0.00201787,0.023889,0.0150251,0.0054113,0.0468919,0.00604495,0.00628264,0.00806138,0.0137385,0.00854262,0.00763095,0.0240891,0.00789461,0.00443417,0.00323648,0.0157746,0,0,0,0.0253755,0.020396,0,0
11,0.00903058,0.0162047,0,0,0,0.015705,0.0154229,0.00987268,0,0,0,0.0162627,0,0.0201648,0.00823051,0.0467148,0.0132266,0.0297382,0.0187419,0,0.0322525,0.00488483,0.0191876,0.0192436,0.0174717,0.0488262,0.0118747,0.0143962,0.0118727,0.00594631,0,0.0239114,0,0.00913976,0.00991906,0.00304584,0.0173482,0.0122839,0.015754,0.017148,0.00937827,0,0,0.0159391,0,0.0109018,0.00959568,0.0544944,0.0178534,0.021644,0.00286988,0.0237918,0.0144537,0.00569515,0.0478717,0.00667828,0.00716431,0.00822044,0.0133633,0.00824592,0.00811055,0.0231025,0.00705901,0.00314033,0.00262752,0.0159504,0,0,0,0.0252229,0.0205241,0,0
12,0.00819375,0.0155661,0,0,0,0.0202998,0.0156475,0.010098,0,0,0,0.0162363,0,0.0201042,0.00833148,0.0464271,0.0173764,0.0280724,0.0193747,0,0.0336089,0.00478143,0.0176846,0.0185265,0.0163647,0.0490738,0.0114371,0.0154467,0.0115763,0.00913759,0,0.0315565,0,0.00995052,0.00983879,0.00273467,0.0167962,0.0127976,0.0163208,0.0206783,0.00938562,0,0,0.0155935,0,0.0110371,0.00899663,0.0532942,0.0151957,0.0217526,0.00378771,0.0260249,0.0115208,0.00633709,0.0491852,0.0071098,0.0081393,0.00928174,0.013065,0.007414,0.010474,0.020259,0.00768259,0.00317955,0.00186776,0.0168708,0,0,0,0.0251947,0.0214282,0,0
13,0.00822919,0.015484,0,0,0,0.0193327,0.0158857,0.0105059,0,0,0,0.0152724,0,0.019967,0.0079069,0.0469723,0.0199907,0.0284251,0.0188418,0,0.0343108,0.00506177,0.0155493,0.0172653,0.0157044,0.0472663,0.0110848,0.0150986,0.0112966,0.0107433,0,0.0319099,0,0.00985962,0.0096309,0.00210719,0.0161794,0.0130066,0.0165796,0.0223392,0.00937355,0,0,0.0163478,0,0.011367,0.00898047,0.0528685,0.0126801,0.021861,0.00500168,0.0263733,0.0113531,0.00664833,0.0506037,0.00777847,0.00871495,0.00926577,0.012949,0.00708965,0.0111567,0.0193833,0.0082136,0.00493377,0.0017742,0.0170781,0,0,0,0.0252819,0.0220563,0,0
14,0.00811798,0.0154409,0,0,0,0.017992,0.0159594,0.0107973,0,0,0,0.014035,0,0.0197389,0.00748088,0.047493,0.021199,0.0285862,0.0181917,0,0.0346704,0.00535748,0.0156552,0.0182768,0.0161002,0.0460004,0.0112454,0.0148684,0.0111731,0.0117972,0,0.0311566,0,0.0096887,0.00948894,0.00160611,0.0149064,0.0130875,0.0159431,0.0234758,0.00935455,0,0,0.0176972,0,0.0116139,0.00923997,0.0524275,0.00998601,0.0220239,0.00611346,0.0263727,0.0114474,0.00705526,0.0520675,0.00859864,0.00931131,0.0089381,0.0130708,0.00683448,0.0110988,0.019069,0.00894975,0.00755075,0.00185919,0.0169506,0,0,0,0.0253736,0.0222512,0,0
15,0.00814211,0.0153842,0,0,0,0.0170349,0.0158603,0.0109174,0,0,0,0.0131187,0,0.0196129,0.00729725,0.0480945,0.0216627,0.0284923,0.0176764,0,0.0347969,0.00568077,0.0171546,0.0200454,0.0167806,0.0458233,0.0114001,0.0148927,0.0111504,0.0121773,0,0.0300944,0,0.00946733,0.00945507,0.00140982,0.0134031,0.013123,0.0146308,0.0243456,0.00959904,0,0,0.0187339,0,0.0117672,0.00932446,0.0519769,0.00801095,0.0221384,0.00708501,0.0264479,0.0115122,0.00777999,0.0531992,0.00934785,0.0103898,0.0082332,0.013265,0.00666347,0.010478,0.0185081,0.00964177,0.0102892,0.00215842,0.0170522,0,0,0,0.0253098,0.0222757,0,0
16,0.00851305,0.0150986,0,0,0,0.0164193,0.0157852,0.0104913,0,0,0,0.0125655,0,0.0195643,0.00731512,0.0486608,0.0213181,0.027982,0.0174256,0,0.0345452,0.00596407,0.018591,0.0216914,0.0170787,0.0463296,0.0112344,0.0149311,0.0111642,0.0119197,0,0.0291037,0,0.00898731,0.00944373,0.0013966,0.0110796,0.0132529,0.0131056,0.0249986,0.01012,0,0,0.0196933,0,0.0119805,0.00932572,0.0515129,0.00873294,0.0223249,0.00776179,0.0266888,0.0115041,0.00862259,0.054111,0.0100014,0.0114346,0.00717379,0.0134553,0.00652342,0.00935752,0.0167155,0.00995004,0.0123076,0.0026533,0.0176553,0,0,0,0.0252072,0.0223898,0,0
17,0.00924423,0.014674,0,0,0,0.0163802,0.0156898,0.00984642,0,0,0,0.0120347,0,0.0194998,0.00737745,0.048975,0.0200623,0.0271817,0.017554,0,0.0339104,0.0061381,0.0197435,0.023368,0.0171961,0.0469242,0.0109978,0.015027,0.011254,0.011247,0,0.0285612,0,0.00883219,0.00942194,0.00145441,0.00857866,0.0133793,0.0116809,0.025511,0.0107715,0,0,0.0205798,0,0.0122069,0.00940469,0.0510074,0.0116651,0.0225977,0.0081827,0.0268356,0.0114369,0.00933917,0.0548364,0.0104504,0.0122791,0.00606798,0.0136356,0.00652872,0.00795473,0.0139533,0.0101385,0.0140108,0.00297927,0.018603,0,0,0,0.0249514,0.0228055,0,0
18,0.0100461,0.0141676,0,0,0,0.0172272,0.015519,0.00955071,0,0,0,0.0116758,0,0.0193641,0.00745071,0.0488924,0.0181824,0.0263778,0.0181229,0,0.0331022,0.0061269,0.0205928,0.025075,0.0174298,0.0474242,0.0112491,0.0154464,0.0114466,0.0104497,0,0.0287827,0,0.00863762,0.00939842,0.00153787,0.00707779,0.0134938,0.0104983,0.025872,0.0114236,0,0,0.0211787,0,0.0123983,0.00942032,0.0505769,0.0144164,0.0229001,0.00843973,0.0267162,0.0112878,0.00990068,0.0554251,0.0105288,0.0130936,0.00498592,0.0138603,0.00638569,0.00657767,0.0108631,0.0102936,0.0156348,0.00323743,0.0195791,0,0,0,0.0245191,0.0231658,0,0
