Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
175,0.0173787,0.0075168,0,0,0,0.074675,0.0156187,0.0395346,0.0126794,0,0,0,0,0.00562395,0,0.0189843,0.00392929,0.0417547,0.0369854,0.0253087,0.00924115,0,0,0.0143419,0.00993682,0.00901903,0.0195342,0.0078614,0.054782,0.0187564,0.0326761,0.0154061,0.0131467,0,0.0881241,0,0.00723235,0.00969799,0.00406969,0.0118058,0.0118369,0.00822779,0.0121413,0.0232352,0,0,0.0172521,0,0.0109902,0.0124131,0.0608658,0.00835299,0.0279583,0.00575465,0.00857559,0.0117027,0.00226097,0.0482954,0.00509948,0.00570385,0.00445328,0.0172499,0.00302694,0.00683203,0.0140318,0.0079876,0.00997278,0.00413287,0.00891672,0.0196492,0,0,0,0
176,0.0179578,0.00703694,0,0,0,0,0.0159742,0.0427333,0.0130956,0,0,0,0,0.00569515,0,0.0189637,0.00399578,0.0412249,0.0398451,0.0254837,0.0113009,0,0,0.0141744,0.0110277,0.0107616,0.0221236,0.0084486,0.0557733,0,0.0366404,0.0191919,0.011899,0,0.100301,0,0.00725348,0.00963419,0.00395621,0.0116564,0.0122315,0.00910411,0.0122358,0.0240835,0,0,0.0170306,0,0.0106271,0.0123137,0.0609929,0.0084764,0.0276307,0.00548122,0.00838743,0.012049,0.00239817,0.0483522,0.00587917,0.00599445,0.00424618,0.0175737,0.00271795,0.006526,0.0139001,0.00754478,0.0101102,0.0037109,0.00831386,0.0200436,0,0,0,0
177,0.0185484,0.00661203,0,0,0,0.079103,0.0163453,0.0386599,0.0134662,0,0,0,0,0.00628775,0,0.0189221,0.00397321,0.0411019,0.0400189,0.0256307,0.0121215,0,0,0.0142799,0.0122313,0.0123656,0.0247093,0.00787095,0.0572359,0.0207102,0.0347312,0.0167162,0.0130385,0,0.101104,0,0.00759145,0.00951609,0.00380482,0.0118921,0.0125993,0.00999981,0.0117959,0.0247509,0,0,0.0166482,0,0.0103122,0.0121253,0.0608664,0.00869008,0.0279125,0.00500792,0.0083999,0.01274,0.00230429,0.0483696,0.00603424,0.00586429,0.00390919,0.0176866,0.00255154,0.00592116,0.0144002,0.00714305,0.00978703,0.0034257,0.00779348,0.0203992,0,0,0,0
178,0.0190922,0.00633818,0,0,0,0.0803856,0.0166272,0.0387564,0.0137319,0,0,0,0,0.00726695,0,0.0189423,0.00429946,0.0408916,0.0412174,0.0257441,0.0133359,0,0,0.0143444,0.0130441,0.0137133,0.0271053,0.00740065,0.0583602,0.0216446,0.0348912,0.0169153,0.013108,0,0.104017,0,0.00785748,0.00940998,0.00404343,0.0117023,0.012875,0.0104297,0.0116701,0.0253161,0,0,0.0161802,0,0.0100543,0.0119665,0.0608663,0.0087354,0.0279316,0.00472717,0.00813423,0.0135367,0.00238613,0.0482166,0.00558425,0.00575702,0.00371767,0.0176977,0.00242481,0.00546858,0.0143817,0.00699713,0.0089937,0.00321471,0.00735698,0.020925,0,0,0,0
179,0.0193316,0.0061108,0,0,0,0.0822016,0.0168205,0.0394557,0.0139409,0,0,0,0,0.00837052,0,0.0189735,0.00493306,0.0407077,0.0426727,0.0258016,0.0144049,0,0,0.0145726,0.0135065,0.014849,0.0289796,0.00716496,0.0591096,0.0223452,0.0348373,0.0170027,0.0134039,0,0.10585,0,0.00790752,0.00932808,0.00456211,0.0114063,0.0129764,0.0105433,0.0116477,0.0255914,0,0,0.0154783,0,0.00987926,0.0116817,0.0608662,0.00852369,0.0278849,0.00442446,0.0079371,0.0141664,0.00241772,0.0480339,0.00519543,0.0055868,0.00382858,0.0175751,0.00243881,0.00528036,0.0143117,0.00709841,0.00781156,0.00301205,0.00717796,0.0213055,0,0,0,0
180,0.0194591,0.00583686,0,0,0,0.0843374,0.0170541,0.0406175,0.0138207,0,0,0,0,0.00902478,0,0.0189812,0.00538562,0.0407223,0.044292,0.0257088,0.0153705,0,0,0.0147036,0.0137527,0.0158063,0.0300427,0.00726954,0.0594501,0.0233732,0.0356286,0.0172131,0.0139289,0,0.107432,0,0.00786694,0.00924963,0.00481635,0.011077,0.012965,0.0106829,0.0117015,0.0256247,0,0,0.0147265,0,0.00974322,0.0114099,0.0608672,0.00831504,0.0279437,0.004077,0.00775206,0.0147996,0.0023284,0.0479432,0.00500347,0.00537621,0.00412485,0.0173901,0.0026799,0.00543457,0.0139706,0.00719724,0.00645554,0.00301228,0.00723785,0.0216168,0,0,0,0
181,0.019416,0.00558687,0,0,0,0.0854165,0.0172541,0.0407909,0.0135663,0,0,0,0,0.00947602,0,0.0189731,0.00552789,0.0409353,0.0455292,0.025579,0.0163282,0,0,0.014756,0.0139708,0.016482,0.0313264,0.0072616,0.0597268,0.0239803,0.0366986,0.0173119,0.0142632,0,0.108811,0,0.00814434,0.00918194,0.00480939,0.0110167,0.0128539,0.0109459,0.0117846,0.0255913,0,0,0.0139057,0,0.00964867,0.011116,0.0608671,0.00828405,0.0281339,0.00377173,0.00764118,0.0154399,0.00217939,0.0479166,0.00476817,0.00517237,0.0045623,0.0171841,0.00295868,0.00604287,0.0137341,0.00713614,0.00511315,0.00316471,0.00752138,0.0220049,0,0,0,0
182,0.0190549,0.00538621,0,0,0,0.0866926,0.0174086,0.041539,0.0133401,0,0,0,0,0.00983252,0,0.0190009,0.00557638,0.0411322,0.0465362,0.0254438,0.0172766,0,0,0.0148063,0.0141974,0.0169477,0.0325902,0.00749646,0.0601229,0.0245277,0.0377383,0.0175673,0.0145489,0,0.110231,0,0.00806558,0.00913538,0.00483194,0.0111541,0.0127182,0.011351,0.0118265,0.0254635,0,0,0.0127979,0,0.00961175,0.0106226,0.0607904,0.00853858,0.0283001,0.00352869,0.00769764,0.016073,0.00207083,0.0479799,0.00450396,0.0047806,0.00523181,0.0168897,0.00315188,0.00675054,0.0137234,0.00699548,0.00387625,0.00330894,0.00792704,0.0222572,0,0,0,0
183,0.0186888,0.00526773,0,0,0,0.0881837,0.0175562,0.0428681,0.0130382,0,0,0,0,0.00994643,0,0.0191022,0.00556986,0.0412708,0.0472784,0.0253003,0.0179308,0,0,0.0148379,0.0144481,0.0173305,0.0335095,0.00746388,0.0603782,0.0249057,0.038611,0.0176933,0.0148294,0,0.111524,0,0.0079375,0.00911582,0.00480256,0.0112554,0.0126046,0.0117106,0.0118645,0.0253722,0,0,0.0116463,0,0.00959303,0.00998138,0.0606335,0.0089309,0.0283052,0.00338358,0.00773433,0.0167262,0.00225819,0.0481471,0.00422089,0.0045132,0.00623606,0.0166112,0.00355497,0.00760215,0.0136995,0.00709756,0.00344072,0.0033851,0.00828728,0.0222838,0,0,0,0
184,0.018662,0.0052265,0,0,0,0.0893617,0.0176638,0.0437062,0.0125075,0,0,0,0,0.00978007,0,0.0191691,0.00539267,0.0415747,0.0477434,0.0250337,0.0183184,0,0,0.0148207,0.0146229,0.0176413,0.034088,0.00743467,0.0605664,0.0250406,0.0393528,0.0177525,0.015034,0,0.112467,0,0.00784563,0.00910033,0.0046979,0.0111388,0.0125069,0.0119793,0.0120446,0.0253511,0,0,0.0105571,0,0.00955811,0.00943132,0.0604632,0.00940018,0.0281489,0.00331376,0.00773766,0.017369,0.00301616,0.0483786,0.00387783,0.00482406,0.00680029,0.0163569,0.00412646,0.00842401,0.0134213,0.00737283,0.00397382,0.00351838,0.00851321,0.0220822,0,0,0,0
