Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHIP
9,0.0252922,0.0222998,0,0,0,0.0363126,0.0147547,0.0397434,0.0302695,0,0,0,0,0.0115854,0,0.0181133,0.00596791,0.0413994,0.0446275,0.0322041,0.0295655,0,0,0.0384501,0.0143568,0.0335818,0.0386398,0,0.0253957,0.0286183,0.0235301,0.0225513,0,0.0411451,0,0.0038977,0.00925448,0.00259018,0.00401377,0.0120367,0.00893734,0.0200252,0.0264337,0,0,0.00983051,0,0.00997621,0.00742729,0.0511151,0.0201861,0.0228222,0.0115698,0.0364819,0.0231959,0.00477085,0.0508005,0.0073106,0.00864997,0.0138636,0.0118627,0.00971912,0.0159096,0.00890222,0.00917673,0.00408877,0.00460573,0.0264294,0.0277471,0,0,0,0.0643161
10,0.0247968,0.0222181,0,0,0,0.051487,0.0146129,0.0456464,0.0293563,0,0,0,0,0.0121467,0,0.0180693,0.00607756,0.0469369,0.0530684,0.0349218,0.0582881,0,0,0.0364602,0.0140873,0.0422078,0.0547896,0.062446,0.0379471,0.0241712,0.0315957,0.0464829,0,0.0441528,0,0.00408003,0.00930149,0.00269122,0.00324205,0.0118414,0.0108606,0.0175921,0.025662,0,0,0.0105172,0,0.00995992,0.00782146,0.0509802,0.022963,0.023693,0.011019,0.0347127,0.0232325,0.00424034,0.0508844,0.0065468,0.0086145,0.0145085,0.0115945,0.0106258,0.0171211,0.0107163,0.00925072,0.00463119,0.00484745,0.0259648,0.0264549,0,0,0,0.0708575
11,0.0247301,0.0222185,0,0,0,0.0209618,0.0145674,0.0277664,0.0289516,0,0,0,0,0.0127884,0,0.0180238,0.00640498,0.0416129,0.0304754,0.0337267,0.0266217,0,0,0.0381264,0.0139429,0.0306454,0.0351243,0.0270906,0.0239575,0.0271692,0.0189239,0.021605,0,0.0191792,0,0.00450117,0.00934081,0.00282811,0.0027436,0.0116764,0.00979494,0.0195329,0.0254966,0,0,0.0107406,0,0.00995596,0.00789602,0.0507474,0.0214838,0.0231189,0.0114343,0.0365201,0.0233036,0.00427528,0.0510207,0.00677845,0.00833561,0.0141785,0.0114769,0.0103123,0.0162377,0.00849229,0.00934703,0.0049778,0.00508767,0.0264362,0.0263177,0,0,0,0.0624563
12,0.0245266,0.0221066,0,0,0,0.0181154,0.0145664,0.0257778,0.028988,0,0,0,0,0.0129799,0,0.0180721,0.00658773,0.0414359,0.0287611,0.0333015,0.0241046,0,0,0.0387176,0.0136589,0.0285399,0.0323433,0.0242367,0.0232473,0.0266643,0.0187434,0.0207213,0,0.0172441,0,0.00467105,0.00939365,0.00286976,0.00264463,0.0115716,0.0101049,0.0194639,0.0252558,0,0,0.0109321,0,0.00999143,0.00803166,0.0504998,0.0216493,0.023235,0.011312,0.0369857,0.0233726,0.00375481,0.0511284,0.00653419,0.00778063,0.0141286,0.0111288,0.0105925,0.0160551,0.00811508,0.00946343,0.00526421,0.00536705,0.0268723,0.0260481,0,0,0,0.0618006
13,0.0242585,0.0219679,0,0,0,0.0163539,0.0145925,0.0232912,0.0290123,0,0,0,0,0.0132173,0,0.018093,0.00693257,0.0410563,0.0263141,0.0329914,0.0221884,0,0,0.0391788,0.0131324,0.0267004,0.0298582,0.0214511,0.022589,0.0261548,0.0182754,0.0199472,0,0.0159471,0,0.00483457,0.00941037,0.00290414,0.00272378,0.0114901,0.010628,0.0194106,0.0250696,0,0,0.0110575,0,0.010033,0.00818056,0.0503001,0.021856,0.023336,0.0110233,0.0373359,0.0235494,0.00306574,0.0512628,0.00625096,0.00700427,0.014082,0.0107267,0.0108235,0.0158689,0.00823133,0.00961241,0.00547939,0.00562896,0.0269513,0.0259022,0,0,0,0.0613669
14,0.0239504,0.0217734,0,0,0,0.0151205,0.0145961,0.0213463,0.0288529,0,0,0,0,0.0135176,0,0.0179831,0.00722669,0.040598,0.023762,0.0328836,0.0214298,0,0,0.0395827,0.0125774,0.0252511,0.0281076,0.0192808,0.0217763,0.0254878,0.0176891,0.019285,0,0.016265,0,0.0052355,0.00938911,0.00292467,0.00294108,0.0114356,0.011258,0.0195561,0.0248494,0,0,0.0113466,0,0.010109,0.00839266,0.0501351,0.022101,0.0233605,0.0106608,0.0375528,0.0238465,0.00223863,0.0514451,0.00596437,0.00599894,0.0140698,0.0102701,0.0111553,0.0156402,0.00859841,0.00988462,0.00573374,0.00585807,0.0266058,0.0257862,0,0,0,0.0609767
15,0.0236303,0.021615,0,0,0,0.0135801,0.0145578,0.0202685,0.0286258,0,0,0,0,0.0136755,0,0.01793,0.00733379,0.0402807,0.0200048,0.0328762,0.0213763,0,0,0.0400002,0.0120134,0.0239737,0.0270436,0.0181639,0.0204389,0.0242911,0.0171506,0.0187449,0,0.0166518,0,0.00568464,0.0094184,0.00304751,0.0033404,0.011395,0.0120365,0.0199185,0.0244691,0,0,0.0118681,0,0.0102232,0.00872601,0.0499801,0.0223386,0.0231998,0.010364,0.0376262,0.0241751,0.0014187,0.0517644,0.00563816,0.00489292,0.0140228,0.00983249,0.0114833,0.0153732,0.00918457,0.0102357,0.00592205,0.00611589,0.0259783,0.0256397,0,0,0,0.0603507
16,0.0232648,0.0213546,0,0,0,0.0113305,0.0144684,0.019192,0.0283703,0,0,0,0,0.0137426,0,0.0178833,0.00734194,0.0401169,0.0146733,0.0328899,0.0216698,0,0,0.0403596,0.0115149,0.0230902,0.026833,0.0181008,0.0190393,0.0232986,0.0166126,0.0176233,0,0.0153383,0,0.00604487,0.00947905,0.00315066,0.00402461,0.0111856,0.0129612,0.020347,0.02385,0,0,0.0127588,0,0.0102985,0.00920389,0.0497895,0.022462,0.0228664,0.0102099,0.0376044,0.0243877,0.00101257,0.0521383,0.00533399,0.00382916,0.0139007,0.00946885,0.0117304,0.0150356,0.00971097,0.0105784,0.00615397,0.00639588,0.0257688,0.025379,0,0,0,0.0597096
17,0.0229781,0.0208355,0,0,0,0.00940712,0.0143738,0.0174965,0.0279172,0,0,0,0,0.0138096,0,0.0178999,0.00744804,0.040072,0.00992061,0.0327294,0.0208007,0,0,0.0406202,0.0109647,0.0222763,0.0264226,0.0181209,0.0181793,0.0228806,0.0163173,0.0162629,0,0.0129272,0,0.00641515,0.00956018,0.00324177,0.00495091,0.0109607,0.0139655,0.0208727,0.0230982,0,0,0.0138596,0,0.0104195,0.00977518,0.0495711,0.0223709,0.0224419,0.00986182,0.0376073,0.0243349,0.00168236,0.0525515,0.00513171,0.00303067,0.0137886,0.00913284,0.0119323,0.0146205,0.0103635,0.0108051,0.00642143,0.00671537,0.0260679,0.0250142,0,0,0,0.0590707
18,0.0228229,0.0200252,0,0,0,0.00917322,0.0142797,0.0150396,0.0276108,0,0,0,0,0.013879,0,0.0178882,0.00774145,0.0399782,0.00745447,0.032476,0.0206004,0,0,0.0409,0.0102615,0.0220186,0.0266311,0.0180231,0.0185706,0.0234032,0.0159365,0.0145603,0,0.0117858,0,0.0068225,0.00960309,0.00336229,0.00577794,0.0107356,0.0149866,0.0215909,0.0223781,0,0,0.0148936,0,0.010596,0.0103805,0.0493038,0.0219678,0.0220961,0.00938336,0.0377802,0.0241351,0.00306221,0.0529812,0.0050077,0.00335857,0.0136924,0.00876956,0.0120618,0.0141282,0.0112632,0.010809,0.00663927,0.00706362,0.0257901,0.0245622,0,0,0,0.0588963
