Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LTHIP
29,0.0223828,0.0118178,0,0,0,0.0224212,0.0147778,0.00654046,0.0275794,0,0,0,0,0.0168958,0,0.0178662,0.0115825,0.0404977,0.0116739,0.0276173,0.0217271,0,0,0.0377751,0.00945143,0.0150775,0.0208108,0.0135528,0.0168039,0.0220385,0.0127429,0.0094921,0,0.0292432,0,0.0111478,0.00931804,0.00537645,0.0161508,0.00939818,0.0150777,0.0315118,0.0240552,0,0,0.021729,0,0.0120814,0.0147952,0.0487879,0.008666,0.0211549,0.0151855,0.0336843,0.0194981,0.0140921,0.0624291,0.015554,0.0154073,0.0129271,0.00759183,0.0125647,0.0143883,0.0143843,0.0104919,0.0056329,0.00796707,0.0203195,0.0266719,0,0,0,0.0572486
30,0.0222417,0.0114768,0,0,0,0.0237745,0.0148441,0.00663371,0.0274616,0,0,0,0,0.0172719,0,0.0179796,0.0118053,0.0404925,0.00976443,0.027306,0.0219714,0,0,0.0373002,0.00923773,0.0146624,0.0204431,0.0130277,0.0161432,0.0216327,0.012366,0.0090565,0,0.0309878,0,0.011077,0.00932358,0.00545188,0.019472,0.00926331,0.0144705,0.0318766,0.0239187,0,0,0.0223122,0,0.0122492,0.0151793,0.0488759,0.00880322,0.021379,0.0153598,0.0335223,0.0184387,0.0146794,0.0628702,0.0162464,0.0162632,0.0122832,0.00761076,0.0123128,0.013632,0.018823,0.0106598,0.00577634,0.00790808,0.0201683,0.0267226,0,0,0,0.0573711
31,0.022135,0.0113806,0,0,0,0.0250127,0.0148436,0.00737323,0.0273558,0,0,0,0,0.0175402,0,0.0181048,0.011869,0.0405754,0.00839048,0.0271358,0.0217451,0,0,0.0371212,0.00900808,0.0137369,0.0200772,0.0126349,0.0155172,0.0213461,0.012341,0.00912855,0,0.0328795,0,0.0109301,0.00935895,0.0056461,0.022527,0.0090782,0.0139714,0.0321972,0.0236014,0,0,0.0229959,0,0.0124732,0.0156339,0.0489128,0.00847639,0.0216294,0.0153397,0.0335565,0.0172725,0.0151971,0.0631849,0.016766,0.0171335,0.0118734,0.00767124,0.0120757,0.0132109,0.023031,0.0107944,0.00615271,0.00795725,0.019877,0.0263837,0,0,0,0.0572934
32,0.0220403,0.0114734,0,0,0,0.026389,0.0147901,0.00827194,0.0271284,0,0,0,0,0.0175159,0,0.0181975,0.0117689,0.0407517,0.00789261,0.0270727,0.0214211,0,0,0.0371663,0.00872198,0.0124823,0.0195989,0.0123302,0.0150782,0.0213588,0.0124204,0.00956613,0,0.0344671,0,0.0105775,0.00940307,0.0056344,0.0250453,0.00890634,0.0137067,0.0325752,0.0232944,0,0,0.0235961,0,0.0127571,0.0161269,0.0489045,0.00750829,0.0218469,0.0151818,0.0337302,0.0159469,0.0157259,0.0634,0.0171848,0.0180245,0.0118265,0.00780367,0.0118494,0.0133293,0.0269872,0.0108547,0.00680062,0.00813835,0.019537,0.0258374,0,0,0,0.0569136
33,0.0219631,0.0116965,0,0,0,0.0270268,0.0147596,0.00880888,0.0270016,0,0,0,0,0.0172449,0,0.0182141,0.0115927,0.040844,0.00834927,0.0269494,0.0208576,0,0,0.0374108,0.00837883,0.0117382,0.0190491,0.0121225,0.0148383,0.0214393,0.012549,0.00969289,0,0.0353322,0,0.0103681,0.00942137,0.00547917,0.0272557,0.00876322,0.0132556,0.0331415,0.0230319,0,0,0.0241103,0,0.013058,0.0164721,0.0488928,0.00662493,0.0219745,0.0149734,0.0342066,0.0146482,0.0162656,0.0636011,0.0174843,0.0187567,0.0121686,0.0080577,0.0116711,0.0139753,0.0311062,0.0110632,0.00758434,0.00832235,0.0194001,0.0253337,0,0,0,0.0564179
34,0.0218646,0.0118814,0,0,0,0.0268241,0.0147652,0.00888798,0.0269781,0,0,0,0,0.0166299,0,0.0182389,0.0112385,0.0408102,0.00955221,0.0268476,0.0199821,0,0,0.0375269,0.00801806,0.0112728,0.0184632,0.0118174,0.0147986,0.0214169,0.0127578,0.00956445,0,0.0356844,0,0.010146,0.00942544,0.00513311,0.0292184,0.00864448,0.0127469,0.0336044,0.0227668,0,0,0.0245849,0,0.0133284,0.0167065,0.0489181,0.00671144,0.0220955,0.0148138,0.0345746,0.0135284,0.0165234,0.063796,0.0177285,0.0191886,0.0128647,0.00835337,0.0115419,0.0150763,0.0343873,0.0114384,0.00837384,0.00849658,0.0193676,0.0249212,0,0,0,0.0560817
35,0.0217827,0.0119991,0,0,0,0.0264669,0.014758,0.00860508,0.0271925,0,0,0,0,0.0159637,0,0.0183557,0.0109028,0.0407954,0.0102478,0.0268484,0.0195593,0,0,0.0373621,0.00770726,0.010915,0.0179146,0.0115775,0.0149944,0.0213984,0.0130816,0.0099769,0,0.0355028,0,0.00973755,0.0094574,0.00477117,0.0312235,0.00857815,0.0122698,0.0338392,0.022571,0,0,0.024941,0,0.0135449,0.0168886,0.0490408,0.00791307,0.0221397,0.0147315,0.0346968,0.0125453,0.0165214,0.0638857,0.0178246,0.0192721,0.0137434,0.00863774,0.0114641,0.0164009,0.0372122,0.0119749,0.00912091,0.0085969,0.0192978,0.024796,0,0,0,0.0558703
36,0.0217453,0.0120877,0,0,0,0.0262294,0.0146428,0.00835849,0.0275373,0,0,0,0,0.0156718,0,0.0185421,0.0108586,0.0407943,0.0107455,0.0269005,0.0193609,0,0,0.0370171,0.00741421,0.010715,0.0173985,0.0114477,0.015298,0.0213754,0.013652,0.0105557,0,0.0351,0,0.00952126,0.00952945,0.00471347,0.0331094,0.00856669,0.0118475,0.0339865,0.0224092,0,0,0.025371,0,0.013772,0.01712,0.0491362,0.00948482,0.0221585,0.014728,0.0347541,0.0117241,0.0163457,0.0638337,0.0177739,0.0190442,0.0146101,0.00884992,0.0114214,0.0176699,0.0394398,0.0126745,0.00968687,0.00864925,0.0193399,0.0249145,0,0,0,0.0557195
37,0.0217141,0.0121398,0,0,0,0.0253144,0.0145632,0.00785597,0.0278987,0,0,0,0,0.0154703,0,0.01864,0.0108976,0.0406687,0.0115787,0.0269184,0.0190112,0,0,0.0366494,0.00713769,0.0107343,0.0168638,0.0114045,0.0154275,0.0211301,0.0138982,0.0108223,0,0.0344229,0,0.00944417,0.00956053,0.00468603,0.0346,0.00857425,0.0115184,0.034117,0.0223272,0,0,0.0258454,0,0.0139975,0.0173938,0.049193,0.0112508,0.0221722,0.0146249,0.0349286,0.0111246,0.0160644,0.0637112,0.0176557,0.0186016,0.0153484,0.00897745,0.0114414,0.0187905,0.0416756,0.0133782,0.0101806,0.00868,0.0193455,0.0251342,0,0,0,0.0556562
38,0.0216722,0.0121919,0,0,0,0.0241624,0.0145243,0.00736116,0.0282185,0,0,0,0,0.0152891,0,0.0186551,0.0109166,0.0404879,0.0126397,0.0269832,0.0185649,0,0,0.0363062,0.00700328,0.0108091,0.0165523,0.0113792,0.0155122,0.0207067,0.0135225,0.0112521,0,0.0335654,0,0.00936488,0.00954153,0.00456458,0.0360378,0.00857721,0.0112614,0.0341733,0.0223355,0,0,0.0263146,0,0.0142065,0.0177568,0.0492882,0.0129503,0.0221927,0.014378,0.0351602,0.0106156,0.015726,0.0635248,0.0174921,0.0180562,0.0158759,0.0090206,0.0114745,0.0196478,0.0438322,0.014014,0.0107539,0.00873371,0.0192985,0.0253716,0,0,0,0.0555921
39,0.0216857,0.0122785,0,0,0,0.0232309,0.014522,0.00729301,0.0284859,0,0,0,0,0.0150787,0,0.0186472,0.0108882,0.0403194,0.0137199,0.0271421,0.0182957,0,0,0.036069,0.00696525,0.0108607,0.0164526,0.0115439,0.0157063,0.0203771,0.0134303,0.0120735,0,0.0328651,0,0.00918373,0.00950894,0.0044011,0.0374601,0.00855967,0.0110316,0.0341642,0.0223755,0,0,0.0266798,0,0.0143642,0.0181009,0.0495017,0.0145865,0.0221498,0.01416,0.0354164,0.0102091,0.0153996,0.0633175,0.0173345,0.0173955,0.0161781,0.00901263,0.0114488,0.0202389,0.0457603,0.0144909,0.0111669,0.00873416,0.0193034,0.0255038,0,0,0,0.0554407
40,0.0217832,0.0124202,0,0,0,0.0226753,0.0144899,0.00765252,0.0286753,0,0,0,0,0.0149215,0,0.0187032,0.01082,0.0402361,0.014566,0.0273275,0.0182038,0,0,0.0359304,0.00696693,0.0108219,0.0164098,0.0119959,0.0156392,0.0204426,0.0136269,0.0133413,0,0.0324064,0,0.00905118,0.00953572,0.00431558,0.0388342,0.00852984,0.0108514,0.0340985,0.0224652,0,0,0.026975,0,0.0144844,0.0184084,0.0497298,0.0161886,0.0220212,0.0139909,0.0357174,0.00987073,0.0150115,0.0630665,0.0171325,0.0166351,0.0163825,0.00899481,0.0114085,0.0206174,0.0474724,0.0148056,0.0111178,0.0086762,0.019256,0.0255455,0,0,0,0.0551769
41,0.021893,0.0125348,0,0,0,0.0223018,0.0144393,0.00804793,0.0287383,0,0,0,0,0.0148803,0,0.0187394,0.0107879,0.0401799,0.0147661,0.0274259,0.01786,0,0,0.0359287,0.00693628,0.0108177,0.0163701,0.0123684,0.0154997,0.0206505,0.0138272,0.0142018,0,0.0317974,0,0.00903319,0.00955447,0.00427596,0.0398595,0.00846523,0.0107412,0.0339918,0.0224786,0,0,0.0272124,0,0.014613,0.0187621,0.049846,0.0178119,0.0219091,0.0138307,0.0361507,0.0095975,0.0145969,0.0628323,0.0169018,0.0157975,0.016584,0.00902687,0.0114443,0.0209006,0.0486819,0.0149897,0.0106944,0.00865047,0.019286,0.0254581,0,0,0,0.0548905
42,0.0219633,0.0127952,0,0,0,0.0217636,0.0143905,0.00852697,0.0286861,0,0,0,0,0.0148977,0,0.0187259,0.0108013,0.0400571,0.0152791,0.0274331,0.0171857,0,0,0.0360524,0.00672339,0.0107367,0.0163681,0.0124048,0.015309,0.0209728,0.0138654,0.0143241,0,0.0307394,0,0.0091338,0.00955332,0.00427869,0.0405499,0.00845252,0.0107193,0.0339198,0.022404,0,0,0.0274659,0,0.0148668,0.0192214,0.0498643,0.0194534,0.0219029,0.0136024,0.0367548,0.00935527,0.0142921,0.062604,0.0166577,0.0149761,0.0168209,0.00911456,0.0115556,0.0211548,0.0498827,0.0151274,0.0105894,0.00875404,0.0193176,0.0252172,0,0,0,0.0546131
43,0.0219949,0.0131159,0,0,0,0.0205948,0.0143983,0.00912355,0.0286325,0,0,0,0,0.0149799,0,0.0186508,0.0107596,0.0398594,0.0160815,0.0273864,0.0165758,0,0,0.0362946,0.00643653,0.0106757,0.0164971,0.0119323,0.0153245,0.021192,0.0140479,0.0140848,0,0.0294552,0,0.00919978,0.00953609,0.00425036,0.0411563,0.0084237,0.0108028,0.0338626,0.0222767,0,0,0.0277376,0,0.0151182,0.019549,0.0499104,0.0210538,0.0219594,0.0132597,0.0374638,0.009201,0.0140906,0.0624234,0.0164104,0.014289,0.0170786,0.0092193,0.0116763,0.0214292,0.0510512,0.0152415,0.0104944,0.00887204,0.0193619,0.0249531,0,0,0,0.0543331
44,0.02202,0.0134922,0,0,0,0.0196153,0.0144965,0.00957198,0.0286132,0,0,0,0,0.0151322,0,0.0184863,0.0106495,0.0398409,0.0162279,0.0274186,0.0164903,0,0,0.0364823,0.00610073,0.010662,0.0168228,0.0117512,0.0155552,0.0213073,0.0148475,0.0146749,0,0.0283743,0,0.00922712,0.00948835,0.00420617,0.0417219,0.00833121,0.0109625,0.0339819,0.022145,0,0,0.0279006,0,0.0152576,0.0197129,0.0500485,0.022757,0.0219477,0.0127364,0.0380862,0.00912329,0.0139739,0.0622364,0.0160833,0.0137384,0.0174033,0.00937611,0.0117762,0.0217753,0.0521537,0.0152902,0.0101768,0.00895461,0.0195572,0.0247533,0,0,0,0.0539435
45,0.0220462,0.0138851,0,0,0,0.0188588,0.0145473,0.00977662,0.0285452,0,0,0,0,0.0154965,0,0.0184486,0.0106818,0.0397782,0.0162889,0.0274166,0.0163333,0,0,0.0366531,0.00567502,0.0104789,0.0172067,0.0116802,0.0157459,0.0212662,0.0154552,0.0150492,0,0.0270537,0,0.00932438,0.00948155,0.00421785,0.0422748,0.00822099,0.0111851,0.0340535,0.0219556,0,0,0.0279585,0,0.0153536,0.0198436,0.0501201,0.024531,0.0219711,0.0123187,0.0386426,0.00902802,0.0138586,0.062016,0.01575,0.0132048,0.0177664,0.00956915,0.0119237,0.0221512,0.0529773,0.0153692,0.0100023,0.00905667,0.01986,0.0246202,0,0,0,0.0536645
46,0.0220443,0.014272,0,0,0,0.0181599,0.0145968,0.00993652,0.0285542,0,0,0,0,0.0160381,0,0.0184923,0.0108429,0.0396061,0.016505,0.0274004,0.0160062,0,0,0.0368205,0.00531246,0.010152,0.0174732,0.0116911,0.0159604,0.0209145,0.0156336,0.0151638,0,0.0254595,0,0.00946516,0.00947236,0.00426699,0.0427279,0.00811296,0.0114139,0.0340968,0.0217375,0,0,0.0280202,0,0.0154413,0.0200335,0.0502188,0.0263771,0.0220749,0.0120095,0.0391312,0.00898337,0.0137483,0.0618173,0.015426,0.0126727,0.0180602,0.00963921,0.0121376,0.0225177,0.0536632,0.0154696,0.0098664,0.00922398,0.0202246,0.0245515,0,0,0,0.0535148
47,0.0220142,0.0146508,0,0,0,0.0172437,0.0146236,0.0100148,0.0284887,0,0,0,0,0.016644,0,0.0183992,0.01097,0.0394144,0.0167514,0.0274059,0.0158071,0,0,0.0369598,0.00502971,0.00980372,0.0176571,0.0117353,0.0163197,0.0209021,0.0157593,0.0152251,0,0.0236388,0,0.00959079,0.00944972,0.00439525,0.0430209,0.00799594,0.0115871,0.0341022,0.0215349,0,0,0.0281571,0,0.0155427,0.0202571,0.0503902,0.0278062,0.0223616,0.0117561,0.0395629,0.00902049,0.0136785,0.0616864,0.0151322,0.0123257,0.0181783,0.00955827,0.012279,0.0227402,0.0542072,0.0155021,0.0094522,0.00944476,0.0205116,0.0245169,0,0,0,0.0531571
48,0.0219798,0.0150675,0,0,0,0.0156742,0.0146085,0.0100639,0.0283253,0,0,0,0,0.0172507,0,0.0183693,0.0111362,0.0392381,0.0171378,0.0274318,0.0155698,0,0,0.0370549,0.004768,0.00956748,0.0177005,0.0116054,0.0166338,0.0211125,0.0158746,0.0153733,0,0.0216906,0,0.00983947,0.00943746,0.00453448,0.0431435,0.0078786,0.0118618,0.0339965,0.0213378,0,0,0.0283397,0,0.0156815,0.0204875,0.0503599,0.0294831,0.0228273,0.0115501,0.0399351,0.00914046,0.0136029,0.0614639,0.0147993,0.0120386,0.018193,0.00951108,0.012384,0.0228802,0.0547623,0.015503,0.0088867,0.00976283,0.0208228,0.0244245,0,0,0,0.0526849
49,0.0219427,0.0155113,0,0,0,0.014289,0.0146153,0.0101919,0.0282098,0,0,0,0,0.0178385,0,0.0184073,0.0113327,0.0390841,0.0176188,0.0274338,0.0149573,0,0,0.0371804,0.00441953,0.00930018,0.0177528,0.0114219,0.0167648,0.0210373,0.0156839,0.0155531,0,0.0199952,0,0.0101,0.00945669,0.00471331,0.0434357,0.00779575,0.012249,0.0338119,0.0211153,0,0,0.0285062,0,0.0158495,0.0207116,0.0502984,0.0307665,0.0231771,0.0113395,0.0403584,0.0092524,0.0133566,0.0612207,0.014436,0.0117856,0.0180666,0.00950554,0.0124357,0.0228118,0.0555016,0.0155366,0.0085578,0.0100386,0.0210599,0.0242618,0,0,0,0.0523094
50,0.0218701,0.015974,0,0,0,0.0137679,0.0146327,0.0105363,0.0280723,0,0,0,0,0.0183137,0,0.0184056,0.0114438,0.0389705,0.0184146,0.0274313,0.0142468,0,0,0.037351,0.00405142,0.0090202,0.0178599,0.011457,0.0168351,0.0208973,0.0154485,0.0156348,0,0.0189353,0,0.0103225,0.00946914,0.00480802,0.0436359,0.00771497,0.0125116,0.033651,0.0208684,0,0,0.028658,0,0.0160008,0.0209002,0.0502997,0.0314456,0.0234092,0.0111654,0.0408098,0.00939574,0.013094,0.0610122,0.0140381,0.0115781,0.0177921,0.00948866,0.0124131,0.0225924,0.0561222,0.0155894,0.00838311,0.0102565,0.0213979,0.0240966,0,0,0,0.0521031
51,0.021762,0.0164893,0,0,0,0.01313,0.0146538,0.0109137,0.0279494,0,0,0,0,0.0188197,0,0.0184326,0.0114438,0.0388927,0.019254,0.027387,0.0137185,0,0,0.0375897,0.00363886,0.0089751,0.0178579,0.011639,0.0169897,0.0208738,0.0159289,0.0156879,0,0.0181316,0,0.0104898,0.00948675,0.00484687,0.0436253,0.00766056,0.0125189,0.0335418,0.0206175,0,0,0.02881,0,0.0161667,0.0211173,0.050367,0.0313234,0.0235102,0.0110801,0.041225,0.00960665,0.0128336,0.0608364,0.0136227,0.0113616,0.0173203,0.0093621,0.0123605,0.022134,0.0564489,0.01566,0.00828059,0.0104402,0.0218672,0.0239399,0,0,0,0.0516265
52,0.0216599,0.0169002,0,0,0,0.0128805,0.0146819,0.0110098,0.0279688,0,0,0,0,0.0192671,0,0.0183711,0.0114437,0.0389262,0.0197801,0.0273789,0.0135306,0,0,0.0377929,0.00336843,0.00879287,0.0176722,0.0117932,0.0171777,0.0207724,0.0162189,0.0161633,0,0.01735,0,0.0108219,0.00947284,0.00490935,0.0433365,0.00764092,0.0124185,0.0334518,0.0204255,0,0,0.0288903,0,0.0163281,0.0212976,0.0505399,0.0307132,0.0236063,0.0110635,0.0415362,0.00983576,0.0126259,0.0607646,0.0132673,0.0111603,0.016678,0.00919708,0.0122557,0.0214981,0.056236,0.0157441,0.00821954,0.0105965,0.0223285,0.0237863,0,0,0,0.0510798
53,0.021319,0.0182264,0,0,0,0.0124455,0.0145492,0.01462,0.0267903,0,0,0,0,0.0196523,0,0.0184327,0.011338,0.0375924,0.0235691,0.0262502,0.0155556,0,0,0.0397749,0.00282342,0.0102672,0.0202873,0.0163389,0.0205199,0.0220819,0.020465,0,0,0.013446,0,0.0111174,0.00957465,0.00487805,0.0430132,0.00757291,0.0126241,0.0340517,0.0196022,0,0,0.0297555,0,0.0168859,0.021961,0.0503056,0.0297306,0.024428,0.011694,0.0430432,0.0106165,0.0131682,0.0612915,0.0136253,0.0115903,0.0159705,0.00861677,0.0123704,0.0209075,0.0551952,0.016085,0.00822003,0.0113028,0.0238612,0.0230682,0,0,0,0.0518663
54,0.0213795,0.0172051,0,0,0,0.0113871,0.0147904,0.0103287,0.0275707,0,0,0,0,0.0196487,0,0.0185307,0.0114725,0.038941,0.0196693,0.0270876,0.0128175,0,0,0.0381904,0.00271155,0.00801369,0.0169719,0.0111648,0.0166273,0.02009,0.0153053,0.0169105,0,0.0150872,0,0.0112378,0.00951744,0.00476119,0.0423703,0.00756852,0.0124616,0.0336445,0.0202355,0,0,0.0289895,0,0.0165599,0.0214229,0.0507046,0.028867,0.0238812,0.0114477,0.0421236,0.0102223,0.0128771,0.0607856,0.0130215,0.0109686,0.0152413,0.00869084,0.0119934,0.0202485,0.0540749,0.0156447,0.00806543,0.0109632,0.022993,0.0237103,0,0,0,0.0504191
55,0.0209022,0.0185748,0,0,0,0.0106249,0.0147242,0.0142216,0.0258046,0,0,0,0,0.0198749,0,0.0186061,0.0111801,0.0376121,0.0242441,0.0259493,0.015729,0,0,0.0402861,0.00213044,0.00962619,0.0193831,0.0165427,0.0203275,0.0218719,0.0201671,0,0,0.0111636,0,0.0114093,0.0096023,0.00462427,0.0411333,0.00755626,0.0129059,0.0344077,0.0192822,0,0,0.0296233,0,0.0171336,0.022073,0.0503816,0.0277558,0.0245526,0.0122651,0.0434167,0.0111038,0.0136235,0.0612679,0.0134826,0.0113606,0.0144447,0.00809553,0.0119897,0.0191673,0.0520189,0.0158682,0.00826293,0.0116033,0.0245553,0.0230154,0,0,0,0.0509575
56,0.0209202,0.0174678,0,0,0,0.0102867,0.0150051,0.0102936,0.026962,0,0,0,0,0.0195352,0,0.01863,0.0111475,0.0388297,0.0203014,0.0267373,0.0122573,0,0,0.0387022,0.0022063,0.00725313,0.0160064,0.0113345,0.0160291,0.0195278,0.0139128,0.0166348,0,0.0140668,0,0.0114613,0.00949897,0.0044959,0.0392752,0.007547,0.0128322,0.0340636,0.0198169,0,0,0.0287488,0,0.0167821,0.0214841,0.0506513,0.026482,0.0239746,0.0120838,0.0423826,0.0106619,0.01316,0.0608601,0.0129323,0.0107906,0.0135467,0.00829608,0.0115244,0.0179784,0.0495646,0.0153752,0.00816536,0.0111843,0.0236718,0.023715,0,0,0,0.0494122
57,0.0204301,0.0187697,0,0,0,0.00810023,0.014901,0.0137797,0.0254004,0,0,0,0,0.0194183,0,0.0186274,0.0109029,0.0375329,0.0246089,0.0257091,0.0157777,0,0,0.0407668,0.00156186,0.00864189,0.0184791,0.0169109,0.0198841,0.0212407,0.0187069,0,0,0.00896651,0,0.0115619,0.00954641,0.00438478,0.0366702,0.00757339,0.0134662,0.0347431,0.0188553,0,0,0.029313,0,0.0173353,0.0220389,0.0502841,0.0250217,0.0246935,0.0128478,0.0434994,0.0115369,0.0137515,0.0614654,0.0134374,0.0111982,0.0127477,0.00774053,0.011589,0.0165749,0.0458035,0.015595,0.00835081,0.0117561,0.0251494,0.0229627,0,0,0,0.0499565
58,0.0202401,0.0188976,0,0,0,0.0091919,0.0149727,0.0144449,0.0252321,0,0,0,0,0.0190551,0,0.0186048,0.0108163,0.0375324,0.0259633,0.0255612,0.016533,0,0,0.0412457,0.00122465,0.00854933,0.0183141,0.0177459,0.0205761,0.0217019,0,0,0,0.00902734,0,0.0116401,0.00947304,0.0042338,0.0331386,0.00754805,0.0137554,0.0350974,0.0186785,0,0,0.0292473,0,0.0173881,0.0220142,0.0501736,0.0236503,0.0247813,0.0132608,0.0435932,0.0117505,0.0140302,0.0616706,0.0136892,0.0112636,0.0118222,0.00748279,0.0114298,0.014932,0.0414116,0.0155946,0.00835867,0.0117401,0.025442,0.022919,0,0,0,0.0494439
59,0.0199773,0.0188826,0,0,0,0.00862605,0.0150849,0.0140393,0.0250946,0,0,0,0,0.0187876,0,0.0187593,0.0107703,0.0375204,0.0259693,0.0254092,0.0164768,0,0,0.0415453,0.00101187,0.00870773,0.0176005,0.0182988,0.0203173,0.0213291,0,0,0,0.00831126,0,0.0117333,0.00948156,0.00415625,0.0291453,0.00751725,0.0140069,0.035375,0.0184802,0,0,0.0291557,0,0.0174001,0.02199,0.0500512,0.022313,0.0247932,0.0137676,0.0435267,0.0119409,0.0144504,0.0617198,0.0141457,0.0115408,0.0108934,0.00725058,0.0112315,0.0130792,0.0364063,0.0156912,0.0084492,0.0117081,0.0256751,0.0228268,0,0,0,0.0489605
60,0.0196619,0.0188515,0,0,0,0.00782049,0.0152168,0.0136604,0.0248581,0,0,0,0,0.0187622,0,0.018889,0.0107331,0.0375485,0.0255896,0.0252301,0.0164649,0,0,0.0418643,0.00117008,0.00862544,0.0170002,0.0177224,0.0199909,0.0208753,0,0,0,0.00769761,0,0.0119145,0.00950468,0.00413381,0.0249945,0.0075112,0.0143718,0.0356123,0.018295,0,0,0.0291734,0,0.0174335,0.0220041,0.0499154,0.0211732,0.0248726,0.0144318,0.0434621,0.0122002,0.0151554,0.061756,0.0148667,0.0122647,0.0102573,0.00709822,0.0110966,0.0113697,0.0309571,0.0158498,0.00853162,0.011717,0.025919,0.0227307,0,0,0,0.0483988
61,0.0193248,0.0188322,0,0,0,0.00759528,0.0153946,0.0132656,0.024513,0,0,0,0,0.018996,0,0.0189291,0.0108341,0.0375885,0.0250496,0.0250582,0.0163971,0,0,0.0422475,0.00151386,0.00820771,0.0165584,0.0169238,0.0196009,0.0202824,0,0,0,0.00706178,0,0.0120979,0.00946838,0.00405178,0.0209001,0.00752121,0.0148353,0.0358259,0.0181364,0,0,0.0292166,0,0.0174706,0.022042,0.0497467,0.0206735,0.024958,0.0151096,0.0434447,0.012544,0.0161995,0.061841,0.0159386,0.0135383,0.00990682,0.00702485,0.0110272,0.00996002,0.0253291,0.0159868,0.0086185,0.0117577,0.0262149,0.0226536,0,0,0,0.0476938
62,0.01899,0.0188781,0,0,0,0.00763601,0.0156386,0.0126794,0.0240365,0,0,0,0,0.019323,0,0.0189145,0.0111306,0.0375856,0.0244248,0.0248911,0.016131,0,0,0.0426946,0.00177371,0.00787851,0.0160654,0.0163491,0.0195292,0.0196867,0,0,0,0.00608863,0,0.0123039,0.00937777,0.00400846,0.0175466,0.00753123,0.0153036,0.0360375,0.0179962,0,0,0.0292291,0,0.0175144,0.0220788,0.0494801,0.0204892,0.0250437,0.015742,0.0435552,0.0129185,0.0174242,0.0619609,0.0173876,0.0151166,0.00970007,0.00701593,0.0108964,0.00880589,0.0200107,0.0160936,0.00877569,0.0117925,0.0266013,0.0226012,0,0,0,0.0468471
63,0.0187285,0.0180689,0,0,0,0.0213346,0.0158608,0.016412,0.0243411,0,0,0,0,0.019057,0,0.0190324,0.0112147,0.0388742,0.0289774,0.0256184,0.0115482,0,0,0.0414553,0.0028951,0.0074105,0.0120871,0.0113244,0.0161058,0.0179735,0.0139941,0.0157247,0,0.0218901,0,0.0122088,0.00933814,0.00396189,0.0139336,0.00750902,0.0152918,0.035378,0.018327,0,0,0.0287718,0,0.0172986,0.0218156,0.0496047,0.0201524,0.0244203,0.0158404,0.0425556,0.0127963,0.0182505,0.0616768,0.0186031,0.0163462,0.00908277,0.00754017,0.0102406,0.0071907,0.0145214,0.0159757,0.00888353,0.0115616,0.0260978,0.0229102,0,0,0,0.0447724
64,0.0182601,0.0184259,0,0,0,0.021486,0.016057,0.0161205,0.0242386,0,0,0,0,0.0194052,0,0.0191046,0.0113792,0.0389913,0.0286317,0.025561,0.0112806,0,0,0.0418702,0.00304414,0.00762067,0.011714,0.0116982,0.0155372,0.0179445,0.0142087,0.0156134,0,0.0218708,0,0.0124091,0.00931523,0.00400394,0.0120162,0.00755574,0.0154427,0.035317,0.0180263,0,0,0.0288468,0,0.0174851,0.0219387,0.049294,0.0202988,0.0244509,0.0162503,0.0427931,0.0133012,0.0194371,0.0620185,0.0204193,0.0178839,0.00906216,0.00778821,0.0098777,0.00644317,0.00977687,0.0159515,0.00903639,0.0117109,0.0266005,0.0226977,0,0,0,0.0438374
65,0.0178302,0.0188251,0,0,0,0.0214369,0.016238,0.0159138,0.0236136,0,0,0,0,0.0199264,0,0.0191315,0.0114928,0.0392408,0.0284125,0.0254755,0.0111124,0,0,0.0423669,0.00322576,0.00789293,0.0116633,0.0118364,0.014841,0.0178481,0.0145338,0.0153755,0,0.0218421,0,0.0126715,0.00926309,0.00407277,0.0104277,0.00758009,0.0151169,0.0353012,0.0177571,0,0,0.0288539,0,0.0176383,0.0220575,0.0489744,0.0199766,0.0244356,0.0165602,0.0431322,0.013743,0.0202155,0.0624632,0.0220372,0.0191392,0.00900141,0.00806705,0.00921728,0.00612865,0.00831729,0.0158219,0.00917469,0.0118854,0.0271902,0.0225079,0,0,0,0.0430412
