Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
556,0.0220406,0.046795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322404,0,0,0.0571559,0,0,0.0178822,0,0,0.0579503,0,0.0643415,0.013017,0.0108908,0.0401554,0.056788,0.0434827,0.0504971,0,0.0704312,0.0506118,0.0474562,0.059408,0.0588376,0.0245522,0.0399885,0.0125862,0.0146738,0.0357155,0,0.0219978,0.068387,0.0135256,0,0,0.0213296,0,0,0.0379254,0.0443713,0.036049,0.0066549,0.033879,0.0402479,0.0248035,0.074621,0.0901628,0.0587391,0.0316648,0.0602064,0.039978,0.0406762,0.0653063,0.017334,0.0228676,0.0161629,0.0119478,0.0266139,0.0310073,0,0,0,0
557,0.0221982,0.046792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036134,0,0,0.0574539,0,0,0.0177527,0,0,0.0578731,0,0.0641999,0.0127009,0.0100659,0.0402429,0.056306,0.0433898,0.0500542,0,0.0703078,0.050034,0.0469739,0.0589531,0.0581499,0.0200245,0.0400765,0.0124786,0.0146241,0.0354883,0,0.0222982,0.0680891,0.0135065,0,0,0.0212603,0,0,0.0380004,0.0445911,0.0360251,0.00667245,0.0337516,0.0401995,0.0248141,0.0747231,0.0902235,0.0585449,0.0317481,0.0602774,0.0399892,0.04079,0.0652876,0.0175357,0.0229012,0.0160323,0.0118659,0.0265838,0.0307344,0,0,0,0
558,0.0223429,0.0467562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392177,0,0,0.0576608,0,0,0.0176373,0,0,0.0577415,0,0.0642035,0.0124548,0.00953796,0.0405183,0.0559612,0.042906,0.0496476,0,0.0702671,0.0496705,0.0466664,0.0586496,0.057779,0.0168638,0.0402451,0.0126501,0.0141417,0.0353704,0,0.0223045,0.0678848,0.0140542,0,0,0.0212716,0,0,0.0380213,0.0446888,0.0360176,0.00673459,0.0335653,0.0400193,0.0250292,0.0747156,0.0902485,0.0583769,0.0317377,0.0603062,0.0400455,0.0407773,0.0651684,0.0176241,0.022961,0.0158543,0.0118085,0.0265418,0.0305231,0,0,0,0
559,0.0230151,0.0464256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413557,0,0,0.0579162,0,0,0.0178945,0,0,0.0579996,0,0.0641723,0.0123418,0.00943878,0.0406265,0.0558451,0.0422344,0.0495449,0,0.0703589,0.0494916,0.0464599,0.0586262,0.0577824,0.0148852,0.0399959,0.0123254,0.0144887,0.0351776,0,0.0224341,0.0677656,0,0,0,0.0212571,0,0,0.037771,0.0447404,0.0362798,0.00670663,0.0335297,0.0398853,0.0239388,0.0749181,0.0904741,0.0584962,0.0317371,0.0601078,0.039832,0.040501,0.0649092,0.0178637,0.0225961,0.0157448,0.0121737,0.0264123,0.0284098,0,0,0,0
560,0.0227465,0.046652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427293,0,0,0.0577651,0,0,0.0177574,0,0,0.0575938,0,0.0643147,0.0120756,0.00965811,0.0410318,0.0550742,0.0425596,0.0494535,0,0.0701525,0.0497807,0.0466516,0.0589314,0.0581913,0.0133994,0.0406618,0.012225,0.0146855,0.0349205,0,0.0223802,0.0678455,0.0137089,0,0,0.0213673,0,0,0.0381418,0.044342,0.0360819,0.00681705,0.0334,0.0397872,0.0252115,0.0747746,0.0902538,0.0583198,0.0316538,0.0603251,0.0400339,0.0408211,0.065103,0.0180056,0.0228346,0.0153351,0.0118126,0.0264907,0.0297518,0,0,0,0
561,0.0229155,0.046666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432788,0,0,0.0577031,0,0,0.0177273,0,0,0.0574675,0,0.0646962,0.0118312,0.0101433,0.0412558,0.0546513,0.0427293,0.0494711,0,0.0700013,0.050203,0.0469421,0.0594905,0.058799,0.0127074,0.0407981,0.0121167,0.0147627,0.0347454,0,0.0224577,0.0679746,0.0134886,0,0,0.0212136,0,0,0.0382186,0.0439042,0.0362004,0.00696839,0.0333267,0.039731,0.0252893,0.0748447,0.090281,0.0582055,0.0316,0.0603366,0.0400015,0.0407649,0.0651388,0.0181472,0.022852,0.0151817,0.0118478,0.0265113,0.0295219,0,0,0,0
562,0.0236737,0.0462004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433521,0,0,0.0577601,0,0,0.0178234,0,0,0.0576362,0,0.0649956,0.0117275,0.0107488,0.0412775,0.0547088,0.0425338,0.0496203,0,0.0699624,0.050613,0.047256,0.0601451,0.0594421,0.0126168,0.0404585,0.0119889,0.0147283,0.0346895,0,0.0225972,0.0680762,0,0,0,0.0209075,0,0,0.0379779,0.043564,0.0365186,0.00704266,0.0332157,0.0397045,0.0243607,0.0750859,0.0905232,0.0582206,0.0316105,0.0601887,0.0397289,0.0404697,0.0649997,0.0182768,0.0227055,0.0152196,0.0123527,0.0262894,0.0278012,0,0,0,0
563,0.023354,0.0464559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433529,0,0,0.0574918,0,0,0.0177519,0,0,0.0573134,0,0.0651637,0.0117571,0.011176,0.0416982,0.0543231,0.0421209,0.0496983,0,0.0698118,0.0510863,0.0476815,0.0607514,0.0600848,0.0127383,0.0412056,0.0122508,0.0149056,0.0345875,0,0.0225586,0.068356,0.0140285,0,0,0.02116,0,0,0.038303,0.0431691,0.0363473,0.00730141,0.0330015,0.0396006,0.0251787,0.0748722,0.0902844,0.0579832,0.0315384,0.0604058,0.0398971,0.0406813,0.0651904,0.0182864,0.0227828,0.0146776,0.0121569,0.0264096,0.0290042,0,0,0,0
564,0.0235238,0.0463382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428484,0,0,0.0574244,0,0,0.0177476,0,0,0.0571795,0,0.0653024,0.0118145,0.0115866,0.0418441,0.0542689,0.0417689,0.0498921,0,0.0696857,0.0514884,0.048056,0.0611911,0.060551,0.0132881,0.041418,0.0121747,0.0149521,0.0343739,0,0.0226001,0.0685185,0.0141792,0,0,0.0209301,0,0,0.0383214,0.0429152,0.0364392,0.00744644,0.032878,0.0395411,0.0250892,0.0748807,0.0903071,0.0579427,0.031544,0.0603966,0.0398976,0.040733,0.0651064,0.018406,0.0227175,0.0145742,0.0124313,0.0263552,0.0289184,0,0,0,0
565,0.0236059,0.0462721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421906,0,0,0.0573692,0,0,0.017824,0,0,0.0570854,0,0.0653863,0.0118726,0.0119435,0.041937,0.054254,0.0414802,0.0501232,0,0.0695552,0.0519892,0.0484114,0.061465,0.0608691,0.0140768,0.0416493,0.0122234,0.0149568,0.0340977,0,0.0227028,0.0686914,0.0142703,0,0,0.0207905,0,0,0.0382948,0.042726,0.0365635,0.007565,0.0328289,0.0394317,0.0250068,0.0748616,0.0903251,0.0580668,0.0316564,0.0604052,0.0399182,0.0407339,0.0650181,0.0184655,0.0226342,0.014474,0.0126245,0.0263659,0.0288456,0,0,0,0
