Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
63,0.0275745,0.0507441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318554,0,0.0293761,0.0697148,0,0,0.011871,0,0,0.0465167,0.0229921,0.0407808,0.0205174,0.0245691,0.0330022,0.0488247,0.033803,0.0546308,0.0774011,0.0625157,0.0602778,0.0552564,0.0576048,0.0579294,0.0267541,0.0380355,0.0205044,0.0104301,0.0221185,0,0.0192505,0.057125,0.0186133,0,0,0.0160103,0,0,0.0378783,0.0480811,0.0431021,0.0134452,0.0201441,0.0447924,0.0344815,0.069818,0.090192,0.0613592,0.0284311,0.0600383,0.0369148,0.0367694,0.0627952,0.0450908,0.0240774,0.0167643,0.0143893,0.0357013,0.0181273,0,0,0,0
64,0.0277161,0.0507357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318717,0,0.029404,0.06985,0,0,0.0117425,0,0,0.0464632,0.0232525,0.0406397,0.0206535,0.0246547,0.0327756,0.0488647,0.0337138,0.0549421,0.0773446,0.0625488,0.0602984,0.0552409,0.057518,0.0579103,0.0266572,0.0381144,0.0205606,0.0104962,0.0222854,0,0.0190603,0.0571002,0.0186279,0,0,0.0159573,0,0,0.0377948,0.0475815,0.0428331,0.0133256,0.0202609,0.0450162,0.034295,0.069791,0.0900309,0.0609479,0.0289925,0.0602739,0.0372244,0.0370137,0.062986,0.044714,0.02409,0.0167626,0.0144661,0.0356069,0.0180579,0,0,0,0
65,0.0278704,0.0506617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319501,0,0.0293871,0.0701187,0,0,0.0115437,0,0,0.0463881,0.0234245,0.0405223,0.0206825,0.0247295,0.0325,0.0488231,0.0335798,0.0546048,0.0774276,0.0625938,0.0602816,0.0551709,0.0576535,0.0578222,0.026288,0.0382957,0.0206081,0.0105122,0.0225277,0,0.0188602,0.0569127,0.0186425,0,0,0.0158965,0,0,0.0377169,0.0473227,0.0425243,0.0128687,0.020432,0.0452534,0.0341321,0.0699517,0.0898799,0.0605482,0.0294552,0.0604894,0.0377268,0.0372197,0.0631155,0.0440048,0.0241395,0.0167886,0.0146239,0.0355209,0.0179905,0,0,0,0
66,0.0278191,0.0502117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320174,0,0.0294772,0.0697069,0,0,0.0111798,0,0,0.0458077,0.0244655,0.0404432,0,0.025483,0.0337019,0.0478012,0.0334739,0.0541862,0.0777042,0.0630616,0.05999,0.0546621,0.0573661,0.0575866,0.0257042,0.0390038,0.0212162,0.0103657,0.0230743,0,0.0186591,0.0568494,0.0188016,0,0,0.0159329,0,0,0.0377023,0.0479194,0.0421895,0.0136249,0.0204527,0.047851,0.0345834,0.0702369,0.0897598,0.0600833,0.0302898,0.0606038,0.0381021,0.0373341,0.0631464,0.0424925,0.0244309,0.0167788,0.0148237,0.0345549,0.0179637,0,0,0,0
67,0.0279198,0.0504309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317873,0,0.0292658,0.0707508,0,0,0.0115971,0,0,0.0461751,0.0237486,0.0404388,0.0204145,0.0248384,0.0317375,0.0488699,0.0335501,0.0542431,0.0777392,0.0625155,0.0603426,0.0549728,0.0577084,0.0580281,0.0260433,0.0386308,0.0210141,0.0103501,0.0230421,0,0.0184653,0.0561708,0.0187508,0,0,0.0158586,0,0,0.0375373,0.0469893,0.0416874,0.0121177,0.0205988,0.0454115,0.0337011,0.0699775,0.0895603,0.059716,0.0299868,0.0608867,0.038498,0.0377499,0.0634708,0.0420146,0.0242631,0.0170332,0.0150355,0.0352536,0.0178377,0,0,0,0
68,0.0275635,0.0501878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320167,0,0.0291211,0.070794,0,0,0.011572,0,0,0.0461194,0.0237866,0.0403876,0.0204096,0.0248572,0.0314557,0.0488423,0.033376,0.0541913,0.0775289,0.062413,0.060309,0.0550373,0.0575418,0.0580445,0.0257113,0.03878,0.0211198,0.0103628,0.0235382,0,0.0182289,0.0564142,0.0189247,0,0,0.0158415,0,0,0.0374194,0.0470589,0.0413041,0.0118342,0.0205743,0.0454815,0.0335199,0.0700302,0.0894701,0.0594788,0.0303166,0.0610076,0.0387289,0.0379829,0.0635685,0.0406261,0.0243043,0.0170858,0.0152447,0.0350999,0.0177412,0,0,0,0
69,0.0274929,0.0500094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322847,0,0.0290446,0.0706831,0,0,0.0114603,0,0,0.0460389,0.0238231,0.0402773,0.0203518,0.0248333,0.0311562,0.0487271,0.0332871,0.0538263,0.0776555,0.0623334,0.0602936,0.0551301,0.0575116,0.0580063,0.025387,0.0389888,0.0210919,0.0103377,0.0241176,0,0.0180025,0.0567552,0.0190247,0,0,0.015844,0,0,0.0373479,0.0470778,0.0408687,0.0115226,0.0205345,0.0455398,0.0333371,0.0701058,0.0894147,0.0593541,0.030613,0.0610997,0.0389889,0.0382361,0.0636526,0.0389531,0.0243611,0.0171674,0.0152672,0.0350072,0.0176781,0,0,0,0
70,0.0276043,0.0499099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032581,0,0.0290314,0.0705487,0,0,0.0114937,0,0,0.0459822,0.0240087,0.0401677,0.020253,0.0247678,0.0309035,0.0486728,0.0333223,0.0534062,0.0777022,0.0622813,0.0603424,0.0551764,0.0575586,0.057937,0.02505,0.0391289,0.0211619,0.0103283,0.0249437,0,0.017779,0.0569856,0.019091,0,0,0.0158605,0,0,0.0372623,0.0468694,0.0403414,0.0111643,0.0204065,0.0456006,0.0332259,0.0700948,0.0893639,0.059351,0.0308647,0.0611711,0.0392794,0.0384505,0.063698,0.0369157,0.0243417,0.0172264,0.0152384,0.0349296,0.0176208,0,0,0,0
71,0.0277221,0.0498332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329768,0,0.0290089,0.0704336,0,0,0.0113541,0,0,0.045957,0.0249663,0.0400565,0.0200308,0.024682,0.0307245,0.0485836,0.0333037,0.0533233,0.077672,0.06221,0.0604236,0.0551385,0.0576339,0.0580608,0.0246345,0.0393062,0.0211851,0.0103563,0.0260314,0,0.0175813,0.057155,0.0191647,0,0,0.0159414,0,0,0.0372214,0.0467222,0.0397787,0.0106928,0.0202583,0.045664,0.0331411,0.0700581,0.0893664,0.0594176,0.0310698,0.0612,0.0395084,0.0385844,0.0637497,0.0346048,0.0242529,0.0172694,0.0152462,0.0348008,0.0175627,0,0,0,0
72,0.0278425,0.0497636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334127,0,0.0289289,0.0704141,0,0,0.0113362,0,0,0.0458967,0.0271392,0.0399215,0.0197328,0.0246277,0.0305799,0.0485127,0.0332405,0.0535017,0.0776163,0.0620258,0.0604945,0.0549967,0.0577188,0.0581699,0.0240461,0.0394611,0.02133,0.0103273,0.0273004,0,0.0174251,0.0572405,0.0192516,0,0,0.016022,0,0,0.0371734,0.0468035,0.0391886,0.0101134,0.02011,0.0456636,0.0331435,0.0700785,0.0892784,0.0595084,0.0311364,0.0611894,0.0396358,0.038671,0.0638317,0.0321339,0.024356,0.0173754,0.0152825,0.0346097,0.01751,0,0,0,0
73,0.0279472,0.0496667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337474,0,0.0288663,0.0702404,0,0,0.0112224,0,0,0.0458231,0.0282189,0.0398037,0.0195008,0.0247099,0.0304891,0.0484331,0.0332035,0.0534571,0.0774584,0.0619184,0.0605223,0.055029,0.0578122,0.0581531,0.0235806,0.0396425,0.0213717,0.010253,0.0287381,0,0.0173033,0.0572133,0.0193164,0,0,0.0161186,0,0,0.0371333,0.0468448,0.0385989,0.00947317,0.019966,0.0456993,0.0331432,0.0700954,0.0891841,0.059669,0.0311349,0.0612014,0.0397569,0.0387747,0.0639779,0.029525,0.0244785,0.017513,0.0153039,0.0343968,0.0174887,0,0,0,0
74,0.0277468,0.049678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341124,0,0.0289167,0.0698019,0,0,0.012748,0,0,0.0396753,0.0283825,0.0397309,0.0190758,0.0246024,0.0305033,0.0457065,0.0332447,0.0531097,0.0774119,0.0619473,0.0604767,0.0551795,0.057788,0.0579942,0.023162,0.0397969,0.0214226,0,0.0303244,0,0.0171683,0.0573777,0.0186197,0,0,0.0162691,0,0,0.0372978,0.0466127,0.0379601,0.00914779,0.0198266,0.0456013,0.0328117,0.0701307,0.0890488,0.059785,0.0313508,0.061238,0.0399711,0.0390831,0.0642324,0.0270731,0.024419,0.017685,0.0149816,0.0342745,0.0179083,0,0,0,0
75,0.0280977,0.0493373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342659,0,0.0289941,0.0696265,0,0,0.0108867,0,0,0.0459367,0.0276852,0.0395978,0.0190054,0.0245178,0.0303452,0.0479822,0.0330282,0.0526342,0.0772904,0.0618965,0.0605654,0.0553331,0.0579055,0.0580423,0.0229709,0.0399134,0.0211673,0.0111415,0.031999,0,0.0170609,0.0578633,0.0193644,0,0,0.0162949,0,0,0.0371458,0.0464169,0.0374923,0.0092611,0.0198768,0.0458538,0.032903,0.0702433,0.0890335,0.0599923,0.0316272,0.0611268,0.0400669,0.0392669,0.064345,0.0247448,0.0246911,0.0179276,0.0151371,0.0340419,0.0174696,0,0,0,0
76,0.0280242,0.0493158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340581,0,0.0292512,0.0693938,0,0,0.0108712,0,0,0.0459224,0.0265739,0.0395835,0.0188453,0.0244802,0.03024,0.047907,0.0328129,0.0523464,0.0771474,0.0618592,0.0606074,0.0553025,0.0580152,0.0581826,0.023148,0.0399025,0.0212578,0.0108375,0.0336499,0,0.0168883,0.0583467,0.0193189,0,0,0.0163898,0,0,0.0370857,0.0460973,0.0370882,0.00892207,0.0199176,0.0459105,0.0329329,0.0702047,0.0889469,0.0601287,0.0321202,0.0611693,0.0402478,0.0394752,0.0645245,0.0226449,0.0248023,0.0180083,0.0152179,0.0339109,0.0174911,0,0,0,0
77,0.0279819,0.0492375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339567,0,0.029354,0.0692905,0,0,0.011049,0,0,0.0459089,0.0274498,0.0395332,0.0185963,0.0243588,0.0300835,0.0479379,0.0326709,0.0522501,0.0770074,0.0617743,0.0606397,0.0551491,0.0579927,0.0582473,0.0230861,0.0398241,0.0214619,0.0106318,0.0351796,0,0.0167891,0.058386,0.0192377,0,0,0.0164521,0,0,0.0370303,0.0458316,0.0367903,0.00827629,0.0199731,0.0459075,0.0329153,0.070315,0.088876,0.060146,0.0326645,0.061244,0.0403353,0.0396253,0.0646887,0.0208124,0.0249451,0.0180809,0.0153727,0.0337454,0.0174749,0,0,0,0
78,0.0279903,0.0491558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340214,0,0.0293409,0.0691005,0,0,0.0111467,0,0,0.0458855,0.028896,0.0394396,0.0181274,0.0242236,0.030005,0.0480151,0.0326078,0.052184,0.0768066,0.0617538,0.0606797,0.0550864,0.0579432,0.0582555,0.0228446,0.0397927,0.0215366,0.0104727,0.0364584,0,0.0168005,0.0583542,0.0191167,0,0,0.0164657,0,0,0.0370288,0.0455744,0.0365075,0.00837634,0.0201351,0.0458818,0.0328166,0.0704165,0.0887861,0.0600696,0.0332572,0.0613815,0.0404024,0.0398404,0.0648338,0.0193568,0.025076,0.0181729,0.0154396,0.0335582,0.0175114,0,0,0,0
