Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
All Timesteps RMSE,0.0257529,0.0494285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044109,0,0.0290211,0.0610112,0,0,0.0160871,0,0,0.0482214,0.0344541,0.0465188,0.0110396,0.018088,0.0364278,0.0589681,0.0373709,0.0505621,0.0780823,0.0645538,0.060791,0.0568524,0.0570208,0.0576055,0.0305133,0.0364663,0.0198837,0.0102725,0.0321014,0,0.0204641,0.0663777,0.0148322,0,0,0.0176829,0,0,0.0363072,0.0428195,0.0405007,0.00895266,0.0275059,0.0400425,0.0322547,0.0738217,0.0943682,0.0627294,0.0245325,0.057704,0.0378971,0.0373848,0.0618309,0.0311382,0.0231202,0.0239915,0.0142631,0.0309631,0.0244295,0,0,0,0
0,0.0256041,0.0477276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380826,0,0.0265515,0.0615446,0,0,0.0118151,0,0,0.045599,0.0278976,0.0380358,0.0103667,0.0189839,0.0337075,0.0519283,0.0361122,0.0538369,0.076082,0.0623398,0.0648444,0.060299,0.0613321,0.062808,0.0210562,0.0387611,0.0213081,0.00957681,0.0264467,0,0.0200309,0.0657661,0.0159001,0,0,0.0151778,0,0,0.0346495,0.041801,0.0381471,0.0046272,0.0261415,0.0364918,0.0265426,0.0733885,0.0944934,0.0611983,0.0246579,0.0581163,0.0374445,0.0373702,0.0621675,0.0320031,0.0216666,0.0190271,0.0187723,0.0293633,0.0226244,0,0,0,0
1,0.0253736,0.047558,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378887,0,0.0261908,0.0618067,0,0,0.0118938,0,0,0.0457377,0.0274913,0.0382685,0.0101979,0.0193557,0.0336932,0.0523084,0.0359513,0.0536036,0.0760039,0.062147,0.0647709,0.0601631,0.061519,0.0626703,0.0210339,0.0385964,0.0211581,0.00959078,0.024569,0,0.0200568,0.0659236,0.0156872,0,0,0.0151147,0,0,0.0347101,0.0415663,0.0387534,0.00491407,0.0264424,0.0365802,0.0262156,0.0737622,0.0949984,0.0612432,0.0241808,0.0581191,0.03717,0.0371482,0.0621201,0.0355267,0.0215474,0.0189884,0.0190465,0.0293608,0.0228687,0,0,0,0
2,0.0251169,0.0474524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377718,0,0.0260781,0.0620479,0,0,0.0120067,0,0,0.0458587,0.0269375,0.0383271,0.0102709,0.0193903,0.0336873,0.0526042,0.0356844,0.0535134,0.0759755,0.0620543,0.0646439,0.0600362,0.0615231,0.0625894,0.0208046,0.0384686,0.0210902,0.00958044,0.0228242,0,0.0199603,0.065524,0.0155077,0,0,0.0149955,0,0,0.0348241,0.0414912,0.0392352,0.00530978,0.0266436,0.0367608,0.0261097,0.0739831,0.0954472,0.0614352,0.023288,0.0582262,0.0369504,0.0369415,0.0621076,0.0394112,0.0213188,0.018911,0.0192822,0.0292979,0.0231499,0,0,0,0
3,0.0248667,0.0474149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377776,0,0.0260963,0.0626128,0,0,0.012073,0,0,0.0459454,0.0262545,0.0383426,0.0106694,0.0194186,0.0336374,0.0528707,0.0354554,0.0534702,0.0758676,0.0619331,0.064557,0.0598283,0.0616208,0.0625213,0.020633,0.038411,0.0210726,0.00954518,0.021329,0,0.0198465,0.0648529,0.0153347,0,0,0.0145792,0,0,0.0349968,0.0416719,0.0397224,0.00569386,0.0268281,0.0368386,0.0262091,0.0741137,0.0958493,0.0617439,0.0224675,0.0583425,0.0368069,0.0367891,0.0621218,0.0436157,0.0211498,0.0188823,0.0195365,0.0293127,0.0233932,0,0,0,0
4,0.0242193,0.0474746,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380397,0,0.0259852,0.063354,0,0,0.0118015,0,0,0.045839,0.0254375,0.0379282,0.0111804,0.0195027,0.0327261,0.053374,0.0348389,0.0529537,0.0754749,0.0614482,0.0648624,0.0598847,0.0619705,0.0627366,0.0201968,0.0388204,0.0211979,0.00959113,0.0202792,0,0.0196786,0.0640928,0.0144956,0,0,0.018197,0,0,0.0349233,0.0421955,0.0402201,0.00663191,0.0267444,0.0365943,0.0249068,0.0739995,0.096046,0.0621186,0.0218164,0.0585787,0.0368299,0.0367978,0.0622187,0.0477414,0.0222447,0.0180069,0.0181545,0.029697,0.0240813,0,0,0,0
5,0.0238566,0.0473954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381984,0,0.0263821,0.0637594,0,0,0.0117925,0,0,0.0458139,0.0249805,0.0377338,0.01131,0.0195226,0.0326623,0.0534764,0.0345967,0.0523646,0.0753865,0.0612508,0.0648987,0.059885,0.0617133,0.062741,0.0197946,0.0388874,0.0211625,0.00955235,0.0196492,0,0.0197053,0.0636395,0.01437,0,0,0.0181222,0,0,0.034969,0.042597,0.0410988,0.00715264,0.0266438,0.0366644,0.0245299,0.0738932,0.0962859,0.0625666,0.02108,0.0586718,0.0367526,0.0367228,0.0621731,0.0523461,0.0222414,0.0180258,0.0183966,0.0295859,0.0243831,0,0,0,0
6,0.0234849,0.0472968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385274,0,0.0265807,0.0640439,0,0,0.0117687,0,0,0.0457287,0.0247849,0.0376909,0.0113401,0.0195411,0.0326051,0.0535743,0.0343159,0.0520647,0.0752765,0.0611568,0.0648613,0.0600829,0.0618475,0.0626343,0.0193639,0.0390144,0.0210856,0.00949012,0.019539,0,0.0198471,0.0633189,0.0142126,0,0,0.0180155,0,0,0.0349871,0.043031,0.0420287,0.00753402,0.0265092,0.0366521,0.0242975,0.0737701,0.0964138,0.0630912,0.0203133,0.0586802,0.036688,0.0365836,0.0620461,0.056818,0.0221826,0.0178891,0.0188203,0.029445,0.0246969,0,0,0,0
7,0.023111,0.0472502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387779,0,0.0265154,0.0641217,0,0,0.0116961,0,0,0.0456348,0.0246964,0.0378042,0.0113901,0.0194767,0.032591,0.0536911,0.0339513,0.0518788,0.0751601,0.0611312,0.0648531,0.0602033,0.0618978,0.0625753,0.0191025,0.0391431,0.021024,0.00944424,0.020013,0,0.0200244,0.0633502,0.0140756,0,0,0.0179212,0,0,0.0350136,0.0435064,0.0430499,0.00796104,0.0262373,0.0365853,0.0242237,0.0735205,0.096462,0.0637206,0.0195626,0.0585975,0.0365913,0.036392,0.0618485,0.0608779,0.0221775,0.0177024,0.01932,0.0292841,0.0250255,0,0,0,0
8,0.0227676,0.0472447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391992,0,0.0262407,0.0640536,0,0,0.0116521,0,0,0.0456178,0.0247077,0.0379329,0.0113583,0.0193998,0.0325718,0.0537498,0.0336986,0.0518326,0.0750917,0.0610294,0.0648961,0.0601885,0.0618873,0.0625229,0.0187351,0.039229,0.021027,0.00945501,0.0206661,0,0.020242,0.0633929,0.0140173,0,0,0.0177877,0,0,0.0350034,0.0440334,0.0440499,0.0082879,0.0258931,0.0364778,0.0239651,0.0731722,0.0964717,0.0643979,0.0189423,0.058513,0.03647,0.0362775,0.061712,0.0642033,0.0222285,0.0174446,0.0199019,0.0291322,0.0252987,0,0,0,0
