Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,R5FT
340,0,0.0188779,0.0476995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299259,0,0.0305361,0.0711443,0,0,0.022232,0,0,0.0586551,0.0364221,0.0501105,0.0164728,0.00999558,0.0307118,0.0524106,0.0343476,0.0430323,0.0748974,0.0626851,0.0550089,0.050724,0.0508919,0.0507458,0.0332921,0.0394483,0.0143564,0.018132,0,0.0186911,0.0531064,0.0112552,0,0,0.0177775,0,0,0.0426631,0.0464635,0.0353304,0.00708077,0.0197925,0.0449629,0.0263468,0.0743867,0.0921476,0.0580871,0.0337656,0.0628918,0.0441337,0.0418789,0.0650492,0.0527714,0.019095,0.0274106,0.00503529,0.0287538,0.0248108,0,0,0,0.0143979
341,0,0.0175953,0.0477468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249243,0,0.0276594,0.0713432,0,0,0.022407,0,0,0.0590089,0.0365168,0.0458705,0.0182855,0.0131334,0.0299545,0.0531463,0.0336733,0.0422642,0.0742547,0.0615763,0,0.053394,0.0539401,0.0536652,0.0412342,0.0392872,0.0143975,0.0183753,0,0.0185672,0.0528629,0.01289,0,0,0.0191189,0,0,0.0431214,0.0457187,0.0344926,0.00768158,0.0196781,0.0456708,0.0277511,0.0739961,0.092113,0.0578046,0.0333249,0.0634927,0.0446135,0.0425204,0.0654919,0.0527413,0.0187205,0.02772,0.00556403,0.0287494,0.0252432,0,0,0,0.0142067
342,0,0.0175999,0.0477059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256073,0,0.0320208,0.0704207,0,0,0.0226402,0,0,0.0590445,0.0371026,0.0523065,0.0172656,0.00973589,0.0307625,0.0532226,0.0358958,0.0440392,0.0762045,0.0638059,0.0523756,0.0493863,0.0510345,0.0510413,0.0504691,0.0401076,0.014038,0.0192291,0,0.0185568,0.0540596,0.0129437,0,0,0.0189791,0,0,0.0434381,0.0449669,0.0341522,0.00697498,0.0198923,0.0455039,0.027119,0.0739977,0.0923201,0.0577122,0.0326039,0.063592,0.0446218,0.0426788,0.0656518,0.0523457,0.0189474,0.0261053,0,0.0282336,0.0252085,0,0,0,0.0140116
343,0,0.0185215,0.0471214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255787,0,0.0344195,0.0676769,0,0,0.019313,0,0,0.0528139,0.0404728,0.0552951,0.0147829,0.0120573,0.032737,0.0501068,0.0393247,0.045998,0.0794746,0,0.0481579,0.047508,0.0496452,0.0494846,0.0615712,0.0412549,0,0.020037,0,0.0185542,0.0574613,0.0120239,0,0,0.0180107,0,0,0.0432811,0.0439814,0.0336138,0.00530412,0.0208269,0.0447139,0.0247891,0.0735699,0.0923301,0.0579896,0.0315773,0.0633104,0.0444532,0.0426862,0.0657177,0.0506988,0.0184311,0.0258827,0,0.0272057,0.0250973,0,0,0,0.0137349
344,0,0.0166231,0.0474957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028119,0,0.0342791,0.0693265,0,0,0.0224784,0,0,0.0588383,0.0380137,0.0573036,0.0177094,0.00980829,0.0314909,0.0547214,0.0372519,0.0445441,0.0774329,0.065135,0.0588946,0.0485545,0.050551,0.0504589,0.0727337,0.0403012,0.0145054,0.0184239,0,0.0183377,0.055317,0.0140635,0,0,0.0191474,0,0,0.0436029,0.0437125,0.0334451,0.00671755,0.0202507,0.045373,0.0274091,0.0736,0.0919393,0.0576346,0.0318166,0.0637878,0.0447682,0.0430493,0.0661946,0.0498278,0.0187278,0.026169,0,0.0277806,0.0260554,0,0,0,0.0138555
345,0,0.0179491,0.0472617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295462,0,0.0310684,0.0675371,0,0,0.0223005,0,0,0.0583693,0.0368565,0.05347,0.0151333,0.0168863,0.0330754,0.0541985,0.0384563,0.0486304,0,0.0670942,0,0.0513438,0.0526826,0.052286,0.0811859,0.0410308,0.0146182,0.0181901,0,0.0183614,0.0572435,0.0128214,0,0,0.0173914,0,0,0.0429808,0.0435551,0.0336691,0.004657,0.020553,0.0443582,0.0256782,0.0737426,0.0920013,0.0577162,0.0314579,0.0634604,0.0443803,0.0428242,0.0660857,0.0485341,0.018813,0.0258316,0,0.0274367,0.0254348,0,0,0,0.013789
346,0,0.0180162,0.0473805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231056,0,0.0384619,0.065766,0,0,0.0226562,0,0,0.0590355,0.0379224,0.0596477,0.0138449,0.0215949,0.0340619,0.0545111,0.0395468,0.0509269,0,0.0691622,0,0.0494444,0.0524017,0.0524298,0.0766688,0.0416947,0.0136403,0.0176394,0,0.019959,0.0591897,0.0120345,0,0,0.0173092,0,0,0.0428201,0.041873,0.0342106,0.00331544,0.0227606,0.0435786,0.0251387,0.0746152,0.0927668,0.056892,0.0300182,0.0627492,0.0447227,0.0427871,0.0656659,0.0414443,0.0186768,0.0258353,0,0.0276589,0.0259072,0,0,0,0.0151948
347,0,0.0201702,0.0472738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322164,0,0.05419,0.0653669,0,0,0.0221136,0,0,0.0583722,0.0392313,0.0840652,0.00981243,0.0257062,0.0359995,0.0538544,0.0447333,0.0532099,0,0.0736914,0.179575,0.0325019,0.0423314,0.0447354,0.0876112,0.0422102,0.0138853,0.0174847,0,0.02002,0.060024,0.0104399,0,0,0.0148774,0,0,0.0420639,0.0415659,0.0346257,0.00144628,0.0231847,0.0420494,0.0228363,0.075356,0.092997,0.0566134,0.030426,0.0623734,0.0441355,0.0424061,0.0655276,0.0416319,0.0192559,0.0253744,0,0.027472,0.0247981,0,0,0,0.0152183
348,0,0.0203329,0.0473576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339949,0,0.0565496,0.0652621,0,0,0.0222093,0,0,0.0584285,0.0387942,0.0883625,0.00925149,0.0270687,0.0365622,0.053941,0.0450011,0.0531026,0,0.0737083,0.186904,0.0311783,0.0428626,0.0461624,0.0932461,0.0423083,0.0135679,0.0175474,0,0.0199381,0.0600662,0.0102132,0,0,0.0145382,0,0,0.0417632,0.0410338,0.0346104,0.00125803,0.0231724,0.0418206,0.0224464,0.0753496,0.0928893,0.0564443,0.0306401,0.062426,0.0441098,0.042359,0.0656594,0.0405503,0.0192909,0.0253015,0,0.0275186,0.0247689,0,0,0,0.0159387
349,0,0.0225615,0.0469544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353521,0,0.0592634,0.0631869,0,0,0.0196677,0,0,0.0525386,0.0414506,0.0921467,0.00642145,0.0300186,0.0390407,0.0503773,0.048485,0.0554935,0,0,0.180221,0.0290482,0.0429625,0.0469133,0.0973384,0.0438957,0,0.0192803,0,0.0202622,0.062977,0.00873477,0,0,0.0131646,0,0,0.0409367,0.0406461,0.0348725,0.00194351,0.0238575,0.04028,0.0194034,0.0751276,0.0929653,0.0567447,0.0306339,0.0618932,0.0435572,0.0419011,0.0653626,0.0385747,0.0197418,0.0251629,0,0.0275095,0.0245725,0,0,0,0.0169793
