Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,R5FT
All Timesteps RMSE,0,0.0227451,0.0464756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039755,0,0.0345585,0.0623556,0,0,0.0238341,0,0,0.0549852,0.0319246,0.0509211,0.0170383,0.0208485,0.0381847,0.0499342,0.0380244,0.0537188,0.0747752,0.0662131,0.145577,0.0538003,0.0569479,0.0577508,0.0380881,0.0449848,0.0171448,0.0162274,0,0.0191213,0.0638369,0.0136836,0,0,0.0183473,0,0,0.0367753,0.0476591,0.0438219,0.0125821,0.0245846,0.0403948,0.0272544,0.0704354,0.0909933,0.0620076,0.0289115,0.0599013,0.0428098,0.0407251,0.0622913,0.0629141,0.0232352,0.0210993,0.0125644,0.0275945,0.0418475,0,0,0,0.0298281
0,0,0.021939,0.0503121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431167,0,0.0255062,0.0623144,0,0,0.0320997,0,0,0.051414,0.0282522,0.038907,0.0180574,0.0287259,0.0349002,0.0427124,0.0330333,0.0507545,0.0753404,0.060811,0.0652405,0.0603193,0.0617904,0.0612673,0.0180396,0.0499526,0.0235178,0.012169,0,0.0156829,0.0626067,0.0145109,0,0,0.0222325,0,0,0.0375155,0.0501363,0.0418901,0.00804587,0.0245093,0.0394556,0.0264934,0.0676297,0.0893479,0.0607133,0.0297049,0.0599129,0.0475122,0.0435695,0.0615077,0.0737161,0.0246165,0.0174669,0.0128034,0.0304379,0.0258091,0,0,0,0
1,0,0.0220246,0.050403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428086,0,0.0260141,0.0618764,0,0,0.032391,0,0,0.0513146,0.0285404,0.0382785,0.0173284,0.0284518,0.0350237,0.0426013,0.0329624,0.0505812,0.0751705,0.0608219,0.0653121,0.0603084,0.0621048,0.0615473,0.0176272,0.0498218,0.0243132,0.0115802,0,0.0158509,0.0630415,0.0145207,0,0,0.0223061,0,0,0.0375448,0.0500652,0.0417322,0.00800953,0.0246743,0.039564,0.0265272,0.0675697,0.0892829,0.0606124,0.0298617,0.0598738,0.047493,0.043643,0.0615604,0.0729406,0.024672,0.0176515,0.0126789,0.0302061,0.0260028,0,0,0,0
2,0,0.0221678,0.050448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425392,0,0.0266351,0.0619055,0,0,0.0326149,0,0,0.0513496,0.0285156,0.0379314,0.0176329,0.028394,0.0348713,0.0425108,0.0328476,0.0502251,0.0750121,0.0605904,0.0653925,0.0603702,0.0622822,0.0617385,0.0174249,0.0497056,0.0250565,0.0111566,0,0.0161023,0.0630556,0.0145663,0,0,0.0223956,0,0,0.0375706,0.050154,0.0415743,0.00795943,0.0248381,0.0394466,0.026346,0.0676067,0.0891077,0.0605515,0.0301196,0.059813,0.047462,0.043642,0.0615837,0.0719972,0.0246689,0.0178445,0.012585,0.030125,0.026021,0,0,0,0
3,0,0.0222513,0.0504644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428671,0,0.0267674,0.0619777,0,0,0.0328435,0,0,0.0512448,0.0284511,0.038047,0.0178365,0.0283512,0.0347387,0.0424267,0.0327262,0.0495409,0.0748074,0.060446,0.0653925,0.0604043,0.0622186,0.0616933,0.017179,0.0496418,0.0257082,0.0107529,0,0.0163903,0.0629552,0.0146148,0,0,0.0224448,0,0,0.0374899,0.0502692,0.0414336,0.00783054,0.0250142,0.0393965,0.0262315,0.0677021,0.088908,0.0604934,0.0303821,0.0597935,0.0474365,0.0436235,0.0616449,0.0710559,0.0246968,0.0180185,0.0124992,0.0300658,0.0260158,0,0,0,0
4,0,0.0222712,0.0505207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435888,0,0.026397,0.0619975,0,0,0.0330573,0,0,0.051225,0.0284603,0.0387,0.0177936,0.0283564,0.0346633,0.0423199,0.032621,0.0491745,0.0746326,0.0603274,0.0653383,0.0603815,0.0619458,0.0614009,0.0171317,0.0496519,0.0263328,0.0104889,0,0.0168,0.0628915,0.0146238,0,0,0.0224717,0,0,0.0374366,0.0503803,0.041367,0.00768682,0.0252321,0.0394218,0.0262704,0.0676813,0.0887087,0.0603709,0.030744,0.0598092,0.0474301,0.0436289,0.0617259,0.0701278,0.0247657,0.0182121,0.0124604,0.0300644,0.0260173,0,0,0,0
5,0,0.0222393,0.0506058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442772,0,0.0258754,0.0619063,0,0,0.0333049,0,0,0.0512203,0.0286081,0.0395871,0.0176328,0.0284047,0.0346423,0.0422126,0.0325566,0.0492892,0.0745445,0.0601899,0.0653033,0.0603606,0.0616158,0.0610435,0.0173689,0.0497626,0.0269344,0.0102467,0,0.0171711,0.063002,0.0145776,0,0,0.0224531,0,0,0.0373943,0.0504562,0.0413887,0.00763357,0.025466,0.0393727,0.0261759,0.0675722,0.0885365,0.0602261,0.0310782,0.0598352,0.0474198,0.0436723,0.0618058,0.0693696,0.0248486,0.0183744,0.0124743,0.0301553,0.0260105,0,0,0,0
6,0,0.0221734,0.0506941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04452,0,0.0258024,0.0618886,0,0,0.0335862,0,0,0.0510637,0.0287657,0.040289,0.0175412,0.0284427,0.0346451,0.0420942,0.0324841,0.0496,0.0744964,0.0601405,0.0653179,0.0604022,0.0613956,0.0608833,0.0178206,0.0499168,0.0274255,0.00990119,0,0.0174324,0.0630372,0.0144793,0,0,0.022438,0,0,0.0373692,0.0504918,0.0413896,0.00761931,0.0255542,0.0393034,0.0260922,0.0674458,0.0883562,0.0601813,0.0309757,0.0598432,0.0474354,0.0437048,0.0618632,0.0687023,0.0249141,0.0185251,0.0125026,0.0302643,0.0259919,0,0,0,0
7,0,0.0221062,0.0508346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444632,0,0.0257229,0.0619216,0,0,0.0338145,0,0,0.050745,0.0288641,0.0405654,0.0175452,0.0283938,0.034631,0.0419381,0.0324353,0.0493826,0.0745373,0.0601834,0.0653708,0.06047,0.0612305,0.0609255,0.0180665,0.050115,0.0277011,0.00955153,0,0.0174785,0.0630281,0.014337,0,0,0.0224178,0,0,0.0373793,0.0505068,0.0413861,0.00761173,0.025573,0.0392008,0.0260581,0.0673339,0.0882387,0.0601948,0.0310584,0.0598272,0.0474625,0.0437186,0.0618858,0.068168,0.0249614,0.0186649,0.012594,0.0303943,0.0259992,0,0,0,0
8,0,0.0220647,0.0510692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439612,0,0.0258792,0.0619291,0,0,0.03394,0,0,0.0507483,0.0288684,0.0404902,0.0177068,0.0283154,0.0345245,0.0417462,0.0324033,0.0495381,0.0745438,0.060211,0.0654661,0.060577,0.0611158,0.0610571,0.0184183,0.0502826,0.0279418,0.00952517,0,0.0174993,0.0630354,0.0142116,0,0,0.0223936,0,0,0.0374011,0.0504803,0.0413559,0.00757929,0.0256046,0.0390986,0.0260976,0.0672701,0.0882229,0.0602106,0.0314334,0.0598259,0.0475291,0.0437643,0.0618752,0.0678877,0.0250206,0.0188295,0.0126958,0.030549,0.0259872,0,0,0,0
9,0,0.0220089,0.051263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432198,0,0.0257229,0.0619132,0,0,0.0340905,0,0,0.0508207,0.0287289,0.0403488,0.0178862,0.0282465,0.034386,0.0415733,0.0324022,0.0501363,0.0745599,0.0602997,0.0655039,0.0606037,0.0609542,0.0611435,0.0188582,0.0503894,0.0282183,0.0095325,0,0.0174863,0.0630698,0.0141106,0,0,0.02237,0,0,0.0373406,0.050406,0.0412871,0.0075459,0.0256416,0.0390601,0.0260681,0.0671884,0.0882414,0.0602694,0.0315265,0.0598239,0.047601,0.0438897,0.0618368,0.0678507,0.025108,0.0190492,0.0126775,0.0307089,0.0259276,0,0,0,0
10,0,0.0219342,0.051398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425744,0,0.0257444,0.0618658,0,0,0.0342237,0,0,0.0508758,0.0284188,0.0402075,0.0177523,0.0281818,0.0343241,0.0414272,0.0324204,0.0502247,0.0746456,0.060474,0.0654711,0.0605647,0.0609937,0.0611785,0.0192002,0.0504685,0.0284195,0.00954557,0,0.0174182,0.0631118,0.0140388,0,0,0.0223713,0,0,0.0372822,0.050263,0.0411705,0.00756486,0.0256317,0.0391286,0.0259884,0.0670813,0.0882888,0.0603358,0.0313602,0.0598461,0.0476774,0.0439542,0.061816,0.0679544,0.0251508,0.0191509,0.0126263,0.0308364,0.0258877,0,0,0,0
11,0,0.0218671,0.0515093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420192,0,0.0259854,0.061828,0,0,0.0344005,0,0,0.0509323,0.0282064,0.0399493,0.0174748,0.0281744,0.0342824,0.0413005,0.0324513,0.0499988,0.0747393,0.0606275,0.0653867,0.0605584,0.0612522,0.0611745,0.0194086,0.0505701,0.0286322,0.00955372,0,0.017148,0.0631025,0.013945,0,0,0.0224361,0,0,0.0372481,0.0500724,0.0410629,0.00760941,0.0255151,0.0392762,0.0259706,0.0670038,0.0883622,0.0603952,0.031007,0.0598768,0.0477462,0.0439117,0.0617918,0.0681145,0.02513,0.0192845,0.0125054,0.0308809,0.0258842,0,0,0,0
12,0,0.0218743,0.0516683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411618,0,0.0263293,0.0619655,0,0,0.0346585,0,0,0.0510619,0.0279473,0.0395323,0.0179437,0.0282335,0.0341154,0.0412304,0.0324459,0.0505386,0.0747992,0.0606808,0.0653563,0.0605941,0.0615642,0.0612561,0.0198311,0.0506793,0.0289127,0.00955138,0,0.0168502,0.0629365,0.0138251,0,0,0.0225253,0,0,0.0373327,0.0499016,0.0410067,0.00757772,0.0254695,0.0393039,0.0260123,0.0669542,0.088486,0.0604552,0.0305691,0.0598662,0.047774,0.0438705,0.0617371,0.0683169,0.0250024,0.0195302,0.0122947,0.0309809,0.0258721,0,0,0,0
13,0,0.021915,0.0518573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403294,0,0.0266844,0.0620821,0,0,0.034962,0,0,0.0512199,0.0278226,0.0390975,0.0182895,0.0281608,0.0340108,0.0411935,0.032475,0.0510134,0.0748602,0.0607121,0.0653245,0.0605239,0.0617939,0.061424,0.0201329,0.0507808,0.0291698,0.00958449,0,0.0166163,0.0627933,0.0137168,0,0,0.0226168,0,0,0.0373482,0.0496598,0.0409471,0.00750333,0.0254859,0.039375,0.0260005,0.0670158,0.0886436,0.0604775,0.030458,0.0598424,0.0477836,0.0438307,0.0616846,0.0685897,0.024972,0.0195987,0.0121522,0.0310291,0.0258587,0,0,0,0
14,0,0.0219375,0.0518728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395949,0,0.0270471,0.0622031,0,0,0.0352409,0,0,0.0513934,0.0277638,0.0385494,0.0184043,0.0281835,0.0339852,0.0412377,0.0325087,0.0512058,0.0748997,0.060746,0.0652965,0.0603376,0.0620353,0.0616293,0.0202993,0.0508075,0.0293384,0.00962345,0,0.0164251,0.062693,0.0136555,0,0,0.0226827,0,0,0.0372305,0.0493961,0.0408943,0.00742335,0.0255103,0.0395077,0.0260003,0.0671356,0.0888134,0.0604691,0.0302045,0.0597948,0.0477711,0.0438157,0.0616213,0.068827,0.02506,0.0194853,0.0120355,0.0310484,0.0257902,0,0,0,0
15,0,0.0219779,0.0519214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390069,0,0.0273573,0.0622658,0,0,0.0354988,0,0,0.0515974,0.0277219,0.0380695,0.0185049,0.0282112,0.0340523,0.0413695,0.0325139,0.0514191,0.0749225,0.0607399,0.065278,0.0601366,0.0621755,0.0618043,0.0204906,0.0507934,0.0294641,0.00970864,0,0.0162944,0.0625932,0.0136075,0,0,0.0227889,0,0,0.0372216,0.0490933,0.0409255,0.00730656,0.0255437,0.0396593,0.0260483,0.0673198,0.0889595,0.0604221,0.0301286,0.0597506,0.0477296,0.0437887,0.0615676,0.0690121,0.0250462,0.0195653,0.011785,0.0310525,0.025742,0,0,0,0
16,0,0.0220737,0.0520372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387173,0,0.0273408,0.0623011,0,0,0.0356895,0,0,0.0517221,0.0276648,0.0380481,0.0186205,0.0281017,0.0341452,0.04145,0.032463,0.0515802,0.0749917,0.0606738,0.0652751,0.0599328,0.0620418,0.0618162,0.0208065,0.0507604,0.0295018,0.00980801,0,0.0162763,0.0625787,0.0135841,0,0,0.0229064,0,0,0.03721,0.0488143,0.0410158,0.00720812,0.0255377,0.0397899,0.0260613,0.0675118,0.0890862,0.0603631,0.0299329,0.0597084,0.0477113,0.0437911,0.0615055,0.069125,0.024961,0.0196235,0.011516,0.031092,0.0257128,0,0,0,0
17,0,0.0221732,0.052191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385459,0,0.027465,0.0622302,0,0,0.0358244,0,0,0.0518337,0.0277068,0.0379983,0.0184247,0.0280105,0.0343311,0.0414884,0.0323905,0.0515951,0.0750346,0.0606187,0.0652733,0.0598744,0.0620282,0.0618359,0.0209281,0.0507642,0.0294205,0.00995449,0,0.0163423,0.0627243,0.0135462,0,0,0.0229944,0,0,0.0371509,0.0485622,0.0410843,0.00711557,0.0255799,0.0399625,0.0261073,0.0677136,0.0891814,0.0603084,0.0300686,0.0596805,0.0477147,0.0437911,0.0614572,0.0692169,0.0248726,0.0196304,0.0111967,0.0311315,0.0257042,0,0,0,0
18,0,0.0221962,0.0521099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384359,0,0.0278203,0.0619922,0,0,0.0358451,0,0,0.0519724,0.0277999,0.0379052,0.0177977,0.0279641,0.0345991,0.0414544,0.0323059,0.0515002,0.0750021,0.0605754,0.0652558,0.059911,0.0621515,0.0618328,0.0208803,0.0507498,0.0292015,0.0101838,0,0.0164075,0.0628902,0.013475,0,0,0.0230463,0,0,0.0371758,0.0483295,0.0411318,0.00704838,0.0255518,0.0402449,0.0262492,0.0678873,0.0892176,0.0602775,0.0300307,0.0596856,0.0477017,0.0437835,0.0614635,0.0693031,0.0247988,0.0196718,0.0109115,0.0311579,0.0257083,0,0,0,0
19,0,0.0222156,0.0518368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383981,0,0.0279892,0.0618462,0,0,0.0358104,0,0,0.0520202,0.0277936,0.0378285,0.017544,0.0278212,0.0347597,0.0413782,0.0322472,0.0514235,0.0749996,0.0605354,0.0651403,0.0599952,0.0621885,0.0617904,0.0207881,0.0507035,0.0288938,0.0104292,0,0.0164925,0.0630006,0.0134026,0,0,0.0230695,0,0,0.037212,0.0481874,0.041197,0.00700926,0.025488,0.0404156,0.0262982,0.0679871,0.0892356,0.0603073,0.0297283,0.05968,0.0476713,0.0437504,0.0614578,0.0692143,0.024734,0.0196823,0.0107234,0.031237,0.0256503,0,0,0,0
20,0,0.0222568,0.0518479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384331,0,0.0279465,0.0617632,0,0,0.0356672,0,0,0.0520787,0.0277562,0.0377197,0.017574,0.0277061,0.0348427,0.0414486,0.0322102,0.0513116,0.0749593,0.0604626,0.0650329,0.0600505,0.0621892,0.0617582,0.0207379,0.0506559,0.0283903,0.0107984,0,0.0166602,0.0629821,0.0133485,0,0,0.0230015,0,0,0.0372145,0.0480753,0.0412887,0.00694211,0.0254685,0.0404816,0.0263601,0.0680485,0.0892568,0.0603386,0.0296506,0.0596552,0.0476169,0.043668,0.0614286,0.0690708,0.0246748,0.019592,0.0106502,0.0313194,0.0255643,0,0,0,0
21,0,0.0223273,0.0521596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038478,0,0.0277708,0.0617261,0,0,0.0355752,0,0,0.0521712,0.0276961,0.0376587,0.0178823,0.027668,0.0348296,0.0416186,0.0321805,0.0513233,0.074954,0.0603814,0.0651073,0.0600708,0.0622026,0.0617484,0.0207649,0.050601,0.0280689,0.0110345,0,0.0168399,0.0629684,0.0133042,0,0,0.0229237,0,0,0.0372196,0.0480179,0.0413756,0.00688218,0.0254753,0.0404083,0.0263939,0.0680702,0.0893038,0.0603516,0.0298034,0.0595936,0.0475368,0.0435603,0.0613725,0.0688053,0.0246926,0.0195601,0.0106147,0.0313875,0.025485,0,0,0,0
22,0,0.0224108,0.0523227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384855,0,0.027421,0.0617929,0,0,0.0354485,0,0,0.0522941,0.0275703,0.0376524,0.0185187,0.0276059,0.0347627,0.041747,0.0321558,0.0513594,0.0750381,0.0603029,0.0651647,0.0601032,0.0622,0.061749,0.0208141,0.0505329,0.0277078,0.0113152,0,0.0169887,0.0629081,0.0132307,0,0,0.0228438,0,0,0.0372428,0.0480319,0.0414892,0.00683818,0.0255136,0.0402326,0.0263807,0.0680638,0.0893829,0.0603798,0.0300078,0.0595103,0.0474463,0.0434514,0.0612787,0.0685008,0.0246931,0.0195499,0.010597,0.0314752,0.0254278,0,0,0,0
23,0,0.0224339,0.0523508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384152,0,0.0272612,0.0618091,0,0,0.0352271,0,0,0.0523831,0.0275072,0.0375508,0.0188096,0.0275224,0.0347401,0.0418126,0.0321282,0.0512918,0.07512,0.0602677,0.0651601,0.060123,0.0621531,0.0617248,0.0208537,0.0504445,0.0272076,0.0116749,0,0.0170556,0.0629709,0.0131668,0,0,0.0227776,0,0,0.0372453,0.0480733,0.0416337,0.00679876,0.0255363,0.0401508,0.0263388,0.0680965,0.0894302,0.0604039,0.0301527,0.0594526,0.0473618,0.0434078,0.061199,0.0681949,0.0246917,0.0195699,0.0105139,0.0315286,0.0254091,0,0,0,0
24,0,0.0224641,0.0523601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382702,0,0.0272118,0.0617496,0,0,0.0347074,0,0,0.0523351,0.0274455,0.037417,0.0188586,0.0274549,0.0346971,0.04199,0.0321097,0.0512853,0.0750911,0.0602277,0.0652007,0.0601671,0.0620144,0.0617396,0.020934,0.0503035,0.0258963,0.0125021,0,0.0171051,0.0630818,0.0131338,0,0,0.0227042,0,0,0.0371751,0.0481464,0.0417265,0.00679378,0.025529,0.0401316,0.0263549,0.0681636,0.0894638,0.0603937,0.030271,0.0594479,0.047313,0.0433719,0.0611607,0.0680719,0.0246336,0.0193975,0.0105177,0.0315832,0.0253852,0,0,0,0
25,0,0.022471,0.0524154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381683,0,0.0271896,0.0616605,0,0,0.0349549,0,0,0.052331,0.0274348,0.0373405,0.0188451,0.0274339,0.0346748,0.0419883,0.0321264,0.0513237,0.0750298,0.0602102,0.0652251,0.0601933,0.0619262,0.0617413,0.0210203,0.050325,0.0265503,0.0119995,0,0.0171635,0.0631042,0.0130789,0,0,0.0226466,0,0,0.0371933,0.0482404,0.0418011,0.00680641,0.0255243,0.0401095,0.0262548,0.0682005,0.0894735,0.0603753,0.030475,0.059455,0.047305,0.0433536,0.0611449,0.0680306,0.0247038,0.019781,0.0103893,0.031661,0.0254138,0,0,0,0
26,0,0.0224847,0.0523737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381228,0,0.0271475,0.061611,0,0,0.03516,0,0,0.0523346,0.0274639,0.0372704,0.0188468,0.0273967,0.0346378,0.0420312,0.0321168,0.0512484,0.0749991,0.0601983,0.0652463,0.0601648,0.0620008,0.0617332,0.0210848,0.0503168,0.0270243,0.0116014,0,0.0172021,0.0631227,0.0130211,0,0,0.0225867,0,0,0.0371781,0.0483492,0.0419137,0.00679821,0.0255633,0.0400802,0.0261763,0.0682373,0.0894742,0.0603377,0.0308359,0.0594399,0.0473077,0.0433693,0.0611095,0.0680584,0.0247034,0.0199201,0.0103701,0.0317409,0.0254432,0,0,0,0
27,0,0.0224961,0.0522284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380868,0,0.0271249,0.0616149,0,0,0.0352925,0,0,0.0522959,0.0274773,0.0372199,0.0188597,0.0273655,0.0346058,0.042104,0.0320875,0.0510152,0.0749735,0.0601997,0.0652488,0.0600745,0.062154,0.0617198,0.0211175,0.0503098,0.0273644,0.0112669,0,0.0172136,0.0631707,0.012955,0,0,0.0225918,0,0,0.0371632,0.0485135,0.0420288,0.00677795,0.0256056,0.0400339,0.0260707,0.0682425,0.0894792,0.0603394,0.0309781,0.0594023,0.0473069,0.0433968,0.0610547,0.0680653,0.0246372,0.0200613,0.0103575,0.0317874,0.0254791,0,0,0,0
28,0,0.0225667,0.052396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381169,0,0.0271162,0.0616356,0,0,0.0353713,0,0,0.052328,0.0274617,0.0371981,0.01894,0.0273566,0.0345951,0.0422139,0.0320687,0.0507179,0.0749574,0.0602281,0.065272,0.060166,0.0621909,0.0616869,0.0210772,0.050263,0.0276057,0.0110443,0,0.0172648,0.0632011,0.0129134,0,0,0.0226035,0,0,0.0371453,0.0487441,0.0421038,0.0067531,0.0256475,0.0399703,0.0260191,0.0682344,0.0894894,0.0603828,0.0309768,0.0593494,0.0472705,0.0433201,0.0610057,0.0680557,0.0245727,0.0201518,0.0103731,0.0318667,0.0255177,0,0,0,0
29,0,0.0226294,0.0525081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379951,0,0.0270906,0.0616132,0,0,0.0354881,0,0,0.0524116,0.0275014,0.0372111,0.0190753,0.027329,0.0346143,0.0423491,0.032047,0.0509998,0.0749162,0.0602671,0.0653108,0.0602447,0.0621931,0.0616725,0.0212052,0.0501775,0.0277931,0.0109362,0,0.0173632,0.0631926,0.0128842,0,0,0.0225829,0,0,0.0371186,0.0489514,0.0421587,0.00669279,0.0256913,0.0399356,0.0260163,0.0682595,0.0895151,0.0604114,0.0309134,0.0593005,0.0471359,0.0432507,0.0609747,0.0681142,0.024502,0.0201729,0.0103793,0.0319899,0.0255485,0,0,0,0
30,0,0.0226618,0.0524196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379357,0,0.0270664,0.0616299,0,0,0.0356124,0,0,0.0524694,0.0274914,0.0372042,0.0192115,0.027275,0.0346519,0.0423975,0.0320427,0.0510026,0.0749033,0.0602719,0.0653164,0.0602428,0.0621744,0.0616718,0.0212736,0.0500671,0.0279173,0.010845,0,0.0174086,0.0631015,0.0128455,0,0,0.0225545,0,0,0.0370996,0.0491325,0.0422029,0.00664195,0.0257311,0.0399214,0.0259445,0.0683106,0.0895459,0.0604335,0.0308387,0.0592663,0.0470396,0.0432097,0.0609508,0.068084,0.0244484,0.0201299,0.0103683,0.0321023,0.02556,0,0,0,0
31,0,0.0226786,0.052344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379987,0,0.0270423,0.0616571,0,0,0.0356302,0,0,0.0525585,0.0274478,0.0371788,0.0192928,0.0272114,0.0346937,0.0424635,0.0320436,0.0506991,0.0749534,0.0602782,0.0653046,0.0602061,0.0621408,0.0616636,0.0212383,0.0499805,0.0280181,0.0107606,0,0.0174075,0.0629865,0.0128162,0,0,0.0225417,0,0,0.0370975,0.0492377,0.0422576,0.00658518,0.0257506,0.0399448,0.0258306,0.0683515,0.0895704,0.0604709,0.0307869,0.0592323,0.0470246,0.0431805,0.0609033,0.0679526,0.0244146,0.0201119,0.0103553,0.0321729,0.0255695,0,0,0,0
32,0,0.0227346,0.0523308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378912,0,0.0270259,0.0616262,0,0,0.0355719,0,0,0.0525496,0.0274162,0.0371814,0.0193749,0.0271622,0.0347326,0.0425408,0.0320442,0.0509739,0.0750162,0.0602717,0.0653272,0.0602141,0.0621648,0.0616493,0.0213694,0.0499376,0.0279877,0.0106678,0,0.0173713,0.0629988,0.0128121,0,0,0.0225469,0,0,0.0371185,0.0492371,0.0422913,0.00653271,0.0257493,0.0399827,0.0258079,0.0683685,0.0896078,0.0604891,0.0307339,0.0592201,0.047038,0.0431821,0.0608739,0.0678816,0.0243272,0.0200635,0.0103961,0.0322249,0.0255775,0,0,0,0
33,0,0.0228009,0.0523749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377838,0,0.0270133,0.0616271,0,0,0.0355797,0,0,0.0525318,0.0273714,0.0371657,0.019394,0.0271456,0.0347667,0.0426689,0.0320485,0.0511611,0.0750418,0.0602592,0.0653523,0.0602237,0.0621801,0.0616503,0.0214826,0.0499337,0.0279978,0.0105926,0,0.0173996,0.063183,0.012809,0,0,0.0225743,0,0,0.037163,0.0492629,0.0422938,0.00647754,0.025741,0.0400445,0.0258699,0.0683632,0.0896298,0.0604862,0.0306974,0.0592229,0.0470036,0.043229,0.0608768,0.06791,0.02424,0.0199954,0.0104902,0.0322549,0.0256002,0,0,0,0
34,0,0.0228729,0.0524819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377191,0,0.0269927,0.0616089,0,0,0.035643,0,0,0.0525657,0.0273259,0.0371273,0.019351,0.0270989,0.0348229,0.0428619,0.0320428,0.0511539,0.0750911,0.0602676,0.0653557,0.060234,0.0621589,0.0616396,0.0215308,0.0499599,0.0280622,0.010579,0,0.017443,0.0633643,0.0128119,0,0,0.0226147,0,0,0.0371664,0.0493154,0.0423286,0.00642685,0.025742,0.0401005,0.0258825,0.0684037,0.0896634,0.0604746,0.0306561,0.0592123,0.0469835,0.0432843,0.0608732,0.0679127,0.0241776,0.0200502,0.0104586,0.0322922,0.0256089,0,0,0,0
35,0,0.0229413,0.0525518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376742,0,0.0269489,0.0615667,0,0,0.0356588,0,0,0.0525976,0.0272988,0.037074,0.0193494,0.0270966,0.0349094,0.0430059,0.0320354,0.0510815,0.0750942,0.0602761,0.0653532,0.060271,0.0621261,0.0616351,0.0215383,0.0499437,0.0280595,0.0105817,0,0.0174256,0.063454,0.0128219,0,0,0.0226282,0,0,0.0370958,0.0493625,0.0423819,0.0063914,0.0257398,0.040125,0.0258733,0.068465,0.0897022,0.0604887,0.0306096,0.0591969,0.0469584,0.0432084,0.0608538,0.067891,0.0241954,0.0201413,0.0103017,0.0323143,0.0256115,0,0,0,0
36,0,0.022954,0.0525293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376976,0,0.0269137,0.0615174,0,0,0.0356673,0,0,0.0526045,0.0272912,0.0370266,0.0193132,0.0271103,0.0349972,0.0430868,0.0320184,0.0509868,0.0750713,0.0602627,0.0653332,0.060306,0.0621233,0.0616527,0.021536,0.0499149,0.0280257,0.0105532,0,0.0173796,0.0634554,0.0128189,0,0,0.0226197,0,0,0.0371684,0.0493692,0.0424278,0.00637558,0.0257481,0.0401458,0.0258152,0.0685182,0.0897254,0.0605184,0.030621,0.0591751,0.0469352,0.0431473,0.060816,0.0678417,0.0241538,0.0201859,0.010222,0.0323243,0.0256216,0,0,0,0
