Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76
631,0.0256382,0.0502552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040097,0,0.0270309,0.0619141,0,0,0.0173417,0,0,0.0564242,0.0325802,0.0346958,0.0171742,0.0280524,0.0379939,0.0536193,0.0347516,0.0506936,0.07589,0.0614888,0.0646027,0.060135,0.0603654,0.0614681,0.0186263,0.0428494,0.0133715,0.0153109,0.0263802,0,0.0211775,0.0636034,0.0151043,0,0,0.02518,0,0,0.0374401,0.0454473,0.0319032,0.00284335,0.033121,0.0422272,0.0254523,0.0706103,0.0865524,0.0569736,0.0321341,0.061832,0.042038,0.0424853,0.0669686,0.0250679,0.0235009,0.019324,0.0105555,0.035713,0.0236168,0,0,0
632,0.0256364,0.0502342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398524,0,0.0271193,0.0618463,0,0,0.0173764,0,0,0.0563775,0.0324499,0.0347495,0.0171988,0.028008,0.0380171,0.0535806,0.0347652,0.0508145,0.0759107,0.0616124,0.0645951,0.0601487,0.0603588,0.0614631,0.0189448,0.0429678,0.0133379,0.0153283,0.026294,0,0.0211306,0.063645,0.015132,0,0,0.0252035,0,0,0.0374534,0.0455507,0.0318084,0.0028103,0.033021,0.0421561,0.0255047,0.070603,0.0865669,0.0569744,0.0320984,0.0618131,0.0421224,0.0424955,0.0669931,0.0251355,0.0235994,0.0194642,0.0104701,0.0357575,0.0234258,0,0,0
633,0.0256174,0.0502902,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396736,0,0.0270779,0.0617647,0,0,0.0171616,0,0,0.0562899,0.0322465,0.0348371,0.0171959,0.0279788,0.0380334,0.0536471,0.0348013,0.0509415,0.0759364,0.061718,0.0645713,0.0601518,0.0603489,0.0614587,0.0191778,0.0429059,0.0137375,0.0144951,0.0261276,0,0.0211194,0.0637124,0.0151053,0,0,0.0252283,0,0,0.0374839,0.0454855,0.0317666,0.00274232,0.0330083,0.0420849,0.02554,0.0705497,0.0865971,0.0569661,0.0321383,0.061783,0.042147,0.0424946,0.0670175,0.0253175,0.02368,0.0196324,0.0103786,0.0358115,0.0234871,0,0,0
634,0.025393,0.0505453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396428,0,0.0269934,0.0615253,0,0,0.0148062,0,0,0.0516122,0.0321287,0.0348875,0.0168792,0.0279461,0.0380021,0.0535766,0.0348665,0.0509808,0.07593,0.0618088,0.0645521,0.060134,0.0603389,0.0614529,0.0192321,0.0418402,0.0196612,0,0.0259373,0,0.0210558,0.0639705,0.0147986,0,0,0.0252313,0,0,0.0374572,0.0453703,0.0314591,0.00295155,0.0329791,0.0416251,0.0257113,0.070293,0.0864092,0.0569936,0.0321163,0.0619856,0.042347,0.0427195,0.0672726,0.0254523,0.0235479,0.0193521,0.0104394,0.0361056,0.0235984,0,0,0
635,0.0253753,0.0506492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395923,0,0.027004,0.0615046,0,0,0.0147718,0,0,0.0515314,0.0321599,0.0349208,0.0168171,0.0278623,0.0379914,0.0534407,0.0348814,0.0510901,0.0759274,0.0617862,0.0645481,0.0601356,0.0603462,0.0614866,0.0193466,0.0419278,0.0192316,0,0.0258386,0,0.0210123,0.063979,0.014677,0,0,0.0253371,0,0,0.0374953,0.0453233,0.0313568,0.00288199,0.0328436,0.0415961,0.0256949,0.0703137,0.0864787,0.0570446,0.0320353,0.062021,0.0423802,0.042755,0.0672829,0.0255608,0.0236717,0.0196282,0.0103069,0.0361155,0.0238701,0,0,0
636,0.0257282,0.0504446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395543,0,0.0271624,0.0617348,0,0,0.0173808,0,0,0.0562443,0.0324532,0.0349073,0.0170164,0.0278341,0.0379306,0.0532042,0.0348564,0.0512331,0.0759457,0.0617066,0.0645118,0.0601138,0.0603385,0.0614722,0.0194088,0.0432411,0.0131071,0.0154875,0.0256462,0,0.0210725,0.0637379,0.0151154,0,0,0.0253403,0,0,0.037456,0.045341,0.0316004,0.00250363,0.0327744,0.0419371,0.0255879,0.0705417,0.0867237,0.0571207,0.0320375,0.0618757,0.0422284,0.0425984,0.0670269,0.0258696,0.0236522,0.0196258,0.0103953,0.0358344,0.0235691,0,0,0
637,0.0254589,0.0508174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397743,0,0.0272754,0.0615797,0,0,0.0147852,0,0,0.0513931,0.0327867,0.0348801,0.0166453,0.0277721,0.0378646,0.0532221,0.034882,0.0511555,0.0758809,0.0616368,0.0645145,0.0601254,0.0603552,0.0614459,0.0191455,0.0422228,0.0192137,0,0.025652,0,0.0209611,0.0638464,0.0146972,0,0,0.0253832,0,0,0.0374716,0.0452857,0.0312484,0.00277386,0.0324983,0.0414764,0.0256868,0.070357,0.0865177,0.0569605,0.0320478,0.0621465,0.0425722,0.0428485,0.067209,0.0258308,0.0237466,0.0196718,0.0103666,0.0361336,0.0238764,0,0,0
638,0.0258716,0.0505006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398796,0,0.0273413,0.0617903,0,0,0.0172063,0,0,0.0560664,0.0327154,0.0349222,0.0168147,0.0277622,0.0378588,0.0531229,0.0348831,0.0511494,0.0759201,0.0615734,0.0644884,0.0600437,0.0603411,0.0614108,0.0189571,0.0435403,0.0132946,0.015031,0.0255967,0,0.0209851,0.0636034,0.0152046,0,0,0.0253267,0,0,0.0374123,0.0453124,0.0314901,0.00245591,0.032377,0.0417335,0.0255777,0.0705843,0.0867701,0.0569681,0.0323265,0.062005,0.0424232,0.0426184,0.0670352,0.0259842,0.0237183,0.0197381,0.0104309,0.0358586,0.0233705,0,0,0
639,0.0259308,0.0505109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401101,0,0.0274005,0.0618101,0,0,0.0169771,0,0,0.0561017,0.032906,0.0349539,0.0167459,0.0277131,0.0378355,0.0530865,0.0348923,0.0510662,0.0758992,0.0615378,0.0644702,0.0599975,0.0603308,0.0613906,0.0186589,0.0436366,0.0133745,0.0148782,0.025543,0,0.021008,0.0635559,0.015241,0,0,0.0253376,0,0,0.0373941,0.0451804,0.0315093,0.00241624,0.0322364,0.0416936,0.0256251,0.0705587,0.0867795,0.0568388,0.0324819,0.0620518,0.0425056,0.042625,0.0670507,0.0260121,0.023715,0.0197508,0.0104298,0.035883,0.0233086,0,0,0
640,0.025994,0.0505549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0404019,0,0.0274391,0.061789,0,0,0.0171072,0,0,0.0560327,0.0326489,0.0349484,0.0166321,0.0276436,0.0378145,0.053047,0.0349044,0.0509566,0.0758449,0.0614896,0.0644907,0.0600276,0.0603312,0.0614218,0.0182943,0.0437147,0.0133526,0.0148666,0.0255041,0,0.0210284,0.0635479,0.0152372,0,0,0.0253845,0,0,0.0373375,0.0449649,0.0315102,0.00239499,0.0321736,0.0416566,0.0256261,0.0705729,0.0868001,0.0568223,0.0324679,0.0620045,0.0425983,0.0426151,0.0670925,0.0260281,0.0237066,0.0198322,0.0103164,0.0359236,0.0232532,0,0,0
641,0.0260692,0.0505554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407047,0,0.0274653,0.0617455,0,0,0.0172356,0,0,0.0559871,0.0321232,0.034897,0.016473,0.0275986,0.0378149,0.0529832,0.0349291,0.0509188,0.0758038,0.0614462,0.0645381,0.0600655,0.0603593,0.0614804,0.0178646,0.043821,0.0133286,0.0148786,0.0254473,0,0.0209894,0.0635793,0.0153036,0,0,0.0253815,0,0,0.0371801,0.0447613,0.0314833,0.00244751,0.0321801,0.0415727,0.0255755,0.0706265,0.0868351,0.0568313,0.0325304,0.061873,0.0426273,0.0425986,0.0671401,0.026083,0.0237423,0.0199368,0.0101975,0.0359751,0.0231716,0,0,0
642,0.0261034,0.0505554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408644,0,0.0274952,0.0617775,0,0,0.0171975,0,0,0.0559727,0.0321141,0.0349412,0.0164576,0.0276158,0.0378577,0.0529086,0.0349274,0.0508103,0.0757827,0.0614515,0.0645365,0.0600474,0.0603661,0.0614928,0.0176102,0.0438993,0.0133719,0.0148024,0.0253737,0,0.0210104,0.0635727,0.0152582,0,0,0.0253946,0,0,0.0371447,0.0445536,0.0314735,0.00245524,0.0320983,0.0415319,0.0255257,0.0706169,0.0868279,0.0568931,0.0327799,0.0618382,0.0427232,0.0425392,0.0671661,0.0261146,0.0238163,0.0199397,0.0102889,0.0360267,0.0230789,0,0,0
643,0.0261893,0.0505463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041164,0,0.0274641,0.0617675,0,0,0.0170332,0,0,0.0559934,0.0316298,0.0348154,0.0162546,0.0276115,0.0379232,0.0529627,0.0349468,0.0508533,0.0757318,0.0614023,0.0645852,0.060106,0.0604128,0.0615586,0.0171813,0.0439664,0.0134852,0.0146764,0.0252828,0,0.0210169,0.0635772,0.0152492,0,0,0.0253924,0,0,0.0371311,0.044234,0.0314604,0.0025118,0.0320542,0.0414618,0.025419,0.0706443,0.0868189,0.0568776,0.0328513,0.0618566,0.0426808,0.0425374,0.067176,0.0262039,0.0238671,0.0199948,0.0102862,0.0360586,0.0229772,0,0,0
644,0.0262516,0.050538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412911,0,0.0274004,0.0617672,0,0,0.0169883,0,0,0.0559818,0.0315328,0.0347665,0.0162371,0.0276633,0.0378116,0.0530211,0.0349423,0.0508366,0.0757295,0.0614196,0.0645846,0.0601197,0.0604138,0.0615599,0.0170074,0.0440266,0.0135499,0.0145963,0.0252834,0,0.020988,0.0635502,0.0152927,0,0,0.0254256,0,0,0.0371198,0.044065,0.0313968,0.00254108,0.0320748,0.041447,0.0254429,0.0706489,0.0867952,0.0569166,0.0328613,0.0618834,0.0425921,0.0425864,0.0671044,0.0261753,0.0239461,0.0201189,0.0101833,0.0360804,0.0226726,0,0,0
