Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
All Timesteps RMSE,0.0200709,0.0471322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401268,0,0.0281418,0.0628113,0,0,0.0262399,0,0,0.0501361,0.0316227,0.0401071,0.0180153,0.02456,0.0347579,0.0539453,0.0325941,0.0496883,0.0744565,0.0595853,0.0644887,0.0598968,0.0605665,0.0608478,0.0279942,0.0450384,0.0290327,0.0362536,0.0305648,0,0.0204848,0.0630619,0.0137782,0,0,0.0195907,0,0,0.0378545,0.0468114,0.0369863,0.00854881,0.029495,0.0423973,0.0285226,0.0694482,0.0872181,0.058693,0.0304633,0.0610459,0.0415679,0.041186,0.0650538,0.0302885,0.0229579,0.0196996,0.0104184,0.0283123,0.0291977,0,0,0,0
0,0.024197,0.0519006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418699,0,0.0272233,0.0609449,0,0,0.0092742,0,0,0.0523336,0.0312327,0.0348448,0.0153384,0.0272578,0.0352048,0.0567986,0.0347834,0.051669,0.0762445,0.0616425,0.0652145,0.0603456,0.0613473,0.0615404,0.0176739,0.0403758,0.0209203,0.00949295,0.0280701,0,0.0208365,0.0663613,0.014894,0,0,0.0170683,0,0,0.03784,0.0464371,0.0317501,0.00317475,0.032717,0.039645,0.0314222,0.0692519,0.0876679,0.0579932,0.0295795,0.0612581,0.0427196,0.0424166,0.0658292,0.0249248,0.0216709,0.0203762,0.00990175,0.0362825,0.0236207,0,0,0,0
1,0.0242553,0.0520836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417118,0,0.0273027,0.060937,0,0,0.00934389,0,0,0.0524914,0.0312117,0.0348073,0.0153518,0.0274446,0.0352612,0.0568516,0.0347239,0.0517388,0.0761651,0.0615878,0.0651481,0.0603008,0.0613369,0.0615367,0.0177195,0.0404195,0.0205827,0.00934143,0.0280804,0,0.0208322,0.0662917,0.0146722,0,0,0.0172374,0,0,0.0378308,0.046367,0.0317188,0.00322159,0.0326267,0.0396614,0.0312461,0.0692815,0.0876984,0.0579746,0.0294659,0.0612797,0.0427781,0.0424567,0.0658416,0.0249167,0.0216473,0.020286,0.00986347,0.0362652,0.023813,0,0,0,0
2,0.0242676,0.052106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416743,0,0.0272707,0.0609601,0,0,0.0093855,0,0,0.0525328,0.0311566,0.0347925,0.0153898,0.027428,0.0353107,0.0569154,0.0346587,0.05175,0.0761433,0.0615161,0.0650563,0.0603146,0.0613601,0.0615415,0.0177275,0.0403608,0.0204833,0.00931407,0.0281345,0,0.0208876,0.0663053,0.0145943,0,0,0.0172853,0,0,0.0377755,0.0463466,0.0317478,0.00327934,0.0325986,0.0397164,0.0311885,0.0693851,0.0877157,0.0579258,0.0294028,0.0613048,0.0428864,0.0424827,0.0658526,0.0248584,0.0216132,0.0201854,0.0100003,0.0362354,0.0238957,0,0,0,0
3,0.0243085,0.051997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417274,0,0.0272925,0.0610413,0,0,0.00945926,0,0,0.0525886,0.0312024,0.0347584,0.015426,0.027426,0.0353416,0.0569201,0.0346131,0.051676,0.0761471,0.0614779,0.0651448,0.0602773,0.0612793,0.0615284,0.0176499,0.0402736,0.0204447,0.00934522,0.0277626,0,0.0212406,0.0662686,0.014605,0,0,0.0173075,0,0,0.0376967,0.0464627,0.0321032,0.00323283,0.033161,0.0397838,0.0310845,0.0695987,0.0876439,0.0577286,0.0292527,0.0611106,0.0428164,0.0423923,0.0657337,0.0252798,0.0216405,0.020164,0.0101645,0.0361787,0.0238942,0,0,0,0
4,0.0235006,0.053982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410965,0,0.0268412,0.061145,0,0,0.00964279,0,0,0.0527442,0.0298478,0.0343663,0.0161547,0.0273917,0.0345411,0.0579627,0.033897,0.051909,0.0759431,0.0607071,0.0655722,0.0607205,0.0616776,0.0618585,0.0182864,0.0403756,0.0205152,0.00920209,0.0308526,0,0.0203354,0.0656683,0.0158842,0,0,0.023604,0,0,0.0374637,0.0468169,0.0325709,0.00495086,0.0309709,0.0394525,0.0256426,0.0689908,0.086957,0.0576323,0.0296039,0.0620533,0.0444225,0.0434404,0.0660586,0.0230627,0.0229262,0.02157,0.00766625,0.0375597,0.0222432,0,0,0,0
5,0.0233801,0.0520347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412122,0,0.0268752,0.0610215,0,0,0.00945272,0,0,0.0525831,0.0299532,0.0343893,0.0162197,0.0273895,0.0349303,0.0575831,0.0339377,0.0518839,0.0759593,0.0607515,0.0655258,0.060707,0.061702,0.0618477,0.0182208,0.0404649,0.0205607,0.00916621,0.0304157,0,0.0204562,0.0657725,0.0135429,0,0,0.0230869,0,0,0.0380867,0.046761,0.032309,0.00488906,0.031142,0.0396752,0.028004,0.0690758,0.08682,0.0574611,0.0296399,0.0621267,0.0444144,0.0435108,0.0662061,0.0233073,0.0248678,0.022527,0.00687042,0.0364552,0.0247062,0,0,0,0
6,0.0232056,0.0518972,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412137,0,0.0268619,0.0610491,0,0,0.00952367,0,0,0.0526258,0.0299545,0.034418,0.0162851,0.0273833,0.0349393,0.0576182,0.0339242,0.0518645,0.0759071,0.0607667,0.0655623,0.0606768,0.0616706,0.0618609,0.0182189,0.0403676,0.0204723,0.00914459,0.0300268,0,0.0206337,0.0657153,0.0135036,0,0,0.0230493,0,0,0.0380298,0.046805,0.0321511,0.00486053,0.0312964,0.0397342,0.0279408,0.0692286,0.0867922,0.0573377,0.029722,0.0621652,0.0443487,0.0435342,0.0663074,0.0235335,0.0248701,0.0223148,0.00700765,0.0364096,0.0247769,0,0,0,0
7,0.0230689,0.0518184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412128,0,0.0268801,0.0610947,0,0,0.00961374,0,0,0.0526778,0.0299356,0.0344312,0.0163398,0.027405,0.0349423,0.0576903,0.0339149,0.0518454,0.0758978,0.0607768,0.0656362,0.0606772,0.0617395,0.0618527,0.0182099,0.040247,0.0203937,0.00909604,0.0296659,0,0.0208622,0.0657144,0.0135291,0,0,0.0229607,0,0,0.0378679,0.0468536,0.0320207,0.00483345,0.0314801,0.0397839,0.0278632,0.0693567,0.0868001,0.0572446,0.0298066,0.0621915,0.044291,0.043536,0.066382,0.0237231,0.0248758,0.0219617,0.00728925,0.0363282,0.0247935,0,0,0,0
8,0.0230364,0.0517708,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412416,0,0.0268733,0.0611303,0,0,0.00968498,0,0,0.0527276,0.0299483,0.0344021,0.0163608,0.0274461,0.034937,0.0577673,0.0338986,0.0517843,0.0758774,0.0607615,0.0656488,0.0606747,0.061788,0.0618498,0.0181689,0.0401684,0.0203978,0.00901518,0.029351,0,0.0209976,0.0656824,0.0134828,0,0,0.0229683,0,0,0.0378594,0.046865,0.0318636,0.00481538,0.0316498,0.039819,0.0278335,0.0694458,0.0867909,0.0571816,0.0298938,0.0622139,0.0442317,0.0435277,0.066445,0.0239083,0.024894,0.0219452,0.00732334,0.0362075,0.0248426,0,0,0,0
9,0.0231404,0.0517207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412944,0,0.0268498,0.0611697,0,0,0.00973612,0,0,0.0527604,0.0299791,0.0343586,0.0163867,0.0274657,0.0349339,0.0578298,0.0338766,0.0517287,0.0758755,0.0607269,0.065618,0.0606797,0.0617371,0.0618493,0.0181196,0.0401233,0.0204016,0.00890047,0.0290629,0,0.0211004,0.0656221,0.0133737,0,0,0.0230149,0,0,0.0379125,0.0468816,0.0317231,0.00479016,0.0317997,0.0398395,0.0277705,0.0695742,0.0867718,0.057152,0.029958,0.0622326,0.0441904,0.0435333,0.0665104,0.0240653,0.0248828,0.0220454,0.00724811,0.0361036,0.0249623,0,0,0,0
10,0.0231749,0.0516892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412601,0,0.026893,0.0612405,0,0,0.00978406,0,0,0.0527985,0.030056,0.0343391,0.016408,0.0275636,0.0348715,0.057924,0.0338721,0.0516592,0.0758613,0.060727,0.0656426,0.0606622,0.0616076,0.0618276,0.0180592,0.0400743,0.0203777,0.00873316,0.0287067,0,0.0212585,0.0656648,0.013307,0,0,0.0229472,0,0,0.0377448,0.0469727,0.0316528,0.00475568,0.0320357,0.0398269,0.0276721,0.0697179,0.0867385,0.0571169,0.0299926,0.0622162,0.0441239,0.0435201,0.0665602,0.024293,0.0248071,0.0216345,0.00749908,0.0360782,0.0250398,0,0,0,0
11,0.0226972,0.0518177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405816,0,0.0268495,0.0591032,0,0,0.0102609,0,0,0.0530987,0,0.0375209,0.0176022,0.0284221,0.0355931,0.0586577,0.0342829,0.0492255,0.0754153,0.0617642,0.0652281,0.0602182,0.0606219,0.0606857,0.0213657,0.0397857,0.0201266,0.00876484,0.0281717,0,0.0211653,0.0681315,0.0129877,0,0,0.0228992,0,0,0.0376195,0.0457384,0.0316866,0.00476031,0.0327307,0.0396549,0.0273925,0.0697314,0.0872269,0.0571654,0.0286735,0.0616768,0.0436493,0.0430634,0.0661747,0.0248332,0.0246574,0.0213731,0.0076396,0.0361551,0.0255154,0,0,0,0
12,0.0228123,0.0517138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413449,0,0.0268342,0.0612555,0,0,0.00977019,0,0,0.0528047,0.0300918,0.0342752,0.0163147,0.0275396,0.034836,0.0580843,0.0338389,0.0516846,0.0758364,0.0607447,0.0657671,0.060697,0.0617023,0.0618726,0.0179911,0.0400926,0.0204278,0.00838703,0.0283444,0,0.0213809,0.0655251,0.0133007,0,0,0.0228632,0,0,0.0375742,0.0469354,0.0313652,0.00462956,0.0321969,0.0398838,0.0276562,0.0697215,0.0867359,0.0570382,0.030045,0.0622341,0.044076,0.0435079,0.06666,0.0244487,0.0247072,0.0210678,0.00781224,0.0360218,0.0250358,0,0,0,0
13,0.0227098,0.0517208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413293,0,0.0267792,0.0612623,0,0,0.00973614,0,0,0.0527692,0.0300228,0.0341995,0.0161474,0.0275332,0.0347012,0.0581228,0.0338051,0.0516733,0.0758232,0.0606941,0.0658092,0.0607619,0.0617694,0.061839,0.017993,0.0400921,0.0204745,0.00820228,0.0281219,0,0.0214434,0.0654695,0.013318,0,0,0.0228485,0,0,0.0375502,0.0469372,0.0312583,0.00460449,0.0322774,0.0398106,0.0277536,0.0698017,0.0867175,0.0569758,0.0301212,0.0622527,0.044019,0.0435082,0.0667117,0.0245895,0.0246409,0.0209701,0.00780926,0.0359903,0.0249803,0,0,0,0
