Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76
All Timesteps RMSE,0.0247172,0.0464744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039663,0,0.0295027,0.0626106,0,0,0.0154917,0,0,0.0467254,0.0327512,0.0426222,0.0156043,0.0218644,0.0370887,0.058005,0.0346034,0.050342,0.0749367,0.0600263,0.0628106,0.058624,0.0596756,0.0601654,0.0309615,0.0387465,0.0208379,0.0107084,0.0317457,0,0.0216869,0.0635193,0.0162229,0,0,0.0156002,0,0,0.0348391,0.0430889,0.0412761,0.00939527,0.0287042,0.0451877,0.0298588,0.0727502,0.0918182,0.0606726,0.0274349,0.057047,0.0365854,0.0364241,0.0610883,0.0342267,0.0225462,0.0198666,0.0144713,0.0266331,0.0236505,0,0,0
0,0.0286732,0.0459172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395111,0,0.0276453,0.0617484,0,0,0.00939917,0,0,0.0430326,0.0298428,0.0380786,0.0140133,0.0276624,0.0363495,0.0479671,0.0357873,0.0514283,0.0742464,0.0602855,0.0658438,0.0610471,0.0627712,0.0630309,0.0205087,0.0449715,0.0231249,0.0121878,0.031429,0,0.0198448,0.0653827,0.0191506,0,0,0.0140363,0,0,0.0345566,0.0463763,0.0344025,0.00622868,0.0320979,0.0414777,0.0266354,0.0679747,0.087474,0.0592145,0.0263177,0.0585626,0.039371,0.0394765,0.0636781,0.0221388,0.0230553,0.0186426,0.0202451,0.02818,0.0169725,0,0,0
1,0.0284527,0.0460507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395154,0,0.0266926,0.0612528,0,0,0.00941743,0,0,0.042937,0.0302157,0.0379489,0.0139539,0.0274493,0.0357475,0.0477392,0.0354973,0.0512232,0.074001,0.0599927,0.0661721,0.0612719,0.0628118,0.0631128,0.0204869,0.0451705,0.023213,0.0121939,0.0342985,0,0.019813,0.0659968,0.018668,0,0,0.0162769,0,0,0.0353402,0.0457439,0.0350923,0.00648857,0.0305146,0.0408941,0.0259971,0.0680442,0.0877809,0.0595901,0.0266222,0.0584351,0.0392779,0.0390729,0.0632877,0.0195651,0.0240909,0.0168073,0.0184475,0.0285609,0.017165,0,0,0
2,0.0285657,0.0461491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395519,0,0.0265304,0.060864,0,0,0.00938282,0,0,0.043088,0.030363,0.0380491,0.0137729,0.0271358,0.0359503,0.0474609,0.0355094,0.0511863,0.0741315,0.059899,0.0661523,0.0610381,0.0628933,0.0629518,0.0206535,0.0447499,0.0230429,0.0121388,0.0348923,0,0.0199484,0.0663872,0.0187003,0,0,0.0162075,0,0,0.0357186,0.0455537,0.0356847,0.00628629,0.0304154,0.0407469,0.026288,0.0683045,0.0877177,0.0593398,0.0271022,0.058292,0.0390145,0.0388582,0.0631047,0.0192017,0.024126,0.0169516,0.0180685,0.028513,0.0172677,0,0,0
3,0.0286838,0.0461996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397563,0,0.0265283,0.0606244,0,0,0.00932177,0,0,0.0433097,0.0304057,0.0381044,0.0137141,0.0268508,0.0361154,0.0474463,0.0354884,0.0509529,0.0742749,0.0597373,0.0661339,0.0609388,0.0630131,0.0628924,0.0205509,0.0442756,0.0228445,0.0120688,0.0351707,0,0.0200708,0.0666774,0.018721,0,0,0.016282,0,0,0.0360446,0.0454773,0.0361951,0.00616,0.0305184,0.0407617,0.0265524,0.0686255,0.0877662,0.0591848,0.0275025,0.0581426,0.0387486,0.0386935,0.0629449,0.0190853,0.0239874,0.0169972,0.0176868,0.028395,0.017444,0,0,0
4,0.0287574,0.0462817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399039,0,0.0265459,0.0604786,0,0,0.00931359,0,0,0.0434909,0.0304519,0.0381957,0.0136821,0.0267589,0.0362933,0.0476786,0.0354422,0.0508404,0.0744372,0.0595659,0.066112,0.0609071,0.0630259,0.0628694,0.0204322,0.0437348,0.0226713,0.0119476,0.0353105,0,0.0201645,0.0669529,0.0187401,0,0,0.0163796,0,0,0.0362153,0.04547,0.0365754,0.00614639,0.0307296,0.0408991,0.0267123,0.068891,0.0878634,0.0591295,0.0277695,0.0580447,0.0385416,0.0385772,0.0628491,0.0190645,0.0237462,0.0169562,0.0173816,0.0282419,0.0176712,0,0,0
5,0.0287596,0.0460783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399999,0,0.0265735,0.0603537,0,0,0.00941754,0,0,0.0436413,0.0305571,0.03831,0.0136922,0.0268387,0.0364466,0.0480651,0.0353491,0.0509489,0.0744531,0.059421,0.0660856,0.0608858,0.0629832,0.062829,0.0203504,0.0431568,0.0225105,0.0118047,0.0353205,0,0.0202372,0.0669401,0.0187427,0,0,0.016439,0,0,0.0362624,0.0454872,0.0368434,0.00629592,0.0309914,0.0411078,0.0267535,0.0690714,0.0879502,0.0591494,0.0278832,0.0579724,0.0383821,0.0384825,0.0628037,0.0191826,0.0234745,0.0169425,0.0171379,0.0281166,0.0178811,0,0,0
6,0.0287458,0.045931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399258,0,0.0266003,0.060374,0,0,0.00962433,0,0,0.0436939,0.0306633,0.0384296,0.0137899,0.0270323,0.0365156,0.0485797,0.0352232,0.0513392,0.0743581,0.0592677,0.0660764,0.0608523,0.0629713,0.0627482,0.0203705,0.0427024,0.0224035,0.0115871,0.0351676,0,0.0203051,0.0667403,0.0187453,0,0,0.0164785,0,0,0.0363039,0.0456113,0.0370044,0.0064234,0.0312531,0.0413658,0.0267984,0.0691983,0.0879672,0.0592625,0.0278716,0.057886,0.0382796,0.0384483,0.0627498,0.0194187,0.0232356,0.016974,0.0169797,0.0279883,0.0180605,0,0,0
7,0.0287645,0.0460718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398436,0,0.0266396,0.0605704,0,0,0.00983794,0,0,0.0436315,0.0307041,0.0384864,0.0139307,0.0272685,0.0365141,0.0491825,0.0350934,0.0513873,0.0742271,0.0591234,0.0660411,0.0608009,0.0629257,0.0626719,0.0203595,0.0424514,0.0223061,0.0114145,0.0348975,0,0.0203636,0.0663939,0.018753,0,0,0.0164502,0,0,0.0363822,0.0458362,0.037067,0.00646331,0.0314303,0.04164,0.0267603,0.0692649,0.087921,0.0592599,0.0277644,0.0577974,0.0382154,0.0384229,0.0626871,0.0197154,0.0231641,0.0170941,0.0169171,0.0279072,0.0181697,0,0,0
8,0.0288118,0.045991,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397796,0,0.0266557,0.0607825,0,0,0.0100604,0,0,0.0435205,0.0307196,0.0384425,0.0140276,0.0275481,0.0364799,0.049795,0.034935,0.0511397,0.0740705,0.0590075,0.0660137,0.0607572,0.0627843,0.062658,0.0203428,0.0423344,0.0222114,0.011267,0.0346056,0,0.0204103,0.0661847,0.0187237,0,0,0.0162917,0,0,0.0363763,0.0460648,0.0370409,0.00652996,0.0315856,0.0418883,0.0267121,0.069328,0.0878906,0.0591815,0.0276232,0.057724,0.0381583,0.0383826,0.0626303,0.0200045,0.0232713,0.017242,0.0170286,0.0279195,0.0181893,0,0,0
