Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,L5HD
10,0,0.0262591,0.0477598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339067,0.0263434,0.0626186,0,0,0.0113523,0,0,0.0453436,0.0271437,0.0370098,0.0108274,0.0206957,0.0367666,0.052383,0.0336635,0.0531814,0.0758165,0.0608263,0.0637316,0.0592431,0.060223,0.0612755,0.0245485,0.0403716,0.0213013,0.0105506,0.0233624,0,0.0192303,0.063372,0.0177887,0,0,0.0138857,0,0,0.0367835,0.0406942,0.0436012,0.00362547,0.0253319,0.0393793,0.030677,0.0761191,0.0974165,0.0628073,0.02034,0.0609379,0.0379405,0.0376104,0.0634777,0.0546892,0.0186058,0.0198129,0.0151071,0.0321471,0.0200971,0,0,0,0
11,0,0.0260521,0.0477898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321991,0.0271184,0.0611951,0,0,0.0113517,0,0,0.0454374,0,0.0376104,0.0121466,0.0209961,0.037118,0.0527512,0.0336679,0.05085,0.0751388,0.0615473,0.0636721,0.0590625,0.0601985,0.0612182,0.0268516,0.0403487,0.0211411,0.0105031,0.0242198,0,0.019249,0.0654458,0.017624,0,0,0.0139059,0,0,0.0366908,0.0389768,0.045253,0.00326424,0.0252474,0.0394512,0.0302714,0.0754623,0.0974118,0.0636503,0.0184491,0.060887,0.0378314,0.0374326,0.0633293,0.060725,0.0184352,0.0198183,0.0150919,0.0321918,0.0203536,0,0,0,0
12,0,0.025919,0.0478256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336084,0.0267769,0.0630846,0,0,0.0112167,0,0,0.0453097,0.0269524,0.036813,0.0107754,0.0208743,0.0367266,0.0524158,0.0333038,0.0532637,0.0756325,0.0607755,0.0637637,0.0592348,0.0602915,0.0614262,0.024545,0.0405216,0.0211473,0.0104077,0.0252226,0,0.0192938,0.0632689,0.0176722,0,0,0.0140299,0,0,0.03682,0.0402237,0.047121,0.00447362,0.0243296,0.0398749,0.0307202,0.0750924,0.0969774,0.0638549,0.0189227,0.0607038,0.0376613,0.0370065,0.062874,0.0645205,0.0183853,0.0195703,0.0149982,0.0323122,0.0201855,0,0,0,0
13,0,0.025775,0.0478257,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339588,0.0267866,0.0631593,0,0,0.0111879,0,0,0.0451488,0.0268196,0.036722,0.0104267,0.0207634,0.0367419,0.0522517,0.0331659,0.0531858,0.0755193,0.0606599,0.0638766,0.0593834,0.0605139,0.0615286,0.0241674,0.0407247,0.0213263,0.0103841,0.0262759,0,0.0195418,0.0632492,0.0176551,0,0,0.014061,0,0,0.0368488,0.0406472,0.0488743,0.00467252,0.0234914,0.040345,0.0308843,0.0743523,0.096502,0.0642164,0.0187019,0.0604033,0.0374532,0.0366364,0.062424,0.0688035,0.0183658,0.0196182,0.0150649,0.0322878,0.0201862,0,0,0,0
14,0,0.0256725,0.0478132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343886,0.0267209,0.0632089,0,0,0.0110863,0,0,0.0448935,0.0267991,0.0366299,0.0102265,0.0207796,0.036641,0.0519625,0.0330835,0.0530286,0.0754081,0.0606137,0.0639301,0.0595024,0.0607118,0.0617796,0.0236196,0.0410318,0.0215267,0.0103184,0.027106,0,0.0199107,0.0633294,0.0176702,0,0,0.014022,0,0,0.0367724,0.0411624,0.0503895,0.00484329,0.0225381,0.0408075,0.0308866,0.0734767,0.0959141,0.0645014,0.0186841,0.0601185,0.0372225,0.03632,0.0620196,0.0725179,0.018317,0.0196658,0.0151069,0.0322878,0.0201193,0,0,0,0
15,0,0.0260126,0.0477223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346633,0.0266804,0.0640303,0,0,0.0113385,0,0,0.0439038,0.0264937,0.0371219,0.011337,0.0205656,0.035539,0.0509442,0.0326699,0.0529187,0.0753205,0.0603824,0.0639158,0.0596212,0.0608423,0.0617813,0.0234345,0.0412523,0.0224475,0.011069,0.0227994,0,0.0231246,0.0626558,0.0186793,0,0,0.0133508,0,0,0.0374859,0.0417218,0.0531107,0.00497572,0.025457,0.0417872,0.0311917,0.0742202,0.0972109,0.065034,0.0169456,0.0593319,0.0373699,0.0364901,0.0617204,0.0657638,0.018665,0.0193451,0.0144098,0.0322893,0.0190858,0,0,0,0
16,0,0.0259336,0.0476923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348909,0.0263268,0.0636607,0,0,0.0113214,0,0,0.0435719,0.0270065,0.0367956,0.0111737,0.0202884,0.0355675,0.0506547,0.0326897,0.0522297,0.075162,0.0603212,0.0642831,0.0598377,0.0612481,0.0620577,0.0229353,0.0418197,0.0226104,0.0109418,0.0222182,0,0.0244146,0.0629971,0.0185405,0,0,0.0134837,0,0,0.0371844,0.0415842,0.0547952,0.00514359,0.0247879,0.0419484,0.0310092,0.0732636,0.0965606,0.0653485,0.0163813,0.0593985,0.0373661,0.0366449,0.061954,0.0674025,0.0185592,0.0194778,0.0146766,0.0323339,0.0190946,0,0,0,0
17,0,0.0261279,0.0478441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360158,0.0261322,0.0638593,0,0,0.0111026,0,0,0.0432033,0.0267962,0.0370843,0.0113029,0.020532,0.0350244,0.0498155,0.032617,0.0521379,0.0752994,0.0601821,0.0643087,0.0598081,0.0611737,0.0618377,0.0218882,0.0421109,0.0229234,0.0112152,0.0226466,0,0.0245352,0.0627649,0.0189471,0,0,0.0131465,0,0,0.037348,0.0418554,0.0554827,0.00534297,0.0238565,0.0421525,0.0311719,0.0726903,0.095915,0.0653341,0.0167242,0.0593622,0.0373048,0.0366156,0.0620205,0.0690404,0.0187608,0.0193825,0.0144798,0.0326516,0.0184686,0,0,0,0
18,0,0.0263209,0.0479271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366556,0.0261286,0.063823,0,0,0.0108565,0,0,0.0429772,0.0268684,0.0370818,0.0111609,0.020618,0.0347983,0.0490518,0.0326388,0.0517275,0.0750968,0.0602135,0.0642178,0.0597738,0.0614768,0.0618499,0.0210939,0.0425156,0.0230079,0.011601,0.0227564,0,0.0247569,0.0629196,0.0191528,0,0,0.0130915,0,0,0.0373335,0.0417255,0.0560053,0.00534886,0.0230592,0.042296,0.0313073,0.0720682,0.0953805,0.0653836,0.0167842,0.0593772,0.0371312,0.0365538,0.0621426,0.0694696,0.0187881,0.0193693,0.0144564,0.0329178,0.01802,0,0,0,0
19,0,0.0265118,0.0479773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369799,0.0263541,0.0638317,0,0,0.0107591,0,0,0.0427946,0.0271883,0.0369957,0.0109946,0.020643,0.0347447,0.0483538,0.0327101,0.0512745,0.0748433,0.0603336,0.0640741,0.059699,0.0617943,0.061921,0.0204768,0.0428615,0.0230524,0.0118862,0.0225867,0,0.0249221,0.0629808,0.0193043,0,0,0.0132254,0,0,0.0373258,0.0412963,0.0561072,0.00520198,0.022318,0.0425424,0.0316471,0.0715004,0.0948718,0.0653235,0.016913,0.0593752,0.0368994,0.0364445,0.062274,0.0690324,0.0187725,0.019335,0.0144618,0.0331011,0.0176428,0,0,0,0
