Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76
All Timesteps RMSE,0.0241551,0.0476138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427946,0,0.0298125,0.0603246,0,0,0.0147161,0,0,0.0468201,0.0344127,0.0431728,0.0141921,0.0191706,0.037468,0.0541404,0.0364858,0.0503228,0.0768182,0.063167,0.0619554,0.0579534,0.0591974,0.0598612,0.0319183,0.0367927,0.019587,0.00970032,0.0395115,0,0.019458,0.066036,0.0156923,0,0,0.0177505,0,0,0.0352578,0.043177,0.0401056,0.00809981,0.0261632,0.0426144,0.0299982,0.0717294,0.0922136,0.0625479,0.0245889,0.0583713,0.0380148,0.0377494,0.062158,0.0294365,0.0230002,0.0238453,0.0161361,0.0294761,0.0243982,0,0,0
0,0.0278818,0.0483063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396042,0,0.026468,0.0613629,0,0,0.0104193,0,0,0.0457622,0.0274383,0.0362405,0.0118166,0.0195774,0.0382019,0.0500373,0.0345082,0.0521843,0.0764837,0.061294,0.0638237,0.0594813,0.0610503,0.0615195,0.0184841,0.0408642,0.0207338,0.0115106,0.0252056,0,0.0185891,0.064243,0.0178205,0,0,0.0147667,0,0,0.0352881,0.0436951,0.0372828,0.00461382,0.0266397,0.0410642,0.0290041,0.0731277,0.0949678,0.0631549,0.0188467,0.060519,0.0384388,0.038934,0.0646223,0.036578,0.0238346,0.0178553,0.0180959,0.031837,0.019625,0,0,0
1,0.0271937,0.0485011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393256,0,0.0259468,0.0622769,0,0,0.0100653,0,0,0.0455748,0.0293428,0.0356767,0.0120589,0.0199069,0.0371022,0.0504704,0.03379,0.0523312,0.0759646,0.0606415,0.0642763,0.059894,0.0615294,0.0618388,0.0185416,0.0414255,0.0208871,0.0115855,0.0231957,0,0.0184655,0.0633092,0.0168644,0,0,0.0157266,0,0,0.0357788,0.0441238,0.0378151,0.00563611,0.0265024,0.0408401,0.0282769,0.0729209,0.0950416,0.0634934,0.0178507,0.0609136,0.0385068,0.0390553,0.0648177,0.0417731,0.0233851,0.0165744,0.0171951,0.0322546,0.0201081,0,0,0
2,0.026779,0.0484871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388301,0,0.0260234,0.0624819,0,0,0.0100064,0,0,0.0455944,0.0272351,0.0359042,0.0126072,0.020195,0.0369529,0.050554,0.0335677,0.0525769,0.0757945,0.0605868,0.0642563,0.0598727,0.0615569,0.0617963,0.0192015,0.0414587,0.0207865,0.0116202,0.0216679,0,0.0186174,0.0631519,0.0166514,0,0,0.0155278,0,0,0.0357318,0.0442178,0.0387307,0.00590682,0.0264705,0.0410988,0.0284473,0.0725578,0.0951414,0.0639642,0.0168444,0.061025,0.0384283,0.038911,0.0647795,0.0472496,0.0232129,0.0164933,0.0172732,0.0321677,0.0202904,0,0,0
3,0.0263294,0.0485005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386542,0,0.0260138,0.0626463,0,0,0.0100139,0,0,0.0455816,0.0257418,0.036044,0.0126983,0.020333,0.0367231,0.0505817,0.0333825,0.0524499,0.0757298,0.0605122,0.0642286,0.0598952,0.0615987,0.0617761,0.0195705,0.0414946,0.0206978,0.0116827,0.0208673,0,0.0189467,0.0630667,0.0164641,0,0,0.0153631,0,0,0.0357418,0.0440975,0.0398117,0.0060727,0.0260387,0.0412033,0.0286266,0.0721183,0.0950932,0.0644045,0.0161309,0.0610399,0.0383672,0.0386858,0.0646083,0.0525542,0.0230112,0.016388,0.0173278,0.0321346,0.0204302,0,0,0
4,0.0259067,0.0484411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386273,0,0.0259736,0.0626565,0,0,0.00994193,0,0,0.0454976,0.0253373,0.0360601,0.0123936,0.0203198,0.0366174,0.0505734,0.0331434,0.0519638,0.0756839,0.0604897,0.0641985,0.0598704,0.0615808,0.0617795,0.0194374,0.0415999,0.0206561,0.0117671,0.0207942,0,0.0193095,0.0630821,0.0163276,0,0,0.0152054,0,0,0.0357459,0.0438193,0.0411333,0.0062887,0.0253852,0.0413525,0.0288312,0.0716641,0.0948695,0.0647951,0.0158237,0.0609688,0.0382644,0.0384469,0.0643331,0.0576171,0.0228274,0.0163572,0.017433,0.032007,0.0205642,0,0,0
5,0.0256111,0.0484371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386639,0,0.0260756,0.0625328,0,0,0.00988115,0,0,0.0453319,0.0254216,0.0360757,0.0122521,0.0202821,0.0364136,0.0505289,0.0330059,0.0517009,0.0756408,0.0605219,0.0643826,0.0598772,0.0616321,0.0618838,0.0192699,0.0417381,0.0207117,0.0118622,0.0212986,0,0.0196843,0.0632464,0.0162601,0,0,0.0149512,0,0,0.0356834,0.0438636,0.0426597,0.00675103,0.0247223,0.0412216,0.0290304,0.071224,0.0945904,0.0650212,0.0158185,0.06084,0.0380765,0.0382272,0.0640864,0.0622882,0.0226544,0.0163151,0.017638,0.0319055,0.0205896,0,0,0
6,0.0251617,0.0483113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384845,0,0.0265126,0.0620838,0,0,0.00979345,0,0,0.044956,0.025669,0.0359891,0,0.0208381,0.0366444,0.0500094,0.0327849,0.0517541,0.0756386,0.060948,0.0643458,0.0595431,0.0615767,0.0618522,0.0191768,0.0420812,0.0210082,0.0119322,0.0219287,0,0.0199676,0.0635245,0.0163002,0,0,0.0146329,0,0,0.0356406,0.0432667,0.0440688,0.00769599,0.0239405,0.0423745,0.0294619,0.0706981,0.0941674,0.065071,0.0163493,0.0607696,0.0379263,0.038028,0.0639464,0.0654226,0.0225953,0.0162678,0.0178085,0.03121,0.0206831,0,0,0
7,0.0252333,0.0485206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382932,0,0.0266077,0.0629644,0,0,0.00978622,0,0,0.0449237,0.025176,0.0360612,0.0124936,0.0205077,0.0358532,0.050315,0.032803,0.0523217,0.0754096,0.0606839,0.0646985,0.0599843,0.0619138,0.0622022,0.0195138,0.0420541,0.0211303,0.0117332,0.0228903,0,0.0201552,0.0630317,0.0163177,0,0,0.0145388,0,0,0.0355011,0.0426128,0.0453324,0.00692115,0.0233028,0.040932,0.0297495,0.0701572,0.0937168,0.0650904,0.0164458,0.0607849,0.0378049,0.0379173,0.0639751,0.0683751,0.0222516,0.0165728,0.01755,0.0316593,0.0204796,0,0,0
8,0.0252407,0.0485859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038626,0,0.0266078,0.062862,0,0,0.00979183,0,0,0.0447282,0.0251791,0.0360396,0.0123214,0.0207121,0.0355337,0.0502081,0.0328494,0.0521292,0.0753536,0.0606661,0.0647526,0.0600567,0.0617629,0.0622307,0.0191656,0.0422197,0.0212771,0.0117111,0.0235486,0,0.0202958,0.0632924,0.0164183,0,0,0.0144484,0,0,0.0354455,0.0424975,0.0461971,0.00716628,0.0228283,0.0407342,0.0301461,0.0698642,0.0932898,0.064949,0.0167449,0.0608094,0.0376278,0.0378128,0.0640152,0.070048,0.0220167,0.0168059,0.0174167,0.0317141,0.0202902,0,0,0
