Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76
All Timesteps RMSE,0.0211727,0.0470389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393723,0,0.0295207,0.0628962,0,0,0.0199827,0,0,0.0559933,0.0310199,0.0424249,0.0179702,0.0231787,0.0369653,0.0539445,0.0326732,0.049475,0.0744705,0.0598835,0.0643463,0.0588723,0.059881,0.0601372,0.0303614,0.0428661,0.014099,0.0170959,0.0289172,0,0.0211505,0.061728,0.0143201,0,0,0.021129,0,0,0.0387726,0.0471832,0.0376546,0.00920154,0.0265796,0.0434675,0.0302042,0.0699203,0.0879089,0.0594208,0.0306922,0.061083,0.0405931,0.0404038,0.0648907,0.0360201,0.0222069,0.0207879,0.0109425,0.0289537,0.0275081,0,0,0
0,0.0239445,0.0479204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419608,0,0.0276333,0.061061,0,0,0.0174363,0,0,0.0553368,0.0289886,0.0389572,0.0177558,0.0267168,0.0358569,0.0496792,0.0339399,0.0494104,0.0737934,0.0598612,0.0654443,0.0607534,0.0622066,0.0618393,0.0176959,0.0413378,0.0130012,0.0135974,0.026817,0,0.0225623,0.0643598,0.0144386,0,0,0.0193867,0,0,0.0400279,0.0490773,0.0321633,0.00560936,0.0317341,0.0404522,0.0302259,0.0673576,0.0850249,0.0577282,0.0319071,0.0605206,0.0415678,0.0413391,0.065378,0.0252637,0.0223364,0.0129613,0.0127551,0.0302278,0.0233357,0,0,0
1,0.0238041,0.0480229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406367,0,0.0274608,0.0608691,0,0,0.017592,0,0,0.055384,0.0288221,0.0385351,0.0178521,0.0269328,0.0360339,0.0498408,0.0338845,0.0499819,0.0738626,0.0599601,0.0653697,0.0605268,0.062258,0.0618971,0.0189436,0.041352,0.0129026,0.0137257,0.0268878,0,0.0225162,0.0645273,0.0143324,0,0,0.0194192,0,0,0.0400526,0.0490973,0.0321411,0.0052273,0.0321557,0.0405645,0.0301837,0.0672853,0.084908,0.0576891,0.0316719,0.0604567,0.0414799,0.041327,0.0653805,0.0251865,0.0222561,0.0131005,0.0126528,0.0303799,0.0235164,0,0,0
2,0.0237308,0.0481358,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399792,0,0.0273716,0.0608183,0,0,0.0176944,0,0,0.0554821,0.029127,0.0381766,0.0179205,0.0269855,0.0361686,0.0499492,0.0338107,0.0499295,0.0740378,0.0600174,0.0654806,0.0604993,0.0622606,0.0619068,0.0195382,0.0414175,0.0128232,0.0139022,0.0270861,0,0.0224809,0.064608,0.0141762,0,0,0.0194269,0,0,0.0400123,0.0492395,0.0321143,0.00496901,0.0324982,0.0406578,0.0300564,0.0671938,0.0847622,0.0576832,0.0315276,0.0604049,0.0414384,0.0413098,0.0654007,0.0249593,0.0221557,0.0131729,0.0126538,0.0305085,0.0236845,0,0,0
3,0.0236584,0.0482088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397576,0,0.0273585,0.0608889,0,0,0.0177539,0,0,0.0556455,0.0296515,0.0379382,0.0179124,0.0271089,0.0362248,0.0500137,0.0336813,0.0500016,0.074098,0.0599885,0.0655858,0.0605723,0.0622955,0.0619552,0.0198047,0.0414952,0.0127269,0.0141379,0.0273806,0,0.0224439,0.0645907,0.0140057,0,0,0.0193765,0,0,0.0399137,0.0494395,0.0320848,0.00477345,0.0327898,0.0407456,0.0297873,0.0670594,0.0845943,0.0576593,0.0314603,0.0603688,0.0413863,0.0413053,0.0654134,0.0246193,0.0220313,0.0132498,0.012665,0.0305992,0.0238671,0,0,0
4,0.0235594,0.048228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397024,0,0.0274379,0.0610756,0,0,0.0179166,0,0,0.0557084,0.0301903,0.0378822,0.01792,0.0273065,0.036194,0.0500531,0.0335085,0.0501735,0.0740033,0.059896,0.065635,0.0606346,0.0623185,0.0620055,0.0198828,0.0415974,0.0126018,0.0143708,0.0277107,0,0.0224127,0.0643851,0.0138711,0,0,0.0193007,0,0,0.0397807,0.049708,0.0320496,0.00459159,0.0331162,0.0408072,0.0294569,0.0668769,0.0844133,0.0576687,0.0314111,0.0603336,0.0413015,0.0413044,0.0654224,0.0242372,0.0219136,0.0133405,0.0126453,0.030653,0.0240851,0,0,0
5,0.0234517,0.0482614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395797,0,0.0276379,0.0612551,0,0,0.0181748,0,0,0.0556292,0.0301722,0.0379861,0.0180796,0.0274526,0.0360886,0.0500538,0.033329,0.050122,0.0738238,0.0598096,0.0656094,0.0606314,0.062275,0.0620231,0.0199244,0.0417308,0.0124852,0.0144992,0.0280247,0,0.0223772,0.0640817,0.0137805,0,0,0.0192284,0,0,0.0396556,0.0500142,0.0320092,0.00449918,0.0333722,0.0408547,0.0291901,0.0667739,0.0842369,0.0577119,0.0313746,0.0603075,0.0412662,0.0413246,0.0654395,0.0238717,0.0218872,0.0134402,0.0126114,0.0307117,0.0242769,0,0,0
6,0.0233557,0.0482988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393295,0,0.0279504,0.0613686,0,0,0.0184105,0,0,0.0555935,0.0293533,0.0382525,0.0182673,0.0275484,0.0359311,0.0500503,0.0331967,0.049782,0.0736224,0.0597001,0.0654562,0.0605455,0.0621777,0.0619907,0.0200808,0.0418326,0.0124141,0.0146304,0.0283826,0,0.0223116,0.0641474,0.0137086,0,0,0.0192042,0,0,0.0395554,0.0503702,0.0319279,0.00451399,0.0335082,0.040862,0.0289783,0.0666816,0.0841019,0.0577685,0.0313359,0.0602857,0.0412291,0.0413279,0.0654537,0.0234381,0.0218311,0.0135059,0.0126171,0.0307448,0.02443,0,0,0
7,0.0233188,0.0483058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392764,0,0.0282644,0.0614791,0,0,0.0185752,0,0,0.0556261,0.0289403,0.0385465,0.0183896,0.0276926,0.0357624,0.05002,0.0331866,0.0495523,0.0735065,0.0595633,0.0653541,0.0605095,0.0620651,0.0619504,0.020118,0.0419284,0.0123525,0.0148337,0.0286875,0,0.0222587,0.0641619,0.0136464,0,0,0.0191692,0,0,0.0394239,0.0507762,0.0318297,0.00452943,0.0335536,0.0408174,0.0287805,0.0666074,0.0840737,0.057789,0.0313309,0.0602675,0.0411789,0.041355,0.065452,0.0230851,0.0218067,0.0135252,0.0126173,0.030756,0.0245136,0,0,0
8,0.0233139,0.0483023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393366,0,0.0285488,0.0615837,0,0,0.0186929,0,0,0.0557489,0.0288439,0.0388047,0.0184249,0.0279073,0.0355946,0.0499746,0.0331939,0.0495239,0.0734249,0.0594625,0.0653421,0.0605529,0.0619288,0.0618587,0.0200783,0.0420387,0.012332,0.0150765,0.0288947,0,0.0222352,0.0640902,0.0136162,0,0,0.0191582,0,0,0.0393224,0.0509787,0.0317272,0.00450997,0.0335315,0.040742,0.0286179,0.0666059,0.0840857,0.0578103,0.0313227,0.0602689,0.0411388,0.0413747,0.0654463,0.0228446,0.0217964,0.013551,0.0126059,0.0307275,0.024532,0,0,0
