Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x77,x76
129,0.0230051,0.0467232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370371,0,0.0278845,0.0644413,0,0,0.0116797,0,0,0.04592,0.0267298,0.034078,0.0142932,0.0249482,0.0369559,0.0531294,0.0344338,0.0522854,0.0761282,0.0608205,0.0654764,0.0613098,0.0618349,0.0625227,0.0213877,0.0398054,0.0219622,0.0106297,0.0304543,0,0.018018,0.06002,0.0154611,0,0,0.0160907,0,0,0.0357074,0.0413136,0.0390749,0.00400467,0.0223021,0.0423032,0.0268866,0.0753989,0.0956359,0.0607773,0.0272105,0.0597795,0.0388605,0.037711,0.0628834,0.02754,0.0204067,0.0169308,0.0160819,0.0282443,0.0253159,0,0,0,0
130,0.0229031,0.0465543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0368649,0,0.0279886,0.0643584,0,0,0.0117425,0,0,0.04603,0.0266134,0.0342044,0.0141685,0.0249913,0.036914,0.0532096,0.0343955,0.0524639,0.0761615,0.0607904,0.0654302,0.0612868,0.06181,0.0624933,0.0216585,0.0397158,0.0219483,0.0105914,0.0306075,0,0.017984,0.0600436,0.0153533,0,0,0.0161038,0,0,0.035637,0.0411972,0.0392952,0.00432517,0.022086,0.0423757,0.0267722,0.0751195,0.0955303,0.0612136,0.0269386,0.0598154,0.0387805,0.0373955,0.0627181,0.0275376,0.0203561,0.0168791,0.0160541,0.0280007,0.0254558,0,0,0,0
131,0.0227315,0.0465374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366856,0,0.0280781,0.0643574,0,0,0.0117862,0,0,0.046204,0.0264008,0.0343096,0.0143335,0.0249902,0.0368269,0.0533384,0.0343137,0.0526435,0.0761598,0.0606112,0.0654309,0.0612955,0.0618367,0.0625057,0.0219367,0.0396311,0.0219386,0.0105665,0.030942,0,0.0180044,0.0600502,0.015172,0,0,0.0161484,0,0,0.0355511,0.0411247,0.0395497,0.00456829,0.0218982,0.0423818,0.0266893,0.0748631,0.0953954,0.0615805,0.0268213,0.0597222,0.0386436,0.0371575,0.0625765,0.0273186,0.0202883,0.0168583,0.0159613,0.0278154,0.0257229,0,0,0,0
132,0.0225501,0.0465245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036462,0,0.0281537,0.0644525,0,0,0.0118519,0,0,0.0461729,0.0258654,0.0343765,0.0147515,0.0249901,0.0367734,0.0534507,0.0342755,0.0527847,0.076145,0.0605381,0.0654574,0.0613492,0.0618627,0.0625588,0.0223064,0.0395364,0.0219194,0.0104897,0.0313921,0,0.0180352,0.0600331,0.0149892,0,0,0.0161282,0,0,0.0353932,0.041114,0.0397955,0.00472716,0.0217256,0.0423227,0.0266817,0.0746898,0.09532,0.0617488,0.0268971,0.059611,0.0383594,0.0369601,0.0625102,0.0269822,0.0202472,0.0168108,0.0158213,0.0276947,0.0259039,0,0,0,0
133,0.0224075,0.0465611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361203,0,0.0282388,0.0645074,0,0,0.0118593,0,0,0.0462528,0.0250186,0.0344376,0.0152061,0.0250042,0.0366702,0.0536022,0.0342916,0.0528593,0.0761398,0.0606336,0.065497,0.0614411,0.0618947,0.0625913,0.0227996,0.0395643,0.0219544,0.0104217,0.031787,0,0.0179947,0.0600511,0.0155039,0,0,0.0160864,0,0,0.0353318,0.0411454,0.0399889,0.00482944,0.0215644,0.0422331,0.0267757,0.0745838,0.0952738,0.0620278,0.0268187,0.0595311,0.0380759,0.0367838,0.0624939,0.0266564,0.0202078,0.0167189,0.0158231,0.0275579,0.026129,0,0,0,0
134,0.0229961,0.0462324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358484,0,0.0282792,0.0646511,0,0,0.0123924,0,0,0.0466162,0.025134,0.0345303,0.0153278,0.0249612,0.0363934,0.0535306,0.0342542,0.0530935,0.0761994,0.0607157,0.0654943,0.0615087,0.0618838,0.0625961,0.02316,0.038847,0.0215627,0.0100998,0.0319796,0,0.0180599,0.0600073,0,0,0,0.0160744,0,0,0.0350806,0.0413047,0.0404096,0.00501419,0.0215892,0.042338,0.026523,0.0747505,0.0954167,0.0622832,0.0267447,0.0592594,0.0376741,0.036447,0.0622529,0.02649,0.0205661,0.0170117,0.016381,0.0272643,0.0249854,0,0,0,0
135,0.0228431,0.0462608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0356614,0,0.0283161,0.0645402,0,0,0.0123173,0,0,0.0465745,0.0251796,0.0346617,0.0154108,0.0249281,0.036303,0.0535558,0.0340327,0.0532293,0.0762128,0.0607743,0.0655091,0.0615453,0.0618394,0.0626137,0.0234962,0.0388732,0.0215241,0.0101712,0.0321733,0,0.0181116,0.0601538,0,0,0,0.0161267,0,0,0.0350325,0.0412945,0.0406332,0.0050735,0.0214091,0.0423571,0.0265565,0.0747319,0.0953775,0.0623404,0.0266674,0.0591719,0.0374793,0.03636,0.0621406,0.0262852,0.0205127,0.016934,0.0164013,0.0271351,0.0250704,0,0,0,0
136,0.022719,0.0463042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354005,0,0.0283757,0.0644506,0,0,0.0123121,0,0,0.0465463,0.0248624,0.0348106,0.0156052,0.0249304,0.0362285,0.0536167,0.0339793,0.0533296,0.0762124,0.0608297,0.0655365,0.0615592,0.0618438,0.0626577,0.0239335,0.0389016,0.0214968,0.0102337,0.0322482,0,0.0181737,0.0603065,0,0,0,0.0160512,0,0,0.0349766,0.0412895,0.0407793,0.0050534,0.0212762,0.0423765,0.0265956,0.0747397,0.0953621,0.0623509,0.026632,0.0590539,0.0372352,0.036257,0.0619164,0.0262197,0.0204553,0.0168333,0.0163318,0.0270482,0.025177,0,0,0,0
137,0.022598,0.0463724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035088,0,0.0284439,0.0643889,0,0,0.0122578,0,0,0.0465094,0.0242854,0.0349621,0.0158059,0.0249638,0.0361665,0.053659,0.0340394,0.0534164,0.0762182,0.0608874,0.0655388,0.0615416,0.0620208,0.0626841,0.0244178,0.0389505,0.0214544,0.0102976,0.0320221,0,0.0182274,0.0604531,0,0,0,0.0159616,0,0,0.0350383,0.0413061,0.0408101,0.00501272,0.021192,0.042377,0.0266029,0.0747645,0.0953881,0.0626064,0.0266234,0.0589693,0.0370537,0.0359557,0.0618287,0.0264135,0.0204073,0.0167635,0.0162749,0.0270395,0.0252598,0,0,0,0
138,0.0224096,0.0464115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348403,0,0.0285483,0.0642854,0,0,0.0122229,0,0,0.0464837,0.023623,0.0351567,0.0160384,0.0250408,0.0359975,0.0536584,0.0341376,0.0535118,0.0762711,0.0610302,0.0655081,0.0614974,0.0624147,0.0626421,0.0248296,0.0390099,0.021438,0.0103231,0.0316707,0,0.0181373,0.060619,0,0,0,0.0159528,0,0,0.0350988,0.0412844,0.0407631,0.00499373,0.0211422,0.0423637,0.0266263,0.0747984,0.0954586,0.0627063,0.0266145,0.0589486,0.0369495,0.0356839,0.0618085,0.0268346,0.0203863,0.0167175,0.016201,0.0270455,0.0253599,0,0,0,0
139,0.0221656,0.0463591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347429,0,0.0286129,0.064241,0,0,0.0121918,0,0,0.046481,0.0235223,0.0352981,0.0162045,0.0250453,0.0358838,0.053654,0.0342129,0.0536592,0.0763211,0.0611242,0.0654962,0.061496,0.0626205,0.0626161,0.0251142,0.0390661,0.0214448,0.0103597,0.0311426,0,0.018125,0.0607155,0,0,0,0.0159394,0,0,0.0349835,0.0412128,0.0409567,0.00502736,0.0211324,0.0423143,0.0266612,0.074878,0.0955791,0.0625753,0.0267464,0.0589712,0.0369303,0.0356332,0.0618233,0.0274295,0.020367,0.0166935,0.0159377,0.0270333,0.0254475,0,0,0,0
140,0.0220237,0.0463998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347013,0,0.0286203,0.0642809,0,0,0.012154,0,0,0.046506,0.0237711,0.0353837,0.0163065,0.0250104,0.0358682,0.0536169,0.0342712,0.05382,0.0763356,0.0610418,0.0654761,0.0614736,0.0626716,0.0626199,0.025359,0.0390822,0.0214456,0.0104472,0.0305017,0,0.0182513,0.060763,0,0,0,0.0158686,0,0,0.0349815,0.041175,0.0413461,0.00500067,0.0211846,0.0422872,0.0267004,0.0749973,0.0956883,0.0623691,0.0268908,0.0589594,0.0369669,0.0358547,0.061837,0.0280757,0.0203782,0.0165854,0.0159878,0.0269584,0.0254677,0,0,0,0
141,0.0220204,0.0464716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346777,0,0.0285964,0.0643417,0,0,0.0120887,0,0,0.0465056,0.0240789,0.0354658,0.0164533,0.0249395,0.0358368,0.0536035,0.0342695,0.0539846,0.0763392,0.0609475,0.0654556,0.0614403,0.0626728,0.0626481,0.0256287,0.039075,0.0214517,0.0105048,0.0299263,0,0.0184524,0.0607711,0,0,0,0.0158453,0,0,0.0350359,0.0412011,0.0415665,0.0048973,0.0212995,0.0423229,0.0267498,0.0752047,0.0957849,0.0624481,0.0270658,0.0589079,0.0370496,0.0361022,0.0618147,0.0288784,0.0203857,0.0164944,0.0160804,0.0268129,0.025384,0,0,0,0
142,0.022172,0.0465152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345359,0,0.0286063,0.064377,0,0,0.0120411,0,0,0.0464767,0.0243511,0.0355699,0.0166491,0.0248814,0.0357528,0.0535712,0.0341622,0.0540984,0.076323,0.0610002,0.0654405,0.061435,0.0626531,0.0626739,0.0259919,0.0389799,0.0214771,0.0105743,0.0292074,0,0.0186296,0.0607383,0,0,0,0.0158315,0,0,0.0350077,0.0412565,0.0416169,0.00472835,0.021412,0.0423943,0.026831,0.0754368,0.0958887,0.0623267,0.027296,0.0589071,0.0370315,0.0361622,0.0618916,0.0298892,0.0203563,0.0164919,0.0160118,0.0266611,0.0254153,0,0,0,0
143,0.0221917,0.0465533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342039,0,0.0286862,0.0643795,0,0,0.0120446,0,0,0.0465207,0.0246469,0.0356719,0.0168369,0.024745,0.0357046,0.0535432,0.0339755,0.0541681,0.0763279,0.0610413,0.0654431,0.061493,0.0624764,0.0626654,0.0264234,0.0388931,0.0214956,0.0106643,0.0283096,0,0.0189167,0.0606951,0,0,0,0.0157562,0,0,0.034912,0.0412804,0.0417785,0.00461528,0.0215543,0.0424362,0.0268978,0.0756566,0.0960001,0.0620124,0.0275787,0.0589228,0.0369975,0.0361533,0.0620076,0.0309756,0.0203268,0.0164497,0.0159291,0.0265608,0.0254582,0,0,0,0
144,0.0221399,0.0465775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339158,0,0.0287009,0.0644186,0,0,0.0121085,0,0,0.046609,0.0248876,0.0357276,0.0169649,0.0246304,0.0357333,0.0535517,0.034005,0.0543097,0.0763716,0.0611015,0.0654782,0.0615797,0.0621975,0.0626645,0.0267762,0.0387885,0.0214698,0.0107985,0.0273046,0,0.0191358,0.0606462,0,0,0,0.0156946,0,0,0.0347891,0.0413591,0.0420823,0.00466131,0.0217535,0.0424742,0.0269114,0.0759176,0.0960996,0.0619879,0.02793,0.0589511,0.0370696,0.0361839,0.0619296,0.0321606,0.0203296,0.0163747,0.0159573,0.0264981,0.0254575,0,0,0,0
145,0.0221077,0.046612,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338501,0,0.0286822,0.0644812,0,0,0.0121767,0,0,0.0467074,0.0250802,0.0358324,0.0170957,0.0245771,0.0357005,0.0537713,0.0341302,0.0545119,0.0764115,0.0610905,0.0654919,0.061625,0.0624261,0.0626792,0.0269975,0.0386461,0.0214646,0.0108743,0.0262848,0,0.0192937,0.0606243,0,0,0,0.0157154,0,0,0.0347609,0.0414884,0.0423998,0.00468104,0.0219371,0.0425418,0.0269085,0.0761935,0.0962299,0.0618429,0.0283354,0.0589001,0.037247,0.0361895,0.0618994,0.033529,0.0203335,0.0163951,0.0160312,0.0264165,0.0254421,0,0,0,0
146,0.022105,0.0466387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338261,0,0.028585,0.0645597,0,0,0.0122564,0,0,0.0467443,0.0252284,0.0360342,0.0172146,0.0245388,0.0356564,0.0539301,0.0342007,0.0546853,0.076426,0.0611568,0.065505,0.0616282,0.0626167,0.0626848,0.0272468,0.038496,0.0214413,0.0109295,0.0253051,0,0.0194349,0.0606089,0,0,0,0.0157806,0,0,0.0348558,0.0415977,0.0426714,0.00465816,0.0220626,0.0426391,0.0269634,0.076422,0.0963658,0.0614791,0.0287749,0.0588591,0.0373349,0.0362048,0.0618098,0.0352144,0.0203326,0.0165487,0.0159013,0.0262745,0.0253508,0,0,0,0
147,0.0223333,0.0465367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315189,0,0,0.0641958,0,0,0.0122697,0,0,0.0467653,0.0258771,0.0376765,0.0172207,0.0261579,0.0359398,0.0540492,0.0348154,0.0547847,0.0774168,0.0619031,0.0642513,0.0599289,0.0623961,0.0622837,0.0267376,0.038537,0.0215018,0.0109354,0.0242648,0,0.0195613,0.0613245,0,0,0,0.0157364,0,0,0.0346553,0.0414187,0.0430607,0.0042863,0.0224104,0.0425438,0.0266038,0.0766544,0.0965653,0.0614567,0.0291112,0.0587765,0.037413,0.036187,0.0616553,0.0371076,0.0205178,0.0168406,0.0159481,0.0260265,0.0253987,0,0,0,0
148,0.0220606,0.046477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337146,0,0.0286646,0.0648281,0,0,0.0123998,0,0,0.0468514,0.0254408,0.0364863,0.0174167,0.0244176,0.0355783,0.0540184,0.0342594,0.0550027,0.0763962,0.0610444,0.0655254,0.0616045,0.0625728,0.0627258,0.0277809,0.038347,0.0214752,0.0107451,0.0231937,0,0.0195771,0.0606546,0,0,0,0.0157138,0,0,0.0348108,0.0413319,0.0435283,0.00458637,0.0224602,0.0428528,0.0269833,0.076838,0.0965403,0.0614032,0.029716,0.058906,0.0375812,0.036312,0.0615667,0.0389242,0.0204205,0.0166842,0.0157018,0.0260374,0.0255678,0,0,0,0
149,0.0219655,0.0464447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336143,0,0.0284205,0.0649142,0,0,0.0124314,0,0,0.0469119,0.0255276,0.0367287,0.017543,0.0244169,0.0354693,0.0541624,0.0342762,0.0552281,0.0764358,0.0610653,0.0655348,0.0616546,0.0625276,0.0627425,0.0281194,0.0382689,0.0215009,0.0107362,0.0222589,0,0.0196417,0.0606808,0,0,0,0.0157646,0,0,0.0348416,0.0413568,0.0439914,0.0045568,0.0225426,0.0429162,0.026903,0.0770087,0.0965708,0.0613657,0.0301728,0.0589415,0.0376822,0.0364028,0.0614991,0.040793,0.0204071,0.0167302,0.015792,0.0259901,0.0256688,0,0,0,0
150,0.0218461,0.046449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033684,0,0.0276528,0.0649611,0,0,0.0123973,0,0,0.0469945,0.0256644,0.0370956,0.0176732,0.0244234,0.0353561,0.05424,0.0343212,0.0554438,0.0764757,0.06117,0.0654893,0.0616589,0.0624529,0.0626925,0.0283128,0.0382261,0.0214421,0.0108089,0.0213342,0,0.0197415,0.0607496,0,0,0,0.0158098,0,0,0.0349052,0.0416528,0.0444071,0.00444599,0.0225219,0.0429469,0.026823,0.0771793,0.0966033,0.0612342,0.0307236,0.0590267,0.0378025,0.0365628,0.0613828,0.0426823,0.0204134,0.0166984,0.0160837,0.0259296,0.0257673,0,0,0,0
151,0.0217416,0.0464157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336985,0,0.0272742,0.0650195,0,0,0.0123971,0,0,0.0470311,0.0257637,0.0374392,0.0178179,0.0244037,0.0352267,0.0542554,0.0343584,0.0556353,0.0764895,0.0612593,0.0654544,0.0616728,0.0624021,0.0626663,0.0285334,0.0382069,0.0213865,0.010793,0.0206411,0,0.0197679,0.0608324,0,0,0,0.0158126,0,0,0.0348786,0.0420115,0.0448994,0.00434256,0.0226175,0.0430393,0.0267938,0.0773508,0.0966345,0.0611005,0.031246,0.0591464,0.0379841,0.0367109,0.0613078,0.0444805,0.0204091,0.0167492,0.0161664,0.0258152,0.0258969,0,0,0,0
152,0.0216988,0.046423,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334741,0,0.0274179,0.0651149,0,0,0.0124687,0,0,0.0470759,0.0258169,0.037635,0.0179517,0.0243753,0.0351251,0.0542665,0.0343862,0.0558021,0.0764736,0.0613259,0.0654681,0.0617072,0.0623871,0.0627161,0.0289149,0.03818,0.0213597,0.0106733,0.020148,0,0.019812,0.0609009,0,0,0,0.0158072,0,0,0.0348824,0.0423139,0.0451534,0.00422388,0.0228164,0.0431702,0.0267859,0.0774896,0.096647,0.0610169,0.0316375,0.0591939,0.0381486,0.0368077,0.0612116,0.0459447,0.0203981,0.01688,0.016081,0.0257079,0.0261183,0,0,0,0
153,0.0217074,0.0464472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033196,0,0.0276361,0.0652124,0,0,0.0125205,0,0,0.0471073,0.0258604,0.037774,0.0180673,0.0243706,0.0350269,0.0543266,0.0344134,0.0560001,0.0764501,0.0613757,0.0655244,0.0617192,0.0623979,0.0627687,0.0294371,0.0381629,0.0213766,0.0105342,0.0198041,0,0.0197717,0.0609611,0,0,0,0.0158381,0,0,0.0348677,0.0425124,0.0453598,0.00408982,0.0229271,0.0433524,0.0267396,0.0776,0.0966244,0.0609241,0.032,0.0591298,0.0382769,0.0369145,0.0611306,0.0472309,0.0203676,0.0169446,0.0160508,0.0256462,0.0262464,0,0,0,0
154,0.0217248,0.0464097,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329216,0,0.0278116,0.0653038,0,0,0.0125032,0,0,0.0470696,0.0259166,0.0380177,0.0181407,0.0244416,0.0349741,0.0544104,0.0344191,0.0561724,0.0764341,0.0614301,0.0655586,0.061734,0.062417,0.0628184,0.0300093,0.0381824,0.0213589,0.0105027,0.0194988,0,0.0197062,0.0610394,0,0,0,0.0158885,0,0,0.0348986,0.0426152,0.0457439,0.00393737,0.0229585,0.0436433,0.0267186,0.077688,0.0965621,0.0607523,0.0323678,0.0591177,0.0384191,0.036988,0.0610297,0.0482843,0.0203147,0.0170047,0.0159854,0.0256221,0.0261207,0,0,0,0
155,0.0216948,0.0464138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326184,0,0.0279551,0.0653654,0,0,0.0124669,0,0,0.0469485,0.0259913,0.0382197,0.0182047,0.0244824,0.0349135,0.0544814,0.0344025,0.0563245,0.0764218,0.0615055,0.0655461,0.0617782,0.0624448,0.062858,0.0306039,0.0382,0.0213245,0.010503,0.019322,0,0.0196628,0.0611475,0,0,0,0.0158867,0,0,0.0349009,0.042703,0.0462241,0.00370964,0.0230339,0.044057,0.0266814,0.0777832,0.0965197,0.0606081,0.0327726,0.0590766,0.0385092,0.0369319,0.0609256,0.0490639,0.020344,0.0170179,0.0159609,0.025609,0.026195,0,0,0,0
156,0.0216551,0.0464342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322886,0,0.028162,0.0653313,0,0,0.0124969,0,0,0.0469224,0.02608,0.0383665,0.0183446,0.0244811,0.0345648,0.0545491,0.0343696,0.0565055,0.076377,0.0615701,0.0656034,0.0618332,0.0625004,0.0629129,0.031116,0.0381788,0.0213161,0.0104265,0.0191408,0,0.0196328,0.0613031,0,0,0,0.0159138,0,0,0.0349528,0.042838,0.0466832,0.00347756,0.0229471,0.0445024,0.0267087,0.0779152,0.0964638,0.0604368,0.0333318,0.0589168,0.0385521,0.0368777,0.0608598,0.0496215,0.0204657,0.0171321,0.0159309,0.0255817,0.0262598,0,0,0,0
157,0.0215969,0.0464334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318798,0,0.028524,0.065228,0,0,0.0126065,0,0,0.046997,0.0261824,0.0386068,0.0185664,0.0245095,0.0341443,0.0545592,0.0343635,0.0566596,0.0763252,0.0616491,0.0656184,0.0618245,0.0625487,0.062964,0.0316088,0.0381323,0.0213362,0.0102291,0.0189468,0,0.0197519,0.0615377,0,0,0,0.0159464,0,0,0.0350208,0.0429673,0.0471069,0.00349642,0.0228783,0.0447521,0.0267304,0.0781066,0.0963751,0.0602676,0.0340202,0.058824,0.0384209,0.036798,0.0608585,0.0498785,0.0204968,0.0172045,0.0159585,0.0255635,0.0262499,0,0,0,0
158,0.0215416,0.0464323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315605,0,0.0287626,0.065162,0,0,0.0127743,0,0,0.0471109,0.0262751,0.0389006,0.018745,0.0245003,0.0339065,0.0544569,0.034344,0.056863,0.0762853,0.0617465,0.0655935,0.0618004,0.0625621,0.0629654,0.0322384,0.0381352,0.0212997,0.0100523,0.0189341,0,0.0200161,0.0617297,0,0,0,0.0159555,0,0,0.0350829,0.0429449,0.0472695,0.0036374,0.0228678,0.0448179,0.0267497,0.0783898,0.0962922,0.0600609,0.0347985,0.0588782,0.0382045,0.0367411,0.0608932,0.0497407,0.0204251,0.0172076,0.0159996,0.0255194,0.0262447,0,0,0,0
159,0.0215106,0.0464412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313033,0,0.0289313,0.0650721,0,0,0.0127248,0,0,0.0470509,0.0263749,0.0391937,0.0188733,0.0243181,0.0338143,0.0544099,0.0343198,0.0571242,0.0762571,0.0618381,0.0656377,0.0618377,0.0625517,0.0630301,0.0328944,0.0381253,0.021267,0.0100959,0.0189567,0,0.0203611,0.0619244,0,0,0,0.0159482,0,0,0.0351476,0.0427776,0.0474611,0.00363124,0.022829,0.0449846,0.0267358,0.0788185,0.096297,0.0598328,0.0355589,0.0588767,0.0380629,0.0365803,0.0608631,0.049708,0.0203527,0.0171883,0.0160738,0.0255052,0.0263013,0,0,0,0
160,0.0214535,0.0464732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310632,0,0.0291445,0.0649907,0,0,0.0127148,0,0,0.0469715,0.0265172,0.0395491,0.0189021,0.0239886,0.0338271,0.0544523,0.034365,0.0573686,0.076219,0.0619483,0.0658024,0.0618623,0.062513,0.0632258,0.0335528,0.038106,0.0212561,0.0101184,0.0189694,0,0.0206081,0.062113,0,0,0,0.0159438,0,0,0.0352123,0.0428362,0.04774,0.00367511,0.0227644,0.0451975,0.0266822,0.079293,0.0963592,0.0595935,0.0361871,0.0588107,0.0379621,0.0364209,0.0607543,0.049917,0.0202989,0.0171701,0.0161378,0.0254974,0.0264024,0,0,0,0
161,0.0213158,0.0465076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308101,0,0.0293936,0.0649262,0,0,0.0127653,0,0,0.0469042,0.0266835,0.0400573,0.0188899,0.0236142,0.0338509,0.0544885,0.0344781,0.0575998,0.0761661,0.0620988,0.0658651,0.0618513,0.0624695,0.0633673,0.0342588,0.0381156,0.0212504,0.0101151,0.0188913,0,0.0207811,0.0622638,0,0,0,0.0159434,0,0,0.0352603,0.0431104,0.0480665,0.0038705,0.0226796,0.0453753,0.0266163,0.0796994,0.0963965,0.0593525,0.0365505,0.058727,0.03798,0.0363846,0.0606589,0.0505645,0.0202495,0.0171568,0.0162138,0.0254772,0.0264744,0,0,0,0
162,0.0210976,0.0465316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305048,0,0.0296977,0.0648801,0,0,0.0127788,0,0,0.0468069,0.0268938,0.0407009,0.0189352,0.0231711,0.0338246,0.0545472,0.0346279,0.0578346,0.0761388,0.0622891,0.0658081,0.061877,0.0624199,0.0634113,0.0350636,0.0381422,0.0212797,0.0100678,0.0187139,0,0.0210189,0.0623949,0,0,0,0.0159646,0,0,0.0353424,0.0435309,0.0485643,0.00422864,0.0226212,0.0455313,0.0265789,0.0800312,0.0963752,0.0590241,0.0368369,0.0587387,0.0380267,0.0364286,0.0606714,0.0514387,0.0201711,0.0171633,0.0162639,0.0254731,0.0265284,0,0,0,0
163,0.0210343,0.0465229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301577,0,0.0300584,0.0648534,0,0,0.0128213,0,0,0.0466613,0.0272005,0.0413823,0.0190172,0.0227568,0.0337852,0.0544808,0.0347439,0.0580523,0.0761329,0.0625083,0.0657163,0.0618593,0.062339,0.0633403,0.0359766,0.0381717,0.0212887,0.00998718,0.0186074,0,0.021178,0.062558,0,0,0,0.015962,0,0,0.0353968,0.0440651,0.0492226,0.00470299,0.022587,0.0456777,0.0266018,0.0803587,0.0963762,0.0586197,0.0375716,0.0588595,0.0381275,0.0365611,0.0608217,0.0528233,0.0201085,0.0171559,0.0163178,0.0254802,0.0265759,0,0,0,0
164,0.0210971,0.046477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298642,0,0.0304108,0.0648661,0,0,0.0128497,0,0,0.0464841,0.0276103,0.0419487,0.0190507,0.0223312,0.0338055,0.0544583,0.0348694,0.058387,0.0761459,0.0626529,0.0656369,0.0618678,0.0622114,0.0631873,0.0368551,0.0382204,0.0213037,0.00990572,0.0185794,0,0.021255,0.0627092,0,0,0,0.0159607,0,0,0.0354065,0.0446806,0.0499802,0.00525294,0.0225767,0.0458242,0.0266589,0.0809017,0.0963809,0.0581888,0.0384959,0.0590088,0.038269,0.0366793,0.0609695,0.0546225,0.0200335,0.0171121,0.0163765,0.0254929,0.0267238,0,0,0,0
165,0.0216,0.0463896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308098,0,0.0312931,0.0643464,0,0,0.0126348,0,0,0.0464245,0.0292231,0.0421651,0.0181437,0.0239209,0.0343006,0.0544874,0,0.0601897,0.0776573,0.0643594,0.0642895,0.0603249,0.0607635,0.061904,0.0347864,0.0384856,0.0213722,0.0100714,0.0186596,0,0.0213128,0.0638659,0,0,0,0.0158942,0,0,0.0350681,0.044915,0.0508867,0.00568645,0.0229789,0.04542,0.0258602,0.0815249,0.0966436,0.057725,0.0392232,0.0590367,0.0382725,0.0367349,0.0608787,0.0568771,0.0202728,0.0175469,0.0167244,0.0254128,0.0268839,0,0,0,0
166,0.0210421,0.0463963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295482,0,0.030825,0.0649698,0,0,0.0126743,0,0,0.046641,0.029036,0.0429337,0.0187777,0.0213657,0.0338471,0.0543968,0.0352367,0.0593361,0.0762403,0.0627475,0.0655044,0.0619719,0.0620557,0.0630052,0.0382209,0.0382693,0.0212115,0.0103531,0.0189714,0,0.0212369,0.0627265,0,0,0,0.0159003,0,0,0.0353729,0.0461737,0.051564,0.0063914,0.0227183,0.0459539,0.0267742,0.0820564,0.0966054,0.0569464,0.0403559,0.0594623,0.0385809,0.0370344,0.0610636,0.059165,0.0200976,0.0170333,0.0164965,0.0256625,0.0273689,0,0,0,0
