Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x77,x76
13,0.0257757,0.0482881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363209,0,0.0270585,0.0621933,0,0,0.0104611,0,0,0.0455479,0.0288769,0.0348288,0.0141779,0.0266549,0.0374004,0.0522897,0.0352715,0.0529184,0.0765367,0.060635,0.0663047,0.0619382,0.0626308,0.0633314,0.0234236,0.0421219,0.0229204,0.0114647,0.0318638,0,0.0210076,0.0631149,0.0173946,0,0,0.0161359,0,0,0.0360064,0.0399908,0.0359754,0.00569849,0.026983,0.0418984,0.0309016,0.0756376,0.0928423,0.0585244,0.029831,0.059724,0.0408087,0.0400095,0.0635642,0.0222137,0.0225303,0.0198385,0.0127459,0.0309823,0.0210581,0,0,0,0
14,0.025771,0.0482618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363419,0,0.0270094,0.0621775,0,0,0.0104531,0,0,0.0455587,0.0288642,0.0348519,0.0142063,0.0266152,0.0373489,0.0522962,0.0352658,0.0529406,0.0765453,0.0606315,0.0663152,0.0619675,0.062663,0.0633836,0.0234096,0.0421206,0.0229233,0.0114706,0.0319376,0,0.0209859,0.0631213,0.0174311,0,0,0.0161371,0,0,0.0360035,0.0399723,0.0359622,0.00570736,0.0269498,0.0419364,0.0308813,0.0756383,0.0928345,0.0585468,0.0300838,0.0597198,0.0408112,0.0399966,0.063569,0.0221485,0.0225275,0.0198334,0.0127474,0.0309192,0.0209971,0,0,0,0
15,0.025734,0.0482303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364118,0,0.0270254,0.0621474,0,0,0.0104379,0,0,0.0455493,0.028902,0.0348778,0.0142516,0.0266186,0.0372198,0.0522942,0.0353077,0.0529496,0.07654,0.0606765,0.0663132,0.0620033,0.0626818,0.0633787,0.0233412,0.0421866,0.0229479,0.0114149,0.0318942,0,0.0209692,0.063138,0.017445,0,0,0.0161315,0,0,0.0359963,0.0399617,0.035966,0.00574344,0.0269418,0.0419545,0.0308983,0.0756183,0.0928029,0.0585608,0.0304381,0.0597564,0.0408223,0.0399245,0.0635774,0.0222003,0.0225323,0.0198366,0.0127428,0.0308948,0.020942,0,0,0,0
16,0.0256791,0.0482173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364462,0,0.0271111,0.0621267,0,0,0.0104434,0,0,0.045483,0.0289347,0.034849,0.0142757,0.0266307,0.0370483,0.0522694,0.0353471,0.0529416,0.0765199,0.0607147,0.0663132,0.0620457,0.0626836,0.0633506,0.0233314,0.042241,0.023018,0.0112717,0.0318581,0,0.0209657,0.0631478,0.0174219,0,0,0.016106,0,0,0.035984,0.0399443,0.0359598,0.00577366,0.0269166,0.0419647,0.0309249,0.0755855,0.092747,0.0585405,0.0305387,0.0597439,0.0408421,0.03994,0.0635986,0.0222176,0.0225622,0.019827,0.012772,0.0308938,0.0209681,0,0,0,0
17,0.025675,0.0482142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363594,0,0.027125,0.0621304,0,0,0.0105434,0,0,0.0453686,0.028943,0.0348224,0.0142873,0.0266405,0.0371136,0.0522062,0.0353069,0.0529301,0.076511,0.0607218,0.0663059,0.0620446,0.0626897,0.0633512,0.0234461,0.0421376,0.023116,0.0110818,0.0318953,0,0.0209568,0.0631581,0.0174304,0,0,0.0160928,0,0,0.0359857,0.0399492,0.0359273,0.00578905,0.0269114,0.0419128,0.0309582,0.0755702,0.092693,0.0585153,0.0304208,0.0597237,0.0408716,0.0400479,0.0636442,0.0221506,0.0225906,0.019807,0.0128135,0.0309211,0.0210037,0,0,0,0
18,0.0257168,0.0482087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362237,0,0.027088,0.0621068,0,0,0.0105572,0,0,0.0453575,0.0289975,0.034824,0.014394,0.0266598,0.037061,0.052157,0.0352678,0.0528884,0.0765158,0.0606512,0.066293,0.0620649,0.0626844,0.0633641,0.0236193,0.0420857,0.0230636,0.0111852,0.0319114,0,0.0209351,0.0631922,0.017425,0,0,0.0161048,0,0,0.0360022,0.0399718,0.0358572,0.00580158,0.02694,0.0419122,0.0309936,0.0755544,0.0926586,0.0586042,0.0302848,0.0597143,0.0409084,0.040002,0.0636789,0.0221137,0.0225988,0.0197821,0.0128214,0.030924,0.0210332,0,0,0,0
19,0.0258398,0.0482255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362187,0,0.0270761,0.0621028,0,0,0.0105143,0,0,0.0453681,0.0290887,0.034894,0.0144002,0.0266162,0.0372588,0.0521017,0.0353026,0.0528874,0.076531,0.0604585,0.0662819,0.0621074,0.062689,0.0633742,0.023661,0.0421095,0.023027,0.0113249,0.0319102,0,0.0209009,0.0632059,0.0173863,0,0,0.016115,0,0,0.0359997,0.03998,0.0358475,0.00583166,0.0269501,0.0418826,0.0310181,0.0755396,0.0926537,0.0585625,0.0304642,0.0597278,0.0408962,0.0398896,0.0636984,0.0221382,0.0225999,0.0197835,0.0127909,0.0309258,0.0209024,0,0,0,0
20,0.0258739,0.0482421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362354,0,0.0270973,0.0621108,0,0,0.0104759,0,0,0.0453585,0.0291654,0.0349078,0.014334,0.0265806,0.0374297,0.0519983,0.0353528,0.052932,0.076541,0.0603669,0.0662738,0.0620952,0.0626977,0.0633775,0.0236795,0.0421525,0.0230443,0.0113796,0.0319145,0,0.0208794,0.0632013,0.0173286,0,0,0.0161298,0,0,0.0359826,0.0399929,0.0358272,0.0058836,0.0270071,0.0418626,0.031044,0.0755487,0.092627,0.0586474,0.0304272,0.0598358,0.04091,0.0398936,0.0637354,0.0221401,0.0225953,0.0198238,0.0127047,0.0309213,0.02069,0,0,0,0
21,0.0258664,0.0482602,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362486,0,0.0271151,0.0621447,0,0,0.0104239,0,0,0.0453896,0.0291263,0.0348676,0.0142951,0.0265389,0.0375071,0.0519556,0.0353819,0.0529878,0.0765381,0.0603536,0.0662729,0.0620552,0.0626879,0.0633712,0.0236732,0.042189,0.0230262,0.0114772,0.0319333,0,0.0208741,0.0631951,0.0173053,0,0,0.0161592,0,0,0.0359911,0.0399996,0.0358087,0.00594359,0.0270733,0.0418529,0.0310164,0.0755846,0.0925958,0.0586454,0.0301144,0.0600408,0.0409259,0.0399181,0.0637457,0.0221116,0.022552,0.0198815,0.012602,0.0309342,0.0208967,0,0,0,0
22,0.0258777,0.048296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03632,0,0.0271214,0.062174,0,0,0.0103379,0,0,0.0455166,0.0290428,0.0348215,0.0142717,0.0265268,0.0374795,0.0519449,0.0353983,0.0530499,0.0765774,0.0603917,0.0662545,0.0620819,0.0626679,0.0633555,0.0236221,0.0422237,0.0229295,0.0117728,0.0319419,0,0.0208954,0.0631813,0.0172485,0,0,0.0161788,0,0,0.0360606,0.0400193,0.0358292,0.00599758,0.0270697,0.0418594,0.0309913,0.0756028,0.0925958,0.058572,0.0301402,0.0600924,0.0408852,0.0399139,0.0637007,0.0221113,0.0225252,0.019848,0.01273,0.0309334,0.0210338,0,0,0,0
