Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB,
1680,0.0682975,0.047205,0,0,0,0,0,0,0.0376311,0,0.0263572,0.063213,0,0,0.0205157,0,0,0.0309162,0.0710773,0.0198309,0.0418454,0.00963579,0.0899284,0.0557524,0.0338714,0.0513041,0.0593818,0.0376349,0.014119,0.0105066,0.0349664,0.03797,0.0363999,0.0187431,0.0100371,0.0140677,0.0473943,0,0.0231902,0.0592699,0.0305347,0,0,0.0194769,0,0,0.0354021,0.0661248,0.0313777,0.0517932,0.0291876,0.0963289,0.060153,0.0467064,0.0750593,0.0706332,0.0276169,0.127869,0.0501845,0,0.0291922,0.0226296,0.00900748,0.016237,0.0340136,0.0347953,0,0,0,0,0,0,0,0,0,0.0736441,0
1681,0.0682749,0.0470982,0,0,0,0,0,0,0.0377767,0,0.0263242,0.063594,0,0,0.0205836,0,0,0.030846,0.0710613,0.0203313,0.0415142,0.00956397,0.0893402,0.0558433,0.0338579,0.0511744,0.0592906,0.0377403,0.0138262,0.0103528,0.0348349,0.0376794,0.0358011,0.0187108,0.0100488,0.0141055,0.0480097,0,0.023065,0.0595413,0.0305223,0,0,0.0194397,0,0,0.0354097,0.0659988,0.0310166,0.0519797,0.0293417,0.0959008,0.0602985,0.0467513,0.0750322,0.0704126,0.0273635,0.127797,0.0504491,0,0.0283459,0.0226504,0.00899391,0.0163905,0.033679,0.0347987,0,0,0,0,0,0,0,0,0,0.0738865,0
1682,0.0682787,0.0469598,0,0,0,0,0,0,0.0379483,0,0.0263143,0.0639576,0,0,0.0206294,0,0,0.0307271,0.0710116,0.0208362,0.0411898,0.00948315,0.0887826,0.0559495,0.0338734,0.0510213,0.0591867,0.0378101,0.0136055,0.0102735,0.0347107,0.0373359,0.0352278,0.0186831,0.010051,0.0141089,0.0485653,0,0.0229042,0.059862,0.0304696,0,0,0.0193964,0,0,0.0354849,0.0658403,0.0306383,0.0521812,0.0296302,0.0954135,0.0604322,0.0466752,0.0750305,0.0701419,0.0270916,0.127717,0.0507501,0,0.027435,0.0226761,0.00893902,0.0165672,0.0333552,0.0348284,0,0,0,0,0,0,0,0,0,0.0741624,0
1683,0.0683284,0.046837,0,0,0,0,0,0,0.0381446,0,0.0262891,0.0642908,0,0,0.0207089,0,0,0.030688,0.0709386,0.0212784,0.040873,0.00948798,0.0882479,0.056057,0.0339137,0.0508841,0.0591237,0.0378773,0.0134789,0.01018,0.0345403,0.0371536,0.0347348,0.0187069,0.0100194,0.0142088,0.0490752,0,0.0228847,0.0601724,0.0304798,0,0,0.0194111,0,0,0.0355692,0.0657036,0.030331,0.0523831,0.0299108,0.0949356,0.0605437,0.0470114,0.0750043,0.0698299,0.0269046,0.127639,0.0510418,0,0.0266078,0.0228086,0.00884659,0.0168004,0.0329611,0.0349112,0,0,0,0,0,0,0,0,0,0.0744377,0
1684,0.0684128,0.0468028,0,0,0,0,0,0,0.0383493,0,0.0262558,0.0645751,0,0,0.0208128,0,0,0.0306257,0.0708482,0.0216339,0.0405189,0.00951362,0.0877482,0.056217,0.0339561,0.0507526,0.0590747,0.0379711,0.0133678,0.0101591,0.0343686,0.0371745,0.0342546,0.0187719,0.00994792,0.014363,0.0496635,0,0.0228878,0.0605454,0.0305682,0,0,0.0194341,0,0,0.0356193,0.0655547,0.0300543,0.0526152,0.0300999,0.0945177,0.0606574,0.0473209,0.0749757,0.0695348,0.0266865,0.127545,0.0512535,0,0.0259416,0.0229272,0.0087952,0.016993,0.0325152,0.0350345,0,0,0,0,0,0,0,0,0,0.0746366,0
1685,0.0685143,0.0468034,0,0,0,0,0,0,0.0385826,0,0.0262184,0.0648761,0,0,0.0209199,0,0,0.0305115,0.0707495,0.0219708,0.0402085,0.00952433,0.0872772,0.0564338,0.0340201,0.0506364,0.0590816,0.038089,0.0132262,0.0102951,0.0343078,0.037148,0.0337713,0.0189046,0.0098634,0.0145342,0.0502888,0,0.0227775,0.0609155,0.0306841,0,0,0.0194362,0,0,0.0356684,0.0653905,0.0297829,0.0528728,0.0302559,0.094166,0.0608008,0.0475583,0.0749626,0.069254,0.026435,0.127442,0.0514409,0,0.025383,0.0230433,0.00874472,0.0171904,0.0320099,0.0351644,0,0,0,0,0,0,0,0,0,0.074811,0
1686,0.0686106,0.0467994,0,0,0,0,0,0,0.0388697,0,0.0261804,0.0652104,0,0,0.0210365,0,0,0.0304622,0.0706394,0.0222867,0.0399304,0.00960499,0.0868142,0.0566754,0.0340575,0.0505082,0.0590576,0.0381747,0.0131574,0.0103853,0.0343128,0.0370243,0.033323,0.019062,0.00976685,0.0147621,0.050946,0,0.022689,0.0613007,0.0307493,0,0,0.0194651,0,0,0.0357305,0.0652162,0.0295269,0.0531679,0.0304261,0.0938566,0.0609494,0.0478158,0.0749798,0.0689811,0.0261721,0.127318,0.0516187,0,0.0249172,0.023088,0.00867503,0.0173973,0.0315262,0.0352829,0,0,0,0,0,0,0,0,0,0.0749888,0
1687,0.068682,0.0467737,0,0,0,0,0,0,0.039181,0,0.0261475,0.0655209,0,0,0.0211158,0,0,0.0304461,0.0705087,0.0225599,0.0396688,0.00955158,0.0863909,0.0568969,0.0340175,0.0503905,0.0590139,0.0382055,0.0131224,0.0103909,0.0342843,0.0367799,0.0328557,0.0192289,0.00966472,0.015031,0.0515818,0,0.0225515,0.0616479,0.0307639,0,0,0.0194908,0,0,0.0357469,0.0650551,0.029314,0.0534743,0.0305531,0.0935982,0.0610494,0.048093,0.0749983,0.0687024,0.0259312,0.127205,0.0517859,0,0.0245256,0.0230748,0.00858398,0.0175981,0.0310918,0.0353987,0,0,0,0,0,0,0,0,0,0.0751423,0
1688,0.0687567,0.0467553,0,0,0,0,0,0,0.0394783,0,0.0261029,0.0657988,0,0,0.0211792,0,0,0.0304114,0.0703915,0.0228087,0.0394161,0.00949768,0.085978,0.0571181,0.0339404,0.0502725,0.0589468,0.0382163,0.0131023,0.0103859,0.0342229,0.0367034,0.0324114,0.0193779,0.00959293,0.0152767,0.0522344,0,0.0223713,0.0619857,0.030741,0,0,0.0195449,0,0,0.035828,0.0649103,0.0291179,0.0537637,0.0306952,0.0933457,0.0611059,0.0483013,0.0749952,0.0683833,0.0256652,0.127101,0.0519743,0,0.0241394,0.0230837,0.0085348,0.0177705,0.0307068,0.0355208,0,0,0,0,0,0,0,0,0,0.075315,0
1689,0.0688335,0.0467363,0,0,0,0,0,0,0.0398015,0,0.026052,0.0661112,0,0,0.0211826,0,0,0.0303794,0.0703215,0.0230293,0.0391247,0.00957031,0.0855327,0.0573109,0.0339171,0.0501352,0.0588159,0.0382186,0.0131278,0.0104865,0.0341637,0.036759,0.0319933,0.0195315,0.00960461,0.0154802,0.052874,0,0.0222527,0.0623145,0.0307081,0,0,0.0195999,0,0,0.035792,0.064809,0.0289061,0.0540414,0.0308777,0.0930766,0.0611258,0.0485943,0.0749289,0.0680254,0.0254178,0.127007,0.0521612,0,0.0238204,0.0231217,0.00848064,0.0178578,0.0303462,0.0356448,0,0,0,0,0,0,0,0,0,0.0755143,0
1690,0.0689186,0.0466787,0,0,0,0,0,0,0.0401669,0,0.0260103,0.0664919,0,0,0.0211845,0,0,0.0303728,0.0703136,0.0233022,0.0387925,0.00967148,0.0850471,0.0574539,0.033811,0.0499357,0.05864,0.0382021,0.013193,0.0106698,0.0341278,0.0367231,0.0316076,0.0196595,0.00959706,0.0156259,0.0535228,0,0.022195,0.062604,0.0306541,0,0,0.0196086,0,0,0.0357512,0.0647917,0.0287727,0.0542814,0.03102,0.0927689,0.0610835,0.0488349,0.0747752,0.0676097,0.0251371,0.126966,0.0523759,0,0.0236132,0.0231171,0.00855276,0.0178012,0.0299838,0.035809,0,0,0,0,0,0,0,0,0,0.0757319,0
1691,0.0690128,0.0466555,0,0,0,0,0,0,0.0405731,0,0.0259377,0.0669548,0,0,0.0211724,0,0,0.0304089,0.0703719,0.023552,0.0383848,0.00983438,0.0845691,0.0574882,0.0336166,0.0496955,0.0584908,0.0381413,0.0133027,0.0108069,0.0341394,0.03679,0.0312608,0.0197778,0.00973967,0.015668,0.0541772,0,0.0220967,0.0627864,0.0306355,0,0,0.0197135,0,0,0.0356774,0.0648661,0.0285393,0.0545487,0.0311923,0.0924191,0.0609405,0.0487578,0.07451,0.0670952,0.0248394,0.126964,0.052699,0,0.0234648,0.0230697,0.00870118,0.0176449,0.0296432,0.0360395,0,0,0,0,0,0,0,0,0,0.0760192,0
1692,0.069057,0.0466828,0,0,0,0,0,0,0.040997,0,0.0258638,0.067381,0,0,0.0211098,0,0,0.0304522,0.0705015,0.0237846,0.0379215,0.00997539,0.0840056,0.0574612,0.0335601,0.0494471,0.0583259,0.0380761,0.013431,0.0108654,0.034186,0.0367215,0.030933,0.0198249,0.0099076,0.0156787,0.0547448,0,0.0220566,0.0630656,0.0305918,0,0,0.0198374,0,0,0.0356416,0.064959,0.0281352,0.0548111,0.031464,0.0919862,0.0607302,0.0482749,0.0742025,0.0664792,0.0244997,0.126914,0.0530794,0,0.0232749,0.0229474,0.00885075,0.0174529,0.0294017,0.0362315,0,0,0,0,0,0,0,0,0,0.0763627,0
1693,0.0690927,0.0466949,0,0,0,0,0,0,0.0414738,0,0.0257676,0.0676882,0,0,0.0210359,0,0,0.0304661,0.0706483,0.0240001,0.037477,0.0100351,0.0833283,0.0574267,0.0336162,0.0492351,0.0581496,0.037998,0.0135945,0.0110646,0.0342303,0.0367667,0.030614,0.0198692,0.00997454,0.0156842,0.0555545,0,0.0220492,0.0634148,0.0304869,0,0,0.0198679,0,0,0.0356611,0.064996,0.027918,0.0550025,0.0316498,0.0914791,0.0604889,0.0478398,0.0739927,0.0659848,0.0241463,0.126805,0.0533067,0,0.0232371,0.0228742,0.00901753,0.0172293,0.0292035,0.0363841,0,0,0,0,0,0,0,0,0,0.0765911,0
1694,0.0690884,0.0467236,0,0,0,0,0,0,0.0419279,0,0.0256781,0.0679801,0,0,0.0209764,0,0,0.0304706,0.0708438,0.0241848,0.0370256,0.0101468,0.0826287,0.0573954,0.0336501,0.0489529,0.0579636,0.0379339,0.0137759,0.0112945,0.0342367,0.0368766,0.030329,0.0199215,0.0100619,0.0156801,0.0563736,0,0.0221332,0.063741,0.030396,0,0,0.019841,0,0,0.0356913,0.064982,0.0278445,0.0551818,0.0317706,0.0909567,0.0602396,0.0480016,0.0737829,0.0655812,0.023848,0.126666,0.0534892,0,0.0233662,0.0227963,0.00918162,0.0170033,0.0290408,0.0365224,0,0,0,0,0,0,0,0,0,0.0767753,0
