Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIBA,RTIB
All Timesteps RMSE,0.0701403,0.0472828,0,0,0,0,0,0,0.0428599,0,0.026722,0.0672906,0,0,0.0193589,0,0,0.0309241,0.0740152,0.0297137,0.0416314,0.022447,0.0907493,0.0563491,0.0348171,0.0488816,0.0573181,0.0370016,0.0254259,0.0214172,0.0415612,0.0469287,0.0541382,0.0208838,0.010372,0.0153193,0.0483481,0,0.0319291,0.0642003,0.0318547,0,0,0.0214202,0,0,0.0343853,0.0671428,0.0397886,0.0526895,0.025554,0.0957576,0.0588149,0.0426149,0.0714673,0.0698574,0.0294432,0.0495192,0.0859308,0.0505225,0.0216441,0.00941765,0.0149908,0.032759,0.0359537,0,0,0,0,0,0,0,0,0,0.040924,0.0724555
0,0.0705973,0.0483841,0,0,0,0,0,0,0.0390034,0,0.0270238,0.0657657,0,0,0.0200551,0,0,0.0302105,0.0743606,0.0251772,0.0395369,0.010334,0.0819497,0.0589603,0.0339658,0.0483727,0.0554868,0.0375363,0.01647,0.0132696,0.0349183,0.0373893,0.0343231,0.0212107,0.00832498,0.0170017,0.0532339,0,0.0256547,0.0633121,0.0338162,0,0,0.0219356,0,0,0.0339832,0.0679142,0.0251596,0.047882,0.0285996,0.0870008,0.0620389,0.0426274,0.0709399,0.0678527,0.0273467,0.0560976,0.0937317,0.0215563,0.0225281,0.00789465,0.0155983,0.0339058,0.038683,0,0,0,0,0,0,0,0,0,0,0
1,0.0704931,0.0484374,0,0,0,0,0,0,0.039245,0,0.0270704,0.0659367,0,0,0.0200031,0,0,0.0303465,0.0745144,0.0255067,0.0392184,0.0104839,0.0814621,0.058862,0.033929,0.0481338,0.0551671,0.0374016,0.0167225,0.0135398,0.0349485,0.0374258,0.0341936,0.0210877,0.00840073,0.0169102,0.0540708,0,0.0254783,0.0636636,0.033706,0,0,0.0219242,0,0,0.0340091,0.0677884,0.0249065,0.0480896,0.0286025,0.086664,0.0620087,0.0426097,0.0707918,0.0676376,0.0272118,0.0563516,0.0940921,0.0216901,0.0224658,0.00785028,0.0156085,0.0336599,0.0384861,0,0,0,0,0,0,0,0,0,0,0
2,0.0703584,0.0485649,0,0,0,0,0,0,0.0394699,0,0.0271231,0.0661442,0,0,0.0199461,0,0,0.0303745,0.0746525,0.0258922,0.0389299,0.0106446,0.0809786,0.0587758,0.0339148,0.04791,0.0548853,0.0372592,0.0169642,0.0139012,0.0349982,0.0375131,0.0340363,0.0209681,0.00843015,0.0168306,0.0548344,0,0.025367,0.0640402,0.0335768,0,0,0.0219391,0,0,0.0339303,0.0677175,0.0246835,0.0483061,0.0285964,0.0862953,0.0619956,0.0425712,0.0706717,0.0674082,0.0271152,0.0565612,0.0944657,0.0218932,0.0223208,0.00776626,0.0156448,0.033259,0.0382567,0,0,0,0,0,0,0,0,0,0,0
3,0.0702149,0.0486849,0,0,0,0,0,0,0.0396435,0,0.0271865,0.066384,0,0,0.0199075,0,0,0.0303817,0.0747791,0.0263107,0.0387047,0.0110749,0.0804781,0.0586953,0.0339157,0.0477143,0.0546607,0.0371556,0.0171571,0.0141562,0.0350484,0.0375786,0.0339033,0.020899,0.00842406,0.0167825,0.0554753,0,0.0253116,0.0644376,0.0334247,0,0,0.0219824,0,0,0.0339687,0.0676803,0.0245313,0.0485479,0.0286061,0.0859071,0.0620024,0.0425119,0.0705429,0.0671796,0.0270058,0.0567457,0.0947693,0.0220834,0.0222763,0.00776847,0.0156532,0.0327325,0.0379835,0,0,0,0,0,0,0,0,0,0,0
4,0.0695095,0.0486506,0,0,0,0,0,0,0.0397308,0,0.027281,0.066899,0,0,0.0195372,0,0,0.030495,0.0747647,0.0270831,0.0382394,0.0114687,0.080139,0.0572123,0.0345255,0.0479059,0.0549408,0.0375572,0.0173149,0.0145036,0.0352843,0.037812,0.0339343,0.0199809,0.00879706,0.0159065,0.0526932,0,0.0257144,0.0660979,0.0333066,0,0,0.0218064,0,0,0.0339529,0.0664286,0.0258776,0.0508553,0.0267112,0.0867132,0.0616276,0.0432831,0.0715962,0.0684228,0.0282244,0.0558656,0.0941414,0.0209761,0.022465,0.00792557,0.0153803,0.0326882,0.0365988,0,0,0,0,0,0,0,0,0,0.0467252,0
5,0.0698912,0.0488766,0,0,0,0,0,0,0.0398917,0,0.0273714,0.0669151,0,0,0.0198549,0,0,0.0304664,0.0749904,0.0270856,0.0384776,0.012,0.0795182,0.0585501,0.0338316,0.0473007,0.0542789,0.0370505,0.0176529,0.0145515,0.0351351,0.0377879,0.033808,0.020735,0.00850165,0.01668,0.0566981,0,0.0251849,0.0651899,0.0331492,0,0,0.0219723,0,0,0.0340333,0.0675078,0.0242387,0.0490047,0.0286642,0.0852084,0.0620281,0.0423441,0.0702139,0.066726,0.0268421,0.0570545,0.0952513,0.022596,0.0223616,0.00786918,0.0156133,0.0320693,0.0374844,0,0,0,0,0,0,0,0,0,0,0
6,0.0691573,0.0488449,0,0,0,0,0,0,0.0400627,0,0.0275131,0.0675615,0,0,0.0195062,0,0,0.0305713,0.0749418,0.0278133,0.0380168,0.0123344,0.0792192,0.0570074,0.0344198,0.0474573,0.0545664,0.0376056,0.0178993,0.0148303,0.0353585,0.0380969,0.0338392,0.0198522,0.00888828,0.0158819,0.0538039,0,0.0257375,0.0668651,0.0330652,0,0,0.0217536,0,0,0.0339445,0.0661082,0.0256567,0.0513826,0.0270937,0.0861292,0.0616067,0.0431978,0.0712757,0.0678882,0.0280174,0.0561854,0.0946694,0.0211212,0.022421,0.00790377,0.0154129,0.0321575,0.0361533,0,0,0,0,0,0,0,0,0,0.0470858,0
7,0.0690129,0.0489235,0,0,0,0,0,0,0.040178,0,0.0275878,0.0679298,0,0,0.0194935,0,0,0.0306368,0.0750445,0.0281574,0.0379095,0.0127444,0.0787394,0.0569366,0.0345104,0.0472554,0.0543939,0.03767,0.0181517,0.0149281,0.0353876,0.0382282,0.0338269,0.0197955,0.00889787,0.0158801,0.0544953,0,0.0258669,0.067255,0.0329327,0,0,0.0217094,0,0,0.0339067,0.0658977,0.0256112,0.051644,0.0272037,0.0858538,0.0616046,0.0430954,0.0712065,0.0676464,0.027916,0.0562897,0.0948238,0.021358,0.022304,0.00777173,0.0155443,0.0319095,0.0359376,0,0,0,0,0,0,0,0,0,0.0474152,0
8,0.068861,0.0489999,0,0,0,0,0,0,0.0402928,0,0.0276882,0.0683232,0,0,0.0194778,0,0,0.0306991,0.0751636,0.0284918,0.0378748,0.0131463,0.0782853,0.0568951,0.0346235,0.047023,0.0542502,0.0377477,0.0184189,0.015152,0.0353879,0.0382497,0.0337569,0.0197255,0.00889268,0.0158563,0.0550891,0,0.0258792,0.0676231,0.0327802,0,0,0.021658,0,0,0.0339128,0.0657076,0.0255807,0.0518677,0.0272544,0.0855171,0.0616019,0.0431104,0.0711098,0.0674144,0.0278617,0.0564001,0.0949581,0.0216047,0.0222453,0.00777783,0.0155567,0.0317073,0.0356967,0,0,0,0,0,0,0,0,0,0.0477097,0
9,0.0687159,0.0490729,0,0,0,0,0,0,0.040442,0,0.0278139,0.0687265,0,0,0.0194914,0,0,0.0307364,0.0753081,0.0288079,0.0378422,0.0135643,0.0778516,0.0568645,0.0346977,0.0467569,0.0540935,0.0378609,0.0186984,0.0154596,0.0354168,0.0382309,0.0336615,0.0196768,0.00888071,0.0158598,0.0555572,0,0.0258749,0.0679615,0.0326227,0,0,0.0216005,0,0,0.0339743,0.0655511,0.0256027,0.0520595,0.0272928,0.0851459,0.0615983,0.0432111,0.0709889,0.0671985,0.0278375,0.056517,0.0951387,0.0217911,0.0222656,0.00789575,0.0154212,0.0315422,0.0354482,0,0,0,0,0,0,0,0,0,0.0478776,0
10,0.0685638,0.0491203,0,0,0,0,0,0,0.0406273,0,0.0279405,0.0691448,0,0,0.0194866,0,0,0.030745,0.0754393,0.0291373,0.0378086,0.0141038,0.0773978,0.0568057,0.0347737,0.0464627,0.0539158,0.0380099,0.0189554,0.0156659,0.0354554,0.0381767,0.0335956,0.0196366,0.00888491,0.0158519,0.055914,0,0.0259048,0.0682867,0.032475,0,0,0.0215679,0,0,0.0339608,0.0654145,0.0256929,0.0522515,0.0273282,0.0848217,0.0615761,0.0433671,0.0708808,0.0669816,0.0278254,0.0566512,0.0953565,0.0219467,0.0223429,0.00785779,0.0153911,0.0314035,0.0351943,0,0,0,0,0,0,0,0,0,0.048117,0
11,0.0684446,0.0491461,0,0,0,0,0,0,0.0408325,0,0.0280551,0.0695533,0,0,0.0194632,0,0,0.030783,0.075546,0.0294676,0.0377814,0.0146866,0.0769358,0.0567054,0.0348256,0.0461014,0.0537322,0.0381433,0.0191816,0.0158267,0.0354785,0.0381946,0.0335522,0.0196069,0.00892297,0.0158389,0.0561988,0,0.0259953,0.0686001,0.0322358,0,0,0.0215846,0,0,0.033919,0.0653336,0.025739,0.0524095,0.027436,0.0845235,0.0615256,0.0435961,0.0707537,0.0667326,0.0277695,0.0568016,0.0955886,0.0221124,0.0223145,0.00783351,0.0153836,0.0312704,0.0349758,0,0,0,0,0,0,0,0,0,0.0479536,0
12,0.0683304,0.0491547,0,0,0,0,0,0,0.0409834,0,0.0281863,0.0699442,0,0,0.0194337,0,0,0.0308511,0.0756331,0.0298074,0.0377713,0.0152729,0.0764773,0.0565982,0.0348458,0.0457463,0.0535441,0.0382418,0.0194206,0.0159853,0.0354858,0.0382257,0.0335419,0.0195839,0.00894392,0.0158711,0.0565097,0,0.0260988,0.0688604,0.0318882,0,0,0.0215929,0,0,0.0339155,0.0652765,0.025785,0.0525416,0.0275926,0.0842123,0.0614779,0.0437239,0.070613,0.0665116,0.0276684,0.0569697,0.0957962,0.0223015,0.0222891,0.00788326,0.0153774,0.031178,0.0347629,0,0,0,0,0,0,0,0,0,0.0474934,0
13,0.0682188,0.0491458,0,0,0,0,0,0,0.0410826,0,0.0282969,0.0703438,0,0,0.0194277,0,0,0.0309068,0.0757311,0.0301315,0.0377854,0.0157671,0.0760267,0.0564954,0.0348005,0.0454387,0.0533489,0.0383209,0.0196911,0.0161822,0.0354997,0.0382807,0.0335575,0.0195594,0.00898469,0.0158395,0.0567497,0,0.0262215,0.0691319,0.0315456,0,0,0.0215713,0,0,0.0339507,0.0652259,0.0259004,0.0526753,0.0276845,0.0838994,0.0614436,0.043703,0.070524,0.0663333,0.0276972,0.0570987,0.0959517,0.0224975,0.022368,0.0079262,0.0153754,0.0311062,0.0345254,0,0,0,0,0,0,0,0,0,0.0473461,0
14,0.0681059,0.0491561,0,0,0,0,0,0,0.0411648,0,0.0283908,0.0707539,0,0,0.01944,0,0,0.0309299,0.0758434,0.0304222,0.0378361,0.0162608,0.0755368,0.0564267,0.0347345,0.045141,0.0531785,0.0383851,0.0199172,0.0164006,0.0355108,0.0382976,0.0335996,0.0195286,0.00903489,0.0157405,0.0568451,0,0.0263565,0.069418,0.0313172,0,0,0.0215704,0,0,0.0339758,0.0651892,0.0260224,0.052787,0.0277375,0.0835695,0.0614139,0.0436526,0.0704768,0.0662008,0.0277428,0.0571738,0.0960464,0.0226493,0.0225127,0.0078963,0.0153743,0.0310515,0.0342547,0,0,0,0,0,0,0,0,0,0.0474092,0
15,0.0679639,0.0492343,0,0,0,0,0,0,0.0411109,0,0.0285413,0.0711491,0,0,0.0194586,0,0,0.0309502,0.0759371,0.0307377,0.0378851,0.0168271,0.0750975,0.056382,0.0347249,0.0448316,0.0530093,0.0384203,0.0201052,0.0166276,0.0354858,0.0382382,0.0336005,0.0194692,0.00910938,0.015697,0.0569078,0,0.026479,0.0695933,0.0311809,0,0,0.0216391,0,0,0.0339963,0.065195,0.0261093,0.0528491,0.0277402,0.0832648,0.0613782,0.0437805,0.0704221,0.0661312,0.0277913,0.0572155,0.0960964,0.0227611,0.0224888,0.00796672,0.0153,0.0310601,0.0340681,0,0,0,0,0,0,0,0,0,0.0474266,0
16,0.0678597,0.0492873,0,0,0,0,0,0,0.0425677,0,0.0271369,0.0715637,0,0,0.0194934,0,0,0.0309069,0.0760054,0.0304117,0.0379474,0.0172945,0.0746877,0.0563394,0.0347278,0.0445161,0.0528445,0.0384347,0.0201899,0.016681,0.0346189,0.0376022,0.0351298,0.0194195,0.00920903,0.0156104,0.0569193,0,0.0265633,0.069735,0.0310907,0,0,0.0217717,0,0,0.0339725,0.0652203,0.0261928,0.0528908,0.0276599,0.0829826,0.061334,0.0438792,0.0703848,0.0660826,0.0277683,0.0572573,0.0961234,0.0228175,0.0223358,0.00801951,0.015209,0.0310841,0.0339084,0,0,0,0,0,0,0,0,0,0.0475108,0
17,0.0677692,0.0493229,0,0,0,0,0,0,0.0454429,0,0.0244333,0.0719459,0,0,0.0195574,0,0,0.0308502,0.0760576,0.0298136,0.0380425,0.0176511,0.0742965,0.0562841,0.0346474,0.044271,0.0526897,0.0384445,0.0201979,0.0166997,0.032993,0.0364227,0.0381707,0.0193435,0.00929554,0.0153924,0.0568295,0,0.0266085,0.0698882,0.0310045,0,0,0.0219311,0,0,0.033927,0.0652439,0.0262366,0.0529084,0.0275343,0.0827217,0.0613021,0.0438397,0.0703819,0.0660581,0.0277368,0.0572911,0.096125,0.0228239,0.0222487,0.00815015,0.0150491,0.0311059,0.0337381,0,0,0,0,0,0,0,0,0,0.0476909,0
18,0.0676491,0.0493929,0,0,0,0,0,0,0.0480872,0,0.0221211,0.0723009,0,0,0.0196959,0,0,0.0308093,0.0761051,0.029582,0.0381315,0.0179643,0.0739278,0.0562321,0.0345288,0.0440591,0.0525331,0.0384421,0.0202249,0.0168479,0.0315381,0.0353441,0.0409488,0.0192479,0.00948993,0.0150243,0.0566933,0,0.0266448,0.0700045,0.0309392,0,0,0.0221799,0,0,0.0338285,0.0652682,0.0262484,0.0529146,0.0273959,0.0824775,0.0612673,0.0437257,0.0703867,0.0660438,0.0277205,0.0573122,0.096123,0.0228108,0.0222172,0.00831856,0.014801,0.031128,0.0335639,0,0,0,0,0,0,0,0,0,0.0478126,0
19,0.0671543,0.049956,0,0,0,0,0,0,0.0433026,0,0.0263363,0.0730294,0,0,0.0194544,0,0,0.0314347,0.0762326,0.0297365,0.0385917,0.017738,0.0733629,0.0564392,0.0338212,0.0431818,0.0521876,0.0386537,0.0219933,0.0180877,0.035877,0.0396155,0.0354633,0.0193725,0.00971195,0.0135854,0.0533026,0,0.025519,0.0701757,0.0303195,0,0,0.0231106,0,0,0.0336231,0.0658049,0.0249348,0.052497,0.0270851,0.0814949,0.0612802,0.0432386,0.0698445,0.066273,0.0283304,0.0582423,0.097067,0.0218785,0.0219621,0.00853466,0.0141253,0.0315569,0.0334068,0,0,0,0,0,0,0,0,0,0.0475672,0
20,0.0671513,0.0497734,0,0,0,0,0,0,0.0436421,0,0.026183,0.0733233,0,0,0.0186809,0,0,0.0316251,0.0761079,0.0297679,0.0386473,0.0176739,0.0731946,0.0560778,0.0335169,0.0428779,0.05212,0.0387335,0.0221108,0.0182136,0.0360838,0.0398994,0.0355575,0.0195459,0.00889268,0.0149718,0.0530361,0,0.0256449,0.0701181,0.0302668,0,0,0.0215153,0,0,0.0340101,0.0658712,0.0247956,0.0525273,0.0269517,0.0813967,0.0613757,0.043222,0.0698717,0.0662975,0.0283158,0.0582607,0.097102,0.021715,0.022404,0.00772905,0.0152349,0.0313414,0.0332665,0,0,0,0,0,0,0,0,0,0.0477102,0
21,0.067063,0.0498084,0,0,0,0,0,0,0.0438633,0,0.0260198,0.0735539,0,0,0.018621,0,0,0.0316312,0.0760877,0.0296233,0.0386933,0.0177185,0.0729047,0.0559526,0.0334409,0.0427206,0.0520826,0.0387746,0.0221441,0.0183002,0.0361197,0.0399446,0.0356174,0.0194669,0.00887846,0.0149049,0.0529296,0,0.0257004,0.0702146,0.0301388,0,0,0.0214836,0,0,0.0340178,0.0658736,0.0247295,0.052544,0.0269362,0.0811714,0.0613455,0.0430694,0.069903,0.0662874,0.0281903,0.0582547,0.0970296,0.0216809,0.022387,0.00769835,0.0153069,0.0313519,0.0330731,0,0,0,0,0,0,0,0,0,0.0478384,0
22,0.0670277,0.0498404,0,0,0,0,0,0,0.0438833,0,0.0260029,0.0737106,0,0,0.0185966,0,0,0.0316342,0.0761164,0.0294765,0.0386765,0.0177114,0.0726076,0.0558304,0.0333983,0.0426391,0.0520545,0.0387574,0.022071,0.0183193,0.0361089,0.0398529,0.0355232,0.0194081,0.00886156,0.014889,0.052836,0,0.0257324,0.070295,0.0300144,0,0,0.0214954,0,0,0.0340264,0.0658621,0.0247169,0.0525561,0.0269061,0.0809894,0.0613195,0.0430373,0.0699121,0.0662702,0.0280035,0.0582624,0.0969664,0.0216758,0.0223048,0.00770259,0.015324,0.03132,0.0329149,0,0,0,0,0,0,0,0,0,0.0478948,0
23,0.0669982,0.0498598,0,0,0,0,0,0,0.0438034,0,0.0260439,0.0738112,0,0,0.0186251,0,0,0.0316664,0.0761879,0.029325,0.0385937,0.017626,0.0723405,0.0557182,0.0333937,0.0425966,0.052023,0.0386738,0.0219218,0.0182837,0.0360533,0.0396932,0.0353239,0.0193299,0.00888296,0.0148731,0.0527352,0,0.0257912,0.070401,0.0299133,0,0,0.0215012,0,0,0.0340273,0.0658471,0.0247169,0.0525848,0.0268493,0.0808194,0.0612831,0.0431598,0.0698973,0.0662265,0.0278506,0.0582607,0.0969532,0.0216662,0.0221822,0.00774034,0.015314,0.0312463,0.0327806,0,0,0,0,0,0,0,0,0,0.0479765,0
24,0.0669648,0.0498684,0,0,0,0,0,0,0.0437161,0,0.0261119,0.0738532,0,0,0.0186609,0,0,0.031673,0.0762631,0.0291783,0.0384832,0.0174183,0.0721176,0.0556174,0.0334304,0.0425565,0.0519625,0.0385582,0.0217806,0.0182363,0.0359877,0.0395481,0.035073,0.0192434,0.00893236,0.0148489,0.0525921,0,0.0258787,0.0705209,0.0298524,0,0,0.0214416,0,0,0.0340134,0.065833,0.0247172,0.0526269,0.0268158,0.080683,0.0612643,0.043184,0.0698632,0.0661539,0.027737,0.0582556,0.0969782,0.0216325,0.0221121,0.00777844,0.0153242,0.0311271,0.0326644,0,0,0,0,0,0,0,0,0,0.0480819,0
25,0.0669343,0.0498487,0,0,0,0,0,0,0.0436505,0,0.026172,0.0738625,0,0,0.0186629,0,0,0.0315858,0.0763372,0.0290243,0.0384082,0.0172328,0.0719275,0.0555179,0.0334249,0.0425317,0.0519027,0.0384064,0.0216645,0.0182528,0.035942,0.0394194,0.034825,0.0191672,0.00897544,0.0148179,0.052539,0,0.0259533,0.0706428,0.029825,0,0,0.0214469,0,0,0.0340285,0.0658091,0.0247399,0.0526588,0.026828,0.0805789,0.0612579,0.0430743,0.0698236,0.0660935,0.0276574,0.0582583,0.0970065,0.0215946,0.0221254,0.0078522,0.0152677,0.0309872,0.0325867,0,0,0,0,0,0,0,0,0,0.0481723,0
26,0.0669142,0.0498291,0,0,0,0,0,0,0.0436381,0,0.0261806,0.0738507,0,0,0.0186613,0,0,0.0315325,0.0764005,0.028881,0.0383921,0.0171153,0.0718021,0.0554255,0.0334063,0.0425404,0.0518749,0.0382314,0.0216034,0.0183093,0.0359037,0.0393189,0.0346503,0.0191055,0.00899146,0.0148321,0.0525421,0,0.0259977,0.0707694,0.029825,0,0,0.0214725,0,0,0.0339679,0.0657665,0.0247891,0.0526831,0.0268806,0.0804936,0.061259,0.0428938,0.0697801,0.0660436,0.0276125,0.0582589,0.0970277,0.0215798,0.0221442,0.00788934,0.0152129,0.0308405,0.0325282,0,0,0,0,0,0,0,0,0,0.0482199,0
27,0.066688,0.0499897,0,0,0,0,0,0,0.0439833,0,0.0257026,0.0737993,0,0,0.0184501,0,0,0.0317374,0.0765647,0.0284863,0.0385986,0.0173173,0.0717432,0.0553369,0.033707,0.0427641,0.0519023,0.0380834,0.0215982,0.0184566,0.0355709,0.0390017,0.0349923,0.019154,0.00884809,0.0145695,0.052932,0,0.0258453,0.0711608,0.0296509,0,0,0.0214265,0,0,0.034056,0.0655507,0.0249411,0.0527152,0.027093,0.0802828,0.0612389,0.0429222,0.0697937,0.0658962,0.0273083,0.0581391,0.0968686,0.021947,0.0218563,0.00774445,0.0150918,0.0309115,0.03239,0,0,0,0,0,0,0,0,0,0.0482504,0
28,0.0669143,0.049784,0,0,0,0,0,0,0.0438276,0,0.0260625,0.0738269,0,0,0.0187081,0,0,0.0314363,0.076432,0.0286788,0.0385033,0.0171267,0.07166,0.055298,0.0333838,0.0426334,0.051788,0.037844,0.0215326,0.0183943,0.0359335,0.039392,0.0345359,0.0189578,0.00901536,0.0148391,0.0525397,0,0.02603,0.0710416,0.0299627,0,0,0.0214233,0,0,0.0338913,0.0657108,0.0247867,0.0527164,0.0270417,0.080311,0.061321,0.0429392,0.0696764,0.0660104,0.0276089,0.0582994,0.0970875,0.0215949,0.0221738,0.00770518,0.015461,0.0307107,0.0324178,0,0,0,0,0,0,0,0,0,0.0481277,0
29,0.0666847,0.0499413,0,0,0,0,0,0,0.0442028,0,0.0255334,0.0738651,0,0,0.0184974,0,0,0.0316803,0.0765163,0.0283076,0.0387814,0.0173851,0.071656,0.0552187,0.0337269,0.0428705,0.051846,0.0377398,0.021572,0.0185431,0.035665,0.0390127,0.0349499,0.0190107,0.00888772,0.0145204,0.0528986,0,0.0258544,0.0713725,0.0298653,0,0,0.0213755,0,0,0.0340716,0.0654499,0.0249379,0.0527681,0.027208,0.0800875,0.0613394,0.0429995,0.0696555,0.0658386,0.027296,0.0582113,0.0969488,0.0219765,0.0219406,0.0076249,0.0153078,0.0309361,0.03227,0,0,0,0,0,0,0,0,0,0.0482151,0
30,0.0668893,0.04976,0,0,0,0,0,0,0.0440116,0,0.0259268,0.0739921,0,0,0.0187408,0,0,0.0313997,0.076333,0.0285155,0.0387304,0.0171537,0.0715965,0.0551736,0.0333893,0.0427154,0.0518292,0.0376119,0.0215727,0.0185567,0.0360799,0.0393028,0.034522,0.0188119,0.00905114,0.0148023,0.0524985,0,0.0260742,0.0711925,0.0302215,0,0,0.0214445,0,0,0.0339242,0.0655816,0.024807,0.052795,0.0270992,0.0800817,0.061455,0.0427429,0.0695231,0.0658956,0.0275286,0.058422,0.0971373,0.0216111,0.0223922,0.00770632,0.0154857,0.030623,0.0322804,0,0,0,0,0,0,0,0,0,0.0482907,0
31,0.0668907,0.0497848,0,0,0,0,0,0,0.0440364,0,0.0259204,0.0740502,0,0,0.0187469,0,0,0.0314526,0.0762807,0.0285075,0.0388498,0.0171333,0.0715802,0.0550905,0.0334002,0.0427768,0.0518956,0.0376189,0.0215583,0.0186078,0.036142,0.0393443,0.0345406,0.0187834,0.00910486,0.014812,0.0524736,0,0.0261035,0.0712593,0.0303648,0,0,0.0214476,0,0,0.0339308,0.0655661,0.0248014,0.0528177,0.0271096,0.0799482,0.0615038,0.0426237,0.0694644,0.0658506,0.0274675,0.0584945,0.097179,0.0216162,0.0225173,0.00768725,0.0155581,0.030561,0.0322207,0,0,0,0,0,0,0,0,0,0.0485914,0
32,0.0675562,0.0499564,0,0,0,0,0,0,0.0439721,0,0.0261243,0.0737323,0,0,0.0190644,0,0,0.03139,0.0762994,0.0283722,0.0392451,0.0168937,0.0713415,0.056655,0.0326848,0.0426257,0.0513884,0.0368238,0.0213286,0.0182279,0.0360002,0.0392707,0.0343641,0.0194237,0.00877856,0.015751,0.0549793,0,0.0250302,0.0698156,0.030478,0,0,0.0214519,0,0,0.0340866,0.0671957,0.0227491,0.0505236,0.0279418,0.0785408,0.0619294,0.0415033,0.0679956,0.0646884,0.0268934,0.0598619,0.0983797,0.0228982,0.0226208,0.00734766,0.0159058,0.0302227,0.033318,0,0,0,0,0,0,0,0,0,0,0
33,0.0675777,0.0498896,0,0,0,0,0,0,0.0438562,0,0.0261787,0.0737892,0,0,0.0190128,0,0,0.0313728,0.0762699,0.0284245,0.0393004,0.0169269,0.0712553,0.05659,0.0327879,0.0426697,0.051384,0.0369084,0.0213245,0.0182275,0.0359861,0.0394463,0.0343859,0.0194435,0.00880146,0.0158099,0.0550494,0,0.0250925,0.0698727,0.030546,0,0,0.0213961,0,0,0.0340603,0.0671853,0.0226859,0.0504754,0.0279626,0.0783606,0.0619086,0.0415655,0.0679138,0.0647014,0.0269877,0.0599075,0.098452,0.0229037,0.0226685,0.00733447,0.0160023,0.0304223,0.0332643,0,0,0,0,0,0,0,0,0,0,0
34,0.0675335,0.0498972,0,0,0,0,0,0,0.0438095,0,0.0261069,0.0738565,0,0,0.0188599,0,0,0.0314701,0.0762469,0.0284503,0.03933,0.0169767,0.071087,0.0564781,0.0328821,0.0427682,0.0513833,0.0370054,0.0212908,0.0182087,0.0358915,0.0394488,0.0345434,0.0194873,0.00879284,0.0157581,0.0552388,0,0.0250339,0.0699825,0.0305238,0,0,0.0213606,0,0,0.0341234,0.0671587,0.0226385,0.0504466,0.0280935,0.0781284,0.0618627,0.0415805,0.0678448,0.0646559,0.0270012,0.0599318,0.0984601,0.023032,0.0226364,0.00738909,0.015851,0.0305592,0.0331633,0,0,0,0,0,0,0,0,0,0,0
35,0.0674996,0.0498849,0,0,0,0,0,0,0.0437331,0,0.0260857,0.0738735,0,0,0.0187277,0,0,0.0315742,0.0762316,0.0284732,0.0393103,0.0170724,0.0708506,0.0563635,0.0329732,0.0427969,0.051412,0.0371559,0.0213317,0.0182564,0.0358607,0.0393428,0.0346556,0.0195555,0.00879884,0.0157467,0.0553625,0,0.025007,0.0700991,0.0304711,0,0,0.02143,0,0,0.03406,0.0671584,0.022596,0.0504176,0.0281869,0.0778782,0.0618236,0.0414608,0.067785,0.0646132,0.0269575,0.0599378,0.0984889,0.0230985,0.0226087,0.00737675,0.0157204,0.0305727,0.0330865,0,0,0,0,0,0,0,0,0,0,0
36,0.0675439,0.0498231,0,0,0,0,0,0,0.0436076,0,0.0262471,0.0738844,0,0,0.0186577,0,0,0.0315389,0.0761961,0.0285825,0.039261,0.0170499,0.0705696,0.0562676,0.0329598,0.0427529,0.0514535,0.0373023,0.0213632,0.0182545,0.0359614,0.0392419,0.0345818,0.0195552,0.00886091,0.0158474,0.055294,0,0.0250429,0.0701168,0.0305038,0,0,0.0214085,0,0,0.0339953,0.0672261,0.0224851,0.0504035,0.0282082,0.0776738,0.0617458,0.0412229,0.0677276,0.0646079,0.0269702,0.05997,0.0985896,0.0230214,0.0227682,0.00737076,0.0156945,0.0305257,0.0330449,0,0,0,0,0,0,0,0,0,0,0
37,0.0676785,0.0497132,0,0,0,0,0,0,0.0434293,0,0.0265758,0.0739109,0,0,0.0186807,0,0,0.0314285,0.0761366,0.0288239,0.0392204,0.016873,0.0702422,0.0561688,0.0328009,0.0426949,0.0514404,0.0373921,0.0213118,0.0181818,0.0361577,0.0393585,0.0343394,0.0194888,0.00897495,0.0160825,0.0550439,0,0.02511,0.0700377,0.0306439,0,0,0.021309,0,0,0.033959,0.0673735,0.0223169,0.0503941,0.028144,0.0775234,0.0616491,0.041069,0.0676443,0.0646351,0.0271096,0.060076,0.0987363,0.0228275,0.0229747,0.0074124,0.0157674,0.0304513,0.0330213,0,0,0,0,0,0,0,0,0,0,0
