Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIBA,RTIB
657,0.0714033,0.0462124,0,0,0,0,0,0,0.0350374,0,0.0285229,0.0608954,0,0,0.0210982,0,0,0.0289128,0.0721519,0.0169337,0.0448453,0.0136335,0.0929606,0.0608648,0.0331829,0.0532461,0.0600848,0.0367945,0.0184772,0.0146783,0.0379436,0.0414832,0.0511641,0.0223193,0.00783279,0.0163117,0.0359346,0,0.0298523,0.0596662,0.031817,0,0,0.0226638,0,0,0.0329887,0.0711297,0.0342112,0.0491019,0.0255402,0.0972398,0.0589635,0.0420673,0.0724582,0.0733418,0.0321856,0.0493749,0.0847604,0.0418317,0.0200586,0.00828476,0.0132226,0.0332371,0.0409885,0,0,0,0,0,0,0,0,0,0.0414599,0
658,0.0713574,0.0462763,0,0,0,0,0,0,0.0348412,0,0.0284291,0.0610782,0,0,0.0211251,0,0,0.0289167,0.0720834,0.0174713,0.0445998,0.0130644,0.0923669,0.0607755,0.0333791,0.0532462,0.0600721,0.0371224,0.0178159,0.0141289,0.0375464,0.0408692,0.0497862,0.0221886,0.00776521,0.0163686,0.036353,0,0.0296842,0.0598442,0.0319719,0,0,0.0226716,0,0,0.0329533,0.070914,0.033561,0.0491695,0.0256676,0.0967984,0.059286,0.042346,0.0725877,0.0733139,0.0322091,0.0496541,0.085181,0.0402644,0.0201591,0.00817441,0.0134781,0.0331766,0.0408297,0,0,0,0,0,0,0,0,0,0.0418345,0
659,0.071288,0.0463323,0,0,0,0,0,0,0.0346824,0,0.0283377,0.061283,0,0,0.0211238,0,0,0.0289455,0.0720197,0.0180584,0.0443431,0.0125198,0.0918036,0.0607063,0.0336057,0.0532496,0.0600557,0.0373565,0.0172982,0.0136257,0.0371453,0.0402852,0.0484813,0.0220506,0.00775957,0.0163732,0.0368354,0,0.0295066,0.0600515,0.0321243,0,0,0.0226762,0,0,0.0329997,0.0706894,0.0329608,0.0492407,0.0258415,0.0963715,0.0596061,0.0422552,0.0726895,0.0732557,0.0321423,0.0499531,0.0856157,0.0387548,0.0203055,0.00804103,0.0137969,0.0331052,0.0406699,0,0,0,0,0,0,0,0,0,0.0421908,0
660,0.0712304,0.0463896,0,0,0,0,0,0,0.0345964,0,0.0282112,0.061499,0,0,0.0210914,0,0,0.0289728,0.0719741,0.0186477,0.0440624,0.0120442,0.0912211,0.0605798,0.0339797,0.0532787,0.0600336,0.0375736,0.0168884,0.0131393,0.0367913,0.0399405,0.0472567,0.0219122,0.00774137,0.0163988,0.0373517,0,0.0291957,0.0602764,0.0322718,0,0,0.0226977,0,0,0.0330569,0.0704882,0.0324218,0.0492994,0.0260105,0.0959043,0.0599118,0.0422057,0.072735,0.073126,0.0320131,0.0502482,0.0860515,0.0372407,0.0205637,0.00794028,0.0140744,0.0330548,0.0405202,0,0,0,0,0,0,0,0,0,0.0425143,0
661,0.0711953,0.0464591,0,0,0,0,0,0,0.034555,0,0.0281046,0.061722,0,0,0.0210884,0,0,0.0289897,0.071948,0.0192278,0.0437512,0.0114175,0.0905893,0.0605084,0.0343782,0.053306,0.0600595,0.0378055,0.0162923,0.0127238,0.0365369,0.0395438,0.0461133,0.0217661,0.00774155,0.0164111,0.0378877,0,0.0289308,0.0604875,0.0324216,0,0,0.0227138,0,0,0.0330858,0.0702861,0.0319295,0.0493668,0.0261617,0.0954065,0.0601853,0.0422521,0.0727756,0.0729621,0.0318826,0.0505455,0.0864717,0.0357313,0.0208567,0.00787801,0.0143089,0.0330248,0.0403803,0,0,0,0,0,0,0,0,0,0.0427982,0
662,0.0711654,0.0465308,0,0,0,0,0,0,0.0345578,0,0.0280035,0.0619412,0,0,0.0210922,0,0,0.0289546,0.0719369,0.0197711,0.0434104,0.010998,0.089939,0.0604244,0.0346627,0.0532803,0.0599996,0.0380422,0.0158072,0.0124113,0.0363345,0.0390791,0.0450838,0.021616,0.00766535,0.0164649,0.0384946,0,0.0287034,0.0606862,0.0325536,0,0,0.0227425,0,0,0.0330787,0.0700704,0.0314414,0.0494415,0.0262467,0.0949001,0.0604465,0.0423341,0.0728039,0.0728337,0.0317693,0.0508415,0.0868725,0.0342636,0.0210024,0.00783822,0.0144796,0.0329647,0.0402521,0,0,0,0,0,0,0,0,0,0.043059,0
663,0.0711207,0.0466018,0,0,0,0,0,0,0.0346378,0,0.0279068,0.0621481,0,0,0.0211189,0,0,0.0289573,0.0719192,0.0202628,0.0430778,0.0105413,0.0893243,0.0603363,0.0348645,0.0532322,0.0599159,0.0382672,0.0154387,0.0121873,0.0361283,0.0387443,0.0440877,0.0214883,0.00764093,0.0165139,0.0391642,0,0.0284476,0.0608749,0.0326609,0,0,0.0228138,0,0,0.0330455,0.0698688,0.0309511,0.0495247,0.026315,0.0944252,0.0607003,0.0424589,0.0728625,0.072737,0.0316612,0.0511246,0.0872479,0.0328782,0.0210912,0.00778338,0.0146166,0.032876,0.0401099,0,0,0,0,0,0,0,0,0,0.0433947,0
664,0.0710524,0.046661,0,0,0,0,0,0,0.0347431,0,0.027846,0.0623674,0,0,0.0211622,0,0,0.0289979,0.0719024,0.0207844,0.0427581,0.00997575,0.0887352,0.0602768,0.0350688,0.0532276,0.0598435,0.0384628,0.0151573,0.0119885,0.0359238,0.0385762,0.0431496,0.0213851,0.00766158,0.016532,0.0398203,0,0.028198,0.0610811,0.0327664,0,0,0.0228901,0,0,0.0330567,0.0696708,0.030503,0.0496354,0.0263556,0.0939832,0.0609278,0.042579,0.072986,0.0726275,0.0314838,0.0513872,0.08762,0.031553,0.021216,0.00770042,0.0148343,0.032787,0.039951,0,0,0,0,0,0,0,0,0,0.0436932,0
665,0.0713587,0.046837,0,0,0,0,0,0,0.0350059,0,0.0277625,0.0629825,0,0,0.0213679,0,0,0.028951,0.0720015,0.0208773,0.0427358,0.00987727,0.0879892,0.0612275,0.0345778,0.052739,0.0593115,0.0382074,0.0151404,0.0118751,0.0356327,0.0383796,0.0421188,0.0218827,0.00747978,0.0170792,0.0427282,0,0.027514,0.0600818,0.0329012,0,0,0.0230834,0,0,0.0330929,0.0705364,0.0276443,0.0483167,0.0296228,0.0926667,0.0613791,0.0418378,0.0717677,0.0708362,0.0295968,0.0533635,0.0896041,0.0269215,0.0211669,0.00758452,0.0151606,0.0324761,0.0406387,0,0,0,0,0,0,0,0,0,0,0
666,0.0713242,0.0468485,0,0,0,0,0,0,0.0351125,0,0.027699,0.0632008,0,0,0.0214132,0,0,0.0289396,0.0720128,0.0213682,0.0423992,0.00970216,0.0873563,0.0612274,0.0347333,0.0526553,0.05919,0.0383245,0.0149613,0.0118821,0.0355062,0.0381353,0.0414546,0.0218206,0.00744701,0.0170641,0.0435201,0,0.0272658,0.0603277,0.032962,0,0,0.0231401,0,0,0.0331118,0.0702774,0.0272985,0.0484054,0.0295232,0.092184,0.0616158,0.0416959,0.0717926,0.0708003,0.0293519,0.0535636,0.0898895,0.0259984,0.0213191,0.00752108,0.0152804,0.0323586,0.0404777,0,0,0,0,0,0,0,0,0,0,0
