Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB,,x77
All Timesteps RMSE,0.0684614,0.0482485,0,0,0,0,0,0,0.119696,0,0.0582656,0.075339,0,0,0.0177451,0,0,0.0324125,0.0748144,0.264345,0.0470941,0.0299282,0.0942943,0.0536414,0.0383586,0.062692,0.0599811,0.0467648,0.036848,0.0398938,0.0653864,0.0738124,0.179062,0.0201337,0.0121653,0.0137185,0.0438555,0,0.0328855,0.0568217,0.0300908,0,0,0.0209912,0,0,0.0351795,0.0682798,0.0420423,0.0494842,0.0224746,0.0947885,0.0548428,0.0454783,0.0726028,0.0684297,0.0270018,0.0393236,0.0477108,0.083637,0.045013,0.0213445,0.0106216,0.0114817,0.0348357,0.037238,0,0,0,0,0,0,0,0,0,0.0723963,0,0
0,0.0695394,0.0512895,0,0,0,0,0,0,0.116511,0,0.0525526,0.0667222,0,0,0.0188144,0,0,0.0305469,0.0669308,0.25818,0.0447344,0.0194498,0.102198,0.0520088,0.0313912,0.0443282,0.0570656,0.0371622,0.0361429,0.0374831,0.0640994,0.067269,0.211487,0.0212393,0.00994857,0.0144002,0.0405776,0,0.0313862,0.0412615,0.0298669,0,0,0.0217551,0,0,0.0338168,0.0726044,0.0386644,0.0427532,0.0199003,0.100786,0.0507248,0.0447973,0.0725175,0.069649,0.0264769,0.0363664,0.0461014,0.080563,0.0326465,0.0220859,0.0110814,0.0101305,0.0433816,0.0402936,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0694643,0.0510665,0,0,0,0,0,0,0.114878,0,0.0531643,0.0670139,0,0,0.018744,0,0,0.0305602,0.0665277,0.258308,0.0452796,0.0179911,0.102043,0.0522119,0.0316747,0.0443767,0.0572683,0.0376239,0.0353293,0.036992,0.0634164,0.066422,0.212531,0.021286,0.00998001,0.0144915,0.041325,0,0.0309128,0.0415526,0.0297019,0,0,0.0215924,0,0,0.0339096,0.0725712,0.0381955,0.0427835,0.0197661,0.100546,0.0509876,0.0450399,0.0726967,0.0696378,0.0266812,0.0365646,0.0463979,0.0809919,0.0316508,0.022155,0.0110057,0.0102568,0.0431037,0.0399741,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0692614,0.0509613,0,0,0,0,0,0,0.113197,0,0.0537782,0.0672272,0,0,0.0186423,0,0,0.0306206,0.0662057,0.258456,0.0457594,0.0166561,0.101891,0.0523648,0.0321794,0.0443447,0.057474,0.0379885,0.0344454,0.0364775,0.0627651,0.0655305,0.213584,0.0213095,0.00994507,0.0145305,0.0421385,0,0.0306215,0.0418822,0.0295194,0,0,0.0214605,0,0,0.033952,0.0724719,0.0378734,0.042937,0.0197168,0.100376,0.0512338,0.0452157,0.0728148,0.0696569,0.0267361,0.0367173,0.0466681,0.0813467,0.0306289,0.022152,0.0109421,0.0103552,0.0429163,0.0395942,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0690166,0.0508802,0,0,0,0,0,0,0.111413,0,0.0545472,0.0674645,0,0,0.0185613,0,0,0.0306976,0.0658671,0.258596,0.046296,0.0153194,0.101787,0.0525129,0.0327492,0.0443003,0.0577102,0.0383692,0.0333717,0.0359353,0.0621746,0.064594,0.214597,0.021325,0.0098958,0.0145509,0.042938,0,0.0302327,0.0422375,0.0292904,0,0,0.0213215,0,0,0.0339334,0.0723794,0.0375704,0.0431029,0.0197122,0.100215,0.0514979,0.0454221,0.072979,0.0696518,0.0267045,0.0369717,0.0469651,0.0816867,0.0296642,0.0221337,0.0108593,0.0104402,0.0427497,0.0391706,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0685606,0.0508485,0,0,0,0,0,0,0.109363,0,0.0554619,0.0677815,0,0,0.0184484,0,0,0.0307369,0.0653982,0.258611,0.0478248,0.0135926,0.101849,0.0526037,0.0329935,0.044267,0.0580383,0.0391763,0.0318525,0.0350929,0.0613084,0.0633281,0.21593,0.0214537,0.00989388,0.0145815,0.0438385,0,0.0298505,0.0434795,0.0287986,0,0,0.0213242,0,0,0.0339486,0.0722285,0.0370531,0.0432662,0.0197883,0.0999582,0.0515873,0.0453958,0.0730557,0.0697425,0.0269518,0.0373314,0.0472964,0.0820564,0.0285007,0.0220654,0.0108879,0.0103947,0.0427438,0.0384393,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0682883,0.0507851,0,0,0,0,0,0,0.107224,0,0.056697,0.0681816,0,0,0.0183443,0,0,0.030746,0.0651201,0.258623,0.0484453,0.0126637,0.101825,0.0527021,0.033237,0.0446,0.0583242,0.0395837,0.0305436,0.034519,0.060655,0.0623709,0.216771,0.0215221,0.00982871,0.0146408,0.044816,0,0.0295105,0.0436698,0.0286162,0,0,0.0212208,0,0,0.0339733,0.0721803,0.0366864,0.0434063,0.0197164,0.0998187,0.0518576,0.0455704,0.0731363,0.0696676,0.0269179,0.0375648,0.0475613,0.0823739,0.0275342,0.0220515,0.0108056,0.0104791,0.0425944,0.0379972,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0679317,0.050722,0,0,0,0,0,0,0.104962,0,0.0581826,0.0686398,0,0,0.0182393,0,0,0.0307328,0.0649069,0.258567,0.0491139,0.0123607,0.101818,0.0528089,0.0336932,0.0448558,0.0586752,0.0400248,0.0290824,0.0339136,0.0600084,0.0613988,0.21754,0.0215646,0.0097438,0.0147012,0.0459048,0,0.0291651,0.0438808,0.0284391,0,0,0.0211211,0,0,0.0339924,0.0721462,0.0363212,0.0434985,0.0196728,0.0996782,0.0520836,0.0457963,0.0731239,0.0695931,0.0269222,0.0378036,0.047798,0.0826381,0.0265825,0.022047,0.0107426,0.0105526,0.0424342,0.037537,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0675082,0.0506363,0,0,0,0,0,0,0.102538,0,0.0599795,0.0691122,0,0,0.0181211,0,0,0.0307357,0.0647821,0.258403,0.0498509,0.0125801,0.101867,0.0528997,0.034313,0.045181,0.0590939,0.0404913,0.0276737,0.0333647,0.0594269,0.0604254,0.218114,0.0216043,0.0097487,0.014692,0.0470467,0,0.0288454,0.0440928,0.0282837,0,0,0.0210216,0,0,0.0340217,0.072169,0.0359419,0.0435577,0.0196345,0.0995334,0.0522957,0.0459662,0.0731669,0.0695154,0.0269171,0.038046,0.0480582,0.0830551,0.025715,0.0220694,0.010682,0.0106059,0.0422837,0.0370611,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0670916,0.0505579,0,0,0,0,0,0,0.0999624,0,0.062022,0.0695775,0,0,0.0179675,0,0,0.0307913,0.0648562,0.258086,0.0506284,0.0133329,0.101932,0.0529029,0.0349542,0.0458546,0.0595296,0.0409443,0.026392,0.0328129,0.0588523,0.0594723,0.218533,0.0216383,0.0097412,0.0146439,0.0482371,0,0.0285545,0.0443587,0.0281672,0,0,0.0209164,0,0,0.0340718,0.0722427,0.035519,0.0435994,0.0196356,0.0993598,0.0525344,0.0461007,0.0732897,0.0694261,0.026901,0.0382725,0.0483659,0.0835248,0.0249588,0.0221202,0.010609,0.0106671,0.0421315,0.0365647,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0667968,0.0504664,0,0,0,0,0,0,0.0972512,0,0.0643296,0.070066,0,0,0.0178297,0,0,0.0308837,0.0652397,0.257562,0.051395,0.0146513,0.10196,0.0529502,0.035512,0.0469084,0.0599658,0.0414082,0.0247354,0.0323272,0.0583448,0.0586553,0.218753,0.0216594,0.009696,0.0146109,0.0494333,0,0.0281603,0.0446511,0.0280403,0,0,0.0208127,0,0,0.0340813,0.0723448,0.0350706,0.0435838,0.0196381,0.0991878,0.0527608,0.0462088,0.0733385,0.0693664,0.0269217,0.0383684,0.0487079,0.0839627,0.0243287,0.0221828,0.0105548,0.0107479,0.0419694,0.0360663,0,0,0,0,0,0,0,0,0,0,0,0
10,0.066857,0.0504111,0,0,0,0,0,0,0.0948747,0,0.0668473,0.0707876,0,0,0.0177635,0,0,0.0307588,0.0665127,0.256846,0.0521915,0.0165915,0.101674,0.0537632,0.0353606,0.04763,0.0599128,0.0416335,0.0226954,0.0316977,0.0578598,0.0582065,0.21879,0.0219952,0.00947297,0.0148781,0.0523855,0,0.0270838,0.0441131,0.0278418,0,0,0.0206975,0,0,0.0340679,0.0734199,0.0320765,0.0426435,0.0224647,0.0981749,0.0531276,0.0457761,0.0718967,0.0675293,0.0254832,0,0.0507119,0.0861396,0.02336,0.0221243,0.0104469,0.0108341,0.0415821,0.0362697,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0663548,0.0503799,0,0,0,0,0,0,0.091623,0,0.070466,0.0710646,0,0,0.0175757,0,0,0.0308313,0.0676102,0.255645,0.0526836,0.020121,0.10182,0.052914,0.0363937,0.0502661,0.0609113,0.0425181,0.0199162,0.031183,0.057615,0.0581688,0.217987,0.0216438,0.00964434,0.0146211,0.0516025,0,0.0273229,0.0453029,0.027854,0,0,0.0206363,0,0,0.0340748,0.0726536,0.034103,0.0435473,0.0197456,0.0986717,0.0531595,0.046542,0.0730109,0.0690902,0.0270229,0.0382411,0.0495458,0.0850156,0.0235557,0.0223108,0.0104506,0.0108452,0.0416199,0.035103,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0665777,0.050374,0,0,0,0,0,0,0.0897842,0,0.0738848,0.0712751,0,0,0.0176264,0,0,0.0306607,0.0701889,0.254217,0.0526903,0.0234165,0.101222,0.0537932,0.036618,0.0519429,0.0607008,0.0426893,0.0173549,0.0304116,0.0574627,0.0588366,0.216989,0.0218729,0.00938314,0.0149232,0.0545396,0,0.0263199,0.0447607,0.0278454,0,0,0.0204926,0,0,0.0341323,0.0735585,0.0312565,0.0427733,0.0225284,0.0976955,0.0537131,0.0458628,0.0714816,0.0672062,0.0254277,0,0.0514236,0.0870684,0.0234113,0.0223078,0.0102455,0.0110246,0.0412047,0.0355122,0,0,0,0,0,0,0,0,0,0,0,0
13,0.066494,0.0503632,0,0,0,0,0,0,0.0879983,0,0.0767795,0.0711169,0,0,0.0176578,0,0,0.0307068,0.0727075,0.252563,0.0525364,0.0266937,0.100843,0.0538408,0.0373628,0.0543423,0.0609169,0.0434081,0.0145037,0.0297074,0.0575869,0.0601018,0.215521,0.021759,0.00943067,0.0148906,0.0553975,0,0.026006,0.0454616,0.0278921,0,0,0.0203791,0,0,0.0341264,0.0733312,0.0307723,0.0429933,0.0226729,0.0974744,0.0540588,0.0456158,0.0713179,0.0671067,0.0255205,0,0.0518277,0.087555,0.0235561,0.0224271,0.0101332,0.0111614,0.0410349,0.0351894,0,0,0,0,0,0,0,0,0,0,0,0
14,0.066464,0.0503443,0,0,0,0,0,0,0.0869748,0,0.0789533,0.0707321,0,0,0.0176663,0,0,0.0307195,0.0752376,0.251086,0.0519643,0.0292672,0.100366,0.0538673,0.0379019,0.0564419,0.0608822,0.0441056,0.0121502,0.0290871,0.0579543,0.0618234,0.213683,0.0216373,0.00944232,0.0148774,0.0560952,0,0.0257088,0.0461908,0.0280259,0,0,0.0203614,0,0,0.0341163,0.072888,0.0302513,0.0433549,0.0228945,0.0972614,0.0544363,0.0452119,0.0711216,0.0669732,0.0259473,0,0.0522257,0.0880624,0.0237582,0.0225288,0.0100402,0.0112483,0.0408408,0.0349547,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0664367,0.0503428,0,0,0,0,0,0,0.08619,0,0.0795825,0.0702192,0,0,0.0176195,0,0,0.0307316,0.0766282,0.2506,0.0512141,0.0302899,0.0998042,0.053866,0.0380313,0.0573187,0.0606549,0.0444576,0.0108639,0.0286798,0.0581234,0.0626734,0.212622,0.0215354,0.00939037,0.0149833,0.0564403,0,0.0255656,0.0469231,0.0282064,0,0,0.0203422,0,0,0.0341255,0.0724025,0.0297737,0.0437947,0.0231433,0.0970729,0.0548263,0.0446371,0.070951,0.0668243,0.0258908,0,0.0526792,0.0886355,0.0238357,0.0225766,0.00988554,0.0114693,0.0406617,0.0347843,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0660656,0.0502535,0,0,0,0,0,0,0.0849844,0,0.0788585,0.0698128,0,0,0.0174812,0,0,0.0308776,0.0762185,0.251561,0.0504658,0.0298441,0.0995538,0.0529832,0.0385767,0.057691,0.0608971,0.0447156,0.0101508,0.0286543,0.0579622,0.0627142,0.211496,0.0209803,0.00960166,0.0145663,0.0548795,0,0.0258382,0.0484272,0.0284544,0,0,0.0201275,0,0,0.0341977,0.0710865,0.031584,0.0453875,0.0207405,0.0977723,0.0550164,0.0450003,0.0722758,0.0684462,0.0270838,0.0409245,0.0516808,0.0876458,0.0235612,0.0228427,0.00986118,0.0116317,0.0406955,0.0337899,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0663565,0.0502385,0,0,0,0,0,0,0.0849633,0,0.0759404,0.0694988,0,0,0.0175697,0,0,0.030734,0.0766717,0.255863,0.0500276,0.0288127,0.0987622,0.0540552,0.037984,0.0563869,0.0600516,0.0444372,0.00914897,0.0271503,0.0564051,0.0620082,0.207308,0.021349,0.00930204,0.0150114,0.0572131,0,0.0251653,0.048208,0.0284554,0,0,0.0201698,0,0,0.0342317,0.0720282,0.0290256,0.0444965,0.0234497,0.096618,0.05565,0.0440285,0.0707594,0.066648,0.0255229,0,0.0536299,0.0895204,0.0241751,0.0227017,0.00969981,0.0118388,0.0402099,0.0344164,0,0,0,0,0,0,0,0,0,0,0,0
18,0.06583,0.0501981,0,0,0,0,0,0,0.0843132,0,0.0739422,0.0692848,0,0,0.0174468,0,0,0.0308974,0.0763487,0.259168,0.0493459,0.0281834,0.0985056,0.0530477,0.0383687,0.0565569,0.0604058,0.0446891,0.00815786,0.0265629,0.0555237,0.0616241,0.203788,0.0207084,0.00964747,0.0145827,0.0554902,0,0.0254454,0.0498274,0.0286499,0,0,0.0200398,0,0,0.0342697,0.0706243,0.0308278,0.0462873,0.021146,0.0973576,0.055752,0.0445198,0.0720239,0.0682236,0.0268174,0.042046,0.0531017,0.0885788,0.0237156,0.022919,0.00970904,0.0119353,0.0402861,0.0332695,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0657576,0.050029,0,0,0,0,0,0,0.0843333,0,0.0717798,0.0691761,0,0,0.0175283,0,0,0.030891,0.0765229,0.262794,0.0488375,0.0274035,0.0979637,0.0531528,0.0383128,0.0561107,0.0603185,0.0447007,0.00731927,0.0256445,0.0545103,0.0612296,0.200042,0.020598,0.00960631,0.0146203,0.0557484,0,0.0252726,0.0504107,0.028721,0,0,0.0199663,0,0,0.0343124,0.0701977,0.0304901,0.046679,0.0212857,0.0971039,0.0560666,0.0442381,0.0719673,0.0681271,0.0266399,0.0424548,0.0534102,0.0890309,0.0238295,0.0229991,0.00968851,0.0119866,0.0399701,0.0330534,0,0,0,0,0,0,0,0,0,0,0,0
20,0.065635,0.0499257,0,0,0,0,0,0,0.0847365,0,0.0697286,0.0690977,0,0,0.017579,0,0,0.0308664,0.0764026,0.266496,0.048356,0.0267789,0.0973648,0.0532358,0.0383581,0.0555798,0.0601408,0.0447917,0.00664888,0.0247096,0.0535515,0.0609573,0.19604,0.0204653,0.00960531,0.0146438,0.0558661,0,0.025174,0.0510405,0.0287657,0,0,0.0199259,0,0,0.0343062,0.0697643,0.0300943,0.0470898,0.0214802,0.0968298,0.0563737,0.0441682,0.0718612,0.068029,0.0265027,0.0427736,0.0535849,0.0895014,0.0238343,0.0230114,0.00966667,0.0121134,0.03968,0.0328865,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0658959,0.0502254,0,0,0,0,0,0,0.0873515,0,0.0687173,0.0688223,0,0,0.0179564,0,0,0.0307921,0.0777294,0.262655,0.0471234,0.0235395,0.0959259,0.0538807,0.0388605,0.055026,0.0588207,0.0441353,0.0103104,0.0295335,0.0544306,0.0606066,0.199529,0.0204236,0.00926962,0.0148621,0.053676,0,0.0240104,0.0514388,0.029309,0,0,0.0195783,0,0,0.0345501,0.0702205,0.0283287,0.0470987,0.0218007,0.095931,0.0571355,0.0435817,0.0707063,0.0673209,0.0264419,0.0429314,0.0549957,0.0912928,0.0233473,0.0232172,0.00928457,0.0122835,0.0395082,0.0331358,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0657851,0.0501537,0,0,0,0,0,0,0.0874111,0,0.067916,0.06891,0,0,0.0179904,0,0,0.0310013,0.0780413,0.263576,0.0466576,0.0218347,0.0952573,0.0540167,0.0390117,0.0547403,0.0586463,0.0442549,0.0111279,0.029988,0.0546779,0.0609194,0.198328,0.0202747,0.00944638,0.0140824,0.0536406,0,0.0239531,0.0521322,0.0292886,0,0,0.0198329,0,0,0.0345554,0.069818,0.0282723,0.0475046,0.0218556,0.0955009,0.0574873,0.0435808,0.0705597,0.0673287,0.0263538,0.0432619,0.0550594,0.0915504,0.0234146,0.0232197,0.00920487,0.0119621,0.03927,0.0330047,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0655143,0.0504509,0,0,0,0,0,0,0.0871224,0,0.066874,0.0688893,0,0,0.01945,0,0,0.0306812,0.0779269,0.264654,0.0462423,0.0203313,0.0944596,0.054607,0.0388076,0.0538753,0.0583858,0.0441628,0.0116993,0.0300166,0.0546758,0.060749,0.197987,0.019532,0.0112251,0.011144,0.0540068,0,0.0237317,0.0529745,0.029338,0,0,0.0216375,0,0,0.0341326,0.0694898,0.0278129,0.0478386,0.022125,0.0949192,0.0575652,0.0435241,0.0703647,0.0671326,0.0263031,0.043677,0.0553351,0.0920033,0.0234573,0.0229964,0.00992853,0.0107089,0.0393232,0.0328756,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0655037,0.0501063,0,0,0,0,0,0,0.0875739,0,0.066348,0.0690838,0,0,0.0182886,0,0,0.0311247,0.078179,0.265639,0.0458419,0.0186689,0.0938504,0.0542065,0.0391104,0.0537355,0.0582001,0.0444885,0.0125773,0.030425,0.0551009,0.0615655,0.195952,0.0198497,0.0100371,0.0127416,0.054444,0,0.0235479,0.0535774,0.0294791,0,0,0.020481,0,0,0.0345666,0.0690692,0.0274801,0.048284,0.0223119,0.0945352,0.0578416,0.0436561,0.0703134,0.0669926,0.0262509,0.0438944,0.0555858,0.0924349,0.023546,0.0230648,0.00930258,0.0114092,0.0388623,0.0327504,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0654683,0.0497918,0,0,0,0,0,0,0.0877051,0,0.0656954,0.0691831,0,0,0.0175091,0,0,0.0314403,0.0781963,0.26659,0.0455137,0.0173248,0.0932091,0.0538704,0.0392125,0.0532336,0.058056,0.0446109,0.0132516,0.0306078,0.0552864,0.0619378,0.194825,0.0200863,0.00907759,0.0140591,0.0548862,0,0.0233687,0.0543384,0.0296099,0,0,0.0196503,0,0,0.0348169,0.0686806,0.0271096,0.0486954,0.0225001,0.0941269,0.058021,0.0435814,0.0702339,0.0668766,0.0261847,0.0440741,0.0557883,0.0929751,0.0236893,0.0230973,0.00868082,0.0121139,0.0384054,0.0326697,0,0,0,0,0,0,0,0,0,0,0,0
26,0.064862,0.0493259,0,0,0,0,0,0,0.0869997,0,0.0655848,0.0695865,0,0,0.0172343,0,0,0.031473,0.07783,0.267035,0.0449081,0.0161729,0.0929615,0.0516924,0.0399279,0.0534939,0.0586349,0.0452665,0.0142331,0.0311869,0.0559427,0.0625848,0.194156,0.0191869,0.00959216,0.0137343,0.0579268,0,0.0226034,0.0567016,0.0300258,0,0,0.0196519,0,0,0.0344445,0.0659745,0.030635,0.0518568,0.0187334,0.0955066,0.0576262,0.044525,0.0731036,0.0700498,0.0281423,0.0418551,0.0528657,0.0899238,0.0255415,0.0234877,0.0088778,0.0124255,0.0383796,0.0311981,0,0,0,0,0,0,0,0,0,0.0758724,0,0
27,0.0648082,0.0491294,0,0,0,0,0,0,0.0871693,0,0.0650353,0.0697764,0,0,0.017087,0,0,0.0315695,0.0779731,0.267832,0.0445876,0.0149512,0.0921901,0.0514946,0.0400349,0.0531757,0.0585449,0.0454262,0.0149386,0.0313132,0.0561041,0.0629162,0.193265,0.0190738,0.00955938,0.0136393,0.0586676,0,0.0222993,0.0575849,0.0301695,0,0,0.0196353,0,0,0.0344559,0.065576,0.0301435,0.0523375,0.0190311,0.095039,0.0576698,0.0441691,0.0729838,0.0697422,0.0279392,0.0420043,0.0532558,0.0902894,0.0257712,0.0234441,0.00875652,0.0124305,0.038037,0.0311701,0,0,0,0,0,0,0,0,0,0.0769645,0,0
28,0.0647997,0.0488684,0,0,0,0,0,0,0.0873516,0,0.0645021,0.070009,0,0,0.0169543,0,0,0.0316096,0.0781118,0.268578,0.0442885,0.0137949,0.0913833,0.0512175,0.040229,0.0528493,0.058471,0.0456724,0.0156696,0.0314379,0.0563029,0.0633169,0.192397,0.0189335,0.00954577,0.013484,0.0594206,0,0.0219131,0.0585394,0.0303021,0,0,0.0196932,0,0,0.0344246,0.0651311,0.0296687,0.0528733,0.0195233,0.0945452,0.0576795,0.0442039,0.0728908,0.069369,0.0277097,0.0421243,0.0536078,0.0907231,0.0260315,0.0233878,0.00869175,0.0124195,0.0376597,0.0311564,0,0,0,0,0,0,0,0,0,0.0795619,0,0
29,0.0647985,0.0486294,0,0,0,0,0,0,0.0876131,0,0.0639688,0.0702387,0,0,0.0168603,0,0,0.0317369,0.0781394,0.269312,0.0440265,0.0128065,0.0905712,0.0509946,0.0404271,0.0525526,0.0583532,0.0459098,0.016378,0.0315295,0.0565151,0.0636579,0.191497,0.0188252,0.00956365,0.0133856,0.0600496,0,0.0216654,0.0594358,0.0304486,0,0,0.0197258,0,0,0.0344002,0.0647738,0.0293318,0.0533007,0.0199161,0.0939976,0.0576529,0.044212,0.0727068,0.0691293,0.0276236,0.0422186,0.0539001,0.0912346,0.0262426,0.0233815,0.00862249,0.0123635,0.0372839,0.0311906,0,0,0,0,0,0,0,0,0,0.080811,0,0
30,0.0647613,0.0485038,0,0,0,0,0,0,0.0879683,0,0.0634595,0.0704946,0,0,0.0167336,0,0,0.0318681,0.078225,0.270068,0.0438086,0.011824,0.0897822,0.0508681,0.0405195,0.0522477,0.0582135,0.0460548,0.0170159,0.0316148,0.0566821,0.064058,0.190538,0.018717,0.00955248,0.0132658,0.0604785,0,0.0215369,0.060218,0.0305655,0,0,0.0197117,0,0,0.0344282,0.0645171,0.029094,0.0536221,0.0201202,0.0934349,0.0576103,0.0441176,0.0725643,0.0690246,0.0276198,0.0422975,0.054153,0.0917697,0.026407,0.0234218,0.0085498,0.0122325,0.0369073,0.0312648,0,0,0,0,0,0,0,0,0,0.0801686,0,0
31,0.0647954,0.048419,0,0,0,0,0,0,0.0883831,0,0.0631008,0.0707268,0,0,0.0166786,0,0,0.0318675,0.0784266,0.270611,0.043672,0.0108476,0.0890764,0.0508111,0.0404883,0.0518763,0.0580751,0.0461964,0.0177647,0.0317978,0.0569283,0.064432,0.189662,0.0186829,0.00960066,0.0131905,0.0606267,0,0.0216496,0.0608491,0.0305945,0,0,0.0198212,0,0,0.03438,0.0643278,0.0289816,0.0538023,0.0200727,0.0928713,0.0575688,0.0438798,0.0724625,0.0691018,0.0277732,0.0423819,0.0544176,0.0920783,0.0263904,0.0234074,0.00854453,0.0121828,0.03642,0.0314176,0,0,0,0,0,0,0,0,0,0.0781038,0,0
32,0.0647983,0.048537,0,0,0,0,0,0,0.0888049,0,0.0627414,0.0710149,0,0,0.016565,0,0,0.0319246,0.0786174,0.271207,0.0435476,0.0100101,0.08839,0.0507016,0.0404568,0.0515348,0.0579548,0.046361,0.0184368,0.0318975,0.0571312,0.0647987,0.18876,0.0185987,0.00962748,0.0130713,0.0609253,0,0.0216692,0.0615116,0.0306111,0,0,0.0198967,0,0,0.0344197,0.0641225,0.0288324,0.0540857,0.0202513,0.0923682,0.0574966,0.0437619,0.072362,0.0690576,0.0278249,0.0424918,0.0546603,0.09228,0.0264233,0.0233478,0.00853299,0.0120929,0.0359919,0.031495,0,0,0,0,0,0,0,0,0,0.0773859,0,0
33,0.0647595,0.0487459,0,0,0,0,0,0,0.0892205,0,0.0623499,0.0712935,0,0,0.0164521,0,0,0.0320187,0.0787867,0.271803,0.0434462,0.0094114,0.0877252,0.0505784,0.0405218,0.0512417,0.0578708,0.0465704,0.019055,0.0319321,0.0572945,0.0651536,0.18792,0.018531,0.00963832,0.0129474,0.0612317,0,0.0216495,0.0621998,0.0306065,0,0,0.0199469,0,0,0.0344345,0.0638783,0.0286951,0.0544395,0.0205409,0.0919173,0.0574236,0.0437117,0.0722693,0.0689523,0.0278223,0.0425875,0.0548849,0.092683,0.0265111,0.023286,0.00848928,0.0119703,0.0355867,0.0315115,0,0,0,0,0,0,0,0,0,0.0774886,0,0
34,0.0647114,0.0488971,0,0,0,0,0,0,0.089644,0,0.0619528,0.07159,0,0,0.0163583,0,0,0.0321216,0.0789746,0.272356,0.0433438,0.0089933,0.0870804,0.0504774,0.0406408,0.0509354,0.0577944,0.0468092,0.0196416,0.0319804,0.0574344,0.0655162,0.187131,0.0184921,0.00965449,0.0128546,0.0614262,0,0.0216271,0.0628629,0.0305768,0,0,0.0199525,0,0,0.0344058,0.0636269,0.0285563,0.0548157,0.020867,0.0915031,0.0573641,0.0436839,0.0721507,0.0688226,0.0277771,0.0426537,0.0550978,0.0930176,0.0265836,0.0233107,0.00845935,0.0118166,0.0352563,0.0315063,0,0,0,0,0,0,0,0,0,0.0778113,0,0
35,0.0646098,0.0489778,0,0,0,0,0,0,0.0900818,0,0.0615619,0.07192,0,0,0.0162646,0,0,0.0322328,0.0791748,0.272919,0.0432733,0.00873801,0.0864474,0.0503725,0.0407532,0.0506263,0.0577581,0.0470859,0.0202525,0.0320516,0.057557,0.0658946,0.186366,0.0184441,0.00969386,0.0127654,0.0615366,0,0.0215903,0.063549,0.0305055,0,0,0.0199306,0,0,0.0343745,0.0633655,0.0284252,0.0552122,0.0212965,0.0911397,0.0572979,0.0436885,0.072026,0.068619,0.0276405,0.042679,0.0552702,0.0931846,0.0266713,0.0234107,0.00846568,0.0117029,0.0350507,0.0314653,0,0,0,0,0,0,0,0,0,0.0787696,0,0
36,0.0644833,0.0490487,0,0,0,0,0,0,0.0905271,0,0.0611602,0.0722816,0,0,0.0161534,0,0,0.0323575,0.0793611,0.273529,0.0432198,0.00856333,0.0858612,0.0502809,0.0408689,0.0503073,0.0577776,0.0473623,0.0209135,0.0321268,0.0576999,0.0662927,0.185597,0.0183812,0.00973215,0.0126853,0.0615937,0,0.02154,0.0642343,0.0304244,0,0,0.0199082,0,0,0.0343691,0.0631085,0.0282884,0.0556194,0.0218876,0.0908101,0.0572487,0.0437288,0.0719566,0.0683457,0.0274545,0.0427453,0.0553864,0.093226,0.0267403,0.0234885,0.00848608,0.0116159,0.0349635,0.0313481,0,0,0,0,0,0,0,0,0,0.080099,0,0
