Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB,,x77
944,0.0784687,0.0500765,0,0,0,0,0,0,0.156341,0,0.0549221,0.0605121,0,0,0.0180817,0,0,0.0330077,0.0739254,0.241728,0.0385748,0.0518027,0.113979,0.0494778,0.0308824,0.0452784,0.0566569,0.0349193,0.0551406,0.0532902,0.0802021,0.0875959,0.158144,0.0218101,0.0128722,0.0129923,0.0318208,0,0.039114,0.0379481,0.0393975,0,0,0.022107,0,0,0.0345706,0.0735318,0.0533689,0.0428177,0.0276849,0.112784,0.051569,0.0419243,0.066039,0.0625208,0.0229185,0.0266745,0.0365638,0.0706733,0.0726058,0.0198279,0.0107901,0.00905581,0.0452926,0.0490308,0,0,0,0,0,0,0,0,0,0,0,0
945,0.078592,0.0502423,0,0,0,0,0,0,0.156371,0,0.054901,0.0604606,0,0,0.0178358,0,0,0.0332429,0.0739575,0.241704,0.0385693,0.0518293,0.113979,0.0493529,0.0306709,0.0453078,0.0564206,0.0349114,0.0551119,0.0532761,0.0801996,0.0875983,0.158267,0.0218096,0.0130774,0.0130591,0.0319507,0,0.0391076,0.037924,0.0395498,0,0,0.0221298,0,0,0.0346457,0.0735373,0.0533898,0.0427115,0.0276836,0.112725,0.0514471,0.0420306,0.0660199,0.0623618,0.0229638,0.0266194,0.0365425,0.0706661,0.0728946,0.0197841,0.0108105,0.00896871,0.0455762,0.0490958,0,0,0,0,0,0,0,0,0,0,0,0
946,0.0786114,0.050558,0,0,0,0,0,0,0.156407,0,0.0548694,0.0604556,0,0,0.0175953,0,0,0.0333613,0.0739751,0.241693,0.0385736,0.0518027,0.114019,0.0492704,0.0305403,0.0453295,0.0564437,0.0349376,0.055081,0.0532409,0.0801858,0.0875897,0.158325,0.0218112,0.0130383,0.0131044,0.0320639,0,0.0392274,0.0379096,0.0396213,0,0,0.0221153,0,0,0.0346861,0.0734913,0.0534421,0.0427108,0.0276502,0.112747,0.0513638,0.0423252,0.066052,0.0620648,0.0230562,0.0265584,0.0365097,0.0706537,0.0731668,0.0197718,0.0108239,0.00886132,0.0457821,0.0491082,0,0,0,0,0,0,0,0,0,0,0,0
947,0.0786168,0.0508442,0,0,0,0,0,0,0.156439,0,0.0548372,0.0604704,0,0,0.0174141,0,0,0.0333847,0.0739547,0.241668,0.0385869,0.0517278,0.114077,0.0492859,0.0304892,0.0453565,0.0565628,0.0349813,0.0550316,0.0531983,0.0801536,0.0875522,0.15838,0.0218198,0.0128977,0.0131748,0.0321548,0,0.0392918,0.0378865,0.0396205,0,0,0.0221251,0,0,0.0346772,0.073439,0.0534735,0.0427776,0.0277013,0.112821,0.0513056,0.0424372,0.0660779,0.0620012,0.0231882,0.0265488,0.0365019,0.0706692,0.0734122,0.0197662,0.0107854,0.00882083,0.045911,0.0490701,0,0,0,0,0,0,0,0,0,0,0,0
948,0.0785728,0.050998,0,0,0,0,0,0,0.156464,0,0.0548034,0.0605032,0,0,0.0171493,0,0,0.033462,0.0739104,0.241646,0.0386042,0.0516674,0.11417,0.0491897,0.0304646,0.0453899,0.0566417,0.0350358,0.0549718,0.0531515,0.0801127,0.0874834,0.158419,0.021994,0.0125552,0.013801,0.0322811,0,0.0392434,0.0378352,0.0395433,0,0,0.0218139,0,0,0.0347765,0.0734033,0.0534692,0.0429084,0.0277488,0.112959,0.051339,0.0424056,0.0661123,0.0620852,0.023335,0.0265468,0.0365268,0.0706798,0.0736701,0.0197376,0.0105902,0.00926588,0.0459046,0.0490415,0,0,0,0,0,0,0,0,0,0,0,0
949,0.0784386,0.0512774,0,0,0,0,0,0,0.15646,0,0.0547893,0.0605527,0,0,0.0172402,0,0,0.0333483,0.0738737,0.241631,0.0385963,0.0515968,0.114149,0.0493791,0.0304112,0.0454173,0.0566505,0.0350953,0.0549315,0.0531188,0.0800669,0.0874264,0.15845,0.0218704,0.0126484,0.0135149,0.0324028,0,0.0391961,0.0378214,0.0394052,0,0,0.022232,0,0,0.0346945,0.073377,0.0534339,0.0430082,0.0277156,0.113007,0.0512243,0.0423467,0.0661328,0.0622942,0.023402,0.0265616,0.0365538,0.0706974,0.0739084,0.0196776,0.0107247,0.00886173,0.0459603,0.0489846,0,0,0,0,0,0,0,0,0,0,0,0
950,0.0783889,0.0513417,0,0,0,0,0,0,0.156464,0,0.0547766,0.0605942,0,0,0.0170848,0,0,0.033444,0.0738297,0.241627,0.0386012,0.0515627,0.114122,0.0492634,0.0303403,0.0454628,0.0566336,0.0351152,0.0548842,0.053063,0.0800039,0.0873584,0.158498,0.0220247,0.0125479,0.014026,0.03247,0,0.0391761,0.0377786,0.0392919,0,0,0.0214801,0,0,0.0350595,0.0733728,0.0533893,0.0431117,0.0276538,0.113032,0.0512976,0.0423067,0.0661094,0.062732,0.0232862,0.0266041,0.0365516,0.0707329,0.0740884,0.0197321,0.0107305,0.00949151,0.0458279,0.0489815,0,0,0,0,0,0,0,0,0,0,0,0
951,0.078324,0.0513893,0,0,0,0,0,0,0.156438,0,0.0547772,0.0606834,0,0,0.0170557,0,0,0.0334126,0.0737933,0.241611,0.0385876,0.0515285,0.113997,0.0492441,0.0303193,0.0454836,0.0566245,0.0351465,0.0548058,0.0529773,0.0799395,0.0872826,0.158562,0.0219805,0.0124592,0.014144,0.0324773,0,0.0391934,0.0377912,0.0391752,0,0,0.0213214,0,0,0.0351328,0.0733636,0.0533924,0.0431422,0.0275679,0.112947,0.0512793,0.0422967,0.0661067,0.062917,0.0227967,0.0266367,0.0365087,0.0707525,0.0741837,0.0197946,0.010768,0.00954088,0.0457015,0.0489495,0,0,0,0,0,0,0,0,0,0,0,0
952,0.0782702,0.0513531,0,0,0,0,0,0,0.156401,0,0.0547705,0.0607835,0,0,0.0170683,0,0,0.0333291,0.0737663,0.241616,0.0385599,0.0514462,0.113827,0.0492229,0.0303871,0.0453964,0.0568293,0.0351668,0.0547235,0.0529073,0.0798711,0.0872008,0.158588,0.0218618,0.0124323,0.0140758,0.0325223,0,0.0391559,0.0378062,0.0390768,0,0,0.021219,0,0,0.0350639,0.0733733,0.0533803,0.043082,0.0275074,0.11276,0.0512644,0.0423125,0.0661273,0.0629098,0.0226176,0.0266606,0.0364703,0.0707863,0.0742864,0.0198822,0.0107656,0.00951331,0.0455321,0.0489073,0,0,0,0,0,0,0,0,0,0,0,0
953,0.078242,0.0512656,0,0,0,0,0,0,0.156355,0,0.0547672,0.060855,0,0,0.0171379,0,0,0.0332462,0.0737763,0.241666,0.03851,0.0513531,0.113631,0.049215,0.0305497,0.0452537,0.0573559,0.0351607,0.0546221,0.0528576,0.0797926,0.0871183,0.158562,0.0217048,0.0124792,0.0138687,0.0326164,0,0.0390794,0.0378256,0.0389934,0,0,0.0211503,0,0,0.0350244,0.0733734,0.0533488,0.0429731,0.0274394,0.11251,0.0512717,0.0422819,0.0661293,0.0629092,0.0226491,0.0266809,0.0364569,0.0708397,0.0744063,0.0200208,0.0107608,0.00952989,0.0453384,0.0488559,0,0,0,0,0,0,0,0,0,0,0,0
954,0.0781701,0.0511407,0,0,0,0,0,0,0.156291,0,0.054765,0.0608925,0,0,0.0172512,0,0,0.033201,0.0737558,0.241708,0.0385095,0.0512752,0.113443,0.0492594,0.0306594,0.045331,0.0576463,0.0352045,0.0545477,0.0528204,0.079735,0.0870391,0.158644,0.0215126,0.0125229,0.0136718,0.0326563,0,0.0390158,0.0378755,0.0389015,0,0,0.0211608,0,0,0.0350478,0.0733934,0.0533141,0.0428645,0.0273547,0.112265,0.0512893,0.0422695,0.0661321,0.0628975,0.0227589,0.0267022,0.0364569,0.0709186,0.0744283,0.0201669,0.0107412,0.00960181,0.0451523,0.0487859,0,0,0,0,0,0,0,0,0,0,0,0
955,0.0780218,0.0509637,0,0,0,0,0,0,0.15637,0,0.0547004,0.0609357,0,0,0.0173565,0,0,0.0331188,0.0736909,0.241757,0.0387684,0.0512964,0.11329,0.0493205,0.0304359,0.0451266,0.0576175,0.0352176,0.0545756,0.0527818,0.0796751,0.0869921,0.158695,0.0213548,0.0125256,0.013571,0.0326025,0,0.0389002,0.038049,0.0387698,0,0,0.0212309,0,0,0.0350653,0.0735092,0.0532945,0.0427276,0.0273472,0.11202,0.0512949,0.0422237,0.0661021,0.0627479,0.0228657,0.0267861,0.0364788,0.0709942,0.0742296,0.0203015,0.0107481,0.00962603,0.0450087,0.0486565,0,0,0,0,0,0,0,0,0,0,0,0
956,0.0779251,0.0507908,0,0,0,0,0,0,0.156412,0,0.0546138,0.0609856,0,0,0.0174182,0,0,0.0330634,0.0736254,0.241762,0.0388591,0.0511921,0.113108,0.0493658,0.03039,0.0450723,0.0576784,0.0352532,0.0545082,0.0527203,0.0795887,0.0869028,0.158878,0.0212622,0.0125737,0.0135815,0.0325002,0,0.038758,0.0381712,0.0386397,0,0,0.0212511,0,0,0.0350195,0.073523,0.0533112,0.0426404,0.0273271,0.111805,0.0513728,0.0422357,0.0661246,0.0625276,0.0229979,0.0268663,0.0365083,0.0710391,0.0740367,0.0204032,0.0108064,0.00959566,0.0448625,0.048577,0,0,0,0,0,0,0,0,0,0,0,0
957,0.0778204,0.0505939,0,0,0,0,0,0,0.156422,0,0.0544775,0.0609707,0,0,0.0175411,0,0,0.0329445,0.0735705,0.241782,0.0389225,0.0510974,0.112931,0.0493711,0.0303983,0.0450251,0.0577227,0.0353053,0.0544279,0.0526204,0.0795148,0.0867985,0.159072,0.0212248,0.0124825,0.0135201,0.0321403,0,0.0386919,0.0383223,0.0384938,0,0,0.0213683,0,0,0.0349286,0.0735459,0.0536599,0.0425422,0.0272637,0.111578,0.0514555,0.0422447,0.0661495,0.0624086,0.0230878,0.027068,0.0365232,0.0710521,0.0736211,0.0204859,0.0107046,0.009549,0.0447041,0.0485411,0,0,0,0,0,0,0,0,0,0,0,0
958,0.0777722,0.0504001,0,0,0,0,0,0,0.156429,0,0.0544317,0.0609918,0,0,0.0176942,0,0,0.0329382,0.0734868,0.241852,0.0390385,0.0510305,0.112748,0.0493503,0.0303673,0.0449807,0.0574863,0.0353787,0.0543002,0.0524592,0.0794173,0.0866956,0.15925,0.0211691,0.0125075,0.0134442,0.0319117,0,0.0387467,0.0384639,0.0383456,0,0,0.0214632,0,0,0.0348809,0.0735911,0.0537971,0.0424131,0.0272251,0.111323,0.0515338,0.0422181,0.0661823,0.0622684,0.0232112,0.0272121,0.0365419,0.0710498,0.0733299,0.0204705,0.0106556,0.00956062,0.0445817,0.0485275,0,0,0,0,0,0,0,0,0,0,0,0
959,0.0777986,0.0501491,0,0,0,0,0,0,0.156413,0,0.0543809,0.0610609,0,0,0.0178699,0,0,0.0329201,0.0733552,0.241933,0.0391669,0.0509761,0.112537,0.0493714,0.0303042,0.0449855,0.0568552,0.0354804,0.0541499,0.0522871,0.0793079,0.0866196,0.159484,0.0210101,0.0125914,0.0131945,0.0318088,0,0.0388572,0.0385848,0.0381737,0,0,0.021723,0,0,0.0348687,0.0736373,0.053737,0.0422566,0.0272001,0.111035,0.0516064,0.0422679,0.0662153,0.0621885,0.023312,0.0272696,0.0365732,0.0710816,0.0731504,0.0204371,0.0109057,0.00934098,0.0444943,0.0485183,0,0,0,0,0,0,0,0,0,0,0,0
960,0.0778198,0.0497743,0,0,0,0,0,0,0.156373,0,0.0543275,0.0611504,0,0,0.0178573,0,0,0.0330271,0.0732529,0.242036,0.0392834,0.0508668,0.112288,0.0492481,0.0302897,0.0449703,0.0565402,0.0355348,0.0540063,0.0521355,0.0791949,0.0865268,0.159651,0.020941,0.0126656,0.0132622,0.031719,0,0.0387107,0.0386951,0.0380508,0,0,0.0217447,0,0,0.0349185,0.0737727,0.053632,0.0420837,0.0270769,0.11073,0.051732,0.0423681,0.0662024,0.0625875,0.0233497,0.02736,0.036653,0.0711585,0.072964,0.0203764,0.0110511,0.00933992,0.0443953,0.048515,0,0,0,0,0,0,0,0,0,0,0,0
961,0.0777671,0.0495378,0,0,0,0,0,0,0.15626,0,0.0542782,0.0612176,0,0,0.0178879,0,0,0.0330614,0.0731921,0.242129,0.0393115,0.0507061,0.112018,0.0491604,0.0302932,0.0449464,0.0565028,0.0355795,0.0538833,0.0520041,0.0790993,0.0864254,0.15983,0.0208033,0.0127603,0.0131768,0.0316735,0,0.0385536,0.0387855,0.0379733,0,0,0.0217778,0,0,0.0349754,0.0738876,0.0535531,0.0419049,0.0269468,0.110422,0.0518254,0.0423452,0.0662297,0.0626993,0.0233513,0.0274149,0.0366969,0.0711912,0.0727412,0.0202948,0.0111696,0.00925934,0.0443062,0.0485218,0,0,0,0,0,0,0,0,0,0,0,0
