Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,RTIB
9,0.0635293,0.0549487,0,0,0,0,0,0,0.0486499,0,0.0206742,0.0725352,0,0,0.0200531,0,0,0.03043,0.0724453,0.0295833,0.040808,0.0178459,0.0731746,0.0604922,0.0361178,0.0438178,0.0540172,0.0402024,0.019077,0.0190138,0.0321758,0.034493,0.0410745,0.0190612,0.00843818,0.0180381,0.0526833,0,0.0326187,0.0702868,0.0220739,0,0,0.0196627,0,0,0.0357996,0.065742,0.0309068,0.0511594,0.0345469,0.0779422,0.0679526,0.0408963,0.0649294,0.0598915,0.0224182,0,0.0585651,0.0972278,0.0229866,0.0289622,0.00872696,0.0206404,0.0324678,0.0269232,0,0,0,0,0,0,0,0,0,0
10,0.0623954,0.0551398,0,0,0,0,0,0,0.043205,0,0.026111,0.0738235,0,0,0.0189182,0,0,0.0310882,0.0722133,0.0307486,0.0404509,0.0164143,0.0732296,0.0580243,0.0365354,0.0434876,0.0544917,0.0412759,0.0204848,0.020138,0.0369783,0.0390876,0.0348321,0.0177502,0.00870238,0.0162461,0.0514833,0,0.0315247,0.0720665,0.0220529,0,0,0.0193813,0,0,0.0357062,0.0632958,0.031626,0.0543406,0.0302599,0.0794413,0.0674,0.0416494,0.0674618,0.0634285,0.0252824,0,0.0562704,0.0947763,0.0228357,0.0290028,0.00864537,0.0201987,0.0334617,0.0253339,0,0,0,0,0,0,0,0,0,0.0780896
11,0.0632698,0.0553136,0,0,0,0,0,0,0.0430286,0,0.0258113,0.0728894,0,0,0.0196042,0,0,0.0310972,0.0724093,0.0301288,0.040954,0.0162325,0.0730003,0.0603458,0.0356648,0.0429251,0.0537066,0.0402984,0.0203939,0.019903,0.0365652,0.0388029,0.0351545,0.0191213,0.00806977,0.0177024,0.0501257,0,0.030753,0.0701981,0.0217646,0,0,0.0197855,0,0,0.0359455,0.0661849,0.0288253,0.0508835,0.0337477,0.0774924,0.068004,0.0402639,0.0645436,0.060155,0.0230336,0,0.0593299,0.0978732,0.0231363,0.0287581,0.00854884,0.0205504,0.0327726,0.0270249,0,0,0,0,0,0,0,0,0,0
12,0.0621458,0.0553736,0,0,0,0,0,0,0.0434833,0,0.0256367,0.0738874,0,0,0.0185685,0,0,0.0315175,0.0722327,0.0305759,0.040557,0.0167036,0.0732436,0.0579236,0.0368466,0.0437122,0.0546306,0.0413811,0.0204788,0.0202362,0.0366385,0.038841,0.0354291,0.0177173,0.00853,0.0159623,0.0524263,0,0.030651,0.0722184,0.0218756,0,0,0.019276,0,0,0.0359354,0.0630701,0.0312874,0.054358,0.029841,0.0793448,0.0673299,0.0415159,0.0676587,0.0635741,0.025165,0,0.0562439,0.0945207,0.0235585,0.0287109,0.00844358,0.0199381,0.0336745,0.0252447,0,0,0,0,0,0,0,0,0,0.0779449
13,0.0634403,0.0552775,0,0,0,0,0,0,0.0428239,0,0.026196,0.0730912,0,0,0.0196999,0,0,0.0309332,0.0722117,0.0304002,0.0407547,0.015884,0.072932,0.0605237,0.035384,0.0429236,0.0536825,0.0401727,0.0201915,0.019725,0.036772,0.0390184,0.0348396,0.0189494,0.00833367,0.0179574,0.0502308,0,0.0301423,0.0699187,0.0218989,0,0,0.0197643,0,0,0.0357941,0.0662389,0.0279238,0.0509265,0.0327558,0.0776389,0.0680639,0.0400803,0.064644,0.0605891,0.0235243,0,0.0594333,0.0979484,0.0231471,0.0290199,0.0085758,0.0205953,0.0327406,0.0270614,0,0,0,0,0,0,0,0,0,0
14,0.0624122,0.0552466,0,0,0,0,0,0,0.0430932,0,0.0260339,0.0739,0,0,0.0187227,0,0,0.0312878,0.072061,0.0308076,0.0403648,0.0163452,0.0732478,0.0581452,0.0365379,0.0435024,0.0545657,0.0412945,0.0204137,0.0200835,0.0369453,0.0390063,0.0351251,0.0176334,0.00883789,0.0162136,0.0526238,0,0.0301249,0.0719257,0.0219994,0,0,0.0193805,0,0,0.0356522,0.0631271,0.0304123,0.0543419,0.0288029,0.0794733,0.0674528,0.0413195,0.0677425,0.0640144,0.0256996,0,0.0563559,0.0946138,0.023472,0.0289894,0.00864797,0.020162,0.0335418,0.0254216,0,0,0,0,0,0,0,0,0,0.0778532
15,0.0633315,0.0553944,0,0,0,0,0,0,0.042918,0,0.0257549,0.0728807,0,0,0.0194051,0,0,0.0312433,0.0722997,0.0300734,0.0409103,0.0161883,0.0731305,0.0604905,0.0356257,0.0429977,0.0537907,0.0403147,0.0203438,0.0195848,0.0365344,0.0385685,0.0353346,0.019022,0.00826019,0.0175886,0.0510342,0,0.0297065,0.0700744,0.0218017,0,0,0.0197496,0,0,0.0358801,0.0659779,0.0275238,0.0509997,0.0322877,0.0776127,0.0680692,0.0400579,0.064836,0.0607882,0.0235847,0,0.0593478,0.0977309,0.0234064,0.0287828,0.00857795,0.0205425,0.0328319,0.0271756,0,0,0,0,0,0,0,0,0,0
16,0.0625388,0.0552466,0,0,0,0,0,0,0.0431001,0,0.0260659,0.0737322,0,0,0.018552,0,0,0.031316,0.072113,0.0305858,0.0402676,0.0164116,0.0733921,0.0582195,0.0365201,0.043532,0.0545765,0.0413449,0.0204442,0.0198025,0.0369304,0.0389037,0.0349353,0.0175654,0.00892659,0.0163181,0.0527156,0,0.0299602,0.0719476,0.0221412,0,0,0.0193809,0,0,0.0356347,0.0630459,0.0301639,0.0545183,0.0285561,0.0796531,0.0675064,0.041341,0.0678452,0.0641643,0.0258196,0,0.0563096,0.0945394,0.023605,0.0290653,0.00866805,0.0202078,0.0335106,0.0256641,0,0,0,0,0,0,0,0,0,0.0778167
17,0.063629,0.0550501,0,0,0,0,0,0,0.048173,0,0.0209692,0.0725264,0,0,0.019593,0,0,0.0306766,0.0722755,0.0292897,0.0404306,0.017841,0.0733983,0.0605271,0.0361994,0.0438638,0.0541814,0.0404517,0.0191656,0.0187975,0.0324712,0.0347576,0.0405172,0.0187694,0.00856286,0.0180941,0.0540976,0,0.030836,0.0703364,0.0222304,0,0,0.0196296,0,0,0.035722,0.0652309,0.0290101,0.0516359,0.0324764,0.0783704,0.0679758,0.0406312,0.0655759,0.0609262,0.0231497,0,0.0584345,0.0967771,0.0237694,0.0290629,0.00873665,0.0205745,0.0325214,0.0273969,0,0,0,0,0,0,0,0,0,0
18,0.0635566,0.0550205,0,0,0,0,0,0,0.0478835,0,0.021203,0.0725536,0,0,0.0194208,0,0,0.0307133,0.0721509,0.0292504,0.0404464,0.0178261,0.0735467,0.0604123,0.0362944,0.0439609,0.0543052,0.0406298,0.0192612,0.0188269,0.0327257,0.0350976,0.040135,0.0187279,0.00855098,0.0180766,0.0542295,0,0.0307005,0.0705373,0.0222157,0,0,0.0195758,0,0,0.0357135,0.0650006,0.0290195,0.0518338,0.032222,0.0785826,0.0678345,0.0407411,0.0657958,0.0611536,0.0233195,0,0.0582228,0.0965943,0.0238518,0.0290753,0.00871439,0.0204838,0.0325381,0.0273749,0,0,0,0,0,0,0,0,0,0
19,0.0635488,0.0548862,0,0,0,0,0,0,0.0475505,0,0.0216615,0.0725502,0,0,0.019054,0,0,0.0308244,0.0719801,0.0293483,0.0405225,0.017686,0.0737355,0.0602615,0.0363365,0.0440677,0.0544673,0.0407568,0.0192582,0.018755,0.0330775,0.0354403,0.039581,0.0187853,0.00834591,0.0184275,0.0546717,0,0.0305043,0.0706822,0.0222071,0,0,0.0195384,0,0,0.0357425,0.0647655,0.0290365,0.052024,0.031722,0.0788538,0.0676774,0.0408302,0.0660805,0.0614796,0.0235714,0,0.0579809,0.0962991,0.0240153,0.0290685,0.00869872,0.0203679,0.032475,0.0272674,0,0,0,0,0,0,0,0,0,0
20,0.0620787,0.0537347,0,0,0,0,0,0,0.0436877,0,0.027391,0.0734809,0,0,0.0247718,0,0,0.0321795,0.0706593,0.0324408,0.0429207,0.0157746,0.0764144,0.0561831,0.0374232,0.0459764,0.0561569,0.0413279,0.0186382,0.0186233,0.0371292,0.0387714,0.0341967,0.0243488,0.0129494,0.0158798,0.0624502,0,0.0284721,0.0708787,0.0203072,0,0,0.0195928,0,0,0.0354798,0.0624055,0.0291782,0.0527378,0.0237691,0.080373,0.0665742,0.0409865,0.0697342,0.0661906,0.0263527,0,0.0553039,0.0927258,0.0287258,0.0279741,0.00857387,0.0194774,0.0318429,0.0260959,0,0,0,0,0,0,0,0,0,0.0769458
21,0.0620942,0.0536529,0,0,0,0,0,0,0.0435002,0,0.0278659,0.0734209,0,0,0.0247855,0,0,0.0322281,0.0705205,0.0325625,0.0430274,0.0154009,0.0766281,0.0562484,0.0373832,0.0460019,0.0561723,0.0412964,0.018679,0.0185918,0.0375588,0.0392261,0.0334475,0.0244016,0.0128914,0.0158555,0.0617617,0,0.0283643,0.0706481,0.0202992,0,0,0.0195668,0,0,0.0354255,0.0625892,0.0289124,0.0526751,0.0237679,0.0805989,0.0665673,0.0409488,0.0695611,0.066104,0.0264902,0,0.05544,0.0929416,0.0282304,0.0280048,0.00858745,0.0193756,0.0317316,0.0262809,0,0,0,0,0,0,0,0,0,0.0770547
22,0.0638082,0.0549673,0,0,0,0,0,0,0.044061,0,0.0271146,0.0726021,0,0,0.019554,0,0,0.0307725,0.0714046,0.030859,0.0407347,0.0151118,0.0739534,0.0609471,0.0351976,0.0441348,0.0541207,0.0396084,0.0185793,0.017592,0.0364781,0.0385169,0.033202,0.0188074,0.008761,0.0177166,0.0591342,0,0.0283897,0.0693539,0.0223603,0,0,0.0196393,0,0,0.0357568,0.0653422,0.0264726,0.0511951,0.0268046,0.0791245,0.0679751,0.0398597,0.066714,0.0633036,0.025297,0,0.0580597,0.0959265,0.0262354,0.0292249,0.00878938,0.0203667,0.0323355,0.0279854,0,0,0,0,0,0,0,0,0,0
23,0.0638065,0.0549764,0,0,0,0,0,0,0.0441777,0,0.0272684,0.0726773,0,0,0.0195685,0,0,0.0307879,0.071371,0.0308125,0.0407253,0.0147756,0.0738919,0.0609765,0.0351115,0.0441599,0.0540649,0.039603,0.0186872,0.0175734,0.0367067,0.0388673,0.0328354,0.0188193,0.00877448,0.0176999,0.0588649,0,0.0282365,0.069371,0.0223408,0,0,0.0196706,0,0,0.0357248,0.0653982,0.0263363,0.0512122,0.0268091,0.0791068,0.0679912,0.0398455,0.0666571,0.063283,0.0253548,0,0.0581327,0.0960229,0.0260802,0.0291789,0.00884301,0.0202924,0.0323441,0.0280389,0,0,0,0,0,0,0,0,0,0
24,0.0637953,0.0549867,0,0,0,0,0,0,0.0444804,0,0.0271754,0.0727177,0,0,0.0195747,0,0,0.0308201,0.0713489,0.0306989,0.0406944,0.0145146,0.0738417,0.0609876,0.0350692,0.0441932,0.0540365,0.0396014,0.0187372,0.0175153,0.0367789,0.0390165,0.0327692,0.0188481,0.00883068,0.0176366,0.0587465,0,0.0281844,0.0693768,0.0223315,0,0,0.0197877,0,0,0.0356446,0.065431,0.0262395,0.0512442,0.0267721,0.0790999,0.067999,0.0398382,0.0666222,0.0632956,0.0254085,0,0.0582022,0.096063,0.0259993,0.0291641,0.00891715,0.0201314,0.0323594,0.0281073,0,0,0,0,0,0,0,0,0,0
25,0.0637606,0.0550217,0,0,0,0,0,0,0.0447049,0,0.0270862,0.0727258,0,0,0.0195821,0,0,0.0308323,0.0713386,0.0306196,0.0406463,0.0143418,0.0737897,0.0610788,0.0350691,0.0442057,0.054015,0.0396073,0.0187796,0.0174644,0.0368422,0.0391149,0.0327171,0.0188724,0.00888797,0.0175529,0.0586539,0,0.0280914,0.0693741,0.0223323,0,0,0.020006,0,0,0.0355524,0.0654471,0.026169,0.0512833,0.0267356,0.0791066,0.0680215,0.0398334,0.066592,0.0633107,0.025455,0,0.0582188,0.0960503,0.0259385,0.0291379,0.00901802,0.0199045,0.0323848,0.0282331,0,0,0,0,0,0,0,0,0,0
26,0.0637771,0.0550056,0,0,0,0,0,0,0.0448909,0,0.027016,0.0726945,0,0,0.0195561,0,0,0.0308343,0.0713281,0.0305395,0.0406102,0.0142174,0.073782,0.0611095,0.0350253,0.044206,0.0540188,0.0396361,0.0188168,0.0174268,0.0368681,0.0392139,0.0326757,0.0188707,0.00887738,0.0175653,0.0585513,0,0.0279161,0.0693666,0.0223157,0,0,0.0198747,0,0,0.0356047,0.065449,0.0261202,0.0513298,0.026719,0.0791483,0.0680193,0.0398517,0.0666022,0.0633111,0.0255014,0,0.0581874,0.096038,0.0258857,0.0291479,0.00894525,0.0200349,0.0323617,0.0283378,0,0,0,0,0,0,0,0,0,0
27,0.0621419,0.0537032,0,0,0,0,0,0,0.0450469,0,0.0272858,0.073568,0,0,0.024176,0,0,0.0319548,0.0704338,0.0318898,0.0428026,0.0139913,0.0763619,0.0566752,0.0369699,0.0461172,0.0559638,0.0412098,0.0189737,0.0182151,0.0378601,0.0401502,0.0330317,0.0241142,0.0123532,0.0164833,0.0607681,0,0.0277277,0.0705444,0.0202801,0,0,0.0193523,0,0,0.035413,0.062821,0.0284707,0.0528728,0.0236421,0.0806756,0.0666318,0.040935,0.0693377,0.0660221,0.0267609,0,0.0556133,0.0931694,0.02758,0.0280511,0.00857869,0.0193971,0.0317464,0.0267262,0,0,0,0,0,0,0,0,0,0.0771432
28,0.0638828,0.0548104,0,0,0,0,0,0,0.0450772,0,0.0268893,0.0726786,0,0,0.0191534,0,0,0.0310147,0.0713171,0.0303328,0.0405529,0.0139444,0.0738332,0.0610262,0.0348858,0.0442961,0.0539878,0.0395943,0.0189173,0.0173594,0.0369489,0.0394222,0.032675,0.019003,0.00843522,0.0183661,0.0584224,0,0.0279601,0.0692109,0.0222971,0,0,0.0194229,0,0,0.0357929,0.0654717,0.0259801,0.0514139,0.0266264,0.0792877,0.0679869,0.0399063,0.0666347,0.0633315,0.0255761,0,0.0581779,0.0960266,0.025828,0.0292471,0.00868716,0.0205163,0.0321386,0.0282987,0,0,0,0,0,0,0,0,0,0
29,0.0621713,0.0536947,0,0,0,0,0,0,0.0452157,0,0.0272084,0.0735963,0,0,0.0240112,0,0,0.03192,0.0704248,0.0316872,0.042686,0.0138327,0.0762173,0.0567437,0.0368742,0.0461254,0.0559187,0.0412495,0.0190541,0.0181724,0.0379315,0.0402991,0.0329929,0.0239985,0.01235,0.0166236,0.0607401,0,0.0277375,0.0705865,0.0203374,0,0,0.0193503,0,0,0.03547,0.0628255,0.0283583,0.0529495,0.0235856,0.0806682,0.0666223,0.0409412,0.0693534,0.0660868,0.0268065,0,0.055603,0.0931613,0.0275937,0.028065,0.00857743,0.0194592,0.031712,0.0267118,0,0,0,0,0,0,0,0,0,0.0771078
30,0.063809,0.0549319,0,0,0,0,0,0,0.0452345,0,0.0268329,0.0727522,0,0,0.0195516,0,0,0.0309023,0.071321,0.0301949,0.0405533,0.0139093,0.0736441,0.0610542,0.0348832,0.0442918,0.0540498,0.0397446,0.0190064,0.0174655,0.0369998,0.0395512,0.0326017,0.0189275,0.00881808,0.0177176,0.0584313,0,0.0277023,0.0693988,0.0222327,0,0,0.019397,0,0,0.0358886,0.06547,0.0258776,0.051404,0.026599,0.0790858,0.0679868,0.0398542,0.0666118,0.0633706,0.0255629,0,0.0582048,0.0960579,0.0258216,0.0291749,0.00874187,0.020505,0.0322379,0.0283535,0,0,0,0,0,0,0,0,0,0
31,0.0638475,0.0548728,0,0,0,0,0,0,0.0452368,0,0.0267954,0.0728048,0,0,0.0193966,0,0,0.0309534,0.0713454,0.0301769,0.0405899,0.0138956,0.0736491,0.0609933,0.0348801,0.0442849,0.0540701,0.0397361,0.019045,0.0176193,0.0369827,0.0395336,0.0325932,0.0190582,0.00859625,0.0181126,0.0584261,0,0.0275857,0.0693644,0.022234,0,0,0.0194328,0,0,0.0358926,0.0655021,0.0258175,0.0513788,0.0265681,0.0790403,0.0680163,0.0398196,0.0665921,0.0633534,0.0255388,0,0.0582294,0.0960853,0.0258154,0.0291213,0.00874987,0.0204899,0.0321519,0.0282698,0,0,0,0,0,0,0,0,0,0
32,0.0638673,0.0548432,0,0,0,0,0,0,0.0452334,0,0.0267646,0.0728152,0,0,0.0194451,0,0,0.0309279,0.0713603,0.0301256,0.0406133,0.013885,0.0736829,0.0610097,0.0348742,0.0442773,0.0540382,0.0397186,0.0191007,0.0176396,0.0369781,0.0394288,0.0325768,0.0190741,0.00864111,0.0180268,0.0584381,0,0.0275027,0.0693168,0.0222101,0,0,0.0194596,0,0,0.0358578,0.065514,0.0257615,0.0513301,0.0265458,0.0790205,0.068034,0.0397739,0.0665711,0.0633482,0.0255288,0,0.0582281,0.096128,0.0258237,0.029105,0.00876616,0.0204801,0.0321189,0.0281703,0,0,0,0,0,0,0,0,0,0
33,0.0638717,0.0548361,0,0,0,0,0,0,0.0452246,0,0.026737,0.072811,0,0,0.0194749,0,0,0.0309164,0.071382,0.0300602,0.0406379,0.0138858,0.0737326,0.0610186,0.0348634,0.0442848,0.0540015,0.0397009,0.0191523,0.0175795,0.0369854,0.039437,0.0325881,0.0190942,0.00867262,0.017974,0.0584598,0,0.0274966,0.0692734,0.0222022,0,0,0.0194906,0,0,0.0358185,0.0655255,0.0256753,0.0512814,0.0265335,0.0790129,0.0680353,0.0397384,0.0665511,0.0633533,0.02554,0,0.0582483,0.0961785,0.025839,0.0290943,0.008772,0.0204611,0.0320896,0.0281688,0,0,0,0,0,0,0,0,0,0
34,0.0639128,0.0548236,0,0,0,0,0,0,0.0452208,0,0.0267193,0.0727962,0,0,0.0194984,0,0,0.0309057,0.0714078,0.030034,0.0406545,0.0138992,0.0737984,0.061001,0.0348298,0.0443183,0.0540079,0.0396706,0.0191493,0.0176571,0.0370088,0.039514,0.0325972,0.0190885,0.00867987,0.0179414,0.0584821,0,0.027534,0.0692147,0.0222118,0,0,0.0195118,0,0,0.0357643,0.0655466,0.0255911,0.0512431,0.0265126,0.0790077,0.0680417,0.0397377,0.0665261,0.0633595,0.0255667,0,0.0582821,0.0961845,0.0258539,0.029102,0.00874869,0.020427,0.0320585,0.0281708,0,0,0,0,0,0,0,0,0,0
35,0.06395,0.0548138,0,0,0,0,0,0,0.0452205,0,0.0267008,0.0727603,0,0,0.0195108,0,0,0.0308805,0.0714254,0.0300088,0.0406657,0.0139056,0.0738721,0.0609363,0.034812,0.0443329,0.0539724,0.0396296,0.0191549,0.0177168,0.0370328,0.0394777,0.0325842,0.0190752,0.00866387,0.0179205,0.0584724,0,0.0275028,0.0691535,0.0222553,0,0,0.0195116,0,0,0.0357403,0.0655734,0.0255173,0.0512068,0.0264927,0.0789964,0.0680543,0.0397251,0.0665011,0.0633638,0.0255798,0,0.0583238,0.0961611,0.0258559,0.0291237,0.0087343,0.0204135,0.0320439,0.0282552,0,0,0,0,0,0,0,0,0,0
36,0.0639913,0.0547811,0,0,0,0,0,0,0.0452069,0,0.0266722,0.0727043,0,0,0.0195182,0,0,0.0308663,0.0714297,0.0299498,0.0406629,0.0139138,0.0739524,0.0608591,0.0347956,0.0443161,0.0539462,0.0396011,0.0191707,0.0177126,0.0370157,0.0394687,0.032571,0.0190451,0.00866277,0.0178846,0.0584751,0,0.0274692,0.0691171,0.0223099,0,0,0.0195079,0,0,0.0357511,0.0655915,0.0254835,0.0511772,0.02646,0.0789973,0.0680664,0.0397125,0.0665097,0.0633671,0.0255848,0,0.0583477,0.0961709,0.0258823,0.0291541,0.00872922,0.020432,0.0320083,0.0282851,0,0,0,0,0,0,0,0,0,0
