Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x80
115,0.00521463,0.00274701,0,0,0,0,0,0.0166915,0.0188903,0.0133415,0.0131224,0,0,0.00535638,0,0.0284376,0.00302238,0.0275501,0.00783737,0.0167841,0.0028203,0.00513068,0.00546432,0.0133112,0.0182485,0.00721481,0.0344465,0.0147062,0.0150388,0.0146136,0.0306931,0.00981731,0.00966999,0.0188923,0.0067609,0.0244308,0.00574991,0.0156166,0.00927557,0.0065315,0,0,0.00928915,0,0.00762671,0.00489189,0.08722,0.0156407,0.0817801,0.0139168,0.0076141,0.00465022,0.00941652,0.0119508,0.0343842,0.0142366,0.00912261,0.0311479,0.00379945,0.00983356,0.0434003,0.00430211,0.00224184,0.00248755,0.00293817,0.00591725,0,0,0,0,0,0,0,0,0,0
116,0.00496,0.00279749,0,0,0,0,0,0.0146806,0.018945,0.0132248,0.0130374,0,0,0.00537646,0,0.0285487,0.00307763,0.0279618,0.0129031,0.0166693,0.00365612,0.00491807,0.00545758,0.0126045,0.0176507,0.00717638,0.0351378,0.0147357,0.015185,0.0150096,0.0315157,0.013758,0.00971403,0.0189047,0.00681806,0.0234959,0.00567357,0.0155581,0.00993145,0.00634275,0,0,0.00965572,0,0.00754292,0.00518109,0.0873821,0.0141576,0.0817143,0.0140964,0.00753174,0.00467745,0.00965423,0.0120116,0.0343977,0.014784,0.00840084,0.0312377,0.00389706,0.0090378,0.0416727,0.0044022,0.00237897,0.00246431,0.00309114,0.00569073,0,0,0,0,0,0,0,0,0,0
117,0.00473075,0.00288166,0,0,0,0,0,0.014233,0.01904,0.0137185,0.0128078,0,0,0.00531217,0,0.0286145,0.00315139,0.0283309,0.0171214,0.0165484,0.00501749,0.00475814,0.00555478,0.0116173,0.0171569,0.00750622,0.0360794,0.0148996,0.0154134,0.0154559,0.0320615,0.0189407,0.0098583,0.0188992,0.00675099,0.0226225,0.00565841,0.0153197,0.0104654,0.00616806,0,0,0.00988865,0,0.00749027,0.0053527,0.0876421,0.0128827,0.0814417,0.014267,0.00717343,0.00489966,0.00954844,0.0122285,0.0347569,0.0151011,0.0077074,0.0313139,0.00405115,0.00850459,0.0400866,0.00462834,0.0024124,0.00239717,0.00328142,0.00548559,0,0,0,0,0,0,0,0,0,0
118,0.00447706,0.00290823,0,0,0,0,0,0.0150734,0.0191188,0.014147,0.0124095,0,0,0.00510836,0,0.0286663,0.00319473,0.0286501,0.0197352,0.0163988,0.00654584,0.00463425,0.00584574,0.0106168,0.016392,0.00836865,0.0372203,0.0151329,0.01566,0.0158579,0.0325152,0.0229918,0.0100333,0.0189231,0.00663098,0.0218683,0.00561228,0.0151875,0.0106709,0.00603132,0,0,0.00998621,0,0.00743628,0.00532125,0.0879014,0.0121631,0.0812961,0.0143612,0.00686442,0.00513383,0.00930409,0.0124911,0.0354578,0.0150387,0.00720529,0.0314316,0.00424646,0.00837666,0.0386932,0.00476933,0.0024828,0.00232652,0.00338326,0.00530862,0,0,0,0,0,0,0,0,0,0
119,0.00365856,0.00252115,0,0,0,0,0,0.0155161,0.0190822,0.0140471,0.0117338,0,0,0.00499233,0,0.0287427,0.00310667,0.0289862,0.0206178,0.0162459,0.0080614,0.00460001,0.00619446,0.00942353,0.0153548,0.00938603,0.0384688,0.0152862,0.015858,0.0161731,0.0332326,0.0268078,0.0103945,0.0189299,0.00680828,0.0213367,0.00556723,0.0152949,0.0104265,0.0054556,0,0,0.00945807,0,0.00741681,0.00526247,0.0880935,0.0119612,0.081329,0.0144363,0.00653184,0.00606327,0.00875135,0.0128865,0.0363604,0.0147876,0.00707876,0.031566,0.0043925,0.00855858,0.0375683,0.00456637,0.00234979,0.00236598,0.00303534,0.00455784,0,0,0,0,0,0,0,0,0,0
120,0.00339494,0.00237991,0,0,0,0,0,0.0168185,0.0190326,0.0139135,0.010872,0,0,0.00493837,0,0.0287805,0.00304254,0.0294818,0.0199146,0.0160986,0.00971427,0.00476699,0.00676712,0.00821544,0.0143592,0.0102422,0.0398561,0.0153585,0.0160185,0.016454,0.0340982,0.0295378,0.010812,0.0189455,0.00688594,0.0209557,0.00545211,0.0157648,0.00985062,0.00536321,0,0,0.00931904,0,0.00734756,0.00503494,0.0882459,0.0121167,0.0814541,0.0146108,0.00614312,0.00628972,0.00812824,0.0132916,0.0369394,0.0144588,0.00733871,0.0316624,0.00450314,0.00884525,0.0367767,0.00457296,0.00240092,0.00251826,0.0028995,0.00436629,0,0,0,0,0,0,0,0,0,0
121,0.00304919,0.00218394,0,0,0,0,0,0.0181571,0.0189969,0.0140661,0.0100875,0,0,0.0050062,0,0.0288457,0.00297209,0.0301735,0.0187812,0.0159831,0.0114016,0.00523955,0.00731137,0.00753365,0.0134591,0.0108338,0.0413474,0.0154708,0.0163275,0.0166475,0.0348843,0.0311285,0.0112192,0.018958,0.00682366,0.0206167,0.00536276,0.0164576,0.00935115,0.00533848,0,0,0.00913856,0,0.00734295,0.00489955,0.0879547,0.0124284,0.0818269,0.0149655,0.00594805,0.00654151,0.00761835,0.0137967,0.0371484,0.0139112,0.00772516,0.0316787,0.00481178,0.00920206,0.0359484,0.0046288,0.00236437,0.00262638,0.00267722,0.00439033,0,0,0,0,0,0,0,0,0,0
122,0.00281321,0.00198161,0,0,0,0,0,0.0189679,0.019014,0.0143827,0.0093646,0,0,0.00511887,0,0.0288958,0.00287254,0.0309832,0.017898,0.0159566,0.0130956,0.00592032,0.00781592,0.00752387,0.0127108,0.0112415,0.0427853,0.0156908,0.0169002,0.0167895,0.0353708,0.0317706,0.0115878,0.0189645,0.00670685,0.0203425,0.00530069,0.0172095,0.00893752,0.00537531,0,0,0.00887522,0,0.00736206,0.0048822,0.0874644,0.012951,0.0823673,0.0154236,0.00605386,0.00667303,0.00729508,0.0143689,0.0370616,0.0132994,0.00805748,0.0316639,0.00545866,0.00954824,0.0349328,0.00465991,0.00229646,0.00271706,0.00246354,0.00462742,0,0,0,0,0,0,0,0,0,0
123,0.00299975,0.00149848,0,0,0,0,0,0.0198666,0.0191786,0.0148259,0.0087272,0,0,0.00474405,0,0.0289772,0.0027885,0.0316992,0.0172804,0.0160168,0.0145663,0.00672606,0.00836665,0.00764648,0.0120804,0.0115239,0.0440741,0.0160563,0.017577,0.01694,0.0354164,0.0315392,0.0115547,0.019056,0.00666246,0.0202289,0.00525923,0.0179494,0.00855315,0.00593268,0,0,0.00853712,0,0.00742668,0.0049801,0.0870377,0.0138392,0.0828065,0.0159483,0.00648288,0.00655441,0.00758086,0.0148482,0.0370013,0.0130932,0.00831974,0.0316818,0.00517537,0.00990846,0.0339423,0.00456758,0.00232706,0.00283643,0.00210765,0.00519889,0,0,0,0,0,0,0,0,0,0
124,0.00399341,0.00232823,0,0,0,0,0,0.0198237,0.0192375,0.0152621,0.00802812,0,0,0.00512641,0,0.0289794,0.00266327,0.0322978,0.0171995,0.0161071,0.015525,0.00738719,0.00914082,0.00777258,0.0113084,0.0116386,0.0450783,0.0164897,0.0181134,0.0170004,0.0351782,0.0308705,0.0121044,0.0190084,0.00673432,0.0202213,0.00514343,0.0185801,0.00808087,0.00682789,0,0,0.00876317,0,0.00733329,0.00479786,0.0867803,0.0150399,0.0832057,0.0164053,0.00687087,0.00542723,0.00808971,0.015287,0.0370131,0.0134321,0.00853893,0.0318006,0.00531667,0.010285,0.03306,0.00468012,0.00272857,0.00314719,0.00298551,0.00640298,0,0,0,0,0,0,0,0,0,0
