Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
47,0.0488208,0.0267818,0,0,0,0,0,0,0.0318403,0.0142846,0.0190382,0.0392253,0,0,0.0384651,0,0.0373237,0.0132585,0.0309177,0.0162945,0.0303175,0.0289604,0.0507881,0.0353578,0.0372215,0.0296998,0.0355817,0.0315286,0.0211943,0.0188771,0.0207753,0.0128302,0.0437833,0.0304601,0.0243747,0.0101233,0.030526,0.00249302,0.0346599,0.0918235,0.0402698,0,0,0.0110914,0,0.00469964,0.00881045,0.0554117,0.0344642,0.027902,0.0557377,0.0251854,0.0253529,0.0550191,0.035074,0.0178179,0.0601234,0.0440194,0.0471585,0.037144,0.0450829,0.0267676,0.0122284,0.00986968,0.00733062,0.020337,0.0423564,0,0,0,0,0,0,0,0,0
48,0.0492203,0.0271841,0,0,0,0,0,0,0.0320337,0.0141798,0.0187611,0.0372184,0,0,0.0392333,0,0.0376521,0.0135,0.0307596,0.0180386,0.031881,0.0289292,0.0491735,0.0360112,0.0372025,0.029566,0.0356862,0.0311391,0.0212463,0.0189889,0.0209112,0.0123715,0.044291,0.0312126,0.0244679,0.0102766,0.0301364,0.00230661,0.0358712,0.0896738,0.0406983,0,0,0.0120202,0,0.00475892,0.00923992,0.0545704,0.0352038,0.0282085,0.0567755,0.0262288,0.0258827,0.0555825,0.0355233,0.0174351,0.0606508,0.0468956,0.0493095,0.039357,0.0481021,0.0261095,0.0129354,0.0100538,0.00736808,0.0204695,0.0428155,0,0,0,0,0,0,0,0,0
49,0.0486562,0.0268433,0,0,0,0,0,0,0.0319418,0.0141885,0.0185117,0.0360716,0,0,0.039599,0,0.0377668,0.0136476,0.0305609,0.0199992,0.0319671,0.0286097,0.0486148,0.035531,0.0370926,0.0293702,0.0355883,0.0307005,0.0212079,0.0190239,0.021002,0.0121077,0.0443893,0.0312442,0.0245186,0.0102598,0.0302005,0.00229198,0.0363737,0.0884514,0.0403467,0,0,0.0124103,0,0.00473386,0.00944812,0.053974,0.034711,0.0282071,0.0578947,0.0264973,0.0258706,0.0559512,0.0356527,0.0174597,0.0610589,0.0487457,0.0504618,0.0405547,0.0500284,0.0262716,0.0132338,0.0101463,0.00738047,0.0201809,0.0423672,0,0,0,0,0,0,0,0,0
50,0.0473887,0.0259522,0,0,0,0,0,0,0.0315601,0.0142271,0.0184536,0.0358719,0,0,0.0394023,0,0.0376308,0.0135172,0.0304568,0.0221265,0.0309867,0.0280984,0.0492498,0.0343019,0.0368506,0.0292355,0.035408,0.030232,0.0211301,0.0189514,0.0210895,0.0119662,0.0440228,0.0308704,0.02448,0.0100607,0.0307042,0.00246014,0.0365681,0.0882853,0.0393276,0,0,0.012103,0,0.00469731,0.00933036,0.0536082,0.0337819,0.027929,0.0590508,0.0260699,0.0252921,0.0560635,0.0355296,0.0178009,0.0613221,0.0495608,0.0506839,0.0410295,0.0508653,0.0269694,0.0129831,0.0100754,0.00734346,0.0195713,0.0411993,0,0,0,0,0,0,0,0,0
51,0.0464095,0.0254009,0,0,0,0,0,0,0.0314892,0.0142604,0.0183519,0.035261,0,0,0.0390829,0,0.0375165,0.0133268,0.0304738,0.0243222,0.030784,0.0276727,0.049503,0.0334931,0.0366134,0.0290141,0.0353044,0.0299735,0.0212116,0.0190483,0.021242,0.0117635,0.0439523,0.0307758,0.0244494,0.00998855,0.0316666,0.0025555,0.0362142,0.0875317,0.038478,0,0,0.0117532,0,0.00471282,0.00912779,0.0534653,0.0320709,0.0278406,0.058941,0.0258654,0.0249637,0.0558921,0.0351871,0.0178552,0.061144,0.0487051,0.0499744,0.0402618,0.0499376,0.0281981,0.0128444,0.010004,0.00726724,0.0192121,0.0402504,0,0,0,0,0,0,0,0,0
52,0.0458294,0.0251973,0,0,0,0,0,0,0.031499,0.014295,0.0182177,0.0341303,0,0,0.0390117,0,0.0375821,0.0133842,0.030555,0.0266165,0.0312081,0.0272943,0.0489529,0.033107,0.0363937,0.0286997,0.0352435,0.0298715,0.0213182,0.0192385,0.0213655,0.01155,0.0440851,0.0308208,0.0244688,0.0101365,0.032681,0.00253477,0.0353832,0.086223,0.0380709,0,0,0.0118245,0,0.004752,0.00913403,0.0537336,0.0310646,0.0281377,0.0579685,0.0257017,0.0251094,0.055354,0.0345274,0.0178295,0.0605509,0.0466084,0.0485642,0.0385227,0.0477569,0.0294294,0.0131684,0.0100057,0.00721717,0.0190129,0.0397127,0,0,0,0,0,0,0,0,0
53,0.0451519,0.0249418,0,0,0,0,0,0,0.0315139,0.0142959,0.0179645,0.0325469,0,0,0.0390168,0,0.0377182,0.0135479,0.0306552,0.0289652,0.0316145,0.0268478,0.0480034,0.032592,0.0360902,0.0283098,0.0351427,0.029757,0.0213928,0.0194149,0.0214841,0.0113767,0.0442706,0.0307246,0.0244909,0.0102736,0.0338355,0.00249087,0.0339675,0.0843524,0.0375757,0,0,0.0119783,0,0.00478576,0.00937551,0.054127,0.0299318,0.0284996,0.0560276,0.0256282,0.0252769,0.0545909,0.0336992,0.0176293,0.0596531,0.0431727,0.0463909,0.0358495,0.0441364,0.0311379,0.0135914,0.0100319,0.00718137,0.018742,0.0391216,0,0,0,0,0,0,0,0,0
54,0.044388,0.0246447,0,0,0,0,0,0,0.0314575,0.0142318,0.0176576,0.0308351,0,0,0.0391346,0,0.0378936,0.0137906,0.0307207,0.0314162,0.0323969,0.0265154,0.0470276,0.0319829,0.035816,0.0279336,0.0351265,0.029732,0.0215168,0.0196775,0.0216548,0.0111543,0.044576,0.0305925,0.0244965,0.0102511,0.0350248,0.00245443,0.0326959,0.0824313,0.0369606,0,0,0.0127701,0,0.00484003,0.00956813,0.0546053,0.0292794,0.0288039,0.0543055,0.0258113,0.0253945,0.0534502,0.0325671,0.0175228,0.0584906,0.0395629,0.0439595,0.0329029,0.0403344,0.0331496,0.0139839,0.0100641,0.00715302,0.0184635,0.038456,0,0,0,0,0,0,0,0,0
55,0.0435714,0.0243653,0,0,0,0,0,0,0.0312799,0.0142351,0.017478,0.0291937,0,0,0.0393708,0,0.0381056,0.0141181,0.0307001,0.0338816,0.033469,0.0263135,0.0461428,0.0313588,0.0356593,0.0276828,0.0352541,0.0298198,0.0217267,0.0199985,0.0219014,0.0108303,0.0449368,0.0305079,0.0245569,0.0101854,0.0360644,0.00240819,0.0320596,0.0808107,0.0363678,0,0,0.0135311,0,0.00489431,0.00972803,0.0551777,0.0296172,0.0289407,0.0524541,0.0261827,0.0255662,0.0522568,0.0314932,0.0173699,0.0572221,0.0358968,0.0418595,0.0301517,0.0364251,0.0351548,0.0144536,0.0101626,0.0071858,0.0182403,0.0377889,0,0,0,0,0,0,0,0,0
56,0.0423792,0.0237507,0,0,0,0,0,0,0.0307481,0.0142805,0.0175233,0.0281102,0,0,0.0394118,0,0.0381663,0.01436,0.0306329,0.0360167,0.0337188,0.0258839,0.0458714,0.0303975,0.0355291,0.0274994,0.0353297,0.0298406,0.0219131,0.0201445,0.0221194,0.0106275,0.0447049,0.0302199,0.0245937,0.010053,0.0371865,0.00242745,0.0321381,0.0799181,0.0355256,0,0,0.013663,0,0.0048842,0.00978966,0.055417,0.030964,0.0288854,0.0499002,0.0263206,0.0254722,0.0512562,0.0305062,0.0171825,0.0561165,0.0324495,0.0406151,0.0279963,0.0327768,0.0373584,0.0147372,0.0101713,0.00720838,0.0179305,0.0367641,0,0,0,0,0,0,0,0,0
