Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,LANK,RTHIP,IMUR_M,IMUR_B,
179,0.0309603,0.0184963,0,0,0,0.0236278,0.0150444,0.0116257,0,0,0.0255126,0,0.0287402,0.0031191,0.0412389,0.0258793,0.0223036,0.0124872,0.0177885,0.0223585,0.00905141,0.00744025,0.0140059,0.0506832,0.0164987,0.0136794,0.0132255,0.0535176,0.0319053,0.0171204,0.021508,0.00344662,0.0243831,0.00339022,0.0247565,0.012038,0.0221553,0,0,0.0353971,0,0.00699612,0.0112348,0.0825901,0.0570172,0.0849731,0.0203961,0.00614879,0.0161326,0.023303,0.0387413,0.0618806,0.012619,0.0294195,0.0136949,0.0215717,0.0330076,0.0211553,0.00665737,0.0065185,0.015401,0.0234977,0,0,0,0,0,0,0,0,0,0.0104285,0.024984,0,0,0
180,0.0307362,0.0181974,0,0,0,0.0233997,0.0151417,0.0113095,0,0,0.0255903,0,0.0286689,0.00309061,0.0415113,0.0252115,0.0223966,0.0119709,0.0176439,0.0219988,0.00996624,0.00731502,0.0138324,0.0514563,0.0160225,0.0130411,0.0132805,0.0534109,0.0313232,0.0171988,0.0215148,0.00344371,0.0235683,0.00342854,0.024122,0.011805,0.0219623,0,0,0.0355845,0,0.00695712,0.0115676,0.0825327,0.0575709,0.0848856,0.0192932,0.00605078,0.0158796,0.0233224,0.039487,0.0620609,0.0128227,0.0287851,0.014194,0.0219014,0.0340563,0.0211128,0.00667734,0.00652803,0.0149828,0.0233051,0,0,0,0,0,0,0,0,0,0.00876299,0.0244564,0,0,0
181,0.0304708,0.0179278,0,0,0,0.0235413,0.01525,0.0109431,0,0,0.0258253,0,0.0286923,0.00308054,0.0419203,0.0253598,0.022509,0.0115796,0.0176276,0.0215859,0.0112688,0.0080155,0.0141176,0.0523114,0.0159955,0.0128816,0.0137235,0.0535349,0.0316441,0.0173895,0.0215507,0.00345991,0.0227137,0.00345354,0.0236256,0.0116992,0.0217689,0,0,0.035924,0,0.00699883,0.0117085,0.082466,0.0580036,0.0849098,0.0179436,0.00600911,0.0156306,0.0233087,0.0396327,0.0623211,0.0130255,0.0282008,0.0146768,0.0223533,0.0352113,0.0211451,0.00671476,0.00654539,0.0145584,0.0231193,0,0,0,0,0,0,0,0,0,0.00815364,0.0237806,0,0,0
182,0.0294559,0.016996,0,0,0,0.0233914,0.0149147,0.0107668,0,0,0.0248531,0,0.0288758,0.00225287,0.0420388,0.025758,0.0230711,0.0110729,0.0172191,0.0222516,0.0128727,0.00949817,0.0147881,0.0531559,0.0160786,0.0129887,0.0139868,0.0535333,0.0315529,0.0172621,0.0214965,0.00373452,0.0219123,0.00346049,0.023019,0.0112886,0.0212641,0,0,0.0356147,0,0.00688505,0.0115664,0.0822701,0.0582853,0.0850785,0.0165751,0.00560729,0.0156726,0.0232259,0.0401134,0.0624883,0.0132795,0.0276167,0.015086,0.0228644,0.0365703,0.0209563,0.00674714,0.00662483,0.0136211,0.0223579,0,0,0,0,0,0,0,0,0,0.00868077,0.0229605,0,0,0
183,0.0291729,0.0167267,0,0,0,0.0236349,0.0148815,0.0106034,0,0,0.0249456,0,0.0288277,0.00232513,0.0424631,0.0257971,0.0236049,0.0113268,0.0170407,0.02208,0.0140493,0.010771,0.0153096,0.0535179,0.0164709,0.0134585,0.0137454,0.0532736,0.0310689,0.0174613,0.0214681,0.00374592,0.0210383,0.00348394,0.0226524,0.0109052,0.0211699,0,0,0.0357516,0,0.00689625,0.0116328,0.0820856,0.0584305,0.0849576,0.0154718,0.00549499,0.015577,0.0230099,0.0406348,0.0625432,0.0138092,0.0268983,0.0156072,0.0233497,0.037776,0.0210466,0.00675603,0.00665237,0.0132126,0.0221545,0,0,0,0,0,0,0,0,0,0.00981524,0.0222223,0,0,0
184,0.0283542,0.0159677,0,0,0,0.0236485,0.0149865,0.0105662,0,0,0.0254429,0,0.028741,0.00263543,0.0428177,0.0257959,0.02428,0.0122985,0.0167993,0.0218728,0.0147849,0.0116692,0.0155442,0.0533949,0.016411,0.0137954,0.0130535,0.0526026,0.0305676,0.0178848,0.0214784,0.00372719,0.0202629,0.0034784,0.0224709,0.0104642,0.0202712,0,0,0.0342422,0,0.00696688,0.0114095,0.0819047,0.0584289,0.0847102,0.014427,0.00547588,0.0157861,0.0227464,0.0411183,0.0627216,0.014476,0.0261265,0.016172,0.0238455,0.0391041,0.0196985,0.00689168,0.00695133,0.0123749,0.0215372,0,0,0,0,0,0,0,0,0,0.01047,0.0215071,0,0,0
185,0.0280842,0.0157657,0,0,0,0.02356,0.0149407,0.0109623,0,0,0.0254951,0,0.0288089,0.00269437,0.0432473,0.0265235,0.025282,0.0129788,0.0164118,0.022209,0.0151547,0.0120623,0.0155777,0.0530047,0.0156958,0.0135646,0.0122158,0.0515456,0.0301952,0.018263,0.021503,0.0037629,0.0196526,0.00355799,0.0224638,0.0105601,0.0203564,0,0,0.0345202,0,0.00705657,0.0114814,0.0816451,0.0584221,0.0848591,0.0134879,0.0049186,0.0161599,0.0224119,0.0415605,0.0627693,0.0152925,0.0253336,0.0167578,0.024513,0.0409197,0.0197766,0.00693624,0.00709955,0.0121776,0.0213217,0,0,0,0,0,0,0,0,0,0.0102779,0.020562,0,0,0
186,0.0278942,0.0156365,0,0,0,0.0236375,0.0148786,0.0112801,0,0,0.0255475,0,0.0288686,0.00274158,0.0436995,0.0274559,0.0261564,0.012789,0.0158682,0.0224917,0.0151368,0.0117612,0.0155976,0.0527112,0.014972,0.0130046,0.0115688,0.0504444,0.0301364,0.0186321,0.0215379,0.00382913,0.0193645,0.00364744,0.0226994,0.0104725,0.0205077,0,0,0.0348981,0,0.00716073,0.0115407,0.0814137,0.0581556,0.0849918,0.0128442,0.00437137,0.0165546,0.0219859,0.0419481,0.0629489,0.0162946,0.0244929,0.0173662,0.025156,0.0430421,0.0199014,0.00698543,0.0072268,0.0121278,0.0210896,0,0,0,0,0,0,0,0,0,0.0101516,0.0194662,0,0,0
187,0.0276748,0.0155864,0,0,0,0.0238293,0.0148484,0.0114403,0,0,0.0255733,0,0.0288834,0.00279263,0.0439597,0.0280645,0.0267972,0.011778,0.0151213,0.0226459,0.0148305,0.0110281,0.0157775,0.0527379,0.0144699,0.0124593,0.0110333,0.0494704,0.0300294,0.018948,0.0215907,0.00382249,0.0194511,0.00373266,0.0231391,0.0101228,0.020596,0,0,0.0351924,0,0.00727204,0.0117487,0.0812078,0.0576068,0.0850848,0.0126046,0.00395439,0.0168967,0.0215094,0.0422924,0.0632161,0.0174008,0.0236221,0.017954,0.0256835,0.0451441,0.019998,0.00701241,0.00732808,0.0121549,0.0208088,0,0,0,0,0,0,0,0,0,0.0102127,0.0183765,0,0,0
188,0.0275159,0.0157905,0,0,0,0.02392,0.014799,0.0115621,0,0,0.0256213,0,0.028926,0.00289472,0.0439285,0.0285413,0.0273519,0.0100297,0.0143705,0.0228906,0.0146931,0.0106755,0.0161787,0.0530307,0.0136808,0.0119468,0.010312,0.0484815,0.0297796,0.0193018,0.0216298,0.00390254,0.0199706,0.00380944,0.0237593,0.00970504,0.0207132,0,0,0.0355039,0,0.00739414,0.0118275,0.0810675,0.056742,0.0852472,0.0129258,0.00360547,0.0172112,0.0208913,0.0424986,0.0634031,0.0185078,0.0227011,0.0184443,0.0262526,0.0473967,0.0201874,0.00705924,0.0074495,0.0123123,0.0205668,0,0,0,0,0,0,0,0,0,0.0100451,0.0172299,0,0,0
