Timestep,C7,CLAV,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,IMUL_L
150,0.024716,0.0285588,0,0,0,0,0.0332136,0.0196886,0.0309808,0.0424654,0,0,0.0457237,0,0.0252949,0.0223321,0.0334127,0.046565,0.0310792,0.0426455,0.0431951,0.0523697,0.0358132,0.040272,0.0253613,0.0440947,0.0402872,0.0397102,0.0339896,0.0151545,0.0589126,0.04804,0.0191913,0.00561209,0.0348827,0.017203,0.0194248,0.100509,0.0272437,0,0,0.0617994,0,0.0197732,0.0258673,0.0434362,0.0333867,0.0331744,0.0581374,0.0426316,0.0380115,0.0382645,0.0229513,0.0221111,0.0420077,0.0174469,0.0235596,0.012253,0.0160776,0.0375833,0.0398043,0.0192371,0.011548,0.0275768,0.0318896,0,0,0,0,0,0,0,0,0,0
151,0.0241482,0.0284321,0,0,0,0,0.02998,0.0195647,0.0295444,0.0432752,0,0,0.0456611,0,0.0254089,0.0221314,0.0344006,0.0444218,0.0311926,0.0413884,0.0432588,0.0522993,0.0353141,0.039807,0.0251822,0.043747,0.0402807,0.0394866,0.0335605,0.0142357,0.0559358,0.0477813,0.0192167,0.00570578,0.0336954,0.0172332,0.0181965,0.101881,0.0270446,0,0,0.0613185,0,0.0197996,0.0259607,0.0427249,0.0330107,0.033121,0.0590882,0.0418699,0.0377292,0.0383369,0.0217719,0.0222333,0.0421893,0.0180103,0.0223952,0.0120242,0.0161044,0.0358788,0.0394403,0.0196742,0.0117032,0.0274667,0.0316516,0,0,0,0,0,0,0,0,0,0
152,0.0238866,0.0284341,0,0,0,0,0.0259059,0.0194153,0.0277645,0.0440391,0,0,0.0458168,0,0.0255807,0.0220993,0.035246,0.0417295,0.0313499,0.0399062,0.0431142,0.0522831,0.0347428,0.0393086,0.0250076,0.0433943,0.0398446,0.0389088,0.0329264,0.0132376,0.0517066,0.0476733,0.0192815,0.00591182,0.0334931,0.0171764,0.0178601,0.102994,0.0269148,0,0,0.0605392,0,0.01975,0.0258999,0.042413,0.0315203,0.0333017,0.0594846,0.0414986,0.0375117,0.037716,0.0210964,0.0236744,0.0422924,0.0181906,0.0209273,0.0118913,0.0155289,0.035073,0.0390302,0.0201392,0.0118003,0.0274349,0.0315684,0,0,0,0,0,0,0,0,0,0
153,0.0237632,0.0284622,0,0,0,0,0.0214314,0.019284,0.0262548,0.0448876,0,0,0.0459408,0,0.0257306,0.0221501,0.0360154,0.0387404,0.0314746,0.0383903,0.0431017,0.0522257,0.0341136,0.0387262,0.0247554,0.0431462,0.0391673,0.0381274,0.0322034,0.0123304,0.0462481,0.0475664,0.0193319,0.00588488,0.0340802,0.0171193,0.0183021,0.104043,0.0269052,0,0,0.0597781,0,0.0197137,0.0257773,0.0426212,0.0291834,0.0331398,0.0597669,0.0415136,0.0374558,0.0368871,0.0208752,0.0252499,0.0419794,0.0180947,0.0193081,0.0117905,0.0146756,0.0355272,0.0385473,0.0203887,0.0118281,0.0274121,0.0314777,0,0,0,0,0,0,0,0,0,0
154,0.0236329,0.0284321,0,0,0,0,0.0160851,0.0192104,0.0253688,0.0458091,0,0,0.0459104,0,0.02581,0.0221106,0.0366662,0.0357235,0.0313922,0.036946,0.0433663,0.0520726,0.0334464,0.0380578,0.0244878,0.0429891,0.0383842,0.0372868,0.0314329,0.0115949,0.0400515,0.0473817,0.0193738,0.00581428,0.0345965,0.0170944,0.0192913,0.104992,0.0270502,0,0,0.0593439,0,0.0196717,0.025835,0.0428956,0.0273647,0.0325799,0.0603269,0.0415237,0.0376396,0.0359717,0.0207107,0.0265819,0.0411947,0.0183948,0.0179595,0.0121077,0.0143732,0.0356715,0.0383527,0.0205621,0.0119102,0.0273625,0.0313102,0,0,0,0,0,0,0,0,0,0
155,0.0234337,0.0282867,0,0,0,0,0.0123245,0.0191545,0.0248759,0.0466721,0,0,0.0456957,0,0.0258272,0.0219618,0.0371324,0.0323383,0.0309911,0.0354748,0.0438059,0.0517917,0.0327741,0.0374947,0.0242675,0.0428486,0.0375656,0.0364623,0.0306769,0.0110708,0.0325749,0.0470722,0.019394,0.005872,0.0343918,0.0170648,0.0205708,0.10555,0.0272995,0,0,0.0591227,0,0.0195884,0.0259012,0.0430863,0.0269779,0.0318308,0.0610166,0.0414911,0.038049,0.0347206,0.0206796,0.0275438,0.0402874,0.0192668,0.017011,0.0128401,0.0148862,0.0345947,0.0384494,0.0206885,0.0120292,0.0272207,0.0310403,0,0,0,0,0,0,0,0,0,0
156,0.0231702,0.0281222,0,0,0,0,0.010259,0.0191234,0.0245944,0.0475978,0,0,0.0452892,0,0.0258463,0.0216677,0.0375767,0.0287641,0.0304685,0.0338749,0.0442231,0.0514101,0.0319621,0.0368245,0.024037,0.0427688,0.0367733,0.0357544,0.0298949,0.0107984,0.0240609,0.046616,0.0194008,0.00599213,0.0334293,0.0169843,0.0213106,0.106173,0.0276306,0,0,0.0590961,0,0.0194281,0.0260219,0.0433017,0.027459,0.0312403,0.0616423,0.0409882,0.0385962,0.033865,0.0205826,0.0277604,0.0398707,0.020237,0.0164338,0.0134858,0.0156345,0.0326597,0.0387228,0.0208215,0.0120026,0.0270803,0.0306345,0,0,0,0,0,0,0,0,0,0
157,0.0229302,0.027966,0,0,0,0,0.0119483,0.0191088,0.0241334,0.0484135,0,0,0.0447948,0,0.0258992,0.021413,0.0379163,0.0249569,0.0298764,0.0321903,0.0443987,0.0510207,0.0311718,0.0358221,0.0236514,0.0428964,0.0360592,0.03513,0.0291383,0.0108416,0.0144051,0.0460844,0.0194086,0.00591684,0.0317364,0.0168613,0.0215351,0.106759,0.0279297,0,0,0.0590779,0,0.0191465,0.0261552,0.0436888,0.0283321,0.0309787,0.0621383,0.040155,0.0391542,0.0338145,0.0203743,0.0275122,0.0400763,0.0209992,0.0161557,0.0137861,0.0163066,0.0299318,0.0388389,0.0210929,0.0119917,0.0270072,0.0302033,0,0,0,0,0,0,0,0,0,0
158,0.0227623,0.0277543,0,0,0,0,0.0159395,0.0191144,0.0236572,0.0489106,0,0,0.0442543,0,0.0259765,0.0212059,0.0381567,0.0215692,0.0290164,0.0305924,0.044402,0.0506182,0.0303727,0.0349493,0.0231048,0.0432064,0.0353526,0.0345348,0.0284123,0.0112156,0.00645409,0.0455245,0.0194305,0.00557777,0.0298422,0.01677,0.021606,0.107034,0.0282268,0,0,0.0590648,0,0.0188315,0.0262536,0.0442016,0.0294131,0.0307739,0.0627442,0.0392415,0.0396467,0.0343268,0.020197,0.0271879,0.0406764,0.0216504,0.0160812,0.0141123,0.0169317,0.0271226,0.038945,0.0214081,0.0119554,0.0268794,0.0298978,0,0,0,0,0,0,0,0,0,0
159,0.022684,0.027507,0,0,0,0,0.0212303,0.0191024,0.0235515,0.0492473,0,0,0.0437162,0,0.0260291,0.021054,0.0384684,0.0194601,0.0280335,0.0290284,0.0443845,0.0502096,0.0295872,0.0337723,0.0226499,0.0437125,0.0346694,0.0339819,0.0277428,0.0118602,0.0120971,0.0449885,0.019426,0.00536216,0.0280568,0.0166836,0.0216323,0.107245,0.0285176,0,0,0.059209,0,0.018594,0.0263846,0.0445561,0.0304088,0.0306523,0.0634631,0.0383311,0.0400344,0.0349793,0.0199633,0.0268765,0.0414598,0.0224623,0.0161206,0.0147993,0.0178322,0.0246789,0.0390909,0.0216276,0.0118458,0.0266764,0.0297403,0,0,0,0,0,0,0,0,0,0
160,0.0226702,0.0272242,0,0,0,0,0.0268352,0.0190973,0.0238278,0.0496318,0,0,0.0432786,0,0.0260981,0.0209872,0.0388828,0.0192201,0.0270089,0.0273129,0.0444141,0.0498129,0.0288766,0.0322198,0.0223849,0.0443041,0.0340231,0.0334874,0.0271366,0.0127217,0.0211219,0.0444968,0.0194177,0.00531798,0.0266699,0.01658,0.0220608,0.107594,0.0288093,0,0,0.0594795,0,0.018398,0.0264965,0.0446275,0.0313762,0.0308045,0.0642381,0.037476,0.0402463,0.0357702,0.0195063,0.0266662,0.0423242,0.0235287,0.0161684,0.0155899,0.0191345,0.0224925,0.0392179,0.0216872,0.0117902,0.0264371,0.0297147,0,0,0,0,0,0,0,0,0,0
161,0.0226581,0.0269136,0,0,0,0,0.0316477,0.0190905,0.0240646,0.0502336,0,0,0.0428779,0,0.0261599,0.0208756,0.0392298,0.020246,0.0259088,0.0252604,0.0445796,0.0494487,0.0281112,0.0306029,0.0223543,0.0449757,0.033273,0.032971,0.0265995,0.013812,0.0286119,0.0440712,0.0194052,0.00525301,0.0258367,0.0165193,0.0229689,0.108218,0.0290109,0,0,0.0599252,0,0.0183734,0.0265773,0.0444714,0.0324262,0.0311233,0.0651388,0.0366739,0.0402796,0.0361909,0.0189057,0.0267324,0.042946,0.0247857,0.0161768,0.0163848,0.0207725,0.0209235,0.0393363,0.0215775,0.0117986,0.0262488,0.0298158,0,0,0,0,0,0,0,0,0,0
162,0.0226607,0.0265754,0,0,0,0,0.0350501,0.0190813,0.0243914,0.0511266,0,0,0.0426186,0,0.0262854,0.0207319,0.039367,0.0219328,0.024724,0.0229665,0.0449653,0.0491388,0.0273613,0.0296252,0.0223868,0.0456694,0.0323303,0.032385,0.0261423,0.015026,0.0336852,0.043743,0.0194219,0.00513307,0.0254005,0.0164748,0.0239694,0.109141,0.0291042,0,0,0.0602413,0,0.018343,0.0266449,0.0442601,0.0333413,0.0314382,0.0662146,0.0359819,0.0402154,0.0363707,0.0184503,0.0271319,0.0432355,0.0259332,0.0160615,0.0169873,0.0222712,0.0198575,0.0393772,0.0216635,0.0118249,0.026083,0.0300285,0,0,0,0,0,0,0,0,0,0
163,0.0226489,0.0262346,0,0,0,0,0.0370281,0.0190655,0.0251684,0.0523042,0,0,0.0424763,0,0.026409,0.0205844,0.039204,0.0239749,0.0235465,0.0206589,0.045578,0.0489028,0.0268478,0.0291052,0.0223837,0.046368,0.0312978,0.0317996,0.0259231,0.0162068,0.0365452,0.0435177,0.019452,0.00501991,0.0250385,0.0164368,0.0246958,0.110278,0.0291746,0,0,0.0605438,0,0.0182406,0.0267085,0.0441089,0.0339225,0.0315847,0.0674928,0.035328,0.04012,0.0363591,0.0183434,0.0278525,0.0432698,0.0269221,0.0157602,0.0175832,0.0234866,0.018969,0.0394095,0.021887,0.0118618,0.02586,0.0303336,0,0,0,0,0,0,0,0,0,0
164,0.0226273,0.0259755,0,0,0,0,0.037655,0.0190542,0.0262812,0.0537686,0,0,0.042453,0,0.0264989,0.0204826,0.03883,0.0262895,0.0227143,0.018563,0.0461361,0.0487441,0.0266356,0.0286869,0.0224398,0.0470286,0.030298,0.031249,0.0258899,0.0172233,0.037535,0.0434006,0.0194712,0.00494985,0.0241773,0.0164283,0.0247918,0.111606,0.0292236,0,0,0.0606747,0,0.0181994,0.0267107,0.0438564,0.0337838,0.0318126,0.0689367,0.0348712,0.0400002,0.0361569,0.0184055,0.0284037,0.0433748,0.0274385,0.0153261,0.0179885,0.0240062,0.0178988,0.0393509,0.0219622,0.0118979,0.0256403,0.0306026,0,0,0,0,0,0,0,0,0,0
165,0.022589,0.0257518,0,0,0,0,0.0367646,0.0190468,0.0271808,0.055417,0,0,0.0424643,0,0.0265215,0.0204041,0.0384123,0.0285743,0.0221621,0.0167618,0.0468151,0.0486064,0.026488,0.0284733,0.0223909,0.0476562,0.0294028,0.0307004,0.0258441,0.0178322,0.0358781,0.0433607,0.0194565,0.00498882,0.0227752,0.0164101,0.0243641,0.112964,0.0292395,0,0,0.0608196,0,0.018112,0.0267487,0.0435909,0.0330813,0.031728,0.0703771,0.0346647,0.0399338,0.0363323,0.0184851,0.0287722,0.0437358,0.027348,0.0148124,0.0179584,0.0236981,0.0165345,0.03937,0.0221472,0.0119311,0.0253918,0.0308511,0,0,0,0,0,0,0,0,0,0
166,0.0225767,0.0255778,0,0,0,0,0.0346186,0.0190328,0.0275891,0.0571225,0,0,0.0424789,0,0.0264842,0.0202728,0.0380065,0.0307521,0.0218006,0.0151887,0.047531,0.0485337,0.0261271,0.0285487,0.0223446,0.0483476,0.0287159,0.030133,0.025825,0.0180804,0.0323822,0.0434125,0.0194198,0.00516391,0.0211208,0.0164151,0.023842,0.114157,0.0292745,0,0,0.0610735,0,0.0180936,0.0268625,0.0434764,0.0326913,0.0314872,0.0717935,0.0346777,0.0399378,0.0365911,0.0184797,0.0292709,0.044342,0.0271328,0.0143337,0.017888,0.0232095,0.0151684,0.0395056,0.0222694,0.0118759,0.0251932,0.031098,0,0,0,0,0,0,0,0,0,0
167,0.0226323,0.0255017,0,0,0,0,0.0315003,0.0190785,0.0274989,0.0588551,0,0,0.0425121,0,0.0263746,0.0201408,0.0375828,0.0326883,0.0215639,0.0138541,0.0482303,0.0485205,0.0257127,0.0288198,0.0224528,0.0490312,0.0283482,0.0296426,0.0258169,0.0180718,0.0278214,0.0435249,0.0193773,0.00533087,0.0197311,0.0164041,0.0236616,0.115113,0.0293448,0,0,0.061342,0,0.01808,0.0271528,0.0435982,0.032809,0.0312985,0.0732319,0.0348076,0.04002,0.03676,0.0184666,0.0299637,0.045081,0.0272743,0.013903,0.0180382,0.023188,0.0143199,0.0396617,0.0222841,0.0118766,0.0250749,0.0312668,0,0,0,0,0,0,0,0,0,0
168,0.0227975,0.0255508,0,0,0,0,0.0278936,0.0191218,0.0270514,0.060481,0,0,0.0426707,0,0.0263273,0.0201437,0.0370109,0.0344235,0.0213576,0.0128601,0.0487587,0.0485299,0.0260211,0.0292516,0.0227574,0.0497342,0.0282912,0.0293109,0.0257747,0.0179307,0.0227984,0.0437041,0.0193161,0.00526661,0.0185891,0.0164477,0.0238344,0.115708,0.0294595,0,0,0.0614607,0,0.0181539,0.0273515,0.044083,0.0332896,0.0313391,0.0744789,0.0346727,0.0401384,0.0370708,0.0186994,0.0305216,0.0458171,0.0277631,0.0134714,0.0184544,0.0235701,0.0142554,0.0397414,0.0221058,0.0119236,0.0250322,0.0314065,0,0,0,0,0,0,0,0,0,0
169,0.0229888,0.0256515,0,0,0,0,0.024007,0.0191767,0.0261886,0.0619336,0,0,0.0427911,0,0.0263535,0.0201251,0.0363217,0.0355969,0.0212101,0.0123373,0.0491556,0.0485525,0.0267576,0.0301988,0.0231731,0.0504518,0.0285499,0.0291867,0.0258076,0.0176247,0.017705,0.0438466,0.0192674,0.00484983,0.0179724,0.0164844,0.024447,0.116068,0.0296876,0,0,0.0614772,0,0.0181964,0.0271767,0.0450852,0.0344814,0.0315761,0.0756909,0.0346694,0.0402842,0.0374863,0.019079,0.0310302,0.046525,0.0285033,0.0131028,0.0190845,0.0245697,0.014853,0.0398146,0.0220734,0.0119756,0.0250458,0.0314839,0,0,0,0,0,0,0,0,0,0
170,0.0231811,0.0257557,0,0,0,0,0.0199182,0.0192644,0.0251369,0.0631117,0,0,0.0428367,0,0.026309,0.0200679,0.0355622,0.0361431,0.0210308,0.0122545,0.0493622,0.0484949,0.0276429,0.0313618,0.0236102,0.0513532,0.0289704,0.0292702,0.0259875,0.0172869,0.0133284,0.0439094,0.019232,0.0045185,0.0177634,0.0164812,0.0253515,0.116236,0.0298913,0,0,0.0612073,0,0.0181251,0.0269822,0.0466067,0.0364144,0.0319419,0.0768039,0.0348372,0.0404717,0.0378803,0.0194177,0.0315506,0.0471766,0.0293978,0.0128473,0.0197856,0.0259102,0.0161849,0.0398093,0.0222468,0.0118645,0.0251146,0.0315023,0,0,0,0,0,0,0,0,0,0
171,0.0233243,0.0258457,0,0,0,0,0.016022,0.0193468,0.0240068,0.0641499,0,0,0.0427889,0,0.02623,0.0199731,0.0347095,0.0361992,0.0208628,0.0125209,0.0494757,0.0484099,0.0286736,0.0323487,0.024074,0.0524113,0.0294578,0.0295188,0.026315,0.0169204,0.0103989,0.0438986,0.0191995,0.00446834,0.017679,0.0164925,0.0262171,0.116218,0.030019,0,0,0.0608584,0,0.0180466,0.0270296,0.0474406,0.0385689,0.0321979,0.0778362,0.0350891,0.0407858,0.0381644,0.0193858,0.0320549,0.0477188,0.0303775,0.0127314,0.0204842,0.0273719,0.0179078,0.0398219,0.0225078,0.0118003,0.0252296,0.0315212,0,0,0,0,0,0,0,0,0,0
172,0.023522,0.0259085,0,0,0,0,0.0127212,0.0193985,0.0229744,0.0651222,0,0,0.0427888,0,0.0261778,0.0199269,0.0339637,0.0360438,0.0207812,0.0131014,0.0495452,0.0483582,0.0295642,0.0333723,0.0245377,0.0532994,0.0299635,0.0299169,0.0267396,0.0165016,0.0102301,0.0438948,0.0191854,0.00429905,0.0176746,0.0165477,0.0267704,0.116072,0.0301584,0,0,0.0605365,0,0.0180451,0.0272706,0.0478539,0.0400513,0.0323055,0.0788263,0.0352211,0.0411545,0.0384964,0.0193327,0.0324405,0.0482652,0.0310072,0.0126747,0.0209861,0.0283555,0.019686,0.0398486,0.0226448,0.0117722,0.0253718,0.0316213,0,0,0,0,0,0,0,0,0,0
173,0.0238401,0.0260194,0,0,0,0,0.0104965,0.0194136,0.0221338,0.0658534,0,0,0.042763,0,0.0262301,0.0199514,0.0333001,0.0355979,0.0206439,0.0137358,0.0496433,0.048328,0.0304311,0.034557,0.0250471,0.0539257,0.0304691,0.0304513,0.0272085,0.0161652,0.0120218,0.0439163,0.0191737,0.00398844,0.0176905,0.016581,0.0271171,0.115848,0.0303958,0,0,0.0602559,0,0.0181601,0.0273791,0.0481628,0.0410559,0.0323576,0.0796271,0.0350643,0.0415524,0.038829,0.0193809,0.0328654,0.0487492,0.0313959,0.0125889,0.0213065,0.0289481,0.0211815,0.0399026,0.0225954,0.011735,0.0255763,0.031755,0,0,0,0,0,0,0,0,0,0
174,0.0248412,0.0268438,0,0,0,0,0.00961492,0.01945,0.0211247,0.0661152,0,0,0.0426001,0,0.0263546,0.0199512,0.0326923,0.034332,0.0211371,0.0143907,0.0495112,0.0481151,0.0311795,0.0359039,0.0259295,0.0546533,0.030979,0.0310347,0.0275694,0.0161216,0.0149751,0.0437951,0.0192057,0.00398231,0.0177489,0.0166561,0.027246,0.115438,0.0313202,0,0,0.0595489,0,0.0185292,0.0272528,0.0483969,0.0416067,0.0336498,0.0799936,0.0359579,0.0426165,0.0390882,0.0195299,0.0333917,0.0491065,0.031562,0.0124969,0.0214162,0.0291563,0.0223285,0.0398367,0.0220732,0.0114549,0.0264852,0.0319404,0,0,0,0,0,0,0,0,0,0
