Timestep,C7,CLAV,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,IMUL_L
130,0.0280558,0.0270055,0,0,0,0,0.0318726,0.0211003,0.0265887,0.0536992,0,0,0.0451716,0,0.0215287,0.0210831,0.0302385,0.0237742,0.0270805,0.0441468,0.050037,0.0465923,0.0422667,0.045666,0.0325254,0.0513439,0.03058,0.0297005,0.0273095,0.014006,0.0466636,0.0498431,0.0182862,0.00562756,0.045929,0.0174418,0.021642,0.107002,0.0304672,0,0,0.0634115,0,0.0206592,0.0249472,0.0530005,0.00192317,0.0295365,0.0632662,0.0378036,0.0407668,0.0351315,0.0283384,0.0390384,0.0479632,0.0147638,0.0112089,0.0132837,0.00846479,0.0523692,0.0444219,0.0137373,0.0102821,0.0269822,0.0338787,0,0,0,0,0,0,0,0,0,0
131,0.0280631,0.0270929,0,0,0,0,0.0326785,0.0209621,0.027287,0.0530555,0,0,0.0454747,0,0.0217233,0.0213815,0.0299637,0.0250913,0.0271815,0.0441742,0.0496889,0.046759,0.0422096,0.0455055,0.0322311,0.05106,0.0307738,0.029958,0.0275667,0.0141994,0.0477189,0.049998,0.0183467,0.00584375,0.0451324,0.0174237,0.0203545,0.106239,0.0305297,0,0,0.0631742,0,0.0205695,0.0249658,0.0525643,0.00438532,0.0298646,0.062793,0.0384304,0.0408239,0.0368069,0.0282313,0.0359407,0.0482731,0.013079,0.0139183,0.0121691,0.00802711,0.0518077,0.0443355,0.0138167,0.0103257,0.0270335,0.0337092,0,0,0,0,0,0,0,0,0,0
132,0.0280603,0.0272135,0,0,0,0,0.033522,0.0208239,0.0280374,0.0523867,0,0,0.0458331,0,0.0219307,0.0215862,0.0296922,0.026502,0.0273264,0.0441892,0.049363,0.0469964,0.0421313,0.0453922,0.0319183,0.0507301,0.0310457,0.0302792,0.0279228,0.0143924,0.0489687,0.0501615,0.0183894,0.00590176,0.0441619,0.0173775,0.0199705,0.105483,0.0306271,0,0,0.0629834,0,0.0204235,0.0251553,0.0520079,0.00787002,0.0301825,0.0626097,0.0389695,0.0409102,0.0384878,0.0282702,0.0329033,0.0488433,0.0126745,0.0171489,0.0118691,0.00887764,0.0504969,0.0441987,0.0139759,0.0103276,0.0271323,0.0334427,0,0,0,0,0,0,0,0,0,0
133,0.0280673,0.0273298,0,0,0,0,0.0344051,0.0207162,0.0282875,0.0516794,0,0,0.0461405,0,0.0221666,0.0216824,0.0294851,0.0280099,0.0274372,0.0441933,0.0490148,0.0473201,0.0420132,0.0453291,0.0315883,0.0504249,0.0313631,0.0306571,0.0283646,0.014653,0.0503422,0.0502966,0.0184558,0.00601761,0.0423966,0.0173472,0.0199569,0.10473,0.0306438,0,0,0.0630263,0,0.020333,0.025349,0.051316,0.0103361,0.0303773,0.0627483,0.0395298,0.0408595,0.0401198,0.0283914,0.0301998,0.0496611,0.0138962,0.0206329,0.01246,0.0113045,0.0478883,0.0439968,0.0141135,0.0103267,0.0272456,0.0333563,0,0,0,0,0,0,0,0,0,0
134,0.0280747,0.0274594,0,0,0,0,0.0353311,0.020643,0.0287939,0.0509183,0,0,0.0464002,0,0.0224125,0.0217443,0.0293287,0.0296516,0.0275574,0.0441981,0.0486556,0.047739,0.041861,0.045213,0.0311624,0.0500735,0.0317034,0.0310465,0.0287711,0.0149089,0.051727,0.050428,0.0185232,0.0059902,0.0398878,0.0173367,0.0200729,0.104007,0.0306291,0,0,0.0631406,0,0.0202782,0.025394,0.0506367,0.0121538,0.0304986,0.0632756,0.0401556,0.0407474,0.0416111,0.0287321,0.0277767,0.0505105,0.0166008,0.0241116,0.0143253,0.014837,0.0443794,0.0438032,0.014205,0.0103221,0.0273703,0.0333738,0,0,0,0,0,0,0,0,0,0
135,0.0281103,0.0276008,0,0,0,0,0.036172,0.0205667,0.0292797,0.050071,0,0,0.0466687,0,0.0226567,0.0219161,0.0291541,0.0314317,0.0278282,0.0442229,0.0482297,0.0481255,0.0416507,0.0450177,0.030681,0.0496102,0.0320446,0.0314456,0.0291242,0.0151113,0.053003,0.0505715,0.0185896,0.00599097,0.0366342,0.0173201,0.0203788,0.103203,0.0305703,0,0,0.0630619,0,0.0202436,0.025263,0.0500383,0.0142736,0.0307903,0.0639557,0.0407074,0.0406596,0.0428951,0.0291126,0.0254363,0.0513224,0.0198679,0.0273547,0.016808,0.0186992,0.0397934,0.0436943,0.0142492,0.0103485,0.0274065,0.0334248,0,0,0,0,0,0,0,0,0,0
136,0.0281986,0.0277917,0,0,0,0,0.0369075,0.0204897,0.0296047,0.0491537,0,0,0.0469517,0,0.0228729,0.0221698,0.0290478,0.0333146,0.0281721,0.0442218,0.0476482,0.0484868,0.0414008,0.0448169,0.030232,0.0491843,0.0323866,0.031844,0.0294925,0.0153032,0.0541901,0.050667,0.0186481,0.00602096,0.0329767,0.0173005,0.0209829,0.102383,0.0304922,0,0,0.0630003,0,0.0202008,0.0249994,0.0493721,0.0169092,0.0313404,0.0648301,0.0411282,0.0405905,0.0438953,0.0293423,0.0233978,0.05205,0.0232181,0.0302854,0.0193419,0.0224426,0.0345432,0.0434964,0.0142365,0.0103584,0.0274381,0.0334775,0,0,0,0,0,0,0,0,0,0
137,0.02824,0.0279066,0,0,0,0,0.0374905,0.0204125,0.029597,0.0482477,0,0,0.0471172,0,0.023054,0.0223178,0.0290136,0.0353797,0.0284098,0.0442474,0.0471701,0.0487936,0.0411147,0.0446074,0.0297857,0.0487689,0.0328043,0.0323101,0.0298955,0.0155121,0.0552015,0.0506663,0.0186941,0.00606168,0.0293816,0.0172484,0.0215817,0.10168,0.0303728,0,0,0.062986,0,0.0201037,0.0248313,0.0486018,0.0191742,0.0316174,0.0656524,0.0415455,0.0405172,0.0445298,0.0293473,0.0218233,0.0526243,0.0262125,0.0327019,0.0215372,0.0256373,0.0295775,0.0432926,0.0143325,0.0103713,0.0274569,0.0335308,0,0,0,0,0,0,0,0,0,0
138,0.0281687,0.0279562,0,0,0,0,0.0381668,0.0203693,0.0301126,0.0473366,0,0,0.0471102,0,0.0232281,0.0223486,0.029111,0.0376024,0.0285334,0.0443284,0.0468888,0.0490514,0.0408402,0.0443594,0.0293435,0.048387,0.0332885,0.0328883,0.0303239,0.0157917,0.0563605,0.0505684,0.0187237,0.00611038,0.0267234,0.0172071,0.0219152,0.101055,0.0302137,0,0,0.0627977,0,0.0200343,0.0248431,0.0478495,0.0199394,0.03149,0.066291,0.0419261,0.0404583,0.0448416,0.0289804,0.0209936,0.0529488,0.028527,0.0343064,0.023097,0.0281364,0.0258081,0.0430896,0.0144746,0.0103933,0.0274549,0.0335557,0,0,0,0,0,0,0,0,0,0
139,0.0280235,0.0279597,0,0,0,0,0.0389236,0.0203306,0.03089,0.0464405,0,0,0.0470093,0,0.0234191,0.0223938,0.0292534,0.0399106,0.0286533,0.0444966,0.0466908,0.0492572,0.040555,0.0440717,0.0289145,0.0480204,0.0338178,0.033541,0.0308268,0.0160901,0.0576359,0.050429,0.018775,0.00621256,0.0249488,0.017193,0.0215142,0.10052,0.0299994,0,0,0.0626707,0,0.0200029,0.0248888,0.0473712,0.0190887,0.0312338,0.0666618,0.0421507,0.0403963,0.0449334,0.0284297,0.0210433,0.0529795,0.0295363,0.0348872,0.0235506,0.0291777,0.0235098,0.042936,0.0146847,0.0103876,0.0274309,0.0335473,0,0,0,0,0,0,0,0,0,0
