Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTIBI,LWRB,x79,x81,
27,0.0392551,0.0275923,0,0,0,0,0,0,0.0222061,0.0162574,0.0227955,0.0320228,0,0,0.0368913,0,0.0329864,0.020282,0.035014,0.0403366,0.0403194,0.0271395,0.0387636,0.0325221,0.0648969,0.0622979,0.0661588,0.0525896,0.0279838,0.0254623,0.00817731,0.0335021,0.0290937,0.0215477,0.0373289,0.0118771,0.0220238,0.0919374,0.0349271,0,0,0.0292994,0,0.0117504,0.0184273,0.0426481,0.0335119,0.0279939,0.0543825,0.0490015,0.031314,0.0320159,0.0207877,0.0267302,0.0344485,0.0164951,0.0254436,0.0132245,0.0151163,0.0397403,0.0275799,0.0132865,0.00429259,0.0255807,0.0396665,0,0,0,0,0,0,0,0,0.0269348,0.00812351,0,0,0
28,0.0384661,0.0277019,0,0,0,0,0,0,0.022016,0.0160859,0.0226325,0.0326111,0,0,0.0370308,0,0.0334456,0.0201499,0.0353,0.0383874,0.0408722,0.0267198,0.0391834,0.0326366,0.0653467,0.0625667,0.0665587,0.0533127,0.0287225,0.0262414,0.00800908,0.0326011,0.0290045,0.0216683,0.0357829,0.0118631,0.0203481,0.0920793,0.0341788,0,0,0.0290698,0,0.0117743,0.0184133,0.0423093,0.0322194,0.0281,0.0540018,0.0492064,0.0314846,0.0311038,0.0208154,0.0282121,0.0336957,0.0158405,0.0244464,0.0127137,0.0141696,0.0380427,0.0274222,0.0134756,0.00436307,0.0260834,0.0389628,0,0,0,0,0,0,0,0,0.0272695,0.00831475,0,0,0
29,0.0378592,0.0279533,0,0,0,0,0,0,0.0219363,0.0159378,0.0226014,0.0333545,0,0,0.0373374,0,0.0340118,0.0200613,0.0356903,0.0361216,0.0413315,0.0260527,0.0392644,0.0327612,0.0658917,0.0628024,0.0670062,0.0541346,0.0292833,0.0268926,0.00792864,0.0311647,0.028988,0.0218327,0.0346146,0.0117555,0.0191536,0.0920198,0.0335593,0,0,0.0289012,0,0.0117455,0.0183647,0.0421363,0.0303513,0.0285696,0.0533174,0.0495029,0.0317011,0.0300947,0.0212363,0.0301401,0.0326566,0.0153292,0.0233376,0.0122766,0.0132678,0.036124,0.027405,0.0135256,0.0044033,0.0266469,0.0384858,0,0,0,0,0,0,0,0,0.027573,0.00848377,0,0,0
30,0.0371764,0.0280868,0,0,0,0,0,0,0.0220903,0.0158319,0.0228482,0.0340403,0,0,0.0375974,0,0.0343097,0.0200266,0.0360835,0.0336551,0.0416984,0.0250959,0.039539,0.0326662,0.0664023,0.0629663,0.0674495,0.0549897,0.0295453,0.0273723,0.00797845,0.0289526,0.0288188,0.0219297,0.0333605,0.0116673,0.0185338,0.0918767,0.032869,0,0,0.0285033,0,0.0116762,0.0181557,0.042138,0.0283346,0.0286963,0.0529233,0.0497589,0.0316595,0.0289278,0.0216543,0.0317792,0.0313346,0.0153102,0.0222369,0.012084,0.0128892,0.0342971,0.0271435,0.013582,0.00443588,0.0270555,0.0379383,0,0,0,0,0,0,0,0,0.0277976,0.00857822,0,0,0
31,0.0364344,0.0280468,0,0,0,0,0,0,0.0222629,0.0157804,0.023494,0.0345085,0,0,0.0377034,0,0.0344392,0.0200295,0.0366031,0.031298,0.0419093,0.0241084,0.0400815,0.032335,0.066746,0.0632458,0.0678865,0.0558317,0.0295269,0.0277475,0.00814756,0.0257112,0.0284464,0.0219597,0.031765,0.0116019,0.0183008,0.0917273,0.0321429,0,0,0.0279466,0,0.0116053,0.01788,0.0422809,0.0269622,0.0284544,0.0531713,0.0498978,0.0313664,0.0279355,0.0218481,0.0329913,0.0300761,0.0158591,0.0213602,0.0122265,0.0132213,0.0323425,0.0266008,0.0136601,0.0045103,0.0272578,0.0372433,0,0,0,0,0,0,0,0,0.0279326,0.00857692,0,0,0
32,0.0357728,0.027923,0,0,0,0,0,0,0.0224306,0.0157776,0.0246653,0.0349381,0,0,0.0376414,0,0.0344992,0.0200356,0.0371181,0.0292484,0.0418111,0.0230657,0.0407399,0.0318606,0.0669904,0.0636769,0.0682866,0.0566328,0.0292238,0.0280828,0.00850343,0.0211825,0.0279398,0.0219504,0.029836,0.0115646,0.0182637,0.091741,0.0314749,0,0,0.0273314,0,0.0115383,0.0177218,0.0425196,0.0264772,0.0281531,0.0540279,0.049783,0.030867,0.0272924,0.0219222,0.0337889,0.0291556,0.0167857,0.0207647,0.0125485,0.0140191,0.0300026,0.0259836,0.0138735,0.00461982,0.0272864,0.0365059,0,0,0,0,0,0,0,0,0.0279101,0.00850513,0,0,0
33,0.0352478,0.0276879,0,0,0,0,0,0,0.0232359,0.0158252,0.0262686,0.0354015,0,0,0.0370947,0,0.0344939,0.0197939,0.0375391,0.0274945,0.0414802,0.021924,0.0414467,0.031402,0.067353,0.0641916,0.068722,0.05744,0.0287012,0.0283863,0.00905949,0.0155934,0.0273119,0.0219179,0.0278536,0.0115363,0.0181705,0.0920773,0.0308251,0,0,0.0268806,0,0.0114484,0.0177152,0.0427553,0.0265084,0.0277875,0.054914,0.0492371,0.0301087,0.0272757,0.022025,0.0339463,0.0286794,0.0173391,0.0202738,0.012751,0.014446,0.0273244,0.0252934,0.0141471,0.00471436,0.0271276,0.0357883,0,0,0,0,0,0,0,0,0.0276623,0.00825176,0,0,0
34,0.0349348,0.0273804,0,0,0,0,0,0,0.0255486,0.015894,0.0280892,0.0358194,0,0,0.0362748,0,0.0343887,0.0193733,0.0379598,0.0259944,0.040963,0.0207367,0.0422292,0.0309588,0.0677287,0.0647534,0.0691355,0.0581776,0.0281396,0.0287027,0.00974267,0.00883604,0.0265684,0.0218542,0.0258175,0.0115341,0.0179335,0.0926172,0.0303741,0,0,0.0265006,0,0.0113691,0.0177623,0.042933,0.0271513,0.0273735,0.0559767,0.0483268,0.0292157,0.0271897,0.0218942,0.0338616,0.0288136,0.0177009,0.019974,0.0129402,0.0147484,0.0243452,0.0245039,0.0144363,0.00482386,0.0268144,0.0352496,0,0,0,0,0,0,0,0,0.027306,0.00798166,0,0,0
35,0.0347955,0.0270577,0,0,0,0,0,0,0.027957,0.0159689,0.029518,0.0361586,0,0,0.0352959,0,0.0343367,0.0188787,0.038401,0.0246247,0.0402508,0.019571,0.042959,0.0305398,0.068125,0.0653435,0.0695487,0.0587749,0.0276535,0.0289762,0.0104545,0.00441295,0.0258115,0.021798,0.0238,0.0115374,0.0176498,0.0932106,0.0300292,0,0,0.0261895,0,0.0112754,0.0178759,0.0431315,0.0281627,0.0270636,0.0570422,0.0471485,0.0283255,0.0272409,0.0216098,0.0336682,0.029452,0.0180917,0.0198621,0.0132287,0.0151391,0.0210165,0.0236902,0.0147342,0.00490305,0.0263624,0.0348996,0,0,0,0,0,0,0,0,0.0268924,0.00775089,0,0,0
36,0.0347032,0.0266934,0,0,0,0,0,0,0.0297324,0.016016,0.0302451,0.0364522,0,0,0.0341725,0,0.0342206,0.0184312,0.0388623,0.0232749,0.0393504,0.0185527,0.0436081,0.0302014,0.0685236,0.0659802,0.069915,0.0592121,0.0272791,0.0292412,0.0111032,0.0113314,0.0251708,0.0217127,0.0216386,0.011557,0.0174728,0.0938112,0.0298471,0,0,0.0259158,0,0.0111929,0.0180656,0.0432525,0.0293582,0.0269107,0.0578531,0.0457493,0.0274695,0.0277588,0.0213218,0.0333951,0.0304024,0.0185667,0.0198873,0.0136513,0.0157396,0.0175734,0.0228422,0.0150574,0.00498346,0.0258415,0.0346798,0,0,0,0,0,0,0,0,0.0265826,0.0075834,0,0,0
37,0.0345639,0.0262541,0,0,0,0,0,0,0.031235,0.0160637,0.0300588,0.0366827,0,0,0.0330369,0,0.0340636,0.0180784,0.039294,0.0223496,0.0383441,0.017806,0.0442456,0.0299058,0.0689042,0.0666288,0.0701908,0.0594738,0.027042,0.0294739,0.0116093,0.0212786,0.0245561,0.0216256,0.019527,0.0115827,0.0173456,0.0944274,0.0296973,0,0,0.0256972,0,0.01114,0.0182281,0.0430567,0.0305968,0.0269364,0.0584459,0.0442586,0.0267053,0.0286048,0.021081,0.0332194,0.0313607,0.0191878,0.0200139,0.0141674,0.0166343,0.0144049,0.021978,0.015353,0.00510321,0.0252953,0.034529,0,0,0,0,0,0,0,0,0.0263879,0.00747416,0,0,0
38,0.0343844,0.0257457,0,0,0,0,0,0,0.0330077,0.0161122,0.0291927,0.0368384,0,0,0.0319887,0,0.0340194,0.0177269,0.039662,0.0218969,0.0372994,0.0172892,0.0449578,0.0296892,0.0692643,0.0672678,0.0703931,0.0596717,0.0268964,0.0295178,0.011947,0.0299621,0.0239513,0.0215617,0.017512,0.0116304,0.0174595,0.0951625,0.0295884,0,0,0.0255804,0,0.0111371,0.0182982,0.0428888,0.0318919,0.0271604,0.0590015,0.0427165,0.0260359,0.0293254,0.0209272,0.0331354,0.0320378,0.0200736,0.0201774,0.0148099,0.0178563,0.0114709,0.0211258,0.0156291,0.00524176,0.02472,0.0344266,0,0,0,0,0,0,0,0,0.0262248,0.00738902,0,0,0
39,0.0341764,0.0252192,0,0,0,0,0,0,0.0352139,0.0161756,0.0281104,0.0370011,0,0,0.0311021,0,0.0340139,0.0173123,0.0398642,0.0213598,0.0362481,0.0166947,0.0458437,0.0295497,0.0694972,0.0677134,0.070479,0.0598893,0.0267149,0.029245,0.0121267,0.0355264,0.0234843,0.021517,0.01571,0.0117059,0.0179237,0.0961527,0.0294989,0,0,0.0254725,0,0.011152,0.0183008,0.0429742,0.0329572,0.0275476,0.0596373,0.0413775,0.0254505,0.0297539,0.0210894,0.0330208,0.0322235,0.0211016,0.0201932,0.0155586,0.0193076,0.00888143,0.0202453,0.0159927,0.00539761,0.0242033,0.0343234,0,0,0,0,0,0,0,0,0.0260856,0.00732952,0,0,0
40,0.0338851,0.0246467,0,0,0,0,0,0,0.0373943,0.0162406,0.0272377,0.0372249,0,0,0.0304316,0,0.0338378,0.017162,0.0398228,0.021617,0.0351229,0.0157499,0.0468584,0.0294845,0.0693967,0.0677503,0.0703304,0.0601453,0.0263412,0.0286825,0.0123887,0.0401155,0.0232363,0.0214399,0.0140413,0.0118077,0.0182851,0.0974235,0.0293513,0,0,0.0253188,0,0.0111787,0.0182918,0.0431256,0.0341583,0.0280541,0.0605647,0.0403578,0.024967,0.0298316,0.0213043,0.0331385,0.0320157,0.0224009,0.020175,0.0163669,0.0211107,0.00706484,0.0192904,0.0164164,0.00556334,0.0238948,0.0342076,0,0,0,0,0,0,0,0,0.0258422,0.00728304,0,0,0
41,0.0334466,0.0240383,0,0,0,0,0,0,0.0396049,0.0163228,0.0272563,0.0375294,0,0,0.0298802,0,0.033604,0.0170432,0.039643,0.023068,0.0338861,0.0148041,0.0481283,0.0294173,0.0688441,0.067427,0.0699,0.0602785,0.0257778,0.0280732,0.0129401,0.0442307,0.0230579,0.0213315,0.0125758,0.0119082,0.0185953,0.099043,0.0290847,0,0,0.0252656,0,0.0112656,0.0182906,0.043304,0.0353911,0.0284156,0.0617738,0.0395574,0.0245062,0.0297752,0.0213796,0.0333108,0.0318005,0.0237176,0.0201114,0.0170886,0.0229115,0.00677497,0.0182718,0.0167996,0.00570452,0.0237303,0.0340189,0,0,0,0,0,0,0,0,0.02544,0.00717856,0,0,0
42,0.0329357,0.0234737,0,0,0,0,0,0,0.0419532,0.0164331,0.028356,0.0379162,0,0,0.0292627,0,0.0334772,0.0167246,0.0393941,0.0252191,0.0325415,0.014307,0.0497032,0.0292838,0.0679716,0.0668291,0.0690901,0.0601971,0.0249749,0.0274869,0.013817,0.0474894,0.0228353,0.0212503,0.0113435,0.0120407,0.0187328,0.100919,0.0287183,0,0,0.0252937,0,0.0114052,0.0183216,0.0436042,0.0363731,0.0283301,0.0631851,0.0390256,0.0240763,0.029763,0.0212767,0.0333881,0.0319416,0.0247436,0.0199279,0.0176384,0.024266,0.00804412,0.0172391,0.0171592,0.00585179,0.0236023,0.0337459,0,0,0,0,0,0,0,0,0.0250033,0.00698807,0,0,0
43,0.0324836,0.0230331,0,0,0,0,0,0,0.0440252,0.0165243,0.0300226,0.0388085,0,0,0.0287856,0,0.033164,0.0163788,0.0391185,0.0276474,0.0310919,0.0143619,0.0512648,0.0290737,0.0668334,0.0658552,0.0679192,0.0598583,0.0240333,0.0270628,0.0148549,0.0497859,0.0226769,0.0211247,0.0104034,0.0121695,0.0186891,0.102828,0.0283583,0,0,0.0253505,0,0.0115476,0.0183285,0.0439839,0.037185,0.0279214,0.0645679,0.0387821,0.0237085,0.0297567,0.0211697,0.0334259,0.0324751,0.0253925,0.0195754,0.0180031,0.0250612,0.0102439,0.0163647,0.0175984,0.0059195,0.0234326,0.0334667,0,0,0,0,0,0,0,0,0.0247429,0.00684936,0,0,0
44,0.0323282,0.0228852,0,0,0,0,0,0,0.0452808,0.0165458,0.0316635,0.0405856,0,0,0.0287794,0,0.032888,0.0161981,0.0389786,0.030136,0.0294825,0.0149415,0.0520258,0.0289605,0.0655951,0.0648569,0.0666493,0.0592492,0.0231423,0.0268327,0.0158405,0.050816,0.0226886,0.0210145,0.00986886,0.012205,0.018684,0.104491,0.0282432,0,0,0.0252575,0,0.0115954,0.018252,0.0445419,0.0381585,0.0277565,0.0656861,0.0383869,0.023619,0.0298552,0.0212944,0.0335381,0.0331905,0.0258744,0.0191197,0.0183854,0.0256835,0.0129349,0.0160424,0.0178385,0.00586012,0.0233875,0.0333527,0,0,0,0,0,0,0,0,0.0246412,0.00685067,0,0,0
45,0.032388,0.0228295,0,0,0,0,0,0,0.0457692,0.0165475,0.0330316,0.042454,0,0,0.028898,0,0.0327476,0.0160035,0.0389767,0.0326257,0.0278097,0.0157623,0.0527976,0.0289424,0.0643151,0.0639023,0.0653041,0.0584129,0.0224074,0.0266695,0.0166042,0.0510343,0.0227543,0.0209671,0.0100194,0.0122145,0.0188943,0.106092,0.0282481,0,0,0.0252129,0,0.0116107,0.0181878,0.0451177,0.0388631,0.027264,0.0668342,0.0381935,0.0236266,0.0300994,0.0214855,0.0336816,0.0339685,0.0263479,0.0185231,0.0188204,0.0263033,0.0155693,0.0158784,0.0180233,0.00576824,0.0233266,0.0333613,0,0,0,0,0,0,0,0,0.0245808,0.00684543,0,0,0
46,0.0326363,0.022911,0,0,0,0,0,0,0.0456151,0.0165284,0.0339751,0.0442637,0,0,0.0291347,0,0.032785,0.0158654,0.0389878,0.0350941,0.0260887,0.0168455,0.053285,0.0290069,0.0630681,0.0629851,0.0638537,0.0575198,0.0218014,0.0263531,0.0171794,0.0505421,0.022946,0.0209884,0.0107368,0.0121781,0.0194627,0.107376,0.0284403,0,0,0.0251785,0,0.0115367,0.0182066,0.0458431,0.0400202,0.0267989,0.06807,0.0379862,0.0237305,0.0304808,0.0216645,0.0338171,0.0346565,0.0270697,0.017947,0.0193669,0.0272801,0.0183691,0.0160178,0.0181075,0.00575851,0.0232865,0.0335118,0,0,0,0,0,0,0,0,0.0244227,0.0068316,0,0,0
47,0.0329423,0.0230132,0,0,0,0,0,0,0.0447909,0.0165236,0.0346372,0.0461973,0,0,0.0293614,0,0.032874,0.0158069,0.0390209,0.0371828,0.0242915,0.0178776,0.0535409,0.0290471,0.0619408,0.0620755,0.0624567,0.0566756,0.0212698,0.0258699,0.0175734,0.0492345,0.0231643,0.0210295,0.0118009,0.0120996,0.0203653,0.108369,0.0287023,0,0,0.0251372,0,0.011466,0.0182197,0.04658,0.0423257,0.0264179,0.0694105,0.0376393,0.0237926,0.0308228,0.0214766,0.0341047,0.0353226,0.0282289,0.0175639,0.0200956,0.0288481,0.0215214,0.0163401,0.0179652,0.00574642,0.0233466,0.0337052,0,0,0,0,0,0,0,0,0.0241539,0.00676328,0,0,0
48,0.0333425,0.0231924,0,0,0,0,0,0,0.0435826,0.0165406,0.0349184,0.0481479,0,0,0.0295585,0,0.0329043,0.015869,0.039103,0.0388168,0.0226476,0.0182115,0.0535598,0.0291154,0.0608498,0.0611528,0.06121,0.0558355,0.0208048,0.0252192,0.0177286,0.0475825,0.0234053,0.0210482,0.0128971,0.012041,0.0213571,0.108974,0.0290389,0,0,0.0250662,0,0.0113992,0.0183,0.0470029,0.0446878,0.0260886,0.0706711,0.03725,0.0239048,0.0311237,0.0211612,0.0344761,0.036029,0.0294078,0.0172793,0.0208534,0.0304967,0.0244022,0.0167637,0.0178653,0.0057215,0.0234245,0.0339817,0,0,0,0,0,0,0,0,0.0238819,0.00672438,0,0,0
49,0.0338316,0.0234605,0,0,0,0,0,0,0.0420813,0.0165806,0.0346683,0.0499492,0,0,0.029767,0,0.0328659,0.0160038,0.0392292,0.0397969,0.021164,0.0184145,0.0533676,0.0292803,0.0598619,0.0603253,0.0601564,0.0550106,0.0204575,0.0244427,0.0176516,0.0456825,0.023705,0.0210381,0.0139431,0.0119835,0.0222137,0.109252,0.029477,0,0,0.0251311,0,0.0113623,0.0182788,0.0473423,0.0465575,0.0258435,0.0718197,0.0368972,0.0240469,0.031539,0.0210105,0.0347522,0.0368309,0.030329,0.0169336,0.0214452,0.0318137,0.0267941,0.0172847,0.0177587,0.00566577,0.0234435,0.0343283,0,0,0,0,0,0,0,0,0.0236502,0.0067052,0,0,0
50,0.0343587,0.0237237,0,0,0,0,0,0,0.0403934,0.0166371,0.0339411,0.0515454,0,0,0.0299391,0,0.0328074,0.0160485,0.0393664,0.0401345,0.0198459,0.0186062,0.053048,0.0294924,0.0591467,0.0595783,0.0592549,0.0543023,0.0202,0.0236218,0.0174067,0.0438491,0.0240295,0.021013,0.0149132,0.0119747,0.0229619,0.109254,0.0300123,0,0,0.0252619,0,0.0113609,0.0182689,0.0476616,0.0481041,0.0256786,0.0729541,0.0366015,0.0242304,0.0319912,0.0209863,0.0349422,0.03761,0.0310609,0.0165247,0.0218962,0.0327776,0.0287621,0.0178359,0.0177006,0.00559766,0.0233405,0.0347159,0,0,0,0,0,0,0,0,0.0234489,0.00666175,0,0,0
51,0.0349696,0.0239609,0,0,0,0,0,0,0.038659,0.0166966,0.032914,0.0527672,0,0,0.0301406,0,0.0327483,0.0159624,0.0394622,0.0399806,0.0187514,0.018549,0.0525811,0.0297074,0.0586758,0.0589143,0.0584016,0.0537584,0.0199579,0.0227185,0.0170415,0.0420954,0.024338,0.0209837,0.0156109,0.0119543,0.0236698,0.108994,0.0306066,0,0,0.025459,0,0.011387,0.0182245,0.047946,0.0493604,0.0255691,0.0740888,0.0362688,0.0244496,0.03248,0.0210261,0.0351033,0.0382882,0.0316007,0.0161122,0.022278,0.0333942,0.0301427,0.0184333,0.0175285,0.00553511,0.0231667,0.0351792,0,0,0,0,0,0,0,0,0.0232811,0.00661467,0,0,0
52,0.0356678,0.0241803,0,0,0,0,0,0,0.0369843,0.0167263,0.0316916,0.0536437,0,0,0.0304571,0,0.0326725,0.0158901,0.0396156,0.0394214,0.017804,0.0182257,0.0519586,0.0299096,0.0580871,0.0582425,0.0576356,0.0533084,0.0196772,0.0217287,0.0166275,0.0407627,0.0245852,0.0209383,0.0160892,0.0118835,0.0241682,0.108588,0.0313178,0,0,0.0255204,0,0.0113572,0.0181362,0.0481811,0.0502891,0.0254763,0.0751921,0.0358262,0.024742,0.0329816,0.0211206,0.0352956,0.0388542,0.0319827,0.0157077,0.0226105,0.0337793,0.031122,0.0190453,0.0173101,0.0054867,0.0229311,0.0357385,0,0,0,0,0,0,0,0,0.0231223,0.00660931,0,0,0
53,0.0364465,0.0243579,0,0,0,0,0,0,0.0354788,0.0167113,0.030338,0.0541975,0,0,0.0308281,0,0.0326111,0.0159614,0.0398691,0.0385106,0.0169371,0.017834,0.0512396,0.0301026,0.0570531,0.0576401,0.0570226,0.0528759,0.0193012,0.0206673,0.0161818,0.0398556,0.024779,0.0209015,0.016569,0.0117791,0.0246307,0.108097,0.0321441,0,0,0.0255556,0,0.0112671,0.0180093,0.0483304,0.051116,0.0254262,0.076201,0.0353659,0.0250902,0.0334142,0.0211563,0.035519,0.0393824,0.0323049,0.01531,0.0228794,0.0341124,0.0320402,0.0196692,0.0171545,0.00542783,0.0226886,0.0363783,0,0,0,0,0,0,0,0,0.0229369,0.00668491,0,0,0
54,0.037214,0.0244856,0,0,0,0,0,0,0.0342135,0.0167129,0.0289024,0.0544587,0,0,0.03112,0,0.032637,0.0161404,0.0401886,0.0373874,0.0161743,0.0173771,0.0504764,0.0303168,0.0562114,0.0570452,0.0565656,0.0524311,0.01881,0.0195362,0.0156687,0.0392998,0.0249493,0.0209164,0.0170936,0.0116814,0.0251041,0.107577,0.0329737,0,0,0.0256859,0,0.011156,0.0179262,0.048271,0.0518865,0.0253855,0.0770011,0.0348703,0.0254425,0.0338287,0.0210269,0.035731,0.0399312,0.0325916,0.0149429,0.023171,0.0345432,0.0330316,0.0202772,0.0169885,0.00536066,0.0224762,0.0369984,0,0,0,0,0,0,0,0,0.0227021,0.00672966,0,0,0
55,0.0379317,0.0246245,0,0,0,0,0,0,0.0332547,0.0167271,0.027562,0.0543901,0,0,0.0312661,0,0.0327281,0.0164215,0.0404912,0.0363261,0.0155117,0.0166003,0.0496184,0.0305497,0.0556327,0.056504,0.0560197,0.0519647,0.0182565,0.0184768,0.0151374,0.0391802,0.0251496,0.0209495,0.0175059,0.0115912,0.0255619,0.107031,0.0337471,0,0,0.0259052,0,0.0110599,0.0181027,0.0481299,0.0525958,0.0253282,0.0776411,0.03438,0.0258012,0.034287,0.0208669,0.0358079,0.0405114,0.0327959,0.0145969,0.0234999,0.03491,0.0339628,0.0208654,0.0167415,0.00532562,0.0222969,0.0375569,0,0,0,0,0,0,0,0,0.0224348,0.00672551,0,0,0
56,0.0387873,0.024931,0,0,0,0,0,0,0.0328885,0.0167294,0.026571,0.0540657,0,0,0.0314418,0,0.0327792,0.0166836,0.0406119,0.0359143,0.0148846,0.0157076,0.0486504,0.0309269,0.0551459,0.0560547,0.0554514,0.0515096,0.017725,0.0176894,0.0147581,0.0398042,0.0255081,0.0209734,0.0171651,0.0115283,0.0257807,0.106473,0.034635,0,0,0.0260946,0,0.0109971,0.0183114,0.0484772,0.0520389,0.0254669,0.0785472,0.0341478,0.0263037,0.0347442,0.021422,0.0361893,0.0409985,0.0327276,0.0141624,0.0235255,0.0345321,0.0331557,0.0214989,0.0165522,0.00531707,0.0222213,0.0382487,0,0,0,0,0,0,0,0,0.0221595,0.00680151,0,0,0
57,0.0395581,0.0252656,0,0,0,0,0,0,0.0334504,0.0167418,0.0264012,0.0537434,0,0,0.0315216,0,0.0328217,0.0166596,0.0407306,0.0362986,0.0142831,0.0156277,0.0477123,0.0313434,0.0547185,0.0557479,0.0550078,0.0511607,0.0172389,0.0173175,0.014674,0.0414156,0.025835,0.0209868,0.0169236,0.0114786,0.0260796,0.106138,0.0354631,0,0,0.0262187,0,0.0109929,0.0183224,0.0486652,0.0515721,0.0255639,0.0793317,0.0338776,0.0267788,0.0351684,0.0218767,0.0365035,0.041461,0.0326527,0.0137216,0.0235189,0.0341475,0.0326151,0.0220715,0.0163365,0.00529378,0.0221339,0.0388714,0,0,0,0,0,0,0,0,0.0218599,0.00684123,0,0,0
58,0.0402048,0.025522,0,0,0,0,0,0,0.0353937,0.0167836,0.0274484,0.0535608,0,0,0.0315474,0,0.0328359,0.016498,0.0408929,0.0373357,0.0136901,0.0156962,0.0468299,0.0316376,0.0544776,0.0555701,0.0546642,0.0509378,0.0168884,0.0175398,0.0150197,0.0444337,0.0260276,0.0209926,0.0170567,0.0114368,0.0262934,0.106098,0.0361836,0,0,0.0263698,0,0.0109919,0.0181864,0.0485911,0.0515311,0.0256079,0.0800548,0.033495,0.0271805,0.0355872,0.022045,0.0367314,0.041978,0.0326859,0.013314,0.0236294,0.0339923,0.0325844,0.0225287,0.0161285,0.00523804,0.0220721,0.0393768,0,0,0,0,0,0,0,0,0.0215359,0.00690332,0,0,0
59,0.0407752,0.0256854,0,0,0,0,0,0,0.0385513,0.0168148,0.0294818,0.0534392,0,0,0.0315614,0,0.0328805,0.0163969,0.0410832,0.0388332,0.0130902,0.0159276,0.0459829,0.0319077,0.0543359,0.0555161,0.0543918,0.0508094,0.0166764,0.0183537,0.0157597,0.0486564,0.0262081,0.0209873,0.017146,0.0114103,0.0265813,0.106313,0.0367961,0,0,0.0265072,0,0.0109823,0.018092,0.0484306,0.0516505,0.0256171,0.0807646,0.0330447,0.0274796,0.0360176,0.0220843,0.0369235,0.0425796,0.0327713,0.0129604,0.0237692,0.0339662,0.0328184,0.0228874,0.0160826,0.00520039,0.0219845,0.0398359,0,0,0,0,0,0,0,0,0.0211218,0.00690481,0,0,0
60,0.041329,0.0257583,0,0,0,0,0,0,0.0423558,0.0168591,0.0322161,0.0534277,0,0,0.0316642,0,0.0327937,0.0164889,0.0412827,0.0407589,0.0124883,0.0164644,0.0451854,0.0321956,0.0542679,0.0555381,0.0542237,0.0507927,0.0165834,0.019612,0.0167659,0.0535451,0.0264504,0.0209483,0.0171499,0.0113909,0.0269042,0.106623,0.0373455,0,0,0.0266077,0,0.0109661,0.0182514,0.0484374,0.0515417,0.0256637,0.0815866,0.0326551,0.0276843,0.0364064,0.0222805,0.0372432,0.043211,0.0328617,0.0126162,0.0238446,0.0338193,0.0327779,0.0231675,0.0160477,0.0051975,0.021939,0.0403139,0,0,0,0,0,0,0,0,0.0206637,0.00686132,0,0,0
61,0.0417784,0.0257453,0,0,0,0,0,0,0.0462063,0.0169112,0.0351127,0.0536415,0,0,0.0316896,0,0.0326277,0.0166532,0.0415559,0.0428368,0.0119264,0.0171647,0.0445274,0.0323468,0.0542683,0.0555941,0.0541924,0.0508994,0.0166352,0.02103,0.0178479,0.058472,0.0265837,0.0208839,0.0173687,0.0113834,0.0272454,0.106896,0.0377932,0,0,0.0267565,0,0.0109765,0.0183694,0.0484475,0.0515306,0.0256425,0.0822867,0.0322476,0.0278263,0.0367976,0.0224211,0.0374338,0.0437148,0.032957,0.0123,0.0239711,0.0337305,0.0328184,0.023331,0.015894,0.00517738,0.021894,0.0407043,0,0,0,0,0,0,0,0,0.0202648,0.00681801,0,0,0
62,0.0421093,0.0257277,0,0,0,0,0,0,0.0494715,0.0169569,0.0374803,0.0540246,0,0,0.0316375,0,0.0324968,0.0167546,0.0418927,0.0445925,0.0114905,0.0177648,0.0439634,0.0324461,0.0543501,0.0556637,0.0542958,0.0510662,0.0168739,0.0224042,0.0188302,0.0629273,0.0266671,0.0208314,0.0177493,0.011415,0.0275576,0.107135,0.0381745,0,0,0.0269073,0,0.0110025,0.0184412,0.0484558,0.0516955,0.0255555,0.0828607,0.0318302,0.0279575,0.037126,0.02248,0.0376385,0.0440332,0.0330698,0.0120411,0.0241339,0.0337354,0.0330665,0.0234502,0.0157862,0.00518123,0.0218802,0.0410137,0,0,0,0,0,0,0,0,0.0199993,0.00677997,0,0,0
