Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
149,0.0436522,0.0292642,0,0,0,0,0,0,0.0107881,0.0276108,0.0136091,0.0621855,0,0,0.0260182,0,0.00931011,0.0103144,0.0346131,0.0198084,0.0197904,0.0367939,0.0419294,0.0259399,0.0239857,0.0167789,0.023513,0.0482311,0.024665,0.0232745,0.0207175,0.0163891,0.0216406,0.0285755,0.0170996,0,0.0581962,0.0147657,0.0650367,0.114398,0.0431888,0,0,0.0391717,0,0.0161528,0.0214744,0.0517396,0.0445229,0.0275184,0.0824237,0.0373022,0.0376321,0.0163003,0.0398633,0.0706937,0.0404921,0.0451109,0.0195247,0.0246071,0.0281991,0.0564678,0.0314025,0.00897442,0.007947,0.0280468,0.0442808,0,0,0,0,0,0,0,0
150,0.0434822,0.0288623,0,0,0,0,0,0,0.0115277,0.0276815,0.0142,0.0624887,0,0,0.0256099,0,0.00921111,0.010022,0.0344642,0.0191872,0.0198404,0.0371352,0.0427744,0.0256554,0.023887,0.016887,0.0241089,0.0484917,0.0244459,0.0230389,0.0204795,0.0163074,0.0222867,0.028156,0.0170857,0.00724757,0.0572304,0.0147488,0.0636902,0.115078,0.0430367,0,0,0.0389168,0,0.0160985,0.0212228,0.0516927,0.0439377,0.0276202,0.0810301,0.0377485,0.0372395,0.0151787,0.0403747,0.0710484,0.0401136,0.0443088,0.0190477,0.0244496,0.0273766,0.055121,0.030928,0.00899744,0.00799898,0.0279415,0.0441304,0,0,0,0,0,0,0,0
151,0.0435955,0.0289782,0,0,0,0,0,0,0.0127315,0.0276248,0.0154236,0.0624582,0,0,0.0255602,0,0.00926877,0.00996675,0.0344058,0.0189946,0.0200393,0.037492,0.0427361,0.025612,0.0242286,0.0171986,0.0247818,0.0489477,0.0243812,0.0231063,0.0205259,0.0162769,0.0234897,0.0280695,0.0171183,0.00710151,0.0559216,0.0146926,0.0623625,0.115425,0.0430588,0,0,0.0390061,0,0.0160516,0.021357,0.0518031,0.0431454,0.0283342,0.0795368,0.0380378,0.0372158,0.0140184,0.0410079,0.0712224,0.0396438,0.0435489,0.018579,0.0243878,0.0266532,0.053618,0.0310147,0.00893501,0.00798281,0.0282691,0.0442023,0,0,0,0,0,0,0,0
152,0.0438477,0.0293385,0,0,0,0,0,0,0.0134104,0.0275438,0.016403,0.0622467,0,0,0.0256167,0,0.00926487,0.00996492,0.0346802,0.0184152,0.0204218,0.0375161,0.0424692,0.0257487,0.02471,0.0175872,0.0253717,0.0493657,0.0244596,0.0232596,0.0206665,0.0161512,0.0242045,0.0281355,0.0171251,0.00720108,0.0542081,0.0146632,0.0607182,0.115508,0.0431605,0,0,0.0393146,0,0.0160527,0.0215303,0.0519898,0.0422197,0.0287407,0.0781039,0.0385055,0.0372985,0.0128007,0.041874,0.0715107,0.0390781,0.0429064,0.0182872,0.0245623,0.0259238,0.051751,0.0312969,0.00893907,0.00797175,0.0287664,0.0443588,0,0,0,0,0,0,0,0
153,0.044241,0.0297515,0,0,0,0,0,0,0.0134729,0.0274599,0.0165343,0.0619813,0,0,0.0256228,0,0.00925624,0.00998993,0.0350161,0.017387,0.0209603,0.0375549,0.0422187,0.0259307,0.0254331,0.0182021,0.0259023,0.0495821,0.0247083,0.0235029,0.0208589,0.0159055,0.0244133,0.0282594,0.0171324,0.00734545,0.0522955,0.0146341,0.0589124,0.115517,0.0432912,0,0,0.0396112,0,0.0160981,0.0216357,0.0521981,0.0411543,0.0287939,0.0766755,0.039129,0.0374258,0.0116466,0.0430381,0.0719236,0.0385404,0.042496,0.0181092,0.0249169,0.0252929,0.0497231,0.031562,0.00888824,0.00792621,0.0292342,0.0446734,0,0,0,0,0,0,0,0
154,0.0445989,0.0302159,0,0,0,0,0,0,0.0133657,0.027299,0.0160666,0.0614446,0,0,0.0258302,0,0.00938201,0.0102263,0.0351129,0.0164025,0.0215003,0.0377211,0.041825,0.0263664,0.0264755,0.019153,0.0263648,0.0496278,0.0250309,0.023873,0.0210517,0.0156023,0.0243162,0.0285294,0.0171541,0,0.0508172,0.0145943,0.057341,0.115367,0.0434853,0,0,0.0398037,0,0.0160575,0.0216647,0.0522728,0.0403109,0.0289252,0.0755767,0.0398185,0.0376005,0.0105245,0.0438362,0.0721675,0.038007,0.0421439,0.0179356,0.0251727,0.0247656,0.0478965,0.0317786,0.0087662,0.00787397,0.0297019,0.044959,0,0,0,0,0,0,0,0
155,0.0449191,0.0305945,0,0,0,0,0,0,0.0135752,0.027206,0.0159389,0.0606544,0,0,0.0257906,0,0.00948019,0.0101448,0.0350116,0.0161387,0.0219024,0.0381237,0.0415721,0.0264634,0.0275196,0.0201433,0.0267181,0.0494847,0.0254102,0.0241083,0.0214327,0.0152213,0.0244988,0.0286792,0.0171711,0,0.0499331,0.014547,0.0561272,0.115262,0.0437389,0,0,0.0398381,0,0.0159116,0.0216723,0.0520588,0.0395151,0.029159,0.0747298,0.04051,0.0377198,0.00951596,0.0443585,0.0721406,0.037409,0.0415696,0.0178681,0.025389,0.0242838,0.046757,0.031806,0.00860139,0.00780301,0.0299965,0.0451939,0,0,0,0,0,0,0,0
156,0.0452084,0.030894,0,0,0,0,0,0,0.014,0.0271142,0.0161095,0.059663,0,0,0.0258006,0,0.00954597,0.0100664,0.0350426,0.0158738,0.0222495,0.0386011,0.0413878,0.0266007,0.0282317,0.0208455,0.0268429,0.049233,0.0257008,0.0241319,0.0217651,0.014796,0.0249011,0.0288529,0.0171699,0,0.0493058,0.0145014,0.0551773,0.115079,0.0440127,0,0,0.0398609,0,0.0157968,0.0216363,0.0515506,0.038779,0.0292753,0.0741184,0.0411407,0.0377212,0.00863996,0.0446784,0.0718548,0.036663,0.0410135,0.0178824,0.0255493,0.0238902,0.0458634,0.0317663,0.00852785,0.00774249,0.0301726,0.0453462,0,0,0,0,0,0,0,0
157,0.0456794,0.0314527,0,0,0,0,0,0,0.0147968,0.0270931,0.0167316,0.0583505,0,0,0.0258676,0,0.00943352,0.00987281,0.0354241,0.0154658,0.0229692,0.0390063,0.0407495,0.0269354,0.0284453,0.0210653,0.0266211,0.0489555,0.025916,0.0242866,0.0218705,0.0143237,0.0256771,0.0291106,0.0171514,0.00818602,0.0485595,0.0143968,0.0539598,0.114479,0.0444386,0,0,0.0400826,0,0.0157341,0.0217372,0.0509025,0.0376592,0.029483,0.0735117,0.0419703,0.0379204,0.0078447,0.0448869,0.0717351,0.0359513,0.0407059,0.0178217,0.0258255,0.0237495,0.0450453,0.0320292,0.00840882,0.00764021,0.0306019,0.0456542,0,0,0,0,0,0,0,0
158,0.0458644,0.0317848,0,0,0,0,0,0,0.0158022,0.0270496,0.017231,0.0571302,0,0,0.0261279,0,0.00943043,0.00991446,0.0354839,0.0150857,0.0233316,0.0391777,0.0404884,0.0272111,0.0285475,0.0214032,0.0263756,0.0486476,0.0260448,0.0244784,0.0215686,0.0140063,0.0265464,0.0293979,0.017162,0.00728171,0.048204,0.0143772,0.0529942,0.114083,0.0446205,0,0,0.0401583,0,0.0157283,0.0217714,0.0503239,0.0365263,0.0296113,0.0729172,0.0426047,0.0378916,0.00726039,0.0449773,0.0716842,0.0352554,0.0403718,0.017853,0.0263423,0.0236166,0.0449093,0.0321032,0.00846357,0.00767765,0.0308339,0.0458477,0,0,0,0,0,0,0,0
