Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII
115,0.045105,0.0335642,0,0,0,0,0,0,0.0372915,0.0239724,0.0351404,0.046373,0,0,0.0438336,0,0.0188066,0.0171815,0.0296159,0.0503309,0.01809,0.0458734,0.031006,0.0417108,0.02531,0.0270967,0.0139704,0.0370137,0.0369867,0.0371422,0.0330236,0.0187116,0.0510253,0.0425819,0.016921,0.00373417,0.0258514,0.00940531,0.0238146,0.097735,0.0424134,0,0,0.031077,0,0.0111933,0.0160238,0.0468594,0.0221108,0.0271058,0.06573,0.0501618,0.0239504,0.0405359,0.0272374,0.0439947,0.0241482,0.029074,0,0.02411,0.032921,0.0252703,0.00812185,0.00352376,0.0322289,0.0485743,0,0,0,0,0,0,0,0,0.0121624
116,0.044908,0.0335972,0,0,0,0,0,0,0.0368251,0.0239977,0.035325,0.0459916,0,0,0.0436847,0,0.0188033,0.0170624,0.0298177,0.0512871,0.0181233,0.0464701,0.0311656,0.0417573,0.025256,0.0271174,0.0138902,0.0366638,0.0375713,0.0377131,0.033325,0.0186631,0.0509975,0.0423657,0.0169204,0.00342952,0.0259622,0.00948077,0.0230902,0.0976485,0.0422201,0,0,0.0309782,0,0.011208,0.0159073,0.0469809,0.0224392,0.0268166,0.0660271,0.0502082,0.0238923,0.0398311,0.0267008,0.0435473,0.0219153,0.0274369,0.0171792,0.0214971,0.0331872,0.0251991,0.00785446,0.0034907,0.0322921,0.0484203,0,0,0,0,0,0,0,0,0.0137713
117,0.0446581,0.0335697,0,0,0,0,0,0,0.0363134,0.024036,0.0354067,0.0458194,0,0,0.043502,0,0.0187988,0.0168942,0.0300629,0.0521365,0.0182241,0.0470551,0.0314399,0.0418319,0.0251169,0.027152,0.0137369,0.0362574,0.0382322,0.0383758,0.0336957,0.0185938,0.0509437,0.0420925,0.016919,0.00329138,0.026182,0.00956295,0.0229811,0.0978565,0.0419884,0,0,0.0308119,0,0.0112123,0.015855,0.0467967,0.0239411,0.0266252,0.0662577,0.0501936,0.0237874,0.0389635,0.0261481,0.0429862,0.0200293,0.0261363,0.015256,0.0193397,0.0334394,0.0250706,0.00769292,0.00342757,0.0323119,0.0482456,0,0,0,0,0,0,0,0,0.0154362
118,0.0444469,0.0335098,0,0,0,0,0,0,0.0357486,0.024022,0.0355783,0.0458215,0,0,0.0433695,0,0.018907,0.0167579,0.0303203,0.0528012,0.0184486,0.0477214,0.0317596,0.0420551,0.0249484,0.0272767,0.0136102,0.0358161,0.0389852,0.0391315,0.0341592,0.0185501,0.0508882,0.041841,0.016933,0.00329582,0.0266791,0.00957681,0.0233038,0.0982848,0.0418409,0,0,0.0306235,0,0.0112027,0.0157934,0.0462213,0.0260132,0.0267319,0.0658142,0.0502196,0.023643,0.0383121,0.0256372,0.0425191,0.0182046,0.0256212,0.0140763,0.0173312,0.0340789,0.0248737,0.00755656,0.00339978,0.0322762,0.0481512,0,0,0,0,0,0,0,0,0.0164951
119,0.0442855,0.0334401,0,0,0,0,0,0,0.0350173,0.023917,0.0358552,0.0458182,0,0,0.0432945,0,0.0191079,0.0167563,0.0306412,0.0531463,0.0187586,0.0482923,0.0319449,0.0423926,0.0247567,0.0272878,0.0135654,0.0353806,0.0397719,0.0399305,0.0344897,0.0184189,0.0508677,0.0416346,0.0169713,0.00342228,0.0275989,0.00949771,0.0240953,0.0986526,0.0418054,0,0,0.0303764,0,0.0111009,0.0157386,0.0456851,0.0283907,0.0271696,0.0643589,0.0503671,0.0235183,0.0380334,0.0253011,0.0420012,0.017056,0.0257722,0.0140637,0.0161277,0.0352272,0.0246806,0.00729492,0.00334507,0.03216,0.048136,0,0,0,0,0,0,0,0,0.0166658
120,0.0440835,0.0333043,0,0,0,0,0,0,0.0341391,0.0237643,0.0361735,0.0457507,0,0,0.0432143,0,0.0193557,0.0168986,0.03105,0.0532868,0.0190955,0.0488897,0.0319962,0.0426996,0.0245962,0.0272603,0.0136111,0.0349959,0.0405725,0.040696,0.0347935,0.0182158,0.050698,0.0414325,0.0170339,0.00361009,0.0288877,0.009421,0.0248567,0.0989154,0.0417981,0,0,0.0301371,0,0.0109862,0.0157275,0.0452242,0.0304916,0.0277915,0.0625304,0.0505936,0.0234552,0.0380557,0.0249634,0.0414604,0.0170234,0.0260855,0.0144472,0.0160493,0.0371201,0.0245809,0.00683916,0.00313032,0.0320065,0.0481376,0,0,0,0,0,0,0,0,0.016143
121,0.0437988,0.0330758,0,0,0,0,0,0,0.0332256,0.0235934,0.0364824,0.0456769,0,0,0.0431652,0,0.01962,0.0171184,0.0314942,0.0533193,0.0194281,0.0493992,0.0320186,0.0429396,0.024384,0.0274198,0.0137544,0.0346965,0.0413741,0.0414302,0.0350109,0.0179919,0.0505501,0.0412265,0.0171209,0.00355143,0.0305533,0.0093836,0.0252256,0.0991524,0.0417547,0,0,0.0299356,0,0.0109038,0.0157073,0.0447332,0.0320143,0.0284591,0.0613971,0.0507444,0.0234468,0.0381912,0.0246279,0.0409521,0.0177509,0.0261495,0.0148609,0.0167198,0.0395165,0.0245814,0.00638167,0.00293705,0.0318494,0.0480863,0,0,0,0,0,0,0,0,0.0153577
122,0.0435239,0.0329517,0,0,0,0,0,0,0.0325502,0.0233938,0.0365607,0.0455523,0,0,0.0433331,0,0.0198997,0.0173653,0.0319838,0.0529213,0.0197761,0.0496874,0.0317786,0.043275,0.0241645,0.027627,0.0141091,0.0344986,0.0420957,0.0420783,0.0351751,0.017681,0.0503428,0.0411957,0.0172209,0.00354351,0.0322189,0.00932996,0.0250691,0.0992842,0.0416758,0,0,0.0298138,0,0.0108675,0.0155631,0.044217,0.0330676,0.029155,0.0613686,0.050864,0.0235383,0.0381601,0.0243601,0.0405907,0.0186374,0.0260016,0.0149364,0.0176317,0.0417554,0.0247609,0.00608315,0.00275548,0.0318722,0.0480013,0,0,0,0,0,0,0,0,0.0144953
123,0.0432551,0.0330142,0,0,0,0,0,0,0.0320248,0.0231566,0.0364335,0.0454613,0,0,0.0437164,0,0.0201949,0.0175472,0.0325283,0.0521525,0.0201266,0.0498118,0.0312942,0.0436897,0.0238832,0.0276612,0.01462,0.0344618,0.0426944,0.0425916,0.0351483,0.0172796,0.0502343,0.041358,0.0173029,0.00365355,0.033249,0.00926303,0.0245959,0.0993038,0.041562,0,0,0.0298461,0,0.0108366,0.0153975,0.043637,0.0339941,0.0297535,0.0619451,0.0509709,0.0236689,0.0379777,0.024081,0.0401592,0.0194075,0.0257844,0.0151644,0.0183722,0.0430866,0.0250282,0.00592937,0.00256437,0.0320657,0.0479324,0,0,0,0,0,0,0,0,0.0135993
124,0.042972,0.0331889,0,0,0,0,0,0,0.031419,0.0229092,0.0360918,0.0453849,0,0,0.0442526,0,0.0204969,0.0176963,0.0331857,0.0509075,0.0204604,0.0496283,0.0307168,0.0440708,0.0236082,0.0274624,0.0152211,0.0345756,0.0431603,0.0429475,0.0350466,0.016777,0.0501404,0.0416292,0.0173685,0.00379466,0.0331218,0.00918494,0.0238346,0.099372,0.0414161,0,0,0.0300309,0,0.0108489,0.0152346,0.043062,0.0344663,0.0301477,0.0624896,0.0510634,0.0237533,0.0375624,0.0236141,0.0395406,0.019951,0.0254473,0.0152663,0.0188454,0.0429455,0.0252993,0.00587935,0.00260662,0.0323175,0.0478435,0,0,0,0,0,0,0,0,0.0131391
125,0.042773,0.0334422,0,0,0,0,0,0,0.0307674,0.0226337,0.035636,0.0453772,0,0,0.0448799,0,0.0208395,0.017896,0.0339888,0.0491862,0.0207961,0.0491671,0.0302583,0.0444278,0.0233111,0.0271523,0.0158579,0.0347622,0.0435096,0.0431601,0.0349003,0.01618,0.0500684,0.0419919,0.0174568,0.00392459,0.0319672,0.00906381,0.023006,0.0997003,0.0412991,0,0,0.0302403,0,0.0108282,0.0152458,0.0426356,0.0342426,0.0303508,0.0626531,0.0511497,0.023786,0.0369558,0.0228535,0.0387674,0.0201357,0.0248575,0.0151682,0.0189168,0.041593,0.0255143,0.00587586,0.00263881,0.0325831,0.0477096,0,0,0,0,0,0,0,0,0.0135934
126,0.0426496,0.0337304,0,0,0,0,0,0,0.0300693,0.0223448,0.0349931,0.0455512,0,0,0.045539,0,0.0212052,0.0181057,0.0348587,0.0470949,0.0210397,0.0483644,0.0300013,0.0446973,0.0228929,0.0269982,0.0165467,0.0350377,0.0436806,0.0431743,0.0346536,0.0155612,0.0499609,0.0422983,0.0175779,0.00405109,0.0306662,0.0088816,0.0224581,0.10023,0.0411988,0,0,0.0304386,0,0.0107187,0.0155101,0.0424168,0.0334615,0.0303904,0.0623813,0.0511878,0.0237144,0.0361711,0.0218689,0.0378806,0.0200442,0.0239125,0.014961,0.0186958,0.039893,0.0256589,0.00594101,0.00264164,0.0328781,0.0476072,0,0,0,0,0,0,0,0,0.0149077
127,0.0424903,0.0339432,0,0,0,0,0,0,0.0290312,0.0221179,0.0340315,0.0458502,0,0,0.0460395,0,0.0215597,0.0182639,0.0357244,0.0449037,0.021148,0.0471009,0.0299389,0.044737,0.0221675,0.0264911,0.0171859,0.0354436,0.0435623,0.0429423,0.0341842,0.0149512,0.0495002,0.0424175,0.0177209,0.00418034,0.0297067,0.00870124,0.0224001,0.100823,0.0410736,0,0,0.0305455,0,0.0105688,0.0157734,0.042323,0.0322775,0.0302329,0.062001,0.0511581,0.0234839,0.0353567,0.0209371,0.03686,0.0199398,0.0227179,0.0147987,0.0185332,0.0385018,0.0256913,0.00593722,0.00258554,0.0331326,0.0475407,0,0,0,0,0,0,0,0,0.016558
128,0.042345,0.0340047,0,0,0,0,0,0,0.0278987,0.0219352,0.0327327,0.0461993,0,0,0.04638,0,0.021839,0.0184424,0.0365221,0.0423687,0.0211447,0.045553,0.0299696,0.0446299,0.0213408,0.0257893,0.0178681,0.035856,0.0431675,0.0423984,0.0335396,0.0142832,0.0479551,0.0423937,0.0178074,0.0042398,0.0293639,0.00857326,0.0228853,0.101276,0.0409984,0,0,0.0305512,0,0.0104212,0.0159484,0.042285,0.0313797,0.0298481,0.0619786,0.0509353,0.0231642,0.0345462,0.0201731,0.035807,0.0202133,0.0215245,0.0148886,0.0188461,0.0374835,0.0256578,0.00569233,0.00251577,0.0332554,0.0474561,0,0,0,0,0,0,0,0,0.0180269
129,0.042183,0.0339402,0,0,0,0,0,0,0.026145,0.0217923,0.0314748,0.0465309,0,0,0.0464587,0,0.0220348,0.018447,0.0373048,0.0396937,0.0209704,0.0438052,0.0300447,0.0443303,0.0203906,0.0246473,0.0183257,0.0360841,0.0424649,0.0415657,0.0327049,0.0135754,0.0458143,0.042125,0.0178603,0.00425762,0.029103,0.00844442,0.0235378,0.101509,0.0409252,0,0,0.0305087,0,0.0102385,0.0159159,0.0422025,0.0311196,0.029274,0.0625883,0.0505992,0.0227994,0.0338744,0.0196026,0.0350929,0.0208323,0.0204614,0.0151226,0.0194142,0.0365222,0.0255736,0.00540818,0.00246711,0.0332738,0.0472769,0,0,0,0,0,0,0,0,0.0189661
130,0.0419813,0.0336755,0,0,0,0,0,0,0.0252333,0.0217517,0.0302607,0.0469524,0,0,0.0461838,0,0.0221386,0.0182254,0.038092,0.0364906,0.0207061,0.0422104,0.0301938,0.0438924,0.0195444,0.0234912,0.018649,0.0361277,0.041561,0.040597,0.0317908,0.0128943,0.0425468,0.0416866,0.0178701,0.00421225,0.0286709,0.00837341,0.0239968,0.101649,0.0408613,0,0,0.0302985,0,0.0101577,0.0155984,0.0420582,0.0314867,0.0285282,0.0636952,0.0500541,0.0223917,0.033474,0.0191155,0.0348923,0.0216207,0.0195882,0.0152725,0.0199631,0.0353994,0.0253373,0.00530833,0.00240834,0.0329998,0.0470155,0,0,0,0,0,0,0,0,0.0192732
131,0.0417427,0.033235,0,0,0,0,0,0,0.0247825,0.0218035,0.0291667,0.0474585,0,0,0.0456253,0,0.0221228,0.0179016,0.0388228,0.0330012,0.0202988,0.040868,0.030461,0.043342,0.0187159,0.0222701,0.0188106,0.0361878,0.040594,0.0395898,0.0307426,0.0123655,0.0387331,0.0411088,0.0178376,0.00408586,0.0282386,0.00837514,0.024267,0.101749,0.0408053,0,0,0.0299301,0,0.0101072,0.0152152,0.0418276,0.03243,0.0276588,0.0649875,0.0492687,0.0219106,0.0333889,0.0186407,0.0351069,0.0223957,0.0188888,0.0153114,0.020332,0.0341367,0.0249383,0.0051508,0.00237739,0.0324253,0.0466913,0,0,0,0,0,0,0,0,0.0193091
132,0.0414507,0.0326875,0,0,0,0,0,0,0.0248004,0.0219156,0.0280145,0.0480672,0,0,0.0449199,0,0.0220021,0.0175414,0.0394267,0.0292346,0.0197618,0.0395972,0.0308195,0.0427146,0.0179114,0.0213244,0.0188286,0.0363877,0.0396626,0.0386299,0.0297916,0.0120888,0.0339763,0.040441,0.0177702,0.00381925,0.0275457,0.00841767,0.0243239,0.101848,0.0406984,0,0,0.0293817,0,0.0100654,0.0148268,0.0415797,0.0337009,0.0267559,0.0662311,0.0482985,0.0213894,0.0336736,0.0182603,0.0357471,0.0229588,0.0183061,0.0153091,0.0204804,0.0324614,0.0244374,0.00486946,0.00235295,0.0316365,0.0462539,0,0,0,0,0,0,0,0,0.0194333
133,0.0411579,0.0321081,0,0,0,0,0,0,0.0244721,0.0220533,0.0266958,0.0486422,0,0,0.0441338,0,0.0218668,0.0171758,0.039832,0.0250571,0.0190823,0.0381074,0.0310854,0.0421225,0.0171118,0.0199962,0.0187337,0.0367272,0.038855,0.0377823,0.0289442,0.0121343,0.0283775,0.0397421,0.0177165,0.00351206,0.0267127,0.00844966,0.0243759,0.10177,0.0405681,0,0,0.0288425,0,0.0100359,0.0145927,0.0415318,0.0349747,0.0259906,0.0673336,0.0471934,0.020896,0.0342611,0.0180849,0.0367114,0.0233449,0.0178206,0.0154061,0.0206225,0.0305553,0.0239401,0.00470314,0.00233792,0.0307637,0.0457746,0,0,0,0,0,0,0,0,0.0196389
134,0.0409847,0.0316542,0,0,0,0,0,0,0.0242678,0.0221626,0.0252789,0.0489393,0,0,0.043392,0,0.0218448,0.0168497,0.0400084,0.0205908,0.0182591,0.0362588,0.0310703,0.0416406,0.0163507,0.01833,0.0186704,0.0371351,0.0382167,0.037074,0.0282061,0.0124819,0.0222747,0.0391607,0.017676,0.00340015,0.0259855,0.00845341,0.0246788,0.101274,0.040511,0,0,0.0285166,0,0.0100185,0.014518,0.0418201,0.0363384,0.0255178,0.0680489,0.0461835,0.0205417,0.0348806,0.0181943,0.0377003,0.0237329,0.0174134,0.015879,0.0210289,0.0288515,0.0235662,0.004613,0.00237235,0.0299735,0.0453373,0,0,0,0,0,0,0,0,0.0200881
135,0.0409203,0.0312466,0,0,0,0,0,0,0.0246612,0.0222349,0.0241119,0.0492028,0,0,0.0427048,0,0.0219179,0.0165426,0.0401474,0.0167289,0.017456,0.0344473,0.030947,0.0412747,0.0153839,0.0165987,0.018568,0.0375641,0.037697,0.0364177,0.0275462,0.0129998,0.0190711,0.0386744,0.0176416,0.00352564,0.0256272,0.00844504,0.025168,0.10077,0.0405441,0,0,0.0284169,0,0.00998745,0.0146003,0.0420321,0.0376806,0.0254061,0.0684425,0.0452423,0.0202672,0.0353662,0.0182098,0.0384729,0.0243046,0.0171273,0.016628,0.0218122,0.0276026,0.0233101,0.00458692,0.00246293,0.0292126,0.0449858,0,0,0,0,0,0,0,0,0.02064
136,0.0408145,0.0309215,0,0,0,0,0,0,0.0266107,0.0223031,0.023493,0.0494692,0,0,0.0421664,0,0.0220214,0.0163735,0.0403113,0.0138828,0.0167093,0.0329212,0.0307021,0.0410537,0.0141022,0.015124,0.0183988,0.0381373,0.0373284,0.0358755,0.0270267,0.0136456,0.0217058,0.0383326,0.0176363,0.00349097,0.0256551,0.00844222,0.0259934,0.10035,0.040651,0,0,0.0284543,0,0.00997553,0.014766,0.0421592,0.0392083,0.0256761,0.0686434,0.0443181,0.0201178,0.0354921,0.0181148,0.0387049,0.0251925,0.0168943,0.0172537,0.0230331,0.026724,0.023198,0.00465332,0.00248304,0.0285885,0.044778,0,0,0,0,0,0,0,0,0.0211735
137,0.040778,0.0306136,0,0,0,0,0,0,0.0299838,0.0223267,0.0228972,0.0499064,0,0,0.0418108,0,0.0220762,0.0163702,0.0405605,0.0119549,0.016044,0.0314694,0.0304549,0.040974,0.0127726,0.0139733,0.0182721,0.0388711,0.0370379,0.0355124,0.0267184,0.0143005,0.0270394,0.0381419,0.0176287,0.00341911,0.0259965,0.00843522,0.0270223,0.100347,0.0408372,0,0,0.0283169,0,0.00994858,0.014905,0.0422936,0.0405828,0.0262566,0.0689421,0.0434304,0.0200378,0.0354451,0.0179473,0.0384773,0.0262786,0.0166638,0.0177424,0.0244349,0.0262113,0.0231703,0.00469748,0.00241792,0.0280642,0.0447692,0,0,0,0,0,0,0,0,0.0215758
138,0.040886,0.0303585,0,0,0,0,0,0,0.0339,0.0222885,0.021798,0.0505854,0,0,0.0417455,0,0.0220655,0.0164676,0.0407576,0.0108038,0.0154656,0.0297383,0.0301809,0.0410888,0.0120082,0.012953,0.0181844,0.0396953,0.0366243,0.0351272,0.0264264,0.0150332,0.0322816,0.0382013,0.0176171,0.00339638,0.0264458,0.00841749,0.0280295,0.100778,0.0411391,0,0,0.0281873,0,0.00991377,0.0148906,0.0424244,0.0416764,0.0270649,0.0694825,0.0426758,0.0199937,0.0354661,0.0180086,0.0380721,0.0273485,0.0163263,0.0182307,0.0257003,0.0259411,0.0232469,0.00468115,0.0025291,0.0277276,0.0449943,0,0,0,0,0,0,0,0,0.0219583
139,0.0410825,0.0301198,0,0,0,0,0,0,0.0371449,0.0222781,0.0206196,0.0515881,0,0,0.0418443,0,0.0220977,0.0165539,0.0409075,0.0107658,0.0150003,0.0276875,0.0300364,0.0412935,0.0114191,0.0120509,0.0181213,0.0405821,0.0359334,0.0345956,0.0260377,0.0159439,0.0362625,0.0384107,0.0176142,0.00339907,0.026807,0.00839548,0.028663,0.10175,0.0415023,0,0,0.0281088,0,0.0098739,0.0147507,0.0426136,0.0421037,0.0277957,0.0703109,0.041891,0.0199574,0.035183,0.018307,0.0378907,0.0280895,0.0158745,0.0185545,0.0264252,0.0257564,0.0233683,0.00459856,0.00262759,0.0275291,0.0453823,0,0,0,0,0,0,0,0,0.0222782
140,0.0413218,0.0299087,0,0,0,0,0,0,0.0393216,0.0222943,0.0198547,0.0528489,0,0,0.0419743,0,0.0221464,0.01649,0.0409214,0.0119574,0.0146818,0.0255073,0.0300885,0.0415049,0.0109925,0.0114838,0.0178956,0.0415232,0.0350166,0.0339578,0.0257194,0.0169688,0.0387451,0.0386904,0.0176072,0.00337511,0.0269099,0.00839881,0.0288703,0.10316,0.0418787,0,0,0.0280411,0,0.00986999,0.0145833,0.0428052,0.0420019,0.0282059,0.071265,0.0410563,0.0199057,0.0350852,0.0187187,0.0380144,0.0283862,0.0153565,0.0186392,0.0265574,0.0254604,0.023483,0.00455383,0.00270913,0.027403,0.0458499,0,0,0,0,0,0,0,0,0.022669
141,0.0415043,0.0295703,0,0,0,0,0,0,0.0410132,0.0223264,0.0196863,0.0542066,0,0,0.0420292,0,0.0221169,0.0163034,0.0407459,0.0144424,0.0144789,0.0233339,0.0303764,0.0415979,0.0107502,0.011254,0.0175492,0.0424931,0.0339557,0.0332502,0.0255232,0.0179699,0.0401205,0.0388841,0.0175668,0.00334795,0.0265228,0.00843639,0.0288379,0.104716,0.0421511,0,0,0.027837,0,0.00988635,0.0143978,0.0428868,0.0419109,0.028176,0.0721746,0.0403551,0.0197392,0.0349804,0.0190859,0.0382305,0.0284609,0.014832,0.0185011,0.0263827,0.0248041,0.0234105,0.00448368,0.00274946,0.0272368,0.0462149,0,0,0,0,0,0,0,0,0.023221
142,0.0414649,0.0289208,0,0,0,0,0,0,0.0418891,0.0224577,0.0200619,0.0556653,0,0,0.0417264,0,0.0219559,0.0159931,0.0405144,0.0175575,0.0143874,0.0213086,0.0311098,0.0414311,0.00988824,0.0112734,0.017179,0.043499,0.0328073,0.0324139,0.0253244,0.0187936,0.0402793,0.0388153,0.0174932,0.00335857,0.0259472,0.00860237,0.028793,0.106377,0.04219,0,0,0.0274042,0,0.00999112,0.0141063,0.0428798,0.0421424,0.0276942,0.0729949,0.0396905,0.0193585,0.0347642,0.0191672,0.0384143,0.028566,0.0144112,0.0183888,0.0263436,0.0238358,0.023051,0.00429521,0.00259006,0.0268088,0.0462756,0,0,0,0,0,0,0,0,0.023849
143,0.041521,0.0285755,0,0,0,0,0,0,0.0414588,0.0225672,0.0205077,0.0570657,0,0,0.041618,0,0.0218413,0.0158557,0.0402178,0.0207874,0.0144512,0.0192524,0.031532,0.0413442,0.00893852,0.011597,0.0168345,0.0442734,0.0315541,0.0315012,0.0250308,0.0193652,0.0390196,0.0389013,0.0174501,0.00324207,0.0255261,0.00871965,0.0289324,0.107989,0.0422235,0,0,0.0272089,0,0.0100823,0.0139527,0.0430924,0.0426099,0.027196,0.0738297,0.0391158,0.0191649,0.0347334,0.0191818,0.0387207,0.0287758,0.014031,0.0186864,0.0264513,0.023034,0.0228965,0.00411917,0.00250087,0.0267125,0.046334,0,0,0,0,0,0,0,0,0.0241117
144,0.0417223,0.0285756,0,0,0,0,0,0,0.0405568,0.0226016,0.0208997,0.0584123,0,0,0.0417373,0,0.0218467,0.015918,0.0398455,0.0239795,0.014649,0.0172205,0.0316031,0.0414025,0.00895886,0.0124791,0.0165357,0.0448045,0.0303835,0.0307608,0.0247548,0.0196908,0.0366514,0.0391547,0.0174436,0.00326099,0.0253071,0.00872235,0.0293298,0.109465,0.0423322,0,0,0.027311,0,0.0101159,0.0140015,0.0434489,0.0433486,0.0268843,0.0747538,0.0386184,0.019191,0.0351406,0.0191148,0.0392357,0.0292085,0.0138088,0.0192673,0.0269717,0.0223869,0.0229988,0.00401043,0.00248458,0.0269521,0.0464784,0,0,0,0,0,0,0,0,0.0239911
145,0.0419761,0.0286781,0,0,0,0,0,0,0.0393143,0.0226105,0.0212601,0.0597559,0,0,0.0419468,0,0.0218925,0.0159824,0.0393715,0.0266784,0.0149292,0.0153336,0.0315892,0.0414483,0.00955149,0.0135999,0.0162931,0.0452355,0.0294955,0.0299015,0.0245633,0.0197959,0.0334371,0.0393986,0.0174478,0.00316401,0.0251622,0.00869969,0.0298082,0.11064,0.0424642,0,0,0.0275572,0,0.0101654,0.0141315,0.0437681,0.0442714,0.0266556,0.0756013,0.0382403,0.0192758,0.035957,0.0190141,0.0398782,0.0297206,0.0136973,0.0197787,0.0276589,0.0216548,0.0232062,0.00400586,0.0024813,0.0272734,0.0465941,0,0,0,0,0,0,0,0,0.0239226
146,0.0422582,0.0288355,0,0,0,0,0,0,0.0376186,0.0225864,0.0212946,0.0610615,0,0,0.0421755,0,0.0219607,0.0160438,0.0388349,0.0289355,0.0152686,0.0136489,0.0315302,0.0414823,0.0103899,0.0148306,0.0160687,0.0455836,0.0288974,0.0291588,0.02445,0.0196813,0.0300444,0.0396231,0.0174532,0.00313472,0.0251959,0.00866684,0.0304516,0.111362,0.0426377,0,0,0.0277978,0,0.0101567,0.0141697,0.0439856,0.0456432,0.0264743,0.0763851,0.0379353,0.0193585,0.0363949,0.0188271,0.0405004,0.030293,0.0135487,0.020209,0.0284448,0.021062,0.0234297,0.00398895,0.00242756,0.0275522,0.0466841,0,0,0,0,0,0,0,0,0.0240594
147,0.0425184,0.0290854,0,0,0,0,0,0,0.0355981,0.0225362,0.0211206,0.0622607,0,0,0.0423508,0,0.022055,0.016114,0.0382555,0.030518,0.0156402,0.0123689,0.0313503,0.0415149,0.011414,0.0161266,0.015893,0.0458795,0.028599,0.0287331,0.024558,0.0193643,0.0262866,0.0398209,0.0174922,0.00321905,0.0251646,0.00861635,0.0312964,0.111484,0.0428869,0,0,0.028148,0,0.0101549,0.0142045,0.0441963,0.047404,0.0263534,0.0771418,0.0376614,0.0194944,0.0368106,0.0186652,0.0409278,0.0309846,0.0133791,0.0208454,0.0294218,0.0207659,0.0236772,0.00404871,0.00243282,0.0278111,0.0467917,0,0,0,0,0,0,0,0,0.0242938
148,0.0428444,0.0293984,0,0,0,0,0,0,0.033406,0.0224846,0.0209126,0.0633679,0,0,0.0425545,0,0.0221777,0.0162414,0.0376133,0.0314086,0.0159759,0.0119223,0.0310669,0.041571,0.0125992,0.0174099,0.0157988,0.0461636,0.028646,0.0287874,0.0250941,0.0189136,0.0223465,0.0399839,0.0175242,0.00346596,0.0248512,0.00853599,0.0319118,0.11125,0.0431993,0,0,0.0285123,0,0.01014,0.0143769,0.0442905,0.0488108,0.0262569,0.0780443,0.0373722,0.0196861,0.0371931,0.018394,0.0413997,0.0316825,0.0133099,0.0215172,0.0303458,0.020429,0.0239548,0.0041547,0.00261592,0.0280095,0.0469714,0,0,0,0,0,0,0,0,0.0243421
149,0.0431562,0.0297289,0,0,0,0,0,0,0.0314564,0.022415,0.0206686,0.0641856,0,0,0.0427509,0,0.0222998,0.0163803,0.0367633,0.0319256,0.0161949,0.0126992,0.0307024,0.0416296,0.0138704,0.0187459,0.0156984,0.0464445,0.029206,0.0295515,0.0260378,0.0184309,0.0184694,0.0400989,0.0175447,0.00375952,0.0246456,0.00847161,0.0324238,0.110665,0.0435753,0,0,0.0289143,0,0.0100933,0.0145899,0.0443763,0.0502846,0.0262239,0.0789231,0.0371048,0.0199462,0.0373528,0.018138,0.0417962,0.0323086,0.0131852,0.0219761,0.0311638,0.0202801,0.0242996,0.00426462,0.00272436,0.0281228,0.047195,0,0,0,0,0,0,0,0,0.0245616
150,0.0434566,0.0300419,0,0,0,0,0,0,0.0291623,0.0223853,0.0205308,0.0645637,0,0,0.0428839,0,0.0223615,0.0164707,0.0359086,0.0322346,0.0162969,0.0139593,0.0301822,0.0415459,0.0151183,0.0205776,0.01573,0.0467405,0.029817,0.0301922,0.0266133,0.0180259,0.0147479,0.0401168,0.0175552,0.00415033,0.0247965,0.00846936,0.0331761,0.109743,0.0439489,0,0,0.0294972,0,0.0101066,0.0148464,0.0446887,0.0520842,0.0261041,0.0794089,0.0368395,0.0203009,0.0375244,0.0182092,0.041969,0.0328138,0.0130166,0.0227351,0.0320711,0.0204917,0.0247468,0.0044496,0.00266186,0.0282171,0.0473385,0,0,0,0,0,0,0,0,0.0257722
151,0.0438684,0.0303212,0,0,0,0,0,0,0.0264418,0.0223633,0.0207953,0.0644312,0,0,0.0430325,0,0.0224121,0.0165014,0.0350585,0.0328398,0.0162823,0.0149267,0.0296317,0.0416196,0.0162914,0.0226003,0.0158347,0.0470837,0.0307204,0.0314941,0.0273517,0.0177683,0.0114659,0.0402561,0.0175792,0.00378687,0.0248232,0.00846838,0.0337427,0.108589,0.0443947,0,0,0.0300729,0,0.0101708,0.0149937,0.0451082,0.0533526,0.0261443,0.0797701,0.0367894,0.0206402,0.0375885,0.0183948,0.0421984,0.0329647,0.0128416,0.0231764,0.0325643,0.0206453,0.0251722,0.00460333,0.00274043,0.0282676,0.0475434,0,0,0,0,0,0,0,0,0.0264969
