Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII
91,0.0449911,0.0310152,0,0,0,0,0,0,0.0445513,0.0242384,0.032269,0.0544325,0,0,0.0429804,0,0.0178561,0.0168311,0.0322864,0.0203826,0.0180865,0.0354294,0.0325446,0.0401542,0.0222199,0.0213737,0.0160898,0.0442337,0.0278586,0.029224,0.0278074,0.01889,0.0524374,0.0423024,0.016825,0.00320053,0.0558608,0.00903105,0.0451227,0.107376,0.0435955,0,0,0.0304018,0,0.0110771,0.0152404,0.0537347,0.0301074,0.0246267,0.0698414,0.042296,0.0229456,0.0279862,0.0274621,0.0416756,0.0335607,0.00974674,0.019207,0.0212122,0.0606244,0.0244671,0.00928072,0.00356733,0.0300134,0.0474988,0,0,0,0,0,0,0,0,0.0466346
92,0.0449325,0.0307351,0,0,0,0,0,0,0.0444677,0.0243118,0.0323744,0.0540567,0,0,0.0427491,0,0.0178106,0.0168435,0.032016,0.0213826,0.0179542,0.0358026,0.0329691,0.0399569,0.0222525,0.0215226,0.0160605,0.0439322,0.0280686,0.0289637,0.0282301,0.0189709,0.052314,0.0421037,0.016789,0.00323944,0.0550428,0.00914827,0.0435609,0.106902,0.0435605,0,0,0.0298751,0,0.0111654,0.0149006,0.0537002,0.0281356,0.0248057,0.0694261,0.0425623,0.0226609,0.028271,0.0269135,0.0412588,0.0320946,0.0093473,0.0190253,0.0201822,0.0609857,0.0241513,0.00906702,0.00348167,0.0297599,0.0475115,0,0,0,0,0,0,0,0,0.04513
93,0.0448474,0.0303991,0,0,0,0,0,0,0.0442987,0.0243672,0.0323756,0.0538216,0,0,0.0424761,0,0.017722,0.01649,0.0317601,0.0223329,0.0178135,0.0361458,0.0334047,0.0397328,0.0223116,0.021644,0.0159754,0.0436057,0.0282751,0.02872,0.0286271,0.0190081,0.0521164,0.0418619,0.0167598,0.00311417,0.0538619,0.00925591,0.0415406,0.106462,0.0434649,0,0,0.0292918,0,0.0112494,0.0146165,0.0537551,0.0261323,0.0250319,0.0688464,0.0426223,0.0223326,0.028649,0.0264691,0.0409514,0.0306586,0.00892955,0.0189405,0.0191449,0.0607351,0.0237954,0.00901021,0.00344327,0.0294518,0.0475089,0,0,0,0,0,0,0,0,0.0435907
94,0.0447776,0.0301014,0,0,0,0,0,0,0.0439929,0.0244273,0.0323142,0.0536866,0,0,0.0422067,0,0.0176378,0.0160987,0.0315118,0.0232045,0.0176574,0.0364799,0.0337651,0.0395368,0.0223365,0.0217768,0.0157936,0.0432835,0.0284679,0.0289255,0.0286368,0.0190208,0.0518629,0.0416303,0.0167431,0.0031029,0.0524052,0.00933857,0.0395104,0.105969,0.0433501,0,0,0.0287584,0,0.0112633,0.0144991,0.0538587,0.0238015,0.0252917,0.0682045,0.0425927,0.0220227,0.0291754,0.026039,0.0407641,0.0290124,0.00847726,0.0187016,0.0180008,0.06019,0.0234232,0.00889803,0.00345175,0.0291953,0.0474874,0,0,0,0,0,0,0,0,0.0418844
95,0.0447298,0.0298617,0,0,0,0,0,0,0.0435594,0.0244732,0.0323237,0.0536133,0,0,0.0419534,0,0.0175945,0.0159868,0.0312774,0.0240564,0.0174926,0.0368396,0.0340671,0.0394009,0.0223682,0.0218993,0.0155567,0.0429644,0.0286717,0.0293561,0.0285578,0.0190452,0.0515911,0.0414265,0.0167192,0.00321062,0.0508439,0.009406,0.0376028,0.105447,0.043245,0,0,0.0284228,0,0.0112567,0.0144705,0.0539481,0.0212505,0.0255273,0.0674531,0.0426905,0.0217902,0.0297897,0.0256115,0.0407124,0.0272568,0.00810256,0.0183197,0.0168244,0.0595097,0.0231716,0.00868684,0.00345271,0.0290584,0.0474759,0,0,0,0,0,0,0,0,0.0400809
96,0.0447058,0.0297105,0,0,0,0,0,0,0.0432549,0.0245174,0.0323802,0.0535667,0,0,0.0417843,0,0.017551,0.0159323,0.0310437,0.024875,0.0173466,0.0371774,0.0342912,0.0392982,0.0224626,0.0220412,0.0153228,0.042636,0.0289178,0.0297862,0.0284994,0.0190599,0.0513617,0.041272,0.0166921,0.00319718,0.0492428,0.00945999,0.035622,0.104875,0.0431065,0,0,0.02827,0,0.0112304,0.0144256,0.0539293,0.0193175,0.0257452,0.0668429,0.0428717,0.0216998,0.0304471,0.025166,0.0406917,0.0255459,0.00796876,0.0178591,0.015683,0.0584774,0.0230543,0.00846531,0.00349499,0.0290313,0.0474244,0,0,0,0,0,0,0,0,0.0382242
97,0.04468,0.0296687,0,0,0,0,0,0,0.0430015,0.0245728,0.0323976,0.0534811,0,0,0.0416625,0,0.0174786,0.015806,0.0308128,0.0256962,0.0172121,0.0374801,0.0343743,0.0392091,0.0225434,0.0222355,0.0151785,0.042328,0.0291848,0.029876,0.0287184,0.0190686,0.0511674,0.0411687,0.0166601,0.00299284,0.0477137,0.00951513,0.0336606,0.104298,0.0429681,0,0,0.0283114,0,0.0112272,0.0145018,0.053715,0.0181622,0.0259132,0.0662448,0.0430335,0.0217783,0.031131,0.0246555,0.0406536,0.023962,0.00821187,0.017341,0.014802,0.0573789,0.0230838,0.00828921,0.0034883,0.029139,0.0473687,0,0,0,0,0,0,0,0,0.0362371
98,0.0446895,0.0297585,0,0,0,0,0,0,0.0427764,0.0246532,0.0323952,0.0533137,0,0,0.0416177,0,0.0174289,0.0156445,0.030575,0.0265171,0.0170992,0.0377901,0.0343155,0.0392376,0.0225416,0.0224846,0.015103,0.0420181,0.0294255,0.0295854,0.029038,0.0190656,0.0510146,0.0411687,0.0166357,0.00289121,0.0461839,0.00959348,0.0318966,0.103733,0.0428619,0,0,0.0285813,0,0.0113184,0.014568,0.0533792,0.0175532,0.0259955,0.0657083,0.0433259,0.0219633,0.0319293,0.0241037,0.0406188,0.022572,0.00886045,0.0168876,0.0142715,0.0563312,0.0232634,0.00826909,0.00346523,0.0293537,0.0473541,0,0,0,0,0,0,0,0,0.0340435
99,0.0447425,0.029939,0,0,0,0,0,0,0.0426178,0.0247229,0.0324329,0.0529898,0,0,0.0416803,0,0.0174431,0.0155642,0.0303489,0.0274244,0.0170252,0.0381686,0.0341075,0.039379,0.0225416,0.0227821,0.0150005,0.0417614,0.029663,0.0296968,0.0292071,0.0190814,0.0509497,0.0412442,0.0166298,0.00290437,0.0446635,0.00964615,0.0304036,0.103182,0.0428112,0,0,0.0288211,0,0.0113675,0.0145968,0.0530017,0.0174967,0.0260512,0.0652542,0.043726,0.0221752,0.0329027,0.0235935,0.040682,0.0214622,0.00991454,0.0166923,0.0141504,0.0551736,0.0234559,0.00831275,0.00354298,0.0295928,0.0473637,0,0,0,0,0,0,0,0,0.031595
100,0.0448442,0.0301661,0,0,0,0,0,0,0.0424443,0.0247774,0.0325926,0.0525219,0,0,0.0418196,0,0.017525,0.0155714,0.0301156,0.0283918,0.0169607,0.0386114,0.0337781,0.0394759,0.0228446,0.0231292,0.0147939,0.0415226,0.0299365,0.0300793,0.0293999,0.0191098,0.0509856,0.0413465,0.0166436,0.0029712,0.0429432,0.00965662,0.0291619,0.102621,0.0427725,0,0,0.0291608,0,0.0113928,0.0145608,0.0526003,0.01793,0.0260619,0.0649359,0.0440941,0.0223735,0.0338078,0.0232001,0.040814,0.0206942,0.0112936,0.0160175,0.014554,0.0535346,0.0236312,0.0082572,0.00362632,0.0298735,0.0474215,0,0,0,0,0,0,0,0,0.0288894
101,0.0449797,0.0304335,0,0,0,0,0,0,0.0422254,0.0247746,0.0329677,0.0519939,0,0,0.0420043,0,0.0176278,0.015607,0.0299042,0.0293665,0.016957,0.0388201,0.0333921,0.0396322,0.0231655,0.023463,0.0146095,0.041286,0.030234,0.0305235,0.0294617,0.0190516,0.0510035,0.0415151,0.0166631,0.00300754,0.0412176,0.00961599,0.0283463,0.102129,0.0427516,0,0,0.0294814,0,0.0113816,0.0146781,0.0521807,0.0192073,0.0260395,0.0647468,0.0445475,0.0225397,0.034745,0.0230118,0.0409389,0.0204991,0.0130339,0.0153022,0.0157249,0.0516181,0.0237756,0.00821211,0.00367378,0.0301718,0.0475397,0,0,0,0,0,0,0,0,0.0260547
102,0.0451315,0.0307186,0,0,0,0,0,0,0.0420282,0.0247,0.0333472,0.051464,0,0,0.0421998,0,0.0177281,0.0157191,0.0297059,0.0303618,0.0169853,0.0390756,0.0329876,0.039835,0.0234051,0.0237608,0.0145291,0.0410392,0.0305383,0.0309175,0.0295876,0.0189592,0.0509939,0.0417353,0.0166883,0.00304004,0.0392755,0.00953503,0.0279007,0.101689,0.0427831,0,0,0.0297032,0,0.0112939,0.0149908,0.0516772,0.021149,0.0260319,0.0645568,0.045063,0.0226837,0.0357663,0.0230393,0.0412331,0.0208062,0.0151493,0.0153828,0.0175314,0.0493286,0.0239161,0.00816921,0.00365195,0.0304811,0.0477118,0,0,0,0,0,0,0,0,0.0231523
