Timestep,C7,CLAV,IMUL_L,IMUL_M,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHIA,LTIBI,STRN,RANK,RTIBA,RTIBI,RTHI,IMUL_R,RHEE,RILC,IMUR_T,IMUR_M,IMUR_B
52,0.00671646,0.00107623,0,0,0.0311311,0.023219,0.00786436,0.0115557,0,0,0.0122722,0,0.0152912,0.0074865,0.0347705,0.0253335,0.0218754,0.0105933,0.0101236,0.0126048,0.0313018,0.0337335,0.0232169,0.00954647,0.00601011,0.0324508,0.0515123,0.0201606,0.017513,0.0040995,0.0472492,0.0112218,0.00454133,0.00950751,0,0,0.0107668,0,0.00847905,0.0106484,0.0804662,0,0.0117581,0.00800328,0.0222442,0.0432594,0.0103982,0.0217338,0.0198504,0.0503754,0.0109264,0.0136779,0.00792842,0.00925844,0,0,0,0,0,0,0,0,0.0289766,0.00889113,0.00212446,0.0389147,0.03735,0.00344414,0.00538382,0,0.0520602,0.0753604,0,0,0
53,0.0066535,0.00109031,0,0,0.0320409,0.0231044,0.00734265,0.0120825,0,0,0.0123432,0,0.0154007,0.00731308,0.0346891,0.0266576,0.0220124,0.0106223,0.0102946,0.0126527,0.0314489,0.0339349,0.0233946,0.00904854,0.00546379,0.0318309,0.0533469,0.0202244,0.0175247,0.00423344,0.0464189,0.0111886,0.0046105,0.00958992,0,0,0.0108104,0,0.00842383,0.0106039,0.0808319,0,0.0120394,0.00809362,0.0233131,0.0441704,0.00964071,0.0223552,0.0210928,0.0496005,0.0103806,0.0138829,0.00795598,0.00914537,0,0,0,0,0,0,0,0,0.0290562,0.00853471,0.00178283,0.0388144,0.0368015,0.00403646,0.00469724,0,0.0510368,0.075104,0,0,0
54,0.006886,0.000359275,0,0,0.0324073,0.0229053,0.00690861,0.0122359,0,0,0.0122689,0,0.0157868,0.00705747,0.0346142,0.0277198,0.0222892,0.010841,0.0104649,0.0130088,0.0315157,0.0340359,0.0236146,0.00876218,0.00504704,0.0312841,0.0544245,0.0198628,0.0175318,0.00415547,0.0453583,0.0111491,0.00467848,0.00967804,0,0,0.0111517,0,0.00815907,0.0107808,0.0810948,0,0.012453,0.00798893,0.0246751,0.0452647,0.00851715,0.0228459,0.0221879,0.0484205,0.0103044,0.0142091,0.00793243,0.00874851,0,0,0,0,0,0,0,0,0.0289723,0.00828213,0.00121561,0.0382397,0.0359359,0.00527365,0.00377559,0,0.0483679,0.0748557,0,0,0
55,0.00694545,0.000440834,0,0,0.0329115,0.0228539,0.00628449,0.0123184,0,0,0.0128697,0,0.0159137,0.00707053,0.0344699,0.0289408,0.0226816,0.0105816,0.0106921,0.0133528,0.0317195,0.0343296,0.0238193,0.00839631,0.0046112,0.0305557,0.0556851,0.020052,0.0175643,0.00390943,0.0443073,0.0111551,0.00471257,0.00980736,0,0,0.0113828,0,0.00808546,0.0108974,0.0813303,0,0.0128279,0.00809242,0.0262355,0.0465713,0.00720143,0.0230524,0.0228735,0.0468643,0.0101443,0.0144494,0.00799546,0.00862165,0,0,0,0,0,0,0,0,0.0291411,0.00793606,0.00109028,0.037225,0.0350378,0.00683751,0.00306264,0,0.0458303,0.0744423,0,0,0
56,0.00697646,0.000637897,0,0,0.033234,0.0228628,0.00566422,0.0126516,0,0,0.0128801,0,0.0159592,0.00707884,0.0341547,0.0301677,0.0231059,0.0103952,0.0109168,0.0134947,0.0319429,0.0346681,0.0240686,0.00809976,0.00431263,0.0297942,0.0567973,0.0201577,0.0175733,0.00380009,0.0436567,0.0112081,0.00482184,0.00996017,0,0,0.0116312,0,0.00808922,0.0110413,0.0816268,0,0.0131564,0.00828962,0.0279679,0.0480674,0.00613675,0.0233499,0.0235458,0.0457414,0.00980236,0.0148299,0.00809645,0.00853471,0,0,0,0,0,0,0,0,0.0293411,0.00765123,0.000952593,0.0367516,0.0343904,0.00829411,0.00330498,0,0.0440942,0.073912,0,0,0
57,0.00705964,0.000954359,0,0,0.0335061,0.0228716,0.00499036,0.0131059,0,0,0.0130506,0,0.0159064,0.00721099,0.0338041,0.0316008,0.0235779,0.0100802,0.0111213,0.0133833,0.0322876,0.0351128,0.0243118,0.00777866,0.00414637,0.0289817,0.0581198,0.0202929,0.0175649,0.00380236,0.0434314,0.0112611,0.00516551,0.0102103,0,0,0.011972,0,0.00810554,0.0111915,0.0819793,0,0.0134817,0.00854287,0.0294577,0.0494361,0.00597988,0.024544,0.0250491,0.0455282,0.00942492,0.0152493,0.00823978,0.00856936,0,0,0,0,0,0,0,0,0.0297377,0.00749197,0.000841464,0.0375233,0.0341189,0.00967182,0.0040007,0,0.0430161,0.0733886,0,0,0
58,0.00707363,0.00124211,0,0,0.0334647,0.0227957,0.00440863,0.0135332,0,0,0.0131873,0,0.0159691,0.00732561,0.0334358,0.0330238,0.0240769,0.0097039,0.0109933,0.0132882,0.0327561,0.0356821,0.0246512,0.00750377,0.00411544,0.0281382,0.059096,0.0201072,0.0175852,0.00376596,0.0427442,0.0112589,0.00550667,0.0103759,0,0,0.0121265,0,0.00805984,0.0113823,0.0822897,0.0315233,0.0139547,0.00879351,0.0309545,0.0508067,0.00611296,0.024262,0.0247419,0.0457583,0.00905767,0.0155501,0.00841231,0.00863088,0,0,0,0,0,0,0,0,0.0302912,0.0073901,0.000726139,0.037752,0.0344361,0.0087392,0.00480178,0,0.0404984,0.0725608,0,0,0
59,0.00649784,0.00298394,0,0,0.0333503,0.0227463,0.00389343,0.0142969,0,0,0.0131913,0,0.0161553,0.00722433,0.0332376,0.0344944,0.0244285,0.00855877,0.0109424,0.0143941,0.0332188,0.0362863,0.024765,0.00712399,0.00424875,0.0272998,0.0601786,0.0201396,0.0176217,0.00388139,0.0425499,0.0114119,0.00596991,0.0106299,0,0,0.0114532,0,0.00838175,0.0113176,0.0827647,0.0335697,0.0141556,0.0102887,0.0310868,0.0516775,0.00780665,0.0247077,0.0251382,0.0463711,0.00727378,0.0158156,0.00872799,0.00808683,0,0,0,0,0,0,0,0,0.0311855,0.00741512,0.00250765,0.0377212,0.0345243,0.00925443,0.005189,0,0.0391645,0.0723701,0,0,0
60,0.00757115,0.00266589,0,0,0.0326835,0.0227617,0.00390158,0.0152702,0,0,0.0132555,0,0.0162426,0.00720492,0.0331797,0.035507,0.0246765,0.00730206,0.0106528,0.0137577,0.0336737,0.0368066,0.0248669,0.00692691,0.00462551,0.0265049,0.0608861,0.0198026,0.0176765,0.0041196,0.0420022,0.0112786,0.00653936,0.0110435,0,0,0.0119787,0,0.00808893,0.0116151,0.0831621,0.0346523,0.0145044,0.0097062,0.0309762,0.0524678,0.0101134,0.0242412,0.024705,0.0468839,0.00735825,0.0163289,0.00877942,0.00926106,0,0,0,0,0,0,0,0,0.0319657,0.00758596,0.00203336,0.0362207,0.0344159,0.00951793,0.00584767,0,0.0374462,0.0723758,0,0,0
61,0.00822999,0.00295428,0,0,0.0318071,0.0226573,0.00451576,0.0163046,0,0,0.0128068,0,0.0164942,0.00698854,0.0332325,0.0363145,0.0249905,0.00607137,0.010358,0.0138242,0.0340623,0.0371458,0.0249606,0.0069855,0.00519314,0.0258056,0.0612431,0.019707,0.0177742,0.00433585,0.0413764,0.0111274,0.00716415,0.0115459,0,0,0.0121389,0,0.00790012,0.0117449,0.0835115,0.0338453,0.0147935,0.00998698,0.0309034,0.0531858,0.012419,0.0234877,0.0241353,0.0477579,0.00658251,0.0167673,0.00892463,0.00994972,0,0,0,0,0,0,0,0,0.032407,0.00798802,0.00271579,0.034026,0.0340983,0.00975389,0.00695935,0,0.0359169,0.0727013,0,0,0
