Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,
22,0.0415526,0.024848,0,0,0,0,0,0,0.0225103,0.0147038,0.0215661,0.0487525,0,0,0.0241552,0,0.0370568,0.0119591,0.0416643,0.0223287,0.0220161,0.0162544,0.0542152,0.0307263,0.0234402,0.0157033,0.0239681,0.0347113,0.0286732,0.0280914,0.0238305,0.0159911,0.0291931,0.019408,0.0221928,0.00917514,0.0533182,0.00654634,0.0429961,0.109929,0.0354496,0,0,0.0112378,0,0.00656705,0.00650197,0.0528623,0.0676909,0.0247851,0.0914933,0.0299454,0.0319627,0.0381047,0.0228459,0.0407343,0.0496415,0.0497769,0.0313485,0.0287204,0.0484234,0.0495588,0.0213388,0.00669928,0.00293313,0.0236019,0.0373292,0,0,0,0,0,0,0,0,0,0
23,0.040714,0.0245259,0,0,0,0,0,0,0.022416,0.0147864,0.0219386,0.0504983,0,0,0.0237039,0,0.0368156,0.0117077,0.0410945,0.0236861,0.0211048,0.0146139,0.0554402,0.0307427,0.021599,0.0131745,0.0227526,0.0348675,0.0278952,0.0275853,0.0239391,0.0159371,0.0284219,0.0195655,0.0220568,0.00905828,0.0524205,0.00680121,0.0435395,0.111039,0.0347259,0,0,0.0114835,0,0.0067788,0.00650255,0.0528664,0.068323,0.0243674,0.0930648,0.029697,0.032056,0.0384254,0.0230532,0.0406958,0.0502085,0.0504971,0.0307672,0.0286692,0.0490259,0.047508,0.0210288,0.00667637,0.00279127,0.0234056,0.0364466,0,0,0,0,0,0,0,0,0,0
24,0.0402348,0.024037,0,0,0,0,0,0,0.021838,0.014836,0.0217901,0.0520054,0,0,0.0235709,0,0.0365388,0.0114964,0.0405208,0.0248487,0.0202904,0.0131012,0.0560896,0.0307705,0.0198403,0.0114506,0.0214372,0.0350229,0.0271429,0.0269588,0.0239112,0.0157081,0.0269561,0.019862,0.0219419,0.00890065,0.0509171,0.00697361,0.0434863,0.111707,0.03429,0,0,0.0117054,0,0.00693655,0.00663415,0.0528733,0.0682422,0.0239479,0.0939894,0.0294549,0.0322739,0.0390894,0.0233935,0.0405691,0.0510916,0.0505128,0.0300221,0.0284369,0.0489686,0.0452894,0.0209483,0.00662222,0.00269549,0.0231642,0.0358343,0,0,0,0,0,0,0,0,0,0
25,0.0400246,0.0238658,0,0,0,0,0,0,0.020998,0.0149037,0.0213837,0.0534095,0,0,0.0235473,0,0.0362026,0.0113535,0.0399747,0.0259832,0.0196673,0.011872,0.0565315,0.0309549,0.0182647,0.0107124,0.0201256,0.0351334,0.0265931,0.0263769,0.0237757,0.0153901,0.0247164,0.0201572,0.0218126,0.00880038,0.0491044,0.00707939,0.043196,0.112105,0.0340645,0,0,0.0119236,0,0.00705528,0.00670835,0.0529823,0.0679264,0.0235204,0.0946843,0.0292344,0.0324858,0.0397015,0.0236578,0.0408098,0.0520794,0.0501755,0.0291746,0.0280807,0.0485652,0.0428585,0.0210162,0.00661713,0.00260084,0.0229171,0.0353722,0,0,0,0,0,0,0,0,0,0
26,0.0401021,0.0239781,0,0,0,0,0,0,0.0200186,0.0150023,0.0207428,0.0545661,0,0,0.0237271,0,0.0358468,0.0112712,0.0394285,0.0269367,0.0191096,0.0109115,0.0566777,0.0313241,0.0167508,0.0111169,0.0188754,0.0352386,0.0262622,0.0258988,0.0236241,0.0150142,0.0220595,0.0204234,0.0216626,0.00874841,0.0467949,0.00714204,0.0424259,0.112206,0.0340918,0,0,0.0121604,0,0.007143,0.00666328,0.0532886,0.0673118,0.0230774,0.0953747,0.0291934,0.0326587,0.0402085,0.0239934,0.0413232,0.0530127,0.0498315,0.0284811,0.0277482,0.0480927,0.0400999,0.0211947,0.00659733,0.00252298,0.0228062,0.0351358,0,0,0,0,0,0,0,0,0,0
27,0.0404225,0.0240691,0,0,0,0,0,0,0.0189751,0.0150585,0.0199877,0.0554062,0,0,0.0237637,0,0.0357789,0.0111522,0.0388976,0.0277513,0.018494,0.010006,0.0565229,0.031693,0.0151466,0.0108722,0.0176922,0.0354134,0.0260638,0.0254836,0.0234825,0.0146031,0.0190635,0.0205555,0.0215953,0.00870033,0.0446279,0.00720978,0.0416638,0.111996,0.03431,0,0,0.0123811,0,0.00719686,0.00662092,0.0537731,0.0668807,0.0225886,0.0960918,0.0294451,0.0328194,0.0406619,0.0243318,0.0420805,0.053767,0.0497131,0.0278808,0.0275237,0.0478884,0.037618,0.0213701,0.00658001,0.00249556,0.0227835,0.0351865,0,0,0,0,0,0,0,0,0,0
28,0.0407979,0.0240896,0,0,0,0,0,0,0.0180836,0.0150861,0.0192827,0.0562381,0,0,0.0237099,0,0.0358242,0.0109677,0.038366,0.0284046,0.017994,0.00916592,0.0560471,0.0318977,0.0135935,0.009845,0.0164767,0.0356064,0.0259063,0.0250647,0.0234099,0.0141614,0.0162688,0.0206718,0.0215864,0.00865526,0.043063,0.00729103,0.0413109,0.111754,0.0346452,0,0,0.0125572,0,0.0072632,0.00656452,0.0541761,0.0668177,0.0223772,0.0968765,0.029229,0.0330281,0.0413029,0.024555,0.0426179,0.0545182,0.0498733,0.0273257,0.0274491,0.0479891,0.0358838,0.0216705,0.00656423,0.00251059,0.0227527,0.035448,0,0,0,0,0,0,0,0,0,0
29,0.0413256,0.0240978,0,0,0,0,0,0,0.0173105,0.0151048,0.0185332,0.0569201,0,0,0.0238086,0,0.0357658,0.0109983,0.0377657,0.0286951,0.0176338,0.00840038,0.0550846,0.0320611,0.0125493,0.00983576,0.0152145,0.0358083,0.0256364,0.024549,0.0233424,0.0137148,0.0137147,0.0206905,0.0215791,0.00866656,0.0423846,0.00732363,0.0417191,0.111209,0.0351997,0,0,0.0127773,0,0.00738112,0.00668868,0.0545132,0.0675431,0.0225883,0.097554,0.0286178,0.0333137,0.0420632,0.0245804,0.0423368,0.0551596,0.050252,0.0267538,0.0277242,0.0484922,0.0352928,0.0221271,0.00644487,0.00249077,0.0227325,0.0360423,0,0,0,0,0,0,0,0,0,0
30,0.0419256,0.024162,0,0,0,0,0,0,0.0167204,0.0151611,0.0177238,0.0574337,0,0,0.0241219,0,0.035609,0.0110003,0.037138,0.028504,0.0173173,0.00774425,0.0539443,0.032127,0.0117554,0.0092382,0.0139402,0.0360047,0.0253092,0.0240269,0.0233876,0.0132434,0.0115913,0.020651,0.021553,0.00873261,0.041748,0.00731309,0.041967,0.110588,0.0358532,0,0,0.0130995,0,0.00745477,0.00673013,0.0548424,0.0685399,0.0230011,0.098471,0.0278844,0.0335892,0.0427894,0.0244626,0.0424688,0.0558397,0.0510011,0.0264367,0.028154,0.0493405,0.0349674,0.0226015,0.00629284,0.00250417,0.0228858,0.0368361,0,0,0,0,0,0,0,0,0,0
31,0.0425363,0.0244784,0,0,0,0,0,0,0.0160857,0.015193,0.0168383,0.0577952,0,0,0.0245664,0,0.0356116,0.0111729,0.036477,0.0278916,0.0170738,0.00731003,0.0528715,0.0321144,0.0110356,0.00952884,0.0126936,0.0362207,0.0250087,0.0238833,0.0235558,0.0127817,0.00970534,0.0206307,0.0215603,0.00885059,0.0406787,0.00730937,0.0414442,0.110081,0.0365464,0,0,0.0133944,0,0.00749231,0.00668046,0.0551825,0.0691803,0.0234575,0.099577,0.0273335,0.0338495,0.0433584,0.0243683,0.0431333,0.0566365,0.051863,0.026417,0.0283847,0.0501968,0.0343357,0.0229966,0.00612358,0.00252951,0.0232141,0.037681,0,0,0,0,0,0,0,0,0,0
32,0.0430916,0.0251182,0,0,0,0,0,0,0.0154937,0.0151661,0.0160826,0.0578531,0,0,0.0248594,0,0.0358604,0.0113951,0.0359076,0.0272064,0.0167713,0.00708625,0.0519287,0.0320551,0.0104018,0.0103073,0.0115613,0.0364895,0.0247868,0.0238836,0.0237844,0.0124342,0.0081291,0.020669,0.0216284,0.00886165,0.0406271,0.00730826,0.0416069,0.10946,0.0371734,0,0,0.0135901,0,0.00754093,0.0066562,0.0555979,0.0699459,0.0239478,0.0998947,0.0271284,0.0340794,0.0437527,0.0245408,0.0432624,0.0571097,0.0521685,0.0260921,0.0285511,0.0506217,0.034591,0.0232908,0.00590935,0.00249213,0.0235304,0.0384294,0,0,0,0,0,0,0,0,0,0
33,0.0436699,0.0257486,0,0,0,0,0,0,0.0152984,0.0151336,0.0158026,0.0579059,0,0,0.0251409,0,0.0360739,0.0115243,0.0353662,0.0269077,0.0164587,0.00710618,0.0510755,0.032135,0.01001,0.0114113,0.0105257,0.0367913,0.0244972,0.0238033,0.0239834,0.0123877,0.00726462,0.0207991,0.02169,0.00886113,0.0407339,0.00725885,0.0420531,0.108819,0.0378156,0,0,0.0136755,0,0.0075729,0.00660205,0.0561804,0.0705045,0.0245079,0.0999845,0.0270952,0.034313,0.043983,0.0247655,0.0432273,0.0573966,0.0522551,0.0256551,0.0287731,0.0508933,0.0351506,0.0235289,0.00564961,0.00246037,0.0238636,0.0390705,0,0,0,0,0,0,0,0,0,0
34,0.0441421,0.0262129,0,0,0,0,0,0,0.015792,0.0151268,0.0161747,0.0582587,0,0,0.0253666,0,0.0360104,0.0116279,0.0348234,0.0272947,0.0161346,0.00749948,0.0503943,0.0322356,0.00985493,0.0127352,0.00965817,0.037146,0.0239634,0.0234468,0.0240958,0.0128103,0.00757861,0.0209027,0.0216929,0.0089811,0.040483,0.00721929,0.0422031,0.108388,0.0383496,0,0,0.0135881,0,0.00755035,0.00657592,0.0569101,0.0707722,0.0250684,0.10013,0.0271383,0.0344723,0.0441506,0.0250725,0.0433573,0.0576527,0.0522737,0.0252473,0.0289396,0.0510926,0.0354733,0.0236637,0.00551866,0.00252655,0.0241769,0.0395696,0,0,0,0,0,0,0,0,0,0
35,0.044395,0.0264819,0,0,0,0,0,0,0.0172755,0.0151344,0.0172236,0.0586938,0,0,0.0252888,0,0.0359565,0.0116289,0.0343503,0.0282104,0.0157122,0.0083385,0.0500266,0.032265,0.0100096,0.0143472,0.00911226,0.0375861,0.023156,0.0227906,0.0241535,0.0136503,0.00929736,0.02089,0.0216678,0.00902364,0.0400645,0.00719864,0.0420431,0.108386,0.038679,0,0,0.0134048,0,0.00752985,0.00655837,0.0571817,0.0706148,0.0255177,0.100347,0.0272207,0.0345541,0.0444025,0.0252741,0.0434679,0.0579779,0.0522194,0.0248665,0.0289914,0.0510926,0.0355989,0.0235749,0.00544978,0.00257383,0.0244135,0.0398486,0,0,0,0,0,0,0,0,0,0
36,0.0444848,0.026588,0,0,0,0,0,0,0.019632,0.0151605,0.0187452,0.0590261,0,0,0.0248995,0,0.0359345,0.0115955,0.0341228,0.0292844,0.0152343,0.00904896,0.0498404,0.0321916,0.0103872,0.0159926,0.0087605,0.0381886,0.0220021,0.0217234,0.0240368,0.014781,0.0120764,0.0206951,0.021647,0.00907495,0.0397373,0.00721581,0.0418105,0.108573,0.0388602,0,0,0.0131081,0,0.00749195,0.00654686,0.0573952,0.0703788,0.0258985,0.100501,0.0273864,0.034548,0.044668,0.0255087,0.0435409,0.0582807,0.0521488,0.0245295,0.0290169,0.0510383,0.0358107,0.0232906,0.00551936,0.0026117,0.0245493,0.0399954,0,0,0,0,0,0,0,0,0,0
37,0.0445264,0.0265726,0,0,0,0,0,0,0.0224387,0.0151859,0.0205413,0.0593521,0,0,0.0244171,0,0.0359805,0.0114919,0.0340895,0.0302439,0.0148387,0.00929459,0.0496469,0.0321258,0.0106263,0.0173254,0.00849114,0.0388776,0.0206159,0.0203719,0.0236896,0.0159512,0.0154435,0.0204148,0.0216298,0.00905304,0.0395285,0.00725838,0.0415947,0.108929,0.0389894,0,0,0.0128263,0,0.0074735,0.0065145,0.0575175,0.0700831,0.0262523,0.100634,0.0274425,0.0345375,0.0450188,0.0257007,0.0435114,0.0585845,0.0520197,0.0242181,0.0289726,0.0509228,0.0359509,0.0229634,0.00555001,0.00260964,0.024642,0.0400793,0,0,0,0,0,0,0,0,0,0
38,0.0445602,0.0265305,0,0,0,0,0,0,0.0251362,0.0152081,0.0223085,0.0597232,0,0,0.0239317,0,0.0359562,0.0114,0.0341739,0.0309931,0.0145673,0.00906651,0.0495151,0.0320826,0.0107293,0.018305,0.00828222,0.0395444,0.0191739,0.0188152,0.0231485,0.0169851,0.0188802,0.0200992,0.0216109,0.00900986,0.0393565,0.00731134,0.0414304,0.10938,0.0390427,0,0,0.0127263,0,0.00751208,0.00654192,0.0575552,0.069702,0.0264937,0.100729,0.0277134,0.0344744,0.045356,0.0257706,0.0434601,0.0588689,0.0518529,0.0239121,0.0289083,0.0507364,0.0361466,0.0225549,0.00552991,0.00259495,0.0247037,0.0401325,0,0,0,0,0,0,0,0,0,0
39,0.0444655,0.0264258,0,0,0,0,0,0,0.0274865,0.0152585,0.0236573,0.0601043,0,0,0.0234646,0,0.0359515,0.01132,0.0344234,0.0314045,0.0143699,0.00901971,0.0494507,0.0319612,0.0107371,0.0191165,0.00811066,0.0401223,0.0178461,0.017242,0.0225006,0.017821,0.0219846,0.0196608,0.0215918,0.00895406,0.0391954,0.00738738,0.0411904,0.109818,0.0389987,0,0,0.012688,0,0.00758436,0.00662583,0.0575357,0.0691419,0.026591,0.100701,0.0279742,0.0343435,0.0456197,0.025785,0.0433275,0.0590974,0.0515833,0.0236581,0.0288396,0.050425,0.0361376,0.0220867,0.00550453,0.00260909,0.024722,0.0400548,0,0,0,0,0,0,0,0,0,0
40,0.0443767,0.0263154,0,0,0,0,0,0,0.0293606,0.0152663,0.0246793,0.0603912,0,0,0.0232113,0,0.0357937,0.0112168,0.0347774,0.0313136,0.0143047,0.00955883,0.0493351,0.0318157,0.010723,0.019685,0.00799474,0.0405356,0.016645,0.0158374,0.0217773,0.018392,0.0245829,0.0192826,0.0215432,0.00893053,0.039089,0.00744437,0.0408939,0.110224,0.0389789,0,0,0.012591,0,0.00761894,0.0067189,0.0574835,0.0684929,0.0266483,0.10058,0.0280347,0.0342396,0.0458322,0.0258316,0.0433773,0.0591614,0.0512282,0.0234429,0.0287906,0.0500348,0.0357113,0.0216396,0.00549748,0.00263253,0.0246928,0.039973,0,0,0,0,0,0,0,0,0,0
41,0.044413,0.0262646,0,0,0,0,0,0,0.030842,0.0152665,0.0255245,0.0605787,0,0,0.023086,0,0.0357809,0.0111035,0.0351449,0.0308365,0.014436,0.0105383,0.0492212,0.0317938,0.0108219,0.0198782,0.00815182,0.0407176,0.0154158,0.0145204,0.0210749,0.018701,0.0267686,0.0190209,0.0215155,0.00889932,0.0388005,0.00746337,0.0404228,0.110583,0.039072,0,0,0.0124868,0,0.00763883,0.00671035,0.0573341,0.0676045,0.0266891,0.100358,0.0280997,0.0342158,0.0460047,0.025872,0.0435394,0.0592457,0.0507709,0.0232259,0.0286405,0.0494874,0.0352585,0.0213604,0.00542433,0.00268376,0.0246786,0.0399981,0,0,0,0,0,0,0,0,0,0
42,0.0445053,0.0262756,0,0,0,0,0,0,0.0322515,0.015235,0.0262577,0.0607168,0,0,0.0229801,0,0.0356661,0.0110331,0.0355499,0.0304623,0.0146795,0.0113905,0.0492502,0.0318065,0.0110376,0.0199759,0.00874581,0.0406684,0.0139819,0.0131145,0.0202331,0.0188429,0.0287105,0.0188566,0.0214804,0.00896653,0.0382818,0.00744995,0.0398957,0.110861,0.0391955,0,0,0.0123297,0,0.0076275,0.00663519,0.0570093,0.0664838,0.0266645,0.099981,0.0283763,0.0342082,0.0461239,0.0258742,0.0436167,0.059238,0.050215,0.0230091,0.0283492,0.0487752,0.0347311,0.0210998,0.0052999,0.00273522,0.0246686,0.040072,0,0,0,0,0,0,0,0,0,0
43,0.044722,0.0263898,0,0,0,0,0,0,0.0337273,0.0151626,0.0271145,0.0608013,0,0,0.0228548,0,0.0356128,0.0110371,0.0358626,0.0303673,0.0151097,0.0117391,0.0492509,0.031979,0.0114032,0.020201,0.00985406,0.0404892,0.0122877,0.011749,0.0192558,0.0188572,0.030363,0.0187844,0.0214817,0.00910811,0.0378168,0.00741017,0.0393322,0.110951,0.0394065,0,0,0.0121765,0,0.00757957,0.00661231,0.0565817,0.0652235,0.0266518,0.0995267,0.0286472,0.034298,0.046259,0.0258273,0.0435468,0.0592584,0.0495736,0.0228312,0.0280014,0.0480063,0.0339961,0.0209033,0.00524144,0.00277865,0.0247061,0.0402526,0,0,0,0,0,0,0,0,0,0
44,0.0452068,0.0267113,0,0,0,0,0,0,0.0356219,0.0150372,0.0283598,0.06071,0,0,0.0228294,0,0.0357464,0.0110217,0.0358819,0.0304551,0.0158062,0.0114421,0.0487168,0.0323854,0.0120996,0.0209119,0.0112761,0.0401743,0.0104221,0.0108199,0.0182983,0.0186903,0.031638,0.0189387,0.021556,0.00914482,0.0376465,0.00728771,0.0389388,0.110723,0.0399439,0,0,0.012058,0,0.00750402,0.00658046,0.0564318,0.0642446,0.0268702,0.0992518,0.0279027,0.0347982,0.0463752,0.0257374,0.0435137,0.0592905,0.0492029,0.0226817,0.0277428,0.0475476,0.0337458,0.0210923,0.00523734,0.00281199,0.024834,0.0406827,0,0,0,0,0,0,0,0,0,0
45,0.0460518,0.027121,0,0,0,0,0,0,0.037191,0.0149121,0.029463,0.0604276,0,0,0.0228854,0,0.035956,0.0109193,0.0358416,0.0303543,0.0168523,0.0107447,0.0477015,0.0330028,0.012796,0.0214087,0.0126983,0.0400638,0.00875973,0.010841,0.0175138,0.0186266,0.0322565,0.0192648,0.0216282,0.00918517,0.0373042,0.00710761,0.0383941,0.110051,0.0407904,0,0,0.0120055,0,0.00738185,0.00650755,0.056192,0.0629637,0.0270529,0.0987102,0.0270326,0.0354095,0.0463534,0.0256327,0.0434288,0.0591663,0.0486771,0.0225661,0.0274261,0.0469059,0.0333526,0.0215172,0.00529229,0.00284646,0.0249848,0.0414023,0,0,0,0,0,0,0,0,0,0
46,0.0469874,0.0275118,0,0,0,0,0,0,0.0391163,0.0148213,0.0309803,0.0597974,0,0,0.0230472,0,0.0361389,0.0108425,0.0358799,0.0309797,0.0179622,0.010275,0.0464984,0.0336495,0.0137545,0.0221349,0.0146808,0.0402159,0.00743399,0.0112909,0.0169807,0.0189254,0.033229,0.0196345,0.0217,0.00927435,0.036792,0.0069452,0.0376133,0.108954,0.0417083,0,0,0.0121123,0,0.00725692,0.00649238,0.0558272,0.0613824,0.0271564,0.0978562,0.0263149,0.0359223,0.0462126,0.0255098,0.0433371,0.0589018,0.0479572,0.0224879,0.0270129,0.0460675,0.0327422,0.0220363,0.00534316,0.00288685,0.0251908,0.0421545,0,0,0,0,0,0,0,0,0,0
47,0.0478136,0.0278027,0,0,0,0,0,0,0.0413436,0.014745,0.0328946,0.0589189,0,0,0.0234331,0,0.0362874,0.0110414,0.0359233,0.0322055,0.0188695,0.00989759,0.0452444,0.0342486,0.0149834,0.0232509,0.0171693,0.040784,0.00646254,0.0119822,0.016623,0.0197583,0.0347467,0.0199555,0.0217572,0.00936916,0.0361562,0.00681678,0.0366771,0.107534,0.0424961,0,0,0.0122912,0,0.00712291,0.00653989,0.0554927,0.0596857,0.0272054,0.0968109,0.025755,0.0363044,0.0459985,0.0253322,0.0431914,0.0585498,0.0472166,0.0224424,0.0265522,0.0451671,0.032011,0.0226016,0.00544391,0.0029575,0.025412,0.0428297,0,0,0,0,0,0,0,0,0,0
48,0.0484722,0.0279951,0,0,0,0,0,0,0.0436161,0.0146926,0.0348531,0.0578583,0,0,0.0240122,0,0.0363805,0.0112386,0.0360019,0.0334351,0.0196402,0.00946396,0.0440344,0.0347479,0.0163739,0.0245695,0.0198867,0.0420101,0.00608392,0.0127523,0.0163304,0.021047,0.0364589,0.0202826,0.0217989,0.00943844,0.0354543,0.00668726,0.0358272,0.105854,0.0431262,0,0,0.0125627,0,0.00699865,0.00663826,0.0551685,0.0578903,0.0272134,0.0956435,0.0255307,0.0365969,0.0457329,0.0251388,0.0430337,0.0581611,0.0464412,0.0223977,0.0260311,0.0442169,0.0312957,0.0231762,0.00550481,0.00302119,0.0256022,0.0433864,0,0,0,0,0,0,0,0,0,0
49,0.0490732,0.0281795,0,0,0,0,0,0,0.0461346,0.0146634,0.0371702,0.0565413,0,0,0.0246934,0,0.0364289,0.011437,0.0361192,0.035045,0.0203849,0.0088452,0.0427597,0.0351101,0.0176668,0.0256609,0.0224724,0.04344,0.00638415,0.0138816,0.0163543,0.0226073,0.0386379,0.0208405,0.0218351,0.00943691,0.0348758,0.00652201,0.0350938,0.103951,0.0437386,0,0,0.0129855,0,0.00687447,0.00684824,0.0548042,0.0561768,0.0271915,0.0945232,0.0255187,0.0369577,0.0454007,0.0249389,0.0428341,0.057723,0.0456726,0.0223595,0.0254995,0.0432622,0.030869,0.0238291,0.00552032,0.00305883,0.0257734,0.0438927,0,0,0,0,0,0,0,0,0,0
50,0.0497988,0.0286148,0,0,0,0,0,0,0.0488122,0.014581,0.0398759,0.0548598,0,0,0.0255929,0,0.0364984,0.0117455,0.0360962,0.0369654,0.0212455,0.00807142,0.0409895,0.0355172,0.0185882,0.0263945,0.0246245,0.0447784,0.0072728,0.0152241,0.0167123,0.0243093,0.0412441,0.0215694,0.0218715,0.00948885,0.0345936,0.00629128,0.0346771,0.101813,0.0445306,0,0,0.0136948,0,0.00678541,0.00710891,0.0546967,0.0550452,0.0273844,0.0936365,0.0248615,0.0376896,0.0450213,0.0246915,0.0426089,0.05723,0.0451369,0.0223356,0.0249906,0.0426412,0.0309223,0.0249041,0.00554426,0.003123,0.0260574,0.0445328,0,0,0,0,0,0,0,0,0,0
51,0.0502911,0.0287951,0,0,0,0,0,0,0.0502813,0.0145526,0.0412441,0.0552846,0,0,0.0265513,0,0.0365664,0.0120268,0.0355518,0.0371173,0.0213756,0.00817465,0.0394286,0.0354517,0.0194982,0.027316,0.026291,0.0457353,0.00893767,0.016472,0.0172841,0.0256086,0.0423411,0.0219812,0.0218974,0.00950835,0.034272,0.00613671,0.0342697,0.100978,0.0451274,0,0,0.0142687,0,0.0066839,0.00721153,0.0549884,0.0545506,0.0278078,0.0936067,0.0243117,0.0380778,0.0450064,0.0245048,0.0425006,0.0572542,0.0449918,0.0219365,0.0247857,0.0423939,0.031478,0.0258295,0.0054268,0.00318485,0.0259557,0.0449673,0,0,0,0,0,0,0,0,0,0
52,0.0507916,0.0289454,0,0,0,0,0,0,0.0505937,0.0145931,0.0415259,0.0561858,0,0,0.0270577,0,0.036533,0.012098,0.0350112,0.0369969,0.0217487,0.00899589,0.0385475,0.0352266,0.0199715,0.0285279,0.0273055,0.0461942,0.0105834,0.0174869,0.0178102,0.026604,0.042388,0.0221497,0.0218933,0.00949064,0.0341846,0.00602923,0.0336075,0.100618,0.0455736,0,0,0.0146462,0,0.00662543,0.00724447,0.0553106,0.0536353,0.0283082,0.0937911,0.0241163,0.0383414,0.0450759,0.0244699,0.0425974,0.0574229,0.0449654,0.0214685,0.0246413,0.0421632,0.0321796,0.0264567,0.00530226,0.00319194,0.0257495,0.0452474,0,0,0,0,0,0,0,0,0,0
53,0.0511159,0.029064,0,0,0,0,0,0,0.0508107,0.0146564,0.0419581,0.0559533,0,0,0.0273259,0,0.0365273,0.0121575,0.0351271,0.0379865,0.0221138,0.00975577,0.0377173,0.0349768,0.0202072,0.0288034,0.027886,0.0462899,0.0118974,0.0184226,0.0183512,0.0275164,0.0426366,0.0222618,0.0219157,0.00955376,0.034238,0.00585547,0.0333318,0.0997656,0.0459351,0,0,0.0151747,0,0.00654487,0.00745713,0.0552472,0.0528578,0.0285188,0.0935003,0.0239508,0.0387041,0.0450166,0.0243768,0.0425748,0.0573478,0.0446974,0.02112,0.0243079,0.0418018,0.0329051,0.0271384,0.00534693,0.00324868,0.0255964,0.0453683,0,0,0,0,0,0,0,0,0,0
54,0.0511972,0.0290148,0,0,0,0,0,0,0.0505335,0.0147088,0.0420124,0.0557838,0,0,0.0273889,0,0.0365182,0.0121822,0.0353885,0.039052,0.0223242,0.0106721,0.0371051,0.0346831,0.0204274,0.02851,0.0281517,0.0459953,0.0128908,0.0191629,0.0187571,0.0282244,0.0426059,0.0222994,0.0219331,0.00955401,0.0344094,0.00567809,0.0333295,0.0991169,0.0460931,0,0,0.0156269,0,0.00645099,0.00777327,0.0550929,0.0524414,0.028679,0.0932217,0.0237286,0.0389139,0.0449949,0.0242776,0.0424972,0.0572986,0.044394,0.0207375,0.023922,0.041384,0.0339431,0.0276532,0.00539893,0.00333311,0.0253814,0.0453012,0,0,0,0,0,0,0,0,0,0
55,0.0510833,0.0288355,0,0,0,0,0,0,0.0501594,0.0147365,0.0418741,0.0557201,0,0,0.0273148,0,0.0365069,0.0121734,0.0356345,0.0398069,0.0224238,0.0114699,0.0367031,0.0343435,0.0206305,0.0282287,0.0282802,0.0456219,0.0138407,0.0197049,0.0190168,0.0287479,0.0424455,0.0222493,0.0219304,0.00953406,0.0345796,0.00552445,0.0332589,0.0986347,0.0460451,0,0,0.0159565,0,0.00634829,0.00795028,0.0548976,0.0520455,0.0288302,0.0930172,0.0235065,0.0389585,0.0450438,0.0242035,0.0424317,0.0573192,0.0440665,0.0203383,0.0235088,0.040953,0.0348973,0.0279456,0.00545632,0.0034431,0.02511,0.0450886,0,0,0,0,0,0,0,0,0,0
56,0.050814,0.0285484,0,0,0,0,0,0,0.0500257,0.0147772,0.0415361,0.0556229,0,0,0.0270967,0,0.036497,0.0121347,0.0357486,0.0399295,0.0224224,0.0120539,0.0364734,0.034022,0.0209327,0.0280867,0.0283359,0.0454124,0.0143341,0.0195686,0.0190838,0.0290604,0.0422901,0.0220641,0.0219227,0.00949308,0.0346082,0.00538094,0.0329242,0.098153,0.0458357,0,0,0.0161982,0,0.00623401,0.00801629,0.054676,0.051546,0.0289967,0.0928753,0.02339,0.0388622,0.0451228,0.0240915,0.0423943,0.0573749,0.04372,0.0199218,0.0231366,0.0404838,0.0355944,0.0279983,0.0055085,0.00353225,0.0247714,0.0447574,0,0,0,0,0,0,0,0,0,0
57,0.0504861,0.0282685,0,0,0,0,0,0,0.0502498,0.0148347,0.0412416,0.0553806,0,0,0.0268583,0,0.0364832,0.0121595,0.0356714,0.0393959,0.0224073,0.0122866,0.0362411,0.0337059,0.0210152,0.0279509,0.0282287,0.0453893,0.0141208,0.0191099,0.0187986,0.0291112,0.0422262,0.0218138,0.0219277,0.00947482,0.0347059,0.00523483,0.0326007,0.0976297,0.0455459,0,0,0.0162608,0,0.00610635,0.00809755,0.0544482,0.0511722,0.0292391,0.0927249,0.0233473,0.0386615,0.0452316,0.0239285,0.0423473,0.0574322,0.0433715,0.0194835,0.02279,0.0400191,0.0364143,0.0279066,0.00560595,0.00362522,0.0244448,0.0444051,0,0,0,0,0,0,0,0,0,0
