Timestep,C7,CLAV,IMUL_L,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,RILC,RHEE,IMUL_M,IMUR_M,LTHII,RTHII,IMUR_B,,x81,x82
236,0.00273009,0.00278362,0,0,0.0426159,0.0226264,0.0119874,0.00622797,0,0,0.0115913,0,0.0185024,0.00323714,0.0419996,0.0342555,0.0163378,0.00672369,0.0124255,0.0156896,0.0190958,0.0173857,0.0391213,0.0133727,0.0169194,0.0120751,0.049595,0.0568755,0.0180486,0.0179472,0.00161928,0.0509893,0.00767879,0.0483602,0.0103414,0.0031702,0,0,0.0118829,0,0.00901116,0.00386705,0.0875822,0.0150968,0.0068821,0.00882864,0.0180685,0.0231142,0.0235873,0.0403105,0,0.0414846,0.0414156,0.0590543,0.0115732,0.00949344,0.00670135,0.00435772,0.00400836,0,0,0,0,0,0,0,0,0,0.0896617,0.0497708,0,0,0.0146316,0.264984,0,0,0,0
237,0.00284092,0.00311845,0,0,0.0401111,0.0227595,0.0137002,0.00635807,0,0,0.0115852,0,0.0183277,0.00331002,0.0416045,0.0340542,0.0164866,0.00675682,0.0126236,0.0158031,0.0196611,0.0178859,0.0381331,0.0149326,0.0179765,0.0138337,0.0510063,0.0540324,0.0181977,0.0179207,0.00190634,0.0516807,0.00787052,0.047888,0.0104055,0.00273588,0,0,0.0117081,0,0.00916681,0.003925,0.0877707,0.0152572,0.00688639,0.00895121,0.018043,0.0232346,0.0236258,0.0393976,0,0.0408274,0.0406095,0.0603196,0.0114432,0.00988899,0.00661918,0.00466147,0.00436251,0,0,0,0,0,0,0,0,0,0.0895064,0.0483371,0,0,0.0156255,0.265543,0,0,0,0
238,0.00293489,0.00283494,0,0,0.0372409,0.0228249,0.0154744,0.00693412,0,0,0.0117656,0,0.0181917,0.0033853,0.0412389,0.0328245,0.0166929,0.00685313,0.0128973,0.0159692,0.0206863,0.0185828,0.0374908,0.0165265,0.0189419,0.0158735,0.0523156,0.0506749,0.01829,0.0178676,0.00173856,0.0525174,0.00798083,0.0471856,0.0106467,0.0031601,0,0,0.011994,0,0.00921544,0.00387577,0.0879223,0.015306,0.00681934,0.00903986,0.0181175,0.0235011,0.0235598,0.0384524,0,0.0400774,0.0396375,0.0616926,0.0117168,0.00981604,0.00675636,0.0045533,0.00450904,0,0,0,0,0,0,0,0,0,0.0896502,0.0467088,0,0,0.0169639,0.266077,0,0,0,0
239,0.00310971,0.00277554,0,0,0.0341932,0.0228923,0.0170333,0.007612,0,0,0.0119134,0,0.0181057,0.00350178,0.0408802,0.0308612,0.0169698,0.007508,0.0131556,0.0161555,0.0210847,0.0198699,0.0371045,0.0180574,0.0199174,0.0178784,0.0534356,0.0467918,0.0184008,0.0178457,0.00161791,0.0532037,0.0081116,0.046367,0.0110762,0.00346843,0,0,0.0121371,0,0.00929904,0.0038887,0.0880941,0.014961,0.0068279,0.00913402,0.0182041,0.0238914,0.0235635,0.0375403,0,0.0392009,0.0385353,0.0630211,0.0118876,0.00976995,0.00690554,0.00456392,0.00468059,0,0,0,0,0,0,0,0,0,0.0897402,0.0450693,0,0,0.0184476,0.26659,0,0,0,0
240,0.00330921,0.00278513,0,0,0.031304,0.0229559,0.0181788,0.00828822,0,0,0.0120674,0,0.0180644,0.00352616,0.04054,0.0286764,0.0171743,0.00857798,0.0133829,0.0163283,0.0214732,0.0210889,0.0367993,0.0194093,0.0208188,0.0195134,0.0542711,0.0424795,0.0184973,0.0178332,0.00168008,0.05357,0.00813571,0.0455729,0.0115819,0.00374141,0,0,0.012211,0,0.00922922,0.00385512,0.0883001,0.0146375,0.00685209,0.00925925,0.0182417,0.0243462,0.0237144,0.0366878,0,0.0382799,0.0374391,0.0640642,0.0120204,0.0096511,0.00690339,0.00449511,0.00478648,0,0,0,0,0,0,0,0,0,0.0896848,0.0435428,0,0,0.0198241,0.267126,0,0,0,0
241,0.00350664,0.00276651,0,0,0.0276932,0.0230155,0.0185467,0.00900844,0,0,0.0122197,0,0.0180619,0.00344837,0.0404508,0.026862,0.0175364,0.00920178,0.0136891,0.0165364,0,0.0223985,0.0363709,0.0203772,0.0212018,0.020466,0.0548338,0.0375841,0.0185741,0.0178135,0.00166908,0.0536273,0.00817662,0.0449132,0.0121575,0.00395465,0,0,0.0122495,0,0.00918937,0.00377339,0.0884316,0.0145323,0.00705047,0.00931306,0.0183049,0.0247646,0.0237991,0.0358028,0,0.0374136,0.0364856,0.0644471,0.0120804,0.00960589,0.00688821,0.00430366,0.00474666,0,0,0,0,0,0,0,0,0,0.0894147,0.0421917,0,0,0.0211261,0.267764,0,0,0,0
242,0.00367458,0.0027972,0,0,0.0260511,0.0230887,0.018484,0.00893057,0,0,0.0124371,0,0.0180199,0.00337132,0.039927,0.0252035,0.0174175,0.0112529,0.01384,0.0167451,0.0241386,0.0226484,0.0362086,0.0213087,0.0218005,0.0214833,0.0549795,0.0347664,0.0186991,0.0178097,0.00161015,0.0538544,0.00827923,0.0441158,0.0121758,0.00408093,0,0,0.0122077,0,0.00921218,0.00372023,0.0885177,0.0142531,0.00687853,0.00932887,0.0183126,0.0251983,0.0235546,0.0346653,0,0.0363248,0.035413,0.0650514,0.0120412,0.00959321,0.00684981,0.00408766,0.00461935,0,0,0,0,0,0,0,0,0,0.0893344,0.0407469,0,0,0.0213364,0.26852,0,0,0,0
243,0.00389515,0.00297978,0,0,0.0242213,0.0231452,0.0179608,0.00911487,0,0,0.0127238,0,0.0179731,0.00336861,0.0397776,0.0246012,0.0174399,0.0124429,0.0139711,0.0170735,0.0251152,0.022596,0.0359405,0.0215283,0.021764,0.0217966,0.0548796,0.0319638,0.0189266,0.0178005,0.00153068,0.0541587,0.00833887,0.0431623,0.0124052,0.00411973,0,0,0.012016,0,0.00923254,0.00371319,0.0883553,0.0138961,0.00652418,0.00918262,0.0183948,0.0257218,0.0233932,0.0333094,0,0.0350216,0.0340214,0.065865,0.0119124,0.00953013,0.00674549,0.00400232,0.00449562,0,0,0,0,0,0,0,0,0,0.089542,0.039295,0,0,0.0213179,0.269426,0,0,0,0
244,0.00396788,0.0032496,0,0,0.0231096,0.0231788,0.0171577,0.00924037,0,0,0.0130322,0,0.0179461,0.00341552,0.0397657,0.0249358,0.0174416,0.0134768,0.0140253,0.0174862,0.0251217,0.022467,0.0358467,0.0212675,0.0214104,0.0216922,0.0545394,0.02981,0.0192029,0.0177859,0.00151031,0.0541517,0.00828573,0.0420652,0.0125393,0.00404815,0,0,0.0118278,0,0.00922242,0.00372107,0.0881322,0.0134932,0.00638635,0.00895663,0.0183862,0.0263739,0.0231044,0.0318547,0,0.033587,0.0325503,0.0663164,0.0117416,0.00957147,0.00679333,0.00392872,0.00424197,0,0,0,0,0,0,0,0,0,0.0897165,0.0380046,0,0,0.0207907,0.270389,0,0,0,0
245,0.00665732,0.00341996,0,0,0.0198654,0.0238216,0.0171928,0.00824796,0,0,0.0139882,0,0.0170958,0.00362819,0.0407502,0.0280399,0.0190754,0.0137905,0.0103631,0.0181477,0.0236197,0.0207558,0.0368431,0.022035,0.0220936,0.0225786,0.0548665,0.025948,0.0192841,0.0175074,0.00195907,0.063961,0.00866741,0.0452377,0.0120581,0.00631058,0,0,0.0129401,0,0.00913605,0.00381458,0.0884583,0.0296371,0.00648223,0.00848987,0.020134,0,0.022127,0.0457018,0,0.0416183,0.0458329,0.0823681,0.0119325,0.00927146,0.00685052,0.00314981,0.00649092,0,0,0,0,0,0,0,0,0,0.0906673,0.0422117,0,0,0.0191187,0.263122,0,0,0,0
